-0.670721-0.0411099j 0.0564414+0.0974834j -0.047338+0.104309j -0.115842-0.0569558j 0.116542-0.0118525j 0.0428535+0.0364696j -0.00841298-0.0303961j 0.023559+0.00147966j -0.0324531-0.0215136j 
-0.0894118+0.00896615j 0.0724239-0.0474912j 0.0913969+0.0697438j -0.0360208+0.0370799j 0.0157056-0.0655965j -0.012382-0.0059774j 0.000518935+0.0238467j 0.00487137-0.0465776j 0.0037975+0.0204414j 
0.698878-0.010212j 0.130827+0.00821015j -0.0456914+0.049754j 0.0103165+0.00852315j -0.0207342+0.0201496j -0.0305088-0.06006j -0.033473+0.030404j 0.03585+0.0126149j -0.0147247+0.016872j 
-0.234415+0.0814263j -0.508184-0.194245j 0.0355569-0.168618j 0.147265+0.100943j -0.0411258-0.0162474j 0.0580649+0.0156849j 0.0107718-0.0326097j 0.0169151-0.0501626j 0.0123478+0.0659995j 
0.118904+0.0582801j 0.231977-0.135251j 0.33711-0.156589j -0.0524223-0.0175215j 0.0557984-0.0945904j -0.0436215+0.0392355j -0.0183169+0.0459305j 0.0439866+0.00868491j -0.0446847-0.0430715j 
-0.0877707-0.0702783j 0.211635+0.383576j 0.119798-0.718568j -0.103129-0.200511j 0.0992563-0.100621j -0.0910897+0.0729371j -0.0664247+0.0880608j -0.0759579+0.0221466j -0.058552+0.00292848j 
-0.0381519-0.0565253j 0.33151+0.137316j 0.00536082+0.0262675j -0.19239-0.149191j -0.0216107+0.00680439j 0.0114402-0.0358424j 0.0263009-0.00348246j 0.0168445-0.081615j -0.0943306-0.103177j 
0.0416577-0.0954068j -0.16241+0.24841j -0.43711+0.130777j 0.133868-0.119226j -0.0914048+0.000126146j 0.0918358+0.0119244j 0.0435613+0.023112j 0.0839868+0.0541709j 0.125695-0.0544852j 
