0.106775+2.34552e-14j -0.312657+5.0543e-15j -0.0569335-3.73229e-16j 0.106503+4.52428e-16j 0.115223-3.6141e-16j -0.0449625-7.84303e-16j -0.109059-1.4308e-16j 0.0645381-2.49621e-16j -0.0336133-2.41913e-16j 0.125388+3.82184e-15j 0.00742589+8.97897e-16j 0.0198816-1.79931e-15j -0.205727+1.80117e-15j 0.0928517-5.69956e-15j 0.0527922+1.10225e-14j 0.197192-2.4254e-14j -0.115831+3.92754e-16j 0.00954048-5.47391e-15j 0.0167318+1.20911e-14j -0.145923+1.4277e-14j -0.141728+9.23999e-15j 0.0754838+3.6526e-15j -0.184807-1.49903e-15j -0.000491364+1.74924e-14j 0.150957+7.34591e-15j 0.0360482-2.00096e-15j -0.0160959+6.16956e-15j 0.0728093+8.82168e-15j 0.171568-7.9708e-14j -0.0226279-8.21441e-15j 0.16626-4.34901e-14j 0.100294-3.13717e-14j -0.0383003-7.77786e-15j -0.00230593-1.71102e-14j -0.229748+4.62534e-15j 0.00252421+1.78634e-14j 0.0567547+1.46775e-14j 0.00528964+5.70686e-14j 0.0722888+4.81292e-14j 0.120955+6.16091e-14j -0.0584329+4.70404e-14j -0.115019-3.10903e-13j -0.114371-1.10205e-15j -0.167765-2.90372e-15j 0.120767-2.08489e-15j -0.0288416+1.09078e-15j 0.0249856-1.89264e-15j -0.012644-5.62079e-16j 0.0707572+7.48608e-16j -0.127962-2.47355e-16j 0.058701-1.12255e-15j 0.00214831+1.49358e-17j -0.0361195+5.52125e-17j 0.179537+1.91725e-16j -0.296081+3.38906e-15j 0.0732402-1.52128e-14j 
-0.159659-1.1155e-13j -0.132133-2.40858e-14j 0.218137+6.69289e-16j -0.137606-9.59663e-16j 0.0465075+3.23288e-16j 0.0881659+2.26715e-15j -0.0964052+6.4514e-16j -0.105901-2.74052e-16j 0.131816+4.34061e-16j -0.148944-6.63674e-15j -0.128249+5.36614e-16j -0.0954726+1.7876e-15j -0.0812823-2.34296e-15j -0.0456261+3.30435e-15j -0.0283694+1.18743e-14j 0.0585321-1.66714e-14j 0.0613858-2.51394e-14j -0.0195337-2.87555e-14j 0.304509-1.95096e-14j -0.0229722-1.64091e-14j 0.122085-2.61399e-15j 0.184414+7.04231e-15j 0.0749807+5.7092e-15j 0.0469997+5.52861e-15j -0.0709626+1.54357e-14j -0.237477-3.07568e-14j 0.0256367+6.97689e-15j 0.125372+2.28849e-14j 0.233181-1.07079e-13j -0.194115-1.40007e-14j -0.197933+3.24164e-14j 0.0998607+7.25505e-15j 0.103793+7.99446e-15j 0.000544912+6.36782e-15j 0.0460699+5.62079e-15j -0.0866874-1.89205e-14j 0.0483604-1.00115e-15j 0.000594582+3.89306e-14j 0.047729+3.3799e-14j -0.18332-1.04264e-13j -0.246008-1.57323e-14j -0.0192733+3.59915e-14j -0.0976548-3.09588e-15j -0.0694437-2.29669e-15j -0.0582006+1.24506e-15j 0.0739988+4.92954e-15j -0.0396403-7.74617e-16j -0.00089677+2.29997e-15j -0.0744815-2.28116e-15j -0.100792-4.37673e-16j -0.134617+2.89338e-15j 0.16522+1.22162e-15j 0.0138393+2.72052e-16j -0.171181-3.79866e-16j -0.146549-2.96424e-15j -0.147778+1.24011e-14j 
-0.05937-4.54553e-14j -0.0825165-9.77107e-15j 0.145727-6.3972e-18j 0.120644+1.22755e-16j -0.104867-3.36128e-16j 0.037897+5.43065e-16j -0.121696-7.33932e-18j 0.210159+2.63776e-16j -0.0585278+5.70744e-16j -0.0263356+1.61503e-15j 0.16623-5.00255e-15j -0.0753634+1.6819e-15j 0.135414+5.86608e-16j 0.104582+6.33243e-15j 0.0319467+8.72638e-15j 0.0888891-3.53027e-14j 0.235489-5.31765e-14j -0.150865+1.46495e-13j -0.262599+3.14125e-14j 0.080319+1.66579e-14j -0.12225+1.54864e-14j 0.0792577-1.35073e-14j 0.117366+7.04093e-15j -0.0260547-1.12842e-14j 0.0242958+9.99267e-16j -0.282758-3.94973e-14j 0.196283-1.62377e-14j -0.175906-8.62278e-16j -0.0786852+3.48484e-14j 0.207033-2.14858e-14j -0.0102725+3.69679e-14j 0.0691677+2.83257e-15j -0.0817892-6.64341e-15j -0.372225-6.32471e-15j -0.0512633+9.06722e-15j -0.0881048-7.12198e-15j 0.194199-3.61049e-15j -0.0736098-8.72477e-14j -0.0938312-8.05818e-14j -0.0967103-3.93493e-14j 0.00812757+5.82907e-14j -0.149903-4.24135e-13j 0.168234+3.4466e-15j 0.0371276+6.88599e-15j -0.0800051+3.57324e-15j -0.127454-7.92409e-16j 0.172686-6.19036e-15j 0.0146825-3.50809e-15j 0.153308+1.92124e-15j -0.0660427+2.58057e-16j 0.030252-6.69431e-16j 0.0855288-4.68721e-17j -0.139615+4.39673e-17j -0.076765+2.57812e-16j -0.107328-1.51286e-15j -0.0857157+7.07162e-15j 
0.0313085+2.29876e-14j 0.0344819+4.93842e-15j -0.0490911-9.1246e-17j -0.000198338+3.25411e-16j 0.138426-6.88098e-17j -0.0156119+4.86796e-16j -0.195467-2.76673e-16j 0.0740067+1.22695e-15j 0.0804472+3.28731e-15j -0.138361-4.74762e-15j -0.117691+4.44752e-15j 0.0871035-2.51016e-15j 0.396842+3.04443e-15j -0.208528-4.17497e-15j 0.11072-1.24666e-14j 0.058298+1.47665e-14j -0.0834932+8.10224e-15j 0.039047-2.08528e-14j -0.0162588+4.19792e-15j -0.129384+1.7737e-14j -0.0526218+4.11038e-15j 0.0139809-1.30445e-14j -0.208537+9.61139e-15j -0.114422-2.55586e-14j -0.104751-7.84978e-15j -0.170221-1.87738e-14j 0.0951359+9.04095e-15j -0.0837013-2.01877e-14j 0.0991552-2.1493e-14j -0.205107+6.67285e-15j 0.326729-6.78821e-14j -0.073682-1.83063e-14j 0.132084-1.74969e-14j -0.032177-1.32904e-14j -0.028323-7.03424e-15j -0.0159274+5.18972e-15j -0.0246224+2.47684e-14j 0.103695+7.56819e-14j 0.00500372+5.75533e-14j 0.0459976+2.30189e-14j -0.147726-1.58153e-14j 0.00543951+7.05872e-14j 0.157265+6.51556e-15j 0.405379+4.25859e-15j -0.0472969+2.79319e-16j 0.022757-3.66883e-15j -0.216567+8.7214e-15j -0.0743544+2.98811e-15j 0.090293+2.44456e-15j -0.204917-1.37799e-15j 0.0103092-6.69252e-16j 0.0446525+7.39507e-16j 0.0176387-8.27914e-17j 0.0661827+2.15604e-16j 0.0454132+9.46875e-16j 0.0482727-4.20127e-15j 
0.050789+3.27416e-14j 0.0202406+6.95853e-15j -0.0859006+6.3182e-17j -0.121087-2.1158e-16j 0.0699398-1.05758e-15j -0.133972-3.81859e-15j -0.0509469+1.37356e-16j -0.148693-1.94161e-16j -0.0182809+2.27537e-15j -0.236942-1.19573e-14j 0.124992-2.31693e-15j 0.0561765+4.79825e-15j 0.0319068-1.96077e-15j 0.141615+5.02403e-15j 0.16404-1.36505e-14j 0.0217514+2.05309e-14j -0.105852+2.96333e-14j -0.184713+1.42518e-13j -0.0219219+2.58066e-14j 0.0941757-8.86925e-15j 0.0379367+3.98554e-16j -0.0450299-6.65536e-15j 0.263486+1.0963e-14j -0.192369-4.73584e-14j 0.0256666-1.76446e-14j 0.064778-2.96356e-15j 0.267345+1.30191e-14j 0.282024+2.65158e-14j 0.21396-7.78973e-14j 0.119422+2.07389e-15j 0.0134825+1.16162e-14j -0.0898972+1.0346e-14j -0.00368467+6.26376e-15j -0.0699741-7.00638e-15j -0.0766763-1.09934e-14j 0.1313+3.59405e-14j -0.025165-3.76611e-14j -0.346407-1.32214e-13j 0.188401-1.05813e-13j -0.0373723-1.41781e-14j 0.0600801+2.04657e-14j -0.0284599-9.54295e-14j 0.164795-1.08523e-15j -0.0556894+3.93605e-16j -0.0766192-2.48627e-15j -0.173254-7.20913e-15j -0.152889+4.85192e-15j -0.16165-7.59957e-16j -0.213638-2.21744e-15j -0.0217327-7.08466e-16j 0.0355302-1.06151e-15j 0.0974256+1.78997e-16j 0.191684+6.73706e-16j 0.061013+4.66461e-16j 0.0165731+1.85982e-15j 0.0846574-8.75993e-15j 
-0.0786868-2.90739e-14j 0.13782-6.15407e-15j 0.0644538+2.98811e-16j -0.0648846-8.04026e-17j -0.0582152+1.64333e-17j 0.0408968+9.04965e-16j 0.0441818+2.21634e-16j -0.0374243+4.30191e-16j 0.0334495-1.1203e-16j -0.0723525-2.02566e-15j -0.0219334-1.72644e-16j -0.0272889+9.56178e-16j 0.0904021-9.90105e-16j -0.0550467+3.35808e-15j -0.0378483-3.2067e-15j -0.0917891+8.35936e-15j 0.0761662-5.52278e-15j -0.0027372-4.27725e-15j 0.0284049-9.79368e-15j 0.0694455-8.76889e-15j 0.0846022-4.99089e-15j -0.0104766-8.34848e-16j 0.0964427+1.119e-15j 0.0152183-6.02126e-15j -0.0853598-7.75921e-16j -0.0558923-3.5513e-15j 0.00289821-3.08602e-15j -0.0343041-2.77758e-15j -0.067082+2.96936e-14j -0.0136834+2.13267e-15j -0.114274+2.71562e-14j -0.0316986+1.66248e-14j 0.030564+4.59234e-15j -0.00215477+9.47265e-15j 0.124833-8.75352e-16j -0.0197261-1.33021e-14j -0.0174986-6.12482e-15j 0.00962383-2.0349e-14j -0.0398283-1.76436e-14j -0.0861079-4.52948e-14j -0.00409909-2.52833e-14j 0.0540433+1.576e-13j 0.0393869+3.66653e-16j 0.0746268+1.31483e-15j -0.0665306+1.36522e-15j 0.0291899+3.2145e-16j -0.00629078+7.78029e-16j 0.0140431+6.44114e-16j -0.0348389-2.97961e-16j 0.0530123+2.35314e-16j -0.0486145+1.10304e-15j 0.0178748+2.07555e-17j 0.00938683-2.55696e-16j -0.118076-1.90863e-16j 0.12713-2.12305e-15j -0.0622141+9.84284e-15j 
-0.0407179-3.96909e-14j -0.122375-8.4484e-15j 0.0806897+1.51877e-16j -0.0133212+6.9576e-17j 0.0253587-2.23647e-16j 0.0278645+7.58046e-16j -0.0587264+2.5667e-16j -0.00608924+2.17396e-16j 0.0315104-2.2819e-16j -0.0178032-7.41331e-16j -0.0273413+1.05572e-16j -0.0403851+3.70278e-16j -0.0781357-2.50485e-16j 0.018335+6.52662e-16j -0.00364096+8.01062e-15j 0.0676098-1.5079e-14j 0.0220309-1.3856e-14j -0.015586-9.64176e-16j 0.0901391-2.93761e-15j -0.029182-1.75536e-15j 0.003885+1.94518e-15j 0.0882397+2.67937e-15j 0.000170784+1.69658e-15j 0.0226124+6.72161e-15j 0.0130961+7.82567e-15j -0.0941956-1.38661e-14j 0.0131288+1.86381e-15j 0.0431278+9.73658e-15j 0.104398-5.01159e-14j -0.0499593-8.39759e-15j -0.0486431+7.86385e-15j 0.067266-3.38325e-15j 0.0162837+9.79429e-16j -0.0289159-1.65656e-15j -0.034662+4.23313e-15j -0.0393216-4.41289e-15j 0.0470237+2.36597e-15j -0.0024465+1.81634e-14j 0.0206744+1.48941e-14j -0.0480858-2.7517e-14j -0.0938557+9.95596e-15j -0.0437195-9.0679e-14j -0.0543903-1.05718e-15j -0.0727502-9.01431e-16j 0.0019918+3.09584e-16j 0.0116242+2.05906e-15j 0.01756-1.31178e-15j 0.00430428+3.99328e-16j 0.00214088-2.20035e-16j -0.0598266-4.68293e-18j -0.0335097+9.15628e-16j 0.0623134+2.61807e-16j -0.0189442-1.53098e-16j -0.0322641-8.22581e-17j -0.12637-4.11587e-16j -0.0472552+2.04395e-15j 
0.00428076+2.63637e-15j 0.00172904+5.64703e-16j -0.00835418+1.36394e-16j -0.00678096-1.09887e-16j 0.00749779+1.53881e-17j -0.00433184-3.76474e-17j 0.00244313-6.37067e-17j -0.0110481-8.04549e-17j 0.00259388+1.22512e-16j -0.00301333-4.24957e-16j -0.00584536+1.32838e-16j 0.00482119-6.76094e-17j -0.00475145-3.26294e-18j -0.00264353-3.03525e-16j 0.00245118-6.04102e-16j -0.00167942+1.80577e-15j -0.0134356+2.92363e-15j 0.00364853-4.14114e-15j 0.0114942-6.63136e-16j -0.00369486-6.92552e-16j 0.00482272-4.92164e-16j -0.00343317+5.37313e-16j -0.00297696+8.52847e-18j -0.00282263-3.37303e-16j -0.000172194-4.03148e-16j 0.0125892+1.35559e-15j -0.00348132+1.09188e-15j 0.0128569+5.44498e-16j 0.00926796-3.5842e-15j -0.00851492+8.20581e-16j 0.00352682-2.20107e-15j -0.00417794-2.34477e-16j 0.0040949+3.337e-16j 0.0149027-5.63324e-17j -0.00089087-5.30567e-16j 0.00600017+1.03181e-15j -0.00862759-2.33921e-16j -0.00221954+2.38361e-15j 0.00802675+2.41763e-15j 0.00453476+1.81317e-15j -0.000827745-2.10798e-15j 0.00524128+1.50853e-14j -0.00455402-1.55697e-16j -0.00163605-2.72413e-16j 0.00272481-2.79969e-16j 0.00255046-6.02579e-17j -0.0113274+3.39095e-16j -0.00398728+1.41938e-16j -0.00952156-1.6242e-16j 0.00031752-9.52319e-17j -0.000361057-8.6146e-17j -0.00159928+1.22935e-16j 0.00933072+3.26207e-17j 0.00594025-1.28735e-16j 0.00292045+8.9811e-17j 0.00589152-6.81387e-16j 
-0.00331486-1.73371e-15j 0.00279402-3.65951e-16j 0.00349681+1.64064e-16j -0.00227858-1.27083e-16j -0.00333922-5.4533e-18j 0.00163748+8.55161e-17j 0.0030652-5.88019e-18j -0.00218025-1.02674e-16j 0.000321229+4.10552e-17j -0.00117403-1.50345e-16j 0.000801741-1.34111e-16j -0.00233995+2.02038e-18j -0.00252412-1.31607e-16j 0.00125168+1.61653e-16j -0.00235908+8.40629e-17j -0.00291052-7.19923e-17j 0.00378573-3.61161e-16j -0.00112247+4.20435e-16j 0.00171126-1.30106e-16j 0.00375875-4.80627e-16j 0.00335539-5.83315e-17j 0.000363765+2.35864e-16j 0.00616027+8.15733e-17j 0.00182315+1.39839e-16j -0.00129202+6.01191e-17j -0.000825178-1.96008e-16j -0.000382334-1.68423e-16j 0.000556656+3.85619e-16j -0.00214914+7.82489e-16j 0.00195204-2.07414e-16j -0.00816987+1.6403e-15j 0.000475021+7.9332e-16j -0.000555931+4.36443e-16j -0.000416192+4.44495e-16j 0.00389399+1.68886e-16j -0.000729688-5.3983e-16j 0.000347498-5.16835e-16j -0.00153637-1.71064e-15j -0.000978675-1.3278e-15j -0.00396573-2.22454e-15j 0.000855253-5.70511e-16j 0.00107141+2.81872e-15j -0.000790485-1.28094e-16j -0.00330422-7.33905e-17j -0.0017386-1.64792e-17j 0.000414533+1.07858e-16j 0.00257804-1.1219e-16j 0.00119779-1.59561e-17j -0.00236154-1.32227e-16j 0.00355088+7.45447e-18j -0.00194778-4.86255e-17j 0.000856857+1.01028e-16j 3.35362e-05+2.08084e-17j -0.00493779-1.59413e-16j 0.00224582-1.2109e-16j -0.00303188+2.74582e-16j 
0.00319942+2.51547e-15j 0.00404363+5.35813e-16j -0.00517447-1.38332e-16j 0.00159051+1.10353e-16j -0.000843835+1.71093e-17j -0.00153918-9.38673e-17j 0.00421745-1.8739e-17j 6.54934e-06+8.58431e-17j -0.00213911-9.52556e-17j 0.00406212+2.31052e-16j 0.000861597+8.47517e-17j 0.00211249+1.16474e-17j -0.000690801+1.0796e-16j -0.000101758-1.04049e-16j -0.000773141-2.20132e-16j -0.00281085+6.48879e-16j -0.0026641+8.50839e-16j 0.00229615-1.23719e-15j -0.00327457-2.22871e-16j 0.000178351+5.33005e-17j -0.000746742-2.44683e-16j -0.00452375-2.4608e-17j -0.00225953-3.45231e-16j 0.000312619+1.44812e-16j 0.00104717-2.04413e-16j 0.00779705+1.16948e-15j -0.00356449-5.14464e-17j -0.00145346-5.45754e-16j -0.00522034+2.19285e-15j 0.00214074+5.53928e-16j 0.0024076-5.12567e-16j -0.00238779-1.03353e-16j -0.0015644-7.16526e-17j 0.00404728+2.75191e-17j 0.000524252-2.27941e-16j 0.00223793+3.11307e-16j -0.00288118+3.57681e-17j 0.00140451+1.16315e-16j -0.000769498+1.29341e-16j 0.00421871+2.37055e-15j 0.00522823-3.09372e-16j 0.00224237+4.36821e-15j -0.000511753+7.41521e-17j 0.000200076+4.2265e-17j 0.00203102-8.14404e-18j 0.000342352-1.03285e-16j 0.000189729+3.24064e-17j 0.000646606-3.11757e-17j 8.33524e-05+9.29226e-17j 0.00373833+6.20505e-18j 0.00205006+4.16769e-17j -0.00455788-1.00583e-16j 0.000579216-2.26408e-17j 0.00326379+1.31474e-16j 0.00450688+8.25032e-17j 0.00315501-1.3991e-16j 
-0.00204546-1.07064e-15j 0.00172028-2.21108e-16j 0.00207707+1.01643e-16j -0.00188608-7.13131e-17j -0.00165884-1.75287e-17j 0.000777976+5.40669e-17j 0.00153583+1.76288e-17j -0.0018174-5.92819e-17j 0.000418511+2.87056e-17j -0.00154083-1.04986e-16j 0.000415102-8.18923e-17j -0.00129125+5.72634e-18j -0.00121172-1.07947e-16j 0.000749004+1.06775e-16j -0.00102861-1.08603e-18j -0.00167839+7.93651e-18j 0.0019618-1.42631e-16j -0.00099506+4.53764e-16j 0.00145536-5.80399e-17j 0.00232477-3.22856e-16j 0.00229817-4.11532e-17j 0.00029405+1.26193e-16j 0.0041779+7.78511e-17j 0.000646831-1.48338e-17j -0.000949129+1.00397e-17j -0.000657635-1.41991e-16j 0.000373646-7.80717e-17j 0.00109285+2.84166e-16j -0.00046864+1.33873e-16j 0.000927902-1.15262e-16j -0.00487477+9.67006e-16j 8.42936e-05+5.04854e-16j -5.30189e-05+2.68813e-16j -0.00024658+2.70324e-16j 0.00229138+8.23482e-17j -0.000227621-2.70004e-16j 7.99725e-05-3.7734e-16j -0.00155261-1.15803e-15j -9.00056e-05-9.24201e-16j -0.00262978-1.46634e-15j 0.000234329-3.62712e-16j 0.000668293+1.88939e-15j -0.000148346-9.91425e-17j -0.00181187-6.17737e-17j -0.00131592-5.71656e-18j 5.04162e-05+6.391e-17j 0.000889971-2.7551e-17j 0.000298586+1.07763e-17j -0.00198989-7.9919e-17j 0.00185575+1.91588e-17j -0.0012762-2.99111e-17j 0.000921056+4.93401e-17j 0.000547724+3.72085e-18j -0.00299338-1.00529e-16j 0.00138271-6.66107e-17j -0.0017507+1.53077e-16j 
