-0.0940107+1.77444e-14j 0.23473+9.08335e-15j 0.115374-7.31396e-17j 0.120846+1.3168e-16j -0.191901+8.96742e-16j -0.0815614-4.56608e-15j 0.245897-3.50464e-16j -0.244223+5.64931e-14j -0.154982-1.28817e-14j -0.0209826+1.099e-14j 0.309908-1.57944e-14j -0.0784754+1.46058e-14j -0.0484402+3.15684e-15j 0.197642-2.29224e-14j -0.170559+1.96761e-14j -0.277198+1.18963e-14j 0.116714-2.55213e-14j 0.166175+3.66202e-15j -0.143505-1.20189e-14j 0.238288-1.31834e-14j 0.0467315-1.00395e-16j 0.175076+4.89383e-14j 0.0729266+8.04992e-15j 0.285615-3.4129e-14j 0.0833066-2.14572e-14j -0.0182058+3.81588e-16j 0.206376+3.96875e-15j -0.0890421+3.39227e-15j 0.0721576+6.36262e-14j 0.153323-9.18894e-13j -0.0769943-3.65456e-13j 0.339938-2.51243e-14j 0.0331631-1.88242e-14j -0.0071345-1.12849e-15j 0.0303197-9.90828e-17j -0.0087204+9.80847e-17j -0.00825716-4.51103e-16j -0.00234934+2.31949e-16j 0.000804108-4.27778e-16j -0.00419552+2.0615e-16j -0.0144147+3.26728e-16j 0.0137045+1.31549e-16j -0.00748582-2.96269e-14j -0.014133+1.52796e-16j 0.00062495+3.46012e-16j -0.0114657-6.8377e-16j 0.00666728+4.91228e-16j 0.0133237+5.9077e-17j 0.000353815+6.90465e-17j -0.0157287-1.96468e-16j 0.00561642+2.00312e-15j -0.00542701-1.65692e-15j -0.00803402-9.06709e-17j 0.00517648+9.00119e-16j -0.0237987+9.42901e-16j 0.00348142-3.38421e-16j -0.00876899-5.29616e-16j 0.00849042-2.10019e-16j -0.000887699-9.40366e-16j 0.0165366-3.7112e-16j 0.00209783+2.50283e-16j -0.0227617-1.12492e-15j -0.0152398-3.90101e-16j -0.0081633-3.08707e-16j 0.00719473-3.97729e-16j -0.0457488-2.68299e-16j 0.00462833+1.92146e-16j 0.0115055-1.17995e-16j 0.0357339+2.84828e-16j 0.00478952+2.84602e-16j -0.0829636+1.02071e-14j -0.00852148-3.04981e-14j 
0.0346811+5.548e-14j 0.0898478+2.8446e-14j -0.151166+6.23559e-16j 0.144405-4.99438e-16j 0.189078+1.95055e-16j 0.113116-4.68648e-16j 0.279243-6.91497e-17j 0.126129-3.20483e-14j -0.00913768-1.96021e-14j 0.305495+1.33463e-14j -0.0573648+6.3126e-15j 0.295071-3.09498e-15j -0.23463+7.83725e-15j -0.136062+1.20219e-14j -0.171038+9.39417e-15j -0.13173+5.74669e-15j 0.156546-2.85201e-15j -0.20654-2.32808e-15j 0.270603+3.06469e-14j 0.0193531-5.86481e-15j 0.249219+4.62463e-15j -0.0358162-2.68528e-15j 0.273364+6.67701e-16j -0.0842847+1.39769e-15j 0.123463+3.57499e-15j -0.272601-8.57194e-15j -0.243356-1.3939e-14j -0.028358-6.83691e-15j -0.0444568+7.29396e-14j 0.168523-1.05838e-12j -0.131727-7.68889e-13j 0.0896397-3.95844e-14j -0.0133664+8.66166e-15j 0.0176527+8.72883e-16j -0.0162756-5.92321e-17j -0.00643295+4.09012e-17j -0.0334019-1.82067e-16j 0.0184806+1.99197e-16j 0.0139041-2.68423e-16j -0.0151952+5.5522e-16j 0.00277372+4.4146e-16j 0.00014711+2.81945e-16j 0.0036007+1.37957e-14j -0.00251098+3.07382e-17j 0.00555246+4.24529e-16j -0.00210876-5.85126e-16j -0.00330135+8.1884e-17j 0.00470021+3.4717e-17j -0.00126702+2.19616e-16j -0.0051916-2.19542e-16j 0.00623808-5.1462e-16j 0.0132631-5.46324e-16j 0.000668611+6.48955e-16j 0.0044762-4.2107e-16j -0.00662647+6.48235e-17j -0.00150723-1.17557e-17j 0.00321302-6.1716e-16j 0.0110357-5.96177e-16j 0.000412281+2.53391e-16j -0.00348338+2.85807e-17j -0.0108447-7.41483e-16j -0.0172481-3.15572e-16j 0.00658454+2.41417e-16j 0.00691557-5.901e-17j 0.0198198+1.12679e-16j 0.00358961+9.30997e-17j -0.00601924+9.65301e-17j 0.030906+6.8006e-17j -0.00108625-6.15733e-16j -0.0338522-5.93397e-16j -0.0247873-7.95246e-15j -0.0231446+2.34763e-14j 
-0.0988727-7.02872e-16j 0.192116-2.76837e-16j -0.019046-9.14382e-17j -0.0400563+2.53633e-16j 0.00606135+4.15632e-17j -0.0174992-2.20334e-16j -0.0055136+2.86298e-16j -0.00527715+1.53401e-15j 0.0196636+3.13375e-15j -0.0150068-1.56674e-15j -0.0145272+1.49491e-15j 0.0194947-1.54746e-15j -0.00595188+9.75682e-16j -0.00693689+2.91186e-16j 0.0343004-3.56602e-15j 0.0361626-2.9583e-15j -0.0339682+5.49484e-15j -0.00129589-1.06604e-15j 0.0252343+2.80985e-17j -0.0465252+2.99408e-15j -0.0289426-1.06959e-16j -0.0140666-4.58002e-15j -0.0270985-8.36273e-16j -0.0585356+9.08848e-15j -0.0356802+4.02224e-15j -0.0137705-6.51179e-16j -0.0784677+3.35153e-16j 0.10527+1.39959e-16j 0.156089-5.15617e-14j -0.108894+7.41082e-13j -0.0656454-4.34509e-13j -0.132031-1.87077e-14j -0.0443245+2.80152e-14j -0.0267869+2.55275e-15j -0.120604+1.04016e-15j -0.0507198+3.06824e-15j 0.10695-8.86435e-17j 0.170514-1.29308e-15j -0.0527247+8.82402e-16j 0.0770119+6.14693e-16j 0.13536-1.7068e-15j -0.014883+3.2442e-15j -0.122855-4.7967e-13j -0.207227+8.0593e-15j 0.141363-2.45124e-15j -0.108087-3.72074e-15j 0.0634634+4.24403e-15j -0.0682636-6.24091e-16j 0.103562+7.09193e-15j -0.143409+1.55973e-15j 0.111613+2.17838e-14j 0.0311819-1.59121e-14j -0.22559-8.67375e-15j 0.0586834+2.93403e-15j -0.130854+3.5174e-15j 0.0471664-6.09205e-15j -0.0406852-5.0641e-15j 0.0735432+1.39616e-15j 0.140828-4.88941e-15j 0.187642-7.57316e-15j 0.0658634+5.11226e-15j -0.139224-3.18084e-15j -0.0316207-1.09225e-15j -0.0573812+1.19435e-15j 0.13825+9.08651e-16j -0.195056+1.23236e-16j 0.0390283+9.64051e-16j 0.00633676+9.20001e-17j 0.0235115+1.48111e-15j 0.105113+1.44841e-15j -0.314911+3.71909e-14j -0.0356681-1.10829e-13j 
0.0792192+8.32314e-14j 0.0814749+4.2614e-14j -0.0938308+1.66397e-16j 0.0633665+4.31552e-17j 0.030754-2.31614e-16j 0.0510437+1.13722e-15j 0.00122701-1.60254e-16j -0.00234693+7.90804e-16j 0.00120307+1.82182e-15j -0.0261456-1.38158e-15j -0.0117636+1.90512e-16j -0.00966559-8.52851e-16j -0.00578328+3.16885e-16j 0.000166051-4.24886e-16j 0.00286222+1.82698e-16j 0.00737804+8.32929e-17j -0.0145505+4.80432e-16j 0.00321128-1.71506e-16j -0.0318562-2.85676e-15j -0.0197804-3.48791e-16j -0.00912738-5.52709e-16j 0.0171911+7.04132e-15j 0.0239293+1.57277e-15j -0.0234214+4.68854e-15j -0.029141+1.80312e-15j 0.0576192+2.46794e-15j 0.0739641+3.17374e-15j 0.00446306+1.38521e-15j 0.0982+7.61155e-15j 0.0231162-1.01627e-13j 0.088351+5.14505e-13j -0.0652057+2.62894e-14j 0.213649-1.24482e-13j -0.118417-9.50343e-15j 0.123575-6.78827e-16j 0.0793601-1.90583e-15j 0.189994+2.93808e-16j -0.0815516+2.55757e-15j 0.0570969-1.28074e-15j -0.117036-1.4294e-15j -0.0022315-2.00227e-16j -0.0185369+1.19573e-15j -0.108215-4.27927e-13j -0.021401+3.84909e-15j 0.0426406-9.09164e-15j 0.201365+8.60114e-15j -0.368108+6.29684e-15j -0.102479-4.20727e-15j -0.177637-2.9328e-14j -0.265457-5.02524e-15j 0.0531736+1.6275e-14j 0.0590512-9.2012e-15j 0.0224304+7.65651e-15j 0.00307946-8.91072e-15j 0.101283-4.09791e-15j -0.235277-3.63269e-15j 0.17308-3.9944e-15j 0.232821-2.629e-15j 0.170455+8.16446e-15j -0.0526593-2.97237e-15j -0.142005-5.69003e-15j -0.00676323+7.65114e-16j -0.0210586+1.11112e-15j 0.0894857+7.45541e-16j 0.0291979+1.21875e-15j -0.0290239+9.37392e-16j -0.153297+4.50984e-16j 0.21981+1.01565e-15j -0.0492649-3.90935e-15j -0.225969-4.1219e-15j -0.0761079-6.996e-14j -0.156765+2.07422e-13j 
-0.0255498-2.85531e-14j -0.0314067-1.45595e-14j 0.0519218-1.85119e-16j 0.0247931+7.66398e-17j -0.0430768-1.80463e-17j -0.0199654-6.51165e-17j 0.0190799+5.28119e-16j 0.0364069-8.36161e-15j 0.0328095+4.86882e-15j -0.0114735-2.64045e-15j -0.0101606+1.93219e-16j -0.00958815-4.23513e-16j -0.00951388+1.04508e-15j 0.00771082-1.4102e-15j 0.00129572+4.29207e-16j 0.00194188+6.17834e-16j -0.00218908-4.82358e-16j -0.00646479-3.55591e-16j 0.00676069-4.46024e-16j 0.0093118-6.07441e-16j -0.0107032+5.29994e-16j 0.0337069+9.81985e-15j 0.0209111+2.19312e-15j -0.00596991+2.42585e-16j 0.00925076+1.86594e-16j -0.0178601-5.5585e-17j -0.0215366-2.64207e-16j 0.0240289+5.6867e-16j -0.058721-4.19049e-15j -0.0129991+5.45691e-14j -0.0350335-2.14109e-13j -0.00868775-1.04788e-14j 0.00373682-7.21545e-15j 0.119779-8.08327e-16j -0.046268+2.30502e-16j -0.181498+4.37344e-15j 0.10696-3.09179e-15j -0.18258+1.73992e-15j 0.207097+3.09977e-15j -0.106116-2.68135e-15j -0.121282-2.08281e-15j -0.2761+1.23363e-15j 0.155242+6.23373e-13j -0.0986352+8.55446e-15j 0.255712+1.30377e-14j -0.0861032-1.48549e-14j -0.0404469+1.80748e-16j 0.138843-1.03371e-16j -0.22402-4.0258e-14j -0.118339+5.95236e-15j 0.00267921-5.70824e-15j 0.0949928-8.53842e-15j -0.269659-1.54257e-14j -0.286841+3.50941e-14j 0.0484205+4.97402e-15j 0.305099-2.17768e-14j -0.0612946-2.05216e-14j 0.12727-8.2479e-15j 0.0888363-1.16217e-15j -0.0282446-1.07299e-14j -0.218498-5.78991e-15j 0.143511+6.63499e-15j 0.153006+4.64002e-15j 0.193132+2.40351e-15j -0.259663-4.35804e-15j -0.134772-1.53024e-15j 0.0103504+7.20287e-16j -0.0137153-4.16154e-16j 0.147899+3.18354e-15j 0.0988285+2.99997e-15j 0.0280632+3.81637e-14j 0.0811612-1.13665e-13j 
0.0739543+7.21959e-15j -0.124683+3.59472e-15j -0.00618124+7.83955e-17j 0.0194444-1.60736e-16j 0.0132032-1.27311e-16j 0.0210537+5.89701e-16j -0.0175002-1.95837e-16j 0.0198517-4.75898e-15j -0.000399865-6.7529e-16j 0.00600736-1.0667e-16j -0.0152885+2.85334e-16j -0.00861285-2.6574e-16j 0.00850729-8.38433e-16j -0.00991936+1.46978e-15j -0.00610448+5.92131e-16j 0.000980477+8.24789e-16j 0.00896491-1.28429e-15j -0.00986978+3.91071e-16j -0.00936661+3.63371e-16j 0.00757062-7.6418e-16j 0.0112482-4.00403e-17j -0.00347406-4.25482e-16j 0.0106554-2.23124e-17j 0.0118187-2.38369e-15j 0.0111492-6.42327e-16j 0.0174256+6.98578e-16j 0.0405139-3.42871e-17j -0.0558879-1.936e-16j -0.0878524+2.62448e-14j 0.0546616-3.7609e-13j 0.0550736+3.45856e-13j 0.0463492+1.60894e-14j 0.0446149-2.72383e-14j 0.00296511-2.37938e-15j 0.082533-6.35525e-16j 0.0416877-2.03819e-15j -0.0464373+1.33913e-16j -0.106566+9.68293e-16j 0.033357-7.02426e-16j -0.0550695-4.7754e-16j -0.0779248+1.00387e-15j 0.0106866-1.78757e-15j 0.0608367+2.36735e-13j 0.124389-4.52692e-15j -0.084651+2.49028e-16j 0.0862915+3.41226e-15j -0.0732244-1.99224e-15j 0.0274942-5.96212e-17j -0.0752383-6.37855e-15j 0.0632001-1.45505e-15j -0.0620154-1.15091e-14j -0.0141932+8.85664e-15j 0.141965+6.29225e-15j -0.0303535-3.21173e-15j 0.0889319-2.6263e-15j -0.0562356+3.58225e-15j 0.0426636+3.05895e-15j -0.024285-9.62452e-16j -0.0690457+3.75346e-15j -0.117858+4.40401e-15j -0.0494475-3.48902e-15j 0.0819039+1.94783e-15j 0.0153845+6.78819e-16j 0.0402254-6.85175e-16j -0.0760527-2.9352e-16j 0.119337+1.34412e-16j -0.0385779-5.78609e-16j 0.0165734+7.00215e-17j -0.0239622-1.37382e-15j -0.0863405-1.38614e-15j 0.186633-3.02489e-14j 0.00561191+9.021e-14j 
-0.0058952-3.14092e-14j -0.0778121-1.61404e-14j 0.0386353-2.21318e-17j -0.0195321-4.30712e-17j -0.0130615+1.77761e-17j -0.0151715-1.90361e-16j -0.0139239+6.12683e-17j 0.00835145-1.95856e-15j 0.00281951+2.90378e-17j 0.00322266-8.57676e-17j -0.00216441-3.21164e-17j -0.00696453+2.00512e-16j 0.0106838-5.78292e-16j -0.000799983+3.97736e-16j 0.00249471-2.24243e-16j 0.00300308+5.49943e-17j 0.003427-3.79499e-16j -0.000796893+1.76767e-16j 0.00301559+4.82917e-16j 0.00827084+7.61783e-17j -0.000214388+1.23567e-16j -0.00558471-2.34736e-15j -0.0112759-4.83091e-16j 0.0123734-2.32102e-15j 0.011307-7.86255e-16j -0.00927769-5.05986e-16j -0.00997634-9.22551e-16j -0.0176317-3.72047e-16j -0.0687178+3.44445e-15j 0.00382604-5.30743e-14j -0.0120979-6.3185e-14j 0.0343461-3.66797e-15j -0.0627535+3.57411e-14j 0.0516078+2.7164e-15j -0.0201077-1.08941e-17j -0.0263765+1.52054e-16j -0.0774287-2.37151e-16j -0.0183045-6.00711e-16j 0.00329214+5.59994e-16j 0.0178393+1.33681e-16j -0.033243+1.86859e-16j -0.00741161-1.14209e-15j 0.0700489+2.76455e-13j 0.0436636-2.44442e-15j -0.0279308+4.38456e-15j -0.0499304-3.03238e-15j 0.107406-2.90425e-15j 0.055471+1.6272e-15j 0.0252562+5.8896e-15j 0.111116+1.72985e-15j -0.0404192-1.02202e-14j -0.0206073+5.88129e-15j 0.0224714-1.85651e-15j -0.029918+4.24602e-15j -0.00359525+9.30793e-16j 0.0866757+1.39876e-15j -0.0528749+1.1157e-15j -0.0855627+1.46633e-16j -0.0799868-1.78299e-15j -0.022361+1.87993e-15j 0.0215128+4.44021e-16j 0.0399253+9.13543e-16j 0.0226471+2.21479e-16j -0.00689572-2.4383e-16j -0.0535656-9.98537e-16j 0.0424902-4.70453e-16j 0.043849-2.73682e-16j -0.0765744-4.37715e-16j 0.0192024+1.28996e-15j 0.0606937+1.36137e-15j 0.0938574+1.80064e-14j 0.0651043-5.30224e-14j 
-0.00174759-4.24894e-17j 0.00349348+5.88643e-17j 0.00126609-1.94572e-18j 0.00183337-9.71955e-17j -0.002216+3.78369e-17j -0.000844174-5.00793e-17j 0.00241957-1.12484e-17j -0.000614782+9.10631e-17j 0.000121427+5.13785e-17j -0.000718288+9.32498e-18j 0.00157981-5.85015e-17j -0.00056078+9.14697e-17j -0.000875998+8.76909e-17j 0.00147726-2.08134e-16j -0.000869699+1.2524e-16j -0.0015179+7.34881e-17j 0.000354348-1.27353e-16j 0.000871444+1.01614e-17j -0.000672728-8.23012e-17j 0.001304-9.37494e-17j -0.000243803+2.62097e-17j 0.00224412+5.9129e-16j 0.00123258+6.96217e-17j 0.00095469-7.97205e-17j 0.000300395-8.32472e-17j -0.000452079-1.81542e-17j 0.000498769-1.26339e-17j 0.00123544+4.67586e-17j 0.00121493-5.98923e-17j -0.000159759+1.44409e-15j -0.00157885-9.51893e-15j 0.00020438-4.47407e-16j 0.00179072-1.37779e-15j 0.00226349-1.68642e-16j -0.00136297-7.12131e-17j -0.00541266+3.2416e-16j 0.00600831-3.81472e-16j -0.00450673+4.57734e-16j 0.00627841-2.78593e-16j -0.00351052+1.96327e-16j -0.00239134+1.4242e-16j -0.00863398+4.94148e-16j 0.00241553+9.73386e-15j -0.00547309+4.71592e-16j 0.00966183-6.68522e-17j -0.0020326-5.09181e-16j -0.00382253+5.14412e-16j 0.00268797-1.8045e-16j -0.00732596-8.9845e-16j -0.00760505+5.0694e-16j 0.00177398+2.02096e-16j 0.00371928-7.00518e-16j -0.0104361-1.99091e-16j -0.00805196+1.45767e-15j 0.000837644-4.5751e-17j 0.00769915-9.79932e-16j -0.000800971-7.9581e-16j 0.00680273-6.25818e-16j 0.00570769-2.50707e-16j 0.000752745-2.8431e-16j -0.00722721+2.91058e-16j 0.00267745-8.17942e-17j 0.00403478-7.65014e-17j 0.00602782-2.87455e-16j -0.00613151+2.81801e-16j -0.00673301+1.14603e-16j -0.000620988+1.70897e-16j 0.00171913-1.74809e-16j 0.0045595-8.2725e-17j 0.00210107+1.63202e-16j -0.00373326+9.10518e-16j 0.00061759-2.95744e-15j 
-0.0066932-4.67419e-16j 0.0117405-3.09909e-16j 0.00235015+1.95157e-17j 0.00084212+4.94898e-17j -0.0036895-3.5117e-18j -0.00262469-1.09553e-16j 0.0054867+2.37948e-17j -0.00426731+1.02427e-15j -0.00191732-1.16079e-16j -0.000141311+1.61425e-16j 0.00529517-2.41684e-16j 1.44155e-05+2.04646e-16j -0.00185202+1.23836e-16j 0.00329789-4.11807e-16j -0.00237645+2.60264e-16j -0.00430918+1.29307e-16j 0.00138435-2.85674e-16j 0.00256292+1.17315e-17j -0.000740892-1.3881e-16j 0.00304455-1.41601e-16j 0.000335454+1.34031e-17j 0.00295585+8.33442e-16j 0.00104651+1.60603e-16j 0.00307876-3.228e-16j 0.000807886-2.4652e-16j -0.00226849-6.28766e-17j -0.000630523+3.85761e-17j 0.00272+4.21477e-17j 0.00632608-8.58113e-16j -0.0013547+1.11148e-14j -0.00559855-3.32301e-14j 0.00187712-1.66553e-15j -0.00286017+1.76475e-15j 0.000966449+2.30049e-16j -0.00585285+6.39117e-17j -0.00475019+7.74618e-17j 0.00373126+3.63118e-17j 0.00578589-2.44459e-16j -0.000451387+2.47116e-16j 0.00288414-1.0353e-16j 0.00406372-2.08232e-16j -0.0030143-6.69027e-17j -0.0027405-1.03585e-14j -0.00962891+3.67096e-16j 0.00810356+2.74474e-16j -0.00714025-3.9165e-16j 0.00522835+3.03249e-17j -0.000302464+1.13027e-16j 0.00337573-1.08849e-16j -0.00531594+6.61471e-17j 0.00431543+7.26831e-16j 0.00171102-6.28648e-16j -0.012348-7.14695e-16j -0.000429504+3.35709e-16j -0.00616254+3.3291e-16j 0.00697689-2.71245e-16j -0.00382901-4.0535e-16j 0.00267043+1.01973e-16j 0.0053239-2.37328e-16j 0.00814732-4.82451e-16j 0.00161122-4.90999e-18j -0.00468793+5.1127e-17j 0.000149402+1.06612e-16j -0.00123478+2.35694e-16j 0.00298762-2.50175e-16j -0.0100391-7.75959e-17j 0.0029963+2.04372e-17j -0.00131454+1.25051e-17j 0.00355977+2.24591e-16j 0.00711883+1.3742e-16j -0.0137265+2.74051e-15j 0.000377938-7.84204e-15j 
-0.00237613-1.51097e-15j 0.000477214-7.74326e-16j 0.00265051+4.60248e-17j -0.00162037-6.69855e-17j -0.00226886-2.75299e-17j -0.00190558-8.60447e-17j -0.000277828-5.30903e-17j -0.00237562+5.00344e-16j -0.0010709-6.15962e-17j -0.00122528-4.29851e-18j 0.00233322-8.14131e-17j -0.0016729+6.41986e-17j 0.00112972+1.6301e-17j 0.00176041-1.41786e-16j 6.89887e-06+6.18917e-17j -0.000896709+2.25121e-17j -1.66911e-05-1.27556e-16j 0.00204562+8.68262e-17j -0.00162994-2.22414e-16j 0.00135306-6.27216e-18j -0.000914859-5.37286e-17j 0.000527667+4.80813e-17j -0.00176797-8.27541e-17j 0.00232528-2.05531e-16j 0.000126133-1.70018e-16j 0.000382494+3.15016e-17j 0.000978057+7.39333e-17j -0.000206403+1.10957e-17j 3.21805e-05-3.40681e-16j -0.00078482+4.83628e-15j -0.00133776-7.4427e-15j 0.00219233-3.64787e-16j -0.00387825+2.2005e-15j 0.000871052+1.63014e-16j -0.00211363-1.90213e-17j -9.44116e-05+8.26279e-17j -0.00383775-1.39051e-16j 0.00371467+9.14871e-17j -0.00315959-1.6589e-16j 0.00346318+1.83701e-16j 0.00158552+9.41133e-17j 0.00277888+1.65182e-16j 3.52339e-05+3.88288e-17j 0.000306291-4.25398e-17j -0.00244998-1.40075e-16j -0.00345309-9.81573e-17j 0.00743298+1.24696e-16j 0.000421021+3.96684e-17j 0.00567543+1.1586e-15j 0.00523262+2.57121e-16j -0.000523271-1.68785e-16j -0.00188566+7.60452e-17j 0.000943974+1.06635e-16j 0.00271849+5.60316e-17j -0.00294296-3.56346e-17j 0.00186548+1.61983e-16j -0.0028773+1.77907e-16j -0.00508328-7.38217e-17j -0.00331265-3.09365e-16j 0.00212811+1.65974e-16j 0.00487347+3.98932e-16j -0.00176968-1.79512e-16j -0.00121486-1.58035e-16j -0.00366546-2.03516e-16j 0.00227056+1.66011e-16j 0.000600755+8.6883e-17j 0.00294573+6.63612e-17j -0.00398155-1.27235e-16j -8.30594e-05-9.80531e-18j 0.00393222+1.25553e-16j -0.000540721+1.22162e-15j 0.00208397-3.54544e-15j 
-0.00173651+1.3801e-16j 0.000892884-8.86878e-16j 0.00171797-1.06463e-15j -0.000821826+5.36206e-16j -0.00176179+1.07116e-15j -0.00126268+7.52968e-16j -0.00060878+4.31642e-16j -0.000877084+7.55088e-16j 8.62005e-05+6.60241e-17j -0.00150974+8.72539e-16j 0.000846658-5.60652e-16j -0.00140717+9.19873e-16j 0.000871833-5.80576e-16j 0.00108368-7.71413e-16j 0.000642689-4.30813e-16j 0.000213391-1.67049e-16j -0.000642988+3.89758e-16j 0.00124788-7.60256e-16j -0.00115539+5.69417e-16j 0.000287371-1.55595e-16j -0.00128537+7.80031e-16j 0.000635581-2.35044e-16j -0.00124653+8.13186e-16j 0.0006781-4.66624e-16j -0.000414035+2.12073e-16j 0.000655633-4.07597e-16j 0.000436695-2.41047e-16j 0.000881669-4.59235e-16j 0.000558947-9.28248e-16j -0.00146032+1.01349e-14j -0.000810475-4.54052e-15j -0.000344831-5.85399e-17j -0.00129344+1.54254e-15j 0.00127248-7.06651e-16j -0.00177891+1.0576e-15j -0.00222332+1.34884e-15j 0.000778666-3.8662e-16j 0.000179025-1.34408e-16j 0.000876407-4.26754e-16j 0.000417709-2.9963e-16j 2.46186e-05-3.80457e-17j -0.00216323+1.23365e-15j 0.000840811+2.92404e-15j -0.00224273+1.3509e-15j 0.00283152-1.43425e-15j -0.00257067+1.34032e-15j 0.00212998-1.35854e-15j 0.00113368-6.67372e-16j -4.73607e-05-1.59463e-16j -0.000622724+3.1145e-16j 0.000562941-2.47294e-16j 0.000599495-4.44923e-16j -0.00396284+1.9989e-15j -0.00184915+1.39435e-15j -0.00115894+7.7914e-16j 0.00401962-2.56177e-15j -0.0017376+8.75786e-16j 0.000297576-9.64876e-17j 0.000855392-4.92085e-16j 0.00151756-9.97762e-16j -0.000427049+2.02658e-16j 0.000150136-7.41396e-17j 0.00101677-5.58994e-16j 0.000571606-2.57765e-16j -0.00124048+6.85987e-16j -0.00249696+1.36846e-15j 0.00122182-7.44786e-16j -0.00133547+8.49353e-16j 0.00169134-9.12498e-16j 0.00292768-1.69307e-15j -0.00181837+1.98029e-15j 0.0012865-3.80259e-15j 
