-0.221649+1.43495e-12j 0.191763+3.14973e-13j -0.10553-3.53903e-15j 0.183779+5.53892e-15j 0.0750578-3.65466e-15j -0.0557643-8.00221e-15j -0.0318248-1.47398e-15j -0.0162848+1.16491e-15j -0.0838409-2.08082e-15j 0.144112+1.08606e-15j 0.00848093+8.43559e-15j -0.049725-1.83413e-15j -0.150215-6.08316e-15j -0.140017-2.76067e-14j -0.00641913-2.82521e-15j -0.0425919+2.48606e-15j -0.0832968-2.45835e-14j -0.0723952-3.48004e-14j 0.208971+3.0751e-14j -0.0252898-5.08639e-15j 0.173541+2.96222e-14j -0.0270576-1.26963e-14j 0.169254-1.08506e-14j -0.0391338+4.82856e-14j 0.147838-1.11225e-14j -0.108271+3.60761e-14j 0.0572889+1.31355e-14j -0.146855-6.66335e-15j 0.00894277+1.60775e-14j 0.136335-1.78597e-14j 0.057958+2.93128e-15j 0.192739-5.34234e-15j -0.0785091+4.70013e-15j 0.0788708-1.1029e-13j 0.203267+2.54053e-14j 0.0014208+2.33249e-14j -0.0234448+1.09083e-14j -0.0684904+1.98934e-14j 0.042435-1.7583e-14j 0.00180857-9.52989e-15j 0.0701494-1.30893e-14j -0.0808264+1.60482e-14j 0.088079-8.87781e-15j -0.102689+1.13687e-13j -0.146436+7.76105e-15j 0.0529715+1.68919e-14j -0.00875069-2.77547e-14j -0.127358+3.33049e-14j -0.274954+4.91065e-15j 0.0207918+8.11168e-15j 0.112779-1.25787e-14j -0.0684978-5.03472e-14j 0.0794012+5.91877e-15j -0.00193463-5.33255e-15j -0.0451215-1.63486e-15j -0.0400549-4.06245e-15j 0.0737295+1.15477e-14j -0.00502064+6.55564e-15j 0.0478258-7.25331e-15j -0.0353828-5.54605e-14j -0.113592+3.24639e-14j 0.0715054+3.4569e-15j -0.0535886-2.54877e-15j 0.0612724-7.09863e-16j 0.0837428-1.48116e-15j -0.1563-1.248e-15j -0.0248547+2.47397e-15j 0.00833799-2.60677e-15j -0.0530087+1.904e-15j -0.0942649-1.73838e-15j 0.00665459+4.31517e-16j -0.0845531+4.63186e-15j 0.0420089+1.47527e-15j 0.0566254+2.8033e-15j -0.241596-7.8429e-16j 0.204234+3.04924e-13j -0.139815-1.36745e-12j 
0.0767782-9.94913e-13j 0.218728-2.16614e-13j 0.0732414+4.90368e-15j -0.141505-9.52499e-15j 0.184629+3.57864e-15j 0.0753923+1.32138e-14j 0.0129261+4.75809e-15j -0.0640591-1.64299e-15j 0.0954912+4.14444e-15j -0.0694888-6.24658e-15j -0.136881-7.18163e-15j 0.108419+2.85546e-15j -0.139885+1.04138e-15j 0.0845108+1.62983e-14j -0.00360353-4.65838e-15j -0.176719+2.42173e-14j -0.0241731-1.22229e-14j 0.0451602+2.61482e-14j -0.131099-2.58057e-14j 0.0823989+7.83001e-15j 0.0415981+9.04915e-15j -0.0459502-7.48981e-15j 0.258847+2.29201e-15j -0.0103358+2.97232e-14j 0.0889371+1.43585e-15j 0.0712386-1.657e-15j 0.0576195+1.12563e-15j 0.270746-2.82434e-14j 0.147487-3.5706e-14j 0.120712-1.76459e-14j -0.067766-1.46503e-15j 0.0687442-4.46134e-14j 0.126105-1.16532e-13j 0.099375-1.73596e-13j 0.0118427+3.49472e-15j -0.180139-3.54001e-14j 0.063413+1.21478e-15j 0.115482+9.53844e-16j 0.113311+1.38275e-14j 0.0571109-1.36935e-14j -0.225886-3.50719e-15j -0.0262052-6.15646e-15j -0.0534976-2.11663e-14j -0.161369+1.41213e-13j 0.117127+7.18809e-15j 0.0708378+9.81641e-15j 0.139738-1.0503e-14j -0.0787328+2.69024e-14j -0.0327367+4.13766e-15j 0.0133875-1.67154e-14j -0.123797+1.69252e-14j 0.111323+6.98261e-14j -0.0518827-4.25635e-15j -0.104354+5.28223e-15j -0.0764694-1.65946e-15j 0.0325035-3.26834e-15j 0.00355918+1.89986e-15j 0.0774856+8.49152e-15j 0.0245767-7.29228e-15j 0.111068+1.73411e-13j -0.115604+3.40904e-14j -0.0878224-4.07431e-15j -0.0236888-2.76192e-15j 0.110516+5.17091e-15j 0.046741+6.19834e-16j -0.0379624+4.53662e-15j -0.104448-5.36412e-15j 0.139905+2.22241e-14j 0.0308896-2.9747e-16j 0.122183+5.60152e-15j 0.10183+9.09167e-16j 0.123492-4.68405e-15j -0.111156-4.1373e-15j -0.0584884-2.96348e-15j 0.0424505+5.37785e-15j 0.189662-9.92262e-14j 0.10419+4.59156e-13j 
0.00571362-3.41777e-13j 0.167271-7.57904e-14j 0.151622-1.50303e-16j 0.110061+1.34647e-15j -0.00230997-1.70612e-15j -0.0346846-5.56431e-15j -0.185734-9.28996e-16j 0.0341131+7.66381e-16j -0.0368665-4.72298e-16j -0.0277523+2.17883e-15j 0.0796099-2.06306e-15j 0.072396+1.44018e-15j 0.186533+3.23697e-15j -0.159099-2.22725e-14j 0.0408446-6.88777e-15j -0.123908+1.60419e-14j -0.0105789-2.02845e-14j 0.100132+8.63064e-14j 0.0258179+1.81914e-14j -0.0402676-6.48197e-15j 0.0831909+1.38932e-14j -0.0410666-1.28221e-14j -0.110754-1.87778e-14j -0.184934+1.72795e-13j -0.163487+1.05807e-14j -0.00204926+8.35412e-15j -0.190215-3.90826e-15j 0.0633904-2.00838e-14j 0.0644337-3.26008e-14j 0.0887044-3.83163e-14j 0.327822-5.50088e-14j -0.215743+1.05046e-13j -0.122748+1.71176e-13j -0.185176+2.91328e-13j -0.104747-3.42529e-14j -0.00883363-1.02236e-14j -0.0693038+1.41101e-14j 0.163894-1.38475e-14j -0.0909744+1.90136e-14j 0.23015-2.09546e-15j -0.0840201+1.90745e-14j -0.132384+2.19762e-14j -0.130457+1.76212e-14j 0.0594389-7.26405e-14j -0.00232592+4.0465e-15j -0.118474-2.82666e-14j -0.0547607+1.32869e-14j -0.00622431+7.14266e-15j -0.0143207-7.81791e-15j -0.0081154+3.25579e-14j 0.138581-1.92649e-14j 0.0269537+1.39479e-14j -0.0783716-3.95617e-15j -0.224778-2.31403e-15j -0.0741317+1.31045e-14j 0.176839+1.31327e-14j -0.00699061-9.60968e-15j -0.198998+1.81344e-15j -0.149638+3.46853e-14j -0.0492342-7.74615e-14j -0.0312084+1.23015e-14j -0.050748+3.4013e-15j 0.0490394+6.21113e-15j -0.00958525-5.82698e-16j 0.0695974-1.93318e-15j -0.0362843+6.83957e-17j 0.00945504+2.81026e-15j -0.0591538-8.38949e-15j -0.10156+3.49895e-15j -0.0685255-1.38886e-16j 0.0702528+1.3114e-15j -0.038914-4.63742e-16j -0.120588-1.44147e-15j 0.118673+6.40233e-17j -0.0179992-1.73175e-15j 0.177158-3.40284e-14j 0.0599806+1.48306e-13j 
0.00148-1.11839e-13j 0.0564202-2.44171e-14j -0.000831443-9.25839e-16j -0.0474343-3.24352e-15j -0.140492-2.37143e-15j -0.0409242-3.65563e-15j 0.217425+6.74906e-15j -0.121864-4.4729e-15j 0.0274434-6.65278e-15j 0.0361713+7.24612e-15j 0.163384+4.03121e-15j 0.158753-2.63748e-16j -0.129175-7.31771e-15j -0.223392-4.3222e-14j 0.0396314+9.47463e-16j 0.0718216-1.86147e-14j -0.0502533-1.08444e-14j 0.0810331+7.6078e-14j -0.0252516+5.00261e-15j -0.224703-6.54018e-15j 0.0746647+1.59123e-14j -0.0232488-8.55379e-15j 0.0337164-6.81263e-15j -0.111729+1.11512e-13j -0.109999+7.71658e-15j 0.162741-9.00781e-14j 0.0970365-1.88741e-14j 0.0375813+2.11918e-14j -0.0805792+1.81757e-15j -0.129953+3.05259e-14j -0.057261+5.39616e-15j -0.0152247-4.66587e-14j 0.150042-1.01025e-13j -0.0177118+4.09909e-14j -0.0365353-2.01706e-14j -0.144251-3.27894e-14j -0.00590511-3.08831e-14j 0.252982-4.15141e-14j -0.200304+4.441e-14j -0.23631+4.37571e-14j 0.192808+1.72315e-14j -0.121196+4.13544e-15j 0.0267967+1.60661e-14j 0.139264-1.31687e-13j 0.0273276+7.05037e-15j 0.140867+3.21532e-14j 0.08356-2.27838e-14j 0.00132146+1.11512e-14j 0.0333277+1.62036e-15j -0.0696684+1.5309e-14j 0.048681-1.81387e-14j 0.0701053+5.18719e-14j 0.00989483+2.6571e-15j -0.0623325+8.91052e-15j -0.0541049-5.64479e-15j -0.0150366+1.58302e-15j 0.252725+3.7408e-14j -0.0987986+8.7574e-15j 0.0744733-1.47163e-14j -0.149989-2.28604e-13j 0.055026-1.07047e-14j -0.131962+2.82988e-15j -0.052104+5.7983e-16j 0.213471+9.71235e-15j 0.095134+7.47059e-15j -0.109795-7.24259e-15j 0.00747542+2.17121e-15j -0.146834-2.46654e-14j 0.0626174-9.16933e-16j 0.16173+5.16675e-15j -0.197395-9.01745e-15j 0.0137346+3.94065e-15j 0.0945104+6.39608e-15j -0.0500722-2.33967e-15j 0.0189395+1.54847e-15j 0.0642893-9.65749e-15j 0.0204548+4.4083e-14j 
-0.0463658+5.44567e-13j -0.0982022+1.20212e-13j -0.108115-7.17311e-16j -0.0999855-1.79589e-15j -0.0323732-2.21537e-15j -0.0294069-2.82117e-15j 0.0751263+4.00942e-15j -0.16245-2.62199e-15j -0.127793+1.45787e-15j 0.110384-1.07349e-15j -0.109354+3.2715e-15j -0.0326285+4.58966e-15j 0.103306-1.74929e-16j -0.0551766-1.64452e-14j 0.0197498-1.05749e-15j -0.277192+4.9748e-14j 0.161479+2.29203e-14j 0.0595546+2.73112e-14j -0.112652-2.18886e-14j 0.136043-2.15913e-15j 0.161717+2.10707e-14j 0.0187136-1.85666e-14j -0.0119657-8.37401e-16j 0.0356308-3.38542e-14j 0.0297114-1.53172e-15j 0.0550807-2.18172e-14j -0.0760548+2.60545e-15j -4.94106e-05+2.75051e-14j -0.130701+1.80962e-16j 0.00167628-5.97905e-15j 0.194771-7.91712e-15j 0.117323-2.25272e-14j 0.0914728-7.96517e-14j 0.125577-2.26544e-13j -0.0442838+1.14354e-14j 0.0896251+2.99919e-15j -0.225261+2.46957e-14j 0.1294-1.76811e-14j -0.0814054+3.01119e-14j -0.112257+1.09675e-15j -0.214125+2.09298e-14j -0.111368+5.80817e-15j 0.127328+1.2034e-14j -0.00742635+2.66564e-14j -0.0625455+1.28728e-15j 0.090722+1.56854e-14j -0.19699-6.52626e-15j 0.201638-6.64438e-14j -0.0156313-1.97487e-14j -0.0997195-1.02711e-15j -0.137409+4.72418e-15j 0.217542+1.28275e-13j 0.0421238+1.81792e-15j -0.0493674+2.765e-15j 0.0443567+1.37455e-14j 0.0658302+6.25187e-15j -0.171156-2.94472e-14j -0.16805-1.89256e-14j 0.0373321-5.0584e-15j 0.0280441+4.28172e-14j -0.0693729+1.97981e-14j 0.241643+4.57362e-15j 0.0184408+9.01579e-16j -0.00836415+7.18619e-15j 0.0670957-2.44084e-16j -0.0903352+1.80556e-15j -0.141517+9.47862e-17j 0.108592+1.42154e-14j -0.119978+2.61593e-15j 0.0369021+3.01487e-15j -0.156675-5.2738e-15j 0.0181737+3.39014e-15j 0.0904767+3.9578e-15j -0.12872-7.48348e-16j 0.00234734+1.81313e-15j -0.10514+1.10263e-13j -0.0902337-4.90486e-13j 
-0.0842606+7.95293e-13j -0.0681979+1.74926e-13j -0.145947-4.59212e-16j -0.0821904+1.69521e-15j 0.132683-1.3066e-15j -0.0773156-7.55295e-15j -0.0871036-1.93045e-15j -0.0571786+1.59028e-15j 0.0591388+9.52422e-16j -0.11833+1.29484e-15j 0.0161032-4.1331e-15j -0.073478+1.31895e-15j 0.0839791+3.41319e-15j 0.0872253+1.56794e-14j -0.0844957+2.03617e-15j -0.0417251+3.9391e-15j 0.0543877+1.48165e-14j 0.000447233+7.19572e-15j 0.0743337+1.61905e-14j -0.113953-9.46623e-15j -0.207033-1.97764e-14j -0.0812843+1.14219e-14j 0.0298507-1.3609e-14j -0.203445+2.11643e-13j 0.0360661-3.69094e-15j 0.127129-7.62044e-14j 0.0119958-1.44319e-14j 0.0349929+2.16379e-14j -0.111999+3.92948e-15j -0.201128+3.69197e-14j 0.0401511+8.54033e-15j 0.0933973+8.08003e-15j -0.100746+3.99491e-14j 0.020806-2.1646e-14j 0.00213334-1.56628e-14j -0.0718478-7.9973e-15j 0.247639-2.72378e-14j 0.280774-2.22325e-14j -0.000593288+2.29496e-14j 0.237394+1.30562e-14j -0.0443212+1.96215e-15j -0.0764962-4.03031e-15j 0.192242-1.01035e-14j -0.0136947+4.60052e-14j -0.110623+5.61518e-15j -0.0343993-2.36525e-14j 0.158887+1.50324e-14j 0.0402892+1.10045e-14j -0.046903-4.12538e-15j -0.118709+6.29609e-14j 0.231605-4.98327e-14j 0.14286+8.72465e-14j 0.10228-1.59299e-16j -0.0251664+2.29543e-15j 0.0897579+1.12124e-14j 0.00375324+5.15893e-16j -0.109275-1.21569e-14j 0.0270975-9.54575e-15j 0.169431-3.88512e-14j -0.163913-2.42226e-13j 0.123991-3.88177e-14j -0.129146-2.20782e-15j 0.015394+2.23764e-15j -0.0467889-5.86801e-15j -0.245031-1.88052e-15j -0.0266904+1.39871e-16j 0.0485798-7.04472e-15j 0.161673+1.79372e-14j -0.0491415+1.99125e-16j 0.0304707-2.26177e-15j 0.112116+2.16991e-15j -0.0153069-1.08729e-15j -0.0445045-1.7189e-15j -0.159274+2.87656e-15j -0.0946451+1.34185e-15j -0.0584599+2.12006e-13j -0.141905-9.47474e-13j 
-0.0457779+3.47691e-13j 0.0107711+7.62052e-14j -0.0488234+2.50907e-16j -0.114998+7.49393e-17j 0.0101189-1.10142e-15j -0.137189-1.33027e-14j -0.068788-8.98409e-16j -0.111531+5.48614e-16j -0.085491+5.47185e-16j -0.185803+5.57228e-15j 0.0997615-3.58678e-15j -0.0230362+1.07324e-15j 0.0176183-1.0696e-15j -0.0427565-5.82944e-15j 0.102393-5.49921e-15j 0.0279351-3.50001e-15j -0.130132-1.53373e-14j -0.162565-1.16374e-13j -0.0615244-2.2657e-14j 0.168669+1.18721e-14j -0.0667742-4.20424e-15j 0.033244+6.23229e-15j -0.0211257+4.28215e-15j 0.0209499-1.09499e-14j -0.00465605+1.37847e-15j 0.0978677-9.01976e-14j 0.140766-7.22585e-15j -0.145894+1.57793e-14j 0.00767126+3.5567e-14j 0.0130237-2.07452e-15j 0.127563-4.28691e-15j 0.032988-1.97213e-14j 0.0988275-8.83869e-14j -0.204232+3.54502e-13j -0.0631622-3.94414e-14j 0.0197145-2.58645e-15j 0.135533-1.22e-14j -0.067181+2.81059e-14j 0.213774-2.32458e-14j -0.0589401-4.00598e-15j -0.0542099-1.25764e-14j -0.118048+1.76638e-14j -0.113661+3.50225e-14j 0.212026-2.27219e-13j 0.194049-5.58203e-15j 0.154593+7.88551e-14j -0.219505-2.76667e-14j -0.0515058-1.00651e-14j -0.214697+1.04677e-14j -0.0734132+1.13404e-14j -0.0581754+3.90609e-15j 0.00482921+9.11964e-15j -0.154462-1.01484e-14j 0.100163-2.94435e-16j -0.261483-8.35315e-15j 0.0221784-1.33111e-14j -0.00325392+9.41641e-15j 0.0997642+4.54979e-15j 0.149464-3.43636e-14j -0.0439079-6.60735e-14j 0.0585832-2.32647e-14j -0.0786645-4.79745e-15j 0.0123926+4.75081e-15j -0.230053-3.00307e-15j 0.143112+4.16458e-16j -0.0260188-8.928e-16j 0.188313-2.52092e-15j 0.0451378-1.95611e-15j -0.105432+4.47067e-15j 0.0659203-8.10728e-16j -0.0861934+2.77621e-15j -0.0907973+7.10463e-15j -0.160237-1.65415e-15j -0.180502+1.87739e-15j 0.0295043+8.68728e-16j 0.042686+1.26287e-13j -0.0673755-5.65963e-13j 
0.0796799-5.73344e-13j -0.0353077-1.26067e-13j 0.0480121+3.0258e-15j -0.0604078-2.92368e-15j -0.0124598+8.45482e-16j 0.030018+4.59858e-15j 0.0138382+8.20702e-16j 0.00761678-8.8484e-17j 0.0339848+1.39988e-15j -0.0435751-1.76731e-15j -0.0156209-2.54867e-15j 0.0277323+1.51023e-15j 0.0274423+2.46685e-15j 0.0488922+9.68758e-15j 0.00397014+8.38406e-16j 0.00488243+7.68529e-16j 0.0193456+5.42896e-15j 0.0257997+1.31062e-14j -0.075551-1.2845e-14j 0.0176231+2.57524e-15j -0.0415321-8.05738e-15j 0.00804023+3.16938e-15j -0.0302638+3.22822e-15j 0.0219885-2.3609e-14j -0.0384055+2.23786e-15j 0.0290515-4.70804e-15j -0.0134144-3.47929e-15j 0.0672374-1.36825e-15j 0.01838-7.86332e-15j -0.020337+2.03983e-15j -0.0314624-1.04705e-15j -0.0593369-3.90423e-15j 0.0362644-1.03285e-14j -0.0156968+1.7338e-14j -0.0586489-7.35207e-15j -0.0130146-9.69382e-15j 0.00262411-2.18164e-15j 0.0122245-4.35858e-15j -0.00259648+4.27564e-15j -0.00426029+7.49067e-16j -0.034593+3.16122e-15j 0.0311285-5.34261e-15j -0.0420379-9.17896e-16j 0.0145317-2.06089e-14j 0.058842-8.15007e-16j -0.0124601-4.89315e-15j 0.0124203+7.28328e-15j 0.0267134-6.99217e-15j 0.0859441+7.81275e-16j 0.00426389-7.22027e-15j -0.0542875+7.34088e-15j 0.018159+1.35858e-14j -0.032551-3.04718e-15j -0.0061151+1.34482e-15j 0.00553588-8.12898e-16j 0.0127296+1.45337e-15j -0.0148616-2.0464e-15j 0.010057-8.38535e-16j -0.0237452+3.10573e-15j 0.0299031+4.62859e-14j 0.0185754-4.68636e-15j -0.0250987-2.13294e-15j 0.0131553+5.8489e-16j -0.00521592+8.06922e-16j -0.0127107+9.62095e-16j 0.0485518+1.56063e-15j -0.00357405-5.51412e-16j -0.00037271+8.43132e-16j 0.0247783-3.3663e-16j 0.0351104+1.43027e-15j 0.00601658-7.72208e-17j 0.0378299-1.55639e-15j -0.0199379-1.36827e-15j -0.00935822-7.2196e-16j 0.0814607+2.01327e-15j -0.0424283-1.1563e-13j 0.0609156+5.20617e-13j 
0.00173872+1.60251e-13j -0.0997436+3.51389e-14j -0.0242744-1.61721e-15j 0.00794072+1.60443e-15j -0.0525801+1.70262e-16j -0.00947076-2.12703e-15j 0.00921916-8.49861e-16j 0.015182-1.6456e-16j -0.0169001-5.89195e-16j 0.01032+1.21086e-15j 0.0178979+6.47709e-16j -0.0358034-6.54773e-16j 0.0518356-1.23216e-16j 0.0116951+1.62568e-15j -0.00564293+1.95925e-15j 0.0445651-5.44681e-15j 0.0298155+9.58191e-15j -0.00662648-7.37186e-15j 0.0083143+2.03003e-15j -0.00940268-1.22445e-15j -0.0340263-6.39981e-15j 0.0174757+3.70567e-15j -0.0817172+2.73677e-15j 0.0208264-2.62164e-14j -0.0238231+5.86312e-16j -0.00958985-1.30818e-15j -0.0188433-4.05839e-16j -0.0571689+1.03174e-14j -0.0504646+8.95826e-15j -0.053731+8.94189e-15j -0.00274537+3.26334e-15j -0.0190174+7.73537e-15j -0.0216586+2.19658e-14j -0.0113023+1.93389e-14j -0.0183371+9.62052e-16j 0.0556593+8.41484e-15j -0.0182563-3.9143e-16j -0.0299962-1.88584e-15j -0.031468-1.73492e-15j -0.0226791+3.73483e-15j 0.0430485+1.43054e-15j 0.0258327-2.26609e-15j 0.0244563+5.16452e-15j 0.0404862-3.44666e-14j -0.0251739-3.3412e-15j -0.0220078-4.89049e-15j -0.0358172+6.76103e-15j 0.0470523-1.44594e-14j 0.0438242-3.095e-15j -0.00793909+1.48142e-15j 0.00891728-2.1123e-15j -0.0139675-8.09932e-15j 0.0175553+1.38494e-15j 0.0404561-6.16003e-16j 0.0426944+1.03519e-15j -0.0133131+7.44971e-16j -0.0267153-4.37407e-15j -0.0128671-4.24298e-15j -0.00317937+1.48173e-15j -0.0181884-2.83251e-14j 0.0420394-1.28929e-14j 0.0335492+8.95785e-16j 0.0116085+3.5836e-16j -0.0384317-1.07002e-15j -0.035094-2.83649e-16j 0.030198-1.19132e-15j 0.0198379+4.81355e-16j -0.0229337-2.55127e-15j -0.000964427-4.30505e-16j -0.0220773-1.14973e-15j -0.0291843-3.25785e-16j -0.0184827+6.85089e-16j 0.0374225+1.1803e-15j -0.00141438-4.03638e-17j 0.0143677-1.71975e-15j -0.0952283+4.00917e-16j -0.0217597-4.72067e-15j 
0.00482727-6.76249e-14j 0.0163106-1.49162e-14j 0.0172542-5.74825e-17j 0.00999683+9.68715e-17j -0.00166895-1.2478e-16j 0.000776521-1.80519e-16j -0.0119169-6.20539e-17j 0.00681394-1.33073e-17j 0.000194655-2.04772e-16j -0.00269822+1.40078e-16j 0.00694065-1.59249e-17j 0.00874443-6.94273e-17j 0.00794134+1.97725e-16j -0.0109821-1.58358e-15j 0.00429968-4.56611e-16j -0.00220158+9.82858e-17j -0.00556427-2.34888e-15j 0.00641881+5.63183e-15j 0.000922791+1.24872e-15j -0.00323423-1.76324e-16j 0.00649101+9.46713e-16j -0.00173459-7.17898e-16j -0.00678737-1.04136e-15j -0.00920551+8.18538e-15j -0.0129897+8.82073e-16j -0.00305016+2.51696e-15j -0.0113682-2.64134e-17j 0.00629487-2.94656e-15j 0.0108576-2.8129e-15j 0.0106821-3.39596e-15j 0.0163774-3.67143e-15j -0.0200696+7.26738e-15j -0.0068617+1.17356e-14j -0.015708+2.48273e-14j -0.00703827-2.35323e-15j -0.00267989-9.19079e-16j -0.00471053+9.25133e-16j 0.00369999-2.5162e-16j -0.00429448+3.50109e-16j 0.0131191-5.44366e-16j -0.00134175+1.04405e-15j -0.00492217+1.2406e-15j -0.016919+1.10428e-15j 0.00401209-6.05664e-15j 0.00514999+1.11214e-16j -0.00901412-1.67544e-15j -0.00147922+5.46108e-16j -0.00602745+1.86792e-15j 0.00147284-1.70632e-16j 0.0043263+6.62394e-16j 0.00634429-6.30249e-17j -0.00516152-3.20992e-15j -0.00928429-3.5368e-16j -0.0147825-1.21477e-16j -0.00851678+2.22931e-16j 0.0109847+7.42718e-16j 0.00619648+4.06756e-16j -0.0101871+7.66377e-16j -0.014979+3.45317e-15j 0.000288509-2.62306e-17j -0.00365056+1.4472e-15j -0.00733499+1.69944e-16j 0.00254774+3.38111e-16j 0.00171281-1.11079e-16j 0.00891099+3.49341e-17j 0.000308922-1.11042e-16j 0.0020859+4.48474e-16j -0.00960427-1.29006e-15j -0.00252745+6.92532e-17j -0.00472666-1.36846e-17j 0.00629951-1.57159e-17j -0.00146358-2.91167e-16j -0.0101148-1.33334e-16j 0.0141279-1.2836e-16j 0.00212041-2.61859e-16j 0.0166756-1.17005e-14j 0.0108205+5.19304e-14j 
-6.53002e-05+3.25223e-15j -0.00153783+6.60949e-16j 0.00331857-1.29301e-17j 0.0108606+1.48797e-16j -0.0020985-8.72835e-17j 0.00290294+2.19967e-16j -0.00440194+1.35708e-17j 0.0102779+1.56594e-17j 0.000483014-2.63733e-18j 0.00405771+1.19712e-17j 0.000549312+1.10351e-16j -0.0035383-8.60244e-18j 0.00128311-9.42414e-17j 0.00222825+4.58293e-16j -0.00186711+2.11399e-16j 0.00844495-1.37477e-15j -0.00105664-9.37898e-17j -0.00124321-5.73641e-16j 0.00745831+1.14715e-15j -0.00239298-1.23697e-16j -0.000963184-2.52084e-16j 0.00126161+4.24339e-16j -0.005335+2.12808e-16j 0.0032799-3.89798e-15j -0.000322374-2.16844e-16j -0.0101258+5.29194e-15j -0.00416226+7.32487e-16j -0.00532324-8.50395e-16j 0.00279194+9.89512e-17j 0.00319346-6.68068e-16j -0.00372679-1.40963e-16j -0.00499564+2.84754e-15j -0.00902139+8.14723e-15j -0.00117717+2.12182e-15j 0.00361839+9.8906e-16j 0.00533276+1.51519e-15j -0.00210366+4.5968e-16j -0.0130227+1.19827e-15j -0.00055258-1.95672e-15j 0.00432834-1.1024e-15j 0.00802127-6.37621e-16j 0.00791394-2.32788e-16j -0.00241565-6.86237e-16j -0.00314338+2.89533e-15j -0.00468039-1.08578e-16j -0.00867634-2.10167e-15j 0.00155155+9.95576e-16j -0.00327605+1.04947e-15j 0.00327397+3.70129e-16j 0.00635082-8.33387e-16j 0.0039385+3.9775e-17j -0.0111602-6.95107e-15j 0.00180166+1.73609e-16j 0.00273627-4.87173e-16j 0.00491326-1.79478e-16j -0.00230203+1.3794e-16j 0.000850097+8.07761e-17j 0.00148034+7.13474e-17j -0.00779008+1.69893e-15j 0.00244293+3.59844e-15j -0.000341157+5.33142e-17j 0.00243287+1.25354e-16j 0.00046066-1.34634e-16j -0.00127038-9.0561e-17j -0.00319859+4.55022e-17j 0.00486831-5.04325e-17j 0.00123083+5.96789e-17j -0.00574653-6.35986e-16j 0.00289909-7.82609e-18j -0.00901739-4.45957e-17j 0.00545622-2.21277e-17j -0.00216385+1.07095e-17j 0.00208051+5.14468e-17j 0.011174+2.23528e-17j -0.00216199-5.69221e-17j -0.00149962-3.42102e-15j 0.00170815+1.50673e-14j 
