0.495957-0j -0.509266-0j -0.0590299-0j 0.0718741-0j -0.0426101-0j -0.0359219-0j -0.00518488-0j -0.0419089-0j 0.0761682-0j -0.00604903-0j 0.036082-0j 0.0109939-0j 0.00520799-0j -0.0151257-0j -0.00218321-0j -0.0260693-0j -0.00460845-0j -0.000384037-0j -0.0294484-0j 0.0236588-0j -0.0052058-0j -0.0242937-0j -0.000433816-0j 0.062442-0j 0.00418233-0j 0.0170779-0j -0.00429456-0j 0.000348528-0j 0.0110383-0j -0.00554541-0j -0.00035788-0j 0.000919857-0j 0.00301897-0j -0.0009803-0j 0.000251581-0j -8.16916e-05-0j -0.0204805-0j -0.00341342-0j -0.00209028-0j -0.0226678-0j -0.000426678-0j -2.51422e-05-0j 0.017633-0j -0.00377796-0j -0.011947-0j -0.0181062-0j -0.00231352-0j -0.000472246-0j 0.00293883-0j 0.0205718-0j -2.78273e-05-0j -0.00199116-0j 0.0366033-0j 0.00179966-0j -0.00301769-0j -0.0121959-0j -0.00121933-0j -0.00184795-0j 0.000367354-0j 0.038392-0j -0.000248895-0j 0.00342864-0j -0.000377212-0j 2.16465e-05-0j 0.00742477-0j 0.0020996-0j 0.00610056-0j -1.46663e-05-0j -0.00203264-0j -2.22274e-05-0j -0.00196851-0j 0.00373581-0j -0.00124474-0j 0.00639867-0j 0.00042858-0j 0.00391837-0j 0.00076257-0j 0.00123746-0j 2.52543e-05-0j -0.000254081-0j 0.000799834-0j 0.000757787-0j 4.49348e-05-0j -0.000328085-0j -1.49718e-05-0j 0.000154683-0j -0.00020091-0j 4.71306e-05-0j -4.10106e-05-0j 9.11476e-06-0j -2.41657e-06-0j 
0.509266-0j -0.514335-0j 0.0596417-0j -0.0717018-0j 0.0394272-0j 0.0362942-0j 0.00523861-0j -0.0411378-0j 0.0259298-0j -0.00593772-0j -0.0370353-0j 0.00374264-0j -0.00534558-0j 0.072969-0j 0.0105322-0j 0.0263395-0j 0.00465621-0j 0.000388017-0j -0.0289066-0j 0.0242937-0j -0.00511001-0j -0.0245355-0j -0.000425834-0j -0.0206519-0j 0.00429456-0j 0.0160598-0j -0.00433731-0j 0.00035788-0j -0.00365077-0j 0.0592619-0j -0.000361443-0j -0.000304231-0j 0.002839-0j 0.0104761-0j 0.000236583-0j 0.00087301-0j 0.0206928-0j 0.00344879-0j 0.00211195-0j -0.0222507-0j 0.000431099-0j 2.54028e-05-0j 0.0181062-0j -0.00370845-0j 0.0120708-0j -0.0182864-0j -0.00227095-0j -0.000463556-0j 0.00301769-0j -0.0205225-0j -2.73153e-05-0j 0.0020118-0j 0.00746841-0j 0.00184795-0j -0.00304773-0j 0.0112849-0j 0.00123197-0j -0.00186635-0j 0.000377212-0j -0.0130644-0j 0.000251475-0j -0.00342042-0j -0.000380966-0j 2.22274e-05-0j 0.0364023-0j -0.00209457-0j 0.00124474-0j 1.48183e-05-0j 0.00188081-0j -2.24487e-05-0j 0.0364425-0j 0.000762242-0j 0.00115176-0j -0.0021774-0j -0.000427552-0j -0.00133338-0j 0.000155592-0j 0.00606704-0j -2.51938e-05-0j 0.000235102-0j -0.000272176-0j 0.00371529-0j 9.16834e-06-0j 0.00607375-0j 1.38535e-05-0j 0.00075838-0j 0.0037194-0j -1.60381e-05-0j 0.000759219-0j 4.4688e-05-0j 4.47374e-05-0j 
0.0590299-0j 0.0596417-0j 0.652287-0j -0.404655-0j -0.236049-0j 0.00420692-0j -0.058053-0j -0.00979011-0j 0.00300557-0j 0.135098-0j 0.00429456-0j -0.0414751-0j -0.0592624-0j 0.00177142-0j -0.0244445-0j 0.00305306-0j -0.0255296-0j -0.00647236-0j 0.00344879-0j -0.00561692-0j -0.0288388-0j -0.00567513-0j -0.0073113-0j 0.00246394-0j 0.0469686-0j 0.00203264-0j 0.0474553-0j 0.0119076-0j -0.0206034-0j 0.00064944-0j 0.012031-0j -0.00522345-0j -0.0169969-0j -0.00543061-0j -0.00430912-0j -0.00137679-0j 0.00239854-0j -0.0189095-0j 0.000244799-0j 0.00265469-0j -0.00477734-0j -0.000565959-0j 0.00209872-0j -0.0209289-0j -0.00698088-0j 0.00212047-0j 0.000270943-0j -0.00528754-0j -0.0165458-0j -0.00488402-0j -0.000626402-0j 0.0550356-0j 0.000865677-0j 0.0002142-0j -0.0167172-0j -0.00284901-0j -0.000712483-0j 0.000216419-0j -0.00418017-0j 0.00151493-0j 0.0139043-0j 0.0385044-0j -0.00422349-0j -0.000495214-0j 0.000883712-0j -0.000498473-0j -0.00682479-0j 0.00164721-0j 0.0224609-0j -0.000500346-0j 0.000230538-0j 8.83528e-05-0j -0.000290776-0j -0.0119434-0j 0.00972786-0j 0.000154617-0j -0.00172423-0j -0.00696697-0j 0.00115243-0j 0.00567458-0j -0.00301741-0j 9.01935e-05-0j -0.000204265-0j -0.00181751-0j 0.000672254-0j -0.00176015-0j 2.35292e-05-0j -0.000357464-0j -0.000459179-0j -0.000208521-0j -5.43978e-05-0j 
0.0718741-0j 0.0717018-0j 0.404655-0j -0.00701304-0j -0.571718-0j -0.0052058-0j 0.0718369-0j -8.64482e-05-0j 0.0110383-0j 0.00119293-0j -0.00508015-0j -0.152322-0j 0.070103-0j 0.00645125-0j -0.0890234-0j -0.00377796-0j 0.0315913-0j 0.00800913-0j -6.07452e-05-0j 0.00342864-0j 0.000507951-0j 0.00342042-0j 0.000128777-0j 0.000128803-0j -0.0286702-0j -0.00484416-0j -0.0286015-0j -0.00726857-0j -0.00107705-0j 0.00315737-0j -0.00725115-0j -0.000273057-0j 0.0405068-0j -0.0264019-0j 0.0102694-0j -0.00669349-0j -0.00296804-0j 0.0233993-0j -0.000302924-0j -4.67583e-05-0j 0.00591165-0j 0.000700339-0j 0.00255537-0j 0.000368631-0j -0.00173135-0j 0.00254925-0j -4.77225e-06-0j 9.31319e-05-0j -0.0201459-0j 4.24348e-05-0j 1.10331e-05-0j 0.0136496-0j 0.00530455-0j 0.000260807-0j -0.0200976-0j 0.00345938-0j -0.000176706-0j 0.000260181-0j -0.00508972-0j -0.00540538-0j 0.00344846-0j -0.000334546-0j -0.00507752-0j -0.000602966-0j -0.00316673-0j 4.33099e-06-0j -0.0418198-0j 0.000408531-0j -0.0272729-0j -0.000601521-0j 0.00140202-0j 0.000541394-0j 0.000353071-0j 0.0426147-0j -8.45206e-05-0j -0.000551684-0j -0.0105655-0j 0.0249657-0j -1.00129e-05-0j -0.00689029-0j 0.0107663-0j -0.000323203-0j -0.00125166-0j -0.0110532-0j -0.000816275-0j 0.0063074-0j 0.000143093-0j 0.00127545-0j -0.0027925-0j 0.000747222-0j -0.000330821-0j 
0.0426101-0j 0.0394272-0j -0.236049-0j 0.571718-0j -0.659731-0j 0.00303672-0j -0.0419049-0j -0.00693438-0j 0.00216953-0j 0.0956904-0j 0.002839-0j -0.0299383-0j -0.0391765-0j 0.00148784-0j -0.0205314-0j 0.00220381-0j -0.0184283-0j -0.00467199-0j -0.00487264-0j 0.00203264-0j 0.0407449-0j 0.00188081-0j 0.0103298-0j -0.00348118-0j -0.0169969-0j 0.00568103-0j -0.0157273-0j -0.00430912-0j 0.0291096-0j -0.00607393-0j -0.00398725-0j 0.00737996-0j -0.0475047-0j 0.0507901-0j -0.0120435-0j 0.0128765-0j 0.00173135-0j -0.0136496-0j 0.000176706-0j -0.00375069-0j -0.00344846-0j -0.000408531-0j 0.00151493-0j 0.0295695-0j 0.00100996-0j 0.00140177-0j -0.000382803-0j 0.00747052-0j -0.0119434-0j -0.00345938-0j 0.000885014-0j -0.00796225-0j 0.000624879-0j 0.000154617-0j -0.0110512-0j 0.00399193-0j 0.000103078-0j 0.000143068-0j -0.00301741-0j 0.00100148-0j -0.0020116-0j 0.0272729-0j -0.00279202-0j -0.000357464-0j 0.000742245-0j -0.000353071-0j -0.00492639-0j -0.00023831-0j -0.0314714-0j -0.000330763-0j -0.00736137-0j 6.37764e-05-0j 0.000407425-0j -0.00789539-0j 0.00689029-0j 0.000102213-0j -0.00124462-0j -0.00585168-0j 0.000816275-0j -0.00795102-0j -0.00199471-0j 7.57551e-05-0j -0.000147447-0j 0.0580353-0j -0.000941937-0j -0.00147838-0j -0.000751317-0j -0.000236308-0j 0.0146622-0j -0.00017514-0j 0.00173699-0j 
0.0359219-0j 0.0362942-0j 0.00420692-0j 0.0052058-0j 0.00303672-0j 0.743399-0j -0.00111523-0j -0.287366-0j -0.175975-0j 0.000431099-0j -0.251446-0j 0.000263993-0j 0.000377212-0j -0.103716-0j 0.000155592-0j 0.0018579-0j -0.0315998-0j 2.73694e-05-0j -0.00633413-0j 0.0017136-0j 0.107733-0j 0.00173135-0j -9.33106e-05-0j 0.0014994-0j -0.0291455-0j 0.00123694-0j -0.0294475-0j 2.52437e-05-0j -0.0255023-0j 0.000395208-0j 2.55053e-05-0j 2.20882e-05-0j -0.0210383-0j -0.00672185-0j 1.82218e-05-0j 5.82196e-06-0j 0.0014596-0j 0.000243266-0j -0.0288149-0j 0.00161548-0j -0.0029257-0j 1.79182e-06-0j -0.00385455-0j 0.000269246-0j 0.000851432-0j -0.0038945-0j -0.0318922-0j -0.00323816-0j -0.000642425-0j 0.00149001-0j 1.98319e-06-0j 0.000141905-0j 0.000526796-0j 0.0760952-0j -0.000649083-0j 0.00086917-0j -0.0168087-0j 0.0768838-0j 0.00772629-0j 0.000921894-0j -0.00170666-0j 0.000248334-0j 0.00780635-0j -4.73191e-06-0j 0.000537771-0j -0.0294152-0j 8.77994e-05-0j 1.04523e-06-0j 0.000144862-0j -4.78095e-06-0j 0.000140291-0j -0.0103998-0j -0.0171589-0j 0.000153649-0j -0.00298665-0j -0.0181997-0j -0.00105594-0j 8.96286e-05-0j 1.82915e-06-0j -0.00174221-0j -0.0018479-0j -0.0106165-0j 6.46704e-07-0j 2.33818e-05-0j 1.06701e-06-0j -0.00107794-0j -0.00276957-0j 1.13173e-06-0j -0.000281207-0j 6.60177e-07-0j 1.72223e-07-0j 
-0.00518488-0j -0.00523861-0j 0.058053-0j 0.0718369-0j 0.0419049-0j 0.00111523-0j 0.720186-0j -0.000431099-0j -0.000263993-0j -0.278393-0j -0.000377212-0j -0.17048-0j -0.243594-0j -0.000155592-0j -0.100477-0j -0.000268164-0j 0.00453218-0j -0.0541604-0j 0.000914253-0j -0.000247336-0j -0.0154516-0j -0.000249899-0j 0.184649-0j -0.000216419-0j 0.00418017-0j -0.000178537-0j 0.00422349-0j -0.0499539-0j 0.00365765-0j -5.70434e-05-0j -0.0504715-0j -0.0437096-0j 0.00301741-0j 0.000964076-0j -0.0360586-0j -0.0115209-0j -0.000210675-0j 0.00335693-0j -2.15019e-05-0j -0.000233174-0j -0.0196369-0j -0.00714128-0j 0.000556357-0j 0.00371544-0j -0.000122894-0j 0.000562122-0j -2.37982e-05-0j -0.0217341-0j -0.00886509-0j -0.000215064-0j -0.00790395-0j 0.00195821-0j -7.60365e-05-0j 5.67829e-05-0j -0.00895696-0j -0.000125454-0j -1.25428e-05-0j 5.73713e-05-0j 0.0518578-0j -0.000133064-0j -0.0114549-0j 0.00342686-0j 0.0523952-0j 0.0188589-0j -7.76206e-05-0j -2.19499e-05-0j 0.00121158-0j -0.00416575-0j 0.001999-0j 0.0190544-0j -2.02492e-05-0j -7.76044e-06-0j -1.28041e-05-0j 0.00212026-0j -0.020046-0j -1.35808e-05-0j -0.00708733-0j 0.00123682-0j -0.00729006-0j -0.0116935-0j -0.0124028-0j -7.92212e-06-0j -0.00257742-0j 0.000322655-0j -0.00425253-0j -0.00723499-0j -2.06668e-06-0j -0.00451049-0j -0.00188742-0j -0.00263112-0j -0.000686392-0j 
-0.0419089-0j 0.0411378-0j 0.00979011-0j -8.64482e-05-0j 0.00693438-0j 0.287366-0j -0.000431099-0j -0.00951878-0j 0.205305-0j 1.42798e-05-0j -0.285002-0j -0.000307992-0j 0.000427552-0j -0.356117-0j 0.000534237-0j -0.00216755-0j 0.0368665-0j -3.1931e-05-0j -3.48516e-05-0j 0.00398779-0j 0.00059277-0j -0.00391441-0j -5.13413e-07-0j -2.48992e-05-0j -0.0678258-0j 0.00282457-0j 0.0665779-0j 5.87456e-05-0j 0.000423495-0j 0.00181149-0j -5.76647e-05-0j -3.668e-07-0j -0.0480414-0j -0.0308105-0j 4.16098e-05-0j 2.66858e-05-0j -0.00170286-0j -0.000283811-0j 0.0336173-0j -2.68268e-05-0j 0.00341332-0j -2.09046e-06-0j -0.00149001-0j -4.47114e-06-0j 0.00495615-0j 0.00146259-0j 0.000529606-0j 5.37733e-05-0j -0.000248334-0j 4.93552e-05-0j -3.29331e-08-0j 0.000826024-0j -0.000614596-0j 0.0294152-0j 0.000243765-0j -0.003959-0j -0.0978425-0j -0.0288739-0j 0.00298665-0j 0.00104492-0j -0.00993439-0j 8.22587e-06-0j -0.0029317-0j -1.82915e-06-0j 0.00184648-0j -0.000974354-0j -0.000102433-0j 6.08424e-06-0j -0.000659833-0j 1.7955e-06-0j 0.000804385-0j 0.0121331-0j 0.0781572-0j 0.000174154-0j -9.89304e-05-0j -0.0206285-0j 0.00123193-0j 0.000307746-0j 6.05892e-08-0j 0.00793564-0j -0.00209451-0j -0.0364525-0j -7.54488e-07-0j 0.000134064-0j -4.86013e-06-0j -0.00370119-0j -0.0158799-0j 1.28277e-06-0j -0.00161236-0j 2.26677e-06-0j 9.87476e-07-0j 
0.0761682-0j -0.0259298-0j -0.00300557-0j 0.0110383-0j -0.00216953-0j 0.175975-0j -0.000263993-0j 0.205305-0j 0.117721-0j -0.000307992-0j -0.533161-0j -0.000176601-0j 0.000799834-0j 0.0740983-0j -0.00011116-0j -0.00132735-0j 0.022576-0j -1.95537e-05-0j -0.0014994-0j 0.00363348-0j 0.0255023-0j -0.00123694-0j -2.20882e-05-0j -0.00100304-0j -0.0617996-0j 0.00262278-0j 0.0210383-0j 5.35262e-05-0j 0.0170601-0j -0.00028235-0j -1.82218e-05-0j -1.47761e-05-0j -0.0446093-0j 0.00480232-0j 3.86373e-05-0j -4.15941e-06-0j -0.00104279-0j -0.000173798-0j 0.0205863-0j -0.00115415-0j 0.00209022-0j -1.28014e-06-0j 0.00270804-0j -0.000192359-0j -0.000608292-0j -0.000921894-0j 0.0227849-0j 0.00231345-0j 0.00045134-0j 0.00315938-0j -1.41686e-06-0j -0.000101382-0j -0.00478461-0j -0.0534612-0j -0.000153649-0j -0.000620965-0j 0.0120087-0j 0.0181997-0j -0.00542816-0j -0.000616711-0j 0.0012193-0j 0.000526564-0j 0.0018479-0j 3.32443e-06-0j 0.00114028-0j -0.0623714-0j -0.000797435-0j -7.46749e-07-0j -0.000103494-0j -1.13173e-06-0j -0.000100229-0j 0.0944561-0j 0.0122589-0j -0.000102785-0j -0.00633285-0j 0.0121749-0j 0.00959055-0j 0.000190047-0j 3.87851e-06-0j 0.0012447-0j 0.00123617-0j -0.022511-0j -5.87366e-06-0j -1.67048e-05-0j -7.62306e-07-0j -0.00228565-0j 0.00197868-0j -7.57084e-07-0j 0.000200904-0j 1.39983e-06-0j -1.23042e-07-0j 
0.00604903-0j -0.00593772-0j 0.135098-0j -0.00119293-0j 0.0956904-0j 0.000431099-0j 0.278393-0j -1.42798e-05-0j 0.000307992-0j -0.00922155-0j -0.000427552-0j 0.198894-0j -0.276103-0j -0.000534237-0j -0.344997-0j 0.000312858-0j -0.00528754-0j 0.0631872-0j 5.03039e-06-0j -0.000575587-0j -8.50174e-05-0j 0.000564997-0j 0.00101598-0j 3.59389e-06-0j 0.00972786-0j -0.000407691-0j -0.00954887-0j -0.11625-0j -6.07394e-05-0j -0.000261466-0j 0.114111-0j 0.000725848-0j 0.00689029-0j 0.00441897-0j -0.0823404-0j -0.0528076-0j 0.000245787-0j -0.00391642-0j 2.50855e-05-0j 3.87212e-06-0j 0.0229097-0j 0.00833149-0j 0.000215064-0j -6.16991e-05-0j -0.000715358-0j -0.000211107-0j 3.95197e-07-0j 0.000360919-0j -0.00342686-0j -7.12381e-06-0j 0.000131254-0j 0.0113986-0j 8.87093e-05-0j 2.19499e-05-0j 0.00336381-0j 0.000571432-0j -7.30109e-05-0j -2.1546e-05-0j 0.020046-0j -0.000150822-0j -0.0666782-0j 0.000113512-0j -0.0196772-0j 0.00729006-0j -0.000266516-0j -7.27071e-07-0j -0.00141351-0j -0.0242486-0j -0.0091053-0j -0.00715592-0j -0.000116103-0j 9.05385e-06-0j 5.83215e-05-0j 0.00240322-0j -0.000664008-0j -1.53932e-05-0j 0.00826856-0j 0.00424672-0j -0.000241477-0j 0.0532629-0j -0.014058-0j -2.72012e-05-0j 0.00300699-0j 0.00185001-0j 0.0193699-0j -0.0248419-0j -1.18497e-05-0j -0.00511244-0j -0.0108219-0j -0.00903415-0j -0.00393557-0j 
-0.036082-0j -0.0370353-0j 0.00429456-0j 0.00508015-0j 0.002839-0j -0.251446-0j 0.000377212-0j 0.285002-0j 0.533161-0j -0.000427552-0j -0.252464-0j -0.000799834-0j 0.00037874-0j -0.505529-0j 0.00075838-0j 0.0018966-0j -0.0322582-0j 2.79396e-05-0j -0.00208145-0j -0.00172124-0j 0.0354021-0j -0.00176671-0j -3.06627e-05-0j 0.00441347-0j 0.0292754-0j -0.00113785-0j 0.0300489-0j -2.53562e-05-0j -0.0750661-0j 0.00426722-0j -2.60261e-05-0j 6.50166e-05-0j 0.0193531-0j -0.0725785-0j -1.67622e-05-0j 6.2862e-05-0j 0.00149001-0j 0.000248334-0j -0.0294152-0j -0.00160219-0j -0.00298665-0j 1.82915e-06-0j -0.00128284-0j -0.000267031-0j 0.00086917-0j -0.00131673-0j 0.0316298-0j 0.00321152-0j -0.000213807-0j 0.00145404-0j -1.96687e-06-0j 0.000144862-0j -0.00266298-0j 0.0253254-0j -0.000219455-0j 0.00081258-0j -0.0171589-0j 0.0259945-0j 0.0025714-0j 0.00279198-0j -0.00174221-0j 0.00024234-0j 0.00263933-0j -1.57484e-06-0j -0.00257914-0j -0.0287052-0j -0.00044383-0j 1.06701e-06-0j 0.00013543-0j -1.61644e-06-0j 0.00262408-0j 0.0525716-0j -0.0160417-0j 0.000465329-0j -0.00291457-0j -0.0551182-0j 0.00533783-0j -0.000429856-0j 1.785e-06-0j -0.00162878-0j -0.0055964-0j 0.0509165-0j -3.26911e-06-0j 0.000437347-0j 9.97536e-07-0j 0.00516977-0j -0.0518037-0j 3.42747e-06-0j -0.00525986-0j -3.16619e-06-0j 3.22137e-06-0j 
