-0.713986-0j -0.104058-0j 0.0500019-0j -0.0525349-0j 0.00721715-0j -0.00758276-0j -0.0346423-0j 0.0412235-0j -0.00612395-0j -0.0250061-0j -0.000510329-0j 0.00728736-0j -0.0044205-0j 0.00060728-0j -0.000368375-0j -0.0259654-0j -0.030293-0j -0.00432757-0j 0.0542288-0j -0.00265008-0j 0.0254897-0j -0.000540946-0j -0.00504883-0j -0.0109333-0j -3.18755e-05-0j -0.00309176-0j 0.00903813-0j 0.0055347-0j -0.000631103-0j 0.00424829-0j 0.00112977-0j 0.00260154-0j -0.00182222-0j -3.71881e-05-0j -0.00111588-0j 0.000531036-0j 6.65721e-05-0j 3.12916e-05-0j -0.000227777-0j -1.34219e-05-0j 
0.721385-0j -0.100974-0j 0.0525349-0j -0.0530377-0j 0.00758276-0j -0.00765534-0j 0.0350013-0j -0.0415974-0j 0.00618741-0j 0.0223243-0j 0.000515618-0j -0.00735345-0j 0.00394641-0j -0.000612787-0j 0.000328868-0j 0.0262345-0j -0.0293953-0j 0.00437241-0j 0.0187428-0j 0.00267754-0j -0.02676-0j 0.000546551-0j -0.00489922-0j 0.0517867-0j 3.22059e-05-0j -0.00300015-0j 0.0031238-0j 0.00191293-0j -0.000612402-0j -0.00446001-0j 0.000390475-0j -0.00273118-0j 0.00863112-0j -3.60861e-05-0j 0.00528546-0j -0.000557501-0j 2.3009e-05-0j -3.2851e-05-0j 0.00107889-0j 6.35742e-05-0j 
0.0840912-0j -0.576383-0j 0.00612395-0j 0.00618741-0j -0.0840253-0j -0.0848961-0j -0.00793296-0j 0.00504883-0j 0.0659533-0j 0.00294515-0j 0.0167221-0j -0.0419751-0j -0.0244855-0j -0.0106425-0j -0.00620814-0j 0.00305813-0j -0.00693698-0j -0.0239707-0j 0.00218483-0j 0.000312119-0j 0.00312184-0j -0.00605639-0j 0.0543745-0j 0.00128769-0j -0.000717507-0j -0.000708002-0j -0.0171255-0j 0.000222989-0j 0.0137382-0j -0.0244701-0j -0.00432689-0j 0.000318621-0j -0.0100934-0j 0.00162757-0j 0.000131425-0j -0.00618257-0j -0.000512612-0j -0.000732455-0j -0.00255018-0j -0.000302122-0j 
-0.104058-0j 0.0141167-0j 0.00728736-0j 0.00735345-0j -0.0999883-0j -0.100895-0j -0.00504883-0j 0.000118913-0j 0.0419751-0j 0.00707247-0j 0.0106425-0j -0.000988623-0j -0.0587994-0j -0.000250659-0j -0.0149082-0j -0.00378424-0j -8.73827e-05-0j 0.0296622-0j 0.0079034-0j -0.000386227-0j -0.00356786-0j 0.0074944-0j 0.000684938-0j 0.00465416-0j 0.000887869-0j -8.91846e-06-0j -0.0619497-0j 0.000806637-0j 0.000173055-0j 0.0279662-0j -0.0156521-0j -0.000364144-0j -0.036481-0j 2.0502e-05-0j 0.000475014-0j 0.00706588-0j -0.00185432-0j 0.000837102-0j -0.00921722-0j -0.00109197-0j 
0.0607002-0j 0.807406-0j 0.0044205-0j 0.00394641-0j -0.0606527-0j -0.0541478-0j 0.00294515-0j -0.00707247-0j -0.0244855-0j 0.00812509-0j -0.00620814-0j 0.0587994-0j -0.0675506-0j 0.0149082-0j -0.017127-0j 0.00220747-0j -0.00499785-0j -0.017303-0j 0.0015771-0j 0.000225299-0j 0.00199115-0j -0.00437173-0j 0.039175-0j 0.00113734-0j -0.000517924-0j -0.000510091-0j -0.0123618-0j 0.000160962-0j 0.00989787-0j -0.0156074-0j -0.00312332-0j 0.000203221-0j -0.00891486-0j 0.00117261-0j 0.000116079-0j -0.00394332-0j -0.000370023-0j -0.000467169-0j -0.00225241-0j -0.000266845-0j 
0.0514628-0j 0.00750027-0j -0.356492-0j -0.360186-0j 0.000540946-0j 0.000546551-0j 0.00249695-0j 0.00308982-0j -0.0419866-0j 0.00180239-0j 3.67836e-05-0j -0.0519557-0j -0.0303075-0j 4.55173e-05-0j 2.65518e-05-0j -0.00548029-0j 0.00218346-0j -0.000913381-0j 0.00133709-0j 0.106967-0j 0.00191053-0j 0.0108602-0j 0.00036391-0j 0.000788052-0j -6.72769e-06-0j -0.0426179-0j 0.000222848-0j -0.026098-0j -0.00432692-0j 0.000318421-0j -0.00264969-0j -0.0372906-0j 0.000131342-0j 2.68045e-06-0j -0.0153816-0j -0.00378606-0j 1.64143e-06-0j 2.34539e-06-0j -0.00156167-0j 9.67426e-07-0j 
-0.00742801-0j 0.10291-0j -0.000540946-0j -0.000546551-0j -0.345317-0j -0.348895-0j -0.000360404-0j -0.000445977-0j 0.00605639-0j -0.000260153-0j -0.0719627-0j 0.0074944-0j 0.00437173-0j -0.0890492-0j -0.0519454-0j 0.000791011-0j -0.000315155-0j -0.0125323-0j -0.000192992-0j 8.07323e-05-0j -0.000275761-0j 0.072883-0j 0.00499313-0j -0.000113746-0j 0.0265094-0j -3.21654e-05-0j 0.00305765-0j -1.96972e-05-0j -0.0290381-0j 0.00436899-0j -0.0177821-0j -2.81447e-05-0j 0.00180212-0j -0.0105619-0j -1.16091e-05-0j -0.0254083-0j -0.00646782-0j -0.00924167-0j -0.0104804-0j -0.00381199-0j 
-0.0600399-0j -0.00017319-0j 0.415907-0j -0.403583-0j -0.000631103-0j 0.000612402-0j 0.00566402-0j -7.13477e-05-0j -0.0952412-0j 0.00408073-0j 8.34389e-05-0j 0.00119972-0j -0.068618-0j -1.05105e-06-0j 6.01148e-05-0j -0.00218346-0j 9.80302e-05-0j -0.00036391-0j -0.00155994-0j 0.0426179-0j 0.00214072-0j 0.00432692-0j 1.63384e-05-0j 0.0026854-0j -2.68045e-06-0j -0.0019134-0j -0.00025999-0j 0.0304477-0j -0.000194265-0j 0.000356786-0j 0.0030913-0j -0.0417836-0j 0.000447566-0j 1.20343e-07-0j -0.0524149-0j -0.00424222-0j -1.91501e-06-0j 2.62798e-06-0j -0.0053216-0j 3.29663e-06-0j 
-0.0367668-0j -0.00535845-0j -0.744534-0j 0.257329-0j 0.00112977-0j -0.000390475-0j -0.00178391-0j 0.0064531-0j 0.0299966-0j -0.00128769-0j -2.62795e-05-0j -0.10851-0j 0.0216527-0j 9.50631e-05-0j -1.89695e-05-0j -0.00133709-0j -0.00155994-0j -0.000222848-0j -0.000811526-0j 0.026098-0j 0.00399014-0j 0.00264969-0j -0.00025999-0j -0.000563012-0j -1.64143e-06-0j 0.0304477-0j -0.000135254-0j 0.0158398-0j 0.0030913-0j 0.000665024-0j 0.00160819-0j -0.0778816-0j -9.38353e-05-0j -1.91501e-06-0j 0.0109891-0j -0.00790719-0j -9.96242e-07-0j 4.89836e-06-0j 0.00111571-0j -6.91162e-07-0j 
0.00866601-0j -0.00237631-0j 0.000631103-0j -0.000612402-0j 0.40287-0j -0.390932-0j -0.000817531-0j 1.02982e-05-0j 0.0137382-0j -0.000589003-0j -0.163238-0j -0.000173055-0j 0.00989787-0j 0.00205626-0j -0.117607-0j 0.000315155-0j -1.41494e-05-0j -0.00499313-0j 0.000225158-0j 3.21654e-05-0j -0.000308986-0j 0.0290381-0j 0.000224175-0j -0.000387603-0j 0.0105619-0j -1.44412e-06-0j -0.00356726-0j 2.29801e-05-0j -0.00130372-0j 0.00489538-0j 0.0207458-0j -3.15357e-05-0j 0.00614095-0j -0.000474195-0j -3.95596e-05-0j -0.0284696-0j 0.00754579-0j -0.0103551-0j -0.0357134-0j -0.0129899-0j 
0.00530683-0j -0.0735222-0j -0.00112977-0j 0.000390475-0j -0.721195-0j 0.249263-0j 0.000257485-0j -0.000931424-0j -0.00432689-0j 0.000185862-0j 0.0514126-0j 0.0156521-0j -0.00312332-0j -0.18598-0j 0.0371116-0j 0.000192992-0j 0.000225158-0j -0.00305765-0j 0.000117134-0j 1.96972e-05-0j -0.000575927-0j 0.0177821-0j -0.00356726-0j 8.12638e-05-0j 0.00646782-0j 2.29801e-05-0j -0.00185579-0j 1.19549e-05-0j 0.0207458-0j 0.00912464-0j 0.0107926-0j -5.87803e-05-0j -0.00128749-0j 0.00754579-0j 8.29395e-06-0j -0.0530654-0j 0.00392554-0j -0.0193012-0j 0.00748756-0j 0.00272342-0j 
