-0.00536564-0j -0.000865877-0j 0.101291-0j 0.0146201-0j -8.83732e-05-0j -1.04149e-05-0j -4.75372e-07-0j -0.00494579-0j -0.000781998-0j -0.000618224-0j 0.118511-0j -8.92329e-05-0j 0.0147623-0j -3.64292e-05-0j 0.00123019-0j -9.10729e-06-0j -7.58941e-07-0j -2.82841e-08-0j 
0.00094852-0j -0.00719876-0j -0.011888-0j -0.0017148-0j 0.140509-0j 0.0250591-0j -2.0097e-05-0j 0.0008743-0j -0.0065014-0j -0.0103955-0j 7.28583e-05-0j -0.00149951-0j 0.0814837-0j -0.00185056-0j -0.000217195-0j 0.0292682-0j 0.00243902-0j -1.43589e-06-0j 
-7.90434e-05-0j 0.0018252-0j -1.04149e-05-0j -0.0203755-0j 0.000186284-0j 0.0956933-0j 0.0455912-0j -7.28583e-05-0j 0.00164839-0j -9.10729e-06-0j -6.07153e-06-0j -0.0178173-0j 0.000217195-0j -5.36652e-07-0j 0.0788933-0j -0.00181847-0j 0.0288087-0j 0.00545384-0j 
0.00469199-0j -0.144985-0j 0.000618224-0j 8.92329e-05-0j 7.72779e-05-0j 9.10729e-06-0j 4.15689e-07-0j 8.55994e-05-0j 1.35345e-05-0j -0.00204886-0j 7.13328e-06-0j -0.000295727-0j 1.78332e-06-0j 6.30499e-07-0j 1.4861e-07-0j 1.57625e-07-0j 1.31354e-08-0j 4.89528e-10-0j 
-0.000781998-0j 0.00593494-0j 0.0147623-0j -0.202551-0j 0.000605732-0j 0.000217195-0j 1.65687e-05-0j -1.42666e-05-0j 0.000106088-0j -1.78332e-06-0j 0.000341855-0j 2.44686e-05-0j -0.0020027-0j -1.05083e-07-0j -0.000507771-0j 2.49731e-06-0j 4.18408e-07-0j 2.34305e-08-0j 
-0.000478874-0j -7.72779e-05-0j 0.0120668-0j -9.10729e-06-0j -0.142717-0j 0.000177761-0j -4.24261e-08-0j -8.73645e-06-0j -1.38135e-06-0j 0.000208846-0j -7.28038e-07-0j -1.57625e-07-0j 3.48077e-05-0j -0.00353021-0j -1.51675e-08-0j -0.000291102-0j 2.56383e-07-0j -4.99622e-11-0j 
9.77497e-05-0j -0.00149951-0j -0.00122512-0j 0.00822183-0j 0.0292682-0j -0.244623-0j 0.000395413-0j 1.78332e-06-0j -2.6804e-05-0j -2.12038e-05-0j 1.4861e-07-0j 0.0001423-0j 0.000335941-0j -3.77462e-06-0j 4.19644e-05-0j -0.00277748-0j -0.000710612-0j 6.99938e-07-0j 
-5.75996e-06-0j 0.000177648-0j -7.58941e-07-0j -0.00299049-0j 1.81312e-05-0j 0.0288087-0j -0.312459-0j -1.05083e-07-0j 3.17549e-06-0j -1.31354e-08-0j -8.75693e-09-0j -5.1758e-05-0j 4.18408e-07-0j -7.74011e-10-0j 0.000470091-0j -5.28253e-06-0j -0.0018907-0j -0.00111961-0j 
-0.71102-0j 0.000478573-0j 0.000390753-0j 5.64004e-05-0j 4.88442e-05-0j 5.75634e-06-0j 2.6274e-07-0j 0.00273356-0j -0.103625-0j 0.000341694-0j 0.000227796-0j 4.93193e-05-0j 5.69491e-05-0j 2.01345e-05-0j 4.74576e-06-0j 5.03363e-06-0j 4.19469e-07-0j 1.56327e-08-0j 
0.718388-0j -0.000483533-0j -0.000394803-0j -5.69849e-05-0j -4.93503e-05-0j -5.81599e-06-0j -2.65463e-07-0j 0.00265255-0j -0.100555-0j 0.000331569-0j 0.000221046-0j 4.78579e-05-0j 5.52615e-05-0j 1.95379e-05-0j 4.60513e-06-0j 4.88448e-06-0j 4.0704e-07-0j 1.51695e-08-0j 
-0.000478573-0j -0.695488-0j -6.30575e-05-0j 0.000865199-0j 0.000370701-0j 0.00013292-0j 1.01399e-05-0j -0.000441126-0j 0.00328026-0j 0.0105585-0j -3.67605e-05-0j -0.144871-0j 0.000432213-0j -3.2492e-06-0j 0.000109585-0j 7.72174e-05-0j 1.29373e-05-0j 7.24476e-07-0j 
0.000483533-0j 0.702696-0j 6.3711e-05-0j -0.000874165-0j -0.000374542-0j -0.000134298-0j -1.02449e-05-0j -0.000428054-0j 0.00318306-0j 0.0102456-0j -3.56712e-05-0j -0.140578-0j 0.000419405-0j -3.15292e-06-0j 0.000106338-0j 7.49293e-05-0j 1.25539e-05-0j 7.03009e-07-0j 
-0.000390753-0j -6.30575e-05-0j -0.70166-0j 0.00106471-0j 0.00123079-0j 7.21457e-05-0j -3.4619e-08-0j -0.000360178-0j -5.69491e-05-0j 0.00428254-0j 0.00863056-0j -6.49839e-06-0j -0.102261-0j 0.00076236-0j 8.9589e-05-0j 0.000126839-0j 5.25732e-06-0j -2.05979e-09-0j 
0.000394803-0j 6.3711e-05-0j 0.708932-0j -0.00107574-0j -0.00124354-0j -7.28933e-05-0j 3.49778e-08-0j -0.000349505-0j -5.52615e-05-0j 0.00415564-0j 0.00837481-0j -6.30583e-06-0j -0.099231-0j 0.000739769-0j 8.69342e-05-0j 0.00012308-0j 5.10153e-06-0j -1.99875e-09-0j 
5.64004e-05-0j -0.000865199-0j -0.00106471-0j -0.679666-0j -8.8304e-05-0j 0.00148384-0j 0.000228148-0j 5.19871e-05-0j -0.000781386-0j 6.49839e-06-0j -0.00124571-0j 0.0041483-0j 0.0147508-0j 3.82922e-07-0j -0.17527-0j 0.000423384-0j 0.000217783-0j 2.04045e-05-0j 
4.88442e-05-0j -0.000370701-0j -0.00123079-0j -8.8304e-05-0j -0.684612-0j 0.00259441-0j -1.0349e-06-0j 4.50222e-05-0j -0.000334791-0j -0.00107626-0j 3.75185e-06-0j -7.72174e-05-0j 0.00843614-0j 0.0181925-0j -1.11845e-05-0j -0.142605-0j 0.000252516-0j -7.39416e-08-0j 
-5.69849e-05-0j 0.000874165-0j 0.00107574-0j 0.686709-0j 8.92191e-05-0j -0.00149922-0j -0.000230512-0j 5.04467e-05-0j -0.000758231-0j 6.30583e-06-0j -0.0012088-0j 0.00402538-0j 0.0143137-0j 3.71575e-07-0j -0.170076-0j 0.000410838-0j 0.000211329-0j 1.97999e-05-0j 
-4.93503e-05-0j 0.000374542-0j 0.00124354-0j 8.92191e-05-0j 0.691706-0j -0.00262129-0j 1.04562e-06-0j 4.36881e-05-0j -0.00032487-0j -0.00104437-0j 3.64067e-06-0j -7.49293e-05-0j 0.00818616-0j 0.0176534-0j -1.0853e-05-0j -0.13838-0j 0.000245033-0j -7.17505e-08-0j 
-5.75634e-06-0j 0.00013292-0j 7.21457e-05-0j -0.00148384-0j -0.00259441-0j -0.662884-0j 0.00332019-0j -5.30592e-06-0j 0.000120044-0j 6.30878e-05-0j -4.4216e-07-0j -0.00129755-0j -0.00150454-0j 1.12306e-05-0j 0.00574541-0j 0.0253262-0j -0.199563-0j 0.000397177-0j 
5.81599e-06-0j -0.000134298-0j -7.28933e-05-0j 0.00149922-0j 0.00262129-0j 0.669753-0j -0.00335459-0j -5.14869e-06-0j 0.000116487-0j 6.12184e-05-0j -4.29058e-07-0j -0.0012591-0j -0.00145996-0j 1.08978e-05-0j 0.00557516-0j 0.0245757-0j -0.193649-0j 0.000385408-0j 
2.6274e-07-0j -1.01399e-05-0j 3.4619e-08-0j 0.000228148-0j -1.0349e-06-0j -0.00332019-0j -0.641196-0j 2.42181e-07-0j -9.1576e-06-0j 3.02726e-08-0j 2.01817e-08-0j 0.000199504-0j -1.20662e-06-0j 1.78383e-09-0j -0.00273729-0j 2.03618e-05-0j 0.0227549-0j -0.241804-0j 
-2.65463e-07-0j 1.02449e-05-0j -3.49778e-08-0j -0.000230512-0j 1.04562e-06-0j 0.00335459-0j 0.64784-0j 2.35004e-07-0j -8.88624e-06-0j 2.93756e-08-0j 1.95837e-08-0j 0.000193592-0j -1.17086e-06-0j 1.73097e-09-0j -0.00265618-0j 1.97585e-05-0j 0.0220806-0j -0.234639-0j 
