0.106244+3.17645e-12j 0.105391+0.00175619j -0.0814377-0.0842066j -0.0389437-0.0754403j 0.0591781+0.00315825j 0.00168424+0.0428085j 0.0402951+0.106669j -0.00361707-0.0166835j -0.0259698+0.0463027j -0.0293894+0.0226038j 0.0354224-0.0303065j -0.0163724+0.0095808j -0.0230401-0.0455961j -0.0113936+0.0642424j -0.0105952-0.0424621j 0.0299172-0.0314631j 0.00856364-0.0594965j -0.0101008+0.00198706j 0.000269963-0.0417212j -0.0351248+0.0131063j -0.00231999-0.033209j 0.00373133+0.00968899j -0.0153343-0.00472532j -0.0378699+0.0253954j -0.00679182-0.00541762j 0.010165-0.030218j 0.0261288-0.0123102j 0.0370768-0.0226666j 0.0303585-0.0179828j -0.00750021-0.00236426j 0.00159973+0.0155808j 0.00690907-0.000119357j 0.0151723+0.0228393j -0.0226403-0.0169033j 0.00998183+0.00755246j -0.0145501+0.021439j 0.0285712+0.0172803j -0.00843228-0.0121188j -0.035259-0.00894512j -0.0127215-0.0140514j 0.00203407-0.0195096j 0.0293125-0.0609038j 0.00284194+0.0170769j -0.0154435+0.0115817j 0.0110517+0.0112785j 0.0173982-0.0118153j -0.0220249+0.0280086j -0.0177674-0.0162853j -0.0177783+0.000653938j -0.00924718-0.00668626j 0.0457295+0.0404873j 0.0129499-7.15189e-05j -0.00716847-0.00588191j -0.0374675+0.0230988j -0.0145389+0.0331158j -0.00693762-0.00683862j 0.0144762-0.055606j 0.0335008+0.0257066j 0.0648412+0.0527546j 0.0326513-0.0180084j -0.0432175+0.00853698j -0.0120065+0.0180459j 0.00655585-0.033215j 0.0127866+0.0206116j 0.0463292+0.000125795j 0.0263303+0.0454492j -0.00958475-0.0116689j 0.0495993-0.0520085j 0.0311794+0.103146j 0.193229-0.196985j 0.0950492+0.276359j -0.348953-0.126243j 0.100609-0.0688073j -0.00166711+0.109503j 0.108242+0.0160213j -0.00819332-0.00696756j 0.16609+0.019055j 
0.105391-0.00175619j -0.0691962+3.56472e-13j 0.00460087+0.0660743j -0.160581-0.082582j -0.0309629-0.0356382j 0.0383988-0.00131537j 0.0393176-0.00273319j 0.125203+0.129952j -0.0799061+0.0351491j 0.00692571+0.0368214j -0.00418818-0.0398195j -0.03729+0.0025898j -0.0305122-0.063081j -0.0782076-0.00359578j 0.0563857+0.0238324j 0.085164+0.0131508j 0.0537396+0.0197687j 0.0368389+0.0194367j 0.0411556+0.0124547j 0.0416824-0.00686941j -0.0147745+0.0241786j -0.005816-0.00335144j -0.0292219-0.0252617j -0.0265585-0.0074122j -0.0260447-0.0252056j -0.0152941+0.00578762j 0.0591612+0.0460786j -0.0291279-0.015217j -0.0105228-0.0273352j 0.0302726-0.0489766j 0.00713151+0.0232022j 0.114713-0.00387564j -0.0154114+0.0176618j 0.0556194-0.03567j 0.02491-0.0419094j 0.064491+0.0189354j -0.0390646-0.00100215j 0.0194776-0.0497846j -0.0288227+0.00295066j 0.0882441-0.0313114j -0.0132363+0.0259379j 0.017341+0.0102314j -0.023894+0.00653973j 0.0899167-0.0137406j -0.0452757+0.0215891j -0.0578468+0.0227668j -0.0558496-0.0183158j 0.0757333-0.016774j -0.0571395-0.0002953j -0.00369325+0.0181377j -0.0577447-0.00710017j -0.00351215+0.0133038j 0.00938958-0.0121295j 0.00880074+0.0155321j 0.0154489+0.0184084j 0.049753+0.0120065j -0.0789785-0.0186171j 0.0700526-0.0312165j -0.0625791-0.00917659j 0.087735-0.00212195j -0.0779227-0.0810793j 0.00428979-0.0083072j -0.0362318+0.0322215j -0.0536533-0.0348816j 0.0399683+0.043831j 0.0807171-0.0437442j -0.100648-0.116785j 0.158734-0.020635j -0.0652129+0.081777j 0.152554+0.184107j -0.511486+0.0655371j 0.0583799-0.234268j 0.0311639+0.215501j 0.167576+0.00966359j -0.109577-0.075489j -0.119102-0.0215375j 0.00915182-0.0139941j 
-0.0814377+0.0842066j 0.00460087-0.0660743j 0.0219277-3.84415e-15j 0.0763206-0.0011263j -0.0337206-0.0333647j -0.0220998-0.0103495j -0.00577669-0.00948899j -0.171+0.0265834j 0.0956766+0.063879j 0.0115407-0.0016381j -0.0044436-0.028173j 0.0532705+0.0527095j 0.0802953-0.00581546j 0.111096+0.0115522j -0.0276994-0.0759133j -0.117364+0.0110221j -0.0741423-0.0035441j -0.037228-0.0249263j -0.0646892+0.0114123j 0.0317578-0.0601718j 0.0379021+0.00345916j 0.017761-0.0303586j 0.0584027+0.0321881j 0.0945404-0.0566689j -0.0247197+0.0813873j -0.0132922+0.0450339j -0.0708078+0.0165338j -0.012287+0.0671654j -0.00779675-0.0117957j -0.0190079+0.00944542j -0.016896+0.0301181j -0.1029-0.0280927j 0.00634142-0.0124628j -0.0577481-0.0157973j -0.00303463-0.0292466j -0.0343468+0.000623166j 0.0262399+0.0345261j 0.0166352-0.0178741j -0.0016804-0.0251698j -0.0672382+0.000461599j -0.0564325+0.0034419j -0.077493+0.0255371j 0.00935926-0.0169036j 0.00170017-0.0770171j 0.01112+0.0422373j 0.0143568+0.0793187j 0.0536128+0.0177162j -0.0391076-0.0874896j 0.0457826+0.0522478j 0.0288868-0.0806183j 0.0343792+0.00319707j 0.0149034-0.0273381j 0.0556409-0.0478329j -0.00737531-0.0123318j 0.0351792-0.0765571j -0.052963-0.0211355j 0.0061095+0.0459195j -0.0187131+0.000955142j 0.122962-0.0438141j -0.0959086-0.00478308j 0.102624-0.0868719j -0.155073+0.00377717j 0.00140715+0.0104221j 0.0877567-0.0415007j -0.150168-0.260606j -0.19035+0.116215j 0.14268-0.112527j -0.236322-0.159035j -0.0913764-0.0286099j -0.0747862+0.168895j 0.243319+0.000689617j -0.175225-0.0137916j 0.168375+0.0501911j -0.137089+0.041633j 0.124898-0.048692j -0.0374981-0.12456j -0.0470287-0.032908j 
-0.0389437+0.0754403j -0.160581+0.082582j 0.0763206+0.0011263j 0.149733+1.63758e-15j 0.0213391+0.00915937j 0.200906+0.0422806j -0.0840247-0.0147674j -0.330525-0.0208618j -0.0596237+0.0801783j -0.0065087+0.00187356j 0.045859-0.0112418j 0.125441+0.0491154j 0.0717907-0.00609489j 0.0401194+0.0637158j -0.118387+0.0414899j -0.144714-0.0522133j -0.074752-0.00927844j -0.130762-0.0211686j -0.0129658+0.0471243j -0.0459773-0.00609323j 0.0415632-0.00090347j -0.00658451+0.0255659j 0.0651813+0.00906164j 0.0113433+0.0754837j 0.118941-0.0257094j 0.065601+0.0096421j -0.0514958-0.00822487j 0.0525522-0.01048j -0.0300183+0.0419025j -0.0319785+0.0265165j 0.0189637-0.0376268j -0.190968+0.0080608j 0.000229673-0.0461556j -0.0588964-0.0001813j -0.0694206-0.0247363j -0.0736713+0.0289921j 0.0890636-0.0149829j 0.0110269-0.016042j 0.0141782-0.0523985j -0.122656+0.0107129j -0.043477-0.00853826j -0.09171-0.00401957j 0.00412738+0.0339327j -0.109254-0.0204958j 0.0853877+0.00623432j 0.124934-0.00886465j 0.0722785-0.0215959j -0.164501+0.00403178j 0.143223-0.0143813j -0.0439597-0.0131337j 0.0603753+0.0797715j -0.0367648-0.0167189j 0.0311906-0.0457503j -0.071886-0.0144111j 0.0287544-0.00948633j -0.169061-0.0106082j 0.189141+0.0499764j -0.073744+0.0113037j 0.0411278-0.0368256j -0.141313+0.0358751j 0.147451-0.0635853j -0.088317+0.172619j 0.0507706+0.00109365j 0.119238-0.10215j -0.437912+0.0854229j -0.0469112+0.145361j 0.0822484-0.0153759j -0.340849+0.159234j 0.0393655+0.287031j -0.0449911+0.0355141j 0.359044+0.036035j -0.0129853+0.00194037j 0.149907-0.0638738j -0.144369+0.0758235j 0.17219-0.00804379j -0.12444-0.025653j -0.0475114+0.146413j 
0.0591781-0.00315825j -0.0309629+0.0356382j -0.0337206+0.0333647j 0.0213391-0.00915937j -0.0191599-1.09461e-14j 0.120093+0.0130248j -0.0533672+0.0320916j -0.151827-0.0124737j 0.0705722+0.096201j -0.0141141-0.0143027j 0.0103806+0.0412947j 0.104177+0.0574468j -0.00873935+0.0139969j 0.0671248-0.0196806j -0.0555636+0.0230426j -0.0868378+0.00271129j -0.108136-0.0113089j -0.066774+0.0251443j -0.00516114+0.0231179j -0.0623774-0.064644j -0.0276178-0.00038346j 0.0242795-0.00554044j 0.0513868+0.0184683j -0.0298419-0.0126877j 0.0755921+0.00105788j 0.00719134+0.0613888j -0.0434941-0.0198962j 0.0463762-0.014378j 0.0426496-0.00661748j -0.00991825-0.0347822j -0.0197027+0.0178644j -0.102056+0.0158074j -0.0261059-0.0350735j -0.0696111-0.00893344j -0.000122193-0.0533671j -0.0662476+0.0329769j 0.075869-0.0547676j 0.046855-0.0730069j -0.00960535-0.0374611j -0.0559039-0.0217354j -0.0326583-0.0144951j 0.00711512-0.0827362j -0.022531+0.0799955j -0.119312-0.0235968j 0.0597413+0.0181858j 0.113489-0.0269881j 0.0791637+0.014395j -0.115324+0.0147j 0.0695995+0.0105063j -0.0556701+0.0312083j 0.0712726+0.0247797j 0.0126332+0.0103768j 0.00700855-0.00962625j -0.0707051+0.0275417j -0.0251913-0.0646059j -0.0586161+0.0238203j 0.0997426+0.0512136j -0.0435894+0.0802575j 0.0674413+0.0907908j 0.00300273+0.133806j -0.158681+0.0505679j 0.0816323+0.0578708j -0.0492172-0.0700313j -0.0936244+0.145604j -0.100784-0.0503162j -0.0946957-0.0591915j 0.0978548-0.0097805j -0.250082-0.0974717j 0.0885078+0.0304804j -0.062111+0.207908j 0.204619-0.0423887j -0.0841187-0.0952641j 0.126011+0.00182751j -0.0970017+0.0267987j 0.0304972+0.0627444j 0.0764578+0.0474105j 0.0819186+0.185392j 
0.00168424-0.0428085j 0.0383988+0.00131537j -0.0220998+0.0103495j 0.200906-0.0422806j 0.120093-0.0130248j 0.0022785-6.38378e-15j -0.186254+0.0074426j -0.0104749-0.0238391j 0.226939+0.0206307j 0.0140608+0.0333831j -0.0969453+0.0172925j 0.0421174-0.0336124j 0.00895706+0.0105394j 0.184609-0.0363612j 0.0437513+0.057922j -0.180622+0.0218557j -0.00787033-0.0327292j -0.0479859+0.0288195j -0.0168789+0.0256199j 0.0392299+0.0130201j 0.00815483-0.0750962j 0.012362+0.0282466j 0.0398437-0.0586299j 0.124296-0.0513538j -0.0403015+0.0357271j 0.0185029+0.00790925j -0.0594154-0.0662284j -0.0693274-0.000989892j -0.00446999+0.0139532j -0.0190938-0.0162649j -0.0113772-0.0157312j -0.0957631+0.0238501j -0.0309891-0.0113113j -0.00415771+0.0192045j -0.065522+0.00108603j -0.00556654-0.0113073j -0.00800637-0.0590668j -0.0149865+0.0211599j 0.000125522+0.0393985j -0.0661661-0.0404939j -0.0535152+0.0387518j -0.203768+0.0165186j 0.0827355-0.0407227j -0.00152659-0.0340363j 0.0265594+0.0523799j -0.0450361+0.0191292j 0.0404697+0.00238683j 0.0232828-0.00331265j -0.00348133-0.0440875j 0.0458882+0.0205903j 0.00489136-0.00631255j 0.032281+0.0184596j 0.055328-0.0344256j -0.0318715+0.060415j 0.00668405-0.0115105j -0.0706597+0.0583469j 0.0415698-0.0893093j 0.0821546-0.0253769j 0.0778483-0.0990231j 0.0125526-0.065332j 0.205038+0.115272j 0.0870378+0.0613995j -0.0509419+0.0581497j 0.173566+0.090325j -0.202204+0.0808275j -0.0723861+0.0239995j 0.118919-0.0249311j -0.170916+0.0838776j 0.137078+0.0994791j -0.0326208+0.0807094j 0.13148+0.160581j -0.0105281+0.0103299j 0.0323263-0.0150227j 0.0171921+0.0030904j 0.136844-0.0266934j 0.106833+0.211938j -0.144281+0.00760784j 
0.0402951-0.106669j 0.0393176+0.00273319j -0.00577669+0.00948899j -0.0840247+0.0147674j -0.0533672-0.0320916j -0.186254-0.0074426j -0.0473621-3.10862e-15j 0.2197-0.00784975j 0.172292+0.00707187j -0.0432636+0.0123956j -0.0202836+0.00837835j -0.0142766+0.037189j 0.0292787+0.0263712j -0.0174238-0.0876508j 0.178103-0.0382558j 0.0920534+0.00938228j 0.0650147-0.0232624j 0.10173+0.000569264j -0.00611465-0.0203045j 0.0604836-0.0213389j 0.0348831+0.0303027j -0.019747-0.0157038j 0.00622366-0.0194532j -0.0115238-0.0137573j -0.147845+0.0604187j -0.0122559+0.0169661j 0.0699278+0.0411081j -0.0787033+0.0331553j -0.0578288-0.0234213j -0.0688103+0.0211796j 0.045109+0.0554915j 0.106884+0.06308j 0.00862582+0.018761j 0.00681793-0.0244075j 0.003725+0.0100123j 0.0544125+0.0825875j -0.0845311+0.021854j -0.0404183-0.0362098j -0.0445283+0.0120211j 0.00214433+0.0735996j -0.0647171+0.0429734j -0.103527+0.0805115j 0.0622103-0.0205833j 0.104596-0.0298741j -0.0821088+0.0169893j -0.085075+0.016834j -0.012316+0.0227163j 0.100397-0.00955341j -0.0361563+0.00235939j 0.0458585+0.0252652j -0.0237132+0.0735257j 0.0159809+0.0190802j 0.0228227+0.0145285j 0.032513+0.0164658j 0.0518233+0.0522777j 0.08406+0.0586745j -0.0693425+0.00401098j 0.0166525-0.127451j 0.125565-0.00562925j 0.117434+0.032258j -0.12391-0.0930183j -0.158186+0.139522j -0.117599-0.116616j 0.0140421-0.0300477j 0.114323-0.0614857j 0.145038+0.00404328j -0.127733+0.0203023j 0.165391+0.0589452j -0.0842374+0.0642617j -0.0125737+0.0671133j -0.244213+0.048793j -0.0243577-0.0501193j -0.182334+0.0189794j 0.0642791+0.106221j -0.0460216-0.147277j 0.103934-0.276163j 0.365619+0.0715439j 
-0.00361707+0.0166835j 0.125203-0.129952j -0.171-0.0265834j -0.330525+0.0208618j -0.151827+0.0124737j -0.0104749+0.0238391j 0.2197+0.00784975j 0.267022-1.85962e-15j -0.166797+0.00821612j 0.0396861-0.0327439j 0.0377748+0.00346512j -0.221915+0.0645813j -0.104246+0.0427626j -0.201934+0.00782725j 0.0969365+0.0975567j 0.29087+0.034657j 0.129349-0.0499261j 0.241084+0.0720976j 0.0420349+0.0177689j -0.0406801+0.088813j -0.0499445-0.0785528j -0.0420349+0.00681425j -0.0459834+0.037253j -0.156111-0.0490936j -0.0985619-0.00932511j -0.0299376-0.0383577j 0.0551767+0.0121123j 0.00107025-0.046266j 0.0410819-0.0119519j -0.0206824-0.00708465j 0.0369926+0.0116659j 0.279882+0.00939744j -0.0102199-0.00794919j 0.0819248+0.0180011j 0.103653+0.0226102j 0.0684851-0.00126016j -0.135484+0.0391235j -0.0148874+0.0559457j 0.0395398+0.0202925j 0.163081+0.0243064j 0.0845353+0.0160381j 0.103027+0.020678j -0.025112-0.0546054j 0.0872185-0.0344068j -0.0724344+0.0520784j -0.153745+0.0461899j 0.017865-0.00919422j 0.216834-0.0543095j -0.231481-0.0184603j 0.0298038-0.0601385j -0.104553+0.0351799j 0.11436-0.00358789j 0.00436005+0.0506391j 0.105962-0.0745428j -0.12064+0.111256j 0.340986-0.0612151j -0.27898-0.0115151j 0.00366344+0.00449143j -0.0240005-0.116867j 0.221899-0.0259905j -0.214548+0.0703299j 0.187474+0.232155j -0.172769+0.0663806j -0.0973235-0.00919502j 0.326376-0.0304664j 0.157623-0.000712175j -0.156269-0.00465063j 0.33564+0.0294957j -0.247652-0.0120345j 0.187707-0.123756j -0.397768+0.0986287j 0.103826-0.022302j -0.344385+0.0146042j 0.165913+0.113594j -0.383659+0.190863j 0.475132-0.0028609j 0.0204082+0.266047j 
-0.0259698-0.0463027j -0.0799061-0.0351491j 0.0956766-0.063879j -0.0596237-0.0801783j 0.0705722-0.096201j 0.226939-0.0206307j 0.172292-0.00707187j -0.166797-0.00821612j -0.113229+3.25087e-15j 0.0576995+0.0405777j 0.112588-0.0106104j 0.0378857-0.0422526j 0.0720092+0.0455845j -0.00385282-0.0394022j -0.0187461-0.0311556j 0.0384657+0.0397906j -0.0115738-0.0406801j -0.130707+0.00631432j -0.0632525-0.000559362j -0.03932+0.0274536j -0.0639194+0.00871188j 0.0484649+0.00464435j -0.0508083-0.0573429j -0.128991+0.014561j 0.116597+0.0544256j 0.0273756-0.0188096j -0.0189418-0.0212708j 0.072153+0.0649317j 0.0293307-0.0529508j 0.0464209+0.015445j -0.00664369+0.0689369j -0.0465971+0.0723356j 0.0491894+0.00777774j 0.00843276+0.0180667j 0.0298707+0.0178187j -0.0653209+0.0491139j 0.0100803-0.0249482j 0.0146743+0.0144744j -0.00192594+0.00623146j -0.0623075+0.0250196j 0.00364446+0.0105919j 0.0317922-0.0107783j -0.0213295-0.112803j -0.103553+0.077089j 0.0161923+0.0815706j 0.105335+0.014482j -0.0538987+0.0568031j -0.075785-0.062673j 0.0742681-0.00529214j -0.00592824-0.00244377j -0.013908+0.106688j -0.0214947-0.0180094j -0.116556-0.00395702j -0.0520471+0.0680224j -0.168473+0.0189615j -0.0255834+0.131031j 0.0868384-0.115994j 0.00603349-0.0828502j -0.0356319-0.0231151j -0.0262244-0.0387498j 0.0759609+0.0269128j -0.0441707-0.0321511j 0.00829506-0.0830343j 0.176552+0.118464j -0.0503679-0.0650981j -0.061055+0.0239722j 0.0847233-0.00972292j -0.102705-0.0406386j 0.153446+0.000616503j 0.0597111+0.024116j 0.0835571+0.0101468j 0.0942663-0.0595247j -0.0354253-0.0366942j -0.036283+0.249372j 0.203296-0.14361j -0.0817935-0.0562939j -0.0184539-0.0298778j 
-0.0293894-0.0226038j 0.00692571-0.0368214j 0.0115407+0.0016381j -0.0065087-0.00187356j -0.0141141+0.0143027j 0.0140608-0.0333831j -0.0432636-0.0123956j 0.0396861+0.0327439j 0.0576995-0.0405777j 0.0348318+5.1209e-15j 0.0160499+0.00163497j -0.0858946-0.0210149j 0.0214454-0.0507214j -0.0335045-0.0592578j 0.0270839-0.0669328j 0.0257361+0.049712j 0.0739241+0.0229802j 0.00578942+0.00173319j 0.048465-0.00878039j -0.0311559-0.0529761j 0.0183799-0.0267814j -0.0065605-0.0373305j -0.0212153-0.037404j -0.0769024+0.019298j 0.0473294+0.039552j 0.0233403+0.0397613j 0.0278945+0.00661101j -0.0094924+0.0106957j -0.0389209-0.0394525j -0.0287353+0.0170443j 0.0307407+0.0488971j -0.0258301+0.0689056j 0.0115086+0.00669668j -0.0236739-0.0082638j -0.0699421+0.00890089j 0.0580174+0.0316028j -0.0114327-0.0204229j -0.0605764-0.0314847j 0.0372098-0.0578121j 0.00561345+0.016273j 0.0398632-0.0145883j -0.0217838-0.0285557j 0.0204043+0.0262948j -0.0267815+0.0282353j 0.0199402+0.0201016j 0.00513187+0.000741572j 0.00142696-0.0209868j 0.0147821-0.0410029j 0.00542261+0.0845336j 0.0401534+0.0217084j -0.0694784+0.0145752j 0.0173563-0.0344916j 0.00691018-0.0419831j 0.0582916+0.0467698j 0.0957155-0.118824j -0.0253605+0.0430493j -0.0891378+0.0448679j 0.0466021+0.0401527j -0.0191052+0.0542251j 0.0359933+0.0910238j -0.0730647-0.0226587j 0.0238915-0.0514869j -0.114706-0.0737787j 0.0541239+0.140659j -0.0339095+0.087066j 0.130957-0.201643j 0.00808903-0.0168619j 0.0291445-0.181195j 0.0336179+0.0471512j -0.0229829-0.0261148j 0.0472891-0.0404839j -0.0681241-0.0222456j -0.120962-0.0257897j 0.0444757+0.00553829j -0.0134802-0.0859147j 0.126859-0.0452359j -0.00446602+0.0596473j 
0.0354224+0.0303065j -0.00418818+0.0398195j -0.0044436+0.028173j 0.045859+0.0112418j 0.0103806-0.0412947j -0.0969453-0.0172925j -0.0202836-0.00837835j 0.0377748-0.00346512j 0.112588+0.0106104j 0.0160499-0.00163497j -0.097094+1.24206e-14j 0.0342866-0.0135991j 0.092606+0.0272178j 0.129687+0.0248076j 0.0397584+0.0206544j -0.0512149-0.00221883j 0.0186084-0.0144615j -0.0341199-0.0177089j -0.0554165+0.0379687j 0.0524151+0.0097898j 0.0584632+0.0431444j 0.0243114+0.0145965j 0.0394162+0.0160866j 0.0885097-0.0171637j -0.0482746+0.0204417j -0.00127858-0.0101777j -0.0482554+0.00960125j -0.00740508+0.0263985j -0.0232881-0.0139384j 0.0101395-0.0320999j -0.0289844-0.00286448j -0.0460632-0.054787j -0.0118898-0.0445942j -0.0110233-0.0247628j -0.0501447-0.047162j 0.0403498-0.0132643j -0.0949698+0.0431512j -0.0764113+0.0324349j -0.0115899-0.030797j -0.0276403-0.0308531j -0.0299442-0.00370124j -0.0436885+0.00758577j -0.0159672-0.0745468j 0.0271485-0.0164995j -0.00948092+0.0862805j 0.0241702+0.0311286j -0.0367236+0.0226774j -0.0270396-0.0791134j 0.0547691-0.00936683j 0.0368772-0.0923701j 0.0366132+0.12181j -0.0446403-0.0406467j -0.0666542+0.0109941j 0.0735206-0.0647366j 0.121076+0.0289051j -0.0236871-0.0140753j -0.169956+0.0495861j 0.0317026+0.0452483j -0.0462572-0.0145114j -0.104726+0.0435093j 0.0687018-0.035034j -0.0423182+0.120638j -0.0620626+0.0917102j 0.134256-0.0964592j -0.185814+0.122879j 0.114179+0.00563859j 0.135013-0.0222859j -0.0475316-0.0745069j -0.0374044+0.0655497j 0.0483863-0.108763j -0.0470707-0.0431593j 0.000180127+0.0091802j -0.0907713+0.0868234j -0.109708+0.201935j 0.193678+0.0907609j -0.0615838+0.138098j -0.110555+0.0555787j 
