-0.011956+0.00615947j -0.00567227-0.00447028j -0.00577559+0.00505122j 0.00851668+0.000248514j -0.00449414+0.00138262j -0.0015024-0.003129j -0.00716902+0.00644475j 0.00543747+0.00250094j 0.0067009+0.00151213j 0.000381513-0.00340014j 0.00272395+0.00239747j -0.00185515+0.00695374j 0.00396698+0.00313248j -0.00115351-0.00530699j 0.00285521-0.00136734j -0.00410373+0.00390291j 0.0011432+0.00266135j -0.00324243+0.00324407j 0.00246616+0.00350178j 0.00226145+0.00139968j -0.00614648+8.11271e-05j 0.00236671+0.00539559j 0.000470696+0.00447684j -0.00311121-0.000310978j 0.00317946+0.0019356j -0.00275427-3.94395e-05j -0.0019101-0.0012678j -0.00128579+0.000751405j 0.00133449-0.00185386j 0.000695824-0.00189745j 0.00175652-0.0014669j -0.00407308-0.00252485j -0.00248453-0.000716243j -0.00231439+0.00224247j -0.000885153-0.000735253j 0.000611476+0.000895038j -0.00339485+0.000430866j -0.00171987+0.0024196j 0.00271552-0.00318062j 0.00634546-0.000345558j 0.00139304+0.00237891j 0.0032038+0.000572858j 0.00424846-0.00359429j -0.00371807+0.0040402j -0.00179067+0.00205549j -0.00454434+0.00449433j -0.0062274+0.00429224j -0.000956142+0.00704553j -0.00399237+0.00815368j -0.00563872+0.00455083j -0.00215078-0.0015855j -0.00664924+0.00756228j 0.00451389+0.00128354j 0.00169863-0.00976382j -0.00618763-0.00386685j -0.0113251+0.00588823j 0.00386077-0.00764042j -0.00697797+0.00253544j 0.00909794-0.0143661j 0.00325975+0.010653j -0.0195831-0.0113714j -0.00625856+0.0139843j -0.00462576-0.0039291j 0.00130881-0.00919366j -0.00577168+0.0143145j -0.0239908-0.0152308j -0.0125178+0.0133419j -0.0270674+0.000374435j 0.0475567-0.0126819j -0.0202999-0.049197j 
-0.00399666-0.00515455j 0.0120878-0.00801422j -0.0053244-0.00143742j -0.00646854+0.00636789j 0.000842855-0.0015488j 0.00685012-0.00684378j -0.00380121-0.00202449j -0.00309141+0.00255684j 0.000871364-0.000346928j -0.00171386-0.00441197j -0.0042684+0.00361623j -0.00723118-0.001432j -0.0003959+0.00382163j 0.00399461-0.00351252j -0.000454551+0.00191724j -0.00407483+9.29983e-05j -0.000243972+0.00060883j -0.00216487+0.00189197j -0.0036692-0.000577735j 0.00128003+0.000894393j 0.00306839-0.00674703j -0.00685587+0.00468324j -0.00627742+0.00405642j 0.00456685+0.00175385j -0.00451495+2.42871e-05j 0.00125723-0.00344154j 0.00329639-0.000943326j -0.000462995-0.0015388j 0.00175094-0.00116658j 0.00184371+0.000446159j -0.00227604-0.000741948j 0.00439606-0.00602176j -0.00292671+0.00323367j 0.000547651-0.00371269j -0.000711988+0.00508706j -0.00246254+0.000456371j 0.00254381-0.00451566j -0.00288099+0.00320234j 0.00178404+0.00320064j 0.00171052+0.00172023j -0.00208019+0.00076764j -0.00316543+0.000947294j 0.00379845+0.00345937j -0.00437316-0.00124951j -0.00456431-0.0030202j -0.0051376+0.00263035j 0.00264815+0.0024365j -0.00759989-0.00122975j -0.00461505-0.00333704j 0.00579285-0.0101491j -0.00462723+0.000658323j -0.00695141+0.00519138j 0.00323256-0.00204591j 0.0055079-0.00100589j 0.00952622-0.0061912j -0.00267347-0.00872456j 0.00750095+0.000837889j -0.00906733+0.00818284j -0.0142384-0.00523683j 0.00739794-0.00370131j -0.00772411+0.0177343j 0.0161372+0.00758801j 0.00282496-0.00116064j -0.000110217-0.00961467j 0.0250824+0.0120841j 0.00261048+0.0251152j -0.0228143+0.00509879j 0.00584164-0.0166657j 0.0198664+0.049531j 0.0448081-0.0118512j 
0.00107429-0.00161159j 0.00911405-0.00358272j 0.00829395-0.00322752j -0.00551722-4.08683e-05j -0.00877684+0.00365885j 0.005133-0.00371854j 0.00958955-0.00389546j 0.0040006-0.00538396j -0.0126172+0.0024853j -0.00705562-0.00124798j -0.00151235+0.00259055j -0.00282903+0.000901617j 0.00378612-0.00507409j -0.00703541+0.00605914j -0.00428036+0.00492381j 0.00792979-0.00348178j -0.00977094+0.00257161j 0.00599155+0.000301635j -0.0108387-0.00100525j -0.00448937+9.18181e-05j -0.00166789-0.00237677j -0.00325149+0.00025522j 0.000839512-0.00135854j 0.00465951-0.00421215j -0.00823712+0.000191593j 3.02089e-05+0.000419772j 0.0105591-0.00511222j 0.00252497-0.00416551j -0.00586335+0.00361458j 0.00423125+0.000182479j -0.00162089+0.00147942j -0.00669014+0.00134188j 0.00493823-0.000314938j 0.00353359-0.00288446j 0.00199722+0.00187771j 0.00634148-0.00393697j -0.00271315-0.00295582j 0.00654548+0.00244655j 0.00478384+0.00352758j -0.00189204-0.00310103j -0.000111137-0.00165561j -0.00155274+0.00203131j -0.00192163-0.0019387j 0.00671686-0.00878833j 0.00246617-0.00623784j 0.0134873-0.00795126j 0.00604489+0.00168035j 0.00576091-0.00783006j 0.00920142-0.0087466j -0.00560635-0.00241306j -0.000448592+0.000502315j 0.00713654-0.000265296j 0.00583872-0.0045976j -0.0045413+0.00138936j -0.00533886-0.000522324j -0.0269155-0.00143591j -0.000823474+0.00329125j -0.0114077-0.00170824j 0.0126654-0.00182528j -0.0113078+0.00719677j -0.00950634+0.00255j 0.00315352+0.0110353j 0.0213141+0.0110918j -0.00705121-0.0146642j 0.0106884+0.00114063j 0.00276291-0.0122198j 0.0253686+0.0287459j -0.0174583+0.00961914j -0.00153785+0.00567368j 0.00836311+0.00734213j 
0.00659609-0.00190083j -0.00277509+0.0027935j -0.00547057+0.00404154j 0.00653509-0.00265611j 0.00659622-0.00377859j -0.00036599+0.00258272j -0.000459079+0.0006383j 0.00307998+0.00111579j 0.00188082-0.00240075j 0.0011406+0.00184812j 0.000157447-0.00373041j 0.00291315-0.00263233j 0.0043838-0.000793663j -0.00469458+0.00311178j -0.00661017+0.0003295j 0.00228454-0.00298821j -0.00141128-0.00226647j 0.0051877-0.00308303j -0.00524798+0.00267821j 0.00159194-0.00187295j -0.00342229+0.00310905j 0.0045594-0.00396333j 0.00522819-0.00420428j 0.00598606-0.00462404j 0.00217325-0.000898429j -0.0042636+0.0043482j -0.000550462+0.00400348j 0.00472491-0.0010033j -0.00305763+0.00175977j -0.00331977+0.00213743j 0.000655609+0.00195986j -0.00120839+0.00172557j 0.00849921-0.00230677j -0.0072142+0.00296226j 0.01058-0.00480589j 0.00257531+0.00359948j -0.0110899+0.00329829j 0.00836133-0.00205069j -0.00203132+0.0011333j -0.00399061+0.00105268j 0.00154365+0.000478973j 0.000794321+0.00129169j -0.00317341-0.00310956j 0.00383147+0.00441252j 0.00753579+0.00533313j 0.0121526-0.00122709j -0.00475743-0.00684859j 0.0102012-0.00243707j -0.00321492+0.00363276j -0.00574812-0.00333437j 0.0116173-0.00267495j -0.00631571-0.00673068j -0.0107174-0.00254824j 0.0329175+0.00206201j 0.0119397-0.00972087j -0.00241816+0.00556216j 0.0127442-0.00241596j -0.00329499+0.00506977j -0.0164942-0.00941273j 0.0175232+0.0054631j -0.0222368+0.0020194j -0.0113617-0.0108481j 0.017045+0.0199772j -0.00132476-0.0118027j 0.00729013+0.00302729j 0.00594582-0.0107096j -0.0172689-0.00130429j -0.0128717-0.0196031j -0.00620114-0.00676719j -0.00412335+0.00392407j 
-0.00178566+0.00124022j -0.00125371-3.71026e-06j 0.0083968-0.00396489j -0.0066932+0.00221886j -0.00943209+0.00409747j -0.00240383-0.000596968j -0.00383529+0.00267231j -0.000208251-0.00195371j -0.00369373+0.00116932j 0.00297292-0.00186895j -0.0020745+0.00402385j -0.0075517+0.00418202j -0.00503841+0.00173945j -0.00265502+1.67851e-05j 0.00464433-0.0014889j 0.0104166+0.00125294j -0.00384418+0.00198804j -0.00488328+0.00342242j 0.00248286-0.00324649j -0.0048791+0.00187789j 0.00566038-0.00224612j -0.000315151+0.000827925j 0.00130129+0.00168522j 0.000717643+0.0020482j -0.00402584+0.00148108j 0.00390659-0.00358524j 0.00719915-0.00704476j -0.00525496+0.0025049j -0.00505048+0.00127943j 0.00775626-0.00280059j -0.00540269-0.00158466j -0.0100316+0.00104749j 0.00968972-0.002215j -0.00362573+0.00413422j 0.00247981-0.00326787j 0.000318517-0.00637272j -0.00613201+0.00407028j -0.000306424+0.00492897j 0.00762356-0.000833753j -0.00107935-0.00313483j -0.00537332-0.00132745j 0.00722853-1.70956e-05j 0.0190306-0.00223811j -0.00449047-0.00701165j -0.00369908-0.00381292j -0.00703731-0.00425819j -0.0303718+0.00109977j 0.0146305+0.00220336j 0.00206457+0.00188148j 1.75451e-05-0.0013849j 0.0127068-0.00176578j 0.0246631-0.00128095j 0.00695981+0.00812795j 0.00367003-0.00575077j 0.0104654-0.000465494j 0.0231866+0.00281792j 0.0186989+0.0109578j 0.00339874-0.000907654j -0.0127327-0.00162236j 0.0177177+0.011635j 0.00241905-3.00585e-05j -0.00791151-0.00850428j -0.00209449+0.00564845j -0.00318033-0.00657825j -0.0057421+0.00831181j 0.0192443+0.0114946j 0.0123043+0.00405609j 0.00581465+0.0087319j 0.00197866-0.00154106j -0.0012174-0.00175911j 
-0.00281029+0.00151685j -0.00363965+0.000498549j 0.000952495+0.000545977j 0.0039395-0.0012143j -0.00244077-5.33612e-05j 0.00741811-0.00308935j -0.00259455+0.0012764j 0.000228616-0.000491282j -0.00177667+0.000930788j 0.00434338-0.00210091j 0.00396028+0.000792492j -0.0101386+0.00526087j -0.00867569+0.00293902j -0.0053598+0.000611022j -0.00409339+0.000642689j -0.00366387+0.00355553j -0.00219748-4.87186e-05j -0.00110583-0.00147053j -0.00315473+0.000490057j -0.0113797+0.00614851j 0.00362179-0.00430078j -0.0145279+0.00525765j -0.00516424+0.00208483j -0.000245416-0.00167517j 0.000546688-0.000306924j -0.0120399+0.00336714j -0.00747944+0.00480357j 0.0101231-0.00388414j -0.00136807-0.00453933j -0.0116732+0.0027466j 0.0112541-0.00472402j 0.00403271+0.000229136j -0.00146779-0.00200995j 0.00556956-0.00515126j -0.00454679+0.00396788j 0.0152763-0.00360365j -0.00465148-0.00123415j 0.0060424-0.00281209j 0.00805297-0.00294481j 0.00695707+0.000485522j -0.00258097-0.0010301j 0.0064344-0.000112214j -0.0115826-0.000828334j -0.0133572+0.00110158j 0.00880191-0.00269132j -0.0121081-0.00279356j -0.00153226-0.00462217j 0.0205658-0.00331492j -0.0064356+0.00266032j 0.000919056-0.00186939j 0.00939476-0.00131201j 0.00543073-0.00502774j 0.00416551+0.00841806j -0.00834805-0.000113875j 0.00901022+0.0077626j -0.0154145-0.00573255j 0.00843481-0.00239337j 0.0233853+0.0132669j -0.0131871-0.00909217j -0.000223966-0.0078672j 0.00444162-0.00751609j 0.012481+0.00545878j 0.0123026+0.00503761j 0.0108951-0.0066259j -0.0164236-0.0134974j 0.00289354+0.008408j 7.75807e-05+0.00147449j -0.00359229+0.000475674j 0.00411212-0.000391923j -0.00173878-0.00499625j 
-0.00528925+0.00123605j 0.00617944-0.00283995j 0.00197938-0.00277586j -0.00661442+0.00347519j 0.000417176+0.000451082j -0.000891633+0.000742943j 0.00918029-0.00418765j 0.00505598-0.00349391j 0.00194761-0.000370671j -0.00662596-0.000961477j -0.00635647+0.00326146j 0.00491745-0.00176856j 0.00530895-0.00287221j -0.00249126-0.000234437j 0.00545301-0.000132908j 0.00147053-0.00116303j -0.000624532+0.00251079j 0.00367389+0.00199456j 0.00139785-0.00261544j 0.00118585-0.00232371j -0.00367568-0.0010863j -0.000642688+0.00229586j -0.00102377+0.00361472j 0.0013296+0.000813653j -0.00347297+0.00102327j -0.00306356-0.00212119j -0.00082351-7.71393e-05j 0.013385-0.00714082j 0.00234187-0.000818201j 0.0023941-0.00132661j 0.00423876-0.000222602j 0.00510046-0.00570671j -0.00590371+0.00317467j -0.000822214-0.000341601j 0.00732338-0.00258634j -0.0130484+0.00528505j -0.00732136-0.00251155j 0.00124057+1.40192e-05j -0.0165609+0.00443714j 0.0256644-0.0011767j 0.0170577-0.00150377j -0.00360123-0.0037673j -0.00772733+0.0054921j -0.00182425+0.0027593j -0.00301717+0.00411555j -0.0054011-0.0050984j -0.0142264+0.00468746j 0.0184715-0.00188299j -0.0168536-0.0102883j -0.0119531+0.00466615j -0.0267415-0.00878074j 0.00741117+0.00186938j -0.0213994-0.00429386j 0.000761125-0.00256617j 0.0146697+0.00249738j 0.0029966-0.000590531j -0.0169824-0.00916388j 0.0160351+0.00733843j 0.000490951-0.00227009j 0.0013678+0.00388678j -0.000911466-0.00272891j -0.0149153-0.00492998j -0.0039827+0.00809842j 0.0143193+0.0120248j 0.0145904+0.00164391j -0.0105378-0.00600834j 0.00604592+0.0049069j 0.00288872+0.00353551j 0.00299724+0.00616003j 0.00443288+0.000299011j 
-0.00165249+0.000383062j 0.00323832-0.00123913j 0.00226392-0.00135634j -0.00195931+0.000314113j 0.00319039-0.00101463j 0.00399165-0.00114417j 0.00898685-0.00516375j -0.00208877-0.000407188j 0.000890173+0.000720649j -0.00772161+0.0022501j 0.00696977-0.00331701j 0.00570177-0.000698596j 0.0107617-0.00636724j -0.00597992+0.00239144j -0.00555633+0.00330805j -0.0120029+0.00332085j 0.0008445-5.59757e-05j -0.00175394-0.000570272j -0.00126308-0.000695076j -0.00097763+0.00130647j -0.00781002+0.00137084j -0.000610787+0.00301418j 0.00123117+0.000722245j 0.00301873-0.00219593j -0.00255696+0.000466827j -0.00498776+0.00230097j -0.00128049+0.00136771j 0.000380528+0.000144219j 0.00222808-0.00381582j -0.000735203+0.000911233j -0.00623498+0.00712486j -0.00490998-0.00252717j -0.0160754+0.00536257j -0.0122334+0.000295335j -0.00693266+0.00210428j 0.0204693+0.00302769j 0.00455298+0.00134226j -0.0132834+0.000347821j -0.0100306+0.00190601j -0.0103488+0.00850768j 0.0169268+0.00177083j 0.0291833+0.00435391j 0.012073-0.00214376j -0.0133427+0.0032036j 0.00965351-0.00312933j 0.00420943+0.000902132j 0.000365755+0.0051662j -0.0215353-0.0085667j 0.00226776+9.3655e-05j -0.00268915+0.00200551j 0.0218856+0.0033177j 0.00947678+0.00627987j -0.0153261-0.00609304j -0.0155962-0.0076788j 0.000677714+0.00302916j 0.00755859+0.000317098j 0.00524872+0.00104351j -0.0121473-0.0103464j -0.000659305-0.000823322j -0.0182343-0.00554049j -0.0153812-0.0033867j -0.00184475-0.00748784j -0.00117065-0.000565808j 0.00489814+0.0035177j -0.000778195-0.00507934j -0.0104452-0.00450682j 0.00356239+0.00432654j -0.000893117+0.00125518j 0.000284206+0.00202772j 0.00172942+0.0013223j 
0.00103502-5.97374e-05j -0.000701405+0.000463929j 0.00237151-0.000396474j 0.000905108-0.00109588j 0.000958063-0.000140559j 0.000554009+0.0003774j 0.00428392-0.00177942j -0.00214818+0.000279528j -0.00257284+0.00179549j -0.00790699+0.00359321j 0.00329548-0.000687089j -0.00154194+0.00199581j 0.00282766-0.00271235j 0.000739856+0.000363287j -0.00478877+0.00161584j -0.00703742+0.00237221j 0.0054071-0.00147846j 0.00558013-0.00357557j 0.00716094-0.00212227j 0.00486875-0.00100538j -0.00857797+0.00284777j -0.00410863+0.00163212j -0.00454919+0.000163885j 0.000212942-0.00459472j 0.00530812-0.00152399j -0.0105922+0.00414693j 0.0109331-0.00115089j 0.00373469-0.00112621j -0.00386448-0.00167386j -0.00310725-0.000563352j 0.0142124-0.000487206j -0.000482071-8.23537e-05j 0.0202193-0.00833375j 0.0243616-0.00255581j 0.00559644-0.00464131j -0.0124763+0.00338253j -0.00598211-0.00360844j -0.0325976+0.00413114j 0.0150907+0.00267091j -0.00303604+0.00397313j -0.00470933+0.000885362j 0.0191437-0.00462516j -0.00125854-0.00225796j 0.0176632+0.00208842j 0.0029122+0.00121371j -0.025199+0.00171368j 0.008197+0.00297115j 0.0137373+0.00334397j -0.00170582-0.000869652j -0.0107907-0.000732933j -0.00494383-0.000872355j 0.0186829+0.0128673j -0.00554581-0.000305526j 0.0188591+0.0128878j 0.014385+0.00757271j 0.00390615-0.003885j -0.0011327+0.00347905j -0.0040949-0.00102555j 0.00247372+0.00465835j 0.00333403-0.00182729j -0.013646-0.00813599j 0.0104227+0.00164195j 0.000765344-0.000511259j 0.000180154+0.000431381j -0.00316378-0.00336678j -0.00267506-0.00206251j 0.00238632+0.00175274j -0.00118328+0.00052455j -0.00087164-0.00175549j -0.00125335+0.000832668j 
-0.00331593+0.000956825j 0.00091959-0.000991882j -0.0056489+0.00234076j 0.00553547-0.000903291j 0.00613311-0.00292955j -0.000649146+0.000728085j 0.00341292-0.00197391j 0.00148777+0.0020218j -0.000896606+0.00161334j 0.00186247-0.00328844j -0.0105002+0.000936082j 0.00543879-0.00217395j 0.0087209-0.00211581j 0.00929654-0.00518186j 0.00427256+0.000966551j -0.00538787-0.00149682j 0.00190104+0.00164243j -0.0122173+0.00673224j -0.0077287+0.00478843j 0.00888302-0.00180496j 0.00555614-0.00327017j 0.00878815-0.000607494j 0.00993867-0.00463602j 0.00864798-0.00133086j -0.00338067-0.00250773j 0.0101632+0.000219895j 0.00401047+0.00444398j 0.0107169-0.0052737j -0.0179007+0.00665078j -0.00519192+0.00325244j -0.012502+0.00218156j 0.0139528-0.00406833j 0.00525388+0.000631899j 0.0172162+0.00168453j -0.0165013+0.00575153j 0.00265271+0.00273578j -0.0301259-0.00257648j -0.00255452+0.00949572j 0.0323638+0.00192228j 0.000679964-0.0010891j 0.00727784-0.00156844j 0.0200269+0.00250938j -0.0129917-0.00637385j 0.00756688+0.000329432j -0.00923321-0.00103801j -0.0125792-0.00346785j -0.023955-0.00581822j 0.00296913+0.0015232j 0.00408378+0.00119967j -0.00194135+0.00116874j 0.0144106+0.00589406j 0.0139156-0.00137032j 0.0114785+0.00142378j -0.00377668-0.000360544j 0.00295891-0.00149075j -0.00237298+0.00145492j -0.00235375-0.00127573j -0.00818766-0.00766058j -0.0190994-0.00649184j 0.00334083+0.00977534j 0.0152025+0.00219461j 0.00420273+0.0045629j -0.00399636-0.00172289j 0.00543452+0.00289739j 0.00643544+0.00119963j -0.00896878-0.00476608j -0.0047063-0.000277923j -0.0039237-0.0030628j 0.00352499+0.00237156j 0.00133327-0.00279971j 
-0.00244524+0.00154938j -0.00181841+0.000606001j 0.00578774-0.00282195j -0.00590855+0.0024579j -0.00565511+0.00239357j -0.00376975+0.00103956j -0.000224131+0.00154268j 0.00344963-0.00397138j -0.0049838+0.00258283j -0.00301769-0.00032309j -0.00470938+0.00464491j -0.00605268+0.00437228j -0.0035905+0.00136369j 0.00042179-0.00023557j 0.00516565+6.3246e-05j -0.00422155+0.00652268j 0.00122398+0.00166203j -0.00858505+0.00333113j -0.00595452+0.00343732j -0.00909772+0.00267683j -0.0148306+0.00208428j -0.00587956+0.00150482j 0.0111599-0.000612858j -0.0124433+0.00247551j 0.00925488-0.00247542j 0.00762184-0.00473127j -0.0103923-9.18816e-05j 0.0160151-0.00765324j 0.0127942-0.00223185j 0.00842704-0.00180802j -0.00852966+0.00612344j -0.0115462-0.000331181j 0.0083226-0.00383243j -0.0163709+0.00246019j -0.0165435-0.00496549j 0.00112312-0.000475262j 0.00268-0.00185861j -0.0132717-0.0034237j -0.00994868-0.00168778j -0.00152077+0.00474115j -0.000656758-0.00362379j -0.0126122-0.00546289j -0.01442-0.00134702j 0.0144149-0.00119683j -0.00932287-0.00523719j 0.0103748-0.000145515j 0.0159552+0.000497368j -0.00717814-0.00467856j -0.0129382-0.00218052j 0.0160338+0.0044841j 0.0222943+0.00951508j -0.00198678+0.00245897j -0.00358655+0.00181037j 0.00220356-0.00182127j -0.00521647+0.00416451j -0.0037199-0.000652673j -0.0149484-0.00879469j 0.000531744-0.000651918j -0.00469646+0.00328824j 0.00740438+0.00144604j -0.00317996-0.00165984j 0.000215186+0.000733416j 9.77459e-05+0.00173944j 0.00240203-0.000149972j -0.001472+0.000696139j 0.00568052+0.00292255j 0.00721377+0.00220374j 0.00430431+0.00551143j 0.00194209-0.00132947j -0.00189839-0.00156585j 
