-0.0122841+0.00543388j 0.00736222+0.000745472j -0.00390828-0.00162967j -0.0122391+0.00373974j 0.00358782-0.000514483j -0.00169645-0.00224295j 0.0110981-0.00533339j -0.004309-0.00294705j -0.0062612-0.000928457j -0.00265325+0.00149927j 0.000635683+0.00270312j -0.00348714+0.00817656j 0.00447424+0.00231915j 0.000443428+0.00236329j 0.00309561-0.00197887j -0.000127275-0.00124105j 0.00422084-0.00498007j -0.00409369+0.00619049j 0.00664605-0.000104193j 0.00488134+0.00152593j -0.00442529-0.000603132j 0.00414372+0.000481149j 0.0049387+0.00302252j 0.000715696-0.00147443j 0.000337421-0.000305497j 0.00289933+0.000126421j 0.00254062+0.00171683j 0.000403048-0.00145704j -0.0056821-0.000149054j -0.00298554+0.00522666j -0.00359721+0.00347583j -0.00285305+0.00180717j -0.0176473+0.0102522j 0.0134341-0.00900181j -0.00100076-0.00461018j -0.00563279-0.00619868j -0.00117542-0.00155534j -0.0110028+0.00490392j 0.00696284-0.00567186j 0.00604215-0.000922888j -0.0122559+0.0147817j -0.0246245-0.00293692j 0.0262688+0.0058391j -0.00228383+0.012375j -0.0119699-0.00821335j -0.00880738-0.0070206j 0.00138563+0.0115285j -0.0178186-0.00623183j 0.0186139-0.0035651j 0.00583418+0.0106645j 0.0265874-0.00529257j 0.0203612+0.032733j 
0.00473169+0.00166094j 0.0124287-0.00681458j -0.0098232+0.00372319j -0.000168767+0.003249j 0.000470656-0.00054973j -0.00787566+0.00508765j -0.00378911-0.00147284j -0.00335854+0.00071469j 0.000537115+0.00149057j -0.000419226-0.00261786j 0.00440336-0.00485364j 0.0120556-0.0026509j -0.00200192-0.000999091j 0.00178705-0.00239464j -0.000391902-0.00146236j -0.000693032-0.000281488j -0.00244851+0.000260833j 0.00765773-0.00355184j 0.00274791-0.00050105j 0.00904715-0.00207134j -0.00453488+0.0077796j 0.0007105-0.000403718j 0.0101515-0.00512286j 0.001276-0.00215953j 0.0026498-0.00185333j 0.00705719-0.00146304j 0.00910828+0.00429444j 0.00202596-0.00211189j 0.00287796+0.00363633j -0.0030645+0.0029833j 0.00555467+0.00031046j -0.00375643+0.0120647j 0.0127469-0.00133945j 6.74644e-05+0.000432908j -0.00976934-0.00147159j -0.0127009+0.0049508j -0.00671851+0.000664389j -2.3809e-05+0.00763006j -0.0147534-0.00310152j 0.000879814+0.00355693j -0.0212034+0.00124037j 0.0133145-0.0109659j 0.0024995+0.0123694j -0.0279223-0.000996996j -0.0103163-0.00172572j 0.000885811+0.00579084j -0.0104686-0.004729j -0.0199267-0.0238215j -0.00866881-0.012651j 0.00739185-0.012596j -0.0186856-0.0315706j 0.0267702-0.00407013j 
-0.00152662+0.00118742j 0.00929418-0.00354714j -0.000856297-0.000775937j -0.00997001+0.00294904j -0.00632122+0.00242108j -0.00375005+0.00152828j 0.00789331-0.00276017j 0.00673433-0.00579318j -0.0141189+0.00438327j -0.0087753+0.000648162j -0.00888848+0.00216113j -0.00148687+0.00109128j -0.000890054+0.00461415j -0.00444985+0.0021309j 0.0092335-0.00606878j 0.00442701-0.00239452j 0.00335525-0.00297324j -0.00735931+0.00271369j 0.0151339-0.00294916j 0.0121792-0.00312526j 0.00739708+0.000215405j 0.0143509-0.00119165j -0.00689996+0.00141432j -0.00335912-0.00274051j -0.00455348-0.00126287j -0.00323355+0.0024582j 0.000827017-0.00926102j -0.00334317+0.00305328j 0.00454662-0.00418264j -0.000132855+0.00377382j -0.0108119+0.00381023j 0.00540032+0.00310078j -0.0138925+0.00715233j -0.00338925-0.000234406j 0.0121193-0.00814158j -0.000118596+0.00211615j -0.00401823+0.00480499j 0.0259042-0.000960165j -0.019183-0.00281744j -0.00936942+0.00370239j -0.00299487-0.0037371j 0.0119967+0.00336422j -0.0159147+0.00506901j 0.000975852-0.00691454j -0.0201467-0.009884j 0.0189982+0.018514j -0.0098221-0.00101168j 0.00204554+0.0140938j 0.00708964+0.0167095j -0.021663-0.0100634j 0.000644176-0.0038968j 0.00912427+0.00728942j 
-0.00698021+0.00237952j -0.00586253+0.00340772j 0.000771305+0.00108002j 0.0115601-0.00536931j 0.010064-0.00413764j 0.00064453-0.00196354j -0.000773904-0.00017111j 0.000506293+0.00348668j 0.00895646-0.00578907j 0.00482395-0.000142642j 0.00224892+0.00282193j -0.00847086+0.00522744j -0.00347479-0.00154885j 0.000468967+0.0013451j 0.00127903+0.0031146j -0.00451694+0.000695874j 0.00225134-0.00241051j -0.00842486+0.00434163j 0.00224557-0.00218155j -6.95547e-05+0.000349968j 0.00910599-0.00789621j -0.00921418+0.00386906j -0.00600153+0.00249402j 0.00433478+0.000168239j -0.00097749-0.000840705j -0.00657442-0.00595658j -0.00509388-0.000473477j -0.00687937-0.00123056j -0.00683617-0.000704035j 0.00986688-0.000174089j 0.000132572-0.00550086j 0.00026656-0.00231916j -0.0182712-0.000590206j -0.0109781-0.00198313j -0.00522092+0.0078614j -0.0390572-2.4616e-05j 0.014118+0.00826864j 0.002885-0.00341163j -0.0177617+0.00241208j 0.0164299+0.00324774j -0.0139021-0.00294156j 0.0161428+0.00151499j -0.0117417-0.00145192j 0.011362+0.00974838j -0.00836361-0.00740545j 0.00188268+0.00346087j -0.00445441-0.0025719j 0.00461132+0.00824341j -0.0190543-0.0151897j 0.0105994-0.00226823j 0.00788466+0.00721064j -0.00412317+0.00116283j 
0.000788986-0.000539771j -0.00318397+0.00103894j 0.00346255-0.000731101j 0.00448398-0.0024342j -0.000876009-0.000322101j -0.00626942+0.00256316j -0.00211325+0.000497661j -1.66515e-05+4.24664e-05j -0.00201066+0.000823515j 0.0021398-0.000149906j -0.00514022+0.00165311j 0.00735021-0.00408344j 0.00555145-0.00167649j -0.00874683+0.00325126j 0.0137122-0.00336442j -0.0123453+0.00683166j -0.00706873+0.00195809j 0.0104126+0.00025976j 0.0134345-0.00591093j -0.00277312+0.00350346j 0.0020818+0.00177591j -0.0123233+0.00315304j -0.00300535-0.00385123j 0.00259691-0.00261689j 0.0104183-0.00351141j -0.0159967+0.00933002j -0.000537957-0.00353919j 0.0262726-0.00646217j -0.0144888-0.000148161j 0.000750632+0.00402584j -0.00192545-0.000571126j -0.00938559+0.000358653j -0.00769587+0.00417686j -0.0139884-0.00155882j -0.0136448+0.00138033j 0.0162921-0.00118885j -0.00932694-0.00180485j 0.0208835+0.00432512j -0.00271255+0.000372192j 0.0136177+0.0025146j -0.00509405-0.00603676j -0.019393-0.0136735j -0.0114372-0.0124801j -0.0148291-0.00579109j -0.0112467+0.000219551j -0.00110448+0.0045617j 0.0123105+0.0108085j 0.00287066-0.00174075j -0.00504226-0.00145064j -0.0021531-0.00179971j -0.000858064+0.000649496j -0.00266604-0.00274439j 
0.000973782+0.000231386j 0.00672191-0.00262753j -0.00413071+0.00156814j 0.00341508-0.000928286j 0.00875603-0.00331774j -0.00493984-1.92427e-05j 0.0133446-0.00720778j 0.00543828-0.00234311j 0.00696478-0.00193273j -0.00650063-0.000275859j -0.00510437+0.00562232j -0.0155896+0.0065828j -0.0100097+0.00295922j 0.00691218-0.00259889j -0.00264833-0.000729304j -0.00985404-0.000752062j -0.00508254-0.000630697j -0.000958091-0.000758318j -0.00712715+0.00133154j 0.00417563-0.00270394j 0.0134037-0.00372604j -0.00567261+0.00214347j 0.00331755-0.00310706j 0.0113247-0.00586039j 0.00126349-0.000623137j 0.00168532+0.00166201j 0.022421+0.0168664j 0.0114189-0.0043248j -0.0118219+0.00287616j -0.0158254-1.74429e-05j -0.023712-0.00570786j 0.0149363+0.000105569j 0.0121072-0.00235082j -0.0110645+0.00482766j -0.0179196-0.0113342j 0.0121888+0.000854646j 0.0153362+0.00603235j 0.00212902+0.00257324j 0.0109871+0.00259242j -0.0268977-0.0079295j 0.0080571+0.00205804j -0.00826748-0.0012028j -0.0142144-0.000860915j -0.000460155+0.000185733j 0.00029746-0.00234958j -0.0129943-0.0121537j -0.015353-0.000215292j 0.0169521+0.0109383j -0.00500556-0.00230236j -0.00117467-0.00305519j -0.00125824-0.0038446j 0.00492835+0.00340234j 
-0.00672839+0.00261678j -0.00360912+0.0017499j 0.00322683-0.000155271j 0.00970436-0.00593841j 0.00309649-0.000858378j -0.00261439+0.00111272j -0.00283427+0.000346517j -0.00589026+0.00453578j 0.00266437-0.00246878j 0.00619849+0.000187881j -0.00746906+0.00648388j -0.00342584+0.0013602j -0.00448684+0.000431928j 0.00496302+0.0012667j 0.0138442-0.00300187j -0.0119296+0.00512371j 0.000233957-0.00313294j -0.00666269+0.00746267j 0.00807116-0.00214935j 0.00558805+0.00298514j -0.00873476-0.000493119j -9.90746e-05+0.00131034j 0.0129433-0.00131692j -0.0391725+0.00817331j -0.00999889+0.00131915j 0.00214528-0.00141952j 0.00258008+0.00117882j -0.00738312+0.00110922j -0.0149051-0.00252596j -0.024454+0.000568372j 0.0098082-0.00433613j 0.00920981+0.00261628j 0.000350512-0.00702616j -0.0120051-0.00486168j 0.00899796+0.00571912j 0.00821249+0.00225437j -0.00304628+0.000799739j 0.000823599+0.00153477j -0.0270087-0.0120988j -0.017629-0.00414065j 0.00805996+0.00419259j -0.00256591-0.00263366j -0.00195572-0.00087385j -0.010668-0.00194328j -0.00133771+0.00500771j 0.00869258+0.00351522j 0.00604187+0.00191528j 0.00123846+0.000668001j -0.0114794-0.0062889j 0.00287113-0.000452351j 0.00504703+0.00393187j -0.00122757+0.000690948j 
-0.00205707+0.000904998j -0.00229735+0.000835579j 0.00183112+0.000697639j 0.013551-0.00612281j 0.00367166-0.00145152j -0.00023232+0.000153818j -0.00391108+0.000935581j 0.00313532+0.00262252j -0.00704847+0.000268784j 0.00607697-0.00359232j 0.0111244-0.00288402j -0.000171295+0.00309414j 0.00619406-0.00346235j 0.010545-0.00344058j -0.014308+0.00469298j 0.0130012-0.00857913j 0.00606289-0.0042381j -0.0157793+0.00518509j 0.0169347-0.00674124j 0.012467+0.00260585j -0.00228685+0.000841199j 0.00395978+0.0026105j 0.00689645+0.0011773j 0.0100172+0.00126568j -0.0189542-0.00508272j 0.00616731+0.00448711j 0.00596883-5.31727e-06j 0.0271191-0.00431532j 0.00179363-0.00687415j 0.0171501+0.00106094j -0.0125718+0.000308506j 0.000549515-0.000696198j 0.0178441-0.000727768j -0.00870341-0.00753863j 0.0181465+0.00287282j 0.0134211+0.00459687j -0.00249567+0.00361011j -0.00216894-0.00581853j 0.00539469+0.00413442j 0.00469938+0.00511941j -0.0104415-0.00567439j -0.00410665+0.00118225j 0.0221659+0.00854871j -0.00336059-0.00631785j -0.00224773+0.000863514j 0.00535626+0.0013263j -0.00465922-0.00357482j 0.00177039+0.00147376j -0.0112277-0.00698006j 0.00153167-0.00162675j 0.00105268+0.00121318j -0.00129542-0.0013419j 
0.000772979+5.85118e-05j 0.00370944-0.00147615j -0.00249757+0.000439429j -0.00365111+0.00167706j -0.00227414+0.000421248j -0.00723428+0.00361415j 0.000824324-0.00150257j -2.09901e-05-0.00240379j 0.00174948-0.00346321j 0.0143469-0.00575587j -0.00415085+0.00194411j -0.0101679+0.00494897j 0.0094344-0.00394777j -0.0275849+0.0106643j -0.00118965+0.00447856j 0.00197837+0.000200242j 0.00643001-0.000908648j -0.00029657-0.00563379j -0.00720774+0.00215695j 0.0138568-0.00322584j 0.00175224-0.000910913j -0.0211761-0.00439932j 0.0211325+0.000381936j 0.0120484+0.00350005j -0.0203624-0.00190818j -0.00344437-0.00367299j -0.013045-0.0118487j -0.000119626-0.00499481j 0.0388979+0.00673239j -0.00115507-0.00175334j 0.0101845+0.000479648j -0.00887222-0.000688192j 0.0020198+0.00219256j -0.000556214-0.000772846j 0.00416083-0.00142882j -0.000370891-0.000174787j 0.0176101+0.00977388j -0.022769-0.00528052j -0.00223649-0.00317879j 0.0109559+0.00179983j 0.00789256-0.00176459j -0.0124111-0.00690362j -0.00681193+0.000161395j 0.0129345+0.00511091j -0.00346881-0.00194642j -0.00104718-9.92326e-05j 0.00153383+0.00142264j 0.000548162+0.000100903j 0.0011315+0.000784435j -0.000695562-0.000460376j -0.000868446-0.00209187j 0.00257793+0.00158716j 
0.0084123-0.0029951j 0.00304496-0.00191257j -0.00268406+0.00181291j 0.00342197+0.000616861j 0.0105958-0.00633344j -0.0101357+0.00170732j 0.00979968-0.00681752j 0.00505056-0.00221608j 0.00773019-0.000504102j -0.00363726-0.00370177j 0.000979175+0.00164225j -0.00106995-0.0034559j -0.0303966+0.00602963j 0.00236821-0.00253372j 0.00324802-0.00268652j 0.0127182-0.00307216j 0.0075266-0.00245709j 0.00868768-0.00913846j 0.00818689+0.00193367j 0.00726405+0.00191249j -0.0214298+0.00297614j -0.0213999+0.00677465j -0.023486+0.000238616j -0.0178101+0.00061998j -0.00515502-0.00226249j -0.0157387-0.0158733j -0.0202264-0.0262433j -0.00459085+0.00116651j -0.000652916+0.00261255j 0.00973813+0.00200091j 0.00822687-0.000426511j -0.0111815-0.00486411j 0.000987437+0.00298801j 0.00515157-0.000321815j 0.0124302+0.00216624j -0.00703003+0.000675599j -0.0106691+0.00204436j -0.00214592+0.00174744j -0.0127091-0.00425359j -0.00566394-0.0034904j -0.0146737-0.00603168j 0.00015297+0.00721273j -0.00265834+0.000537711j 0.00275382-0.000584622j -0.00314653-0.00239007j -0.0148888-0.0069108j -0.00661487+0.00114941j 0.0105971+0.00438062j -0.00115064-0.000159345j -0.00257722-0.00278927j -0.00603448-0.00476463j 0.000567672-0.0020173j 
0.00385322-0.0016308j -0.000272635-0.00017878j 0.0017057-0.000965529j -0.00514867+0.0022373j -0.00595224+0.000788846j -0.00832315+0.00671126j -0.00217782-0.000175444j -0.00536323-0.000460341j -0.00939847+0.00257987j 0.0207128-0.0112363j -0.0188995+0.00985485j -0.00140332-0.0035748j -0.00524173+0.000151387j 0.00476371-0.00236848j -0.0200407+0.00361212j 0.000206926-0.000832685j -0.0167305-0.000175209j -0.0247695+0.00108935j -0.0177161-0.00216653j 0.00329349+0.00145172j -0.00496487+1.5165e-06j 0.00868272-0.00161623j 0.00163557+0.00353182j 0.0163015+0.00131428j 0.0275246+0.00567683j -0.00732807+0.00961163j 0.011214-0.00514598j 0.0118408+0.00159539j -0.0118578-0.00548165j 0.00303907-0.00454515j 0.0135978+0.00301579j 0.00995568+6.67776e-06j 0.00206577+0.00323149j 0.00669522+0.00470019j 0.0108809+0.000894423j 0.00627939+0.0027114j 0.0170796+0.00685935j -0.0121746-0.00262716j -0.00818037-0.00288899j -0.0022268-0.0018527j -0.00376977-0.00220662j -0.00736532-0.00238149j 0.000680004+0.000590925j 0.00301767+0.000441661j 0.000420641+0.000990325j -0.00188905+0.000438643j 0.00508368+0.0027236j 0.000364847-0.000352935j 0.00382513+0.00310147j -0.00211369-0.000653437j -0.00220732-0.00113746j -0.000593163-0.0013295j 
