-0.115354-0.000923617j -0.311328+0.11448j -0.0463572-0.0003975j -0.0142035-0.00392289j 0.0134615-0.00435712j 0.0105111+0.0167814j -0.0116379-0.00551255j -0.00630401+0.0126231j -0.0119668+0.00290621j 0.0112669+0.00175946j 0.0245929+0.00244135j 0.00352379+0.000885093j 0.0066509-0.000577816j 0.00574092+0.00190885j 0.0146181-0.00146274j -0.00386262-0.0052235j 0.004137+0.0101083j 0.0022792-0.00355408j 0.00490451+0.00209414j 0.00194408+5.56388e-05j 0.0040021-0.000732061j 0.000516428+0.00143067j -0.00358835+0.00269396j 0.00696933+0.0014371j -0.00746181-0.000568906j -0.00193836+0.00120422j -0.0100153-0.00254073j 0.0074869+0.00104166j 0.00552722-0.0064714j 0.000302266+2.56185e-05j 0.00157947+0.00612331j -0.00502754-0.00253049j 0.00843128+0.00223385j 0.00618608-0.00209424j -0.0096247-0.00169878j -0.00216665-0.00213483j 0.0153743+0.00512512j -0.00268075+0.00190621j -0.00590816+0.000101373j 0.00674329+0.00162239j 
-0.00132953-0.13085j -0.106461-0.36587j -0.000233496-0.0502261j 0.00299805-0.0135898j 0.00858174+0.0149086j -0.0227261+0.0054108j 0.00414982-0.00884361j -0.00965591-0.00540282j -0.00183764-0.0102187j -0.00199516+0.0101943j -0.00363919+0.0246176j -0.000543822+0.00195594j -0.000786746+0.00505351j -0.00180578+0.00465762j 0.0043181+0.0114144j 0.00441923-0.00443797j -0.0107559+0.00582443j 0.00291083-0.00148071j 0.00115671+0.0031689j 0.00494098-0.000899673j -0.000497254+0.003896j 0.000203246+0.00289758j 0.000679502-0.00147901j 0.00109984+0.0032864j 0.00125908-0.00513315j 0.000362115-0.000385556j -0.00167061-0.0112986j 0.00306168+0.00440338j 0.00577364-0.00233286j -0.00242471+0.00198889j -0.00350707-0.00170004j -0.000356796-0.00528378j -0.000774437+0.00761885j -0.00434996+0.00480049j 0.00355416-0.00602803j 0.00138736-0.00238426j -0.00580567+0.0123384j 0.00490705-0.000872012j -0.00542844-0.00306312j -0.00523393+0.00601429j 
0.0340704+0.0210535j 0.0520167+0.130205j 0.0151167+0.000299697j 0.0071859-0.00728728j -0.0158371+0.00995841j 0.0219118-0.00267828j 0.00313013-0.0164743j -0.0149088-0.00641808j -0.00430557-0.00583853j -0.000203871-0.00375431j -0.00174852-0.0053715j -0.00111185+0.0072019j 0.00220967+0.00468925j -0.00403467+0.00629372j -0.00795572+0.0160232j -0.00235743-0.0071354j 0.0103756-0.0041532j 0.0165632+0.00777166j -0.00211201+0.010346j 0.000838288+0.012618j 0.00182548+0.00510256j -0.000377159-0.00845401j -0.00721044+0.00809324j 0.00212232+0.00100274j -0.00505098-0.00139972j -0.000347948-0.00486488j -0.000259168+0.00632748j 0.00435109+0.00557693j 0.0119454+0.00258139j 0.00502609-0.00458533j 7.47334e-05+0.00289085j -0.00231213-0.00512786j -0.00168242+0.00424453j 0.00777476-0.00510072j -0.00119865+0.00635137j 0.00137335+0.00495842j 0.00825688-0.00179058j -0.00391066+0.0111164j -0.00327769-0.0104877j -0.000283686-0.00390331j 
-0.0157193-0.0199742j -0.0727998-0.0568424j -0.00435126-0.0113227j 0.000821181-0.00313727j -0.00105229+0.012396j 0.00720822-0.0251457j -0.00349663-0.00423015j 0.000807463-0.0029863j -0.000321748+0.00104105j -0.000816186-0.0047627j 0.00103944-0.00978202j 0.00079785+0.00280699j -0.00345216-0.00381463j 7.51203e-05-0.00214822j 0.00270955-0.0053767j 0.00248133+0.00110295j -0.00670668+0.0177852j -0.00304552-0.00124421j -4.73154e-05-0.00611379j -0.00164626-0.00534199j -0.00278551-0.00762689j -0.000132247+0.00455369j 0.00234424-0.0039456j -0.00607616+0.0089072j -0.000674083+0.00670629j 0.0020462+0.00467896j 0.00613511-0.00933223j -0.00566916-0.00238315j -0.00782904-0.002191j 0.0095271-0.00997533j -0.00361936-0.00370899j -0.00405939+0.0135616j -0.00559564-0.0034604j 0.00620201-0.00297875j 0.00552859-0.024222j 0.00572663+0.0130338j 0.00745135+0.00579276j 0.00296992-0.0110932j 0.00175053+0.00851166j -0.000241172+0.00672185j 
0.0405577+0.00827699j 0.227855+0.0889885j 0.00500642-0.00159497j -0.0133333-0.00285611j 0.0102492+0.0100676j -0.00266559-0.0161077j -0.0205767+0.000686385j -0.00868383+0.0164284j -0.00307192+0.00378694j -0.0109199+0.00381123j -0.015143+0.000221053j 0.00699385+0.00102498j 0.000418684+0.00261038j 0.00433832+0.00562835j 0.00927524+0.00818988j -0.00487374+0.0050935j 0.0014054-0.013632j 0.00160175-0.0143691j 0.00413201+0.00119754j 0.00663904-0.0023786j 0.00330785+0.000101852j -0.00469204-0.00538461j 0.00947545-0.00307021j -0.00379184+0.00478461j 0.00560718-0.000514644j -3.05578e-05-0.00208167j 0.00625623+0.00206129j -0.00368065-0.00074813j -0.00176798-0.00127445j -0.00375172-0.00383601j -0.00631613-0.00157519j 0.00164017+0.00269394j -0.00194089+0.00601825j -0.00365182+0.00479157j 0.00434495+0.0029584j 0.00722694-0.00144681j -0.00806121-0.00904743j 0.0078723-0.00319745j -0.00283475+0.00411294j -0.00308408+0.00326641j 
0.0159557+0.0168962j 0.0926335+0.0263793j 0.00442128+0.00746374j -0.00114526-0.00486429j 0.000369479+0.00541316j -0.007602-0.0049728j -0.00541114-0.00593141j -0.00594965+0.000734129j -0.000133354+0.00274343j -0.00412093-0.0116917j -0.00535856-0.0181279j 0.0045137+0.00196358j -0.00243666-0.00618176j 0.000729117+0.00150053j 0.00919501+0.00405442j 0.00163839+0.00118558j -0.0157239+0.00666756j 0.00462713-0.0117971j 0.00300381+0.00485319j 0.00769139+0.00879372j 0.000595911-0.000555292j -0.000171129+0.00386409j 0.0117378+4.73271e-05j -0.0051053+0.00191698j 0.00364486-0.00066863j 0.00431559+0.005112j 0.0124549-0.00768723j -0.00761386+0.00517436j 0.010859+0.00235974j -0.00458942+0.00149229j 0.00391131-0.00674484j 0.00595498-0.00366465j -0.015961-0.00810734j -0.00228577+0.000950078j -0.0179861-0.00735829j -0.00875174+0.00606731j 0.00458125+0.0121751j 0.000771576+0.0100903j -0.00524394-0.0096256j -0.00247683-0.00616565j 
-0.0175762-0.00866278j -0.102116-0.0334247j -0.00287112-0.00521331j -0.000315539-0.00249875j -0.00639501-0.00332598j 0.0172992+0.0206706j 0.000491121-0.00494623j -0.00251098+0.00274143j -0.00143566-0.00219391j -0.00806378+0.000614808j 0.00560238+0.00572519j -0.00207062+0.000296903j 0.00194197-0.00211419j 0.00328999-0.000988969j 0.00430799+0.00450254j 0.00141305+0.0131382j -0.0128588-0.0195657j -0.0119589-0.00065375j 0.00210341-0.00258068j -0.00136477-0.00534833j 0.0084193-0.00281385j -0.00514549-0.00419997j 0.00086082-0.0116176j -0.013803+0.00234654j -0.00489241-0.00558195j -0.00487823-0.00454816j 0.0132616+0.00131922j -0.00565578+0.00253104j -0.00108155+0.00216536j 0.00781425+0.00667461j -0.00659408-0.000835098j -0.00318795-0.00238651j -0.00838763+0.00431912j 0.00949687+0.00828784j -0.00118782+0.00398209j -0.00251524+0.00840066j 0.00846806+0.00758236j 0.00139421-0.00499518j -0.000833572+0.00246715j -0.000323573+0.00391137j 
0.0146673-0.0200807j 0.16792-0.0352571j -0.000598158-0.0125663j 0.00684295-0.00980995j -0.00548133+0.0120133j -0.00380794-0.0177795j 0.00968066-0.015184j -0.00423867-0.0162106j 0.00264609-0.002094j 0.0159996-0.00120396j 0.013694+7.35474e-07j -0.00987542+0.00126533j 0.00328799-0.000838735j 0.000409957-0.00252252j -0.00565718+0.000123461j 0.00608704+0.00659166j -0.00747384-0.0130303j -0.0112427+0.0120581j -0.00103977-0.00195414j -0.0036977-0.00445921j -0.0021634+0.00373775j -0.00375476-0.00458716j -0.00699249-0.0061881j 0.00806829+0.00311805j -0.00270151-0.00277507j -0.0017834-0.00477318j -0.00187586-0.0018303j 0.00525522+0.00528492j 0.00267908-0.00289348j -0.00688129-0.00141684j -0.00595653+0.0044423j 0.00278546-0.00160064j 0.000888951+0.0102571j 0.00308025-0.0006583j -0.0102153+0.00548715j 0.00675651-0.00203871j 0.00423629-0.00392793j -0.000971052-0.000581435j -0.00130083-0.00022695j 0.000126855+0.00143021j 
0.0259345-0.0386615j 0.0914467-0.0960981j 0.00141397-0.0146652j -0.00463934-0.00244916j 0.00235409+0.00504883j -0.000364554-0.00510509j -0.00485954+0.00270186j -0.000749223+0.0073173j -0.00341319-0.00258073j -0.000748037+0.0096914j -0.00222405+0.00927433j 0.00498098+0.00366264j 0.00147629+0.00229128j -0.00148654+0.00138265j 0.00544431+0.00742638j 0.00581111-0.00281569j -0.0179309-0.0047348j 0.011829+0.00229329j -0.00597805-0.000440457j -0.00830443+0.00193869j -0.00025221-0.0022424j -0.00281155+0.00524003j -0.00581744+0.00893679j 0.00273714-0.00365715j -0.000561928+0.00596496j 0.00137287+0.00400061j 0.00425662-0.00400901j -0.00557603-0.00640511j -0.00967778+0.00795227j 0.00586329+0.00785271j 0.00687924+0.0082086j 0.00312646-0.000977934j 0.00276826-0.000935219j 0.0131868-0.0078413j -0.00115352+0.00797325j -0.00481805+0.000402007j 0.00305937+0.00109083j -0.0131147-0.00763919j 0.0128633+0.00235796j 0.00952929+0.00422494j 
-0.00840249-0.00717208j -0.087553+0.0284227j -0.00152009-0.00400392j 0.00183578+0.00148778j 0.00396508+0.000352374j -0.00793003-0.0104628j -0.00368717+0.00109483j -0.000417814+0.0015441j -0.000226079+0.00196944j 0.0029741-0.00959049j -0.000717853-0.00780276j 0.00150809+0.00436621j 0.00180664-0.00479811j 0.00362449-0.00125636j -0.00370016+0.000835305j -0.00427469+0.00051249j 0.0123087+0.0167567j 0.00204605+0.000752574j 0.000667076-0.000993583j -0.00328703+0.00145035j 0.00449553-0.00765082j -0.00566033+0.00710652j -0.000813949-0.00478j -0.0133894+0.00803931j -0.000971238-0.000355718j -0.0146723+0.00407114j 0.00883969-0.0119175j -0.00334575+0.00386818j -0.00305862+0.00785242j -0.000646667-0.000474472j -0.00269342+0.00183876j 0.00169444-0.000942549j 0.00323274+0.0105712j -0.00424943-0.000364001j 0.00696942+0.011659j 0.00757319-0.00662958j -0.00655089-0.0132883j -0.00232834-0.00294871j 0.00513817+0.0011937j 0.00206544+0.00111316j 
-0.0681696+0.00423733j -0.220791+0.0744405j -0.024542-0.0027039j -0.00658558-0.0116259j 0.0030409+0.00454926j -0.00686628+0.00628747j -0.00462866-0.0172959j -0.0143985-0.00882494j -0.0027931-0.00158975j -0.00639201-0.0175713j 0.00730488-0.0163443j 2.77239e-05+0.00609547j -0.00557117-0.00172321j -0.00511062+0.000179719j -0.00121602+0.00296138j 0.00142924+0.0040388j 0.000201949-0.00749181j -0.000397009-0.00230166j -0.00773244-0.00393311j -0.0069297-0.00354688j -0.00610558+0.00587678j 0.0133029-0.00394331j 0.00669258-0.000116462j -0.00304543-0.00470882j 0.0113674+0.00378497j 0.0104992+0.00109542j -0.0133061+0.00609943j -0.00856992-0.00791231j -0.0137489+0.00854563j 0.00519189+0.0022368j -0.00313152-0.00739785j 0.00297815+0.00556473j -0.00133379-0.00255658j -0.009824+0.00484116j 0.00208284+0.00248621j 0.00253122+0.000399498j -0.0014418-0.00844048j -0.00404301-0.00608587j 0.00988327+0.00326024j 0.00340434+0.00231909j 
