0.0038704+0.00694808j -0.00938465+0.0143826j 0.00306728-0.00857082j 0.00118352-0.008303j 0.000446209-0.0127551j -0.00016484-0.00510573j -0.00290301+0.00199868j 0.00847401-0.00556172j 0.0061314-0.00334866j -0.000651773+0.00269869j 5.4305e-05-0.0258511j 0.000273391-0.00251648j -0.00290061-0.00255738j 0.000679618+0.0140343j -0.000577554+0.007984j -0.00745725-0.011193j 0.00394466+0.00996899j 0.0044712-0.00680184j 0.00523119-0.00054153j 0.000302275-0.00619844j -0.013896-0.00992763j 0.00258777-0.0171585j 
0.0051518-4.87929e-05j 0.00214616-0.0013898j -0.000670353+0.000396961j -0.00201882+0.00082304j -0.00702229-0.00103287j -0.00262914+0.000508498j 0.00372436+0.000531121j 0.00767094+0.00584588j 0.0057076+0.00177172j 0.00590511+0.00123839j -0.00922137+0.00464921j 0.00719521+0.00132034j -0.000130803+0.000840098j -0.0125722-0.0057151j -0.00310968-0.00207266j -0.0248265+0.000181052j -0.0125188-0.00066476j -0.0112396+0.00237391j -0.000940062+0.0022049j 0.0295809-0.00264268j -0.00413767+0.000690481j 0.0127634+0.000719852j 
0.00110934-0.00515008j 0.00867455+0.0109662j -0.00457851+0.00309975j 0.00433996-0.00294116j 0.00135979+0.00462496j -0.000970717-0.00664905j 0.00378939+0.000742969j -0.00754041+0.00062916j -0.00548079-0.00738496j 0.00252235+0.00608107j -0.000132373-0.0159625j 0.00177847-0.00168861j 0.00465646-0.00694541j -0.00069093+0.00700343j 0.00489252+0.00501882j 0.0010544-0.00953802j -0.0069011+0.0137236j -0.00385571+0.00287521j -0.00345707+0.00811128j 0.00433463-0.00590644j 0.0136034-0.00684788j -0.00279664+0.00528707j 
-0.0101622-0.000146214j 0.00186446-0.0125192j 0.00680893+0.00363314j 0.00128198-0.00100072j 0.00930684+0.000954102j -0.000514355-0.00014365j -0.00191643-0.00657603j -0.00841855+0.00334281j -0.00150723+0.00733449j 0.00423487-0.000549062j -0.0077123+0.00164933j 0.0058765-0.000433368j -0.00791945-0.00424595j 0.0114856+0.000570228j 0.00360879+0.000713804j 0.000362908-0.00452125j 0.00449829+0.00109997j 0.00794774+0.00741345j 0.00320333+0.00735005j 0.00312707-0.00509172j -0.00464475-0.016492j 0.0167349-0.00271794j 
-0.0011723+0.00322295j -0.00129902-0.0029452j 0.0121884+0.00209904j -0.0123869-0.00131915j 0.00233845-0.00554896j 0.00171271+0.000763065j -0.00361629+0.00537419j 0.0131323+0.00828391j -0.0204514+0.00541758j 0.00697975-0.00539305j -0.000767509-0.000643899j -0.00441166-0.0019051j -0.00492465+0.00171618j -0.012143+0.00219841j -0.00164586-0.00975153j -0.00501677+7.31254e-05j 0.00794546+0.0095473j -0.00476328+0.00160171j 0.00603508-3.13373e-06j -0.00804369-0.00208259j 0.0041272-0.00711724j -0.00182288+0.00677654j 
-0.000636682-0.000931424j 0.000635007-0.00486663j 0.00379551+0.00187723j -0.00389115-0.00063209j -0.00158734+0.00747554j 0.00165106+0.00303045j 0.00146886-0.00622095j 0.00891169-0.0197195j -0.0088737+0.00659644j -0.00126989+0.00529086j -0.00219988-0.00375066j -0.000836946+0.0134234j -0.000975739-0.00668585j 7.44329e-06+0.0187074j -0.00312309+0.0103712j -0.00132945+0.00386839j 0.00177502-0.00807445j -0.0032211+0.00490681j -0.00291425-0.0046947j 0.00205559+0.00905833j 0.0018462-0.000956769j 0.00263247+0.00622728j 
0.0029196-0.00136075j -0.011625+0.00140338j 0.00954967+0.00891702j -0.00985196-0.00838708j 0.0112271+0.0014051j 0.00504728+0.00162764j -0.0143862+7.97338e-05j -0.000598636-0.00340216j -0.0084019-0.0115034j 0.00737979+0.00813455j 0.00252063-0.00196083j 0.00755768+0.00324656j -0.0115172-0.00159559j 0.00435748-0.00567009j 0.0116673-0.000432769j -0.00210002+0.00116286j -0.00685709-0.00620547j -0.000499033-0.00467664j -0.000204458-0.000625726j 0.00339962-0.00346913j 0.00019528+0.0120049j -0.00269891-0.00354993j 
-0.00573593+0.00816841j -0.00251445-0.00335782j 0.00844612-0.00699654j -0.00390416-0.00263774j 0.00126131-0.000750841j 0.000394077+0.000155621j -0.00322075-0.00601394j 0.00190294-0.0122205j -0.0146606+0.00691537j 0.00877795+0.00168483j -0.00335838+0.00239691j 0.00516718+0.00624837j -0.00220743+0.000246885j -0.00310823+0.0102503j 0.00734687+0.00964379j -0.00120199+0.00158238j -0.0119908-0.00522072j -0.00378818-0.0010175j -0.00377256-0.00441058j 0.000748433+0.00606655j 0.00434739+0.00149488j -0.00989449-0.00692606j 
-0.0112199-0.00515902j 0.00793555+0.00615553j 0.00724938-0.00285964j -0.000289425+0.00506317j -0.000575841-0.00687542j 0.00400954+0.000670944j 0.00844932+0.00581715j -0.00900981-0.00591191j -0.00644881-0.00451084j 0.00534755-0.000279153j -0.00857472-0.00469192j 0.00515725-0.00181828j -0.000746043+0.00685329j -0.00204876-0.0026274j -0.00754695+0.000589753j 0.00742445+0.00131795j -0.00575315-0.00384129j -0.00385987-0.000890418j -0.00606958-0.00136847j 0.000456581-0.000265449j 0.0127652+0.000578928j 0.00809342-0.0056075j 
0.00238807-0.00316175j -0.000878549+0.00855948j 0.00291632-0.00891116j -0.00105995+0.00516128j -0.00629096-0.00681034j 0.00275297-0.00233455j 0.000562023+0.00476326j 0.00635237-0.00448894j 0.00917467+0.00857453j 0.0175531+0.0019859j 0.000899039+0.00015586j 0.0198682-0.00100627j -0.00395272+0.00463383j -0.00566707+0.00172588j 0.00471196-0.00196013j 0.00582594+0.00634404j 0.00439264-0.00429074j 0.00222025-0.00219607j -0.000323696-0.00496043j -0.00682149+0.00394231j 0.00131035+0.00358311j 0.000707083-9.41003e-05j 
-0.00589832+0.00241232j 0.00782853-0.00797689j -0.00603867+0.00653898j 0.0130187-0.012049j 0.00135658+0.00233788j -0.00878002+0.00741821j 0.00303941-0.00989943j 0.00769532+0.00710681j 0.0080326-0.00510385j 0.017013+0.00384185j 0.00126147+0.00132163j 0.0105113-0.000553146j 0.000532198-0.0100678j -0.00893167+0.00189237j 0.0108403-0.000751138j 0.00166359+0.000919118j 0.00398259+0.00301965j 0.00151902-0.00391188j 0.00208024-0.00173681j -0.00601505+0.00271833j 0.0025098-0.00197101j -0.00393704+0.00353747j 
