-0.0597385-1.38778e-17j 0.134815+0.00420903j 0.075392+0.0243781j -0.0253921-0.0629712j 0.0930472-0.0460981j 0.045137-0.0509376j -0.00196856+0.150541j 0.0737797-0.0548392j 0.142246-0.0299834j 0.0355852+0.0531331j -0.00257119-0.0622621j 0.00941824+0.055278j -0.035261-0.0253324j 0.00620498-0.012342j -0.00326086-0.0863846j 0.0217693+0.0481596j 0.00505514-0.0374817j 0.0233524+0.0333826j -0.0014707+0.0436742j 0.00215373+0.0141803j 0.00767579+0.0165309j 0.002921+0.02194j 0.027921-0.0660921j 0.0567425-0.0109323j -0.0108886-0.0253909j 0.00904547+0.0251961j 0.00331058+0.0167422j -0.0715077+0.00700939j -0.0207449+0.0450622j 0.00719268+0.0297271j 0.0945622-0.0466724j 0.039558+0.0417177j 0.00947602-0.131852j 0.0427572+0.0173247j 0.00730299+0.0428419j -0.00303973+0.0212124j -0.0526741-0.102353j -0.0406683-0.0930827j 0.0165251+0.0165294j 0.0679049-0.144221j 
0.134815-0.00420903j 0.997892-8.23994e-18j 0.00951433+0.0021418j -0.0119209+0.0473472j -0.0704875-0.0161479j 0.0649957-0.00295478j -0.00165333+0.0144012j -0.0493346+0.0187665j -0.0220058+0.019687j 0.0122375-0.0422442j -0.0346521-0.0299838j -0.0117629-0.0092795j -0.0127181-0.0224838j -0.00835985-0.0105148j -0.0416738-0.000234902j -0.00651536+0.00752832j 0.0410346-0.00628079j -0.00168015-0.017854j -0.0164252-0.0140731j -0.0112352-0.00826927j -0.0112357-0.0079386j 0.00293213+0.000490418j 0.00687773+0.0159289j -0.00488719-0.0254391j 0.0180619+0.00509391j 0.0129263-0.0122889j 0.0187797+0.0167336j -0.0158697-0.0181144j 0.00695852-0.0224252j -0.0186621-0.00936587j -0.0241182+0.00918099j 0.0176282+0.00180935j -0.025011+0.00209991j 0.00593313-0.0202576j -0.0234209+0.00665229j -0.0041087-0.0069771j -0.0164759-0.0219965j 0.00280142+0.0168441j 0.0049191+0.00749659j -0.012112+0.00560162j 
0.075392-0.0243781j 0.00951433-0.0021418j -0.0788958+1.11022e-16j 0.0326539+0.0687883j -0.0998217+0.0206248j -0.0267143+0.065226j 0.0254112-0.165981j -0.028558+0.0656648j -0.138205+0.0936924j -0.0405798-0.0534745j 0.0119062+0.0776385j 0.0675605-0.103755j 0.0596931+0.0208141j -0.0378074+0.000291338j -0.0273806+0.120742j -0.0413018-0.0527022j -0.00156202+0.0424538j 0.0258386-0.0939516j 0.0482094-0.0217104j -0.0367864-0.00481634j -0.0268564-0.0261276j -0.00179046+0.011189j 0.00578308+0.0978948j -0.0526739+0.0498543j -0.0262237+0.0511131j 0.0503345+0.00184426j 0.0140982+0.0495204j 0.1484-0.0690262j 0.0160321-0.0850349j -0.00778548-0.0278222j -0.155833+0.00775214j -0.0285903-0.0484241j -0.0238083+0.216078j -0.0800637-0.0359102j -0.0111387-0.026995j -0.0064369-0.0362976j 0.0536948+0.141345j 0.0108372+0.23409j 0.0657119+0.0702153j -0.158327+0.294229j 
-0.0292108+0.0612932j -0.00899116-0.0479898j 0.0368162-0.0666534j 0.125374+0.00771296j -0.138472-0.30684j -0.0811495+0.12084j 0.269653-0.0905073j -0.0435311-0.0906082j 0.0387659-0.120273j -0.0108417+0.0435473j 0.0395017+0.0888097j 0.0235521-0.0337037j -0.00114729+0.0376008j -0.0829903+0.0272138j -0.170098-0.10293j -0.0116505+0.0209446j -0.0224576+0.00727207j -0.1145-0.0705712j 0.0782205-0.0051634j -0.0598432-0.0701338j -0.0187933-0.0114949j 0.10421+0.0522033j 0.0109898+0.0161423j 0.00343338+0.0474026j 0.04869+0.0567078j 0.015984-0.0215283j -0.0653161-0.00355687j -0.0338283+0.0812521j -0.0271266+0.104369j 0.0201114+0.0559267j 0.0845913-0.0364444j 0.0502588-0.0536233j -0.0547117-0.0374411j -0.0935407-0.0211539j -0.0265716+0.0136024j 0.0676254-0.0403752j 0.0034881+0.105153j -0.201135-0.042426j 0.203697-0.196111j -0.0447985-0.0951289j 
0.0930472+0.0460981j -0.0704875+0.0161479j -0.0998217-0.0206248j -0.157052+0.297758j -0.109255-6.31439e-16j -0.192081-0.153946j -0.0477016-0.0348613j -0.132655-0.114392j -0.139682-0.128956j 0.0399103+0.204601j -0.0922775-0.19712j 0.00205876+0.0517493j 0.0234347-0.0571986j -0.0384013-0.142666j 0.0232664-0.102289j 0.0420488+0.070897j -0.00446262-0.0795775j 0.0575558-0.0452647j 0.0888863+0.0642126j -0.04167+0.0402287j 0.0868109-0.116795j 0.0339837-0.00438211j 0.0682314-0.0247225j -0.00919909-0.0356406j 0.0107527+0.0028573j -0.0323145+0.00899227j 0.0430853-0.0501856j 0.0244527-0.0638755j 0.02539+0.0370858j -0.0444759+0.00188653j -0.0769609-0.031464j 0.0166469+0.0334024j -0.0460463-0.126815j 0.00604415+0.00424352j 0.035814+0.000336498j -9.4027e-05-0.0579484j -0.041267-0.129046j 0.0269254-0.0323779j -0.0845454+0.0522919j -0.117921+0.0356192j 
0.045137+0.0509376j 0.0649957+0.00295478j -0.0267143-0.065226j -0.0735764-0.125594j -0.192081+0.153946j 0.415698-2.91434e-16j 0.0284094-0.296569j 0.205845-0.152913j -0.081009-0.162811j -0.0237005+0.0584735j 0.0420772-0.0685697j -0.0468966+0.0959803j 0.0385364+0.0226314j -0.00534068-0.0457235j 0.0302668-0.0388588j 0.0123633-0.00884437j 0.0149598+0.00693989j -0.0219841+0.0111805j 0.0344941+0.0752665j -0.00967943+0.0417908j 0.0547373-0.0109647j 0.0257537-0.0308974j 0.00489897-0.0167326j -0.0170652-0.0318729j 0.0359719+0.01043j 0.00432255-0.0113558j 0.0205047+0.00183874j 0.0107895+0.0297659j -0.0157991+0.035475j 0.0736874+0.0108915j 0.0360408+0.00111425j -0.0833341+0.000745143j 0.000971612-0.0322375j -0.00228621-0.010206j -0.0526798-0.000988329j -0.0347419+0.0148875j 0.00571136+0.0267875j 0.00989008-0.0228199j -0.0289831-0.0379798j -0.00993931-0.0106247j 
-0.00196856-0.150541j -0.00165333-0.0144012j 0.0254112+0.165981j 0.263586+0.106894j -0.0477016+0.0348613j 0.0284094+0.296569j 0.0118165-3.78864e-15j 0.164438+0.220044j -0.087406+0.0600265j 0.0214207+0.236041j -0.00594069+0.0238585j 0.0160557+0.238297j -0.0132512-0.0422589j -0.0815983-0.14749j -0.0720613-0.0383983j 0.0043311+0.0562893j -0.00486985-0.0502175j 0.0748501-0.0798893j -0.0216161+0.0734212j 0.0133372+0.0270912j -0.0753404-0.0945003j 0.00164567+0.0146029j 0.0662008+0.0129984j -0.0250678-0.0355855j -0.0249631-0.0443261j 0.0245107+0.0224265j -0.00390879-0.0187002j 0.00210598-0.0237639j -0.00569015+0.00285863j 0.00598058+0.0723093j 0.0673673-0.0205179j -0.00229915+0.00331888j -0.000198113-0.0141512j 0.000125399-0.00384282j -0.00163208-0.0108088j 0.00144257+0.00482512j -0.00687784-0.0211511j -0.0202388+0.00839904j 0.0433217+0.0868206j -0.0112791+0.0310529j 
-0.0912734+0.010952j 0.0487164-0.0203172j 0.0658988+0.0280138j -0.024801-0.0974151j 0.0175889-0.17428j -0.254592+0.0306194j 0.0320223+0.272826j -0.062459+0.059199j 0.231045+0.0787471j 0.0234054-0.00766177j 0.0413943-0.0426372j 0.0868864-0.210699j 0.0557639-0.0887436j 0.0159141+0.0350193j 0.02629+0.121594j 0.0928012-0.013677j 0.0595485+0.00259731j -0.0192773+0.129625j -0.0402324-0.0394653j -0.135137+0.0641364j -0.0102118+0.0424208j 0.0521135+0.0162714j 0.0929516-0.0970255j 0.055306+0.00156455j 0.0141239+0.0126949j -0.0795697-0.00198976j 0.0487537+0.0691293j 0.0825241-0.0354165j 0.0929631-0.0457198j -0.065708+0.0351085j -0.0505731+0.00801055j -0.0787353+0.026261j 0.00262965-0.0327376j 0.0270318+0.0989545j 0.0367701+0.0154675j -0.0994963+0.0076649j 0.054341-0.012417j -0.0347117+0.225322j -0.181149-0.13064j -0.0108629+0.0466173j 
0.142246+0.0299834j -0.0220058-0.019687j -0.138205-0.0936924j 0.0313075+0.122426j -0.139682+0.128956j -0.081009+0.162811j -0.087406-0.0600265j -0.11352+0.216093j -0.0797374-2.15106e-15j -0.000897334-0.112632j -0.0703776-0.0184547j -0.166385+0.0202617j 0.0334432+0.114724j 0.0952869+0.0864834j 0.0905566+0.0310249j 0.0540616+0.0101683j 0.0283448+0.0449028j -0.101874+0.089531j -0.0812479-0.0030059j 0.0570188-0.119587j 0.0403814-0.0431535j 0.0156032-0.0749393j -0.0689689-0.00356203j -0.0357612-0.0257592j 0.0542053+0.0204738j -0.0601328+0.0280019j 0.0275828-0.0565403j -0.0785457+0.131852j 0.0688263+0.00222184j 0.00254015+0.0147228j -0.00720912+0.0843345j 0.00873078-0.0113869j -0.0405626-0.101507j 0.0147967-0.0643051j 0.00756177-0.0192991j 0.0481894-0.00618952j 0.00329084-0.0104782j 0.0769598-0.189495j -0.131788-0.233341j 0.0994741-0.21446j 
0.040668-0.0493512j 0.00799745+0.0432478j -0.0456719+0.0491968j -0.00374064-0.0447204j 0.0599593-0.199647j -0.0177983-0.0605317j 0.0446714-0.232763j -0.0231918+0.00828587j -0.0120377+0.11199j -0.318073-0.0316281j 0.248198+0.177313j -0.109035-0.0288038j 0.152638-0.0669474j -0.0914931-0.0523897j 0.0171032-0.0948212j -0.0650084+0.177582j 0.0417448-0.26031j 0.191856+0.0276697j -0.0980366-0.0603613j 0.0143586-0.208492j 0.007197+0.00507651j -0.0447337+0.0379601j 0.00497015-0.0701303j 0.0222979-0.0308129j -0.0368021-0.0413431j 0.037114+0.0571826j 0.0371734+0.0794088j 0.0202761+0.00607701j 0.083537-0.0256339j -0.01595-0.00026952j 0.0380066+0.020155j -0.022958+0.00861087j 0.0706181+0.0259746j -0.0154826-0.0424885j 0.0185866+0.0107747j -0.0361702-0.0105802j 0.0288901-0.0111319j -0.0045962-0.087238j -0.0117496+0.0275877j 0.016146+0.00757312j 
-0.00257119+0.0622621j -0.0346521+0.0299838j 0.0119062-0.0776385j 0.0448804-0.0862166j -0.0922775+0.19712j 0.0420772+0.0685697j -0.00594069-0.0238585j -0.0593744-0.00247023j -0.0703776+0.0184547j 0.264524-0.151884j -0.162645-3.50718e-15j 0.119224-0.191128j -0.118647+0.0260045j -0.0408813+0.00915864j -0.0821666+0.0101199j 0.0655521+0.141243j -0.111377-0.189392j 0.192314-0.0871876j 0.0442461-0.191366j 0.0229855-0.104691j -0.00377357+0.000496942j 0.0322937-0.0437713j 0.0629048-0.0804178j 0.0177397-0.00678509j -0.0314652+0.0027012j 0.00161436+0.0609159j 0.0343734+0.0546069j -0.0180536-0.112924j 0.0392297+0.0797651j 0.0418872+0.0191719j 0.111825-0.0523768j -0.00134586+0.0968044j -0.0481196-0.0633005j 0.00372522+0.0101411j 0.0355831+0.0255622j -0.0491612+0.0162938j -0.0550461-0.10257j -0.0621091-0.0600785j -0.000232434+0.064706j -0.0410081-0.0301358j 
