0.0828687+3.05311e-16j 0.111737-0.0133641j 0.0489069-0.182471j 0.0350145-0.0681592j 0.124777-0.0235849j 0.0438887-0.037965j 0.0225407+0.0572478j 0.0796239-0.178295j -0.0399102-0.114552j 0.159953-0.0347243j -0.26544-0.298831j -0.149579-0.378135j -0.127584-0.11635j -0.0250184-0.019982j -0.0908786+0.182752j 
0.111737+0.0133641j -0.116514-1.22125e-15j 0.106149-0.0971836j 0.0304896+0.149432j 0.0164064-0.173137j -0.0174786-0.0638636j 0.0289806-0.111347j 0.00321475+0.183897j -0.166937+0.0118736j 0.0613285+0.214844j 0.0996723-0.253494j 0.0773791+0.0359212j 0.294119+0.0531072j 0.0365992+0.287435j -0.0531048+0.0519449j 
0.0489069+0.182471j 0.106149+0.0971836j -0.0196281+3.43475e-16j 0.0698798+0.0362839j 0.0498642-0.0578432j -0.0666165-0.0968287j 0.206169-0.0196293j 0.27516+0.114699j -0.192327-0.120349j -0.0642997-0.334876j -0.0910922+0.0573183j 0.27062+0.151821j -0.104684+0.13851j 0.196559-0.0950605j -0.0397446-0.108774j 
0.0350145+0.0681592j 0.0304896-0.149432j 0.0698798-0.0362839j 0.169146+2.22045e-16j -0.013112+0.259311j 0.0404781-0.0451258j -0.25605+0.0487125j 0.00148774+0.0670002j -0.00520284+0.18717j 0.287021-0.239807j 0.0632034+0.0489108j 0.0833813+0.151427j 0.232346+0.0107876j -0.0390953-0.278787j -0.257063+0.256779j 
0.124777+0.0235849j 0.0164064+0.173137j 0.0498642+0.0578432j -0.013112-0.259311j -0.0164103-7.5287e-16j 0.151084+0.137012j -0.0414533+0.0703721j 0.152333+0.0566024j 0.20308-0.0517502j -0.0526841-0.0374419j 0.0869177+0.0990551j 0.271412+0.166031j 0.138822-0.0430409j 0.186094+0.264415j 0.204735+0.0238632j 
0.0438887+0.037965j -0.0174786+0.0638636j -0.0666165+0.0968287j 0.0404781+0.0451258j 0.151084-0.137012j -0.159609-1.77636e-15j -0.107938-0.00131788j 0.145123+0.0934168j -0.011367+0.170033j 0.0241496+0.00325991j -0.201815-0.28017j 0.0375267-0.248366j 0.0653487-0.0515719j -0.102941+0.148097j 0.0264322+0.0995045j 
0.0225407-0.0572478j 0.0289806+0.111347j 0.206169+0.0196293j -0.25605-0.0487125j -0.0414533-0.0703721j -0.107938+0.00131788j -0.164054-1.30451e-15j 0.14814-0.145583j 0.0699124+0.0662193j 0.0420832-0.396206j 0.00822087+0.219179j 0.0131924+0.0588322j 0.169825+0.0669185j 0.101262-0.102697j -0.119419+0.0436213j 
0.0796239+0.178295j 0.00321475-0.183897j 0.27516-0.114699j 0.00148774-0.0670002j 0.152333-0.0566024j 0.145123-0.0934168j 0.14814+0.145583j 0.0379766+7.77156e-16j 0.02217-0.250294j 0.178773-0.156089j -0.0152665+0.0387838j -0.137976-0.0487042j -0.0783403-0.00148535j -0.0680684-0.118243j -0.14975+0.00796236j 
-0.0399102+0.114552j -0.166937-0.0118736j -0.192327+0.120349j -0.00520284-0.18717j 0.20308+0.0517502j -0.011367-0.170033j 0.0699124-0.0662193j 0.02217+0.250294j -0.0482789+5.6205e-16j 0.127291-0.0591634j 0.0379484-0.0588924j 0.132394+0.0525365j -0.211065+0.0250138j -0.149674-0.081546j 0.0538742-0.140426j 
0.159953+0.0347243j 0.0613285-0.214844j -0.0642997+0.334876j 0.287021+0.239807j -0.0526841+0.0374419j 0.0241496-0.00325991j 0.0420832+0.396206j 0.178773+0.156089j 0.127291+0.0591634j -0.180029-5.13478e-15j -0.159821+0.0593036j 0.0573315-0.00707992j -0.102973-0.0156626j -0.0687187+0.00919643j 0.0756929-0.0150383j 
-0.26544+0.298831j 0.0996723+0.253494j -0.0910922-0.0573183j 0.0632034-0.0489108j 0.0869177-0.0990551j -0.201815+0.28017j 0.00822087-0.219179j -0.0152665-0.0387838j 0.0379484+0.0588924j -0.159821-0.0593036j -0.0807843-1.38778e-15j 0.00566121-0.0286122j -0.172615-0.00262085j -0.116755-0.0703878j -0.0151845-0.0845441j 
-0.149579+0.378135j 0.0773791-0.0359212j 0.27062-0.151821j 0.0833813-0.151427j 0.271412-0.166031j 0.0375267+0.248366j 0.0131924-0.0588322j -0.137976+0.0487042j 0.132394-0.0525365j 0.0573315+0.00707992j 0.00566121+0.0286122j -0.0596318-2.77556e-17j 0.192784-0.0600545j -0.0755793+0.0342057j 0.0248335+0.0562205j 
-0.127584+0.11635j 0.294119-0.0531072j -0.104684-0.13851j 0.232346-0.0107876j 0.138822+0.0430409j 0.0653487+0.0515719j 0.169825-0.0669185j -0.0783403+0.00148535j -0.211065-0.0250138j -0.102973+0.0156626j -0.172615+0.00262085j 0.192784+0.0600545j 0.143073-1.9082e-16j 0.350961-0.0913498j 0.22982+0.0597004j 
-0.0250184+0.019982j 0.0365992-0.287435j 0.196559+0.0950605j -0.0390953+0.278787j 0.186094-0.264415j -0.102941-0.148097j 0.101262+0.102697j -0.0680684+0.118243j -0.149674+0.081546j -0.0687187-0.00919643j -0.116755+0.0703878j -0.0755793-0.0342057j 0.350961+0.0913498j 0.0954118-8.04912e-16j 0.100493-0.0417689j 
-0.0908786-0.182752j -0.0531048-0.0519449j -0.0397446+0.108774j -0.257063-0.256779j 0.204735-0.0238632j 0.0264322-0.0995045j -0.119419-0.0436213j -0.14975-0.00796236j 0.0538742+0.140426j 0.0756929+0.0150383j -0.0151845+0.0845441j 0.0248335-0.0562205j 0.22982-0.0597004j 0.100493+0.0417689j 0.332673-6.93889e-16j 
