-0.0547652+5.55112e-16j 0.155926+0.0170526j 0.0320796+0.107795j 0.0194302-0.0762141j -0.0828195+0.0963094j -0.000538159-0.0867021j -0.0431706+0.123034j 0.0212832+0.172516j 0.0643703-0.206284j -0.0265236-0.0942298j -0.0802102+0.0423154j -0.208383+0.124368j 0.00876972-0.0161534j -0.0465913+0.151807j 0.0515943-0.00355906j -0.227092+0.440425j 0.104785+0.243044j 0.103783-0.0116475j 
0.155926-0.0170526j 0.15869+1.80411e-16j -0.128083+0.000279975j -0.00577217-0.104869j -0.00688926-0.236474j 0.111752+0.0426308j -0.0175167-0.154124j -0.0710981-0.079785j -0.0263175-0.0672929j 0.118012+0.0324405j 0.0219116+0.0790124j 0.0312872-0.278892j 0.289334+0.029j 0.00390646-0.124942j 0.0567546+0.127802j -0.227326+0.0455681j -0.00146951+0.054066j 0.0146243-0.297776j 
0.0320796-0.107795j -0.128083-0.000279975j -0.0937416+5.27356e-16j 0.0335553+0.10307j 0.151385+0.122882j -0.213921-0.14288j -0.091336-0.0368304j -0.0219952+0.143629j 0.0187602+0.0743563j 0.116327-0.012519j -0.0206842-0.116608j 0.292544+0.131552j -0.081139-0.0440344j 0.105031+0.237962j 0.0574222+0.0832644j -0.118671+0.333422j -0.226347-0.00572739j 0.114569+0.170433j 
0.0194302+0.0762141j -0.00577217+0.104869j 0.0335553-0.10307j -0.268345+2.3731e-14j 0.102408-0.28297j -0.0290834-0.121496j 0.0842434-0.159123j 0.203856-0.477422j -0.1004+0.0422548j -0.0198614-0.0215996j 0.254753-0.260647j 0.02355-0.0244562j 0.0230419-0.0228801j -0.00498472+0.0305639j 0.0264131+0.0625763j -0.0743809+0.154922j 0.0478335+0.0308653j 0.0373238-0.00576504j 
-0.0828195-0.0963094j -0.00688926+0.236474j 0.151385-0.122882j 0.102408+0.28297j -0.11407-2.13302e-14j 0.0347622+0.192465j -0.0230945+0.169128j 0.025652-0.120075j 0.0210567-0.0867438j -0.0752717+0.0720315j 0.00504956+0.0227366j -0.180803+0.0740246j 0.0147925+0.0413372j -0.033732-0.026638j -0.0277811-0.00654695j -0.0868942+0.0237639j 0.0920519+0.0594933j 0.0702644-0.074071j 
-0.000538159+0.0867021j 0.111752-0.0426308j -0.213921+0.14288j -0.0290834+0.121496j 0.0347622-0.192465j 0.00710241-1.8258e-16j 0.0306169-0.0571334j -0.113274-0.221426j -0.0278647+0.0338244j 0.134344-0.155097j 0.0611915+0.0579809j -0.00781507-0.0184698j -0.275449+0.0324563j -0.00574997-0.104548j -0.071653-0.145834j 0.0840649-0.0484677j 0.140647+0.0637655j -0.0201563+0.0187837j 
-0.0431706-0.123034j -0.0175167+0.154124j -0.091336+0.0368304j 0.0842434+0.159123j -0.0230945-0.169128j 0.0306169+0.0571334j 0.0883102+3.747e-16j -0.274813-0.138307j 0.0282209+0.150223j 0.0714212-0.146869j -0.0388441+0.152883j 0.16377+0.0167081j -0.00459616+0.136179j 0.0492817+0.0328429j -0.0307566+0.0605907j -0.0792957+0.226546j -0.190616-0.0504648j 0.134538+0.0984735j 
0.0212832-0.172516j -0.0710981+0.079785j -0.0219952-0.143629j 0.203856+0.477422j 0.025652+0.120075j -0.113274+0.221426j -0.274813+0.138307j 0.113159-1.13798e-15j 0.00223523-0.16294j 0.0958923+0.243105j 0.0637993-0.103426j -0.00579081+0.0480324j -0.0240681-0.100528j 0.0699642-0.0023614j 0.0132115-0.066549j -0.0808537-0.0765668j 0.10302+0.0638839j 0.0431047-0.122884j 
0.0643703+0.206284j -0.0263175+0.0672929j 0.0187602-0.0743563j -0.1004-0.0422548j 0.0210567+0.0867438j -0.0278647-0.0338244j 0.0282209-0.150223j 0.00223523+0.16294j -0.015205-6.17562e-16j 0.21149-0.0990842j 0.00722852-0.0784357j -0.211023+0.031743j -0.179699+0.0247587j 0.0983654-0.118904j -0.0864926-0.0511468j -0.227914+0.0389475j 0.143684+0.189206j 0.247077-0.235203j 
-0.0265236+0.0942298j 0.118012-0.0324405j 0.116327+0.012519j -0.0198614+0.0215996j -0.0752717-0.0720315j 0.134344+0.155097j 0.0714212+0.146869j 0.0958923-0.243105j 0.21149+0.0990842j -0.0182052-4.44089e-16j 0.0925817+0.0430213j -0.211947-0.0293151j 0.173541-0.0781651j 0.0293605+0.0476591j 0.100931-0.252117j 0.130541+0.291577j -0.123288+0.0807769j 0.0445761+0.145341j 
-0.0802102-0.0423154j 0.0219116-0.0790124j -0.0206842+0.116608j 0.254753+0.260647j 0.00504956-0.0227366j 0.0611915-0.0579809j -0.0388441-0.152883j 0.0637993+0.103426j 0.00722852+0.0784357j 0.0925817-0.0430213j 0.758245-2.22045e-15j 0.135255-0.0417325j -0.0504002-0.0349188j -0.0635629-0.00425084j -0.01985-0.0295881j 0.043921+0.0154541j -0.0467645+0.0327237j -0.0457267+0.00125449j 
