0.00442755-0j 0.174824-0.227193j 0.060607+0.106826j 0.0462514+0.126712j -0.0707457-0.16075j 0.040962+0.312918j -0.111511+0.167334j 0.114923-0.126563j -0.0904834+0.0785879j 0.0104019+0.0588354j -0.0444783+0.0513502j -0.0721031+0.0579657j 0.0739911+0.0281505j -0.0420413+0.0816199j -0.00668515+0.034504j 0.0125906-0.00951014j 0.00728744+0.0337473j 0.00389368-0.0538652j -0.0785993-0.0859309j 0.022246+0.104672j 0.0289672+0.0900731j -0.00499674-0.0225686j 0.00371453+0.0596143j 0.0237889-0.00169042j 0.0378293+0.0370761j 0.000994674-0.00410765j 0.0210302-0.0597947j 0.0248965-0.0261214j -0.0585923+0.180478j 0.117504+0.202968j -0.0379695+0.186709j -0.0921575-0.0871946j 0.0262053+0.0553494j -0.00808578-0.0644921j -0.00294838-0.179524j -0.0633828+0.208303j 
0.174824+0.227193j -0.386561+1.45717e-16j 0.0194793-0.312451j -0.0563289+0.0302415j 0.0609187+0.0703332j 0.0625224+0.186555j 0.112376+0.148918j -0.0395855-0.07275j -0.0226913+0.0346178j 0.043671-0.00707636j -0.00746572-0.0422049j 0.0595611+0.0478808j 0.0116609-0.0086154j 0.0250909-0.0406364j 0.0148078-0.0114661j -0.0161959-0.0322991j 0.00194879+0.0256514j -0.0563014-0.028023j -0.0364625-0.0637483j 0.0436729-0.0588315j -0.0231553+0.0489119j -0.0307569-0.0407119j -0.0366461+0.0328429j -0.0471961+0.015944j -0.0198705-0.0309052j 0.00600065+0.0292787j -0.0488663-0.0337007j -0.0985609-0.0891232j 0.0700375+0.0116839j 0.0800042+0.0521072j 0.0748262+0.00646944j -0.00965004+0.00239515j -0.0915349-0.0532878j -0.0582236-0.0208939j -0.0236276-0.120347j 0.0595666-0.0839728j 
0.060607-0.106826j 0.0194793+0.312451j -0.48705+1.11647e-14j 0.00891231+0.360709j 0.0127596+0.0513996j -0.0638298+0.0815939j 0.00211838+0.0528781j 0.0191061-0.0807612j -0.0137985-0.00100789j -0.0342818-0.0255034j -0.0417367+0.00479252j -0.00584204+0.0137916j -0.0282656-0.0295595j -0.0158456-0.0302818j 0.041484+0.0163092j -0.0768738-0.0158209j 0.0055132-0.0289713j 0.00498188-0.0333053j -0.00478678-0.0219559j 0.0141043+0.00128493j -0.00990821+0.0187553j -0.000507866+0.0151755j 0.017851+0.00831971j 0.0246688+0.0333508j -0.000814336+0.00322766j 0.014207+0.0193978j -0.0190056+0.020223j 0.00655138-0.0529668j 0.0015162+0.0289156j 0.00275017+0.0131687j -0.0242043-0.0293852j 0.0467436+0.0386266j -0.00865487-0.00722756j -0.0134487-0.0178436j 0.00446097-0.0276529j -0.0230348+0.00888829j 
0.0462514-0.126712j -0.0563289-0.0302415j 0.00891231-0.360709j -0.384369+1.52656e-16j -0.158916-0.0627745j -0.0959953-0.134881j -0.0830651-0.0805894j 0.151663+0.0424566j -0.0338563+0.0369147j -0.036468-0.0805913j -0.0124043+0.0574186j -0.0941015+0.00917839j 0.0459897-0.0246405j -0.0375922+0.0568727j -0.0355189+0.046005j -0.0143997-0.0177925j -0.0180729-0.0433297j 0.0075975+0.035904j 0.0124664+0.000160268j -0.0419323+0.0353723j 0.0665125-0.000402596j -0.020384+0.042158j 0.0386097-0.0207637j 0.05115+0.0468971j 0.0796255+0.0524022j -0.0105896-0.0213361j 0.0636445-0.0179509j 0.0749163+0.0447699j -0.0981744+0.138686j -0.00716853+0.0529293j -0.0609669+0.0303225j 0.0171763-0.0035512j 0.0418311+0.0484103j 0.0967533-0.0252782j -0.00124291-0.0252992j -0.117139+0.185733j 
-0.0707457+0.16075j 0.0609187-0.0703332j 0.0127596-0.0513996j -0.158916+0.0627745j -0.032817-5.55112e-17j -0.184594+0.28015j -0.0183955+0.142096j 0.0119581-0.0994198j 0.0770739-0.00896568j -0.035171+0.133478j 0.0228702-0.0835899j 0.0235994+0.0359926j 0.00583926-0.0939222j -0.0538436-0.0974026j -0.0341833-0.021369j 0.0172408+0.00829154j -0.00477152-0.00179308j 0.0411085+0.0196623j 0.0954828+0.130542j -0.0347426+0.0122083j 0.00886489-0.012732j 0.0137123-0.0452036j 0.0364775-0.0231639j 0.00357165-0.0158798j 0.0200549+0.0588198j 0.014211+0.02475j 0.032262+0.00367784j 0.0346533+0.0965516j -0.0560988-0.208562j -0.144373-0.13074j -0.0161229-0.0501158j 0.0477298+0.0301146j 0.0904241+0.00817071j 0.193695+0.0970826j 0.0331018+0.321215j 0.0439073+0.0179333j 
0.040962-0.312918j 0.0625224-0.186555j -0.0638298-0.0815939j -0.0959953+0.134881j -0.184594-0.28015j 0.608537+1.4766e-14j -0.00568922-0.025511j 0.0351919-0.0362327j 0.0182572-0.0487103j 0.0848606+0.0976266j -0.0688638-0.0301893j 0.00607742+0.000555333j -0.120239+0.0454476j -0.030283-0.0601076j -0.0494566-0.0344037j 0.000642277-0.0134903j 0.0528419+0.021929j -0.0437629+0.00115358j -0.0105683+0.0390669j -0.039054-0.0197476j 0.0104147-0.0103825j -0.0124727+0.0159711j 0.0155042+0.0124465j 0.00806252+0.00139973j -0.0166463+0.0561488j 0.0128489-0.00371226j -0.0105271-0.00408355j -0.0192812+0.0456977j -0.0679791-0.110079j 0.0398594+0.0044299j 0.000407057-0.00893544j -0.0103307-0.0202823j 0.0319914+0.0209456j 0.0594967+0.0517378j -0.0327822+0.105459j 0.00087039+0.00389419j 
-0.111511-0.167334j 0.112376-0.148918j 0.00211838-0.0528781j -0.0830651+0.0805894j -0.0183955-0.142096j -0.00568922+0.025511j -0.320859+5.27356e-16j 0.202947-0.083705j 0.119767-0.059104j -0.0774534-0.117662j -0.028039+0.0758778j -0.0138714+0.107014j 0.0219439+0.0844936j 0.00583602-0.0853989j 0.0729255-0.098176j -0.0362005+0.017789j -0.0948976-0.0508131j -0.110625-0.176097j -0.0699151-0.043794j -0.0786238-0.395767j -0.0348811+0.0483998j 0.0409169+0.0275248j -0.0556967-0.080136j 0.00219428+0.0202088j 0.00879819-0.0948482j 0.0187854+0.0160405j -0.0288397+0.0937843j -0.0506356-0.0654419j 0.0732385+0.0238246j -0.0444442-0.0847636j 0.0365456-0.1389j 0.0402733+0.0468968j -0.0655639-0.0885093j -0.0871878+0.0393551j -0.0124602-0.0737459j -0.00904742-0.123467j 
0.114923+0.126563j -0.0395855+0.07275j 0.0191061+0.0807612j 0.151663-0.0424566j 0.0119581+0.0994198j 0.0351919+0.0362327j 0.202947+0.083705j -0.0896383+4.38538e-15j 0.0743501+0.0337679j 0.103112-0.16825j -0.158177+0.0242948j 0.0898302+0.0961038j 0.0893943-0.0540547j -0.086466-0.00887812j -0.115943+0.0756226j -0.0589585+0.0507773j -0.0569676-0.148883j -0.0319982-0.131293j 0.0499726-0.0318578j -0.207078-0.149446j 0.102192-0.00539602j 0.0076544+0.0318008j 0.133476-0.106077j 0.0167661+0.0131318j 0.112458-0.0336452j 0.0679751+0.0145393j 0.112308+0.0484327j 0.0590136-0.00306246j -0.117427+0.183277j -0.108671-0.0767847j 0.00470708-0.064609j 0.0716386+0.0623724j 0.0147446-0.0297029j 0.184999-0.0263509j 0.0151457-0.0151085j -0.107816+0.182061j 
-0.0904834-0.0785879j -0.0226913-0.0346178j -0.0137985+0.00100789j -0.0338563-0.0369147j 0.0770739+0.00896568j 0.0182572+0.0487103j 0.119767+0.059104j 0.0743501-0.0337679j 0.0522319+6.93889e-16j -0.0865678+0.089076j 0.130846-0.0172486j 0.0884783-0.221103j 0.0822155-0.174309j 0.0243345+0.0311797j -0.00477492-0.0428206j 0.0674038-0.182853j -0.00811327+0.0579016j 0.0864008-0.0359545j -0.138865-0.0497227j -0.308942+0.183746j -0.0434127+0.0456259j 0.09162+0.0369485j 0.0328411+0.0769121j 0.0856511-0.0756173j -0.124579+0.0360813j -0.063282-0.0025833j 0.0248737-0.0242558j -0.0563712+0.132043j 0.0578828+0.0729215j -0.0472124-0.116026j 0.0564319+0.0629373j 0.0504409+0.033381j -0.18018+0.0743383j 0.017326-0.182381j -0.0825876-0.0346852j -0.0782626-0.0381829j 
0.0104019-0.0588354j 0.043671+0.00707636j -0.0342818+0.0255034j -0.036468+0.0805913j -0.035171-0.133478j 0.0848606-0.0976266j -0.0774534+0.117662j 0.103112+0.16825j -0.0865678-0.089076j -0.033182-3.88578e-16j 0.0360794+0.0485136j 0.0235778-0.0362501j 0.0128728+0.0175688j -0.14408-0.0397431j -0.0470356+0.290967j 0.0968929-0.134022j -0.0952663+0.000718755j 0.0421414-0.0403211j 0.00408948+0.0409432j -0.0545119+0.180685j -0.0263202-0.0268224j -0.00599388+0.0291328j -0.0858783+0.0251438j 0.0452992-0.0379247j 0.0287081-0.0796072j -0.0129147-0.0131666j 0.00278522-0.0796758j 0.0243794-0.0798553j 0.0187939-0.00377048j 0.0264266+0.0380463j -0.0425203+0.0510692j -0.00452774-0.033371j -0.0413367+0.0470649j -0.0426876+0.011777j 0.0172231-0.0123241j 0.0663911-0.0240367j 
-0.0444783-0.0513502j -0.00746572+0.0422049j -0.0417367-0.00479252j -0.0124043-0.0574186j 0.0228702+0.0835899j -0.0688638+0.0301893j -0.028039-0.0758778j -0.158177-0.0242948j 0.130846+0.0172486j 0.0360794-0.0485136j 0.0560793+2.69229e-15j -0.0193678+0.0497004j -0.00463602-0.0424401j -0.0163074-0.223668j -0.117058-0.291706j -0.038126+0.0216972j -0.105808-0.284562j -0.0145022-0.0108973j 0.0131121+0.138583j -0.0388563+0.0706342j 0.05384+0.0377786j -0.00750423-0.0344577j -0.0177953+0.082073j 0.0282797+0.0791597j 0.0402787+0.286284j -0.022667-0.0302859j -0.0590249-0.0862166j -0.0825024-0.00672974j -0.0962895-0.0542147j 0.226406+0.180533j 0.0322209+0.139545j -0.0725019-0.0622568j -0.00598053+0.00211096j -0.016722-0.0448792j -0.147654-0.137478j -0.0754058+0.0694243j 
