-0.0204139-2.77556e-17j 0.185775+0.0224949j -0.0595966+0.0489833j -0.0381192-0.0950618j -0.0758346+0.062957j -0.0545918-0.00258174j 0.0304947-0.0460677j 0.0489779+0.0131636j 0.0583215-0.359958j 0.029459-0.0944663j 0.0516776+0.138543j -0.0171842-0.115741j -0.036884-0.0057512j 0.108532+0.142463j -0.086401+0.0474566j -0.0509645+0.00303421j -0.00125066-0.00736055j 0.116876-0.101382j 0.00449052+0.0151286j 0.0353006-0.0376886j -0.0122669+0.160445j -0.00592346-0.116579j 0.0807314-0.0539489j 0.156563-0.105823j -0.00548954+0.119843j -0.0138514+0.123508j -0.0273863-0.119389j -0.0612052+0.0751788j -0.00978634-0.178658j -0.0292915+0.0235132j -0.0972016+0.0239819j -0.00436709+0.136236j 0.060623+0.172209j 0.0486869+0.206919j 
0.185775-0.0224949j 0.108378-0j -0.0366557+0.00872528j 0.0413431-0.0468771j 0.150029+0.184631j 0.0624681-0.0591646j 0.0666224-0.0175911j 0.0936182+0.0163505j -0.199342-0.0623989j -0.0397502+0.0664327j -0.0175134+0.0387269j 0.030904+0.073867j -0.0065926-0.0101356j 0.094125+0.00171995j 0.10085-0.132958j 0.0240693-0.0875115j 0.0127384-0.0349833j -0.09376-0.0217829j -0.0613109-0.179368j 0.0284844+0.0265141j 0.138034-0.0321346j -0.131418-0.0931218j -0.0106648-0.0313072j 0.0640705-0.0324478j 0.105639-0.0155072j 0.0425464+0.0154251j -0.0529313+0.0374607j -0.00652161+0.0309849j -0.112859+0.0315988j -0.0852774+0.0588693j 0.00113736+0.0162085j 0.240034-0.205356j -0.104971-0.199659j 0.0545443+0.232354j 
-0.0595966-0.0489833j -0.0366557-0.00872528j 0.0250278-8.88178e-16j 0.0750779+0.256598j 0.103954-0.0953537j 0.0757245-0.0326601j 0.139196-0.110943j -0.14828+0.301104j -0.213706+0.195968j -0.092468+0.120786j 0.0336968-0.0130702j 0.0879319-0.13106j -0.0587257-0.034418j 0.0797649+0.0598459j 0.00556482-0.0374914j -0.0829033+0.0439515j 0.00123746+0.0246175j 0.0241911-0.0641803j -0.00851479+0.00753086j -0.0295933+0.0580154j -0.0108451+0.058227j 0.00315224-0.0922503j 0.0077368+0.000505078j 0.0732441-0.0183443j 0.0236157+0.0681982j -0.0258897+0.116336j -0.0339827+0.0438319j 0.0141109-0.0637126j -0.0194956-0.0662531j -0.0147853+0.0398872j 0.0111896-0.0342351j -0.0513032+0.113639j 0.0270674+0.107713j 0.0711073+0.0354072j 
-0.0381192+0.0950618j 0.0413431+0.0468771j 0.0750779-0.256598j 0.199219-1.69309e-15j -0.0829654-0.240465j 0.128169+0.19086j -0.0981867-0.306848j -0.0784533+0.0350274j 0.0491318+0.261349j 0.0772665+0.239012j -0.0686826-0.020495j -0.0575219-0.126562j -0.0320926+0.0889635j -0.0120691-0.0371579j -0.0368862-0.0243234j 0.0130669+0.0411406j -0.0523506+0.0213239j -0.0579172-0.0180151j -0.0238178-0.0592627j 0.0219759+0.126636j 0.00443786+0.0364909j -0.0708807-0.0576506j 0.0130777+0.0237845j 0.067569-0.0237408j 0.0139571+0.00463747j -0.002577+0.0464927j 0.0110681+0.0172944j -0.0274348-0.020542j -0.049332-0.00353738j -0.0238158-0.0011223j -0.0343052+0.0415999j 0.0428377-0.00888913j -0.020162+0.00940247j 0.0179689+0.067929j 
-0.0758346-0.062957j 0.150029-0.184631j 0.103954+0.0953537j -0.0829654+0.240465j -0.280121+3.60822e-16j -0.0100997-0.00324927j -0.0253723+0.0222255j -0.110247-0.0593225j 0.0606135+0.188813j -0.0865032-0.028221j -0.0109132-0.0609421j -0.184814+0.230671j 0.0290265-0.034386j -0.0157837-0.185161j 0.156375-0.0928965j 0.125395-0.049043j -0.0703806+0.0514158j 0.145625-0.0521902j 0.171484-0.0183267j -0.0395579+0.0324292j -0.0894607+0.0104704j 0.0447928+0.0249952j 0.0859671-0.0218032j 0.0385699+0.076394j -0.0183806-0.0862125j -0.0570661-0.142106j -0.046434+0.036575j -0.0362925-0.0939228j -0.0472201+0.0538213j -0.0408349+0.0636632j 0.0130988+0.0477629j 0.108258-0.203827j 0.211805-0.0942356j -0.139163-0.111291j 
-0.0545918+0.00258174j 0.0624681+0.0591646j 0.0757245+0.0326601j 0.128169-0.19086j -0.0100997+0.00324927j -0.216356-5.13478e-16j 0.0231354-0.100746j 0.317899-0.146872j 0.209001-0.0648042j 0.0107443+0.0103488j 0.0045893+0.0237407j -0.0295758-0.0213831j -0.0542482+0.00273366j -0.00425813-0.0901183j -0.0885956+0.0186144j 0.0285043+0.0555619j 0.0238197+0.033732j 0.0362609-0.00127392j -0.00359792-0.0482406j 0.0265675-0.0284175j 0.0168997+0.0114408j 0.00644485-0.00741842j 0.0441044-0.00141639j 0.0357862-0.0274204j -0.0580095+0.014637j 0.0368042-0.0899449j 0.0135787-0.00902088j -0.0300501+0.0412514j -0.0230975-0.044311j 0.0116433-0.0353498j -0.0983199+0.0825408j 0.07942-0.109575j -0.00105638-0.0241139j -0.0338716+0.0300491j 
0.0304947+0.0460677j 0.0666224+0.0175911j 0.139196+0.110943j -0.0981867+0.306848j -0.0253723-0.0222255j 0.0231354+0.100746j -0.291337+4.27436e-15j -0.0583869+0.0567787j 0.00516231-0.0808569j 0.163787+0.0955868j -0.231391-0.101699j -0.109958-0.0870749j 0.0132698-0.083308j 0.0415085+0.14681j 0.0338238-0.0652968j 0.129434-0.0351066j 0.0416079+0.0228801j -0.108019-0.00355146j -0.0970284-0.0553573j 0.0835446+0.0565137j 0.0495136+0.0155731j -0.0492119-0.00155836j 0.130696+0.00430851j 0.0123134+0.0480402j 0.0486373+0.0614752j 0.0613546+0.0698369j -0.0352477-0.0366153j 0.0267416-0.012977j 0.0420342-0.0722999j -0.0365808-0.0137586j 0.00910244+0.0228966j 0.102525+0.0103507j -0.0526387+0.0267323j -0.00604131+0.127283j 
0.0489779-0.0131636j 0.0936182-0.0163505j -0.14828-0.301104j -0.0784533-0.0350274j -0.110247+0.0593225j 0.317899+0.146872j -0.0583869-0.0567787j -0.43744+5.6205e-15j -0.0492477+0.0215137j 0.178218+0.0656062j 0.0646718+0.230469j -0.0109199-0.0625336j 0.0446884+0.0500017j -0.00820001-0.0817432j 0.0322244+0.0674647j 0.039288-0.00204257j -0.0115231+0.0143256j 0.0538225-0.0534102j 0.04563-0.0018733j 0.0752436-0.0234011j -0.0385393+0.0187437j 0.0212286+0.00570143j 0.029713-0.011811j 0.0358816-0.0129337j -0.00805007-0.0038711j -0.0252619-0.015196j 0.00127833+0.00306078j -0.00931118+0.0213614j -0.00636997-0.0048557j -0.00907245+0.0127844j 0.0177599+0.00962287j 0.00400686-0.0326451j 0.0437562-0.0141455j -0.0171978-0.0139856j 
0.0583215+0.359958j -0.199342+0.0623989j -0.213706-0.195968j 0.0491318-0.261349j 0.0606135-0.188813j 0.209001+0.0648042j 0.00516231+0.0808569j -0.0492477-0.0215137j -0.158618+1.27676e-15j -0.110829-0.0190713j 0.0287002-0.14488j 0.0137005+0.103365j 0.0628273+0.117973j -0.00388172+0.128788j 0.150648-0.0742708j -0.0119325-0.0158085j 0.0321454-0.023347j -0.0335358+0.142917j -0.0329199+0.00590412j 0.0516396+0.0206803j 0.0178015-0.0528105j 0.0142431-0.0176632j -0.0570982+0.00790865j 0.0225773+0.0574051j 0.0223383-0.0198826j -0.00167984-0.0151208j 0.0196147+0.025666j 0.0259911+0.0196239j -0.0107018-0.030348j -0.0201332-0.014211j -0.00294572-0.0422337j 0.0890705-0.0269774j -0.0543737-0.0149153j -0.0364469+0.0492603j 
0.029459+0.0944663j -0.0397502-0.0664327j -0.092468-0.120786j 0.0772665-0.239012j -0.0865032+0.028221j 0.0107443-0.0103488j 0.163787-0.0955868j 0.178218-0.0656062j -0.110829+0.0190713j -0.10586+5.6205e-16j 3.44471e-05-0.0502486j -0.100671+0.145495j -0.00535412+0.032702j 0.229158-0.017747j 0.210557-0.236831j 0.0059483-0.0779565j -0.0383184+0.118077j 0.103907-0.107471j 0.110511-0.0234155j -0.0366478+0.000548021j -0.0269097+0.0558289j 0.0487593+0.0409967j -0.00473562+0.0233573j 0.0346036+0.0698044j 0.0229232+0.0445096j -0.0275172+0.0766963j 0.00410701-0.00728263j 0.0537714-0.00287072j 0.0336687+0.00906531j -0.02047-0.00374852j 0.0145978-0.0693547j -0.100516+0.1181j 0.058866+0.113513j -0.0107222-0.0256432j 
0.0516776-0.138543j -0.0175134-0.0387269j 0.0336968+0.0130702j -0.0686826+0.020495j -0.0109132+0.0609421j 0.0045893-0.0237407j -0.231391+0.101699j 0.0646718-0.230469j 0.0287002+0.14488j 3.44471e-05+0.0502486j -0.176161+1.66533e-15j -0.0208242+0.318258j 0.0101438-0.076301j -0.0873429-0.066924j 0.0552805-0.0893287j 0.10755-0.116414j 0.0304855-0.0283959j -0.169065+0.0256319j -0.0974689-0.0158666j 0.0245787+0.052563j 0.0639809+0.0224863j -0.0491736-0.100741j 0.00360285-0.0657281j -0.007755-0.0479716j 0.0414148-0.00664584j 0.0275369+0.144812j 0.00452885+0.0254982j 0.035545-0.0690223j -0.00776471+0.0220953j 0.0345719-0.029026j 0.088543-0.0643809j -0.170119+0.308555j -0.0762518+0.121191j 0.149625+0.0597136j 
