0.0617559-7.97973e-17j 0.00557107+0.000457405j -0.0147826+0.00650719j -0.00923187+0.00412964j -0.0413636+0.000356445j -0.108262+0.00212754j 0.282741+0.00427651j -0.323751-0.0184072j -0.0660237-0.00374212j -0.0226131-0.00272939j -0.0999786+0.00212673j -0.00018908+0.00827251j -0.0861343-0.000189594j -0.019817-0.00357605j -0.0271745-0.00449177j -0.0167208+0.0110469j 0.00561403-0.00754836j -0.00200544-0.000108588j 
0.00557107-0.000457405j -0.174342-4.3715e-16j -0.113047+0.00151926j -0.0672047+0.000856662j -0.065696-0.000517186j -0.0916444-0.0072529j 0.0983317+0.00826654j 0.423416-0.00146054j -0.0284632-0.0077326j 0.0172123+0.0034256j -0.106518-0.00518783j -0.0841648-0.0182176j -0.0651729-0.00674411j 0.0817159+0.000691244j 0.00416801-0.00127711j 0.06222-0.00938766j 0.0319998+0.00463157j -0.00753678+0.00955484j 
-0.0147826-0.00650719j -0.113047-0.00151926j 0.0308371-5.99387e-15j -0.0938768+0.000883038j 0.564493+0.00308901j -0.276996+0.00414189j 0.324221-0.00468822j -0.117187+0.00683144j 0.0507181-0.00664745j -0.119677-0.00262727j -0.0359424+0.00115471j -0.0218076-0.00229714j -0.151763-0.0045181j 0.053271+0.00715461j -0.010733+0.0025166j 0.0201179-0.00679083j 0.00771109-0.000254009j -0.0157316+0.00718197j 
-0.00923187-0.00412964j -0.0672047-0.000856662j -0.0938768-0.000883038j -0.374391+1.2026e-15j -0.562912+0.000930802j -0.0893984+0.00255683j 0.410556-0.00110646j -0.302136+0.00901022j -0.221134-0.00442809j 0.0742654-0.00190902j -0.26351+0.000414083j 0.0936646-0.00103878j -0.0643463-0.00244362j -0.0207506-0.00620658j -0.0151268-0.00646712j 0.0513036+0.010979j -0.0331423-0.00117547j 0.0172647+0.00793603j 
-0.0413636-0.000356445j -0.065696+0.000517186j 0.564493-0.00308901j -0.562912-0.000930802j -0.0874885+6.4651e-16j -0.245419-0.00144282j -0.436901-0.0012602j 0.0765357-0.00195204j 0.0447579-0.00233899j -0.114208-0.00125524j -0.110551-0.000546976j 0.042666+0.00193302j 0.0212647-0.000750165j 0.0056086-0.00051704j 0.0304032+0.0158695j 0.0175815-0.0037048j 0.0112113+0.0028958j 0.0295133-0.000591683j 
-0.108262-0.00212754j -0.0916444+0.0072529j -0.276996-0.00414189j -0.0893984-0.00255683j -0.245419+0.00144282j 0.2086-1.11664e-14j 0.000236791-0.00831422j 0.58543-0.00497847j -0.0368582-0.00273215j 0.0421412+0.00875227j -0.0782526+0.0017483j -0.113272-0.00220481j -0.0614434+0.00552327j 0.0781736-0.00371764j -0.00888415-0.00352718j 0.027759-0.00627202j 0.0597974+0.00990898j 0.0562541+0.00268245j 
0.282741-0.00427651j 0.0983317-0.00826654j 0.324221+0.00468822j 0.410556+0.00110646j -0.436901+0.0012602j 0.000236791+0.00831422j -0.169292+1.17528e-16j -0.126012+0.00168069j 0.00652298+0.00843948j -0.0970231-0.00163433j 0.170379-0.00176747j -0.216155-0.00659778j -0.0938198-0.00689286j -0.0139192-0.00377107j -0.00203846-0.00653811j 0.00386066-0.00080211j -0.0141002-0.00495273j -0.0536556+0.00393111j 
-0.323751+0.0184072j 0.423416+0.00146054j -0.117187-0.00683144j -0.302136-0.00901022j 0.0765357+0.00195204j 0.58543+0.00497847j -0.126012-0.00168069j -0.268563+8.71568e-15j 0.0662868+0.00487447j -0.107745-0.0155956j 0.0103498-0.000939373j -0.0712279+0.00125991j 0.0424568-0.0034078j -0.00240228+0.00172207j 0.0192498+0.00386571j 0.0181603+0.00130509j 0.027561-0.00706148j -0.0414029-0.00242521j 
-0.0660237+0.00374212j -0.0284632+0.0077326j 0.0507181+0.00664745j -0.221134+0.00442809j 0.0447579+0.00233899j -0.0368582+0.00273215j 0.00652298-0.00843948j 0.0662868-0.00487447j -0.00256278-3.73833e-16j -0.0397624-0.00239759j 0.0100416+0.00276883j -0.0556773-0.00416399j -0.0308493+0.00135848j 0.0316257-0.00174484j 0.00789682+0.00263769j 0.0223073-0.00296936j 0.00690336+0.00236949j 0.00686467+1.40473e-05j 
-0.0226131+0.00272939j 0.0172123-0.0034256j -0.119677+0.00262727j 0.0742654+0.00190902j -0.114208+0.00125524j 0.0421412-0.00875227j -0.0970231+0.00163433j -0.107745+0.0155956j -0.0397624+0.00239759j 0.154917+1.32641e-15j 0.0314539-0.000344658j 0.276542+0.000942415j 0.213977+0.00248387j -0.106985+0.00189143j -0.0103274+0.00102684j -0.0372066+0.00532723j 0.00495947+0.000342711j -0.00352329-0.00406258j 
-0.0999786-0.00212673j -0.106518+0.00518783j -0.0359424-0.00115471j -0.26351-0.000414083j -0.110551+0.000546976j -0.0782526-0.0017483j 0.170379+0.00176747j 0.0103498+0.000939373j 0.0100416-0.00276883j 0.0314539+0.000344658j 0.912307+1.84856e-16j -0.0384687+0.000113837j 0.0152422+0.000515461j -0.0989047-0.00135322j 0.0061954+0.00111277j -0.0768353+0.00157098j -0.00537362-3.35165e-05j -0.0435907-0.00327095j 
-0.00018908-0.00827251j -0.0841648+0.0182176j -0.0218076+0.00229714j 0.0936646+0.00103878j 0.042666-0.00193302j -0.113272+0.00220481j -0.216155+0.00659778j -0.0712279-0.00125991j -0.0556773+0.00416399j 0.276542-0.000942415j -0.0384687-0.000113837j 0.415011+1.3249e-15j 0.323714+0.00885218j -0.121523+0.00123092j 0.00545415+0.00164054j -0.0454151+0.00831725j 0.0245049+0.00150351j 0.000570405-0.0104276j 
-0.0861343+0.000189594j -0.0651729+0.00674411j -0.151763+0.0045181j -0.0643463+0.00244362j 0.0212647+0.000750165j -0.0614434-0.00552327j -0.0938198+0.00689286j 0.0424568+0.0034078j -0.0308493-0.00135848j 0.213977-0.00248387j 0.0152422-0.000515461j 0.323714-0.00885218j 0.203705+3.20208e-14j -0.0571793+0.00203219j -0.00183864+0.00271636j 0.00555649+0.000795764j 0.0600438+0.00088361j -0.00956042-0.00214865j 
-0.019817+0.00357605j 0.0817159-0.000691244j 0.053271-0.00715461j -0.0207506+0.00620658j 0.0056086+0.00051704j 0.0781736+0.00371764j -0.0139192+0.00377107j -0.00240228-0.00172207j 0.0316257+0.00174484j -0.106985-0.00189143j -0.0989047+0.00135322j -0.121523-0.00123092j -0.0571793-0.00203219j 0.0263927-1.32273e-17j 0.0162368+0.000552234j 0.0103706-0.00150964j -0.0208892-0.001632j 0.0157613+0.000343336j 
