-0.106843+0.000788922j 0.0439619+0.00114003j -0.120474+0.000786648j 0.08923+0.000236777j 0.215047-0.000749176j -0.0922541+0.000335677j -0.0607017+0.000848669j 0.188377-0.00111875j -0.160145+0.000425469j -0.675453+0.000306398j -0.29253+0.00160603j -0.0571168+3.58573e-15j 0.184374-0.00058583j -0.161357+0.000179433j -0.0499159-5.89422e-05j -0.195978-0.000452468j 0.0663842+0.00013066j -0.0937102+0.000139244j -0.343135-0.00138618j 0.0518378-0.000110111j 0.0258427-0.000566345j 0.0404368+7.30868e-05j 
-0.0542154+0.000288995j 0.142654+8.60637e-05j -0.143152-0.000476275j 0.489822-0.0010228j 0.0396347+0.00118717j -0.18514+0.000133261j -0.425589+0.000176299j -0.13829-0.000377576j 0.0394918-0.000574144j 0.121617+0.000630058j -0.133554+0.00104807j 0.184374+0.00058583j -0.423167+1.63866e-13j 0.0146572+0.000446749j -0.276891-0.00164434j -0.0297727-0.00132067j -0.0357475+0.00012374j 0.0339306-0.000445976j -0.100715-0.00118023j -0.0238868-0.000783441j -0.00780193-0.000163718j -0.11383-0.000167647j 
-0.0410374+0.000729148j 0.00714519-0.000948895j -0.138062+0.00123536j 0.18965-0.000575031j -0.0217553-0.000494202j 0.279189-0.000952527j -0.0196784+0.000267397j 0.67341-0.000143895j 0.234631+0.000462325j 0.0756365-0.000452483j 0.238988-0.000755134j -0.161357-0.000179433j 0.0146572-0.000446749j 0.0837706+1.14923e-15j -0.143054-0.000563815j 0.203192+0.000231914j 0.13125+0.000765363j 0.239603+0.00076703j -0.202293-0.000141014j -0.121402+0.000586995j 0.0397006+0.000617639j -0.0711237-0.000934434j 
0.101996-0.0014111j -0.133113-0.00138784j 0.294763-0.00188656j 0.261696-0.0010728j -0.278458+0.000682771j -0.0749041+0.00206647j 0.406773-0.00114671j 0.0280781+0.00127776j -0.26954+0.000973515j -0.344802+0.000153916j 0.0798053-0.00163407j -0.0499159+5.89422e-05j -0.276891+0.00164434j -0.143054+0.000563815j -0.183571+4.01155e-16j 0.16903+4.21125e-05j 0.0247261+0.000558447j 0.222428-3.506e-05j 0.1264+0.0013206j 0.106478+0.000659917j -0.0147185+0.00113045j -0.0618532-0.000632416j 
0.00660618+0.0016205j 0.19627+0.000483472j -0.346861-0.000781522j -0.0611547+0.00118645j -0.180666+0.000876809j -0.105532-1.49685e-05j 0.0334593-0.001005j -0.179624-0.00061112j -0.293277-0.000782658j -0.119628+2.95567e-05j 0.221039-0.000287716j -0.195978+0.000452468j -0.0297727+0.00132067j 0.203192-0.000231914j 0.16903-4.21125e-05j -0.124053+1.12025e-15j -0.073327-0.000520945j 0.353645-0.000982259j -0.102568-0.000361153j -0.494849-0.00153817j 0.0353511-0.00077972j -0.0931375+0.00148273j 
0.19105-0.00221215j -0.0928621-0.00161809j 0.324698-0.00312684j 0.0496833-0.000684807j 0.322118+0.000191005j 0.17468-0.00111113j -0.205924+0.00174751j -0.0882288+0.000441999j 0.298528-0.000978771j -0.369654+0.00142339j 0.116074-0.0010611j 0.0663842-0.00013066j -0.0357475-0.00012374j 0.13125-0.000765363j 0.0247261-0.000558447j -0.073327+0.000520945j -0.342921-4.92748e-15j 0.218493+0.000727226j 0.264739+0.000242553j -0.279931+0.000337251j 0.0182251-0.000227421j -0.0307065-0.000214151j 
0.27903-0.000383132j 0.163409-0.00159961j 0.00796487-0.00436062j 0.273911-0.00140331j -0.116231+0.000287888j -0.0408514-0.000508756j -0.097686+0.00107657j 0.00497333-0.00024607j -0.0111123-0.0013849j -0.198318+0.00064864j 0.163237-0.000896412j -0.0937102-0.000139244j 0.0339306+0.000445976j 0.239603-0.00076703j 0.222428+3.506e-05j 0.353645+0.000982259j 0.218493-0.000727226j -0.565479+3.4148e-15j 0.0840949+4.43259e-05j -0.0811782-0.000420801j -0.0102402-0.000557696j 0.0544811+0.00120267j 
0.218613-0.00257682j -0.0235744-0.0017382j 0.358154-0.00412368j 0.0384492-0.00113594j 0.0565056+0.00118203j 0.0322004-0.000290662j -0.0421113-0.00053991j -0.298926+0.00163736j 0.167074-0.000982023j 0.130612+0.000175746j 0.0986064-0.00166964j -0.343135+0.00138618j -0.100715+0.00118023j -0.202293+0.000141014j 0.1264-0.0013206j -0.102568+0.000361153j 0.264739-0.000242553j 0.0840949-4.43259e-05j -0.559725+9.45754e-14j 0.00919097-1.02876e-05j 0.0207701-6.69919e-05j 0.0400509-9.22365e-05j 
0.125724+0.00104524j 0.133506-0.00277365j 0.098371-0.00350708j 0.0725916-0.00111658j -0.575094+0.00179046j -0.0308528-5.80041e-05j -0.0391836+0.000817035j 0.280863+3.3519e-05j 0.195622-0.00127994j 0.0220821+0.000760571j -0.0929791-0.00179077j 0.0518378+0.000110111j -0.0238868+0.000783441j -0.121402-0.000586995j 0.106478-0.000659917j -0.494849+0.00153817j -0.279931-0.000337251j -0.0811782+0.000420801j 0.00919097+1.02876e-05j 0.0421989-7.02563e-17j -0.0499597-0.000383338j 0.147889+0.000425564j 
-0.386118+0.000231768j 0.724344-0.00408369j 0.356054-0.00351711j -0.0509183-0.00137771j 0.0607242+0.00295109j 0.105331-0.00109894j 0.105585+0.000641786j 0.0114112-0.000137376j -0.088361-0.000908422j 0.0213311+0.000945893j -0.020012-0.00197642j 0.0258427+0.000566345j -0.00780193+0.000163718j 0.0397006-0.000617639j -0.0147185-0.00113045j 0.0353511+0.00077972j 0.0182251+0.000227421j -0.0102402+0.000557696j 0.0207701+6.69919e-05j -0.0499597+0.000383338j 0.00494291+4.13298e-16j -0.0439593-0.000388854j 
0.640721-0.00381394j 0.40495-0.00031148j -0.204354-0.000353352j -0.151827+0.00109538j 0.233-0.00133415j -0.0829301-0.000210255j 0.20491-0.00103004j 0.137556-1.31815e-05j 0.0528415+0.000475505j 0.043237-0.000562223j -0.0759771+0.0010595j 0.0404368-7.30868e-05j -0.11383+0.000167647j -0.0711237+0.000934434j -0.0618532+0.000632416j -0.0931375-0.00148273j -0.0307065+0.000214151j 0.0544811-0.00120267j 0.0400509+9.22365e-05j 0.147889-0.000425564j -0.0439593+0.000388854j -0.059815+1.06252e-16j 
