0.702681-0.0225243j -0.0691613-0.00625563j 0.0030489-0.000820668j 0.481659+0.0183417j -0.114562+0.0099569j 0.0126497+0.0118918j 0.00903903+0.0104306j -0.0047024-0.00546085j 
-0.0691613-0.00625563j 0.896994-0.00818613j 0.0447026+0.00398052j 0.0343326+0.0109193j -0.307344-0.00981148j 0.122998-0.00323966j -0.0750884+0.00586301j -0.000639648-0.0181594j 
0.0030489-0.000820668j 0.0447026+0.00398052j 0.979977-0.00445087j 0.0143024-0.00302637j 0.125553+0.00831815j 0.0344023+0.0119295j 0.115121+0.0113403j -0.0826646+0.0217664j 
0.481659+0.0183417j 0.0343326+0.0109193j 0.0143024-0.00302637j 0.213335+0.0166512j -0.0573809+0.000163066j 0.0144978+0.0040869j 0.0185724+0.00731914j -0.00445541-0.00421505j 
-0.114562+0.0099569j -0.307344-0.00981148j 0.125553+0.00831815j -0.0573809+0.000163066j 0.0634036+0.00541086j -0.0179473+0.00187052j 0.00136076+5.92933e-05j 0.00730585+0.00738182j 
0.0126497+0.0118918j 0.122998-0.00323966j 0.0344023+0.0119295j 0.0144978+0.0040869j -0.0179473+0.00187052j -0.0308201+0.000368089j 0.0140221+0.00121282j -0.00474823+0.00206682j 
0.00903903+0.0104306j -0.0750884+0.00586301j 0.115121+0.0113403j 0.0185724+0.00731914j 0.00136076+5.92933e-05j 0.0140221+0.00121282j -0.0495485+0.00375659j 0.0187762-0.00030578j 
-0.0047024-0.00546085j -0.000639648-0.0181594j -0.0826646+0.0217664j -0.00445541-0.00421505j 0.00730585+0.00738182j -0.00474823+0.00206682j 0.0187762-0.00030578j -0.0808107+0.00897458j 
