0.882824-0.0147554j 0.027318+0.000512313j 0.00268557+0.00399496j 0.000718214+0.000125321j -0.00742242+0.000565209j 0.0127384+0.00155421j 0.00196135+0.00119342j 0.00265986+0.000386664j -0.00884734-0.00127558j -0.00357723+0.000210631j 0.00505639-2.60209e-18j 
0.027318+0.000512313j 0.901037-0.00579842j -0.0278267+0.000389137j 0.000817672+0.000611821j 0.0125404-0.00180523j -0.0239181-0.000739602j 0.0122144-0.00123102j -0.00318403-0.000201279j 0.0229702+0.00170181j -0.0186653-1.9082e-17j -0.00357723-0.000210631j 
0.00268557+0.00399496j -0.0278267+0.000389137j 0.924271-0.00115295j 0.00512488-0.000390068j -0.0171973-0.000155849j -0.016059+0.00134425j -0.00763107-0.00112979j 0.000626034-0.00139925j 0.0153702+2.64545e-17j -0.0229702+0.00170181j 0.00884734-0.00127558j 
0.000718214+0.000125321j 0.000817672+0.000611821j 0.00512488-0.000390068j 0.96162-0.00186596j 0.000281916-0.00127152j 0.00531485-0.000302531j -0.00090841-0.0013102j -0.0130266+4.33681e-17j 0.000626034+0.00139925j 0.00318403-0.000201279j -0.00265986+0.000386664j 
-0.00742242+0.000565209j 0.0125404-0.00180523j -0.0171973-0.000155849j 0.000281916-0.00127152j 0.96079-0.000868507j 0.010199+0.00069986j -0.0315777-2.88398e-17j 0.00090841-0.0013102j 0.00763107-0.00112979j 0.0122144+0.00123102j 0.00196135-0.00119342j 
0.0127384+0.00155421j -0.0239181-0.000739602j -0.016059+0.00134425j 0.00531485-0.000302531j 0.010199+0.00069986j 0.949731-8.17652e-17j 0.010199-0.00069986j -0.00531485-0.000302531j 0.016059+0.00134425j -0.0239181+0.000739602j 0.0127384-0.00155421j 
0.00196135+0.00119342j 0.0122144-0.00123102j -0.00763107-0.00112979j -0.00090841-0.0013102j -0.0315777-3.03577e-18j 0.010199-0.00069986j 0.96079+0.000868507j -0.000281916-0.00127152j 0.0171973-0.000155849j 0.0125404+0.00180523j -0.00742242-0.000565209j 
0.00265986+0.000386664j -0.00318403-0.000201279j 0.000626034-0.00139925j -0.0130266-3.06829e-17j 0.00090841-0.0013102j -0.00531485-0.000302531j -0.000281916-0.00127152j 0.96162+0.00186596j 0.00512488+0.000390068j -0.000817672+0.000611821j -0.000718214+0.000125321j 
-0.00884734-0.00127558j 0.0229702+0.00170181j 0.0153702+3.01408e-17j 0.000626034+0.00139925j 0.00763107-0.00112979j 0.016059+0.00134425j 0.0171973-0.000155849j 0.00512488+0.000390068j 0.924271+0.00115295j 0.0278267+0.000389137j -0.00268557+0.00399496j 
-0.00357723+0.000210631j -0.0186653-1.9082e-17j -0.0229702+0.00170181j 0.00318403-0.000201279j 0.0122144+0.00123102j -0.0239181+0.000739602j 0.0125404+0.00180523j -0.000817672+0.000611821j 0.0278267+0.000389137j 0.901037+0.00579842j 0.027318-0.000512313j 
0.00505639-8.67362e-19j -0.00357723-0.000210631j 0.00884734-0.00127558j -0.00265986+0.000386664j 0.00196135-0.00119342j 0.0127384-0.00155421j -0.00742242-0.000565209j -0.000718214+0.000125321j -0.00268557+0.00399496j 0.027318-0.000512313j 0.882824+0.0147554j 
