-0.103343-0.0220733j 0.00740602-0.0098239j 0.00563873+0.0210089j -0.0197235-0.068279j -0.00794396-0.0113633j -0.010587+0.0434145j 0.00664975+0.011616j -0.0137467+0.0427305j 0.000948693+0.00135755j -0.00105289-0.0166209j -0.00666705+0.064121j -0.00203337-0.0180526j -0.0313531-0.0258888j -0.0027502+0.0515693j -0.0278463+0.00521574j 0.00818353+0.00110262j 0.0166621-0.00716133j 0.0270557+0.0190328j -0.0353335+0.00562749j -0.00794636+0.00959568j 0.0295053+4.51307e-05j 0.00510057-0.0307921j 0.018505+0.00535037j 0.000989647-0.0587305j 0.0121266-0.014999j 0.0053397+0.000790097j 0.0211552-0.00884187j -0.0236388+0.0343218j -0.00860151+0.00274784j -0.00611571+0.0197406j 0.000418397-0.0034067j 0.00499387-0.0157423j 0.0190657+0.0059127j 0.00336458-0.00826609j 0.017477+0.0123007j 0.0155929-0.00770403j 0.0112619-0.0136401j 0.00824489+0.000920759j 0.0334895+0.00573326j 0.0233678-0.0134026j 0.040118+0.0155405j -0.0240864+0.00674966j 0.00287363-0.0146305j 0.00826135-0.0125516j 0.0133901+0.00436665j -0.0115768+0.0414389j -0.0099139-0.0160539j -0.0288175-0.0476373j -0.0272846-0.0332463j 0.00231288+0.00188381j -0.0195473-0.0375804j 0.00396444+0.00722946j -0.035738-0.0094682j -0.00601572+0.026323j 0.0276503-0.0204925j 0.0131807+0.00725621j -0.0205343-0.00657732j 0.0285252-0.0247685j -0.0666104-0.00941624j 0.0267662-0.0186956j -0.0483671-0.000858845j -0.143936+0.0601445j 0.0347826+0.0299898j -0.0501648+0.0353607j -0.0540214-0.00458902j -0.0422406+0.012077j 0.0486433+0.00486318j 0.0252496+0.0226268j 0.0269738-0.0317475j 0.0123259+0.00928721j -0.0410695-0.0318399j -0.012758-0.0193054j -0.0038736+0.00185121j -0.0239913-0.00227594j -0.0631963-0.0187279j 0.0838739+0.0072995j 0.00159205-0.0151325j 0.0813426-0.0157403j 0.0218288-0.0747783j 0.00564777-0.00957952j -0.00165863-0.0617428j 0.103509+0.0371935j -0.00391574-0.0953117j 0.0349369+0.0632803j 0.00141046-0.0643448j -0.0430567-0.0831393j -0.112354+0.0521966j 0.0561961-0.0882701j 0.120432-0.0143767j 0.0587794-0.19015j 0.25924+0.148197j -0.116165-0.198498j 
-0.00323414+0.00166744j -0.107309-0.00674388j -0.0331201-0.0805065j -0.0159991-0.0129812j 0.0151974-0.0075443j -0.00728733-0.020445j 0.0192178+0.0202115j 0.011454+0.0257416j 0.026715-0.0358209j 0.0244831-0.00168527j -0.0314682-0.0102898j 0.028506-9.60268e-05j -0.0243432-0.016719j -0.0414566-0.00498167j 0.00330485+0.00614994j -0.000677682+0.00930025j 0.0137002+0.0328627j 0.007639+0.0233315j -0.00731056-0.0166438j -0.00271543-0.0204601j 0.0128492+0.0096889j 0.0118865+0.0134819j 0.0117544-0.00570866j 0.0157514-0.0108048j 0.0158311-0.019912j -0.0207728+0.0123399j 0.010476-0.00624542j 0.0166492-0.0424807j 0.0335979-0.0514542j -0.00892107+0.0142765j -0.0113184+0.0235082j 0.00404299-0.000746155j -0.0055845-0.0105671j 0.0230819+0.00231668j -0.0151539+0.0175155j 0.000589215-0.00941057j 0.0176139+0.0189438j -0.0091944+0.016674j -0.00684682+0.0309694j 0.00210458-0.00232984j -0.0256266-0.0188425j 0.017726-0.0209849j 0.0221209-0.0130862j 0.0205944+0.00373906j -0.0116501+0.00588807j -0.030752-0.00125457j 0.0206155-0.0145223j 0.0588-0.0453603j 0.040881-0.00953405j -0.0036849-0.0199496j 0.0530087-0.00979891j -0.0212596+0.0353625j -0.0337042-0.0423439j -0.0479459+0.0101997j 0.0281475+0.01069j 0.00728521+0.0217533j -0.00968416-0.019869j 0.019594+0.00971759j 0.0176065-0.0722634j -0.0021688+0.0190912j -0.0252884-0.0908951j -0.0312448-0.0475809j -0.0195416+0.00604888j -0.0342441-0.0422275j 0.0121666-0.0297963j 0.0281632-0.00603074j -0.0488093+0.0465572j -0.0163918+0.0114417j 0.0164717+0.0050521j -0.0330885-0.0170723j 0.038614+0.0289031j -0.0335821-0.0272213j -0.0394052+0.0104872j 0.00896706+0.00832911j -0.0245123-0.0298336j 0.06579+0.0813564j 0.0444815-0.0225047j 0.0412834+0.0777535j 0.0103588+0.0165038j 0.0934905-0.0149376j 0.0533927-0.00956287j -0.0792575+0.0874749j 0.0771432+0.0244215j -0.0498966+0.0486942j 0.0179978+0.038358j 0.0558163-0.0918256j 0.053331-0.0849329j 0.182931+0.0272361j 0.0491006-0.181306j -0.0529256+0.0465732j -0.126856-0.182338j -0.263581-0.14873j 
-0.0168752+0.00369472j -0.0872548+0.0107765j -0.00514023-0.007675j -0.0193596-0.000813923j -0.0291713+0.044167j -0.0311958-0.0404449j 0.0456044+0.0570573j -0.00532114-0.0204967j -0.013389-0.00348106j 0.00425011-0.00467393j 0.0162445+0.0617767j -0.0153164+0.0919821j 0.0406555-0.0847394j 0.00484464-0.0142617j 0.0773326-0.00350473j 0.0639981-0.046696j 0.0538379-0.0306504j 0.0348516+0.0157631j -0.0525948-0.0678828j -0.124506-0.0179618j -0.00136861+0.0499599j 0.0262714+0.0552782j 0.0640715+0.0319969j -0.0462533-0.0512955j 0.0581187+0.00470558j -0.0527849-0.0240693j 0.00301584-0.0118576j -0.0187841-0.00888079j 0.0148969+0.0471705j 0.0119884-0.0857782j 0.0119386+0.0652665j -0.0242676-0.0216357j -0.0226597-0.0411804j -0.0414831+0.0539803j -0.0616008+0.00344308j -0.0394009-0.0117603j 0.0070498+0.0245332j 0.0501335+0.0375866j -0.0134265-0.0260272j 0.0210697+0.00766389j 0.0135375+0.0219947j -0.00527131+0.0136388j -0.0361558-0.0773317j -0.0238932+0.0072369j 0.0193304-0.0297971j -0.0397566+0.00614373j -0.0419336-0.00269468j 0.0257794-0.0491849j -0.0391813-0.0108022j 0.023446-0.130309j -0.148251-0.0234218j -0.0298579-0.0292245j 0.0444805+0.0232939j -0.0928432+0.0155745j -0.0433356+0.0107642j 0.0530658+0.0536962j -0.128143-0.104253j 0.010668-0.0234327j 0.0609038-0.0332924j -0.00812106-0.0569547j -0.0951973+0.0022885j 0.0190858-0.0500425j 0.151494+0.0807251j -0.0233885-0.0469411j -0.0103393-0.0486308j -0.0631292+0.0438141j -0.0197134+0.0314705j -0.0322566-0.00723778j -0.0175319-0.019564j 0.0359895-0.110518j -0.00144886+0.0524933j 0.0598401+0.0443474j -0.0381171+0.00535433j 0.053784-0.020849j -0.0270035+0.00538429j -0.0680321+0.0212007j 0.0910492-0.0644177j 0.0561385+0.0546491j -0.0910386+0.0451009j 0.113624-0.0347485j 0.00736295-0.0702964j 0.0966338+0.0335856j 0.0495459-0.070046j 0.0260572+0.126529j -0.135329+0.00724006j -0.0416665-0.0562071j -0.0804826-0.0121498j -0.0571432+0.0895852j -0.0296543+0.0077049j -0.214851-0.0706451j 0.098732-0.0708547j -0.123481-0.133372j 
-0.0788056+0.0255237j 0.0275883+0.0119509j 0.0197653+0.0114463j 0.0413522-0.00758323j -0.0174178+0.0298911j 0.0675959+0.0396605j 0.0083825+0.0335659j 0.018786-0.0210746j -0.0508996-0.117087j 0.044745+0.046384j 0.0104572-0.0218617j -0.0449923+0.015126j -0.0646111-0.0398439j 0.000695365+0.0778226j -0.0311264-0.00724265j -0.0235731-0.00871023j 0.00678783-0.0865404j -0.00377175-0.0686194j -0.0321708+0.0441554j 0.0301781+0.0487815j 0.0772187-0.00443517j -0.0280851-0.00841981j -0.064141+0.0528468j 0.0425447-0.00553951j 0.0394245+0.0606666j -0.0307288+0.0324499j 0.0388852+0.0134401j -0.0171451+0.00183014j 0.0502718+0.0665499j 0.059112-0.0128311j 0.055633+0.0292979j -0.0475669+0.0420188j -0.00104036+0.0152775j -0.0158152-0.0117307j 0.00140953+0.00966156j -0.0290838+0.0229084j 0.100383-0.0211206j -0.045005-0.02925j -0.00523057+0.0555389j -0.0176256+0.00937588j 0.0577886-0.0041546j 0.0646695+0.0300643j -0.0231795+0.0287875j 0.0182976+0.0173571j -0.061068-0.0228668j 0.0151296+0.0829232j 0.0121107-0.0198774j -0.0318229+0.00212738j -0.0037895+0.0490408j -0.0818663+0.0518131j -0.046672+0.0233176j 0.0158867+0.0568009j -0.0323832-0.034176j -0.00107731+0.00824651j -0.0351368+0.00773963j -0.00261851-0.054206j -0.0188928+0.103485j 0.00831032-0.00381593j -0.00509117-0.0443886j 0.0307111+0.018816j 0.065331+0.102752j -0.0309255-0.00792649j 0.0133763+0.0108602j -0.0515539+0.0538281j -0.108265-0.0551907j -0.0381498-0.00982568j 0.0631938+0.00794212j 0.0219785+0.0303996j 0.0267036+0.00660748j -0.0169434+0.0130505j -0.0138926-0.0478705j 0.0251799-0.0606067j 0.0405581-0.00687014j -0.112325+0.00109703j 0.0179938+0.0114317j -0.0266548+0.132443j 0.00939257-0.0637172j -0.0302001-0.0588394j 0.0742191+0.112827j -0.0271459-0.0740013j -0.102545+0.0381793j 0.0547059-0.1038j -0.0580788-0.106849j 0.0350753-0.0733357j 0.0834472+0.0729278j 0.0537624-0.0952781j 0.00649752+0.0249411j -0.0469382+0.00539514j 0.177218+0.139907j -0.0894103+0.0857411j 0.148114+0.120042j 0.0873617-0.0941673j 
0.0465969-0.0122074j -0.0467211+0.00877193j -0.0360491-0.0413818j 0.0188331+0.0271452j 0.0574508-0.0364035j 0.0269104-0.0325315j 0.00795966-0.0781298j -0.000804454-0.0180721j -0.0677769+0.086363j -0.0842408+0.0436084j -0.00871065-0.151007j 0.127637+0.028768j 0.0181254+0.0632094j -0.0396826-0.130259j 0.0508818+0.139274j 0.0223777+0.0959683j -0.0226545+0.0806436j -0.028796+0.0720078j -0.000365334-0.0269506j -0.078337-0.0221148j -0.0433524+0.187703j 0.0704785-0.0113569j -0.0251007-0.0477348j -0.0957294-0.0349598j -0.148442+0.0630418j -0.0400477-0.0166413j -0.00990076-0.0156516j 0.0671384+0.0865906j -0.0249188-0.0260534j -0.0218447+0.0261728j -0.00690893-0.0557363j -0.0237125+0.133443j 0.00684778-0.0546384j 0.0328318+0.0171032j 0.0525391+0.0182565j 0.0271826+0.0993569j -0.0563198-0.0194763j 0.12907+0.154548j 0.0406361+0.00169611j 0.0316562-0.151682j -0.0357603+0.0280656j 0.0916151-0.0553779j 0.0195939+0.0747117j 0.00649002+0.0120829j -0.0523977+0.0306015j -0.0464759-0.0795481j 0.00237018-0.0728444j -0.116891+0.119275j 0.0787654-0.0863241j 0.0563442-0.16897j 0.0178717-0.100207j 0.0540112+0.00361771j -0.066647-0.0128672j 0.0959816-0.112257j 0.132259+0.033535j 0.0427956-0.0387266j 0.000255453-0.0214304j 0.0625779-0.0505919j -0.038854-0.0459956j -0.123152-0.0619637j 0.0573328-0.0196024j -0.0158135-0.00519732j -0.0602654-0.115882j 0.00608992-0.0115793j 0.0179165-0.0612242j -0.0106194+0.0658342j 0.0338525+0.0131492j -0.0377846+0.0315184j 0.0587242-0.0183241j -0.0986177-0.0573081j 0.0802485+0.0232331j 0.00532492+0.0265863j 0.0524954+0.00518011j -0.0725954+0.00345016j -0.0224709-0.014794j -0.101086-0.0155412j -0.0187079+0.000222579j -0.00335249+0.024345j 0.0237611+0.0488402j 0.0671618+0.026095j -0.0445474-0.0116667j 0.0127083-0.0112813j -0.014974+0.0614683j -0.0156292+0.0322084j 0.00893104-0.00863183j -0.106678-0.107996j -0.120024-0.108103j -0.0451476-0.00119954j -0.0414637+0.010469j -0.0908886+0.0753653j 0.00087668-0.0121511j 0.0274009-0.034874j 
0.0147094-0.0230463j 0.0159852-8.38459e-05j -0.0316991+0.0662823j 0.00728845-0.0420133j -0.0295658+0.0600571j -0.0109295-0.0317548j 0.0610472-0.0706451j -0.0501464+0.0352492j -0.0893818+0.0172392j 0.018626+0.0507678j 0.0893013+0.107538j -0.134802+0.0492989j 0.0436196-0.0369392j 0.0214451-0.0105518j -0.0829514+0.0734834j -0.13577+0.067386j -0.0280216+0.0189395j 0.0882077+0.0290637j -0.0356632-0.0722356j -0.062812+0.037942j 0.0691249+0.0637595j -0.0409618+0.0834994j 0.00454766-0.0236637j 0.00631229-0.104026j 0.102256+0.00850725j 0.00525577+0.0638198j 0.0621969+0.00298333j -0.0641434+0.0650474j 0.0135872-0.0496113j 0.0382783+0.0139986j 0.0939465+0.00222696j -0.0323311+0.015652j -0.0570975-0.0255665j -0.0334228+0.0751244j -0.0315426-0.022047j 0.0142359-0.0680167j -0.00672577+0.0201433j 0.0242149+0.133489j 0.0856528+0.0190309j 0.0170972-0.0787398j 0.0162019-0.0655459j 0.0664328+0.0161587j -0.0159098+0.023029j 0.124933+0.0679691j -0.0514436-0.122145j -0.0783158+0.0257154j -0.183943-0.152628j -0.0186985+0.0966332j 0.0344145-0.143839j -0.0216521-0.0997806j -0.195126-0.0695778j -0.0370816-0.0233248j -0.0306152+0.0716595j 0.0159427-0.00122898j -0.0213861+0.0107365j -0.044211+0.0366582j -0.0942256-0.187586j 0.0246712-0.0962184j -0.0190532-0.0197407j -0.0594077+0.0275583j -0.00941758-0.0756236j -0.111468-0.0664512j 0.15242+0.18935j -0.00281952-0.00940039j 0.0111258+0.0661156j 0.0335921+0.0177073j 0.0151209-0.0274592j 0.0480114+0.0387841j 0.0198471-0.0175974j 0.0214338-0.0240379j 0.00940586+0.0151828j 0.00324131-0.0203815j -0.0395387-0.0419132j -0.0231523-0.00764504j 0.00269022-0.0286249j 0.0683026+0.0185345j -0.0863438+0.013753j 0.0459756+0.0342213j 0.0423788-0.0197908j -0.0461032+0.00219869j -0.00847418+0.0176278j -0.0668441+0.0118325j -0.0466452+0.0333802j 0.00294795-0.0256831j 0.0188117-0.0158385j 0.0117432+0.0135369j 0.0211935+0.0218992j -0.0241104-0.0259605j 0.0182528-0.0320557j 0.0500665-0.00788252j -0.046228+0.019015j 0.00930309+0.00107229j 
-0.00272687+0.0228811j -0.071522+0.0417093j -0.0177185-0.0289306j -0.0237017+0.0192827j 0.0972206+0.0573579j -0.0625645+0.0113984j 0.0229148+0.00218734j -0.0178518+0.000869718j 0.00728686-0.00665159j -0.0934631-0.136477j 0.0470818+0.0206664j -0.0687434-0.0385801j 0.179218-0.0218749j -0.00546425-0.0871069j -0.101571-0.0302326j -0.128574-0.0328511j -0.0617223+0.13953j -0.0106642+0.111076j 0.0941937-0.0681107j 0.0970693+0.0195255j -0.0385354+0.0179889j 0.0731924+0.0132555j 0.00458309-0.0640661j -0.0668842+0.0579585j 0.0111346-0.115886j -0.0206998-0.0370844j -0.0344686+0.0183026j 0.0334782-0.0973161j 0.0402643-0.000997228j -0.0153239+0.0611699j -0.060449+0.0729877j -0.0239161+0.030216j -0.107772+0.0629525j 0.0849296-0.0926187j -0.0473839+0.0606524j 0.0420671-0.00255611j -0.0752017+0.017226j -0.0508156-0.0892006j 0.0527381+0.0326933j -0.15151+0.137478j -0.0099093-0.0983769j -0.0311144+0.0140486j 0.0730754+0.00748837j -0.089324+0.0351786j 0.0488048-0.0748185j 0.0500698-0.0665857j -0.0224618-0.0370309j 0.0618766-0.0428136j 0.0372529-0.0496815j 0.0476012+0.0794059j 0.0831617+0.0447142j -0.0777083-0.109423j 0.0137898+0.0079996j -0.0493333+0.0672898j 0.0769408-0.0682668j -0.0027007+0.0223191j 0.130343-0.00331371j -0.0057044+0.0394561j -0.0443375-0.183176j -0.0336653+0.0614505j -0.059972-0.00693695j 0.0072343-0.0368755j -0.0221762-0.0580134j 0.0498335+0.021725j 0.0898401+0.0463345j 0.0335497+0.012795j -0.0305295+0.0313778j 0.029199+0.0298473j 0.0354993+0.0425641j -0.107666-0.0827292j -0.000370133+0.0438372j 0.0363856-0.0174258j -0.0949287+0.0184828j 0.00947729+0.0200377j 0.0821074-0.0063869j 0.00496063+0.0138402j 0.00204415-0.0145719j -0.0215697-0.0493985j 0.0295258+0.0186626j 0.0191922+0.00324105j -0.0256687+0.0408482j 0.0552818+0.0517483j -0.0281714-0.0581863j 0.0869284+0.00212942j -0.0539717+0.0159778j -0.0221953+0.0103122j 0.0515091+0.0205005j -0.0208882-0.0261564j 0.0257212+0.0212815j -0.0291756-0.00491828j 0.0135643-0.0145887j -0.0230328-0.0377123j 
-0.014055-0.0105868j -0.000198882+0.0123876j 0.00460844+0.00552836j -0.0229859+0.00677324j 0.0140787-0.0123707j 0.0164541+0.0292816j -0.028461+0.0301045j 0.0076532+0.0338306j 0.0374897+0.09023j -0.0567185-0.0477967j -0.0357017+0.0444741j 0.108542-0.00923993j 0.0201978-0.0228035j -0.0449327-0.00254423j 0.123627+0.0224571j 0.0965452-0.0820287j -0.0621941+0.123691j 0.0593227+0.0730816j -0.0407427+0.0456702j -0.173506-0.142032j 0.0195832-0.00948785j -0.0218596+0.115983j 0.0649201-0.0892542j -0.0225438-0.0390329j 0.0632819+0.0267453j -0.0534321+0.0159124j -0.0727782-0.0898401j -0.0105265+0.0118274j -0.0875105-0.0704519j -0.0366082-0.0369821j -0.0537167+0.00289393j 0.0415643-0.0148471j 0.0192976-0.0649782j 0.0703325-0.0335513j 0.00935137+0.0596863j 0.0498558+0.0343607j 0.0355871-0.0307706j 0.0163451+0.058005j -0.100415-0.0654446j 0.0346902-0.0107512j -0.0686128+0.00863653j 0.0384944-0.0107795j 0.00656516-0.113816j 0.0161869+0.0218325j 0.0628435+0.011897j -0.0314321+0.0296976j 0.0015247+0.00841023j 0.103439+0.0815709j -0.054716-0.0390847j 0.0368176-0.095231j 0.0195369-0.0603125j 0.0283813-0.0360589j -0.00242404+0.000459011j -0.0422368-0.0351398j -0.0279925+0.0402496j -0.0124749+0.142083j -0.0328706-0.0391652j 0.0452927-0.0206413j -0.0657011-0.0609372j -0.00482704-0.0912475j -0.0273109+0.0118503j -0.0294431-0.0466969j 0.0189802-0.0401531j 0.0637973+0.0985294j 0.0421054+0.0967756j 0.0597782+0.060595j -0.0822206-0.0173516j -0.00835384+0.00783786j 0.0371585+0.0398087j -0.103192-0.0548865j -0.120756-0.00651788j 0.0275741-0.033428j -0.0735613-0.0112337j 0.240624+0.000956143j 0.0404562-0.0323428j 0.0641337+0.0425991j 0.0137661+0.00289507j 0.0606277-0.0301406j 0.0527473+0.0428943j -0.0161178+0.00479985j -0.0177752+0.0457889j -0.0287004-0.0731542j -0.0676873-0.0227746j -0.0043827-0.0649237j 0.127913+0.038655j 0.0258415-0.0592321j 0.0981158+0.0461931j -0.028174-0.0443361j 0.0535395+0.0179016j -0.00490065+0.0475625j 0.00512772+0.0666792j 0.0667155-0.00401311j 
0.0783647-0.0437445j 0.010828+0.0122769j -0.0638728+0.0222085j 0.0439867-0.000589765j -0.0299454-0.0953053j -0.045944+0.00264379j -0.0211861+0.00575589j -0.115232+0.0600053j -0.0368333+0.11743j -0.0672702+0.124212j -0.0215854+0.0558769j 0.0290995-0.0352231j -0.0960908+0.0173973j 0.0358836-0.0289967j -0.0611418+0.0295556j -0.165181-0.0381745j -0.124826+0.0901876j -0.10426-0.0926439j 0.0903581+0.0460836j -0.0014103-0.085661j -0.0510855-0.0694392j -0.140237+0.0403856j -0.0709186-0.0510677j -0.0454284+0.0332972j -0.0208417+0.0138172j -0.00691933+0.0322213j 0.00252887-0.00197601j -0.0434268-0.00511745j 0.0561285+0.013189j 0.0838434+0.0474617j -0.0607942-0.0683812j 0.042851+0.0263864j 0.0524896-0.0501891j -0.0678339+0.00271024j -0.00192138-0.0708752j -0.0555249+0.181186j 0.163798-0.00399428j -0.113379-0.00996335j -0.0567968-0.0145769j 0.0951944-0.00572816j 0.0656843+6.55507e-05j -0.0210751-0.0436667j 0.00479252+0.167424j 0.0227017-0.0113803j 0.0595327+0.0136592j -0.0307521+0.0330155j 0.0360126+0.00959328j 0.0319949+0.0794977j 0.0182009-0.0439722j 0.00848708+0.0793038j -0.0894438+0.0282595j 0.0653874+0.0355461j -0.0295402-0.00355626j 0.12053-0.0354342j -0.0316384-0.0522684j -0.0690361-0.0721573j 0.0236095-0.00750584j -0.0438926+0.0491899j -0.067949-0.0279808j -0.057097-0.025734j -0.0163441-0.0393843j 0.0155492+0.0783293j -0.0520392-0.0408694j -0.0553671-0.0643898j -0.0365493-0.0255074j -0.0638631-0.0437856j -0.0135316-0.0143129j -0.003295-0.0356435j 0.0126436-0.0134192j -0.0248388+0.004527j -0.0392627-0.0218745j 0.139453-0.034484j -0.131344+0.0278453j 0.0979504+0.0685743j 0.079569-0.00872202j 0.0159085+0.00425304j -0.0533429+0.0421307j -0.0298978+0.0336886j -0.122935-0.0180476j 0.054681+0.0153119j -0.0318492+0.0220274j 0.0574203+0.0550583j 0.0177471+0.060021j 0.00706677+0.0310272j -0.0575014+0.00261967j -0.0663086-0.0292147j -0.118476-0.0606294j -0.0615121+0.0406341j -0.0449278-0.0361175j -0.0396568+0.0408032j -0.00338343-0.0243862j 0.000639367-0.0163805j 
0.0355901-0.00253739j 0.0244444-0.00940432j -0.0257488+0.0112876j 0.0616224+0.0147187j 0.00531123+0.0390401j 0.0729892+0.0537337j -0.0784932-0.0177574j 0.0832987-0.0163738j -0.0205098-0.0630717j 0.0607048-0.0528742j 0.0465287-0.0605019j -0.0372941+0.0219264j 0.0601204-0.0621254j 0.030949+0.122095j 0.00332956-0.0711482j 0.0448152-0.0842478j 0.063099-0.00738986j 0.0420647-0.0056007j 0.047911+0.0750123j -0.0882852+0.0317992j 0.04854-0.0893306j 0.0227287+0.0304969j -0.0267697+0.0227785j -0.067257-0.0189101j 0.0100749+0.00510683j -0.0822962+0.0793022j 0.049489+0.0692296j 0.015526-0.0133753j -0.0390365+0.0685162j -0.0465559+0.0271566j -0.0163222+0.0197946j 0.0205855-0.00810672j 0.0184297+0.0415598j -0.00431295+0.0152262j -0.0902916+0.0633193j -0.059168-0.000976993j 0.0446968-0.0319425j -0.0419297-0.148359j -0.00960901+0.00131261j -0.127152+0.133857j -0.00475814-0.077372j 0.0399675+0.0135043j -0.00286842-0.0612274j -0.0880259+0.0167261j 0.0444606-0.0398858j 0.0634723-0.0278714j -0.0236131+0.129009j 0.0305948-0.100659j -0.0278698+0.117872j -0.0255663+0.0103908j 0.062362-0.0565629j 0.034172+0.0425443j -0.105069+0.0016139j -0.0226257-0.104335j -0.0560048+0.0214708j 0.00206219+0.0681232j 0.0518873+0.00474495j 0.0519208-0.0680866j -0.0407398+0.0857677j -0.0384194-0.00664221j -0.0495821-0.020947j -0.00557448-0.0395547j 0.0671722-0.00900288j -0.0588921+0.0229643j -0.0601844-0.0539312j -0.116902+0.0976031j 0.0330151-0.0331135j 0.0528119+0.0457765j 0.00122135-0.0559216j 0.0544173+0.0324311j 0.0215559+0.0569203j 0.0201609+0.0243124j 0.0476685-0.034187j 0.0328208-0.0100052j 0.00199645-0.0662777j 0.00739439-0.0120878j -0.0921655+0.0344964j 0.0479572+0.117445j -0.0465094+0.0736172j -0.0149856+0.0218826j -0.0206809-0.0672888j -0.0626098-0.0251052j -0.0244714+0.158452j -0.0898859+0.0932797j 0.00358689-0.04302j -0.137319-0.177469j -0.235823-0.184442j -0.113171+0.0605542j -0.0854379-0.0500272j -0.0670451+0.137981j -0.0366418-0.0186346j 0.0678529-0.00988663j 
0.0135257-0.00648705j 0.0555158-0.0136181j 0.0478331+0.0548135j 0.0142874+0.0163765j 0.0249728+0.0767436j -0.0470433-0.0319692j 0.0644705-0.00878894j -0.0370682+0.0608583j 0.0269336+0.0757906j -0.128351+0.071991j 0.0656127+0.10181j -0.108669-0.0139698j 0.0403571-0.00842412j 0.000428179-0.0327937j 0.00662978+0.00158103j 0.0225807-0.0126553j -0.0567416+0.0144069j -0.0306864+0.0272167j -0.040387+0.0334198j 0.0573636-0.0690086j -0.111435+0.0670171j 0.00511093+0.0513861j -0.0847118-0.0645446j -0.0608364-0.0806212j -0.0928656+0.0213847j 0.0300878-0.023976j 0.0961176-0.0159281j 0.00508801-0.00184764j 0.04607+0.00867741j 0.0175084-0.0380653j -0.0140417-0.0708614j -0.0447532-0.0067044j -0.0574917+0.0770347j -0.0548342-0.0572342j -0.0295046+0.00481941j 0.0216504+0.00552977j -0.0280364+0.0125096j 0.0106719+0.0672466j 0.00898538-0.0278248j -0.0593337-0.0611737j -0.0617812-0.0426842j 0.0216261+0.0117607j -0.12229-0.0260665j 0.025359-0.088271j 0.0311875-0.0135808j 0.0065715-0.0814141j 0.00110788-0.0370021j -0.0664804-0.0217911j -0.00338359-0.0141816j -0.0137819-0.0259883j -0.10297+0.0329003j 0.032079+0.0193934j 0.13164-0.018822j 0.0872997-0.0154211j -0.0138308+0.110044j -0.0302659-0.010896j -0.094568+0.156919j -0.0596988+0.062825j 0.0808503+0.00820857j 0.0126211+0.0654684j -0.00889294-0.0347055j 0.0599294+0.0220499j -0.0446335+0.0371638j -0.0568629+0.0332272j -0.0177541-0.0673847j -0.0551263+0.0745647j 0.056734+0.0503295j -0.012279+0.0622131j -0.0198339+0.00756875j 0.0776175+0.189027j -0.0772824+0.0266867j 0.152653+0.0336407j 0.00671649-0.0175987j -0.00873191-0.0577618j 0.084142+0.0289922j -0.0342627-0.105803j -0.0429616-0.0927206j 0.117905+0.00576537j -0.0310962-0.0167079j -0.0986066-0.033455j 0.0516623-0.0981307j -0.0572325-0.057358j -0.074335+0.0399654j -0.0180284+0.0311922j -0.0320966+0.0223298j 0.00594933-0.00956458j 0.000949849-0.0181863j 0.131355+0.0820411j -0.00628024+0.112119j 0.07839-0.0200287j 0.0592669+0.0203962j 0.0614337+0.0561432j 
