-0.109719-0.04327j -0.0893515+0.0264018j 0.0123306+0.081107j 0.034663+0.0516769j 0.00553318-0.0173219j -0.00420781-0.00928238j 0.0585697+0.0424719j 0.0516931-0.0148583j -0.0189852+0.0359188j 0.00376898-0.095341j 0.0081267+0.0699073j -0.00177505-0.00174344j 0.0411027-0.0210695j 0.0295997+0.00379925j 0.0602346-0.00305593j 0.0049493-0.00373198j -0.0254317-0.0411495j -0.0417758-0.0483478j 0.013815+0.0450345j 0.00909944+0.05542j -0.0145961-0.00850476j -2.00481e-05-0.0434341j 0.0409644+0.00775584j 0.01593+0.0472802j -0.0215134+0.0133378j -0.0111253+0.00447492j -0.000823691-0.00816415j 0.00948442-0.0427418j 0.0188417-0.0143878j 0.0142437+0.00301392j -0.00481757-0.0437845j -0.0113337-0.0443229j -0.0838426+0.0930865j -0.0198825-0.014296j -0.0251458+0.0263235j 0.0129843+0.0235967j -0.0253634+0.0133598j 0.077499-0.0521845j 0.0730263+0.0548201j 0.0227097+0.0127543j 0.0345279+0.0592812j 0.0559049-0.0458784j 0.134466+0.0374424j -0.0707067+0.0589079j -0.0193651-0.0648129j -0.120296+0.0250437j -0.052473+0.00177777j -0.0128573+0.0547703j 0.0522238+0.00778302j 0.00609493+0.0380294j -0.0391513-0.00537286j -0.00765489+0.0280053j 0.0901793+0.0588977j -0.0912678+0.0755777j -0.0827017+0.0180552j -0.00175374+0.0999511j -0.0983679-0.0373996j -0.0306598+0.00604226j -0.145348-0.0883692j -0.0264909+0.0080713j 0.101694-0.0680922j -0.0807506-0.0373573j 0.00315612+0.0834824j 0.0709317+0.0308623j 0.0225041-0.0890185j -0.0562501-0.00258746j 0.0443952-0.215283j -0.243088-0.0816056j -0.220521-0.290069j 
0.0702973-0.0157835j -0.109608-0.0068561j -0.00208792+0.00171941j 0.0329864+0.0696139j 0.0261148+0.0105025j -0.00499237-0.0352948j 0.0378105-0.0377386j -0.00398447+0.00972855j 0.0491425+0.0129201j -0.0507679-0.046623j 0.00312467-0.0192968j -0.0284837-0.034323j -0.0505074-0.0663174j 0.00179317-0.0328152j -0.0189758+0.000304568j 0.0359466+0.035289j -0.0290568+0.0378427j 0.0103984+0.00047935j -0.00953615-0.059394j 0.0359033-0.0582343j -0.00178446+0.0159339j -0.0192364+0.0424629j 0.0649465+0.0136229j 0.0340864-0.00497431j -0.00353823-0.0176013j 0.00938932+0.0217284j -0.0374362+0.035156j -0.0511313+0.0114379j -0.0223025-0.0286425j -0.0222182+0.00956159j -0.0742017+0.0160686j -0.0712661-0.000621394j 0.013742+0.0276838j -0.0108816+0.0325498j -0.039615+0.0296994j 0.00657048-0.0270135j 0.0265139+0.0416698j -0.0666782-0.115216j 0.0642252+0.000646696j -0.0223356-0.0187265j -0.00993606-0.0143852j -0.0802551-0.0984752j -0.00925387-0.0410791j 0.00322987-0.00960091j 0.0296289-0.0143549j 0.00483333+0.0171417j 0.0998301-0.00534312j -0.0349626+0.0431081j -0.00726521-0.0208229j -0.0270336+0.0122553j 0.00172826+0.00421261j 0.0268032+0.00784427j 0.0554492-0.0637883j 0.00265568+0.106615j 0.0436092+0.0710662j 0.170953+0.0248094j -0.0105758+0.0175097j -0.062081+0.0131264j -0.0657279+0.148127j -0.0347502-0.0638368j -0.0741955-0.0377038j -0.0332864+0.0745513j 0.204945-0.00110702j -0.0710061+0.125181j -0.034952+0.0623369j -0.00361109-0.135778j 0.0552063-0.0335978j -0.226078-0.296954j 0.24644+0.0979434j 
-0.0402629+0.0280331j 0.0230054+0.00544089j -0.0195486-0.00277922j 0.015433+0.0373901j -0.00869715+0.00899441j 0.00970989-0.039418j 0.127647+0.178123j -0.000510789+0.0667572j 0.0788611-0.187595j -0.0677036-0.143974j -0.0741161+0.13733j 0.0526927+0.0937311j 0.0614988-0.00393513j 0.0342384-0.048907j 0.140628+0.0119169j 0.069821-0.0591397j 0.0615734-0.00126145j -0.0701364-0.0207298j -0.0458582+0.0983462j 0.0148844-0.0139515j -0.0147282-0.00646811j -0.0264562-0.0355053j -0.0992152-0.0628004j 0.00339203-0.0476029j -0.098977-0.00369006j 0.0224114+0.0354394j -0.0356866+0.0407202j 0.087115+0.0341982j 0.143977-0.0582223j 0.119227-0.085317j 0.0617419-0.00810775j -0.0797332+0.0499049j -0.033105+0.0764737j -0.127582-0.0523282j -0.135848+0.0957214j 0.0892989-0.0795075j 0.0863808-0.0641418j 0.0294923-0.0420267j 0.0469091+0.129312j -0.0138048-0.082003j 0.0900857+0.0817593j -0.0796743-0.00336836j 0.153026+0.108514j 0.104805-0.00990331j -0.0415002-0.038223j -0.0746094-2.8517e-05j 0.0259908-0.0145722j 0.0388023+0.00973083j 0.0135208-0.00998322j 0.0291424+0.00407658j -0.0422651-0.0291645j 0.0879936+0.0236093j -0.0252358+0.0080522j 0.0566316-0.00822858j 0.0122465-0.0838648j -0.00661271-0.0161355j -0.0408698-0.0220159j -0.0360744-0.00237869j -0.0153648-0.0327301j 0.0247133-0.0196096j -0.0216182-0.0147758j 0.0184984-0.00355367j 0.0270855-0.058896j 0.0302546-0.0245407j 0.00234721-0.00673445j 0.0281753-0.0401375j -0.101129-0.00595324j 0.0260607+0.0420383j 0.0022444+0.00989513j 
0.0136611-0.0510355j -0.0960398+0.0474143j -0.0484095-0.0194981j 0.0605756-0.0220439j 0.0714169+0.0520869j -0.0480514+0.09633j -0.0419175+0.0164692j 0.0781815-0.0337449j 0.0454855+0.231835j 0.0656504-0.19802j 0.0487427+0.0354638j 0.0181121-0.0429084j 0.125817-0.112936j -0.0286531-0.0385867j 0.134001+0.0255307j 0.0665824-0.0341288j -0.108656+0.052013j -0.0537471+0.00461727j 0.0432162-0.0417432j -0.0143399-0.0906197j 0.137794+0.104823j -0.0133774+0.072083j 0.0101456-0.0670817j 0.132121+0.0952166j -0.0249712-0.00685152j 0.162863-0.0660598j 0.0150392+0.0113708j 0.0751613+0.0310343j -0.174503-0.144445j -0.0984135-0.0308094j 0.0692726-0.102571j 0.0482917+0.0417394j -0.0627851+0.0488737j -0.0742082+0.00593712j -0.0247104+0.0681819j 0.0162131+0.0139548j 0.10421-0.0455663j 0.00648354-0.0703067j 0.0294829+0.0304735j 0.0123696-0.000319846j -0.0652925-0.0627701j -0.0922678-0.0367144j 0.0788364+0.0542604j -0.0990468-0.00588613j 0.0224289-0.022658j -0.0400341-0.00866417j 0.0624699+0.0159902j 0.00737992+0.0312858j 0.0469742+0.055055j 0.0257711-0.0584351j -0.0996925-0.0207424j 0.0884359-0.0147757j 0.0112675+0.00497313j 0.0397223-0.0033046j -0.00807711-0.0482741j -0.0257105-0.00337067j 0.0298657+0.0271643j -0.0431166+0.00299218j 0.00403636+0.0350658j -0.00579829-0.0263312j 0.0362418+0.014508j 0.0154843-0.00888041j -0.0644475-0.0301792j 0.0152822+0.00492977j 0.0347929+0.0186507j -0.0479531-0.00538159j -0.0154934+0.0510556j 0.00837109+0.0237932j 0.00721952-0.00462898j 
0.0296016+0.00193363j 0.0926512-0.0359249j 0.000764898-0.00925921j -0.0268533-0.00567482j 0.0356745+0.0422926j -0.0555526-0.0429822j -0.0366029-0.0629061j -0.0849692+0.0355206j -0.0100034+0.0241151j 0.0215392+0.0712053j -0.0327102-0.0357655j 0.0175629+0.0361607j 0.0160919-0.0268924j 0.0569249-0.0277578j -0.0735712+0.0338071j -0.0627039-0.0169647j 0.0295845+0.056353j 0.0859427-0.039915j 0.0216412-0.0119193j 0.0242975+0.0222558j 0.0180396+0.0517567j 0.0229186-0.0418152j 0.00649701-0.0455116j -0.00880356+0.0306765j -0.0627354+0.00711015j -0.0158698+0.0190367j -0.114212+0.0699335j -0.0101529-0.019608j -0.083038+0.0378659j -0.026573-0.00552918j 0.0458077+0.00205662j -0.00336385+0.0734306j 0.0204581-0.0400026j -0.0298167+0.0337632j 0.0574578+0.0746254j 0.0662417+0.0558746j 0.0609934+0.0568315j -0.0451707+0.0425317j -0.00956389+0.0320171j 0.0215311+0.0603986j -0.152797-0.125253j -0.00825961+0.018687j 0.0517056+0.015626j 0.0663172-0.0381416j -0.0181699-0.0121432j -0.0573095+0.0216819j 0.0162905+0.0381958j 0.0582174+0.026767j -0.0695819-0.0953767j 0.0363547+0.0575734j 0.0810486+0.0730474j 0.0425693+0.0987293j -0.0561709-0.0430601j 0.0139874+0.0363713j 0.174441-0.113215j 0.00995731+0.0162953j -0.109798-0.0590583j 0.020948-0.0381854j -0.0782181-0.207053j 0.135153-0.000764113j 0.0410551+0.0566131j -0.154484-0.0935002j 0.128019+0.00841142j 0.0791052-0.0756632j -0.0114264-0.0757161j 0.232822-0.019957j -0.121066-0.0851926j 0.0310674+0.100602j -0.0748058-0.0223935j 
-0.0429319+0.0325252j 0.0540177+0.00610957j -0.0495557-0.0292589j -0.037727-0.0142565j -0.0342286-0.107198j 0.0781047+0.0402466j 0.00107479-0.0796781j 0.0611425+0.110197j -0.0775338-0.00962052j -0.0214015+0.00300707j 0.0980203-0.0830103j 0.147902-0.0384452j -0.0556844+0.0209026j 0.00883755+0.0327956j 0.014034+0.0372776j -0.0310204-0.00791751j -0.0951311+0.011465j -0.0294724+0.0752345j -0.075978-0.0597371j 0.0257191-0.152181j -0.0709307+0.0834968j -0.0137649-0.106947j 0.05692+0.0277024j -0.0724534+0.0103384j -0.0429317+0.0235322j 0.0841278+0.0761317j -0.0192387-0.0333027j 0.0188926-0.0524361j -0.0362363+0.0600493j -0.0416245+0.012887j -0.0601221-0.0628241j 0.0725138+0.0147881j 0.0929166+0.0189034j -0.0147717+0.0404749j 0.104025+0.0551927j 0.0514065-0.0611978j -0.0152152+0.0762283j 0.058171+0.0180035j 0.0290244-0.074388j -0.00882751-0.0428658j -0.136694-0.0458102j 0.0931107+0.115847j 0.0473433-0.125335j -0.0155762-0.073812j 0.0501605-0.0461131j 0.0659795+0.0149987j -0.0192726-0.109101j -0.0352619+0.0656565j -0.0693176+0.0190227j 0.0302922-0.0410738j 0.0141827-0.0521888j -0.0401457-0.0132187j 0.070699-0.0229667j 0.065113-0.0510216j 0.067138-0.168981j -0.0108514-0.0395891j -0.0787521+0.00843322j -0.0865299-0.00698023j -0.105484-0.0602781j -0.0704813-0.0757438j 0.0386461+0.0134946j -0.157042-0.122309j 0.10129+0.060197j -0.105131-0.0300417j 0.029516-0.0567667j -0.0934417-0.0889395j -0.153518+0.111313j -0.0781742+0.00888489j 0.0281132-0.0997926j 
0.0311216-0.0533183j 0.0684753-0.0386598j 0.00978896+0.0189371j -0.0615122-0.0173151j -0.00934947+0.0190986j 0.0648689+0.0352943j -0.0697679-0.0436709j -0.0192055-0.0116759j -0.0203804+0.0762743j -0.0592393+0.101687j -0.0261145+0.0894786j 0.178421-0.0493961j -0.00296886+0.0625179j 0.060788+0.0879559j 0.0320038-0.00626631j -0.0703644+0.0590562j 0.0401439+0.0388694j 0.00700831+0.0230315j -0.0338745+0.0556607j -0.0683664-0.04471j 0.0488143-0.0487089j 0.00162167-0.0370481j 0.0118256-0.0384466j 0.0705562-0.0365828j -0.0422103+0.0206354j -0.0312781-0.0423657j 0.091257-0.0915504j 0.0402345-0.00807526j -0.0897709+0.0948563j 0.112086-0.123013j 0.0226217+0.127297j 0.062144-0.0106315j -0.0686928+0.0663939j 0.157229-0.118312j -0.0657466-0.0953794j 0.0905602+0.100754j 0.0146659+0.0760766j 0.0266461-0.0221431j -0.119934+0.124912j -0.0849501-0.122809j 0.0970794+0.0973602j 0.0644681+0.144019j 0.0490736+0.0483039j 0.054426+0.111483j -0.0361355+0.0298876j 0.0385874+0.0312889j -0.0229042-0.128854j 0.0165161+0.0227412j -0.00173451-0.111004j 0.0285506-0.0907999j -0.0663463-0.172852j -0.0667906+0.16868j 0.088479-0.132343j -0.0498179+0.0579757j -0.0301311-0.106545j -0.0150722-0.0664702j -0.0711275+0.00775625j -0.0132637-0.0297005j 0.0785007-0.162481j -0.0521807+0.155154j -0.0931506-0.0189029j -0.080107-0.0414208j 0.125338+0.104078j -0.076394+0.00793748j -0.00668398+0.0371457j 0.0238397+0.0880288j -0.0231041-0.0136177j 0.0787668+0.0217123j 0.0264533+0.00390979j 
0.102931-0.045297j -0.00337233-0.0201414j -0.0245623-0.0513854j 0.0326579+0.0376253j 0.00102439+0.082722j -0.0595346-0.0749185j 0.0393213-0.061659j -0.0677838-0.023471j 0.138047-0.0151275j -0.0607776+0.0239174j 0.0165692-0.0283759j -0.0699952+0.0175021j -0.022702+0.0375969j -0.00789224-0.00698418j -0.0924803+0.00363499j 0.0846005+0.0407322j -0.0218817-0.00818235j 0.0103524+0.0338903j 0.0345368-0.000340363j 0.0317869-0.00408138j 0.0524565-0.0283863j -0.0564504+0.181771j -0.0293293-0.0719147j -0.0545331-0.0036683j -0.0126239-0.0333954j -0.0012319-0.0318599j -0.0359857-0.116688j -0.0711864+0.0721543j -0.0340175-0.12554j -0.0586609+0.0401952j -0.112539-0.0888667j -0.0115283+0.11163j 0.0421623-0.129838j -0.0273653+0.138574j -0.011285+0.237946j 0.0469624+0.0490463j 0.0258691+0.0591715j -0.00198101+0.0261233j 0.0832982-0.0148319j 0.0185556+0.0968998j -0.216347-0.047753j -0.00798995-0.199921j 0.0117769-0.0673071j -0.0352929-0.119208j 0.0318238-0.0114476j -0.039194-0.112433j 0.17053+0.0437496j 0.0580533+0.17096j -0.0424747-0.0659203j -0.0333755-0.144826j -0.0587962+0.0374338j -0.0334661+0.0349055j 0.0454355-0.10136j -0.092747+0.0196577j -0.045839-0.00945571j 0.0412584-0.0856264j -0.0828476-0.0201036j -0.0441173-0.045362j 0.110107-0.142621j -0.0343898+0.0686931j -0.0258285+0.0456964j -0.128974-0.076669j -0.0390009+0.0425926j -0.058427-0.0176299j -0.0152716+0.0199346j 0.0375203+0.00386695j 0.0924482+0.020687j 0.0490108+0.000665512j 0.0328549+0.0430413j 
0.0161107+0.00794254j -0.0135919+0.0177143j -0.0432968-0.0246839j -0.0521853-0.0133568j 0.0224523+0.0204201j -0.0897395-0.0661035j 0.0728905+0.143677j -0.00191518+0.0592536j 0.122782+0.0356916j 0.0666919+0.0971213j -0.0103642-0.0943809j -0.0457471+0.152831j 0.0277383+0.0749358j 0.120736-0.0277271j -0.0498526-0.104078j -0.0448218+0.0219092j 0.0446144+0.0030416j -0.0449366-0.145307j -0.161426+0.0263879j -0.0513312+0.0331225j 0.00229847+0.0788642j 0.160715-0.0644216j 0.0161608+0.11551j 0.17515+0.00705371j -0.00176388+0.042552j -0.0414736-0.0875113j 0.111497+0.0111229j 0.00163074+0.0268585j -0.0767593-0.0759686j -0.0252906+0.0735801j 0.123979-0.00560126j 0.0907579+0.0961717j 0.119365-0.149393j -0.0738331+0.0281227j 0.041105-0.106284j -0.0109271-0.0576985j 0.0446315-0.0593968j 0.0512502+0.0638243j -0.157253-0.201246j 0.0433354-0.00794364j 0.0290547-0.179168j 0.109384+0.0530835j -0.140679-0.210376j 0.0499472-0.0671105j -0.0322077+0.0380737j 0.0340064+0.0423535j -0.0977127+0.0110858j -0.109971-0.0523966j -0.02076+0.013993j -0.0511773+0.0200292j 0.0119452+0.0142887j 0.0334217-0.0371044j 0.00166629+0.0201378j 0.0750037+0.00919669j 0.139343+0.125962j 0.0188788+0.027335j -0.00565544-0.0130431j -0.052754+0.035891j -0.0741994+0.0169811j 0.066635+0.0168015j 0.00311754+0.0265578j -0.0199312+0.0224119j 0.0263987+0.00970362j 0.0241307-0.0154052j -0.0559996+0.0479411j 0.0302801+0.0579877j 0.0186965+0.00356001j -0.00124528-0.00524195j 0.00143526+0.0273473j 
0.0254142-0.0478724j -0.0455255+0.0148054j 0.0349444-0.0293598j 0.0610091-0.0180833j -0.0298844-0.0123696j -0.086183-0.0471549j -0.048114-0.0459021j 0.00322615-0.122728j -0.153432-0.0607393j 0.193137-0.0541236j 0.0572352+0.0124425j 0.284541+0.115344j 0.141219+0.0601475j 0.190095+0.0965244j 0.135668+0.0100813j -0.0223053-0.0847448j -0.111626-0.0338695j -0.0777825+0.0306843j -0.00636409-0.0681523j -0.0206756-0.0749222j -0.0124634-0.0237159j 0.0776642+0.00115067j -0.0934183-0.113894j 0.0509825+0.0549536j -0.0697809+0.0201508j 0.0470107-0.0116136j -0.117888+0.00732333j -0.0210865-0.117727j -0.0330682-0.201876j 0.156164-0.0411089j 0.132881+0.086293j 0.172995+0.0306365j -0.039819-0.0124106j 0.0088085+0.0489193j -0.155884+0.119386j -0.0659334-0.0423254j 0.0877769+0.0365575j 0.140312-0.0253005j -0.092214-0.0794387j 0.0127315-0.0600611j 0.0427878-0.0350602j 0.0486034+0.100157j -0.0334613-0.131122j -0.00786548-0.000786794j 0.0216537+0.0249848j 0.0376317+0.0127073j 0.000892515-0.0325547j 0.0414956+0.0086371j 0.0106883-0.023118j 0.050493+0.00920447j 0.0276961+0.161522j 0.0055146-0.0233804j -0.0255181-0.0374001j -0.0338997+0.0359577j -0.0559572+0.0014984j -0.0297462-0.0393088j 0.107383+0.0689317j 0.00974893+0.0512538j 0.072942+0.0817778j 0.00592819-0.0229516j -0.0161454-0.0116805j 0.0119136-0.00319386j -0.0808676+0.0388886j -0.00178295-0.0223559j 0.0442954-0.0214505j 0.057248-0.0247715j 0.0135706-0.00778412j -0.00740504-0.0111203j 0.0361046+0.0633744j 
0.00805449-0.0307272j -0.0292008+0.00429438j -0.0135835+0.00561746j 0.0866203-0.0777916j -0.0373846-0.0557312j 0.07991+0.14653j 0.0890886+0.0624118j 0.19142+0.0953588j -0.031874+0.132247j -0.0132553-0.0297825j 0.136935-0.0670953j -0.0786983-0.045344j 0.0298877-0.075693j -0.144805-0.0230266j 0.0239043-0.0522303j -0.0330399+0.0329074j -0.0213687+0.124516j -0.0518203-0.0425691j 0.133338+0.113476j 0.0994773-0.0120031j -0.079186+0.000670604j -0.0353504-0.0305436j -0.0348183+0.00695601j -0.0733656-0.0307965j 0.060777-0.114336j 0.0340841+0.00290115j -0.0703245+0.0179629j 0.201234+0.0664928j 0.0314234+0.114879j -0.123713+0.036969j 0.1031-0.00581766j 0.0375814-0.0452507j 0.0619488-0.0652736j -0.0682564-0.161442j 0.256924-0.101921j -0.331561+0.0348209j -0.0802008-0.0937645j -0.0302479+0.0412868j -0.0504706-0.0833828j 0.0549212+0.0203586j 0.0274857+0.00761442j 0.0108443+0.0641755j 0.0608115+0.0572882j -0.0171815+0.00892475j 0.0172413+0.0727141j -0.0281255+0.0136628j 0.0180932-0.0591462j 0.0559605+0.0252198j 0.0117358-0.0197801j 0.0561737+0.0709689j -0.0422529+0.0784179j 0.0235668+0.0916655j 0.000406767-0.0644078j -0.0240997+0.0452953j -0.0632454-0.101363j -0.0182701-0.0429217j 0.0678347+0.0175835j 0.0847879-0.0022525j 0.00923449-0.0252032j 0.0351364-0.0145091j -0.00340562-0.0027067j 0.0109877-0.00234336j -0.000807778+0.0569534j 0.0234479-0.00339501j 0.0223764-0.0171939j 0.0597404+0.00120458j -0.0268979-0.0377876j 0.0142149+0.0239092j 0.010146+0.0368727j 
