-0.00660209-0.659807j -0.259653+0.0993654j 0.0562864-0.33384j 0.0795991+0.171977j 0.0127088+0.013946j -0.192886-0.0462053j -0.0343747-4.996e-16j 
-0.259653+0.0993654j -0.0177159-0.402026j -0.424093-0.000510984j -0.193453+0.204118j -0.19931-0.129031j -0.00510497-7.49401e-16j -0.192886+0.0462053j 
0.0562864-0.33384j -0.424093-0.000510984j -0.194844-0.141541j 0.23491+0.0480413j -0.222328+1.11022e-15j 0.19931-0.129031j -0.0127088+0.013946j 
0.0795991+0.171977j -0.193453+0.204118j 0.23491+0.0480413j 0.403567+1.11272e-16j 0.23491-0.0480413j 0.193453+0.204118j -0.0795991+0.171977j 
0.0127088+0.013946j -0.19931-0.129031j -0.222328+1.90126e-15j 0.23491-0.0480413j -0.194844+0.141541j 0.424093-0.000510984j -0.0562864-0.33384j 
-0.192886-0.0462053j -0.00510497-8.60423e-16j 0.19931-0.129031j 0.193453+0.204118j 0.424093-0.000510984j -0.0177159+0.402026j -0.259653-0.0993654j 
-0.0343747-5.55112e-16j -0.192886+0.0462053j -0.0127088+0.013946j -0.0795991+0.171977j -0.0562864-0.33384j -0.259653-0.0993654j -0.00660209+0.659807j 
