-0.0097856-0.00825388j 0.0108664+0.00260929j -0.0258552-0.004672j -0.0013358+0.00227186j -0.00672805-0.00568894j -0.0195615+0.00935021j -0.0045082+0.0136141j -0.0187473-5.1734e-05j -0.00993841-0.0102732j -0.00824183-0.0200228j 0.00206126-0.00725134j -0.0216909-0.0184029j 0.0108402+0.00138481j -0.00627945-0.013321j 0.000581166-0.0285037j 0.0287769-0.0104067j 0.0121963+0.0104427j 0.017475-0.00521175j -0.00179236+0.000716908j 0.0112124-0.00225456j 0.0127669-0.00374452j 0.0072936-0.00274803j 0.00674706+0.00620301j 0.00380476+0.0086907j -0.0137244+0.00948752j -0.0213989+0.000926683j -0.0135134-0.004569j 0.00575809+0.00408518j 0.00446056+0.000176981j 0.0128903-0.00301885j -0.0213322-0.00345519j -0.00710094-0.00410994j 0.0073002-0.00385827j 0.0135723-0.00431131j 0.0184433-0.00407333j -0.00648996+0.00219568j 0.0206735+0.00138462j -0.0315703-0.0052381j 0.00505524+0.00882247j 0.0121634-0.00799934j -0.0699654-0.0294641j 0.0146025-0.0510052j -0.0186432+0.038466j 0.0158669-0.00176515j -0.0213232+0.00905728j -0.0334284+0.01732j -0.00967355+0.00611767j -0.00648114+0.00782065j -0.0107589-0.0138452j -0.00105823-0.00231724j -0.00891981-0.00382509j -0.00929767-0.00500287j 0.0199959+0.00649869j 0.0132281+0.00320687j -0.00651995-0.0170505j -0.01014+0.00449061j 0.00281105-0.00529687j -0.0120878+0.00157586j -0.00700462-0.00617595j -0.00564723+0.000386532j 0.00989628+0.00149091j 0.014277+0.0140377j -0.0259869+0.00152898j -0.012502-0.00662055j 0.0153157+0.00466482j -0.0256074-0.00811783j -0.0836038+0.00315285j 0.0744809-0.00317702j 0.203286+0.00156946j 
0.0115945+0.00546281j 0.0139669+0.0082588j -0.0112076-0.00663959j -0.00625414-0.010744j -0.00142669-0.00287116j 0.0122837+0.00930836j 0.00220761+0.00339728j 0.00126861+0.0075887j -0.00344669+0.000478921j -0.00922637+0.00765809j -0.000443354-0.00830394j -0.0103408+0.0335417j 0.00524879-0.000416273j 0.00407701+0.0160457j -0.0245597-0.00183765j 0.00532789-0.026043j 0.00465281+0.0029925j -0.00814673-0.00170697j -0.00638659+0.00467154j 0.0016238+0.00598228j -0.00597027-0.00398876j -0.00019535-0.00418358j 0.0138684-0.00173465j 0.0148904-0.0025498j 0.0220505-0.00438866j -0.00162711+0.00308041j 0.0117395+0.00528845j 0.0126914-0.00845617j -0.00066507-0.00310647j -0.00866876-0.00484836j -0.0183548+0.0136266j -0.00546124+0.00592696j -0.0130279-0.0103505j -0.00800062-0.00231311j -0.00633407-0.00648691j 0.0148553+0.00550921j -0.00324337-0.0135874j 0.00529458+0.0113824j 0.0181649-0.00293093j -0.00148775-0.0213113j -0.0240102+0.0468289j -0.0478547-0.0334643j 0.0231083-0.0196274j -0.0190705+0.0294633j -0.00139102-0.00451575j -0.00754914+0.0231941j 0.045921+0.027653j 0.00901432+0.0061844j -0.000850992-0.00156833j -0.00119685-0.00351219j 0.00275566-0.00275118j -0.00107354+0.00181327j -0.0137886+0.000473084j -0.0119229+0.000295532j -0.0361107+0.00613287j 0.00974675-0.00305431j 0.00278355+0.000533831j 0.00561946-0.00434305j -0.0371797+0.000651302j -0.0223087-0.000281234j -0.0147707-0.0153149j 0.026317-0.00238594j -0.0132955+0.00635424j 0.048738-0.00195943j -0.030931+0.000703011j 0.0711341-0.00332996j -0.0464868-0.009417j -0.205456-0.00117364j 0.0788739-0.00167884j 
-0.00201999+0.00144628j -0.00776348-0.00284162j -0.0243179+0.00118647j -0.0177495-0.0012111j -0.0214233-0.00263444j -0.0482124-0.0234379j -0.0217508+0.0205507j -0.0215757+0.0106417j -0.0159846-0.015043j -0.00266975-0.00620976j 0.0105023-0.0371161j -0.0221915-0.0271554j 0.0210891-0.00305044j 0.0192725-0.0295472j 0.0150148-0.0240447j -0.00895672-0.0392379j 0.020869+0.00512117j 0.014445-0.0109515j 0.00883432+0.00215442j 0.0301943-0.0102214j 0.00674868-0.00522507j -0.0298796-0.00296131j 0.0230374+0.00447551j -0.0210282+0.00418548j -0.0334426+0.00770856j 0.0101681+0.00608124j -0.0520304-0.00437043j -0.0140208+0.00565606j -0.000358676+0.00489051j 0.0248822+0.00299973j 0.00868911-0.00694275j 0.00448199+0.00144515j 0.00274914-0.000690982j -0.00143273-0.0195445j -0.0152135-0.00826837j -0.00974715+0.00180311j 0.0159407+0.0331329j 0.051986-0.000371351j 0.0143102-0.00293644j 0.00132846+0.00232533j 0.0101785+0.0093682j -0.0121819+0.00629962j 0.0250585-0.0162301j 0.00406682+0.00283931j -0.0254924-0.00254725j -0.000241228+0.000571331j 0.0394631+0.00317747j -0.00989502-0.00353233j 0.00555051+0.00595634j 0.0082604-0.00325064j 0.00464546+0.00291165j 0.000601116+5.76259e-05j 0.0199518-0.00105038j -0.00282877-0.00259533j 0.00121456+0.0135907j 0.0122507-0.00178023j 0.00947691+6.96034e-05j -0.0292853-0.00505029j -0.0129858+0.0037836j -0.0519133-0.00376322j -0.0440639-0.00205747j -0.0195235-0.0121227j -0.020668+0.00213904j -0.00704148+0.00515702j 0.0199734-0.00193014j -0.0164399+0.00460198j -0.0113309-0.00672816j -0.095822+4.95207e-05j -0.107038+0.000134317j 
-0.0151516-0.00415145j -0.013556-4.1908e-05j -0.0260782-0.00487887j -0.0190136-0.00542644j -0.0256792-0.0375462j -0.0560718+0.0277402j -0.0197752+0.0395659j -0.0403318+0.00501422j 0.00122195-0.00541655j -0.00214924-0.0100151j 0.00855585+0.0153825j -0.0249963+0.0323488j 0.0326807+0.00276984j 0.0179969+0.0031537j -0.0027708+0.00728828j -0.020833-0.0178888j 0.0368985+0.0328582j 0.0326183+0.00750937j -0.00673481+0.0179307j -0.0160187+1.58115e-05j -0.00137005-0.0106314j -0.0257144-0.0054679j -0.0247678+0.00365752j -0.023427+0.0164233j -0.00988882+0.0137798j -0.00033913-0.00180473j 0.0530784-0.00692253j 0.00431789-0.00381962j 0.00131609-0.00523795j 0.00620296-0.00966159j -0.0166922+0.00012507j 0.0278649+0.00521103j 0.0348019+0.00150055j -0.00942917-0.011433j 0.00716539+0.0116381j 0.0243925+0.0193751j 0.0157588-0.00393338j 0.0188266-0.00238226j -0.00586125-0.0151438j 0.0121042-0.0226369j -0.0132421-0.00576011j -0.00779125+0.014275j -0.00914122+0.00100077j 0.0159749+0.00534005j 0.00303941-0.00669681j -0.0198757-0.0097127j 0.0222948-0.00477975j 0.0107991-0.00597855j 0.0106246-0.00384031j -0.00444448+0.000284499j -0.00176956-0.00208776j -0.0016845+0.0020824j -0.0232761+0.000265288j -0.013314-0.00291494j 0.0188128+0.0023959j -0.0361935-0.000409451j -0.00684619+0.000440495j -0.0417184-0.00180654j -0.0165943+0.00242941j 0.0135321-0.00588636j -0.0504211-0.00189216j -0.000686404-0.00563337j -0.0223152-0.00435928j 0.00806834+0.00379176j -0.00416148-0.00202248j 0.0386252+0.00485412j 0.00519948+0.00312572j 0.0769273-0.000227809j -0.094117+0.000339134j 
-0.00887029-0.00814021j -0.00510335+0.00530213j 0.0373431-0.00405152j 0.00977865-0.0141908j 0.0170519+0.0274924j 0.0335709+0.0100812j 0.0185028-0.0113249j 0.0224264-0.0038343j 0.00927182+0.0175125j 0.0106823+0.00646864j -0.0047743-0.00403251j 0.0209001+0.0105787j -0.004567+0.0128798j -0.0360249+0.013598j 0.000250503-0.0852093j 0.0013799-0.0101185j -0.0400888-0.00791958j -0.000338557+0.00053549j -0.00598108+0.0250892j -0.0103437+0.00383605j 0.00181805-0.00105401j 0.00123418-0.00258785j -0.00282937-0.00565915j 0.00393895+0.00788429j 0.00697969+0.0260487j -0.0104023+0.00583947j -0.0147269-0.00560946j -0.00153648-0.00350419j 0.00559203-0.00466331j 0.00957228-0.00981969j -0.0221294+0.00679807j 0.0126627-0.00423927j -0.0043546-0.000408092j 0.00177803-0.0236202j -0.0150603-0.0208083j 0.0291172+0.0329481j 0.0239633-0.0149108j 0.023832+0.00932451j -0.0106908-0.00564386j 0.0299789-0.00635839j 0.0514078-0.0106828j -0.00553297-0.0160783j 0.0492626+0.00613605j -0.00255116+0.0261891j 0.00506547-0.0044076j -0.0195108+0.00809036j 0.0115023+0.00209262j -0.0157133+0.00550914j 0.0141584-0.0125964j -0.0254679-0.00251138j -0.00889869-0.00277969j -0.00517516+0.000377373j 0.00215323+0.0066267j 0.00949334-0.00507425j 0.0576518+0.00858875j 0.0152574+0.00257347j 0.0114063+0.000527236j -0.089113+0.00404562j -0.0288233-0.000140231j 0.0224098-0.00748358j 0.0119555+0.000650453j 0.0204383-0.000252095j -0.0957893-0.000368813j 0.00278348-0.00241597j 0.0228931+0.00273957j 0.0392757-0.0051275j -0.0521818+0.000447709j 0.0555041+0.00246375j -0.0666965+0.000116673j 
-0.00378332+0.00205359j 0.00128423+0.00680632j 0.00593063+0.00485412j 0.00255048-0.0100594j -0.00665125+0.0107697j 0.000952024-0.0111469j 0.00173378+0.0101453j 0.00511614+0.0170169j -0.00470681+0.00731871j -0.00217678+0.0167938j 0.00148832-0.0501145j -0.00367975-0.018934j 0.000839778-0.0219311j 0.0116258+0.0322392j -0.0121362+0.0186019j -0.00840131-0.0261503j -0.00285258+0.00459309j 0.0216616-0.00937185j 0.0128645-0.00149709j -0.00421791-0.000124903j 0.0159289-0.00693535j -0.00494005+0.0172556j 0.0223366-0.00703749j 0.000816393-0.00166927j -0.0106146-0.00899779j 0.0207584+0.00755655j -0.0607861+0.00272722j -0.00574763-0.00402919j 0.0116699-0.00206623j -0.00686107-0.0103674j 0.0241153+0.026506j 0.0160072+0.00980859j -0.00457844-0.00887339j -0.0131197+0.0169331j 0.0173085+0.0142026j 0.019659-0.00128661j -0.0104515-0.0311678j -0.018619-0.00688473j -0.034301-0.0212578j 0.0291918-0.0262518j -0.0278309+0.0113546j -0.0112852+0.0275028j -0.0373205-0.00172842j -0.0305018+0.0151905j -0.000684935-0.0148252j -0.00419058-0.0181893j 0.0076388+0.0152738j 0.00104768-0.00265222j 0.000503333-0.00762759j 0.0115467+0.00179055j 0.009099-0.00248958j 0.00907255-0.000828892j 0.019425-0.00394748j -0.00804933+0.00613898j 0.00103256-0.0103708j -0.00841724+0.000216362j 0.0102068+0.00343383j -0.0129771-0.000611456j 0.00282762-0.0035301j -0.0152674-0.00294003j -0.0164662-0.0125054j 0.0367334+0.0045343j 0.0246426-0.0126773j 0.0847894-0.000937061j -0.0464947+0.00073834j 0.095645+0.00404172j 0.0499916+0.00368562j 0.126674-4.16482e-05j 0.0226219+0.00151154j 
0.00668691-0.00173835j 0.00238304+0.00159444j -0.0198535-0.000795427j -0.00911911-0.00509202j -0.0229725-0.00891418j -0.0269931+0.0146561j 0.00627364+0.00452067j 0.00112769+0.0107907j -0.00840765-0.0193497j 0.00918429-0.0084114j -0.0138498-0.0176319j 0.00145502-0.00485133j 0.0102251+0.000523483j 0.0293684+0.0168907j -0.0211961+0.0210375j 0.0452054+0.000947522j -0.0232858+0.00889621j 0.0238791+0.00522366j 0.00670515+0.00928453j 0.0186319-0.00359697j 0.00771077-0.000181986j -0.0249313-0.00705449j 0.00580756-0.012353j -0.00410311-0.00232609j -0.00656742-0.00319033j -0.0165585-0.00407133j 0.0141436+0.0059636j 0.0135076-0.00308581j 0.00567699-0.000249353j 0.0174773-0.000891254j -0.0244033+0.0244032j 0.000734261-0.0121366j 0.0173499-0.0068182j 0.00719307+0.00320669j 0.0232686-0.00619386j 0.0207188-0.0137276j -0.00780022-0.0180903j -0.0205478+0.00327676j -0.00707789+0.0192065j -0.0112509+0.0155689j 0.0680916+0.0175612j 0.00486781-0.016101j 0.0200023-0.0054985j 0.0255461+0.0195628j 0.0201981-0.00384803j -0.0135243+0.00399292j -0.0219816+0.00862143j -0.00897697+0.000480241j -0.0204733+0.00487308j -0.00162321+0.000665368j 0.00351505+0.00171262j -0.00397659-0.00152983j -0.0184038-0.00297769j 0.00582089+0.00123136j 0.0498549+0.00263823j 0.0226454-0.00424667j -0.0162358+0.0052682j -0.00509681-0.0027827j 0.0375627-0.00317477j -0.0611549+0.00187823j 0.0994581-0.00471882j 0.121871+0.00499132j 0.0163019+0.00579312j -0.00855049-0.00453629j 0.000315307+0.00256944j -0.012023-0.00603787j -0.0195373-0.00762932j -0.0277212+0.00319271j 0.0162902+0.00291613j 
-0.000600611+0.00568655j -0.0014885+0.000997404j 0.0152945-0.00684605j 0.0140641+0.00498301j -0.000289007+0.00150033j 0.0189595-0.0245572j 0.00733446-0.00509796j 0.0151681-0.00428128j -0.00143796-0.00622138j 0.00111108+0.0360888j -0.00895734+0.0324193j 0.00501211+0.0315477j -0.0153505+0.00516892j 0.00995019-0.0220877j -0.00997594-0.0364626j 0.0184297-0.0184506j -0.0298298-0.00574967j -0.0147268+0.00510665j 0.0185527-0.0131236j -0.00333083+0.00610478j 0.001436-0.00605839j -0.00905126+0.00249056j -0.00613216+0.0198996j -0.00701756-0.00341376j 0.0294173-0.0191449j 0.0248432-0.00713065j 0.0240189+0.0134905j 0.00080094-0.00246168j 0.00416065+0.00303022j -0.0054729+0.0141918j 0.0213733+0.0136657j 0.0281611+0.0270571j 0.0100913-0.0168689j -0.00222918-0.00506621j -0.000405151-0.00730082j 0.00193208+0.00827963j -0.00478178+0.0235955j -0.00761654-0.0188669j -0.0437503+0.00312766j 0.0225584-0.00893241j -0.0206402+0.0135254j -0.0263363+0.00425039j -0.0351106-0.00765647j -0.0534892-0.00866845j -0.0063395+0.000642776j -0.00350167+0.00141394j 0.0402714+0.00406284j 0.00937796+0.000157544j 0.00329691+0.000754815j 0.00339281-0.00288256j 0.0311779+0.00271043j 0.0176497-0.00334555j -0.0262185+0.000952835j -0.0306761-0.000329269j -0.00494506-0.000225212j -0.0287932+0.00283835j -0.011598-0.00284874j 0.00418528+0.0025586j -0.0567706-0.00131741j -0.112725-0.00502338j 0.0171614-0.0103985j -0.00147919+0.00147023j -0.0126056-0.00439839j 0.0216438-0.000630587j -0.00300577+0.000714793j 0.0422259+0.000700748j 0.00432662-0.000635426j 0.0516142+0.000381312j 5.758e-05+0.00175132j 
-0.00350503-0.00337362j -0.0064899-0.00191087j 0.0150574+0.00236296j 0.00430055+0.00270316j 0.00665173-0.004701j 0.0257179+0.0169187j 0.0132265-0.0220649j 0.0125245-0.00686238j 0.000105384+0.00982036j -0.00287258+0.00138362j 0.00212254-0.00483533j 0.000612057-0.0259489j -0.00489762-0.00698692j -0.0193008+0.00634734j -0.00531017+0.029497j 0.0151258+0.0253854j -0.0407885-0.000267795j -0.0203165-0.00904914j 0.00374745-0.00766165j -0.00934189+0.00473106j 0.00894788+0.00677181j -0.0162535+0.00907902j -0.0393604-0.00875798j -0.0203602-0.00713119j 0.00916458+0.00834057j 0.0100228+0.00509098j 0.0180584-0.00526388j -0.00595581+0.00174044j 0.00318602+0.00191129j -0.000942911-0.0028958j 0.0143675-0.0162556j -0.016026-0.0140431j 0.00971059-0.000107868j -0.0265443+0.000983306j -0.00674341+0.00423153j -0.0339776+0.00307169j 0.027364+0.00299359j 0.0421117+0.0126664j 0.0851907-0.0182831j -0.0632373-0.00679401j -0.0391731+0.00362658j 0.0311539-0.00849803j -0.0269077-0.0163487j -0.0305307+0.00412799j -0.0341826-0.00144692j -0.00395055+0.00345438j 0.0419473+0.00125754j -0.0216409+0.0029237j -0.00697115-0.00212924j -0.0014941+0.00223232j 0.0188937+0.00149133j 0.00628962+0.00158167j 0.007555-5.01181e-05j -0.0444577-0.00446982j 0.00636257+0.00950049j -0.0149472-0.00505143j 0.0444875+0.00176151j 0.016204-0.00441242j 0.0533455+0.0052453j -0.0323603+0.00192956j -0.0469437+0.00343085j 0.042957-0.00642732j -0.0249992+0.000732657j -0.00843042+0.00305461j -0.0152994-0.00233116j -0.00856863+0.00312067j -0.0871539-0.00486566j 0.0176099-0.00118089j -0.0770406+0.00142444j 
0.0149421-0.0032473j 0.00341978+0.000561953j -0.00044104-0.00600526j -0.000305651-0.0236085j -0.00562045+0.00137979j 0.000544042+0.0104533j 0.00936336+0.0270317j 0.0101547-0.0167206j -0.00411187+0.0457569j 0.000923249+0.0179807j -0.000929423+0.0283336j 0.00451513-0.0383865j 0.00291509-0.0305371j 0.00448735-0.00596152j -0.0164834-0.038914j 0.0114737-0.013766j -0.00635392+0.00916709j 0.0106019-0.00795829j -0.0432342+0.0192372j 0.0112929-0.00873508j 0.0310253+0.0191648j 0.000891031-0.0181889j -0.0246449+0.00528835j -0.0120168+0.0121289j 0.0179264+0.00336946j -0.0100074-0.000214989j -0.00632373-0.00659364j -0.00475369-0.00138719j 0.0198113-0.0203191j -0.0395928-0.0219139j 0.0167727-0.0104346j 0.0420989+0.0271693j -0.00254999+0.0119102j 0.0298828+0.012249j -0.0160495+0.013649j -0.0578879-0.0150067j 0.0224748-0.0268579j 0.0156414-0.0104806j -0.0322311+0.00907069j 0.0128407+0.000139218j -0.0282895+0.0026566j 0.0222208+0.00185921j -0.0272402-0.00115231j 0.0399255+0.00253356j 0.00418586-0.00566048j 0.0392703-0.000406153j -0.0516329+0.0111908j 0.00727264-0.0073559j -0.0306733+0.00917975j 0.0132163-0.00404242j 0.0249593-0.00678283j 0.0207519+0.000755288j 0.0148371+0.00268068j 0.0466298-0.000695368j -0.0169269+0.00401627j -0.0591078+0.00021723j 0.0352396+0.000965361j -0.00110922-0.0102351j -0.0151005-0.00313938j 0.00807783-0.00262298j 0.0231512+0.00466503j 0.0597368-0.000350588j 0.0538523+0.0110862j -0.0405168+0.00196412j 0.0346428-0.00105259j -0.0590469+0.000767427j -0.0105865-0.00367668j -0.0784306-0.000221701j -0.00166219+0.000485506j 
-0.00422603+0.00312912j -0.00207925-0.000951166j -0.00976148+0.00730634j -0.0053453+0.00783613j -0.0155353-0.00268692j -0.0157664-0.0130252j 0.0197872-0.00336959j 0.00618985+0.00326239j -0.0117857+0.000542914j -0.00424484-0.0178926j -0.00603462-0.00357004j -0.00839971-0.00558947j 0.00113434-0.00104342j 0.00996192-0.00765949j -0.010915+0.0344581j 0.0331732+0.0120032j 0.000658242-0.00858275j -0.0264518-0.00900327j -0.00488963-0.0159094j 0.0463216+0.00529479j 0.0196115-0.00568522j -0.0184811+0.0116583j -0.0552907+0.0129647j -0.0253918-0.00173029j 0.0274638-0.0121631j -0.00536003+9.5115e-05j -0.0425466+0.00344165j -0.0358124-0.00196753j 0.00716235-0.00395248j 0.0317312+0.00115636j -0.0256878-0.00890521j 0.0181181+0.0071132j 0.00865652-0.00987779j -0.0281855-0.00108644j 0.0283603+0.0123483j 0.0304004-0.000556522j -0.00923809+0.0219944j -0.0628958+0.0034548j 0.00374372-0.0030126j 0.0118478-0.00388121j 0.0370099+0.00350929j -0.0168633-0.027462j -0.0113856-0.00116859j -0.0159601-0.00537855j 0.00105839+0.010114j -0.00673179+0.0174208j 0.0287498+0.00436726j 0.00990411+0.00852212j 0.00194483-0.00313295j -0.00126259+0.000213174j -0.00514089-0.00166836j 0.0137585+0.00537821j 0.0220207+0.000519791j -0.0390444-0.00158987j 0.03374+0.0041954j -0.0570305-0.00248876j 0.0203958-0.00351453j 0.0680132-0.00244431j -0.0371107+0.00334794j 0.0166866+0.00613445j 0.0756801+0.00222638j 0.0482012+0.00285209j -0.0392283+0.00804836j -0.0125454-0.00105097j -0.00990738-0.000484791j -0.0119376-0.00241184j -0.0570916-0.00175603j -0.00327444+0.00108246j -0.0409859+0.000612712j 
