-0.0470507-0.516883j 0.159594-0.133518j 0.124756-0.373117j -0.111305-0.0305933j -0.0745867-0.197297j -0.0920325+0.15911j 0.0830706+0.0189462j -0.00137446+0.0117441j -0.108888-0.112894j 0.116736+0.0339681j 0.0417758+4.44089e-16j 
0.159594-0.133518j -0.0499445-0.422086j 0.392731-0.0280263j 0.0503431-0.137988j -0.0807871+0.260182j 0.0191862+0.0420931j -0.110737-0.155507j 0.00579496-0.00448514j -0.06045-0.0125545j -0.26855-9.99201e-16j 0.116736-0.0339681j 
0.124756-0.373117j 0.392731-0.0280263j -0.203974-0.234429j 0.210593+0.0490827j -0.291765+0.0628649j -0.18099+0.0249152j 0.100305+0.0942861j -0.0587006-0.148726j 0.129496-2.22045e-16j -0.06045+0.0125545j -0.108888+0.112894j 
-0.111305-0.0305933j 0.0503431-0.137988j 0.210593+0.0490827j -0.128547-0.347826j 0.171817-0.134603j 0.083235+0.0501156j -0.12652+0.148285j -0.323888+1.72731e-12j -0.0587006+0.148726j 0.00579496+0.00448514j -0.00137446-0.0117441j 
-0.0745867-0.197297j -0.0807871+0.260182j -0.291765+0.0628649j 0.171817-0.134603j 0.441388-0.155074j -0.0612171+0.065459j 0.361746-6.59195e-15j -0.12652-0.148285j 0.100305-0.0942861j -0.110737+0.155507j 0.0830706-0.0189462j 
0.175178+0.055666j 0.0369828-0.0277887j 0.0632507+0.171399j 0.0310452-0.0920643j 0.0770912+0.0457094j -0.0832734-1.51962e-15j 0.0612171+0.065459j -0.083235+0.0501156j 0.18099+0.0249152j -0.0191862+0.0420931j 0.0920325+0.15911j 
0.0830706+0.0189462j -0.110737-0.155507j 0.100305+0.0942861j -0.12652+0.148285j 0.361746-6.25888e-15j -0.0770912+0.0457094j 0.441388+0.155074j 0.171817+0.134603j -0.291765-0.0628649j -0.0807871-0.260182j -0.0745867+0.197297j 
-0.00137446+0.0117441j 0.00579496-0.00448514j -0.0587006-0.148726j -0.323888-1.73092e-12j -0.12652-0.148285j -0.0310452-0.0920643j 0.171817+0.134603j -0.128547+0.347826j 0.210593-0.0490827j 0.0503431+0.137988j -0.111305+0.0305933j 
-0.108888-0.112894j -0.06045-0.0125545j 0.129496+3.747e-16j -0.0587006+0.148726j 0.100305-0.0942861j -0.0632507+0.171399j -0.291765-0.0628649j 0.210593-0.0490827j -0.203974+0.234429j 0.392731+0.0280263j 0.124756+0.373117j 
0.116736+0.0339681j -0.26855+5.27356e-16j -0.06045+0.0125545j 0.00579496+0.00448514j -0.110737+0.155507j -0.0369828-0.0277887j -0.0807871-0.260182j 0.0503431+0.137988j 0.392731+0.0280263j -0.0499445+0.422086j 0.159594+0.133518j 
0.0417758+6.10623e-16j 0.116736-0.0339681j -0.108888+0.112894j -0.00137446-0.0117441j 0.0830706-0.0189462j -0.175178+0.055666j -0.0745867+0.197297j -0.111305+0.0305933j 0.124756+0.373117j 0.159594+0.133518j -0.0470507+0.516883j 
