0.915595-0.0276841j 0.332065+0.0744381j 0.080445+0.00094692j -0.0111697+0.0983144j -0.013168-0.0101206j -0.0521123-0.0140345j -0.0359123-0.0168128j 0.0530526+0.00322735j -0.00488782+0.0395315j 
0.332065+0.0744381j -0.0604768-0.130932j 0.00881816-0.042478j -0.19271-0.172083j -0.16928+0.212691j -0.128678+0.0544446j -0.0812681+0.0550168j -0.0890518+0.0624136j 0.0399157-0.00562186j 
0.080445+0.00094692j 0.00881816-0.042478j -0.03189-0.0432716j 0.00402787-0.0199371j 0.0374563+0.0490909j -0.0512194-0.13238j -0.0688906+0.0103663j -0.103435+0.0805352j 0.0929534+0.00118872j 
-0.0111697+0.0983144j -0.19271-0.172083j 0.00402787-0.0199371j -0.226579-0.235267j -0.263027+0.200231j -0.124936+0.168302j -0.0546675+0.0296311j -0.0258323+0.0277023j 0.00808013-0.0215005j 
-0.013168-0.0101206j -0.16928+0.212691j 0.0374563+0.0490909j -0.263027+0.200231j 0.0861276+0.178358j 0.184937+0.364728j 0.183217-0.0173531j 0.210097+0.0091392j -0.0804254-0.012912j 
-0.0521123-0.0140345j -0.128678+0.0544446j -0.0512194-0.13238j -0.124936+0.168302j 0.184937+0.364728j 0.217187-0.25701j -0.232408-0.0177336j -0.238492-0.0500937j 0.100083+0.0399992j 
-0.0359123-0.0168128j -0.0812681+0.0550168j -0.0688906+0.0103663j -0.0546675+0.0296311j 0.183217-0.0173531j -0.232408-0.0177336j 0.237385+0.104676j -0.14635+0.456738j 0.233556+0.190242j 
0.0530526+0.00322735j -0.0890518+0.0624136j -0.103435+0.0805352j -0.0258323+0.0277023j 0.210097+0.0091392j -0.238492-0.0500937j -0.14635+0.456738j -0.0509732-0.0276912j -0.304029-0.213292j 
-0.00488782+0.0395315j 0.0399157-0.00562186j 0.0929534+0.00118872j 0.00808013-0.0215005j -0.0804254-0.012912j 0.100083+0.0399992j 0.233556+0.190242j -0.304029-0.213292j -0.316019+0.438821j 
