0.095572+0.0916926j 0.0830064+0.0550807j 0.0233719+0.0327209j 0.0415275-0.0686941j -0.0170182+0.00999967j -0.0446575+0.00687473j 0.0766617-0.0745824j 0.0542919-0.00860157j 0.00838605-0.00776117j 0.0129898+0.0369343j -0.026281+0.00325659j 0.0673316-0.0555514j 0.0152767-0.0810785j -0.0841614+0.00812226j -0.0730498-0.0671286j 0.0643261+0.0967562j -0.037731-0.0232544j -0.015921-0.110908j -0.0172053-0.0102094j -0.0305518+0.052896j -0.019135-0.0531652j 0.0231724-0.0471075j 0.00323232+0.0113159j 0.0178728-0.003018j -0.0341865-0.0260287j 0.0354221-0.0485015j 0.0402028-0.0181839j -0.00106068+0.0391299j 0.058478-0.0203511j -0.0108591-0.0054851j 0.0280737+0.0115719j 0.0471877+0.0197644j 0.0752648-0.00778845j -0.0203527+0.129985j -0.0574148-0.0457453j 0.0353761+0.0386743j -0.105564-0.0191747j 0.00444886-0.0188802j 0.0353582+0.0720855j 0.00895892+0.0189821j 0.0157115+0.0252722j 0.0341344-0.0390453j -0.012475-0.0581325j -0.0629994-0.00535975j 0.0320841+0.0225067j -0.0209284+0.00265163j 0.0120961+0.00708858j 0.00221342-0.0426612j -0.0210298+0.0477995j -0.00159445+0.0045047j 0.00685398+0.0183084j -0.00921392+0.0132896j -0.0173697-0.0257149j -0.000962409-0.00547051j -0.0114294-0.01842j 0.00244107+0.0235134j -0.00650915-0.0200975j 0.00289337+0.0150558j 0.0159102+0.00345051j -0.0110316+0.00376263j -0.00103591+0.020581j 0.00603132+0.00378547j 0.00677436+0.0179153j -0.018767+0.00943295j 0.00426576-0.00609955j 0.0197123+0.00688351j -0.00297907-0.0091416j 0.00354171-0.0164863j 0.0028674+0.0151285j 0.0135137+0.0216268j -0.0125192-0.0197907j -0.000284152-0.0110433j -0.0131375+0.0145258j 0.00504891+0.00251117j -0.0123995-0.0109451j 0.0140915-0.00292164j 0.00280339+0.011985j 0.0033351+0.0171112j -0.0276791-0.014051j 0.00333396+0.0171674j -0.0079294-0.0449626j 0.00747861+0.000227783j 0.0209407+0.0196258j 0.0249222+0.0431604j -0.00866952+0.00753857j -0.0192932-0.0119836j -0.0168744-0.013732j 0.0306514-0.0309904j 0.000179306+0.0839491j 0.0234734+0.0030867j -0.134239-0.0640297j -0.0171972-0.035454j -0.0757517-0.00801197j 0.311029+0.0702301j 0.0203757+0.305004j 0.00624429+0.0991453j -0.163159+0.057263j 
-0.0752176-0.0466112j 0.0914705+0.10157j -0.00631948+0.10114j -0.0143455+0.094709j -0.0142081-0.0291947j -0.00502831+0.00499896j 0.0211771+0.0385938j -0.00454646+0.0205318j 0.00975022+0.0153996j -0.0147018+0.0188032j 0.0243265-0.0163209j 0.0762998+0.0725778j 0.0618064-0.0213007j -0.0952944-0.0466356j 0.0917777-0.000568857j 0.0401759+0.00877069j 0.0806024+0.10222j -0.00371019-0.020972j 0.00684274+0.111866j 0.0321195-0.00738368j -0.00740386-0.0177346j 0.00139699+0.0752776j 0.0361329-0.0299126j 0.0249715+0.0148762j 0.0106012+0.00697127j 0.0229403-0.0089223j 0.011492+0.0115172j -0.0261346+0.00381349j 0.042386+0.0115505j 0.000103663-0.0479261j 0.0121593+0.0060816j 0.00389104+0.049828j -0.0127375+0.041384j -0.129626-0.0467289j 0.0389805-0.101995j -0.107082-0.0168408j -0.0315474-0.0522122j -0.0364766-0.0727076j 0.00724399-0.0218942j 0.0190527+0.0190646j -0.0067099-0.0249901j -0.0202433-0.046232j -0.0355815+0.0502925j -0.0171463+0.00498235j -0.0192932-0.0365827j 0.0223878+0.0399045j 0.00300803-0.0237422j -0.00526681-0.0260364j 0.0238508+0.0386968j -0.00845177+0.00570323j -0.0111879-0.0268708j 0.0159222-0.00936582j -0.00884763-0.011546j 0.00669153-0.0124358j -0.0390209-0.0369509j -0.000128508-0.0263215j -0.0119806-0.0127236j 0.00806354-0.00139347j 0.0052952+0.00625109j -0.0140435+0.0122129j 0.00662121+0.00393257j 0.0161678+0.0114423j 0.0157331-0.0136245j -0.0046487+0.0233666j 0.00194245+0.00653888j -0.0168759-0.0213506j 0.00904513+0.0187123j -0.000684077-0.00889152j 0.0108795+0.00589474j 0.0202789-0.0141929j -0.0386907-0.0122295j 0.0060086-0.0154565j 0.00637486+0.00740117j -0.0106704-0.0154213j -0.0146735-0.00675426j -0.00730687+8.73803e-05j 0.00734817-0.0053269j -0.0202414-0.0140219j 0.0127737+0.00522748j -0.00985559-0.0136676j -0.0130154-0.0226701j -0.0365335-0.0413502j -0.0317272-0.00231842j -0.0018685-0.0329008j 0.0255856+0.000701148j -0.0445654-0.0148855j 0.0252821-0.00786891j 0.0483852+0.0319678j 0.00271472+0.0375725j 0.0809487-0.0548463j 0.0786566-0.0242463j 0.0652754+0.00280449j -0.0143947-0.0402982j 0.0671122+0.30174j -0.313594-0.108173j 0.153836-0.0464892j -0.00349618+0.0885716j 
0.0853915+0.0309714j 0.141734+0.0141049j 0.0160176+0.092463j -0.0339131+0.08366j -0.0560109-0.039393j 0.0374226-0.127085j -0.0351649+0.141216j 0.0739263+0.0991649j -0.0313413-0.0301025j -0.04667+0.0672439j 0.0310259-0.0499935j -0.156283+0.0865492j -0.212563+0.00405203j -0.032997-0.0676622j -0.173688-0.220818j 0.0856697-0.0350077j 0.151426+0.0131943j 0.00964341+0.0306442j 0.033832-0.0308953j 0.00292305-0.0117713j -0.0197058-0.0235518j 0.0364545+0.0301363j -0.0382995+0.0437857j 1.47755e-05+0.0318884j 0.0306207-0.0644557j -0.0547013+0.0667766j -0.023659+0.0247482j -0.00914974-0.022354j 0.0920455+0.0648192j 0.0292103-6.77169e-05j 0.0126441+0.0484446j -0.0437872+0.0612647j -0.0234657+0.0835113j 0.122461+0.00691835j -0.054974+0.0428246j 0.0332252+0.0591691j -0.0511567-0.0434709j -0.0424202+0.00205517j -0.000818187-0.0177942j 0.0486235-0.000793709j 0.00472261-0.00892218j -0.0412424+0.0362018j 0.0124682+0.0325396j 0.0146772-0.0658328j 0.00130066+0.0170363j 0.0255839-0.0202504j -0.0166735-0.00186655j -0.00713862+0.00570203j -0.0196954-0.0314614j -0.00130788+0.00552262j 0.0346851-0.0159394j -0.00957346-0.0176561j -0.00413528-0.0278299j 0.00871936-0.00378518j 0.0241879-0.0214736j -0.0229182+0.0114055j 0.00797871+0.0196923j -9.76541e-05+0.0113233j -0.0153686-0.00334934j 0.0130677-0.00611077j 0.00194599+0.000712156j 0.00545398+0.0180486j -0.0353812+0.0100408j -0.00311402-0.00280399j -0.0261205+0.00370938j 0.0259781+0.00478403j 0.0201936+0.0019138j -0.0280486+0.00186047j 0.0015841+0.0237379j -0.00461792+0.0127652j -0.00441008-0.00837194j -0.0272881+0.00842235j -0.0130167-0.00601182j -0.00614317-0.00921059j -0.023438-0.00424113j -0.0138041+0.0110205j -0.0323984+0.00817987j -0.00605058+0.00279697j -0.0200818+0.00121897j -0.00762955-0.00897236j 0.0140842+0.0167862j 0.0114246+0.0530443j 0.00631985+0.00819377j -0.0144842-0.0335958j 0.00268752+0.00323201j -0.161901-0.0423949j 0.00592974+0.00162027j 0.00886277-0.0232785j 0.0913615+0.00916195j 0.0200422+0.0505922j 0.0564512-0.172766j 0.0168673-0.0180607j 0.015363-0.00450984j 0.00744365+0.0558952j 0.11091-0.0281489j -0.0126574-0.0867263j 0.0737453-0.100518j 
-0.190843+0.0436001j 0.0468559-0.00411494j -0.0845931-0.0354394j -0.0956893-0.0746291j -0.0389159-0.029823j 0.0502733+0.142197j 0.00160326-0.0510171j -0.084575-0.0659069j 0.0648382-0.000111987j -0.0808418-0.0448327j 0.0564131+0.145964j 0.0483976+0.0803336j -0.218797-0.154007j -0.0401536-0.246837j 0.0367554-0.125757j -0.141384+0.0587621j 0.0219314+0.0139684j 0.000993766-0.00187935j 0.0190065-0.00958412j 0.021386+0.070413j 0.0320899-0.00294171j 0.00551721-0.0199578j 0.0364573+0.00585753j 0.0250212+0.000942911j 0.0353631+0.0359464j -0.0127953-0.0109698j 0.00672973-0.00130638j -0.00352179-0.0149668j 0.00317507+0.0412898j 0.0261068+0.0420225j -0.0644099+0.0126867j -0.0606525-0.0556012j -0.0143307-0.0476277j 0.013062-0.00996641j -0.127678-0.0821122j -0.0289993-0.0673314j -0.0365812-0.0929609j 0.0170759+0.0235928j -0.0452607+0.00956564j -0.0122494+0.0112538j -0.0439535+0.0221722j 0.00492448-0.0055785j 0.000536698-0.0342184j 0.0251845+0.020558j -0.0133392-0.0222093j 0.013871+0.0248957j 0.000123482+0.0183244j 0.0111891+0.0120001j -0.024381+0.013524j -0.0178906-0.0118475j -0.0133519-0.0188845j -0.0123775+0.00118603j 0.00950345+0.00590665j -0.00437434+0.00484748j 0.00185095-0.0196446j -0.00465831-0.00462959j 0.0097655-0.00325054j 0.000358505+0.0217721j -0.0130267+0.0217582j 0.0141359-0.00479208j -0.00378367+0.0140513j -0.00557954+0.00873869j -0.0167576+0.020648j 0.0259975-0.00331732j -0.0102145+0.00226272j -0.00524239-0.014055j -0.0023089+0.00443504j -0.00160841-0.00205853j 0.000209357+0.00553707j 0.00836398+0.0206408j 0.0194202-0.00945978j 0.0321065-0.00556144j 0.0333658-0.00395593j -0.0367377-0.00384365j 0.0132471-0.0117433j -0.000659576-0.0284018j 0.0180049+0.0142686j -0.0126033+0.00860795j 0.0381132+0.00482192j -0.00312248-0.0331853j -0.00370865-0.00973726j -0.0275698-0.0101188j -0.0317601+0.015471j 0.0383235+0.0287756j 0.0354895+0.064252j -0.033995-0.115333j -0.0290106-0.0267524j 0.0599189+0.0454707j -0.028471+0.0208366j -0.0854512+0.0815613j 0.0884012+0.0727152j -0.00560676-0.0131395j 0.0405925-0.00793412j 0.0258305+0.0131294j 0.0592952+0.0204343j -0.0510609+0.0747163j 0.0215107-0.0608931j 
-0.0128101+0.0536875j 0.0348533-0.0920446j -0.173612-0.0531906j -0.146748-0.143175j -0.100654+0.00626223j 0.00773346+0.0303605j 0.0274492+0.0465164j -0.0426032+0.0736792j -0.0630608-0.111093j 0.0602624-0.0446359j -0.00727129+0.0012921j 0.0703392-0.107402j -0.0146037+0.16177j -0.0934408+0.081421j 0.0400993-0.163568j 0.0164663+0.078119j 0.0649084-0.0315242j -0.0298324-0.00944587j 0.00827325+0.0144605j 0.0389254+0.0411056j 0.00558478-0.00237741j 0.0127645-0.0112964j 0.0361335-0.0195751j 0.0178559-0.00979692j 0.0591665+0.0158978j -0.00918318-0.00242261j 0.0140132+0.00560273j -0.00320486+9.46573e-05j -0.0186823+0.046338j 0.0239865+0.036039j 0.0233896+0.052161j 0.0178885-0.015493j 0.032622+0.00551518j -0.0296386+0.0469937j 0.0558764+0.0830524j -0.0285453+0.0468243j 0.0324693+0.0132281j -0.0103358+0.000619698j -0.0262326-0.013184j 0.00398635-0.00622683j 0.000481911+0.0367806j -0.0032653-0.00987296j -0.0344265+0.0011582j -0.000906397+0.0170117j -0.0304514-0.015287j 0.0250907+0.0125099j 0.016765+0.0167824j -0.0107897-0.00259554j 0.0109113-0.00814953j -0.0168694-0.0107357j -0.0229609+0.00252093j -0.00678172-0.00653628j 0.000454318-0.0013403j 0.00344388-0.00815809j -0.0127601+0.00540969j -0.00272603+0.000653609j -0.030361+0.0167233j -0.00531837+0.00344997j 0.00511218+0.0090064j -0.00404317-0.00725922j 0.00216352+0.00456953j -0.00739795+0.00511872j -0.0170753-0.012726j 0.00703164-0.0264981j 0.00330407+0.000447266j -0.00492432+0.0245458j 0.00705892-0.00227721j 0.0112787+0.00500185j 0.00471652+0.0102128j 0.0105455-0.00641712j 0.00378366+0.00846779j 0.0136983+0.000205371j -0.00981553-0.00698483j -0.0122689+0.0180577j 0.0201135+0.0211381j -0.0109414+0.0109234j -0.0010435-0.0311552j -0.0432943-0.01067j -0.000643703-0.017388j -0.0407284+0.00121645j -0.0504565-0.00777751j -0.00104378+0.0180747j -0.0238657-4.59086e-05j 0.00225753-0.00464325j 0.0261331-0.0203323j 0.00429193-0.0173224j -0.055319+0.00680958j -0.000551809+0.0155737j 0.007952-0.00220136j 0.0231941+0.0311953j 0.0047107+0.00971915j 0.0182992+0.00384944j -0.00750317-0.00478892j -0.0540977-0.00646468j -0.0714185-0.035341j 0.0439289-0.0217869j 0.0305565-0.00644053j 
0.0318308-0.0159969j 0.0330409-0.0145743j 0.0879629-0.0292819j 0.0444625-0.0631029j 0.0854353+0.0189746j -0.00625301+0.0312887j 0.0602437-0.176295j -0.041742+0.0685358j 0.000744339+0.0713745j 0.0436208+0.0118001j 0.118214+0.0818943j 0.00948405-0.136499j -0.0350396-0.0389812j 0.0136518-0.302869j -0.312827-0.150993j -0.0857785+0.0556149j 0.0176375-0.055977j 0.0282926-0.00723128j -0.0128612+0.0259091j -0.00875252-0.0298448j 0.0128477-0.00652863j -0.0315277-0.0176154j -0.00323881+0.0171557j -0.0113536+0.0215124j -0.0120454-0.00786086j 0.0229026+0.00365829j 0.032514+0.00834412j -0.0213486+0.00676388j -0.0396364+0.0266171j 0.0106986-0.00276787j 0.0233065-0.013719j 0.00264365+0.0387703j 0.000786875-0.021832j 0.0114819+0.0204949j 0.0143996+0.0206999j 0.00722971-0.0256289j 0.00525491-0.00214725j 0.00940701-0.00209404j -0.00724516-0.01072j 0.00610351+0.002552j 0.00251681+0.010535j -0.0073774+0.00785057j 0.00930616+0.0147026j 0.0158849+0.00105631j -0.00763108-1.78774e-05j -0.0003007+0.0120622j -0.0032617+0.0180239j 0.00717505-0.00036233j 0.00710676-0.00473422j 0.00866463-0.0187138j 0.000679708+0.0135103j 0.00505822+0.0166987j 0.00814993-0.00625091j -0.0116112+0.00386115j 0.00661222+0.0158434j 0.0115232-0.00962254j 0.0140015-0.00137533j 0.00655497-0.00805863j 0.00408041-0.0155084j -0.00627996+0.00568888j 0.000517327+0.00731288j -0.00916369+0.000442363j -0.00276952-0.0181061j -0.00948786+0.00149549j -0.0106905-0.00578573j -0.00343907+0.0204727j 0.00497676-0.00225731j -0.0205762+0.00313292j -0.0221946-0.0185777j -0.00286239-0.0011909j -0.000539556-0.026534j 0.00722355+0.0336427j -0.00196441+0.00919874j -0.00402721-0.0104324j -0.0133066+0.0130042j 0.0244045-0.0196256j -0.00788863+0.00430982j -0.0111641-0.00350298j 0.00491208-0.00280188j -0.0235822-0.0286072j 0.0134385-0.00334934j 0.00264964-0.000946198j 0.0301974+0.00909207j 0.00938248+0.0135355j 0.0107082+0.00239629j 0.0122572+0.000555432j -0.0206944-0.016303j 0.0130878-0.00902532j 0.00838106+0.0181091j 0.0061318+0.0106347j 0.000262364-0.00545773j -0.0190671+0.0370653j -0.0169414-0.0173219j -0.0925014-0.0505138j 0.0406672-0.0420448j -0.0479394+0.00212702j 0.0274362-0.0441831j 
0.0485019-0.0758173j -0.0770651+0.0288849j 0.033931-0.0309896j 0.0180026-0.0188943j 0.0593566+0.0635123j 0.0843568+0.00884778j 0.00820699+0.0921674j -0.086054+0.0247996j -0.0543098-0.0254965j -0.053928+0.0227582j -0.026727+0.0133934j -0.116839-0.0472535j -0.037489+0.26577j 0.303966+0.22472j -0.0366402-0.0755999j 0.0724116-0.109425j 0.0362189-0.0540268j 0.0122785+0.000422461j 0.028858+0.00887367j -0.029265-0.029166j 0.00634044+0.01561j 0.0238545-0.0141899j -0.00959385-0.0312161j -0.0107913-0.0200593j -0.0115995-0.0173766j 0.0258634+0.0256654j 0.00227967+0.024398j -0.0118426+0.00340436j -0.00240739-0.0141187j 0.0240377+0.00136695j -0.0289345-0.0128532j -0.0366419-0.00700223j 0.0240609-0.0165754j 0.00658092-0.0168035j 0.00120646-0.0272579j -0.00517485-0.0105575j -0.0075331-0.0141023j -0.017315-0.0212087j 0.010675+0.00877778j -0.00703609-0.0166283j 0.0237309-0.019525j -0.00471021-0.0114404j -0.00481119+0.016532j -0.00267998-0.00741657j -0.00763541-0.010941j 0.00603209-0.0133293j -0.00159234-0.00980252j 0.00192026-0.0119351j 0.0077469+0.000911055j 0.00619126+0.00606391j 0.0018009+0.00399916j 0.00282721+0.00360777j 0.0150493+0.00354204j -0.00343993-0.0186294j 0.0162866-0.0101328j -0.00802756+0.0023503j -0.00872842+0.00703141j -0.00839161-0.0177725j 0.0075125+0.011583j 0.00731075-0.0124785j 0.0134216-0.0143709j 0.0142757+0.00381637j -0.00469622-0.010032j -0.0117985-0.006495j -0.0144812-0.0149359j 0.0162009-0.00663611j 0.0160107-0.000818312j -0.0115205+0.014914j 0.00953561+0.00405179j -0.0147129+0.00337617j 0.00147524+0.00170276j 0.00191831-0.00593762j 0.0126814+0.0105968j -0.0115618+0.00111259j 0.0281413-0.00161944j 0.0276051-0.00684893j 0.0051977+0.00416694j 0.0188931-0.011097j 0.00580427+0.0009756j 0.0248447+0.0124581j 0.00165658-0.0125362j 0.0321335+0.0173546j -0.00865218+0.0209508j 0.00217168-0.0100827j -0.0147868-0.0189118j -0.0299927+0.0126602j 0.0093223+0.00842995j -0.0159695-0.043461j -0.0134899-0.0239043j 0.0154194-0.0110408j 0.0209069-0.00800883j -0.030477-0.021117j 0.0236276-0.0371707j -0.0137695+0.0610989j -0.0634505-0.0445586j 0.0201101-0.0495552j 0.0317731+0.00516116j 
0.14615+0.036691j -0.0625615+0.0539247j 0.00675871+0.169523j 0.0106847-0.00728079j -0.0718443-0.0695752j -0.0298144-0.0815856j 0.0258501-0.100432j 0.0361063-0.13349j -0.0527465-0.144221j 0.149963+0.349646j -0.140564-0.00961895j 0.0548056+0.11876j 0.0396448-0.190896j -0.140032+0.154395j 0.0390229-0.0953207j 0.143344-0.0348575j 0.0671519+0.139266j 0.00234921+0.0804959j -0.0409083-0.00981897j 0.0559217+0.0103024j -0.030234+0.0258845j 0.00134693+0.0551436j -0.0198551-0.0201051j -0.0246552-0.0181025j 0.0388865+0.0285123j -0.0191564+0.0435615j -0.0244368+0.0177493j 0.00908576-0.0337486j -0.0104243-0.0133535j -0.000239147-0.0166981j 0.0385001-0.00287867j 0.0225324-0.0170953j 0.0291193+0.00698994j -0.00135482-0.00364078j -0.00210388-0.012984j -0.0213872-0.0122798j -0.00485577+0.0408033j -0.0166202+0.000259108j -0.00644344-0.0284465j 0.0316762+0.0212257j 0.0377151-0.0139332j -0.0146407+0.0111775j -0.00417621+0.0302833j 0.00488825-0.00658659j -0.0129867+0.00536098j 0.00664349+0.00924553j -0.00428804-0.0127055j -0.0184976+0.0288035j 0.013997-0.0239048j 0.00523623+0.00693487j -0.0133969-0.0171227j -0.012015-0.0204005j -0.00742254-0.00228974j 0.00170398+0.00908343j -0.00138801+0.016027j -0.00411637+0.00675838j 0.0100166+0.0047841j -0.00418759-0.0200166j 0.000644597-0.0185664j -0.00405784-0.0148925j -0.017448-0.0188819j -0.00586742+7.94617e-05j 0.00333676-0.00994513j -0.0123235-0.00573086j -0.000242467+0.0238036j 0.0235215+0.00878669j 0.0103889-0.0020026j 0.0153087+0.0157165j 0.0185274+0.00102544j -0.014071-0.00826236j 0.00781338-0.0010353j -0.0112666-0.0226869j -0.00568931-0.00890552j 0.0223627-0.0147914j 0.0105743+0.0066696j -0.0121025+0.00737285j -0.00745638+0.0178222j -0.00129808-0.0160531j -0.026581-0.00423807j 0.00302729-0.0183152j -0.00494018+0.0184809j 0.000778628+0.0230483j -0.014034+0.00366223j -0.0164451-0.0101396j 0.00249274-0.0144103j 0.0214683+0.0106535j -0.0212727-0.059865j 0.0302536+0.000981979j 0.0182453-0.0187099j -0.00265911+0.00211635j -0.00867981-0.0250328j 0.0271566-0.00836224j 0.0079954+0.0347375j -0.0465112-0.0594476j 0.0612993-0.0432252j 0.00167536-0.0570947j 0.047565+0.0118395j 
-0.0401223+0.0327922j -0.11278-0.0555155j -0.0646336-0.016759j 0.081958-0.0485631j -0.0800733+0.0552232j -0.17275-0.140123j -0.102199-0.0443076j -0.0566878+0.00801837j 0.0036056+0.0585856j 0.311382-0.0923627j -0.0928673-0.10609j -0.151466-0.0974269j -0.0126487-0.204177j -0.0499389-0.0877572j -0.392148+0.0716514j 0.103922+0.138388j -0.127054+0.013914j -0.00821122-0.0210192j -0.0430161+0.0486976j 0.0222388-0.0110201j -0.0221466-0.0225879j 0.0242765+0.0545951j 0.0090243+0.00295447j 0.0117141-0.00264126j 0.0119175-0.00267671j 0.0404444+0.0219716j -0.0039265-0.0235385j -0.0267635+0.028549j 0.0233498+0.0133096j 0.0206189+0.00223005j -0.0307413-0.0192574j 0.0292428-0.0166661j 0.00729648-0.0297223j 0.0192105-0.0134804j 0.00631574-0.0180603j -0.0169903-0.0334477j -0.0275377-0.0103389j -0.0147152-0.0307375j 0.0107503+0.00425014j -0.0258054-0.00307319j 0.0263837+0.0192653j 0.00494282-0.0276047j -0.0188836+0.00653964j -0.016723+0.0110907j 0.00273574-0.0147485j -0.00873728+0.0129004j -0.00392133-0.00584969j -0.0208276-0.0168586j 0.00598598+0.00464045j 0.0121014+0.00612645j -0.0139569-0.00876867j -0.00073528+0.00132762j -0.0160362-0.00637993j 0.00711954-0.00965863j -0.0152751-0.00671021j -0.00174498-0.00845772j -0.0067366+0.00739897j -0.0141094+0.00154555j -0.0057921-0.0042012j -0.0186443+0.0226885j 0.00382019+0.00280556j 0.0132374-0.00105351j 0.0191859+0.00573819j 0.00568437+0.010812j 0.00821942+0.000663302j 0.00643506+0.0105672j 0.00167637+0.0132776j -0.00970502-0.0334259j 0.0312983-0.00125544j 0.000919714-0.00876396j 0.0147502+0.000773183j 0.0173388+0.00156842j 0.00570201-0.0126367j -0.00659179-0.00972305j -0.0163167+0.00544222j 0.00724979+0.0191006j 0.0182892-0.00709403j -0.00148411+0.00738107j -0.00209238+0.000697743j -0.0176035+0.00220184j -0.00662549-0.00981174j 0.014852+0.000244135j -0.0249065+0.00842256j 0.0123163-0.015675j -0.00719069+0.000116626j -0.0134328-0.0220594j -0.0388937+0.00910629j -0.0467167-0.0277079j -0.00825271-0.00148671j 0.0075282-0.0184394j -0.00210096+0.0206267j 0.000724072+0.0261179j -0.0272911-0.000494119j -0.0129184+0.0712677j -0.0513721-0.0397347j 0.0502663+0.0175737j -0.0176112+0.0433772j 
-0.0050141-0.0403596j 0.0258455+0.0134499j -0.0442587+0.19355j 0.0158211+0.190453j -0.114733+0.0221315j 0.1057+0.142367j 0.00894171+0.120193j 0.00931221+0.0961626j -0.00656849+0.0541116j -0.0799313-0.139121j 0.0123399+0.00897078j -0.182647+0.200054j -0.132736-0.024222j 0.124495-0.0466606j -0.150673+0.0174879j 0.0199486-0.104622j -0.00523164-0.0103644j -0.00394632+0.055172j 0.0152361-0.0973313j -0.0228414+0.0248189j -0.00376285+0.0135241j 0.0203525-0.033405j 0.00400893-0.0216669j -0.0104877-0.0152419j 0.0204-3.86817e-05j 0.013414-0.00649817j 0.0135373-0.0310054j -0.0227956+0.00174985j 0.0286194-0.0184322j 0.0171095-0.00542045j 0.00738863+0.0192714j 0.00543324-0.0028625j -0.00505004-0.0249454j 0.00593013-0.0140502j -0.000576044-0.0161727j 0.0084514+0.0240884j -0.0153576-0.00745588j -0.00247114+0.0217864j 0.000314516+0.0212422j 0.00691585-0.0058198j -0.00964-0.0239066j 0.00570546+0.00873138j -0.00285747-0.0250062j -0.00320846-0.00370137j -0.000351758+0.0212758j 0.000836107-0.0262966j 0.00467723-0.0217966j 0.00456015+0.0148459j -0.0154541+0.00949464j -0.00706086+0.0253402j 0.0183392+0.00619602j -0.00834824-0.000272287j 0.00876928+0.0184971j 0.00115716+0.0116458j 0.0192492-0.0118873j -0.00373859+0.00315832j -0.00898695+0.00129753j -0.0155941+0.0113922j 0.00397302+0.0117842j 0.00411738-0.0306283j 0.00569535+0.00460258j -0.00626526-0.00935104j -0.00982392+0.0222723j -0.00726525+0.000332462j -0.0288442+0.00879697j 0.0169222+0.0113117j 0.00706484-0.00814268j -0.00782198+0.017738j -0.0105829+0.000651799j -0.00511288-0.0072163j 0.0364061-0.0187018j -0.00511878+0.0147066j 0.00288515+0.0345011j -0.0109945+0.00760299j -0.0183375-0.0019339j 0.0131934-0.000819384j 0.0213237-0.0180882j -0.000777295+0.0123317j 0.0122054-0.013066j 0.0138821+0.00807391j 0.00696886+0.0101432j 0.0120221+0.0157192j 0.00353823+0.00522264j 0.00558088+0.00648271j -0.0106776+0.0080932j -0.0466455+0.0163726j 0.041193+0.0183498j -0.00936168+0.0574166j -0.0105487+0.0284047j -0.000861967+0.0260841j -0.0127194-0.0316199j -0.0265429-0.0282861j 0.0195601-0.0227281j 0.0816816+0.0171303j 0.0501412+0.0733956j -0.0307443+0.0029126j -0.0293257-0.0338535j 
0.00825918+0.00656399j 0.0436225+0.0529919j 0.0909698-0.032013j -0.0420352+0.0656094j 0.0843135+0.0276978j -0.0250142+0.0334499j 0.0728236+0.0291779j -0.20487+0.0401966j 0.27733+0.0600625j 0.0706002+0.248109j 0.00498986-0.274109j -0.188157+0.0916388j 0.0298035-0.068534j -0.0566727-0.0230369j 0.232494+0.0824156j -0.0191366-0.0385222j 0.0122804+0.0534918j 0.00223994-0.00287085j 0.0373499-0.0205854j -0.0136643+0.0031182j 0.00364294-0.00576142j 0.00195784-0.0164856j -0.0268062+0.018592j -0.0241434-0.00435889j -0.00706961+0.0315189j -0.00418161+0.0163556j -0.0294645+0.00395221j -0.00832165+0.054659j -0.021427+0.019275j 0.0523827+0.0244907j -0.0292518+0.0140755j 0.0458035+0.0153334j 0.0012147+0.0174118j 0.00509338+0.0087254j -0.000513759+0.00277868j 0.0076268+0.00721358j 0.00566303+0.0126219j 0.0133655+0.00973362j 0.00789646+0.000999878j 0.0101109+0.0174651j -0.00519027-0.0135087j -0.00289467+0.00980471j 0.0136334+0.000631012j 0.00895127-0.014529j 0.0112901+0.00922158j 0.00788598-0.0053289j -0.000732697-0.00138336j 0.00925-0.000515442j 0.00589155+0.00233305j -0.00311247-0.00387297j 0.00542284-0.0010301j -0.000160732+0.00154562j 0.0029243-0.00778176j -0.00289006+0.00364122j 0.0112565-0.00539679j 0.00162508+0.000550365j 0.00917158-0.00716361j -0.0139152-0.00296933j -0.00734757-0.00433644j -0.00096518-0.000659422j -0.00703322-0.0152761j -0.0139447-0.0168025j -0.00151413+0.00106733j 0.0147117+0.00101157j 0.0018847+0.00840203j 0.00772098-0.000904692j -0.0101662+0.0163428j -0.0119579+0.025562j -0.00253584+0.000326851j -0.000116355+0.00692373j -0.00749874-0.00765557j -0.0183931-0.0229242j -0.017544+0.0120341j 0.0070397-0.0168803j -0.0102228-0.000573752j -0.00680018+0.00422667j 0.008248-0.000744363j -0.00137387-0.000149646j -0.0122567+0.00827849j 0.00678772+0.00263168j 0.00662014+0.00601703j -0.0224279-0.00494373j 0.0116108-0.0165945j -0.00287489+0.0109129j 0.000441711+9.69041e-05j 0.00819466+0.018238j 0.0259266-0.00573676j 0.0140744+0.0113435j 0.00877956+0.00640694j -0.0121859-0.0043093j -0.00233374-0.0258772j 0.00897228-0.00644026j 0.00952983+0.00847261j 0.00557569-0.0188895j 0.0377385+0.0201915j -0.0105759+0.00410744j -0.00097587-0.00517705j 
