-0.00267135-0.0113859j -0.00313883-0.00130125j 0.0100392-0.00980476j 0.0109136-0.0263997j -0.0076353+0.00904232j -0.000840493-0.0095324j -0.000416031-0.00386967j 0.0115445+0.00807251j 0.0163615-0.0137951j -0.00351049-0.0229027j -0.00619073-0.0162714j -0.00831967+0.0530332j 0.0171355-0.00670643j -0.0123051-0.0323442j -0.00883025-0.0629269j 0.00518329-0.00898404j -0.00251239-0.00721282j 0.000853909-0.0108533j 
0.0159488+0.0093552j -0.00821447-0.0197199j 0.016865-0.0155562j -0.018071-0.0144824j 0.00201174-0.00813804j -0.0237666-0.00192587j -0.00682415-0.0023719j -0.019821-0.0101199j 0.00782936+0.0170522j -0.000775695-0.0394745j 0.00814997+0.0311971j -0.00986865+0.0690886j 0.00248229-0.047622j -0.00857312-0.0533725j 0.00956721+0.0202027j 0.00143084+0.0164092j 0.00519263-0.00438871j 0.00194813+0.0113697j 
0.021994+0.0203092j 0.0225576+0.00981003j -0.0302144+0.0161951j -0.0111244-0.00229483j 0.0290208+0.00461346j 0.0369952-0.003093j -0.0121739+0.0151784j 0.0269217-0.00572586j 0.0095812-0.00472812j -0.0121026+0.0149941j 0.0112483+0.0209513j -0.00134729+0.0475488j 0.0126408+0.0252729j -0.00193339-0.00699347j 0.0130092+0.0488497j -0.000715201+0.0236528j -0.00147479-0.00201389j -0.00382748-0.00562692j 
0.010961-0.00404955j -0.00308017+0.00318639j 0.0277114+0.00721037j 0.0113923+0.00587116j 0.0206838-0.000800799j -0.0479988+0.00796137j -0.00564886+0.00259617j 0.0149324+0.00363678j 0.0184776-0.0105229j -0.020179+0.0309002j -0.00714686-0.0506994j -0.0110908-0.0663284j 0.00920342-0.00575822j -0.00201205+7.99905e-06j 0.000688081+0.00841448j 0.0036987+0.0132535j -0.00408773-0.0111745j -0.000126677-0.0104987j 
-0.00529011-0.0304175j 0.00730701+0.00460383j -0.0195901-0.0251009j 0.00879629+0.0129663j 0.0174677-0.00862671j -0.0167763-0.00809619j 0.0285124-0.0221634j 0.010317-0.0133921j 0.00777231+0.0355084j -0.00736668-0.0359426j -0.00210424+0.0807403j -0.00143052+0.00772011j 0.00431005+0.0113945j -0.0018234-0.000903572j -0.00441854-0.0259589j 0.00366224-0.00148947j -0.00599356-0.00885227j 0.0020157-0.00688478j 
0.00419502-0.0401365j 0.0132698-0.0342335j -0.0148351+0.0247563j -0.0059939+0.00872584j -0.0107849+0.0389688j 0.0278068+0.0131669j 0.0392039+0.00326776j -0.0074835+0.0127976j 0.0168425-0.0180032j 0.00440525+0.0257022j 0.0063502+0.00937769j -0.0205887-0.037455j 0.012526+0.0418831j -0.000721214-0.00886754j -0.00581895-0.0167913j 0.00028923+0.0152532j 0.00399512-0.010537j 0.00198635+0.0148793j 
0.0170162-0.0239175j 0.00988344+0.0473219j 0.0095279-0.015171j 0.0339055-0.0280602j 0.0410082-0.015776j 0.0212543-0.0210348j -0.0170985-0.0221018j -0.00608169-0.0135519j 0.00834913-0.0145379j -0.00340048-0.0088053j -0.00128641-0.028622j 0.0121794+0.0427064j 0.00206104+0.00838684j -0.0027493-0.0106936j -0.00567847-0.00224089j -0.00468697+0.00382342j 0.0019467-0.0090014j -0.000994161+0.00551136j 
-0.00828359+0.0378664j -0.0118323-0.0152126j -0.0402333+0.0281828j -0.000444571-0.00612745j 0.0148239+0.0003698j 0.00223598+0.0118665j 0.0148563+0.0303402j 0.0114393+0.0105634j -0.000313942-0.0137851j 0.0045601+0.0116248j -0.00787156-0.0238169j 0.00625591+0.0170968j 0.00136998-0.00111619j -0.00135094-0.00017648j 0.00362864+0.00523887j 0.0056083+0.00656036j -0.00626967-0.0149j 0.00331991-0.00474076j 
-0.000908017-0.0472656j 0.0119546-0.0380305j -0.005181+0.0413632j -0.0219634-0.00551191j 0.0478209+0.0388016j 0.00711774+0.0327208j -0.0274107+0.00736532j -0.00898509-0.00618749j -0.015833-0.00811175j 0.0206114+0.0239621j 0.0120231+0.0201933j -0.00469876-0.00390802j -0.00467023-0.0187153j 0.00269461+0.00971466j 0.00296265-0.00372217j -0.00177456-0.0131977j -0.00152328+0.00637838j -0.00235549-0.0102578j 
0.0058968-0.0633245j -0.0334337-0.00114468j -0.00352367-0.00262701j -0.00593271-0.00934494j 0.0140369+0.0246292j 0.0030079+0.00155743j -0.0218976-0.0157318j -0.0164577-0.00283754j 0.00170471+0.00375396j -0.0037054-0.0132602j -0.000763799-0.0049616j -0.00484187-0.00455012j 0.0107667+0.0109293j -0.00398659-0.00500387j 0.000413616-0.00193164j 0.00563609+0.0113359j 0.00379884-0.00385808j 0.00380981+0.00944173j 
0.0305639+0.00734884j 0.005263-0.0612034j 0.00788449-0.0161593j -0.00153047+0.00834568j 0.0124522+0.00902287j 0.00986085-0.00150859j 0.0157929+0.0224641j 0.0111351+0.0185014j 0.0127912+0.0115933j -0.0210262-0.0155492j -0.000744966+0.000448737j -0.00668418-0.00696533j 0.003042+0.00715517j 0.000158967-0.00319944j 0.00393982+0.00772684j -0.00541353+0.00132567j 0.00488521+0.0101772j -0.00417511+0.003245j 
