0.00796235+0.0707462j 0.00277238-0.0257701j -0.123668+0.0192912j -0.175189-0.097271j 0.0350897-0.119097j 0.00196793-0.226528j -0.120188+0.15905j 0.0154859+0.0382552j -0.0399067+0.113251j -0.055534-0.105267j 0.150671+0.0607604j 0.0235492+0.00697546j -0.0744498-0.060627j -0.0167555+0.299266j -0.0601204+0.165617j -0.0575235-0.00605074j 0.124676+0.0171392j 0.0464277+0.0218074j -0.0684334+0.0251523j 0.081164-0.118776j -0.0874263+0.219635j 0.0785851+0.0247306j 0.187565+0.0391595j -0.0461603+0.266828j -0.101525+0.0786336j -0.0601652-0.115805j 
-0.0223353-0.0817428j -0.032208-0.0451707j 0.1537+0.129052j -0.0600014+0.106271j 0.0205831+0.0974507j 0.0905473+0.0467782j 0.0734134-0.03776j 0.130123+0.0545029j -0.220982+0.0452934j 0.0336103+0.107181j -0.0223599+0.235232j 0.0195005+0.179589j -0.0661591+0.000160543j 0.104096-0.145012j -0.0951895+0.0824609j 0.0906387+0.0747405j 0.0851246-0.0468727j -0.0186418-0.0547944j 0.00588404+0.0581396j 0.179417+0.091073j -0.0337042+0.0888888j 0.0541071+0.0370738j 0.0926421-0.236984j 0.228777+0.0682239j 0.0433909+0.0891035j -0.064173+0.0566722j 
-0.016028-0.0124433j -0.010168-0.0320915j -0.0632158+0.00289956j 0.0257757+0.0604912j -0.0684319+0.161711j -0.0653523+0.0990462j -0.0962142-0.279134j -0.160109-0.349105j 0.284111-0.174597j -0.101968+0.194487j 0.0147618-0.411477j -0.022335+0.0379508j 0.152009+0.00117288j -0.158002-0.0488807j 0.0613931-0.237946j -0.0651085-0.207257j -0.00597566-0.00299966j -0.0626623+0.109152j -0.147192-0.101861j -0.00516819+0.0788547j 0.00578366+0.076132j 0.0201278-0.0445604j 0.0566789-0.0660033j 0.0138841+0.0825306j -0.0277823+0.0317365j -0.0478433-0.0124682j 
-0.00189985-0.069485j 0.00182416-0.0684264j -0.120635+0.185331j -0.19853-0.0352944j 0.0852914+0.290393j 0.172384-0.258925j -0.236332-0.182705j -0.043798-0.223627j -0.0941515+0.113534j 0.0181449+0.205961j 0.35684-0.0267505j -0.0234877+0.350438j -0.101452+0.0970554j 0.221362+0.142857j -0.0504362-0.118145j -0.153179+0.132905j -0.012859+0.086628j 0.0658009+0.0230661j 0.0655971+0.0599521j -0.0189634+0.0229428j 0.0384688-0.163972j -0.0587677+0.0722211j 0.03733+0.0284233j -0.0136692-0.0337955j 0.0261658-0.0293971j 0.011907+0.0243167j 
-0.0423602+0.0469437j 0.00688222-0.0159024j -0.0588915-0.192754j 0.00638574-0.142787j -0.0329022-0.0789746j 0.0407033-0.0898624j -0.169473+0.239712j -0.176319-0.132711j 0.23084+0.0400084j -0.0729863-0.160851j 0.181039-0.0651869j -0.0599778-0.288023j 0.101015+0.0503442j 0.00437508+0.391609j 0.0262441+0.114679j -0.146583+0.104362j -0.0223756-0.00204961j -0.0625552-0.221928j -0.112759+0.124596j 0.00238365+0.0996588j 0.0247125-0.0934636j 0.032153+0.0515541j -0.0402294-0.0578379j 0.104031-0.0446421j 0.0588726+0.012167j -0.0209322+0.0362476j 
0.0265938-0.0453024j -0.0492719-0.00498453j 0.113989+0.1438j -0.0167344+0.0177951j -0.063953-0.123142j 0.127141+0.0787383j 0.0158433+0.0185777j 0.0441942-0.0397019j 0.0710409+0.0569339j 0.0152062-0.10031j -0.0742003+0.0279455j 0.00628886-0.193945j 0.259236-0.0712655j 0.0429812+0.01149j -0.0713829+0.00124091j 0.0861271-0.0332301j -0.0767181-0.0870703j -0.0170485+0.0167835j 0.0648463+0.1679j -0.13749+0.0466826j -0.0315567-0.229882j -0.438084+0.0407145j 0.230327+0.0346071j -0.0260596+0.0289783j 0.0149461-0.0172332j -0.0282801+0.00700098j 
0.00809196-0.0438144j -0.0344685-0.0341087j 0.0177711+0.0778271j -0.196287-0.0455291j 0.0223597-0.0363588j -0.178138+0.117229j -0.0514289-0.00761271j -0.131798+0.00874455j -0.0514985+0.00235709j -0.124065-0.0829337j -0.0961607+0.0912788j 0.0173508-0.0748202j -0.266116+0.0565255j -0.195842-0.107292j 0.232079-0.0777314j 0.0385666+0.10728j -0.19089+0.0922077j 0.0867524-0.219467j -0.00700504-0.041961j 0.0572901+0.282919j 0.20089-0.256866j 0.335517+0.123001j -0.0555307+0.154904j -0.077775+0.0932699j 0.0170788-0.0458362j -0.0423172+0.00534663j 
0.00699835-0.00403154j 0.0226003+0.039872j -0.0503429-0.0207484j 0.018505-0.0655556j 0.0387978-0.00183473j 0.0575108-0.102974j 0.00543089+0.0414311j 0.0189558+0.112583j -0.0575161+0.0814382j 0.0936231-0.0512464j 0.0456971+0.0582312j -0.0179391+0.0213258j -0.0485464+0.0567509j 0.114702-0.00684814j 0.0141469-0.0904175j -0.0526489+0.0641219j -0.113665+0.108112j 0.134912+0.0695082j 0.172407+0.0837586j -0.209354-0.100931j 0.11081-0.239573j -0.0886561-0.104542j -0.139278+0.133912j -0.129013-0.162673j 0.00610434-0.0545716j 0.0116036-0.0614369j 
-0.0116484-0.00258249j 0.0504634+0.0933775j 0.145527-0.0237592j -0.0180248+0.206185j -0.0945354-0.0844879j -0.076678-0.0981778j -0.0311065+0.0584422j 0.0234537+0.154126j 0.0417338+0.0521865j -0.0679823+0.0255305j -0.0654821-0.0548489j -0.0673476+0.033634j -0.113658-0.0189921j 0.0118947+0.110276j -0.0386636-0.157116j -0.0891688-0.232525j -0.0977327+0.208093j 0.265813+0.251085j 0.108483-0.13291j -0.226585-0.171947j -0.13048-0.0771414j 0.00856757-0.0659104j 0.0607498-0.0452067j -0.0618126+0.145993j 0.00708048+0.0120816j -0.0388954-0.0433164j 
-0.0170002-0.00575095j -0.00811646-0.00521494j 0.0353213-0.0102928j -0.024644+0.0149439j -0.0310914-0.0116554j 0.00568914-0.0206472j -0.0418461+0.0649027j -0.0194963+0.00265147j 0.00102535+0.0491062j -0.0182663+0.0280419j 0.0252472+0.0213519j 0.0116381-0.0286487j -0.0485934+0.00468901j -0.0069145+0.0981239j -0.046989+0.0832828j -0.0309328-0.00461111j 0.0286286+0.0273962j 0.0188457-0.0732108j -0.0339058+0.0207389j 0.0651399+0.0351966j -0.0457324+0.0411174j 0.0325071+0.0371044j 0.0608351-0.0668527j 0.0831971+0.0860101j -0.0205257+0.015483j -0.0154299-0.0101943j 
0.0381279+0.0344375j 0.0122164-0.0449965j -0.137048+0.148088j -0.114211-0.149057j 0.0977816-0.0410432j 0.0176195-0.0278752j 0.0192509-0.0938922j 0.0666827-0.0118048j -0.0987862-0.0271683j -0.00679524-0.0610767j -0.0297979-0.0347189j 0.0680821+0.0552978j 0.0867134-0.0829744j -0.0840662-0.0504443j -0.066054+0.114865j 0.144597-0.00783754j 0.0622199-0.147044j -0.109838+0.0830077j -0.0885629-0.0586304j 0.107818-0.064945j -0.00794317+0.181843j 0.00104985+0.000265822j 0.0857822+0.0841703j -0.1317+0.0873749j -0.0166112+0.106765j -0.0215871-0.0238842j 
