-0.00415405-0.0363862j -0.028178+0.0630554j -0.0456996-0.0114535j -0.0425538-0.0315598j 0.000221831+0.00521702j 0.00353772-0.0139494j -0.0323166-0.0834835j -0.0157015-0.0237212j -0.00338192-0.0373644j -0.00937345+0.00996658j 0.000286993+0.0303313j 0.0161363-0.0194493j 0.00505018+0.0291389j 0.0209312+0.021823j 0.0352877-0.0468505j -0.0150359-0.0052763j -0.00715075+0.049108j 0.0244165+0.031973j 0.0303642-0.0112441j -0.003007-0.00566916j 0.0022861+0.00176892j -0.0227655-0.0126336j -0.0161782-0.0127988j -0.0274677-0.00744089j 0.0178392-0.0328172j 0.00340664+0.0302931j -0.0149708+0.00295683j 0.0205191-0.0133924j -0.00149377-0.0167557j -0.0109713-0.0178441j -0.00116637-0.0180278j -0.00859549-0.0215007j 0.00841308-0.00371889j -0.00942781-0.0113869j -0.0226144-0.018863j -0.0235827-0.00839814j -0.00521262+0.00738412j -0.0105582+0.0279769j -0.0150056+0.0101461j 0.00104976+0.0101241j 0.023196+0.0103186j 0.00818999-0.0205375j 0.00441199-0.00792663j 0.0128391-0.0392483j 0.033957+0.00254148j -0.00532408+0.0155207j -0.0095896-0.00311324j -0.00923285-0.0099314j 0.0101058+0.0356204j -0.00643392-0.00791095j -0.0121145-0.0275898j 0.0106139-0.00977208j 0.00386514+0.0132547j -0.00730762-0.0148074j 0.0192663+0.0305188j 0.0397524+0.0285278j -0.00991892+0.0229486j 0.0218294+0.0246283j 0.0164968-0.0144855j -0.00662329+0.0234133j -0.027724+0.031714j 0.0146911+0.0213096j -0.0313732+0.0497053j 0.0083621-0.0101623j -0.0347685+0.0126294j -0.0103065-0.000693641j 0.0219278+0.00824117j 0.0183993-0.00261283j -0.0425795-0.0527278j -0.0261021-0.0650922j -0.00850051+0.0306596j -0.0813813+0.0934491j -0.027655+0.113725j -0.108012-0.0588415j 0.0701304-0.0484695j 0.0703597-0.00554371j -0.0231803+0.0278809j -0.0135056+0.061109j 0.0205726+0.00287785j -0.0148893-0.0666484j 0.0135129+0.0383085j 0.0513971-0.0630891j 0.0620547-0.0629599j 0.0674463-0.00592866j 0.00794502+0.0811484j 0.01174-0.0460294j -0.00195126-0.0137829j 0.138402-0.0296319j -0.0395749+0.115147j 0.124529-0.0341013j 0.107691-0.231035j -0.19921+0.135786j 
-0.025531+0.0534629j -0.00161438+0.0318451j 0.0350385+0.0346538j -0.0458839-0.0174165j 0.0199824+0.0406844j -0.0213465-0.0440284j -0.00739145-0.0164997j 0.000282035+0.0658573j 0.0189405-0.0219289j -0.00511608-0.00372574j 0.0234027-0.0490395j -0.0153149+0.0109199j 0.0303292+0.0258151j -0.00159662-0.0617932j 0.013399-0.0423374j 0.0172464+0.00177826j 0.0181071-0.00907528j 0.0216947-0.00981321j -0.021172-0.00401972j -0.0193375+0.0118366j -0.0306835+0.0123811j -0.0114205+0.0488954j -0.000965152+0.0345101j -0.0294149+0.0379418j 0.0172552-0.0287692j 0.0131605-0.014346j -0.00787706+0.0314912j -0.000755612-0.00655144j 0.00393042-0.0171568j -0.00824284+0.0110844j 0.00428748-0.0228714j -0.0185036+0.0118708j -0.0157449+0.0355148j 0.00120182-0.0104509j -0.0170082+0.035651j -0.00607244+0.0158434j 0.0021164+0.034355j -0.000428156-0.00250792j 0.0012789+0.00222644j 0.00202482+0.0041497j 0.0390486-0.0379692j -0.0061181-0.0282693j -0.00751953-0.0204142j -0.0143659-0.00685333j -0.0136358-0.0202484j -0.0134779+0.0148068j 0.0201303+0.0307812j -0.015952+0.013729j 0.0044149-0.010692j 0.00515864-0.0203081j 0.0146326+0.0185519j -0.0187252+0.021851j 0.000390694-0.0218744j 0.0164039+0.000773035j 0.0192973-0.027228j 0.0153111-0.00402243j 0.00640127+0.00491928j 0.0130189-0.0166057j -0.00865687-0.0331579j 0.0279747+0.00365195j 0.0218291+0.0108677j -0.00377972-0.0162925j 0.0118348+0.0183835j -0.0281248-0.00392354j 0.00316944+0.0403294j -0.0132317+0.00413533j -0.0201961+0.00713823j -0.018526+0.00211917j -0.0448137+0.0574366j -0.0816823+0.0674111j 0.00464442+0.0796063j 0.0641213+0.0181307j 0.11912+0.0595244j -0.0734107+0.089407j -0.045181-0.0776125j -0.0132835-0.0622244j 0.0151834+0.00501378j 0.0241746+0.0125299j -0.00420195+0.0013541j -0.0204682+0.0609582j 0.0571974-0.0673086j -0.0100089-0.0612033j -0.0718819-0.024453j 0.0191143-0.00693212j -0.0667097-0.0193233j 0.0424803-0.0721345j -0.117649+0.0679053j -0.00755578+0.0866893j -0.129583+0.0226238j -0.0656624+0.108384j 0.21337-0.132239j 0.0942401-0.211602j 
-0.0113631+0.0630076j 0.0102139-0.00415473j 0.030112+0.00556343j -0.0123712-0.0164784j 0.00361499+0.0098607j -0.0836652-0.0371162j -0.00108722-0.0111111j -0.0198763-0.037024j -0.023894-0.0259838j -0.0394311-0.0329458j 0.00112331-0.0244217j -0.00176577-0.0398202j 0.0198179+0.0283917j -0.0536076-0.0213548j 0.00236104-0.0104162j -0.00864917-0.0201099j 0.013485+0.0157701j 0.0490876-0.0567492j 0.02515-0.0238121j -0.0174151-0.0232206j -0.0201549-0.0328328j -0.0188629+0.038208j -0.000546601+0.041505j -0.0146009-0.0070058j -0.00610108+0.00685879j -0.0307706-0.0426363j 0.0024939+0.0151737j 0.0346616+0.0337961j -0.0490144-0.00199642j 0.0188528+0.0360085j -0.0428863+0.0199879j 0.0102367-0.0509043j -0.0352617+0.00904457j 0.0218766-0.0320891j -0.0155104-0.0250466j -0.0103668-0.00652914j 0.0128151-0.0196647j -0.0174354-0.0305962j 0.0274337-0.00948404j -0.0260721-0.0443437j 0.029957-0.00148446j -0.0243529-0.0244201j 0.00590717-0.0143282j 0.000464791-0.0312801j 0.00484386-0.0211593j -0.0162891-0.00304343j -0.00654776+0.0196792j 0.009816+0.00354483j -0.00089644-0.0454675j -0.00852747-0.010157j 0.000693414+0.0476954j 0.00443037+0.00885976j 0.00781931+0.0251602j -0.00295125+0.0212454j 0.0118411+0.0289397j 0.0364538+0.0216277j -0.0156684-0.00322345j 0.0212994+0.0462016j 0.00886962+0.00122491j 0.0132536+0.0437652j -0.0140957-0.0119253j 0.0226814-0.0595142j 0.00203748-0.00922815j 0.0152519-0.0410448j -0.0729598+0.055886j -0.0178552+0.0412371j 0.0235943+0.0014647j 0.0345031+0.0708542j 0.0614657+0.0347377j 0.013496+0.0314335j 0.0286353+0.0217586j 0.0303067+0.0217834j 0.000342767+0.014964j 0.102291-0.00592956j -0.0252481+0.112306j 0.149906+0.0186744j 0.00219896-0.106839j 0.0163896-0.0586231j 0.0151736-0.0173677j 0.0217316-0.029052j 0.00419018+0.00316747j -0.000771509-0.0883659j 0.0835304+0.0678762j -0.0482994-0.0187019j 0.0253971-0.0843429j 0.10074-0.132792j 0.135242+0.0387737j -0.0136885-0.0250813j -0.0739403-0.0398447j -0.0326517-0.0942285j -0.0432173+0.0232262j 0.0452601-0.0477198j 
0.0148205-0.00981044j -0.00657724-0.0743701j -0.013171+0.0201689j 0.00405013+0.00798932j -0.0737409+0.0124465j -0.0498638+0.0163173j 0.0032595-0.00757675j 0.00307707-0.00371566j -0.000802717+0.0213799j -0.0508432-0.0257874j 0.00874716-0.0020997j -0.0115047+0.0143627j -0.0384569-0.0345622j -0.00870097+0.0242133j -0.0114115-0.01709j -0.00807439-0.0660527j 0.00813245-0.0200107j -0.0549664-0.0454578j 0.0332769-0.0221768j -0.00708801+0.036853j -0.0400432-0.0308635j 0.0130845-0.00660481j 0.00219607-0.0133947j -0.025918+0.00927602j -0.018218+0.00730357j -0.0148922+0.0105645j 0.0166662+0.0255581j 0.0110719-0.0266297j 0.00483777+0.0644717j 0.0144094-0.0199955j 0.00877017+0.0350583j -0.00664424-0.0018082j 0.0233788+0.0348523j -0.0114687-0.0121131j -0.0157543+0.0161927j -0.00963729+0.0115738j -0.000253749-0.00270277j 0.00446561-0.0284393j -0.00118556-0.00832094j 0.00178945-0.00420933j 0.00751777+0.00234803j -0.00279914+0.0066126j 0.0202647-0.0235853j 0.00524823+0.0148648j 0.000876059-0.0230277j 0.0019335+0.00145317j 0.0466226+0.053045j -0.00738301+0.00821849j -0.0438367-0.0459878j -0.0108624+0.0124841j 0.0233496+0.0609805j 0.0232522-0.00295143j -0.0159031+0.00144944j 0.00144145+0.0272835j 0.00028393+0.00179553j 0.0827533-0.0231589j -0.0004592-0.0155014j 0.00123069+0.00374868j -0.0172495+0.00104124j 0.0298411-0.00592509j -0.0180673+0.0212701j -0.0551498-0.0271684j -0.0129121+0.00335493j -0.0295568+0.014982j 0.0591042+0.0220349j 0.00683007-0.0298618j -0.032489-0.0657413j 0.0515131-0.0451699j 0.049959-0.0763929j 0.0328735+0.00213136j -0.00695998-0.044464j -0.0319055-0.0138667j 0.0274842-0.0836889j -0.0422818-0.114695j 0.112644+0.0205169j -0.00710389-0.107596j -0.0381212+0.0552432j -0.0233552-0.0150209j -0.0397271+0.0903544j -0.05014+0.0168546j -0.0241437+0.0629551j -0.00660021-0.0189116j -0.0124125-0.00277112j 0.00548209+0.0189286j 0.164006-0.0644439j 0.149001+0.0840328j -0.0445938+0.206728j 0.108335+0.00437027j 0.0953813+0.0897746j -0.0958615+0.002732j -0.0332274+0.0581087j -0.0463474+0.0521826j 
0.00408012+0.030815j 0.0141248-0.0306009j 0.0307061+0.000177233j 0.0412554+0.0027459j 0.0200569-0.00218429j 0.0169979+0.00619997j 0.0255142+0.0568471j -0.015963+0.00995129j -0.00376412+0.0116489j -0.00220701+0.0205143j 0.0058734-0.0108298j -0.00357194-0.0292477j 0.00658131-0.0211038j 0.00484483-0.022457j -0.0224683+0.0582745j 0.0453983+0.0538891j 0.0107766-0.0160044j 0.00665905-0.00687184j -0.0387434+0.0279511j 0.0233792-0.000618586j -0.0189861-0.0293437j 0.0444848-0.00190266j 0.0308504+0.0245213j -0.00543705-0.0175443j -0.0134475-0.000437107j 0.00210609-0.0127391j -0.0164199-0.0321438j -0.00142541-0.00171059j 0.0199417-0.0171514j -0.0017538+0.0191306j -0.010493-0.0227063j -0.0293112+0.0298514j 0.020157+0.00874178j 0.0270933+0.0575432j 0.0412386+0.0300139j -0.0232798+0.0146409j 0.0421458+0.0590817j 0.000999977-0.0624413j 0.0353941+0.000136025j -0.0045877-0.071194j 0.0182431-0.0164091j 0.000221548+0.018022j -0.00842825+0.0460877j -0.00612263-0.000800573j 0.0124186-0.0322135j -0.00319638+0.0194398j -0.0334498-0.013328j -0.00344738-0.0406893j 0.0181048-0.0429157j -0.000206552-0.118688j -0.0254499+0.00977087j -0.0127539-0.00867967j 0.00407419-0.00498421j 0.0311733-0.0623892j -0.0329041-0.0056754j -0.0162327-0.00647206j -0.0233408-0.00613186j 0.0369115-0.0702236j -0.0305667+0.0408143j 0.0426989+0.0135275j 0.0301918-0.0154433j -0.0072374-0.0397229j 0.0292348-0.0185941j 0.00616459-0.00260668j -0.0216383-0.0138139j 0.0221086+0.0152723j -0.0975507+0.0159666j -0.039638+0.0846978j 0.0331087+0.095249j -0.0504563+0.0591826j 0.0635227-0.028426j 0.027972-0.00489906j 0.0066326-0.044919j 0.0911251+0.0184958j 0.0373698+4.07977e-05j -0.0793464-0.0183275j 0.0734558-0.0565711j -0.00569328+0.0227879j -0.106112+0.095443j 0.0576417+0.0143185j 0.0375408+0.0119579j -0.00185703-0.0386365j 0.0488125-0.0831583j -0.0356656+0.0059509j -0.0264814-0.0623835j 0.0520976-0.0602934j 0.0260565+0.00187958j -0.0523528-0.0524772j -0.0108285-0.0764483j -0.0555235+0.00475015j -0.0252024+0.042578j 0.0323018-0.058577j 
0.00920771-0.0187814j 0.00298299-0.0133091j -0.0145704-0.0135152j 0.036643+0.00419628j -0.000742968-0.023817j 0.00584252+0.0104361j -0.00914213+0.0105456j -0.0164985-0.050696j -0.0145044-0.0245154j -0.0178903-0.0113467j 0.00511039+0.0107427j 0.00750246-0.035099j 0.000710897-0.0147352j -0.00138541+0.0638049j -0.0396345+0.0174174j 0.00794707+0.00500701j -0.0333103-0.00658758j 0.00332916+0.0295106j 0.0209435+0.011183j -0.0206585-0.0404291j 0.0295665-0.0164815j 0.021117-0.0101645j -0.00609441+0.00412391j -0.00568087-0.0271291j -0.00120775+0.0485451j -0.0177909+0.0357563j -0.030255-0.0192517j -0.00507989-0.0653189j -0.00403322+0.039126j 0.0180874+0.00215469j -0.00306856+0.0100793j 0.0217137+0.0118446j 0.0314424-0.0716523j 0.0295809-0.0281994j 0.0252453-0.0497854j 0.0149915+0.0128688j 0.0304094-0.029632j -0.0283823-0.0292999j 0.0254768-0.0337209j -0.0337229-0.0224991j -0.0263571-0.0470844j -0.0128264+0.0404721j 0.0600542+0.0640446j -0.00756104+0.0226155j -0.0265189+0.0152336j 0.0276169+0.00720844j 0.00142577+0.0155295j -0.000656011+0.0408655j 0.0211125-0.0687392j -0.0165405+0.0270644j -0.00343187+0.00586475j 0.0180264+0.0216304j 0.0356406+0.0460284j -0.0716901-0.0145584j 0.00893543+0.034725j -0.00873458-0.00529943j 0.0275715-0.0297931j -0.0666038-0.00174482j -0.0490427+0.0110511j -0.00641369+0.0258433j 0.0216668+0.0154702j -0.0441918+0.0025304j -0.0231766+0.000803351j -0.0063205-0.0123301j 0.00406511-0.00749502j 0.0859231-0.0799321j 0.0247812-0.0372334j -0.0824245+0.0579244j 0.0340319-0.0334995j 0.00269804-0.0100714j -0.00872613+0.0251383j -0.01345-0.0467002j -0.0524518-0.0688137j 0.0651815-0.0125158j -0.00269347+0.0623682j 0.055316+0.0346233j 0.00122183+0.0057755j -0.0982978+0.0926695j -0.00503415-0.034144j -0.0457828+0.0336074j 0.0048355-0.0430974j 0.0219569-0.00635981j 0.0650496-0.000895027j 0.0195697-0.111057j 0.049685-0.0416208j -0.00638716-0.0128296j 0.0429369+0.0253092j -0.0349785-0.0514141j 0.0478169-0.0189723j 0.0212082-0.0674289j -0.0373755+0.0434731j -0.00958568+0.0203684j 
-0.0128719-0.0466604j -0.00208744+0.00144503j -0.0198036+0.00942958j -0.045848+0.0219801j -0.05739+0.0155632j -0.0238641+0.0215728j -0.012092-0.0317654j 0.0223566-0.0082257j 0.00219921+0.0123817j 0.00805802+0.0151247j 0.00149663+0.00960016j 0.0077551+0.0403621j -0.00600528-0.0392714j 0.0380858+0.00848795j 0.000326951+0.00269382j -0.0119165-0.0338114j 0.027574-0.0139286j -0.0373238-0.047559j 0.0050961-0.0631821j -0.0188548+0.0588677j -0.0705491-0.0257502j 0.0145864-0.0555945j -0.0116559-0.0360818j -0.0122633+0.00654262j -0.01255-0.000920566j 0.00327759-0.0182297j 0.0121998+0.00819341j 0.00375081+0.00686342j 0.0175659+0.0576174j 0.0194027-0.0137535j -0.00140825+0.0656702j -0.0376509-0.0367848j 0.000278689+0.0535608j -0.0134142+0.00793853j -0.0252166-0.00197115j -0.00633217+0.0185556j 0.0131121+0.0400506j 0.0178631-0.00261102j -0.00283412+0.0226746j 0.0198949-0.0170372j -0.0016916-0.0114719j 0.0150583-0.0150454j -0.0195886-0.00198082j 0.00585799-0.0199224j -0.00491866-0.0118341j 0.0137357+0.0336629j -0.0248764-0.00357009j -0.0275382+0.0298224j -0.0354785-0.00182554j 0.0251394-0.0258275j -0.0129683+0.00981047j -0.00349082-0.0023967j 0.0500345+0.0131859j 0.0299759+0.00365357j -0.027936+0.00360943j 0.0380119-0.00566071j -0.0215466+0.0063546j 0.0443271+0.00532053j -0.0335219-0.0236949j -0.0349177-0.0613955j 0.0488326+0.0242599j 0.00374201-0.0206243j 0.0149076-0.0213937j 0.0379238+0.0311885j 0.0150121-0.0673376j -0.00335576-0.0196577j -0.0052122+0.0346238j -0.0211438+0.0265837j -0.0437507-0.0574829j -0.0181298+0.0568674j 0.0244986+0.00588972j 0.0188469+0.00253082j -0.0760873+0.0156347j -0.0360496+0.0461293j -0.124701+0.0397281j 0.034283+0.062093j -0.0196882-0.0276991j 0.016419+0.00749902j -0.00451709+0.0276042j -0.00822071+0.0674379j -0.0886287+0.0290829j -0.00532683+0.00540237j -0.077215-0.0569537j -0.00442809+0.079491j 0.0182582+0.0644004j -0.0834821+0.10126j -0.0929062-0.102923j -0.0198013+0.115379j 0.0162236+0.00904014j -0.0154837+0.0212379j 0.0373191-0.0132531j 0.00822443+0.0224267j 
0.00954498+0.0376993j -0.00142529-0.0226108j 0.0494946+0.0277879j -0.0160667+0.012693j -0.03017+0.0492552j 0.0201208-0.0163772j 0.0179764-0.0051645j 0.0687553+0.0319782j -0.0225777-0.0146257j -0.0403573+0.0267042j -0.000432285-0.0101729j 0.000751576+0.00787201j -0.00024036-0.012778j -0.0297302+0.00389861j -0.0473253-0.0112719j 0.018143+0.03016j 0.0267993+0.0456191j -0.0434234-0.000261663j -0.00635538+0.00535848j 0.0555301-0.0646845j -0.0265062-0.0172632j 0.0161942+0.0281405j -0.0333698-0.000733621j 0.00162216+0.00012682j 0.00748717-0.00681356j 0.000334906+0.0426103j 0.0143332+0.0279242j 0.0497452-0.0368373j 0.00402888+1.22716e-06j -0.048534-0.0332288j 0.0846585-0.0772671j -0.0589522+0.0337105j 0.048662-0.0235069j -0.0537103+0.0992271j 0.00622232+0.0424573j 0.00149476+0.0125689j 0.00457724+0.00134317j -0.0533567-0.0198469j -0.0233904+0.0204754j -0.0500324-0.0746052j -0.0407325-0.00528484j -0.00114922-0.0152994j -0.00197058+0.0158704j -0.0216041-0.00473548j -0.0110887+0.0102786j 0.0283448-0.0339227j 0.00827871-0.00799583j 0.00307055+0.0419137j 0.0412643+0.0470919j -0.0162104-0.0105218j 0.0378441-0.0300115j 0.0209662+0.00379146j 0.00542518+0.00779101j -0.0180849+0.0170618j -0.0287908+0.052002j 0.0359907+0.0187878j -0.0574904+0.0145082j -0.026199-0.0311003j -0.0197172+0.0287835j 0.0513139-0.0202832j 0.0440628-0.00829279j 0.00055237-0.0362887j 0.029869+0.0291511j 0.0633327-0.0446565j 0.000770078-0.0767995j -0.0167962+0.0297229j 0.0365843+0.0281164j -0.0577878-0.0404337j 0.0250769+0.0972895j 0.0279721-0.0691069j -0.0610467+0.0286771j -0.0145779+0.00614274j -0.0341874-0.0459793j 0.0358426+0.0034192j 0.0330676+0.00901833j -0.138861-0.0248547j -0.0591376-0.00672j 0.00978505-0.0970231j 0.00917704-0.00435355j 0.0125828+0.046422j -0.157734-0.021615j 0.0028887-0.157908j -0.00894427-0.172133j -0.134057-0.0177936j -0.0174796+0.0282897j 0.0128026+0.000982206j -0.0353399-0.068768j 0.00833485+0.00599673j 0.0675469-0.0217981j -0.0796143+0.0386217j -0.0314468+0.0110035j 0.0283936-0.0299443j 
0.00281315+0.0378664j 0.0241671+0.0863476j 0.022379-0.00823373j -0.0455241-0.0362411j 0.0439589+0.00363544j -0.0217132+0.0352194j -0.0181063-0.021719j -0.0247998+0.0211693j -0.053914+0.0194346j 0.0403341+0.0285117j 0.0310358+0.0101385j 0.0320677+0.0245954j 0.0283169-0.0237316j -0.00208997-0.0247155j 0.0371904-0.0371988j 0.00577688-0.00974972j 0.0153496+0.019274j 0.0382166+0.0472987j -0.0223788-0.0312826j 0.00811598+0.0305325j 0.0359107-0.0170267j -0.0102495-0.0154767j -0.0241894-0.022474j 0.0131206-0.00621426j 0.0270243-0.001402j -0.000284048-0.0173788j -0.0202358-0.0324697j 0.0315672+0.054896j -0.00541813-0.0228281j 0.0299145+0.042656j 0.0357237+0.0243105j -0.00423166-0.0680066j -0.00519432+0.0467329j -0.0499608-0.0281319j -0.017234-0.0245887j 0.00310558+0.0204228j -0.0354271+0.024166j -0.00792053-0.0173189j 0.0971039-0.0122017j -0.032225-0.0118312j -0.0119327-0.0189322j -0.0373003+0.00520123j -0.0578555+0.0372816j -0.0474103+0.000961261j -0.0136105+0.0206448j 0.0338738-0.00820545j -0.0104779+0.0483968j -0.0189191+0.0281916j -0.0434691-0.0237938j 0.0293232-0.0982265j 0.00816232-0.0119587j 0.00287163-0.0301154j 0.00251756+0.0601097j -0.0430353+0.0086769j -0.0699173-0.0373173j -0.00279471+0.0475017j 0.00117122+0.0222362j 0.0327151+0.0204766j -0.0972543-0.00431015j -0.0225555+0.0203845j 0.0185039-0.015003j 0.099775+0.0157356j 0.0100812-0.0332907j 0.0407731+0.0382451j -0.0501839+0.0681646j -0.0870613-0.00272569j -0.0184262+0.0463222j -0.00812491+0.0686325j -0.0493224+0.0475613j -0.0108929-0.0727552j -0.00865347-0.0797072j 0.023855-0.021j 0.044482-0.0300987j 0.0239818+0.0879782j -0.028068+0.024276j 0.0415935-0.0126494j 0.000331054+0.0383111j -0.079679-0.0402851j -0.0167211-0.0790191j 0.0201641+0.0528192j 0.0482047+0.148467j -0.128327-0.00406567j -0.157475-0.00940923j -0.016055+0.161665j -0.0790236-0.00708026j 0.0396738-0.0820349j 0.115267-0.0776658j -0.0236624-0.0459165j -0.115475-0.0033814j -0.0245345+0.0146494j 0.0267326-0.0446134j 0.0606799-0.0456568j 
0.0127831+0.00207751j -0.00210838-0.00660871j -0.0184277+0.0210422j -0.0136928-0.044835j -0.00400197+0.00195823j -0.0225636+0.0106812j -0.0188101-0.0157548j -0.00894248+0.0113084j 0.00431694+0.0110105j -0.0234947-0.00816933j 0.0405477-0.0480868j -0.0089504-0.0133072j -0.0325279-0.0296346j 0.0389653+0.0160465j -0.00320426-0.0108607j 0.0303168-0.0182942j -0.00286769-0.0416133j -0.0392183+0.0331715j 0.00804369+0.00534694j -0.0199074+0.0500687j 0.0269472-0.00900607j 0.0311781+0.0367074j 0.0511546-0.0413542j -0.0178395+0.0134939j -0.05116-0.0512824j 0.00574027+0.0527207j -0.0296113+0.0340795j -0.0102074-0.00669231j 0.00365619+0.00136802j -0.00939275-0.0418958j -0.0349493-0.00677481j -0.0841238+0.000153943j 0.0179275+0.0645637j -0.0285695-0.0123241j -0.0716032+0.0148206j 0.0562097+0.0654345j 0.0229062+0.0940504j -0.00663734+0.0117275j -0.105088-0.0501543j 0.0522333+0.032245j 0.0407387+0.0144859j 0.00878747+0.0286067j -0.0424402-0.0574127j 0.0163501+0.067825j -0.0360807-0.0624451j 0.0405843+0.00313405j 0.0944903-0.0605699j -0.0472209+0.00826302j 0.00104043-0.0848075j 0.02759+0.0348004j -0.0259009+0.0902078j -0.0187223+0.0170925j -0.0121684-0.0734218j 0.0136047+0.0771432j -0.0840661+0.0283692j 0.0577879+0.0977873j -0.000295112-0.0510989j -0.0246348-0.0112874j 0.0832877-0.0131063j 0.068467-0.0406305j -0.0814905+0.0163853j -0.0492553-0.0351481j 0.0444991+0.166117j -0.0753917+0.00517066j 0.135714-0.0198177j -0.110894+0.0186314j 0.0591607+0.0207378j -0.0124502-0.0895626j -0.0130343-0.0235354j 0.00268356-0.0449549j -0.0632052-0.0585165j -0.0499109+0.0536351j 0.0017835-0.0296811j 0.0295031-0.076297j 0.0463062-0.0763046j -0.0384287-0.0120617j 0.0247822+0.0563892j -0.0170955+0.0221017j -0.0116803+0.0454957j -0.0181051+0.0162179j 0.0210518+0.0969076j -0.0503711-0.047309j -0.158863+0.0599275j 0.00324237+0.106871j 0.0959451+0.0533794j 0.113796+0.0585053j -0.0325968+0.118339j 0.0242154+0.0110624j 0.0110013+0.0611959j -0.0402192+0.0361886j 0.0493271-0.00653749j -0.0138714+0.00252432j 
-0.0159614-0.0244986j 0.00534425+0.0323217j 0.00758474-0.00728341j -0.0217699+0.0167058j 0.0256813-0.00721677j 0.0428653-0.0293011j -0.00129476+0.00849264j 0.0238061+0.0558971j 0.06568+0.000421173j 0.0134807-0.0345143j -0.0287303-0.020278j -0.0152919+0.0537136j 0.0648718+0.0250574j 0.0258462+0.0125602j 0.0386289+0.012956j -0.0421323+0.0596869j 0.0575974+0.043509j -0.0186648+0.0455601j -0.0337522-0.0240863j -0.0389009-0.0209229j 0.00614402+0.106699j 0.0615021-0.0653516j -0.0353457+0.0612358j 0.0469872+0.0527394j -0.0748634+0.0249528j -0.0602773+0.0427002j 0.0278376+0.0259987j -0.0801143+0.0628277j 0.046584+0.0266696j -0.0878563+0.00201015j -0.00347873+0.0216252j -0.0286274+0.0370023j -0.00807412+0.0355045j 0.0150506+0.0415053j -0.0093772-0.0152163j -0.00193338-0.106128j 0.0717259+0.0107539j 0.0260395+0.0600425j -0.0805212+0.00176245j 0.00823404+0.0615014j 0.0244844-0.0278155j -0.0375139-0.0256536j -0.0312845+0.11333j -0.025334-0.0583065j 0.0165523+0.016188j -0.00660153-0.0789415j -0.112609+0.000139922j -0.038623-0.0706707j 0.0359472+0.0633058j 0.0248166+0.0576653j -0.00291508-0.0455394j -0.077964+0.0653483j -0.0560669-0.122194j 0.109878+0.0219545j 0.0305557-0.0144406j -0.132833-0.00427117j 0.0192529-0.00370513j 0.0500411+0.107174j 0.0468131+0.0566934j -0.0351665-0.0176556j 0.00282061-0.0479058j 0.0887304+0.0589061j -0.00865791+0.00928427j 0.0861943-0.0784887j 0.0754026-0.0857694j -0.000653382-0.0493193j 0.00217795+0.0405097j -0.0226511-0.0781458j 0.0230055+0.0273075j -0.0147208+0.0706544j -0.00791083-0.0119941j 0.0332768-0.00928138j 0.0686607+0.0858761j -0.0464045+0.0352838j -0.0194827-0.105116j -0.0879962-0.0505318j -0.0231775+0.0315618j 0.103687+0.0088082j -0.0382902-0.00925138j 0.0508612+0.00055694j 0.0351402-0.0440752j -0.0300347+0.0757108j 0.026359-9.35916e-06j 0.041161-0.0187161j -0.0648365+0.0434602j -0.121615+0.0175547j -0.0804675-0.0971316j -0.0179333+0.0432827j -0.0474772-0.0118718j 0.00706087+0.0375595j 0.0427649-0.0242114j 0.0411124-0.0207744j 
