0.175276+0.132617j -0.0967606+0.137688j 0.18637-0.0314464j -0.0411263+0.140786j 0.065815+0.00573984j -0.2111+0.00900933j -0.00510159-0.0642579j 0.0680296-0.0832577j 0.0380533-0.140707j 0.0353253+0.0665254j -0.0288011+0.0433093j -0.101009-0.0166193j 0.0109568+0.0512036j -0.0848021+0.148298j -0.0290706-0.0419524j -0.0357959+0.0228712j 0.113897+0.07684j -0.0813779-0.0163793j -0.115611-0.00882854j -0.166344-0.0609667j -0.11602-0.0187666j -0.213843+0.0715932j 
0.0829669+0.233268j -0.31374+0.163794j 0.347456-0.233346j 0.221549+0.545731j 0.428646+0.0158153j 0.0297057-0.12576j -0.0236994-0.0553264j -0.0922798+0.123918j -0.00789495-0.0131482j -0.00529972+0.0763385j -0.0554787+0.0354306j -0.0834949-0.0196201j -0.0173603-0.0303668j 0.045124-0.0177179j 0.00703573-0.0379975j 0.0334786-0.00325574j -0.0297145-0.00889673j 0.0429387+0.0608814j -0.00309451+0.0191572j 0.0785393-0.0288896j 0.00474207+0.00921733j 0.0630897+0.00823982j 
0.0141032+0.0144632j -0.0396259-0.0297366j -0.041903-0.0114199j -0.00641739+0.0187182j -0.0120466-0.020676j -0.0816688+0.0552229j -0.0112161-0.0207116j -0.027419-0.0379957j 0.0722535-0.0196501j -0.0770479-0.03909j 0.00949729-0.0449024j 0.0583539+0.0421394j -0.116714+0.103591j 0.0470821-0.007182j -0.06673-0.0891557j 0.0772935-0.00943361j 0.0116378+0.118877j 0.0143948+0.101844j 0.149199+0.0943247j 0.012522+0.108488j 0.0810078-0.00839363j -0.0744593+0.0200451j 
0.176855+0.108653j -0.025784+0.13721j -0.0424921+0.0952205j -0.121901-0.133787j -0.103496+0.0308294j -0.337062-0.045587j 0.101345-0.0385734j -0.0787905-0.363242j 0.22025-0.304979j 0.00376977+0.0474966j 0.106024+0.267669j -0.142573-0.017254j 0.307721-0.0746845j 0.108636+0.01225j 0.0710544-0.0630755j 0.0226099+0.0141567j 0.00656555+0.0518634j 0.0109431-0.0189667j -0.0663158+0.0315177j -0.00510391-0.0682229j -0.0271567-0.00993506j -0.0191517+0.0671395j 
0.0998467-0.0107571j 0.0556876+0.0157693j 0.0820648+0.0236428j -0.0646459+0.022422j -0.0325809+0.0398815j -0.0150815-0.0190255j -0.106213+0.0315936j 0.129243+0.127217j -0.0375541+0.0523709j -0.0527598-0.0553781j -0.107244+0.0255383j 0.0981535+0.068815j -0.188526+0.0350433j 0.104542-0.133144j -0.12501+0.0470081j 0.191434+0.224354j 0.0623271-0.132816j -0.12206-0.0887416j 0.0946655-0.191006j -0.119889-0.0611063j 0.0173906+0.0365813j 0.0298354-0.0411657j 
0.0331776+0.0418976j -0.070904+0.00221939j -0.00457664+0.0280451j -0.000296207-0.0232777j 0.0368478+0.0442646j -0.0986206-0.0647869j 0.0245281-0.0789322j -0.0476525-0.0911287j 0.106619-0.119721j 0.0883364+0.106793j 0.0220876+0.240683j -0.13378+0.0859702j 0.061462+0.130108j 0.307233-0.304736j 0.00721423-0.270476j -0.0657084-0.0794542j -0.104224-0.277468j -0.0750971-0.159005j 0.11631-0.097723j -0.034624+0.0930592j 0.0301216+0.0438846j 0.123175-0.0937485j 
-0.0520243+0.0661385j 0.0691123-0.104598j -0.00122-0.0815359j -0.0482325+0.00559484j 0.0635762-0.0270936j -0.171861-0.16668j 0.07847-0.0179515j 0.0966229-0.042766j 0.0904204+0.137641j 0.0332267-0.181769j 0.163498-0.0146776j -0.0709533+0.0921182j -0.272094-0.182903j 0.058276+0.0723294j 0.114068-0.124758j 0.0425232+0.141219j -0.245828+0.0332883j -0.185699+0.118493j -0.0619138+0.340587j -0.204791+0.0923558j 0.189807+0.1098j -0.0199392-0.0365297j 
-0.0704026-0.0340805j -0.0103982-0.0712898j 0.0553811+0.0104016j -0.0229501-0.016769j 0.0187063-0.0427755j -0.0231983+0.171627j -0.0372409-0.111243j 0.138481+0.117034j -0.0201886+0.0032343j 0.183219+0.195372j 0.0134691-0.114652j -0.118364+0.0576668j -0.213508+0.319294j -0.12449+0.0601735j -0.0115862-0.278186j -0.335914-0.179057j -0.0105892-0.187886j -0.139202-0.248316j -0.0540492-0.0433395j -0.185697+0.131877j -0.0300608-0.0488044j -0.205618+0.101249j 
0.107193+0.0193086j 0.0636221+0.0330964j 0.0643547+0.0653078j -0.0476198-0.0320469j -0.00199549+0.0698723j -0.0476622-0.0587068j -0.0770214+0.0441304j 0.0828327+0.123133j -0.0056564+0.027848j -0.0711335-0.0628521j -0.0692034+0.0848445j 0.0714615+0.0811975j -0.113027+0.041333j 0.234365-0.203216j -0.102102+0.0495554j 0.213217+0.246148j 0.0308618-0.130497j -0.0928181-0.0785776j 0.0894682-0.251257j -0.113403-0.0322098j 0.0784942+0.0811592j 0.0557329-0.0194531j 
0.162039+0.0487306j 0.03309+0.128027j 0.0875408+0.0527857j -0.10521+0.00352223j -0.0478751-0.0020248j -0.148101+0.0429727j -0.0883796-0.0131725j 0.159373+0.0258633j 0.0149606-0.0585235j -0.0520627-0.0621291j -0.0120417-0.084945j -0.00725365-0.0355898j -0.0387012-0.0112824j -0.156589+0.175561j -0.0762467+0.130146j 0.0952017+0.143286j 0.176578+0.109046j -0.0598231+0.0518597j -0.0652982-0.0679658j -0.191699-0.120956j -0.0643272-0.0296163j -0.218552+0.114838j 
0.0321468+0.035057j -0.0263639-0.0035704j -0.026235-0.011313j -0.00843377+0.00252712j 0.00715291-0.0043663j -0.0219332+0.057855j -0.0392359-0.0200223j -0.0252878-0.0286603j 0.0261619-0.00460198j -0.0469828+0.0280333j -0.0395867-0.0213717j 0.0264301+0.0042951j -0.0114698+0.044527j 0.00686661+0.00565224j -0.0575747+0.0156221j 0.00665925-0.0504491j -0.011388+0.0393394j 0.0513103+0.0145033j 0.0869932-0.051997j 0.0475077+0.0305145j 0.00247013-0.0378519j -0.0231928+0.00326209j 
