-0.00137916-0.0238588j -0.00462992-0.0067811j 0.00231353-0.00121806j 0.00514606-0.0597485j -0.00314441-0.00820934j 0.00214123-0.00535117j 0.000356386+0.00197999j -0.00107867+0.00713139j 0.00139761+0.0165508j -0.00277406+0.000919421j 0.00055453+0.00353147j 0.000291884-0.00272174j 0.00230066-0.00468047j 0.00038882-0.00731585j -0.00094349+0.00361871j 0.00101083+0.00223066j 0.000292069-0.00831683j -0.00313522+0.00494018j 0.00113819+0.00233438j -0.000643572+0.000641266j 0.000324924+0.00934922j -0.000554802-0.00945552j -0.00157756+0.00278671j -0.00183343-0.00582006j 0.0021459-0.0168452j 0.00114454-0.00228388j -0.00352305-0.000184328j -0.00224619+0.0317909j -0.000438139-0.00584566j 0.000442332+0.110761j 0.0103272-0.032542j 0.000714164-0.0264497j 0.00138383+0.010782j -0.000420621+0.00353372j 0.00016312+0.0104297j 0.000134779+0.00260939j 0.00118817-0.0198159j 0.000778416-0.0254443j -0.0019999-0.00584086j 2.77991e-05-0.00732181j -0.00152104-0.000600705j -0.000953935-0.0286061j -0.000313631-0.0183138j 0.000188213-0.0106511j -0.00174756+0.00900003j -0.000238715-0.0342557j -0.00194739+0.0144815j 0.00186727-0.0032112j -0.00315861-0.0762836j 0.0173815-0.134797j 0.0123954+0.158822j 0.0258623-0.0840197j 
0.00433956-0.00611864j 8.54358e-05+0.0129501j -0.00130354+0.0253988j 0.00436221+0.00644334j -0.00265162-0.070688j 0.00209979-0.000214942j 0.0015658+0.00296002j 0.0021822+0.0120943j -0.000644194+0.00684465j -0.000311222-0.000966152j -0.0011845-0.0121147j -8.12978e-05+0.00693641j 0.000958609+0.0196566j 0.000820432-0.0046156j -0.000317675-0.00989442j -0.00118372-0.0109936j -0.000874051-0.0050317j -0.000574135-0.00838902j 0.000293273+0.0056434j -0.00154064-0.0022295j 0.000313807-0.0158826j 0.000595337+0.000194046j -5.73033e-06+0.0175572j 0.000999429-0.00268628j 0.000279396+0.0163275j -0.000877333+0.0134162j 0.00175805+0.0104953j -0.00346564-0.0218846j 0.000536165+0.00826299j -0.0106858+0.0462524j 0.000204853+0.105091j 0.00336854-0.00675923j -0.00156204+0.0271783j 8.65255e-05-0.00912146j -0.000941189+0.00598477j -0.000324475+0.0041947j 0.00213965+0.00515064j 0.00225895-0.0018101j 0.0018771-0.00610779j 0.000854633+0.000282362j 0.000526995-0.0143696j 0.00380001-0.0052022j 0.00229316-0.00689594j 0.000408554+0.0234108j 0.000258531-0.0217499j 0.00346717+0.000710254j -0.000991897-0.0341079j 0.00145983+0.0603348j 0.0103907-0.0682494j 0.0143518+0.110372j -0.0290726+0.0879157j 0.00610826+0.117181j 
0.00526526-0.00184338j 0.00484119-0.00576241j 0.00284843+0.0166346j 0.0064398-0.0799556j 0.00273254-0.0366114j -0.00191614-0.00884629j -0.00436162+0.00374567j 0.0016408+0.000364231j -0.000714628+0.0076017j 0.00436357+0.0173683j 0.00312515+0.000941406j 0.0010969-0.0059094j -0.00123961+0.00723571j 0.000212703-0.00162257j -0.0016099-0.00335772j 0.000967028-0.00997807j 0.0027521-0.0176898j -0.00227137-0.00210205j 0.00230379+0.00962536j -0.00250806-0.0278509j 0.00319454-0.0223401j -0.00383989-0.0176402j -0.000728225+0.0571695j -0.00289662+0.00982263j -0.00159532-0.0135561j -0.00838917+0.0376626j -0.00108379+0.05233j 0.00425759-0.059989j 0.00711122-0.0275159j -0.00745011-0.00232344j 0.0143011-0.0424985j -0.000920513+0.0109295j 0.00137419+0.00609262j 0.000670291-0.00549306j 0.00106986-0.00353184j 0.000117459+0.00300744j 0.00149241+0.0162663j 0.00114818+0.00747632j -0.00120445+0.0114143j 0.000124488+0.00209014j -0.00409786+0.00673141j 0.00360836+0.00923795j 0.0043964-0.0145233j 0.00431001-0.00724844j -0.0059912+0.0356234j 0.00891204+0.0230775j -0.0019136-0.0108607j 0.00363252-0.0017897j 0.00371331+0.00871126j 0.000104591-0.0255931j 0.0125385-0.164172j -0.0119537-0.0568554j 
0.000267888-0.0328515j -0.00156116-0.0303044j -0.00205353-0.0168913j -0.00283219-0.0711589j -0.00495845-0.0340348j -0.000543906+0.0277176j -0.00338522+0.036006j -0.00300613-0.00655976j 0.00408206+0.018738j -0.00279601-0.0147794j 0.00294+0.00012992j 0.000293747+0.00432141j 0.00265449+0.00949629j -0.00139896+0.005764j -0.00240947+0.00185941j 0.00461732-0.0161189j 0.00125593-0.051108j -0.00223191+0.00466879j 0.00220981-0.00347376j 0.000340091-0.00850731j 0.00288005+0.0407348j 0.00133352+0.0123707j 0.00124979-0.0388809j 0.00159659+0.0569726j -0.000999397+0.0534273j -9.55515e-05+0.0174393j 0.00370573-0.0146631j -0.00272416-0.010853j -0.00248089-0.0565018j 0.0063617+0.00457512j 0.00991805-0.0244419j -0.00434659+0.00527957j 0.00388077-0.00800809j -0.00151148+0.00342886j 0.00157978-0.00288693j 0.000232018+0.00176227j 0.00175714+0.00245482j 0.000172808-0.00210581j 0.00149509+0.0269051j 9.49233e-05-0.00672032j -0.00452813-0.00316635j -0.000215453-0.0112327j 0.00128946+0.00951969j 0.00313633-0.0158385j -0.00169438+0.0157301j 0.00526583-0.0422456j 0.00434264+0.0078517j 0.00737943-0.00430011j -0.0123866-0.00353742j 0.00112961+0.0801604j -0.00760991-0.0578468j -0.00842412+0.0941225j 
0.00303211-0.0107444j 0.00425316-0.00595339j 0.00301284-0.039883j 0.00904729+0.0404754j -0.00166209+0.049817j -0.000161199+0.0171429j -0.00394896+0.000610544j 0.000979282+0.00128059j -0.00276347+0.00496068j 0.00202007-0.0159121j 0.000893498+0.00845059j 0.00948129+0.0155463j -0.00423921-0.0372393j -0.00469638+0.00481519j 0.000461476-0.0244539j -0.00338627+0.023157j 0.00665331-0.0286213j -0.00330926-0.001763j -0.00182674-0.0405624j -0.000460004-0.0503255j -0.000956612+0.00658506j 0.00174891-0.0562741j 0.00290218+0.0235587j 0.00396199-0.0110258j -0.00467168+0.0447827j 0.00235102+0.0283445j -0.00816286+0.0188648j -0.00231669+0.0389822j 0.00497169+0.0170271j -0.0011869-0.003361j -0.00205226-0.0012549j 0.00147333+0.00154851j -0.000458199+0.00157416j 0.00125829+0.00263774j -0.000636013-0.00764574j -6.28964e-06+0.0127318j -5.27513e-05-0.012253j 0.00112818+0.00727543j -0.00228828+0.00465927j 0.000513448-0.00959268j -0.00172425+0.00526846j -0.0032665-0.0137088j -0.000498671+0.0108597j -0.00362259-0.00310031j -1.91084e-05+0.0106935j 0.00208768+0.00910142j 0.00115397-0.00605713j -0.00261775+0.00821768j -0.00146109+0.00827026j -0.00232126+0.0100533j -0.00434649+0.048279j 0.00257004+0.0155163j 
-0.000363085-0.000253134j -0.00136645-0.0826201j -0.00208113-0.0109732j 0.00286483-0.0460758j -0.000201169+0.0593209j -0.00237529+0.0355269j 0.00383813+0.0486958j -0.00544397-0.0505943j -0.00102279-0.0136618j -0.00394025-0.0464984j -0.00136541+0.0237803j 0.00113497-0.0130098j -7.93682e-05-0.00379483j 0.000944458-0.000456358j 0.00141565+0.0332421j -0.000411336-4.62067e-05j 0.00394357+0.00546902j -0.012575+0.0419268j -0.00209416+0.0179304j -0.00164692+0.00104671j -0.000261961-0.0332358j -0.00446899-0.0327177j -0.00301935-0.00953487j -0.00733931-0.0256092j -0.00127913-0.0192846j -0.00396097+0.00542086j -0.00669799-0.00822448j 0.00337512-0.0140553j 0.00359209-0.0549829j 0.00554867-0.0101433j 0.00315485+0.0135817j -0.00142186-0.0124451j 0.000405238-0.00768969j 0.000410315+0.0104144j 0.00079961+0.013389j 0.000744797+0.00579679j -0.00292843-0.0215545j -0.00138355-0.0163039j -0.00388646+0.0079022j 0.000845736-0.00154095j 0.000485875+0.012546j -0.000906494+0.00956162j 0.000216879-0.0220841j 0.00227332+0.0217004j -0.00410032+0.000762441j -0.00465062-0.013905j 0.000490425+0.0373012j 0.00260264-0.038884j -0.0122311-0.00559974j -0.00187517+0.0537675j -0.00577779+0.0682666j 0.0014199+0.101354j 
0.00436546-0.0307382j 0.00129749+0.0148655j 0.005433-0.0514539j 0.00611021+0.0383857j -0.00411278+0.0233028j -0.00198035+0.017352j -0.00389513-0.00767488j -0.00286359+0.0104965j -0.00170056+0.0278546j 0.00797489-0.00135591j -0.000391953+0.000604034j -0.000368973+0.0214187j 0.00154808-0.0216678j -0.000915061+0.0497591j -0.000495384+0.0495014j -0.00104884-0.00587447j -0.00676625-0.0379221j -0.00473735-0.0281477j -0.000746584+0.0604595j -0.00075276+0.0408578j -0.00989202-0.000303302j 0.00129592+0.000298071j -0.00824248+0.0386793j -0.00203962+0.00210087j -0.00123432-0.00786413j 0.00384986-0.0034375j 0.00418407-0.00838057j 0.00558498-0.00615184j 0.00522634-0.00211389j 0.000375412-0.00448713j -0.00131804-0.00390649j -8.51694e-05+0.00696589j -1.37389e-05+0.0150055j 0.000619449-0.00132708j -0.000736815+0.00609526j -0.000814129+0.0148558j 0.00117081+0.0065789j -0.000465957+0.00154899j 0.000367872+0.00212125j -0.000514271+0.0117663j 0.0024584-0.00558715j 0.00264865+0.000296147j 0.000229193+0.00676627j -0.000468406-0.0174811j -0.000761342+0.0113974j 0.000987889-0.0103697j 0.00121482-0.008167j 0.00223019+0.00502928j 0.0019848-0.00417647j 0.000871188+0.00882234j -0.00261524+0.00729697j -1.32739e-06+0.0134563j 
-0.00254099+0.0698874j 0.00377041-0.00858664j -0.00105175+0.0817393j -0.00421063+0.0204535j -0.00179381+0.00840525j -8.10243e-05-0.0372317j 0.00475718+0.00186086j 0.00544811-0.0155157j -0.000488744-0.0451207j -0.00313073+0.0110908j -0.00855451+0.0567586j -0.00543807-0.00250882j -0.000672421-0.0165804j 0.00140921-0.0428292j 0.00359311+0.0239241j -0.00200395-0.00291159j -0.00387498-0.0227244j -0.00195441-0.0437099j -0.00297467+0.00990172j -0.000137964+0.0181456j 0.00382991+0.0137317j -0.00311811-0.0334996j 0.000998218+0.0215367j -0.00530483+0.0482676j -0.00299679+0.00442803j -0.00294323-0.00836088j -0.00129392-0.0220289j -0.005016-0.00443426j -0.00143449+0.0414735j -0.00495137-0.00405459j 0.00018617+0.0318237j 0.00128081-0.00298642j -0.00151945+0.00415329j -1.97184e-05+0.00264645j -0.00113707-0.017444j 0.000413863+0.0173097j -0.000281574+0.00602548j 3.8434e-05-0.00599511j -0.00161558+0.00800991j 0.000584334-0.0101981j 0.00487381-0.0188152j 0.00204231-0.00453577j -0.00264557+0.00297883j -0.00185478-0.00427107j 0.00181674-0.00690674j -0.00453738+0.0243267j -0.00469868+0.0136928j -0.00320436+0.00463547j 0.00821981+0.00499252j -0.00130873-0.0212843j -0.000207989+0.0273593j 0.00121074-0.0282945j 
0.0054656+0.0506992j 0.00210066-0.00170728j 0.00614536+0.0686146j 0.00625182+0.0566707j 0.00212177+0.00559269j -0.00342638-0.0297696j 0.00441893-0.00855771j 0.00481417-0.0259782j 0.00382966-0.0207996j -0.00215227+0.0115608j -0.00877819-0.0300401j -0.00208719+0.0442103j -0.00259973-0.00775512j -0.00606437+0.0324331j 0.000879885-0.0103294j 0.00045687+0.0377762j -0.00258618+0.0277562j 0.0024522-0.0174481j 0.000310152-0.00432213j 0.00186275-0.00493336j 0.000103715+0.00359745j 0.00540368-0.0249259j 0.00429501-0.00121107j 0.00430341+0.0149528j -0.00191147+0.0128803j 0.00127127-0.0457666j -0.00172605-0.0146268j -0.0015695-0.049076j 0.00950405-0.0851702j 0.00317134-0.0029275j 0.00726042+0.00402794j 0.000649143-0.0063502j 0.00254475+0.00442157j 0.00113567+0.00988211j -0.00149726+0.0117203j 7.23289e-05-0.00458802j 0.000370675-0.0261191j 0.00118563-0.0238055j 0.000757058+0.000961551j 0.000499195+0.0116067j 0.00134697+0.0137396j -0.00151854+0.00646954j -0.00147179+0.0113758j -0.000236497+0.0406399j -0.00567203+0.0154798j -0.00740574-0.0116451j -0.00859023+0.00256683j 0.0126944-0.0601102j -0.00722382-0.0544416j 0.00628763-0.00385986j 0.00708365-0.00706577j 0.00267536+0.0299226j 
-0.0079321-0.0237283j -0.00452358+0.0222871j -0.00586798-0.0299821j -0.00615579+0.0645244j -0.00186188+0.00955901j -0.000160703+0.00323393j 0.00105686+0.000634827j 0.000610062+0.0132974j -0.00600598-0.00213123j 0.0017454-0.00855965j -3.12532e-05+0.0406321j 0.00288775-0.0370536j -0.000335985-0.0123457j 0.00636235-0.0424049j 0.000371271-0.0185036j -0.00930118-0.0290437j -0.000543791-0.00373352j 0.00232244-0.0223711j -0.00384846-0.00557999j 0.000978773-0.0170121j -0.00214748-0.00619023j -0.000442583+0.0499625j 0.00167762+0.0202964j 0.00458149-0.023051j 0.00400739+0.0120076j 0.00117096-0.0414885j 0.00068249+0.00168214j 0.00521243-0.0512474j 0.00342567-0.0697083j 0.00647721+0.0080134j -0.000191067-0.00422652j 0.0023328-0.0099768j -0.00086515-0.0152335j -0.000580797-0.00539094j 0.000484893-0.00788682j 0.000440752+0.0182572j 0.000418899-0.0162009j 0.000770386-0.00303681j 0.000796662-0.000264714j 0.00174982+0.0125913j -0.00271129+0.0050403j -0.00168274+0.00374786j 0.00191278+0.00534492j 0.0033647+0.0298696j -0.00376178+0.0015299j -0.00399698-0.0406472j -0.0058157-0.0205411j 0.0132241-0.041882j -0.00112259-0.0835583j 0.0127548-0.00624345j 0.00709539-0.0649972j 0.00123292+0.0212088j 
-0.00158313+0.0161794j -0.000104788+0.00544474j 0.000110789+0.0370458j -0.00181484+0.0125587j 0.00250997-0.0332578j -0.00173769-0.00438017j 0.00236186+0.0352672j 0.000189293+0.0303002j 0.00011071-0.0219647j 0.00295964+0.00451232j -0.00132276-0.0424403j -0.00276459-0.0126344j -0.000178566+0.0167659j 0.00274182-0.00154684j -0.00213029+0.0135731j -0.00257607-0.0444118j -0.00104182-0.00283986j 0.00393797+0.00793865j 0.00274917-0.016803j -0.00293063+0.0297446j 0.00380717-0.0707193j -0.00137775-0.00604503j 0.000969289+0.0511086j 0.000130411-0.0125492j 0.000967429+0.0733626j -0.00587996+0.0126404j 0.000931987-0.0296764j -0.00177054+0.0637299j 0.00903546-0.00175465j 0.00486874-0.0320505j 0.00350542-0.0860723j -0.00134029+0.0328215j 0.00141591-0.0269593j 0.000228271+0.0120651j 0.000386808-0.0112276j -0.000263355+0.000281915j 0.00076897-0.0136064j -7.43243e-06-0.00998887j -0.00335627-0.00179686j -0.00183785+0.00111185j -0.00324541+0.0290583j -0.00472851+0.00541718j -0.00201447-0.001536j -0.00357819-0.00648852j -0.000622613+0.0184091j 0.0019516-0.0965391j 0.00892495-0.0716401j 0.00742658+0.000922662j -0.0155115+0.0735581j -0.00750667+0.0306923j -0.00993088+0.0735545j 0.00398169+0.0373808j 
