0.0140796-0.000965654j -0.0016321+0.0559632j 0.0019115-0.0567424j 0.00578907-0.00931063j -0.00399303+0.00613622j -0.000608103+0.0322519j 0.00891156+0.00788558j -0.000764858+0.0261763j -0.00409274-0.00422025j 0.00438967-0.0088913j 0.000794567+0.00889762j -0.0168103-0.0407917j 0.00554199+0.00324237j 0.0276292+0.0140265j 0.00207427-0.00959532j -0.00487142+0.0136078j 0.00593191+0.0355873j 0.000573983+0.012215j -0.00125479-0.00859358j -0.00104688+0.0199889j 0.00243972+0.0104997j -0.00130968+0.0181099j 0.000508158+0.00669497j 0.00282107+0.0320564j -0.0060107+0.00714445j 0.00112358-0.0206622j -0.00548349-0.0190827j -0.00201882+0.0338281j 0.001243-0.00162851j -0.000345928+0.00408718j -0.00259519+0.00638365j 0.00202642+0.0164043j -0.00165115+0.0195012j 0.000604781+0.0161924j -0.00700644-0.000193198j -0.0043808-0.00218538j -0.00307979-0.0613903j -0.00164162+0.00269241j 0.00817921+0.0425127j -0.0149337-0.00619314j 0.00137421-0.0146747j -0.0175507+0.0515225j -0.019706+0.0705983j -0.0539233-0.028835j -0.0055-0.0164875j 0.00388612+0.0981419j 0.017008+6.77804e-05j -0.000319019-0.0219701j -0.00202077-0.0569097j 0.00338492+0.0295059j -0.0024154-0.00540551j 0.00226546+0.0134752j -0.000133897-0.0145852j 0.000702682-0.0467189j 0.0152291-0.00327084j -0.00516051+0.024045j -0.00159045-0.00916927j 0.00283411+0.00297429j -0.000415279+0.0272994j 0.00159398+0.0359053j 0.00330483-0.00985403j -0.00758333-0.0251774j -0.000849771+0.0447574j -0.0137188-0.0922486j -0.000347823+0.0265262j 0.00141032-0.029335j 0.0103862-0.230514j 0.0110804+0.342208j 0.019912-0.270401j 
0.0040519+0.0649854j -0.0147752-0.0227381j 0.00919918+0.0211921j 0.00364849+0.0220589j -0.00204214-0.0035817j 0.00325458+0.0110351j 8.67447e-05+0.0130264j 0.000766217+0.00200664j -0.0026924-0.0147905j -0.00156161+0.00305821j -0.00791703-0.00512464j 0.00794843+0.023717j 0.0378234-0.00502092j 0.0030816-0.00646639j -0.000839588+0.00991396j 0.0129449+0.0122338j 0.0192109-0.00767989j 0.0056276+0.00321209j -0.00592965+0.00167723j 0.00694913+0.0221433j -0.00947157-0.013158j -0.000863005-0.00673197j -0.0036937-0.000227108j -0.00154393-0.0301304j -0.00327404+0.0291808j -0.00164877-0.00645398j -0.0203872+0.0135596j -0.000966896-0.00841079j -0.00109937-0.00598236j 0.00211673-0.000749377j 0.00318691+0.0110733j 0.00016565-0.00461035j 0.00502545-0.0130744j 0.008538-0.00229056j 0.00301196+0.0343823j -0.00189246+0.0289549j -0.0210172-0.016921j -0.00735632+0.00817307j 0.0170844-0.00367871j -0.00459742+0.0342852j -0.0170864-0.0116313j -0.00067902+0.00861806j 0.0346745+0.00623432j -0.00348474+0.0448455j -0.0238955-0.0478905j -0.0366558-0.0117198j -0.00408346+0.13959j 0.0013433-0.00454264j -0.00868141-0.0333951j -0.00114145+0.0193515j -0.00153286-0.0170681j 0.000225977+0.00289409j 0.00272724-0.00874544j 0.00536624-0.0492806j 0.00485212-0.0487155j -0.00425845+0.0174545j -0.000687393-0.0284074j -0.000483775+0.0127544j -0.00357991+0.065896j -0.00695686-0.0112193j 0.00271042+0.0518268j -0.000180359+0.0756111j 0.00400261-0.0889142j 0.00620712-0.126379j -0.00174431+0.00060636j 0.00189126+0.00821311j 0.0148043+0.120486j -0.0214255+0.312607j 0.0101478+0.329968j 
-0.00134773-0.140882j 0.0053779+0.0502061j 0.00536318+0.288442j 0.00260071+0.203853j 0.00268394-0.00613114j -0.00325018-0.479741j -0.0160401-0.0282417j 0.00814538-0.205446j -0.0055015+0.0485383j -0.00390412+0.175124j -0.00775716-0.0230348j -0.00170348+0.104289j 0.00636618-0.120133j -0.0322995+0.0631534j 0.00520566+0.148463j -0.000922101+0.142982j 0.00936557+0.0162497j -0.00597417-0.190369j -0.00194496+0.0318755j -0.000874643-0.126466j 0.00583831-0.10414j 0.000829732+0.00837105j 0.00579184+0.0844638j 0.00257518+0.0264616j 0.00681632-0.103141j -0.00174677+0.021656j 0.00446386-0.0789001j 0.00221416-0.039106j 0.0010948+0.0178909j -0.00142924+0.00275466j 0.00124227-0.0849807j 0.00142901+0.0279699j -0.00481778-0.0530465j 0.00628976-0.0273971j 0.0108509-0.000167825j 0.0108562+0.0452856j 0.00745286+0.0622956j 0.00360037+0.0392685j 0.00634621+0.0834268j -0.000982531+0.0773362j -0.00261156+0.0870163j 8.76739e-05+0.0884561j -0.00200682-0.050672j -0.00653664+0.0192367j -0.0027689+0.121217j -0.000533168-0.182521j -0.00381172+0.125183j 0.000978725+0.0281662j -0.000445823+0.0109062j -0.000271718-0.0142671j 5.22943e-05+0.015617j 0.000648885-0.014569j -0.0011014+0.0102933j 0.000787704+0.0491967j 0.00784205+0.025142j -0.00253016-0.071438j -0.00149287-0.0573572j -0.000214583-0.013058j -0.000352304-0.0147749j 0.00655386-0.108901j 0.000165203+0.146352j -0.00383967-0.0266251j 0.00674001-0.0608469j 0.000448671+0.132j -0.000985628-0.0232548j 0.000531705-0.0074314j 0.000224161+0.0950162j 0.000967626+0.0541676j 0.0036215-0.0461585j 
0.00449654+0.0264594j 0.00669043+0.0408782j 0.00225313-0.0107891j -0.00532586-0.00160866j 0.000304444-0.0205067j -0.00154474+0.0388288j 0.00407065+0.00633199j -0.00346672+0.0172473j -0.00822372-0.0119898j 0.0220829-0.0202888j -0.00358874+0.00961315j -0.0124971-0.0315365j -0.0460188+0.0266591j -0.0200796-0.00851322j -0.00286617-0.0554236j -0.0340474-0.0443855j -0.00566808-0.026601j 0.00596879+0.0155762j 0.000289761-0.028879j -0.00161135+0.0395889j 0.00761705-0.0205463j -0.00485592-0.00467713j 0.0118546-0.0295818j 0.00371084+0.00871908j -0.00552625+0.0144438j 0.00134255+2.08732e-05j 0.00482215-0.000895475j -0.0141226-0.0245813j 0.00350154+0.00805165j -0.00402306+0.0201618j -0.0133468-0.0185594j -0.00826189-0.0610366j -0.00419785+0.0334695j 0.000727451+0.00470027j -0.0103407-0.0429404j 0.0106105-0.017819j 0.0108469-0.0151956j 0.000336618+0.0459527j -0.00738032-0.00902459j 0.0173995+0.0702747j 0.00793732-0.0985527j 0.00247926+0.049075j 0.0169524-0.0933376j 0.00392515-0.131018j -0.0268554+0.0536739j 0.0101885-0.0279531j -0.00750476-0.259026j -0.000643907-2.9268e-05j -0.00745614+0.0464944j 0.00431857-0.0462042j -0.0014579+0.0761952j -0.000687076+0.0121801j -0.00236454-0.0304836j -0.000561218+5.12358e-05j 0.00501871-0.0109201j -0.00104044+0.0526913j -0.00163938+0.100711j -0.00155994+0.00654151j 0.00179883-0.0726111j 0.00928664+0.065451j -0.00730713-0.0844829j -0.00159976-0.085541j 0.00987922+0.199508j -0.010415+0.299251j 0.0004775-0.0439953j 0.000576955+0.0307922j -0.00512843-0.023988j -0.00290088+0.149976j 0.000926002+0.121293j 
-0.00751923+0.0246556j 0.00535925-0.0277004j -0.00480865-0.230849j 0.00498058-0.11848j -0.00254651+0.00113942j -0.00176269+0.29354j -0.0086387-0.00733849j -0.000447427+0.10872j 0.0066451-0.00309775j -0.00174816-0.142574j -0.00963958+0.0184179j 0.0124476-0.0738258j 0.0188614+0.0643265j -0.0456985-0.0445988j 0.00718732-0.0350816j 0.0110576-0.141293j 0.0017832-0.0273868j -0.000938941+0.0938257j -0.00772366+0.0196582j -0.00372389+0.0251866j 0.00675251+0.0666982j -0.00245498+0.0147815j 0.00489116+0.0123813j 0.00462887+0.0367258j 0.0114706+0.00975308j -0.00682379+0.00641205j 0.0112085+0.101208j 0.00866039+0.00588849j 0.00130566+0.0177554j -0.00114545-0.00582053j 0.00448072-0.00420426j 0.00534973-0.00492219j -0.00201045-0.0107885j 0.00463451+0.00522358j 0.0249735-0.0207381j 0.0187924+0.0591475j 0.00296689-0.0137473j 0.00378119+0.0248228j 0.0137241-0.0363436j 0.00485046+0.0248124j 0.00164346+0.0273524j 0.00348407+0.0776506j 0.00209861+0.05027j 0.00325975-0.0228968j -0.00288964+0.121339j -0.00780366-0.090844j -0.0141905+0.141638j 0.00136362+0.0154109j 0.000446463-0.0109547j -0.00298552-0.0405365j 0.00110537-0.0619239j 0.0019062-0.0286057j -0.00190745+0.0399929j 0.000398329+0.0945221j 0.013607+0.065436j -0.00529027-0.0727477j -0.00382784-0.130757j 0.00039501-0.0166983j -0.000793882-0.036374j 0.00787593-0.108323j -0.00349895+0.031312j -0.00677253+0.0113081j 0.0145928-0.194802j 0.0060596+0.179872j -0.0017338-0.0176873j 0.000635076-0.0125399j -0.00211652+0.203027j -0.00258187+0.0684574j 0.00115703-0.112694j 
0.00288696+0.0484603j 0.00230064-0.00529554j 0.00578767-0.056832j 0.00659398-0.0630147j 0.0155701-0.0274494j 0.00343345+0.0858058j -0.0192136+0.0418552j 0.00589225+0.00718774j -0.00518039-6.8572e-05j 0.00766342-0.00989802j -0.0140528+0.0760543j -0.0190607+0.0215335j -0.012735+0.000760611j 0.0058467+0.0148361j -0.00560793-0.0602366j -0.012486-0.0230546j 0.0145219+0.0869105j -0.0139806-0.0826686j 0.0022413-0.0108986j 0.00753455+0.055999j -0.00148971+0.0719017j 0.00741551+0.0257485j -0.00250805-0.0474654j -0.00318094+0.0290333j 0.00215513+0.033119j 0.0027617-0.0138957j 0.00255314-0.05416j 0.00168481+0.0673124j 0.0016282-0.0120919j -4.97842e-05+0.0169097j -0.000844121+0.0432702j 0.00436784-0.0624006j -0.0130971+0.0828376j 0.00132494+0.0829629j -0.00664923+0.0045432j -0.00075346-0.0606335j 0.0129682-0.0270027j 0.0159083-0.0242483j 0.00306143+0.0231195j -0.0229892+0.0206754j -0.0145006+0.149319j -0.00327487+0.135587j -0.0156111-0.367147j -0.0116846+0.155563j 0.00572039-0.279889j 0.0089394-0.14359j 0.00993841+0.0659228j -0.00121767-0.0508964j 0.00251821-0.0761179j -0.000936021+0.0424617j -0.000538265+0.0507583j 0.000329605+0.0370328j -0.00020654-0.0715924j -0.000616093-0.126531j 0.000653396-0.0912302j -0.000234497-0.0172222j 0.0007324+0.153737j 0.00137134+0.0243207j 0.000504723-0.0756116j 0.00276618-0.255176j 0.00331318+0.158367j 0.00309005-0.0999653j -0.00456344+0.0729101j -0.00430708-0.1999j 0.000319422+0.0048528j 1.59431e-05+0.0266693j 0.00130124-0.0120425j 0.00906186-0.00879296j 0.0035862+0.0266166j 
-0.000624557+0.0393601j -0.00254173-0.0197416j 0.00126483+0.00749537j 0.0020997+0.0303335j -0.000981347+0.0361876j -0.00635344+0.0197361j -0.0228759-0.0128121j 0.0100033+0.00190674j -0.00770224-0.0219131j -0.00144549+0.0446185j -0.0364219-0.0246923j -0.00795434-0.0237607j 0.00195255-0.0326562j -0.0339008-0.0273872j -0.00123067+0.0367675j 0.00553084+0.0529781j 0.0167232-2.37136e-05j -0.00563116+0.0893759j 0.000208129+0.0185793j 0.00423348+0.0528934j 0.00326202-0.0944294j 0.00439493+0.0101225j 0.00106384+0.0270893j 0.00217521-0.0438318j 0.00324325-0.0488489j -0.000844875+0.00182939j -0.00419007-0.217071j 0.00285387+0.060968j -0.00435976-0.0507838j -0.00359701-0.0236811j 0.00254504+0.00760379j -0.00126433+0.00283226j 0.00168038-0.0385129j 0.0113502+0.0340612j -0.00130152+0.000332666j 0.000498057+0.041104j 0.0015707+0.0193421j -0.00426108+0.0360412j -0.00383312+0.189483j -0.00623318+0.0695936j -0.0119332-0.0287686j -0.00271422-0.0131871j 0.00478166+0.170782j -0.00438028-0.0127597j 0.00613996+0.0222178j -0.00184913+0.259194j 0.000781916+0.0399941j 0.000171826-0.0290251j 0.000800817-0.0309776j -0.00157368+0.00892485j -0.000869308+0.0097005j -0.0032333+0.0162387j 0.000363011-0.0440039j 0.00216293-0.079239j -0.00530136-0.0396201j 0.00437397+0.0362613j 0.00290216-0.0695549j -0.000459788+0.0520968j -0.000281793+0.155922j -0.000852501+0.219285j 4.11117e-05+0.0690092j 0.00282472+0.0363076j -0.00521202+0.0461745j 0.00414784-0.219079j -0.000132562+0.0158631j -0.000396792-0.0485539j 0.000765108-0.282534j -0.0031073+0.158324j -0.00376198-0.125327j 
-0.0010258-0.0293852j -0.000163266+0.000941993j 0.00521714-0.0377749j -0.000679882-0.0211747j -0.00801454-0.0754014j 0.00524937+0.0148528j 0.00449392+0.0892364j -0.00701621-0.0388464j 0.00710626+0.0359009j 0.0111941+0.0016438j 0.0130323+0.0499894j -0.00894669-0.00392753j 0.0080753-0.0298492j -0.0168933-0.0144046j 0.00511086-0.0292095j 0.003113-0.125595j -0.00312713+0.181919j -0.000254368-0.1375j 0.00120492+0.00950181j -0.00512605+0.0740048j 0.00225957+0.0230906j -0.00164394+0.0437074j 0.0052951-0.057463j -0.00111885-0.12738j 0.00443974+0.0870855j 0.000697754+0.0225032j 0.00875073+0.0606326j 0.0021876-0.0211839j 0.00214698+0.0192432j 0.000221013+0.034837j 0.00116256-0.00583574j 0.00793336+0.0257844j -0.00198187-0.0198088j -0.00155784+0.0339445j 0.00772337-0.0536303j 0.0073163+0.130437j 0.00753268-0.161055j -0.000218675-0.0108566j 0.00173656+0.119123j -0.000725045+0.262487j 0.00503408+0.150257j 0.00473748-0.0748089j -0.0132289+0.183981j 0.00704207-0.0355519j 0.0106214+0.271544j 0.00918991+0.049168j -0.00574079+0.127864j 0.000145893+0.0161663j 0.00454884-0.0482529j -0.00203393+0.0651725j 0.00258349-0.0750866j 0.000257609-0.0303609j -0.00106869+0.0579103j -0.00285237+0.108635j -0.00901123-0.082868j 0.00588181+0.0446859j 0.00363172-0.168111j -0.000556459-0.115782j 0.000109726-0.0358107j -0.00205422-0.190171j 0.00170975-0.0447264j 0.000313913-0.366151j -0.00389041-0.0441837j 0.00147259-0.112172j 3.06302e-05+0.00888782j -0.000492648-0.0532665j -0.00562012-0.115243j 0.00449238+0.0531714j -0.00631937+0.103737j 
-0.000379649-0.00249493j 0.000876222+0.0164353j 0.00136927-0.0770271j 0.0124583-0.0109791j 0.00821278-0.00252484j 0.000365988+0.0281952j -0.0191838+0.00346312j 0.00697572-0.010551j 0.004959+0.0274208j -0.0211834+0.0651317j 0.00536498+0.00197411j 0.0161814-0.0240522j 0.016007+0.0695686j 0.00431288-0.0505675j -0.00482619+0.0740032j 0.00614694+0.0583229j 0.00992807+0.109673j -0.00636128-0.113407j -0.00390282+0.124678j 0.00125576+0.0348737j 0.000410234-0.0364084j -0.00134048+0.0653703j 0.00419287-0.00959262j -0.00269822-0.023358j 0.00530006-0.124819j -0.00168123+0.0840473j -0.00349475-0.0848843j 0.00164036+0.0624912j -0.00143507-0.0315731j 0.0046666-0.0411016j 0.00514013+0.0752868j 0.0128836+0.132255j -0.00493375+0.04096j -0.00127356+0.0359864j 0.00202911+0.000973845j -0.0134722-0.0564399j 0.0113263+0.172878j 0.00397454+0.0444682j -0.00978219-0.0207075j 0.00413543-0.074535j -0.00457362+0.28048j 0.00839716-0.427447j -0.000870585+0.0403472j 0.00125662+0.0222148j 0.00526443-0.0430318j -0.00136619+0.0095265j 0.000105666-0.245402j 7.97459e-05-0.0110033j -0.00128023+0.067221j -0.00129194+0.0299392j 0.000354662-0.0338282j 0.00197262-0.0334478j 0.00130962+0.0626827j 0.00116239+0.132739j 0.00466864-0.0574565j -0.00475287-0.0945112j -0.00314313-0.013525j 0.00202891-0.0735363j 0.000169534-0.0408394j 0.00530232-0.0651037j -0.000558992-0.157159j -0.00209501+0.00467227j 0.00484789+0.252655j 0.001258+0.13685j -5.13798e-05-0.0239893j 0.000135958-0.0184614j 6.57664e-05-0.130853j -0.00265726-0.0696276j 0.00153984-0.0998597j 
-0.00531757-0.00420364j 0.00185333-0.0475654j -0.00915612+0.0589108j -0.00184349+0.0973676j -0.0032587-0.0458885j -0.0107749-0.0319347j 0.00479303+0.0320434j 0.00914646-0.0663485j -8.94423e-06+0.0719286j -0.0100614-0.0421108j -0.00814734+0.023458j 0.0173163+0.043232j -0.0137789+0.0183243j -0.0019477-0.0583646j -0.00681528+0.0533011j -0.00247142-0.0342697j -0.00495758+0.0540851j 0.00126883-0.030833j 0.00248311-0.022134j -0.00460671-0.0150269j 0.00490725-0.0314518j -0.00104677-0.00463782j -0.00163816+0.056886j 0.00303356-0.0654956j -0.00570187-0.168423j -0.00270408+0.110051j 0.00516243+0.0462037j 0.00500366-0.121532j -0.000205228-0.049994j -0.0010148-0.012904j -0.000837114+0.101418j 0.00389731-0.00565058j 0.00116913+0.21506j -0.0106612-0.024828j 0.00497084+0.254041j -0.00648333+0.066469j -0.00170058-0.293665j 0.00364453+0.366586j 0.0013825-0.423328j 0.00940306-0.25328j 0.00348888+0.134585j -0.00114479+0.0885003j -0.00161586+0.104379j -0.000831541-0.0625475j 0.00193427-0.0749391j 0.0047268+0.106116j 0.000563431-0.0076444j 0.000212452-0.0466213j 0.00202254+0.0182402j 3.7239e-05+0.0345974j 0.000244938-0.0538583j 0.000518773-0.0383164j 0.000398287+0.0663161j -0.00118996+0.0271442j 0.000925667-0.0169735j 0.000154448-0.0125903j -0.00269575+0.0311289j -0.0010658+0.0274395j 0.00103806-0.0928823j 0.00101595-0.0847903j -0.000141166-0.0575284j -0.00152032+0.0699518j 0.000576553-0.0172412j -0.00170054-0.164761j 0.0010104+0.0460841j -0.000762869-0.0051164j -0.00271448-0.00744555j 0.00332754+0.125266j -0.00233065+0.0292516j 
0.00421405+0.00936195j -0.000726589+0.0319422j 0.000230168+0.0179965j 0.00439117-0.0161921j -0.0163885+0.0333627j -0.00118281+0.0314437j 0.00954031-0.0488848j -0.00932116+0.0574789j 0.0169722-0.0421533j -0.00737281-0.0243601j -0.000446445+0.0573121j -0.0185599-0.0278851j -0.0124449+0.0476485j -0.0118115-0.0618114j -0.000361174-0.041284j 0.00246776-0.00720415j -0.00120611-0.0992533j 0.00482514+0.148688j 0.00174616-0.0190728j 0.00212693-0.0208966j 0.00141858-0.0103826j -0.00442122-0.0848806j 0.00727275+0.086634j -0.00560772+0.00125935j -0.00407948-0.0015107j 0.00318399-0.0466909j -0.00611196+0.0388118j -0.00562206-0.0316088j -0.00347966+0.0291077j 0.00281814-0.0405592j 0.000678806+0.111571j 0.00469032+0.197093j 0.00481555+0.195051j 0.00503629+0.31505j -0.00501035-0.259867j -0.00773052-0.086781j -0.00365678+0.102846j -0.0103687+0.353425j -0.00425481+0.195266j 0.0049288-0.0224771j -0.00468829+0.265642j -0.00130591-0.170744j -0.00167349+0.0177889j -0.00922614+0.133128j -0.000377001+0.0505358j 0.00160406-0.141885j 0.00266001+0.18428j 0.00113976-0.0855028j -0.00293251+0.0064195j 0.000165632-0.0220615j -0.000684154-0.0633035j -0.000226514+0.00720397j -0.000363999-0.011819j 0.000894772+0.0461009j -0.00106633-0.013315j 0.00172339-0.0921996j -0.000317462-0.0581914j 0.0013008+0.0865736j 0.000524818+0.0936464j -0.000531614-0.0105232j 0.00123466+0.0987032j -0.00114792+0.154671j -0.00220243-0.0413822j -0.00185836-0.0165782j -0.000166034-0.00167882j 0.000103238-0.0352787j 0.00129371+0.0772107j 0.00109415-0.0294284j 0.00198744+0.0887502j 
