-0.053947-0.0724518j -0.0166071+0.0296594j 0.0269379-0.0526597j 0.0257285-0.0454368j 0.0254712+0.0456013j 0.0266626+0.0395396j 0.0161622-0.093058j -0.147119+0.00231274j 0.048813+0.100856j -0.0132126-0.00312907j 0.0198733-0.0154538j -0.0137124-0.00885122j 0.0473075-0.0601609j 0.00730513+0.017206j -0.0083305+0.0251881j 0.0554805+0.0572471j 0.00226979+0.0679708j 0.0582078+0.0293357j -0.0337584-0.0342423j -0.0191679+0.050916j 0.00576196-0.0993829j 0.0206859-0.07908j -0.0309091-0.0102178j -0.0309047-0.0443114j 0.0264984-0.0140396j 0.0324107-0.0540827j 0.0130987-0.0183951j -0.0206249+0.000926754j 0.0129485+0.00812727j 0.00368305-0.0363137j -0.0169414-0.0677656j 0.0233653-0.00807103j 0.0978541+0.123988j 0.0577196+0.0679779j 0.0325885+0.0229215j -0.150416-0.114872j -0.0701794+0.000196909j -0.0126406+0.0194945j -0.175346-0.0794851j -0.101402+0.133269j -0.0500869+0.149882j -0.0196014-0.0620575j -0.0519051-0.111129j 0.0350102-0.0616385j -0.0801593+0.120992j 0.108625-0.0106365j 0.0127113+0.0238533j 0.0414763-0.0745586j 0.0327967-0.0826607j 0.02752+0.039662j 0.0584045+0.0182861j -0.0745116-0.0343846j -0.0301926-0.0133433j -0.0309568+0.0405653j -0.0103042+0.0431688j 0.00946377-0.0403806j 0.0883527+0.0797023j -0.0231145-0.0429145j -0.0101581+0.176712j -0.181891-0.0166791j -0.0307791-0.204569j -0.0240802+0.0357476j 0.0472123+4.21383e-07j -0.110315+0.000860862j 0.0309231-0.0270552j -0.0270478+0.0206444j -0.0177156+0.0194168j 0.0427238-0.144004j -0.0853416-0.077046j 0.0129168+0.179033j 
-0.0322616-0.034186j 0.133765+0.113984j -0.0309587+0.00490474j 0.0414486-0.0341589j 0.0413612+0.0642979j -0.0592997+0.0037413j -0.0437516-0.0642505j 0.0119053+0.0298427j -0.0173911+0.0258034j 0.0863673-0.0170822j 0.0054385-0.0249291j -0.0517052+0.0432294j -0.0353808+0.0220562j 0.0447167-0.0271242j -0.0305955+0.0572961j 0.0375609-0.125483j -0.042687+0.0545576j 0.016788+0.00780702j -0.0127822+0.0101497j 0.0097786-0.0343646j 0.0538781+0.0467807j 0.077151+0.111575j -0.0393009+0.00762338j 0.0638197-0.0822007j 0.0113135-0.0673254j 0.0206749+0.0120342j 0.0401421-0.0339911j 0.018824+0.00599874j 0.0591901-0.0350551j -0.102242+0.123347j 0.0457915+0.103645j -0.0286752+0.00660333j -0.0289876-0.0780846j 0.0346802-0.218457j 0.0804068-0.142451j -0.00759089+0.164222j -0.00781781-0.0644535j 0.102333-0.031137j 0.0211388+0.0746191j 0.052668-0.00811556j 0.121986+0.148509j -0.0876857-0.0624563j 0.0154581+0.0203243j -0.0377543-0.0129452j 0.0726678-0.128381j 0.0888737+0.0251499j -0.00822431-0.0438234j -0.109637-0.0442108j -0.00312051+0.0341692j -0.0394481-0.0366181j -0.025461-0.0744386j -0.00197808-0.0688726j -0.0370116+0.0467972j -0.0375787+0.0816431j 0.0868165+0.062478j 0.0503868-0.0726269j -0.00573976-0.0488416j 0.0222601+0.0531675j 0.0837563+0.0482342j -0.116337+0.116269j 0.00154285+0.0707702j -0.00770918-0.0159459j 0.0172767-0.0412701j 0.0409309-0.089029j -0.0142518-7.10547e-05j -0.0248399+0.0151105j 0.0324729+0.0578351j -0.0084429-0.00635914j -0.0684833+0.188568j 0.0606266+0.0217547j 
0.0269369-0.0212108j -0.0170652+0.0507252j 0.0178041+0.110731j 0.0122151-0.0158048j -0.0265937+0.0793397j 0.0645673-0.0471177j 0.100022-0.0274552j 0.0225001+0.0159652j 0.0138282+0.0136082j -0.0432018+0.000381116j -0.0318744+0.06203j 0.0557247-0.00581227j -0.0633819-0.0123562j -0.0253039-0.0224006j 0.00579919+0.0980129j 0.0980654+0.00562973j 0.0404998+0.0652726j -0.0126994+0.000399969j -0.0269046-0.0667529j -0.0179201-0.00697642j -0.0284043-0.0975066j 0.0273773+0.0522157j -0.0683831-0.0308278j 0.0229582-0.165659j -0.0256647-0.0592549j -0.00708596-0.0934132j 0.0431141-0.0551476j 0.11391+0.127986j 0.0648125+0.0702626j -0.0547496-0.0678699j 0.0397967-0.095397j -0.135132-0.0599419j 0.0314527-0.000765843j -0.0308859+0.0468412j 0.0180106-0.0496109j -0.0111414-0.0366869j -0.0117903-0.0280825j -0.0454344-0.00840361j -0.0337087+0.0449815j 0.00425594+0.0572721j 0.0590324+0.0751654j -0.0194149-0.0736051j -0.079195+0.108744j 0.128217+0.0454868j -0.0813695+0.114283j 0.119329-0.159638j 0.0151073-0.0207711j -0.0844907+0.142095j 0.0609288-0.0582108j 0.0447937-0.0301157j -0.0159458+0.0480113j -0.124305-0.020468j -0.00263155-0.0835675j 0.0682162+0.135836j -0.0048534+0.116955j -0.0867196-0.0807679j 0.00796082-0.0607829j -0.0627988-0.0739441j 0.100479-0.0938124j -0.0607344+0.105886j 0.137425-0.103132j -0.0659739-0.0344934j -0.013095-0.160972j 0.00848496-0.0650472j 0.0184874-0.0289301j 0.00261649+0.0401039j 0.024502+0.00909288j 0.036126-0.0625886j 0.146654+0.132353j -0.0292619-0.0288615j 
0.000572017+0.0402328j -0.0453924+0.0322261j -0.0391458-0.000839898j 0.0646577+0.0768067j 0.0384756+0.108408j -0.0119126-0.0156367j 0.0107646-0.11404j 0.00574009-0.00508268j -0.0423404+0.0173569j 0.0136187-0.11295j 0.0331559+0.0751286j 0.0913401+0.00747728j -0.0731304+0.0270271j 0.110197+0.0930503j 0.0360406-0.116045j 0.0154786-0.00500766j -0.000969648+0.142158j -0.0392237-0.0347467j 0.0125238+0.114476j -0.104868+0.0798923j 0.0640941+0.00637729j 0.0304838-0.0458485j -0.084779+0.034684j -0.0560687+0.0750178j 0.0398915-0.177706j -0.0746804+0.0614607j 0.00787823-0.106426j -0.0299206+0.0135574j 0.0160248-0.092698j -0.104058+0.131108j 0.0267571+0.0688914j -0.0704933-0.0296753j -0.0638143+0.036426j -0.00690669-0.0138477j -0.0202703+0.071359j -0.0503744-0.0570492j -0.0136988-0.0199172j -0.0642045+0.162635j -0.00762751-0.0481114j -0.038982-0.132002j 0.0389008-0.0395223j 0.0755727-0.0976909j 0.0361717+0.118132j 0.127895-0.0391186j 0.0510798-0.0749919j 0.0503983+0.00321598j 0.0026946-0.0526317j 0.0434389+0.0275015j -0.0629038+0.0405771j -0.0446497+0.025133j 0.0391172+0.0427245j -0.0711017+0.0414111j 0.121092+0.05175j -0.0625042-0.0128159j 0.0876005-0.0915391j 0.0189596+0.00483263j -0.0592983-0.0496161j -0.0292571-0.0888297j 0.0198898-0.0226002j -0.00867378+0.0208037j 0.0928375-0.0543612j -0.0693081+0.0117999j -0.00508668+0.0472035j 0.075756-0.182145j 0.0142438-0.0585673j -0.0377849-0.0210184j 0.00880184+0.0100511j 0.0304318+0.0680021j 0.0419726-0.00437749j -0.0957487-0.038375j 
0.127223+0.113303j -0.0726106+0.0393851j -0.104233+0.0586866j 0.0771988-0.00876309j 0.093794+0.0214143j 0.15664+0.00189557j -0.0486622+0.0276243j -0.0128753+0.019662j 0.0159264-0.00658689j -0.0258529-0.0163783j -0.000427481+0.144116j 0.0854451+0.0111891j -0.0195853-0.0424131j -0.0504089+0.0490946j -0.00306854-0.11923j -0.0295118+0.103868j -0.0192559-0.0123326j -0.0554371+0.0489137j 0.00546485+0.00260112j -0.0649862+0.135329j 0.0400353-0.07264j -0.0347144-0.206387j 0.142557-0.0783927j -0.0539379+0.180914j 0.024093+0.0412447j -0.0483087-0.0594386j -0.027461-0.0185207j -0.038541-0.0564587j -0.041303+0.0310537j 0.0414485-0.0462765j -0.0468415+0.0242803j 0.0194481+0.0928424j 0.0269946+0.202666j -0.0157444+0.0893914j -0.102023+0.136386j 0.0236332-0.206667j 0.0202824-0.0121219j -0.0587035-0.0508202j -0.0629245-0.0465331j 0.111349+0.0180498j 0.169806-0.00385393j -0.0614935+0.0694635j -0.0785728+0.0434249j -0.0060216+0.0869018j -0.0606332-0.0640546j 0.062364-0.0497791j 0.0501193+0.0800478j -0.0357727-0.00261118j 0.0017915+0.0449583j -0.0586711+0.0264981j -0.0657759-0.0312101j 0.0309899+0.025533j -0.0195828+0.0192113j -0.0169127+0.0454622j 0.0754872+0.0297331j 0.0739703-0.0258056j -0.0638429+0.0131399j 0.00784208-0.0713427j 0.116244+0.100577j -0.00615651+0.106215j 0.024481-0.0430937j 0.0528919-0.035506j 0.0188391-0.0467304j -0.116987+0.109568j 0.0421591+0.00294943j -0.0225418+0.00475284j 0.0211001-0.0209471j -0.00373653-0.0970261j 0.0682485+0.00300196j 0.148723+0.0486756j 
0.025063-0.0150178j 0.0407864-0.0222117j -0.0352192-0.00103186j -0.0314426-0.00490675j -0.0100794-0.0472088j -0.012035+0.0481756j -0.0838274-0.036813j 0.0419157-0.074958j 0.017862+0.0987437j -0.0889096-0.0455421j 0.0367325+0.0570259j -0.059881-0.00758181j 0.0123058-0.0171386j 0.0364625+0.00262942j -0.000308778-0.000873907j 0.0376847+0.0590157j -0.0381403+0.000298247j 0.0149832+0.103918j -0.0150415+0.00407449j -0.0632708-0.0118145j 0.0152383-0.0302562j 0.0503022+0.0525163j 0.0274393+0.0539869j -0.0818458-0.115029j -0.0606675-0.0933351j 0.00632964-0.0373625j 0.00995098+0.0357981j 0.0204205-0.014906j 0.0439617+0.0627854j 0.0398401+0.0244436j -0.00490341+0.00957681j 0.00160353-0.0838412j -0.0401118-0.00833243j 0.0218379+0.100226j 0.0142141-0.0871263j 0.0692668-0.0585416j 0.0266068+0.0464052j 0.0633955-0.108j -0.0541444-0.174167j -0.0475617-0.0592378j 0.0172601-0.0760568j -0.0154005+0.0567183j -0.0744142-0.0215589j -0.036703+0.10427j 0.109053+0.00371855j -0.0290005+0.001748j 0.000345892+0.0033092j 0.0125915-0.0097688j 0.013729-0.0753354j 0.0335965-0.0334705j 0.177249+0.053308j -0.102086-0.114808j 0.00976378+0.0129296j -0.0653166-0.0316073j 0.125283-0.00505025j -0.0088661+0.107078j -0.0126864-0.120269j 0.0817032+0.161234j -0.0352032-0.0846531j -0.0133682+0.101341j 0.00357778+0.0331729j 0.048842+0.0618911j 0.0140888+0.213101j -0.0783122+0.0766867j -0.0206839+0.00458138j -0.0405671+0.0220891j -0.020893-0.105615j -0.0693035+0.134592j -0.190781-0.201457j 0.191999-0.156476j 
-0.0807821+0.0205246j -0.0265687-0.0269137j 0.0119298-0.0319057j -0.0423843+0.0350283j 0.0315199-0.0545112j 0.0449569+0.0837459j 0.0152589-0.0773086j -0.0426248+0.0144853j 0.0716598-0.0493121j -0.069103-0.00420344j 0.0428905-0.0139097j -0.0332536+0.000622613j -0.0178935+0.0295356j 0.00244152-0.0044666j 0.00431196-0.0211466j 0.0439746-0.00834954j 0.011188-0.0712216j 0.0588405-0.0281491j 0.084011-0.0823286j -0.00445386+0.0557338j -0.024818-0.0143245j -0.078201-0.0648456j 0.0606722-0.00922803j -0.0735144-0.0202038j -0.0706024+0.0548778j -0.0791589-0.118819j -0.0122073+0.0239944j 0.032031-0.0571391j -0.079929-0.075371j -0.00406857-0.00184608j -0.0829265-0.0784072j 0.0431267-0.0355251j -0.00803669+0.0288194j 0.0122984+0.165814j 0.125978+0.0139717j -0.00729823+0.0392493j 0.0897641-0.0932889j 0.0732783-0.00934683j -0.133045-0.00105094j 0.0467184-0.0582168j 0.0633069+0.0301446j -0.15659-0.0365022j 0.113064+0.0656893j -0.0592964-0.00145178j 0.00348517-0.0957866j 0.0878363+0.00299915j -0.0116312-0.0337291j -0.0374364+0.0652114j 0.0705231-0.0156586j 0.0597529-0.0624014j -0.01369-0.00939124j 0.127759+0.0226193j -0.0957427+0.0291727j 0.0726264+0.06048j -0.0160558-0.0646374j -0.00374542-0.0716673j -0.101869-0.057915j -0.120655-0.0755165j 0.0750751-0.130862j 0.00863196-0.00213813j 0.0405443-0.0787921j 0.0628705-0.0603222j 0.128613+0.138259j 0.141422-0.309104j -0.00817672+0.0244561j -0.0116262+0.0860389j -0.00208984+0.0410501j 0.011688+0.180857j -0.0986362+0.00410776j -0.0338989-0.0569319j 
-0.0408601-0.0304693j 0.0580907+0.0545558j 0.0410879-0.0516899j -0.0281626-0.0147384j -0.012077-0.034124j -0.0258541-0.018146j -0.1028+0.047899j 0.0147892-0.0873697j 0.0669107+0.190439j -0.0161167-0.0439945j -0.00965669-0.0194985j -0.039828+0.0084552j -0.0634189+0.0164227j -0.0157354-0.0112177j -0.0308916+0.0719924j -0.00998475+0.0240255j 0.103147+0.0554778j -0.0244341-0.0163435j 0.0574758-0.0607201j -0.0130124-0.0847301j 0.0480112+0.131107j 0.0668602+0.0815486j 0.0729274+0.0212757j 0.0104256+0.0429351j -0.0063443-0.0134462j -0.129159+0.126595j 0.011226-0.0122388j -0.037028-0.00525139j 0.0123177-0.092858j -0.0235391-0.0128544j 0.040597+0.104485j 0.0352178+0.00670791j -0.00677331-0.00503675j 0.130975-0.0177171j -0.0366753-0.0691416j -0.0626667-0.133455j 0.0954934-0.009472j 0.000252265+0.13992j 0.0377087-0.0417299j 0.0511771-0.00809244j 0.0504041+0.0238963j -0.167586-0.148385j 0.002855+0.112903j -0.014416+0.0978951j 0.156077-0.0858586j 0.00715368+0.0827489j 0.0173763-0.0234053j -0.0442344+0.0238291j 0.03228-0.0530801j -0.0335496+0.0621222j 0.0528487-0.100002j 0.0141496+0.0381197j 0.00871716-0.00158809j -0.0171822+0.00188061j 0.0249036-0.0966428j 0.0283414+0.052035j -0.0370592+0.0938191j 0.138062+0.0410357j -0.018212-0.0141046j -0.0150701-0.0840152j 0.0332241+0.0120416j 0.111435-0.0181561j 0.107032-0.0382643j -0.0722207+0.0381263j -0.0493231+0.0100925j -0.00542728+0.0150611j -0.0500967-0.0120123j 0.041808-0.169041j 0.132942-0.0278697j 0.157355+0.165331j 
0.0333803-0.0586621j -0.0403664-0.0652266j -0.0271398-0.0515511j -0.0128269-0.0236609j -0.0515592-0.0483195j -0.0724882+0.00872759j -0.0510084-0.0199106j 0.00562405-0.0306714j 0.108477-0.0122464j -0.0758097-0.0015851j -0.0485954+0.000303515j -0.00527458+0.0210149j -0.0268276+0.0195733j -0.0536683-0.00568374j 0.0091076-0.0276076j -0.0977028-0.0404521j -0.102679-0.00852115j 0.0660846-0.0991823j 0.0586637-0.0383206j 0.0581199-0.0864846j 0.0884974+0.0621143j -0.00387066+0.0564822j 0.00647679+0.0736287j 0.0474485-0.0296512j 0.0784781+0.0193296j -0.055202+0.0787436j -0.0139245+0.0610109j 0.0672059-0.0749821j 0.0863991+0.0269172j 0.0378845+0.213395j -0.0889726-0.0645022j 0.0578833+0.0391354j -0.0399105-0.0255036j 0.0168479-0.13977j -0.0075538-0.0099614j 0.0489546-0.0307666j 0.0839571+0.0390652j 0.0155985+0.0200035j -0.147682+0.0644687j -0.000922621-0.0494236j -0.0461432-0.0505125j 0.0302017-0.00970014j -0.220203+0.250685j 0.0228477-0.0279878j -0.107298+0.063291j -0.0635703-0.0539033j -0.0169815-0.0169879j 0.0929002+0.0686902j -0.0612834-0.0233958j 0.0197788-0.0308519j -0.0264342+0.116668j 0.0953157+0.0660594j 0.0648651+0.127855j 0.0844927+0.0445353j -0.0115414+0.0889853j 0.108992+0.00114197j 0.128039-0.146042j -0.0222002-0.0890521j -0.0746082-0.00562382j -0.128855+0.0424385j 0.191102-0.145241j 0.0281679+0.128397j 0.0644978-0.139164j -0.100234-0.0382392j 0.0737975+0.0459758j -0.00831542-0.00323719j 0.0271555+0.0571185j 0.0485066-0.072976j -0.0532986-0.0796339j -0.028969-0.0293305j 
-0.10095+0.0119364j -0.0707763-0.0644198j 0.0117949-0.022581j -0.0703037-0.0702909j 0.0316669+0.113157j -0.0328983-0.0105721j -0.0641583+0.0674598j -0.0833136+0.0285612j -0.105416+0.0371627j -0.0175211-0.120947j 0.0241645+0.000144399j 0.0619263-0.0176938j -0.0160116-0.0704572j -0.0461838-0.0154731j 0.0825539-0.0855941j 0.00759367-0.00818149j -0.0612808+0.0132676j -0.106026-0.0130685j 0.0217739+0.0461023j -0.0308642+0.000246483j -0.0835441+0.0560386j -0.00334343-0.0404306j 0.0451024-0.0565867j 0.0201649+0.0107879j -0.0484699+0.00245751j 0.0141865-0.00049479j 0.0426652+0.0213746j 0.0674488+0.158596j 0.113253+0.0626534j 0.00401264+0.0442973j -0.0859947-0.0186523j 0.0870582+0.150853j -0.0212406+0.0622995j -0.10475+0.0631355j 0.138225-0.00379068j 0.0142712-0.07704j -0.00335597+0.0271983j 0.0557344+0.0757963j -0.0437862+0.0488048j -0.0243123+0.0712058j -0.0542867+0.0783711j -0.00772583-0.00758187j 0.0797222-0.136307j 0.0162145+0.0242027j -0.00897191-0.0717562j 0.0236337-0.00305591j 0.0680228+0.016977j 0.0479182+0.00708784j 0.0125798+0.0105626j -0.160758+0.0234274j 0.0916824-0.00396968j -0.00195968+0.0576738j -0.00837835+0.0141848j -0.0620583+0.104072j 0.0527568+0.0287443j 0.00506148+0.0220685j 0.0459677+0.0379071j -0.102008+0.0367714j -0.114505-0.0262108j -0.151187+0.0759347j 0.0701827+0.187489j 0.0654702-0.00380148j -0.123265-0.0618973j -0.0126389+0.0280003j -0.108319+0.010657j -0.044095-0.00755892j -0.0373386-0.054895j -0.0265927-0.0323122j -0.120855+0.102193j -0.247251-0.0597155j 
0.0298737+0.0283079j 0.00138394+0.0350286j 0.0158798+0.0187895j -0.0270242+0.0440738j 0.0638332+0.00518306j 0.0158037-0.0306822j -0.0662382-0.0140896j -0.117999-0.0672038j -0.111607+0.0666673j 0.142281-0.00447894j 0.0261285+0.0392444j 0.038657-0.00358419j -0.0433064-0.0636442j -0.0266757-0.00687943j 0.014553-0.00238348j -0.01564-0.000516984j -0.0662595+0.00402472j -0.0709145+0.00379032j -0.00156422-0.0164865j 0.00635997+0.147665j -0.025875-0.0738338j -0.00153306-0.136147j -0.0238681+0.114646j -0.0352542-0.0308696j 0.0782658+0.0879784j 0.106679+0.0325427j -0.0830114+0.0852998j -0.0276144+0.011124j 0.0595175-0.0611601j -0.0310812-0.0642321j -0.0213172+0.0423572j 0.0871418-0.0754893j 0.0158405-0.0158777j -0.00916981+0.123688j -0.0532119-0.0106639j -0.0321333+0.118178j 0.0347404+0.0278754j -0.0513758+0.00355413j -0.000745962-0.120388j 0.0580572-0.0597405j -0.00928619+0.0428705j -0.0866477+0.127673j 0.0389511-0.0120192j -0.0316993+0.00118241j 0.181861-0.0100555j -0.0469311+0.0586448j 0.103037+0.0140076j -0.06879+0.0766247j 0.066623+0.0583582j -0.0191791-0.15135j 0.0158294+0.0246431j -0.000785583-0.0917347j -0.106271+0.0763642j -0.0184134+0.140606j 0.0735461+0.0511836j 0.0579652+0.0517905j 0.0256706+0.0977155j -0.0477123-0.00195723j 0.0990093+0.0420251j -0.0476547+0.0211272j -0.0296078+0.0872636j 0.0389923-0.0058211j -0.0741586-0.101634j -0.112272-0.0177313j -0.0177298-0.00433743j -0.000234453+0.0121511j -0.0206415+0.0242059j -0.00928606-0.0651236j 0.00891343+0.0414586j 0.00282469-0.0378851j 
