0.502171+0.498116j 0.482949-0.521446j 0.135642+0.0132935j 0.0214989+0.0184663j 0.0736998+0.00932732j 0.0299856+0.00292714j -0.0314098-0.0430458j -0.0220618+0.0155856j 0.0349794-0.000790622j 0.0166019-0.0158067j -0.0189319-0.0215514j 0.0107049-0.0213574j 0.00918309+0.0123499j 0.0382022-0.0420378j 0.0186458-0.0160154j -0.00387822-0.0103097j -0.000660732+0.0260454j 0.0105053-0.00191911j -0.0108236+0.0243796j 0.0279335+0.00628483j -0.0118496+0.0017155j -0.00773781+0.00667164j -0.00919043-0.0148391j -0.0301335-0.00288846j 0.00223518-0.00974559j 0.0107525+0.00263416j 0.00396821-0.0145467j 0.0172508+0.00948668j -0.0260347+0.00485322j -0.000864411+0.00243678j 0.00935639+0.00378089j 0.0188275-0.0108459j -0.00308094-0.0407919j -0.00563382-0.00261254j 0.000944835-0.0109557j -0.000717155-8.71753e-05j 
0.0941066-0.00295038j 0.0164119-0.094801j -0.177175+0.28139j -0.37692-0.298654j 0.232576-0.2451j 0.0220809+0.107064j -0.00357887+0.035994j 0.0938878-0.0486183j 0.0310712+0.0421003j 0.0617003-0.112253j 0.0142223+0.0150764j -0.0488646+0.095497j 0.0134752-0.00198936j -0.0144862+0.00518474j 0.0637888-0.0147294j -0.0281708-0.0273189j -0.0182892+0.00981982j -0.00387287+0.0155639j 0.0101453-0.00744295j -0.0116269-0.00169813j -0.0344248+0.032468j 0.0191703-0.029417j 0.00920946+0.00433053j -0.0162506-0.0201867j -0.00134531-0.0330226j 0.00728382-0.0109924j -0.0372038+0.0108206j -0.0261758-0.0143927j 0.000911386+0.00201235j 0.0147983-0.00206612j -0.0164428-0.00492091j 0.00849155+0.0123118j -0.00480806+0.0235136j 0.00317223+0.010072j 0.0251452-0.0552815j -0.00130307+0.000182731j 
0.0142378-0.0545899j -0.0524804-0.000371772j -0.254474-0.169306j 0.292032-0.395934j 0.273478+0.247018j -0.159662-0.0236952j -0.0408669-0.0210389j 0.00298019+0.078335j 0.0135786+0.0657586j -0.0536572-0.0475206j 0.0110051+0.0281703j 0.0338418+0.0617816j 0.0176041+0.0103429j 0.0110273-0.00259537j -0.0268414+0.0246863j 0.0608564+0.0236001j 0.0192015-0.0264953j -0.0210581+0.000410586j -0.00214899+0.0192245j -0.014169+0.0118447j -0.00903683+0.0173916j 0.0148007+0.0374151j 0.00536978+0.00120925j -0.0336441-0.0040214j -0.037407-0.00696607j 0.00151424+0.0102975j 0.00328931+0.00573061j -0.026127-0.000736655j -0.000635993-0.0129855j -0.00796002+0.0132195j -0.0350103-0.0277587j 0.012545-0.00840612j -0.00591289-0.00756275j -0.00643246+0.0114423j -0.00372074+0.0277453j -0.00887932-0.00898008j 
-0.0149518+0.00534308j 0.00331083-0.00805041j -0.0543977-0.0238866j 0.131158+0.00141107j -0.0409352+0.16118j 0.105583-0.0489403j 0.102658-0.0380069j 0.0748738-0.207933j 0.0717261-0.137543j 0.0494905-0.221637j 0.0355011+0.078345j -0.111784+0.342273j 0.212018+0.153317j -0.000707853-0.0108439j -0.0637568-0.0104575j -0.0358999+0.0638431j -0.0613311+0.0606186j 0.0563411+0.0512008j 0.0489613-0.0172083j -0.0181453-0.0587346j 0.0705462+0.0395182j 0.0412928-0.0420081j 0.0281333+0.00255996j -0.0397282-0.104888j 0.0169011-0.0386777j 0.0457119-0.0674229j -0.0230621+0.00126611j 0.00560471-0.134357j 0.0179602-0.00716477j -0.0604925+0.0512895j -0.0291943+0.139568j 0.0159655+0.0025674j 0.00861034-0.00629721j -0.00428591+0.0174169j -0.00863855-0.0320426j 0.0605834-0.110602j 
0.0252692-0.0245375j 0.0211675+0.0247688j -0.00035826-0.0168486j 0.0693946+0.0032326j 0.000232073+0.071131j 0.0530292-0.0443438j -0.154761+0.053043j 0.0849714-0.221363j -0.105962+0.370033j -0.0425253-0.290279j 0.242566+0.171216j 0.0326814-0.228152j -0.0519807-0.043896j 0.116259+0.00313082j -0.0304007+0.00424901j -0.0313014+0.052372j -0.00553409-0.0199852j 0.0448075+0.0443497j -0.0360084+0.0282623j 0.0481897-0.0135727j 0.0537579+0.0403367j 0.0435603-0.0607302j -0.000312562+0.0521244j 0.0142208-0.0437819j 0.00177355-0.11409j 0.0239082+0.00791213j 0.0170608+0.0389111j 0.00682786-0.0427857j 0.00486931+0.0180961j 0.00323614-0.00293299j 0.00602504-0.0160748j -0.00836613+0.0110885j -0.00589236+0.0381824j 7.21054e-05+0.0139114j 0.0257639-0.0564289j 0.00013897-0.0163089j 
-0.00111166-0.0335002j 0.0350722-0.0222488j -0.113691+0.0162527j -0.0277935-0.0295738j -0.047288-0.0113861j 0.123587-0.0752989j 0.198761-0.146602j -0.0775753-0.0536565j -0.256457-0.140167j -0.0688461-0.0762172j -0.131715+0.00348906j -0.596449-0.157237j 0.18523-0.354629j 0.0941157+0.0949162j 0.352385+0.205641j -0.0181849+0.0573709j -0.0708791+0.0747662j 0.0284263-0.0252822j 0.0741859-0.0469897j -0.0640878+0.0175148j 0.0156067-0.0208159j -0.00138675-0.0207057j -0.057832-0.0215153j -0.0128931+0.0170292j 0.00945406-0.0108719j -0.0317161-0.028176j 0.0449512+0.0357224j 0.0643828+0.042143j 0.00700801-0.00644833j 0.0324261+0.0480608j 0.0159599-0.0325855j 0.00445767-0.017065j 0.0109495+0.00508642j -0.0169437+0.00424444j 0.028555+0.0238266j 0.0577828-0.014622j 
0.0340643+0.00973565j -0.0292331+0.0354195j -0.0936692+0.0307975j -0.00951384-0.0224375j -0.0296366+0.0165294j 0.191224-0.127279j -0.205061+0.137026j -0.22993-0.16069j -0.17418+0.166644j 0.598632+0.0361716j 0.215679-0.322781j 0.0313651-0.0269964j -0.0691744-0.0880614j -0.304833-0.174979j 0.12784+0.0496541j -0.0798418+0.113765j -0.0570685+0.0158101j 0.0937004-0.0353521j -0.00814253+0.0264906j -0.0329036-0.0226195j -0.0290613-0.030175j -0.0369442-0.0528946j -0.0370751-0.00417241j 0.0361511+0.0195212j 0.00210872+0.0104888j -0.0131397-0.0282603j 0.00864761-0.0081627j -0.00557094+0.0165748j -0.00777929-0.0114272j 0.00185051+0.0170422j 0.00338612-0.00170502j -0.0134309-0.00451764j -0.0314867-0.00295678j -0.0106892+0.00844732j 0.0450943-0.0125326j 0.0274106-0.0186074j 
0.0167848-0.0169355j 0.0191127+0.0197838j 0.0485471-0.0711253j 0.0245418+0.0155498j 0.0125538-0.0332219j -0.0555406+0.0256673j -0.107145+0.0329955j 0.0258426+0.0760977j -0.124594+0.293656j -0.178803+0.025048j 0.0437594+0.0836826j 0.034527-0.481677j -0.217507-0.195905j 0.138435+0.0571216j 0.0864237-0.0160913j 0.0460552-0.0300978j 0.100946-0.0246801j 0.000958114-0.0276212j -0.04731+0.000517367j -0.0117952+0.0838885j 0.00984336-0.00907865j 0.00979549-0.00719786j 0.00974072+0.0681563j -0.0494987+0.0464837j 0.00703815-0.000296808j -0.00582397+0.0334221j -0.0212497+0.0035465j 0.0122407+0.00049295j 0.00946962+0.0049195j 0.00548189+0.0242977j -0.0630881+0.0166696j 0.00923339-0.0404773j 0.0179835+0.00947181j -0.00453476+0.00439754j -0.00386498+0.0212422j 0.0113549+0.00366901j 
0.0104871-0.0231868j 0.019356+0.00303284j 0.00331636+0.0999977j -0.0548707+0.0182735j -0.0124475+0.0183421j 0.0606642-0.0373353j -0.0171693+0.0226436j 0.136458-0.292189j -0.00424606+0.19754j -0.0772946-0.404378j 0.221671+0.226134j -0.0557404+0.0525979j 0.116293+0.0689541j 0.141437-0.0211916j -0.0779345+0.0244821j -0.134788+0.0424957j -0.0191876+0.00123549j -0.0322432+0.155535j -0.00687845+0.0111893j 0.00603851-0.0676452j -0.0543163+0.00361519j 0.0109506+0.00204885j 0.0126934-0.00234215j -0.0164864-0.00975891j -0.056172+0.0344578j 0.0121894+0.022784j 0.0212099-0.0239474j -0.0481455+0.00784999j 0.00974281+0.0277227j -0.00545682-0.0172007j 0.0278433-0.00991923j 0.00795594+0.0132248j 0.0159884+0.00946901j 0.00508109-0.0107415j -0.0250753-0.00328893j -0.0181222+0.00719822j 
0.00563488-0.000565404j 0.00727359+0.00861838j 0.0251205-0.0212096j -0.0233819+0.0173009j -0.0155386-0.0272672j 0.00165471+0.0233385j -0.0102784+0.0202162j 0.0417841+0.0308624j 0.0252318+0.0238032j 0.00331324+0.0595245j -0.0338793-0.0147562j 0.0375937-0.104884j -0.149177-0.0317764j 0.00869231+0.019571j 0.0634083-0.152886j 0.0268299-0.00632966j 0.0338734+0.0265993j 0.0685102-0.0374032j -0.0197068-0.0442271j -0.0956317+0.0453891j 0.0447198-0.00122349j 0.0464334-0.0539633j -0.046731+0.0330836j -0.135174+0.00660306j 0.0315226-0.0124884j 0.0216771-0.077177j -0.0859064-0.039626j -0.0840412-0.0913309j 0.0204631-0.0363938j -0.14724+0.257966j -0.0911809+0.432277j 0.0459133-0.122994j -0.0165201-0.00714045j 0.0418554+0.149158j -0.0515484+0.107687j 0.0210176-0.245756j 
-0.0129209+0.0140804j -0.0294659+0.000287211j 0.00785513+0.00497011j -0.0101047-0.00326855j 0.0106797-0.0390532j -0.0462584+0.026639j -0.0269302+0.000165286j -0.00442752+0.0514476j -0.0394762-0.00137836j -0.0274183+0.0761413j -0.0917528-0.0202924j 0.013905-0.0530791j -0.0492392-0.0460933j -0.0106713+0.0986123j -0.0140978-0.0358297j 0.0187665-0.0140588j -0.00779271-0.00621596j 0.0569358-0.0560601j 0.0637053+0.0500502j -0.009064+0.0363516j 0.0574963+0.00621327j 0.0305034-0.0933385j 0.193019+0.00547729j 0.0713932-0.0843296j -0.0430338-0.0545495j 0.145037-0.233405j 0.061361+0.212115j 0.0525419-0.410139j 0.00501057-0.0774901j 0.0519583-0.119508j 0.191671-0.0161818j 0.0177648+0.171223j 0.0144631-0.139872j -0.0161008+0.0812711j 0.0337408-0.204616j -0.137131-0.117239j 
