0.000329574+0.000278574j -0.00176034+0.00116223j -0.000307652+0.000474618j -0.00293136+0.00321093j -0.000147356-0.000323617j -0.00023485+0.000559928j -0.00082589+0.00116381j -0.00236128+0.00288845j -0.000193949-0.000456843j -0.000406743+0.00104623j 0.00166449-0.00304227j -0.00499562+0.00670501j 0.00176175-0.00550668j 0.011199-0.0140889j -0.0329385+0.309816j 
0.00196187-0.001878j -0.0050991+0.00917662j -0.000280152+0.000393826j -0.00644196+0.0156481j -0.000907166+0.00148112j -0.000439249+0.00244647j -0.000623066+0.00195811j -0.0048693+0.013234j -0.000398043+0.00063937j -0.000981011+0.00410725j 0.000548259-0.00305686j -0.00870168+0.0264263j -0.00205981-2.50138e-05j 0.0208431-0.2634j 0.0168113+0.0583507j 
-0.000124421-0.00141655j 0.00186826+0.0017539j -0.0039969+0.0093606j 0.00325316-0.000386872j -0.00159731+0.00685303j 0.0064311-0.0170587j -0.000337127-0.00156721j 0.00250146+0.000374889j -0.00295259+0.00609382j 0.00765838-0.0223036j -0.000128216-0.000813067j 0.00334204-0.00486273j -0.0177443+0.221613j -0.01051-0.0472557j -0.0167617-0.0281961j 
0.00333181-0.0062154j -0.00680453+0.0215639j 0.00106119-0.00341296j -0.00757104+0.0354768j -0.00195041+0.0076789j -0.00208947+0.00882286j -8.1727e-06+0.000920848j -0.004908+0.0324743j -0.00204797+0.00895193j -0.000928239+0.0114463j -0.000133898+0.00103012j -0.0110108+0.193748j 0.00246921-0.00289171j -0.0143065-0.0658767j 0.00525526+0.0260936j 
-0.000825226+0.000782916j 0.000142233+0.000637638j -0.00613678+0.013256j -0.00227738+0.00755361j 0.00297868-0.00926344j 0.0051703-0.00782365j -0.00571771+0.0180179j -0.00140932+0.00723316j 0.00157802-0.0170596j 0.00674082-0.0384774j 0.0143908-0.194222j 0.000360132+0.00791396j -0.00138493-0.0132375j 0.00179537+0.00450232j -0.00114787+0.00915071j 
0.00188279-0.000695059j -0.0047404+0.00471854j 0.00487714-0.0234965j -0.00545443+0.0127387j -0.00195725-0.000516553j -0.00460441+0.0373295j 0.00238615-0.0161707j -0.00365445+0.0298889j -0.00104504-0.0150818j -0.00319974+0.139597j 0.00102418-0.0228914j -0.00657642-0.0626436j -0.00732276-0.0613843j -0.0108485-0.0194166j 0.00574523+0.00776246j 
0.000683305+0.0006466j -0.00197158+0.000620968j -0.00117256+0.00345078j -0.00283532+0.00492802j 0.00328832-0.010593j -0.00192523+0.0180368j 0.0049279-0.0220699j -0.00282547+0.0243648j 0.0120119-0.128103j -0.00137753-0.0193162j 0.00411911+0.0435119j -0.00074636-0.0138066j -0.0031611-0.0198401j -0.00170753-0.00362012j 0.00324499+0.00233278j 
-0.00253652+0.00669131j 0.00297893-0.0177645j -0.00530821+0.0146554j 0.00227447-0.0282742j 0.00105265-0.0153169j 0.0047485-0.0325329j -0.00301393+0.0158394j 0.00123541-0.0583945j -0.000258597-0.0816899j -0.000478229+0.0444872j -0.00263574-0.0236897j -0.00559454-0.0599898j 0.00317628+0.0103349j 0.00415021+0.0215962j -0.0009508-0.00435324j 
-0.00148844+0.00383544j 0.00403533-0.0153688j 0.00500479-0.00725987j 0.00546607-0.0339634j 0.00313686-0.0186166j -0.00604821+0.0280888j 0.0037089-0.0108853j 0.00185132-0.06147j -0.000906029+0.0550183j 0.000336497-0.0516963j 0.00193896+0.0352263j -0.00438698-0.0244662j -0.0066295-0.0140776j 0.00279583+0.0211226j -0.00292676-0.00763033j 
0.000995479-0.00175238j -0.000409754-0.000542635j 0.00353489-0.0196707j 0.00190694-0.0143533j -0.00974017+0.059117j -3.14305e-05-0.00336674j 0.00156001-0.045953j -0.000152896-0.0466978j 0.000757163+0.0133862j 0.00493839+0.06406j 0.00352305+0.030986j 0.00292597+0.00850952j 0.00790129+0.0223346j -0.00236017+0.00217349j -0.000554417-0.003355j 
0.00256785-0.00158139j -0.00556869+0.00718493j 0.00784267-0.0353684j -0.00517758+0.0206347j 0.00162721-0.0160516j 1.13741e-05+0.0432065j 0.00146066-0.0466909j -5.41436e-05-0.0708166j -0.00139376-0.0466852j -0.00015982+0.0422801j 0.0014783+0.0153775j 0.00509894+0.020122j -0.00796691-0.0361345j -0.00558171-0.0072358j 0.00259975+0.00164036j 
-0.00019607-0.00115553j 0.000499906-0.000364719j 0.0101508-0.0377833j -0.00122095+0.00706804j -0.00178731+0.00715745j 0.00206522+0.00241937j -0.00351164+0.0837524j 2.33428e-05-0.0190373j 0.00354543+0.0845679j -0.00212211+0.00185185j -0.00181729-0.0072025j 0.00119586+0.0069762j -0.0101874-0.0378227j 0.000479767+0.000303133j -0.000202193+0.00115857j 
0.000674631-0.00360284j 0.00218402+0.00291353j 0.00792004-0.0228771j 0.00270544-0.0072257j -0.00360423+0.0314436j 0.0049412-0.0625354j 0.000802818-0.01427j -7.50732e-05+0.0483819j 0.00159264+0.0454977j -4.53367e-05+0.00319272j 0.00969218+0.0589235j 0.00220068+0.0165188j 0.00351157+0.0193442j 0.000221616-0.00119497j -0.000916699-0.00158624j 
-0.00297353+0.00771291j 0.00307479-0.0219833j 0.0067293-0.0143854j 0.00476769-0.0267348j 0.00178532-0.0328292j -0.000261671-0.0518465j 0.000944234+0.0515001j -0.00186062-0.0641985j -0.00350003-0.00831882j 0.00581507+0.0262184j 0.00340692+0.0209037j -0.00549635-0.0352725j -0.00481055-0.00649768j 0.00421512+0.0164156j -0.00164797-0.00424319j 
0.000835521-0.00399712j -0.00408188+0.0206548j 0.00341695-0.011045j -0.00551437+0.0591263j 0.00279161-0.0255318j -0.000561206-0.0462695j -0.000220244+0.0846917j 0.00107922+0.0547411j -0.00317481-0.0170419j 0.00494398+0.0330812j -0.00103554-0.0157769j 0.00207617+0.0276377j -0.00561801-0.015337j -0.00285089-0.0174579j 0.00250762+0.0066431j 
0.00323983-0.00230792j -0.00172915+0.00366356j 0.00322563-0.0197096j 0.0007297-0.0141961j 0.0040865-0.0443311j 0.00140656-0.0190027j -0.0119735-0.127721j 0.00288602+0.0247987j -0.00499293-0.0227975j 0.00194171+0.0180281j 0.00328178+0.0106836j 0.00286482+0.00504839j 0.00110032+0.00315443j -0.0019768-0.000583151j 0.00069193-0.000650972j 
0.00573028-0.00770463j -0.0108715+0.0193745j 0.00738622-0.0612333j 0.00651474-0.0631539j 0.000948556+0.0225662j 0.00317971+0.139489j 0.00109318-0.0143445j 0.0036041+0.0291365j -0.00243079-0.016762j 0.00461233+0.0386913j -0.00201712+0.000354629j 0.00546924+0.0127162j -0.00492075-0.0237992j -0.00476657-0.00471485j 0.00189562+0.000693773j 
-0.00109898-0.00923387j 0.00173757-0.00444717j 0.00134943-0.0138719j -0.000252132+0.00917691j 0.0143829+0.194164j -0.00667189-0.0378561j -0.00164709-0.0179942j 0.00152778+0.00839349j 0.00572877+0.0182961j -0.00518386-0.00805068j 0.00299951+0.00940117j 0.00233168+0.00790263j 0.00614248+0.013219j 0.000110617-0.000724806j -0.000811949-0.000760178j 
-0.00527122+0.0260038j 0.0143652-0.0656251j 0.00247648+0.00318592j -0.010948-0.193631j 0.000236352+0.00239847j -0.000961112-0.0120423j -0.00206808-0.00909257j -0.00489085-0.0333462j 4.20933e-05-0.000770227j -0.00209016-0.00877986j 0.00201446+0.0080726j -0.00760317-0.0360559j 0.00106761+0.00339786j 0.00683644+0.0217753j -0.00334749-0.00626122j 
0.0167646-0.0281854j 0.0104797-0.0474554j -0.0177391-0.221584j 0.0033054+0.00447435j 6.15063e-05-0.00134853j 0.00766275+0.0226157j -0.00292669-0.0063199j 0.00253045-0.000291232j -0.000394609+0.0013j 0.00647756+0.0172754j 0.0015656+0.00679588j 0.00328521+0.000387701j -0.00401124-0.0094029j -0.00187487+0.00177433j 0.000125083-0.00142498j 
0.0168389-0.0581959j 0.0208158+0.263422j 0.00203701-0.000257257j 0.0086947+0.0267393j 0.000502641+0.00303134j 0.000998194+0.00415855j 0.000430584+0.000761849j 0.00488875+0.0134641j 0.000598929+0.00195325j 0.000432142+0.00243159j -0.000949456-0.00159248j 0.0064765+0.0158468j 0.000288503+0.000419136j -0.00511649-0.00924217j 0.00196756+0.00188712j 
