-0.00308045-0.0330692j -0.130799+0.00468199j 7.85783e-07+0.0907468j -0.150762+0.136857j 0.0571941+0.00862904j 0.142973+0.0247899j 0.0143075-0.272443j 0.191545+0.0456505j -0.0771587+0.417476j -0.00583398+0.093333j 0.0672056-0.0375265j -0.0448517+0.357157j 0.0853759-0.117532j 0.0432856+0.000739193j 0.0047551-0.114311j -0.0129189-0.0170657j -0.00402719+0.044868j 0.0262466-0.0880356j -0.0713478-0.00569048j 0.000353285-0.0633967j -0.0654856-0.0115905j -0.14228-0.0765823j 0.109414-0.0487702j 0.0301387-0.155053j -0.0889566+0.0211791j -0.0477862+0.297163j 
-0.0622975-0.0207778j -0.250647+0.146323j 0.0246022-0.0058046j -0.0829179+0.29619j 0.0857688+0.00439689j -0.0376744-0.269152j -0.107189-0.0511067j -0.0829506+0.0890995j -0.39856-0.236398j 0.0809795-0.0848161j 0.0613911-0.0139472j -0.377416-0.182964j 0.109718-0.088433j 0.0226527-0.036278j 0.0074986-0.00917915j -0.0556783-0.013645j 0.0698508+0.0278654j 0.0715252+0.0405455j -0.0268776+0.0696468j -0.0261618+0.0771257j 0.0391885+0.0764228j -0.00209017-0.088838j -0.0148537-0.0101797j 0.00734134+0.0240547j -0.0138538+0.059409j -0.113096+0.00712428j 
0.031413+0.0176231j 0.0699762+0.03666j 0.0240398-0.125708j 0.0554408+0.149083j -0.0445083+0.449649j -0.20035+0.0274954j -0.144208+0.0605929j 0.444784-0.0203584j -0.0116404-0.16337j 0.0319611+0.0221316j -0.0351141-0.020118j 0.101166-0.130369j -0.0558014+0.000114545j 0.0155681-0.0288419j -0.0588134-0.0178204j 0.0347772+0.0420295j -0.0088268+0.0255537j -0.0273169+0.0973463j -0.0140902-0.00255859j 0.0469244-0.000755362j 0.00555623+0.0105266j -0.0405095-0.0279829j 0.0301238-0.00261146j 0.0235928-0.0147448j 0.0131171+0.0122159j 0.0224387-0.0258974j 
-0.0719848+0.0229047j -0.257841+0.17599j -0.00949824-0.0527334j 0.213122+0.0813552j -0.204615+0.0171985j 0.627632+0.0737673j -0.202311+0.27047j -0.0149693+0.146401j 0.0931356-0.0480853j -0.328819-0.234798j 0.153818+0.0621313j -0.026823+0.00612109j 0.110609-0.044369j 0.00413595-0.0295779j -0.00200579+0.0537041j -0.0682902+0.0291836j -0.0635329-0.0116597j 0.00379577+0.0679844j 0.0328564+0.0526934j -0.00651358-0.0435166j 0.00344199-0.00236246j 0.00365457-0.0221953j 0.000537968-0.0064709j 0.0256103-0.00377314j -0.0495689+0.0103848j -0.0212598+0.012477j 
-0.0922591-0.0979547j -0.0690379+0.0540012j -0.0198427+0.104741j 0.129589+0.00286379j 0.431933+0.0584786j 0.249356-0.029039j 0.00969877+0.121598j -0.0106895-0.474514j -0.00940292+0.11392j -0.0179127+0.0523402j 0.103787+0.0513229j -0.029825+0.00163031j 0.0539845-0.0293707j 0.00819022-0.00177323j -0.0162002-0.0331552j 0.0362626+0.0207483j -0.0120767+0.0119987j -0.016891-0.0152004j -0.00180431-0.00614825j 0.0209053+0.0218356j -0.0104164+0.00184882j 0.0457136-0.0175314j -0.0207568+0.00948515j -0.0155932+0.000564324j -0.00790991+0.00450186j -0.00763385+0.00617044j 
-0.28548+0.0704283j 0.125962-0.0861733j 0.376694-0.14313j 0.0565994-0.228509j 0.020432+0.16594j -0.0976556+0.345665j 0.263911+0.223852j -0.0487978+0.139816j 0.0272564+0.0198005j -0.14719-0.0427361j 0.365715-0.0338671j -0.0214273+0.0747493j -0.0391069+0.0837824j 0.103799-0.0479562j 0.0115962+0.112228j -0.00780892+0.02364j 0.0178866-0.00872421j -0.00454035-0.00797055j 0.0171511+0.0403181j 0.000935815+0.00386865j -0.0550344+0.00751041j -0.0164394-0.0343168j 0.00399126-0.00793512j 0.0216202-0.00769196j -0.0390948-0.000459959j -0.0273951+0.0123751j 
0.0308405+0.333004j 0.0747703+0.113927j -0.0535171-0.4767j 0.216055+0.150794j 0.13869-0.17654j -0.130101+0.0845903j -0.145905+0.0410437j -0.0308452+0.01561j -0.0326596-0.103705j 0.0503911-0.202957j -0.0536799-0.340502j -0.032048-0.0452844j -0.0192841-0.122984j 0.00763011-0.104062j -0.0300354-0.058799j -0.0284277-0.0397646j -0.0202598-0.0173067j -0.00458741-0.0091669j -0.0162415-0.000707845j 0.00854905+0.0164197j 0.0183569-0.0094308j 0.00281914+0.0176702j -0.00927826-0.0333319j -0.00502732+0.00961076j 0.0393111+0.0138162j 0.0187412-0.0104865j 
0.0447569+0.000600442j 0.0820326-0.0482835j -0.0357349-0.0258346j 0.0640526-0.0986114j -0.0160138-0.0361452j -0.0859014-0.00432477j -0.00197142+0.138296j -0.107012-0.0327481j 0.0525955-0.246409j -0.0155511-0.0656974j -0.0330856+0.00961476j 0.00214801-0.145291j -0.0690146+0.00348236j 0.0413609-0.0605598j -0.0800173+0.00478874j -0.0497896-0.00685376j 0.00875863+0.101766j 0.0172941-0.0291579j -0.133772+0.0460545j -0.0101169-0.090484j -0.113972-0.0285941j -0.213501-0.187624j 0.204364-0.210527j 0.0234134-0.334524j -0.133142+0.0790698j -0.0190784+0.475567j 
0.0595279-0.0265948j 0.0147736-0.0460486j -0.0538442+0.0155882j -0.0176526-0.0441061j 0.0283235-0.0245885j -0.0173756+0.0503109j 0.0628261-0.0079678j 0.0333341-0.0288686j 0.134915+0.06077j -0.0196534+0.0879884j -0.0215185-0.0688795j 0.0686279+0.0543326j -0.149334-0.0217745j 0.0639681-0.110836j -0.154839+0.107645j -0.170384+0.00840893j 0.108713+0.0521189j 0.0665408+0.0654809j -0.146057+0.223457j -0.067725+0.213493j 0.129925+0.27183j 0.0502116-0.194203j 0.0827831-0.0242993j 0.206039+0.188955j 0.0383841+0.16091j -0.348129-0.106819j 
0.00111491-0.00605067j -0.023949-0.00640423j -0.0203842-0.0095334j -0.00866733-0.00500577j 0.00952688+0.0314972j -0.0534406-0.00352594j -0.0135173+0.0146284j 0.0507107+3.47802e-05j 0.0213801-0.0881373j -0.0483583-0.000788541j -0.00111409-0.0239528j 0.00715914-0.00928602j -0.0887973-0.00464008j 0.0792269-0.0459517j 0.0250924-0.097164j -0.153936+0.10648j 0.0182412-0.179164j 0.0616021-0.485876j -0.0112553+0.10207j -0.240357-0.0359869j -0.217049-0.0926603j 0.412409-0.0388301j -0.153736-0.0306408j -0.0770999-0.0362601j -0.178595-0.0833567j -0.130006+0.215804j 
0.0239274+0.0161489j -0.0260099+0.0530521j -0.0331916-0.0103791j -0.0080755+0.0395513j 0.0957763-0.0142654j -0.0271346-0.0145178j -0.0380259-0.0435244j -0.0072257-0.0799116j -0.00220518+0.0221777j 0.00822928+0.0287862j 0.010285-0.023984j 0.00872169+0.0061425j -0.0751764+0.0529776j 0.0598947-0.0166849j -0.0280855+0.151223j -0.177541+0.0539816j -0.0836949-0.076485j 0.0308755+0.109798j 0.122095+0.100269j -0.165999+0.00716981j -0.280189-0.140171j -0.126382+0.00285507j -0.154535+0.0445813j -0.00393587+0.000416778j -0.215002-0.14492j 0.021151-0.00599576j 
