0.00738723-0.0474821j -0.00381763+0.0866514j -0.00232136-0.246428j -0.00019341-0.0136332j 0.00595938+0.0912837j -0.00110997-0.00913048j -0.00658271-0.181822j -0.0093778-0.854478j 0.00902447-0.0990648j 0.012833+0.0117237j -0.0258868+0.122383j 0.0531878+0.0419504j -0.00812784-0.00641063j 0.0575303-0.0556741j 0.0143244-0.00156471j -0.0150326-0.00151606j 0.0353722+0.0806944j 0.0106378+0.018034j -0.106147+0.03568j -0.00899892-0.0516629j -0.114683-0.0840868j -0.03816+0.306848j 
0.0188754-0.0110508j 0.00265468-0.0120531j -0.0181932+0.0315565j -0.00153217+0.085603j 0.000359696+0.0194433j -0.00168521+0.000824906j 0.00333163+0.00382399j 0.0517678+0.0314907j -0.00434517+0.0787248j -0.0753039-0.0368253j -0.0795911+0.138612j 0.16317+0.0376791j 0.0081799-0.0197817j 0.0555704-0.0435524j 0.0358179+0.0130416j 0.0108715-0.00806378j 0.0410286+0.0484771j 0.00701757-0.00275673j -0.187653+0.0345948j -0.0351456-0.172068j -0.0586311-0.027918j -0.0128984-0.0419331j 
-0.0734395+0.0689454j -0.00825886-0.0116719j -0.000676357+0.00831591j 0.00816881-0.194234j -0.00881376-0.0981265j -0.00411223+4.94637e-05j 0.00900291+0.0324246j 0.0149151+0.0295424j 0.139004-0.561715j 0.577357+0.142746j 0.0999229-0.07863j -0.135769-0.0282062j 0.00808409-0.0134871j -0.00228531+0.00927214j -0.00312747-0.000279105j -0.0105955+0.00418134j 0.00251956+0.00289626j 0.00626673+0.00552062j -0.0661507+0.00493731j -0.00553079-0.0675259j -0.0636819-0.00462716j -0.0095999-0.0567418j 
0.00584737+0.00203286j -0.00705461-0.00780146j 0.0132367+0.0280089j 0.00895323+0.0134855j 0.017563+0.000431089j 0.0012975-0.00010462j -0.0179757+0.0103094j -0.0247525+0.0689581j -0.00957464+0.00540446j -0.000144099-0.00360747j 0.00654793+0.0051356j 0.0140043-0.00503016j -0.00130877-0.00019871j 0.00515038-0.0108707j 0.00402604-0.00086261j -0.00309973+0.00463729j 0.0158826+0.00406571j 0.00626854+0.00486649j -0.0323505+0.0157986j -0.0172525-0.0406924j -0.0116071+0.131221j -0.13825-0.0164336j 
0.0105382-0.012387j -0.0134594+0.0155634j 0.0102318+0.0154396j 0.00385744-0.00537646j 0.0108945+0.0299693j -0.00507372+0.0014895j -0.0302037-0.031336j 0.0177288-0.0567918j -0.0318635+0.0754854j -0.097276-0.00847449j 0.0296589-0.0873059j -0.110536-0.0255739j -0.00287218+0.0111571j -0.0737275+0.055312j -0.0241737-0.00110964j -0.0140738+0.00773412j -0.069383-0.0827938j -0.00330227-0.00163565j 0.0298248+0.0106097j 0.0172604+0.026888j -0.0910466+0.0221296j -0.00551977-0.0898084j 
0.000463469+0.0117183j 0.00186759-0.0142684j -0.0348736-0.00393624j 0.0200666-0.0116377j 0.0149399-0.0438788j 0.0033891+0.00109976j -0.00411057+0.0572631j 0.0128426+0.0138663j -0.00732016-0.0118788j 0.0261698-0.0054464j 0.00946333+0.02529j 0.0293298-0.00626994j -0.00207483+0.00360325j 0.00589873-0.0247992j 0.000419747-0.00447678j -0.00112939-0.0036241j 0.0237797+0.0104417j 0.000698229-0.00291225j 0.0185543+0.0988106j -0.107814+0.000401124j 0.0333475+0.0247639j -0.0229165+0.0285796j 
-0.0093882+0.0188151j 0.0133272-0.0222724j -0.0118437+0.00696669j -0.013117+0.00233578j -0.0186096+0.00325941j -0.0453722+0.0104351j 0.021614-0.00585847j -0.0487509+0.0380209j -0.000742291+0.0186776j -0.0186834-0.00492847j 0.00062902-0.00390975j 0.00169045-0.00136236j -0.0127811+0.00591487j -0.00445244+0.0130599j -0.0101101-0.00805241j 0.0197829-0.0406338j -0.00100008-0.00432634j -0.0344363-0.0234761j -0.0332079+0.0164231j -0.0321199-0.0309305j 0.0363143-0.0152714j 0.0153241+0.0312846j 
0.00579346+0.00650712j 0.0148959-0.0316942j 0.0193198-0.032547j 0.00262159-0.00137007j -0.00870366+0.0065645j 0.0503745-0.0401478j -0.00865263-0.00440718j 0.000413705-0.033143j -0.0104251+0.0236339j -0.0324213-0.00704837j 0.00769514-0.0262924j -0.0307684-0.0118441j 0.00469487+0.0304269j -0.0050098-0.00998328j -0.0347056+0.00176758j 0.0186995-0.0110045j 0.0106284-0.00834679j -0.00756593-0.0223246j -0.0292467+0.00669118j -0.00280699-0.0326106j -0.0176517+0.004593j -0.00661352-0.0138413j 
0.0204056+0.0114762j -0.0252158+0.000985734j -0.00650328+0.00375417j 0.000652752-0.00253633j 0.00125184-0.0165836j -0.0251401-0.0395291j 0.0151001+0.0155434j -0.0244576-0.0446995j 0.00171152+0.00109193j 0.00230062-0.00142327j -0.00162101+0.0104408j 0.0120936-0.00013266j 0.0118094+0.0121484j -0.00506774-0.0208665j -0.00846816+0.00516005j 0.0365243+0.060013j 0.0163377-0.000752032j 0.0670472-0.031418j -0.0155812-0.0209442j 0.0158927-0.0263916j 0.00799812+0.00720735j -0.0122799+0.011292j 
0.00103649-0.00231556j -0.000927887+0.011478j 0.00394891+0.0165385j 0.0119494-0.0108212j 0.0138058-0.00711695j -0.0160812+0.00943868j 0.0122605-0.0221137j 0.0111161-0.0186276j -0.0158921+0.0169461j -0.0265713-0.00734363j 0.020067-0.0240322j -0.0393432-0.0231543j 7.35032e-05-0.00674825j -0.0285815-0.0189671j 0.00529711-0.0020225j -0.015194+0.00209217j 0.0104276-0.0299554j 0.00286241+0.00829791j -0.00812938+0.0273044j -0.0153589-0.0137519j -0.0512755+0.0143331j -0.0133126-0.0452075j 
-0.00928972+0.00957995j 0.0372119+0.00937251j 0.0110596+0.00362989j 0.00915045-0.0235843j -0.00829385-0.0449219j -0.012247-0.0343755j 0.00595244+0.0257687j -0.00574669+0.0113176j 0.00402032-0.0370476j 0.0522162-0.00133603j 0.00632928+0.0476391j 0.0487692+0.000428551j 0.00967881+0.0190354j -0.0198679-0.0308556j -0.020488+0.0057736j -0.0152013-0.00841082j 0.0360429-0.0101054j -0.00337569+0.0112018j 0.0537659+0.0137786j -0.0268864+0.0422874j 0.0476285+0.00616941j -0.000345236+0.0451517j 
