0.197696-0.297949j -0.374668-0.327732j -0.254118+0.232916j -0.0205586-0.072265j -0.0712352+0.0345236j -0.0470576+0.110089j -0.0156594+0.00384999j 0.0486338-0.0143299j -0.0212692-0.0119169j 0.00276646-0.0256604j 0.000902314-0.00880239j 0.0184112-0.00587098j 0.0300741-0.0214145j -0.023795+0.0251074j 0.056774-0.010578j -0.0178239-0.031058j 0.015497-0.00347921j -0.0120089-0.00392795j 0.00974944+0.0044425j -0.00386673-0.00189201j 0.0197586-0.0566824j 0.000203625-0.00336973j 
-0.276434-0.184796j -0.319941+0.386432j 0.251659+0.2707j -0.113033-0.0157319j 0.00111728+0.0604448j -0.0479417-0.0672486j 0.0136849+0.00900112j 0.0191476-0.0215814j -0.037179-0.0103606j -0.0164729-0.0433724j -0.0126389+0.00264184j -0.021542-0.000449106j -0.000830867+0.0190179j 0.0125363+0.0315556j -0.00834273+0.0175248j 0.0531082+0.0124571j -0.00525142-0.0201388j 0.0260418+0.0206505j -0.00798446+0.0153098j -0.00229729+0.00926332j -0.00875553-0.0314127j 0.00627097+0.00484806j 
-0.0358785-0.0208085j -0.100921-0.00778825j -0.0318426+0.125594j 0.164013-0.0748912j 0.11622-0.31531j 0.0881539-0.415524j 0.231613+0.168676j 0.0794729+0.00313613j 0.0529687-0.0913867j -0.0197441+0.0229705j 0.0766157+0.0588536j -0.0105585-0.0224575j 0.0771209+0.0499675j 0.0490547-0.0512853j -0.024622-0.0453708j -0.00164721+0.096358j 0.0546561-0.068779j 0.0347406-0.145017j 0.00139251+0.0066179j -0.00777616+0.0203954j 0.00242075+0.0260926j -0.0563168+0.114915j 
0.100022-0.0280706j -0.027117-0.025504j 0.0455043+2.49205e-05j -0.250871+0.173869j 0.268977+0.176908j -0.634446-0.0827023j -0.192122+0.353032j 0.34912+0.214181j -0.0772414+0.0987971j 0.0348598-0.0209128j -0.0952157+0.046203j 0.0505209+0.00354551j 0.0405954+0.0442494j 0.0350828+0.0440245j -0.0321867-0.027135j 0.0105667+0.0245253j 0.027979+0.0432718j 0.00550939-0.0212927j 0.00511029+0.00784818j 0.0163026-0.00485612j 0.0127714+0.000370964j 0.0568428-0.024016j 
0.00831379-0.0872066j -0.0439447+0.00739197j 0.00523966-0.023219j -0.103515+0.0558756j -0.157963+0.307513j 0.0214369+0.478988j -0.247455-0.238691j -0.166551+0.00623577j -0.120805+0.0512774j 0.0255006-0.0124394j 0.0276616-0.138364j -0.00981196+0.0434968j 0.0386001+0.00810095j -0.00904031-0.0131043j -0.0130257-0.00162338j -0.043155+0.0211046j -0.00896003-0.0136871j 0.0649382-0.0269763j -0.0102523+0.00212632j -0.0122766+0.00559417j -0.00332936-0.00400941j -0.0282673+0.00655471j 
-0.0201511+0.00984772j -0.0188196+0.00906877j 0.00176588+0.0276542j 0.028128-0.0405873j -0.0322793-0.0757095j 0.0521959-0.113728j 0.13862+0.0221496j 0.0340306-0.1196j 0.0652014-0.00870334j -0.0369954-0.0119437j -0.124024+0.100981j 0.075268-0.0468382j -0.0923543-0.00693085j -0.0630099+0.120978j 0.0877596+0.0388802j -0.0197576-0.0814871j -0.0981666+0.212268j -0.0571253+0.38125j 0.0111907-0.035837j -0.0244477-0.143229j -0.0234439+0.0212689j 0.0141716-0.285011j 
0.00911917-0.0217034j 0.0166594-0.0322208j -0.00548247+0.011224j 0.0151424-0.0146786j -0.00317018-0.0169258j 0.00915079-0.0251847j 0.0380397-0.0019473j -0.0143917-0.0293391j 0.0279077-0.00818971j 0.061235+0.0302639j -0.0879401+0.070694j -0.195291+0.0888724j -0.0613807-0.012168j -0.0993743+0.239383j -0.120442+0.00165764j 0.0475958-0.508308j 0.0684384-0.0877225j 0.0504096-0.153471j 0.0645157+0.215163j -0.00247737-0.000772105j -0.00686432-0.267674j -0.0268578-0.0185814j 
-0.00607822+0.00113617j 0.0126763-0.0194356j 0.0124461-0.0177685j -0.0825199+0.00440865j -0.132802+0.0432063j 0.0687755+0.0403606j -0.0128798-0.117613j 0.00815455-0.0124671j 0.12577-0.0227509j -0.125943+0.0137399j -0.15138+0.171796j 0.135299-0.16374j -0.0445083+0.0935142j 0.0240236+0.0499103j 0.0221258-0.0943617j 0.0623857+0.0265794j 0.145491+0.138196j -0.509194-0.193135j 0.041966+0.0582102j -0.109603+0.165755j -0.130734-0.052926j 0.385829+0.183547j 
0.0445913-0.0268228j 0.0187164-0.00337187j -0.0430559+0.0177881j -0.0253145-0.0111582j -0.0712541+0.025104j 0.0423263+0.0114858j 0.0011053-0.0538327j -0.0102232-0.0289116j 0.101536-0.00997419j 0.104723-0.0461899j -0.170379+0.16038j -0.160903+0.202402j 0.0292435+0.072938j 0.148211+0.17471j 0.0776489+0.171514j 0.483271+0.119661j -0.134644-0.0868566j 0.0432677+0.0457436j 0.15426-0.137911j 0.00082237+0.0298361j 0.316182+0.164885j 0.129451+0.015602j 
-0.0180775-0.0159851j 0.0036542+0.0472694j 0.0175868+0.0134852j 0.0087137+0.038417j 0.00673207+0.022489j 0.00141385+0.0155113j -0.037067-0.0193617j -0.0134923+0.0192615j 0.001662-0.0237956j 0.0986485+0.0296209j -0.0496442+0.0620412j -0.114292+0.105522j 0.0534411+0.0605558j 0.0769117+0.0919122j -0.0454258-0.05843j 0.244943+0.0237635j -0.0103971-0.04909j 0.118906-0.118732j 0.0418079-0.0459278j -0.0432841-0.00211974j 0.180336+0.0347297j -0.0107903+0.0662156j 
-0.010725+0.0292391j -0.0312304+0.0280222j -0.0102413-0.00924317j 0.103917-0.0265144j -0.0552855+0.00516911j 0.0224658-0.0252724j -0.0353851-0.00887388j 0.016486-0.0243595j -0.0767537+0.0424168j 0.301324-0.123546j -0.067808-0.00120042j 0.202421+0.0913425j -0.00488659-0.0190925j 0.0923724-0.0295036j -0.547588+0.0222138j 0.00519244+0.0853696j -0.152688+0.300511j -0.150346+0.127275j -0.170051-0.191763j -0.266762-0.202348j 0.0934114-0.000242283j -0.0579255-0.0103569j 
-0.0301654+0.0113592j 0.0155566+0.0431543j 0.0399571+0.00330254j -0.0443036-0.0314658j -0.0199057-0.000445179j 0.0102106-0.00723626j 0.0291188-0.000954301j 0.00642388-0.0215839j 0.0699937+0.0329212j -0.0146881+0.0579896j -0.0409381+0.0242752j -0.0687589-0.0313709j -0.0718942-0.118557j -0.0645028+0.01911j 0.0631355-0.0437938j 0.0902019-0.153402j 0.0155713-0.0315795j -0.0132315+0.00550599j -0.00318391+0.0262974j 0.0603867+0.0403415j 0.0354702-0.0492171j 0.0598655-0.0336632j 
-0.0282572+0.00595811j 0.0258278-0.0236493j 0.0204781+0.000437559j 0.136707-0.0584369j -0.0447346+0.01252j 0.0023262-0.0218486j -0.0444311+0.0210852j 0.0295443-0.030238j -0.282055+0.116659j -0.172259+0.0904355j -0.194888-0.0807267j 0.0315638-0.0706926j 0.538537-0.0876708j -0.144464+0.278723j 0.046394-0.0446916j 0.09426-0.14374j 0.00090284+0.104078j -0.0272418+0.0848396j 0.227766+0.202197j -0.205765-0.162956j -0.132909-0.0180559j -0.090053+0.00241255j 
0.0041051+0.00194576j -0.0168587-0.0324527j 0.00306707-0.0177186j -0.032798+0.0849389j 0.00951594+0.0135788j 0.00880322+0.0147702j 0.00518162-0.0312674j -0.00454715-0.0201732j 0.0466918-0.0198928j -0.0448762+0.233619j -0.00853314+0.0525704j 0.075063-0.230543j -0.0840131-0.0355839j -0.0524304-0.0613372j 0.0140219-0.571455j 0.099666+0.0299191j 0.140562+0.250014j 0.0639022-0.0412201j -0.178344-0.0778418j -0.10558-0.0331551j 0.0430152-0.0288984j 0.00399701+0.0170799j 
-0.000733691+0.0301627j -0.0144228-0.00252949j 0.00119844+0.00172579j 0.0073596-0.168462j -0.035832-0.0027759j 0.00191889-0.0142608j -0.0105307+0.0372437j -0.00209862+0.0345747j -0.0397142+0.191162j 0.0140544+0.0728926j 0.073483-0.214856j -0.00529986-0.0923975j -0.00917681-0.528593j -0.155367-0.275913j -0.0442879+0.0397212j 0.0789734-0.0618557j -0.0863848-0.116483j -0.0649937+0.0469019j -0.13449-0.0452117j 0.158265+0.0378611j 0.037187-0.0260207j 0.0165845-0.0449436j 
0.00407349-0.00655537j 0.00223367-0.00611594j -0.000770765+0.00421348j 0.0228013-0.00852345j 0.0314663-0.0127839j -0.00225369+0.0164966j -0.0548643+0.0196417j 0.00198515+0.0755732j -0.0350909+0.000107174j 0.025981+0.00823934j 0.0642673-0.043193j -0.0461135+0.0231485j 0.057045-0.0190199j 0.0225783-0.0545629j -0.0634016-0.0059059j 0.00550722+0.0214666j 0.0447586-0.11549j 0.0477902-0.227479j -0.00226893+0.0359404j 0.0882507+0.0784929j 0.00384895+0.0076079j 0.0146615-0.0357875j 
-0.00385299+0.0122335j -0.0040494+0.0148027j -0.0180411-0.00230283j 0.00674927+0.0143149j 0.00956881+0.013861j -0.0054612+0.00604822j -0.0223043-0.0213068j -0.0232945+0.0487969j -0.02723-1.36014e-05j -0.0134787-0.000166998j 0.0571152-0.0320586j 0.0114414-0.00712318j 0.0451295+0.0112737j 0.0357837-0.0595411j 0.00272089-0.0181676j -0.0143905+0.126066j 0.0378607-0.0344382j -0.0162674-0.0920257j -0.0466221-0.0162839j 0.0299264+0.0579255j 0.00885809-0.0463082j -0.0270971-0.0182245j 
-0.0042192+0.00483094j -0.000915655+0.0106518j -0.00825859+0.0068824j 0.0521805-0.00449853j 0.0279765-0.0161041j 0.00398683-0.00309987j 0.0120026-0.0116351j -0.00684757-0.00190811j -0.0351749-0.00853803j 0.020162+0.00130735j -0.00190229-0.0250212j 0.0232714+0.0204692j 0.0457377-0.00941967j -0.0242922-0.0114771j -0.0406517+0.0108964j -0.0293028+0.0266301j -0.101135-0.016638j 0.123476+0.0368231j -0.0164337-0.027702j -0.00469934-0.132379j -0.00432594-0.0142232j 0.00366716+0.00281204j 
0.00751344+0.00931386j 0.0059827+0.0156794j -0.0254367+0.0131239j -0.00403369+0.000495679j -0.00739101-0.00675807j 0.00168657-0.00325231j 0.0087828+0.0254836j 0.00273294-0.0196359j 0.00491935-0.000770847j 0.0183864+0.00113472j -0.027873+0.0178239j -0.034579+0.0153932j -0.0158118-0.010386j -0.0373588+0.0406243j -0.0203249+0.00617183j -0.00268641-0.101309j -0.00840014-0.00252487j 0.0256867+0.00456641j 0.031569+0.0419924j -0.0102154-0.0281753j 0.0132286+0.0253533j 0.0151105-0.000138384j 
0.0195419-0.0049054j 0.0119895+0.00886092j 0.001097+0.0193222j -0.0154574-0.0147706j 0.00244022-0.00671873j 0.00070532+0.0012588j -0.00293489-0.00508804j 0.037673-0.00456644j 0.0421782-0.00427893j 0.000261803+0.00605681j -0.00750865+0.0298796j 0.0064804-0.0124066j -0.0495524+0.0116337j 0.0679659+0.00827647j 0.0262658+0.00668225j 0.0679842-0.00148703j 0.026915+0.00900702j -0.0787833+0.00636666j 0.00302517-0.058516j -0.000269881+0.0683979j -0.0157225-0.00483405j 0.0107801+0.0360754j 
0.0061273+0.00366581j -0.0113054-0.00260006j 0.00607893-0.0131781j 0.00885274-0.00544158j 0.0112046+0.00299151j -0.000807466+0.00558875j -0.0109807+0.036601j 0.0303232-0.00191613j -0.0160975-0.00768214j 0.009065+0.00742047j 0.0181454+0.0137877j -0.0258871-0.0162169j -0.00880404-0.0095865j -0.0236079+0.000176931j 0.026409+0.0130513j -0.0130749-0.00541958j -0.00398471+0.00622253j -0.0119775+0.0386441j -0.0103062+0.00671371j -0.0707553-0.0299685j 0.0109421-0.0201955j -0.0114218+0.0512738j 
-0.00149341+0.00251239j -0.0035494-0.00302163j 0.00458184-0.00837779j 0.0229955+0.0100427j -0.0146202+0.0279385j 0.00676011+0.0108741j 0.0291502-0.00813023j 0.0123863+0.00727145j 0.00659031-0.0116622j -0.0154657+0.0110472j -0.0498579+0.00774203j 0.0756943-0.013736j -0.00858246+0.00855699j -0.00287902+0.0141267j -0.0130351-0.0149393j -0.00590577+0.00109845j 0.0691307+0.0437363j -0.00667738+0.0362714j 0.0292539+0.0163258j 0.0395005+0.0144958j 0.00595794-0.00788126j -0.00157104+0.0181994j 
-0.0192499+0.0173022j 0.000406627-0.00613351j -0.0187607+0.00840003j -0.0154798-0.00791332j -0.00261319-0.00546188j 0.00214988-0.00688322j -0.00471769-0.0157178j 0.00153048-0.0151932j 0.0149238+0.000520554j 0.0134379-0.00752866j -0.00734652+0.0229996j 0.000142917+0.0061896j -0.0379923+0.00195899j 0.0471746+0.00648129j 0.00150072+0.0055977j 0.0574357-0.0237417j -0.00376651+0.00052919j -0.0214124+0.0105093j 0.0112518-0.0408603j -0.0100721+0.0191369j -0.00902133+0.0212446j 0.00197158+0.0382655j 
0.0105275+0.0111783j -0.0218841+0.00601981j 0.00384952-0.0153574j 0.00541944-0.00182831j 0.00463461-0.0321826j -0.000853777+0.00201083j -0.00368516-0.00354347j 0.0166263-0.00276808j 0.0311509-0.0147613j 0.0211619+0.0180197j -0.0188361+0.0112696j -0.01496+0.00502764j -0.00580967+0.00829754j 0.0457849+0.00369057j -0.00148771+0.00932396j 0.0441118+0.00319566j 0.00184349-0.00544044j -0.0107931-0.0214312j -0.0222009-0.0427303j 0.0305083+0.0284887j 0.00516538+0.00049274j 0.00901586-0.0170352j 
-0.0102143+0.0172538j 0.00192488-0.0156702j 0.0113255+0.0251676j 0.0336818+0.0212509j -0.000909293-0.0287561j -0.0167012+0.00358276j 0.013584-0.0159326j -0.0173111+0.00732724j -0.00211379-0.0188493j -0.00036617+0.0366435j 0.0307342+0.0111082j -0.034183-0.00958045j -0.00369325-0.0069087j -0.00999376-0.00416295j 0.0156157+0.013515j -0.00680428-0.00549444j 0.0226295-0.0010749j -0.0210922-0.00452225j 0.00862435+0.0205756j -0.0293393+0.0112382j 0.00229965+0.00573755j -0.00921074+0.014335j 
-0.00378518-0.00729196j 0.0103831-0.00107823j -0.0107184+0.00422571j 0.0039635+0.00849754j -0.00885502+0.00445825j 0.00168158+0.00563528j -0.0053534-0.0115236j 0.00344049-0.0107724j -0.000343303-0.016872j 0.0195668+0.00251885j -0.0730038+0.0246791j 0.0247118-0.00472132j -0.000282964+0.0116464j 0.0480203+0.0227135j -0.017012-0.00392256j 0.0220713-0.0141304j 0.0373108+0.0205397j 0.00299713+0.0128247j -0.0115466-0.0221493j 0.0342478+0.000902281j 0.00715887+0.00485438j -0.00282652+0.0173504j 
-0.00479525+0.0266851j -0.00316403-0.0172397j 0.00795766+0.024809j -0.0153129-0.00852677j 0.0156452+0.00865158j 0.00772537-5.18962e-05j -0.00160579+0.0406667j 0.039191-0.00136253j 0.00165312+0.00836989j 0.00978458-0.013671j -0.0311189-0.0113292j 0.0174107-0.00800539j 0.0214408+0.00640276j -0.0143822+0.00129826j -0.00914918-0.00307577j -0.0234199+0.0206687j 0.00164213+0.00186042j 0.0140318-0.00381092j -0.0319138+0.00247852j 0.0253444-0.0119142j 0.00562142-0.0321771j 0.0102681-0.0273538j 
-0.0149871-0.0181154j 0.0150018+0.0037107j -0.0232719+7.51356e-05j 0.00790555+0.0123656j 0.0097697-0.0126587j 0.000407555+0.00240624j 0.00612409+0.0209468j 0.0163633+0.00293044j 0.000957626-0.0415692j -0.00501154+0.0242413j 0.0325975-0.00147321j -0.0272597-0.00627441j 0.00326609-0.00960529j -0.000914897-0.00595178j 0.0216911+0.00601492j -0.00467138+0.0163927j 0.0120119-0.00548257j -0.0174492-0.00884255j -0.0121857+0.00489002j -0.00455813+0.0202398j 0.00242597-0.0165864j -0.00378671-0.00820866j 
-0.0118735+0.0128109j -0.0210318+0.00266744j -0.0139916-0.0151592j 0.0116997-0.00282471j 0.0116976-0.00418072j -0.00212115-0.00894247j -0.0121668-0.0170723j -0.00339875-0.0108045j -0.025239-0.00879486j 0.0562445+0.000628752j -0.024944+0.00614103j 0.0106977-0.0232452j 0.0116492-0.00280903j 0.00432691+0.00171374j -0.017111+0.0122146j 0.00642561-0.00405544j 0.0322915+0.00490356j 0.0138048-0.00746447j -0.0199494-0.0120252j -0.00463078-0.0225204j 0.00765973+0.0025829j -0.0123587+0.000785393j 
-0.00659061+0.00718929j 0.000545938+0.00277493j -0.00952626+0.00187228j 0.0113812-0.0353151j 0.0292842-0.010363j 0.00631857-0.00629781j 0.0165363-0.0228233j 0.0213962+0.00383106j 0.0231928+0.0135252j 0.0274962+0.0123083j 0.0783715-0.0355481j 0.0184408-0.0187136j -0.0269582-0.0152295j -0.0620908-0.0166201j -0.00908729+0.00728623j 0.0283522+0.00496859j -0.00767649-0.0101601j -0.000884914-0.0114011j 0.037686-0.0145545j -0.0309663+0.00761215j 0.00141899-0.00558165j 0.00647455-0.0124073j 
-0.00997454-0.00386741j 0.0108644+0.00229486j -0.00568783+0.0027941j 0.0267154-0.0392571j -0.0264647-0.030521j -0.00954786+0.00777113j 0.00840314-4.44273e-05j 0.00698833+0.00837493j 0.0131801+0.0603575j 0.00962368+0.020243j -0.0686807+0.012584j -0.00618911-0.00513367j 0.0377067+0.010765j -0.0120345+0.00486202j -0.00403777+0.00504248j -0.0257618+0.00240548j 0.00784835-0.000800181j 0.0115026+0.000603421j -0.0208449+0.0195919j 0.0170048-0.0213692j 0.00610284-0.0097205j 0.00994012-0.0084023j 
-0.00216234-0.0159563j 0.0147602-0.00707582j 0.0144633+0.00420385j 0.0172213-0.00162185j 0.0171724+0.00292772j 0.00200641-0.0120089j -0.0248768-0.0152386j -0.0152934-0.0135237j -0.0710794-0.00995491j 0.0450312-0.0179428j -0.0104516+0.0109808j 0.00651121-0.0468574j 0.0256345-0.0101051j -0.00239933+0.00656208j 0.00832596+0.0153249j -0.0095431-0.00124095j 0.0490818-0.0072648j 0.00847852-0.0135485j -0.00761134+0.00987078j -0.0231714-0.0298509j -0.00803395+0.00335606j -0.0180229-0.00474479j 
-0.0258753-0.0139026j 0.000439523-0.0237297j 0.00306963-0.0142183j -0.0158018+0.00960365j 0.00295715+0.0169555j 0.00472267+0.00020479j 0.00666105-0.00521213j 0.00454674-0.000929987j 0.0235217-0.00634557j -0.00678838+0.0654688j 0.000865211-0.0086429j -0.0114017+0.00243316j 0.000471495+0.00355246j -0.00366402-0.00334863j -0.0196783-0.0372046j 0.0127317+0.00157786j -0.00706645+0.0250367j 0.0160337+0.00092471j -0.0109666-0.0136203j -0.00297969-0.00446982j 0.00799002-0.00277455j -0.00353424+0.00289195j 
