1.00999+0.00245191j 0.0907621-0.0685671j -0.0569343-0.0768217j -0.019571+0.000361239j 0.0444186+0.01268j 0.0107152-0.0499252j -0.00363103+0.0531209j 0.0482159-0.00526881j 0.0279804-0.00155782j 0.00378537+0.00495009j -0.00672032-0.0185505j -0.0128072+0.00398963j -0.00108042-0.0068234j 0.00874488+0.0170539j 0.0371749-0.021302j 0.0178746+0.0266017j 0.00127304+0.000377717j -0.00828054+0.0275397j 0.0354659+0.0157536j -0.00371249-0.00270973j -0.015333+0.0250021j -0.0116936-0.00382481j 0.00625908-0.0145055j 0.000872818-0.00204283j 
0.00250017-0.0115098j 0.490433+0.480355j -0.46869+0.515791j -0.170779-0.012788j -0.0901216-0.0358322j 0.029211+0.0135278j -0.0072237+0.014056j -0.0358818-0.0188708j 0.0972524+0.0119239j 0.0413448+0.0137266j 0.00657188-0.0321114j -0.0334434+0.0153055j 0.0128305+0.0196811j -0.00973621-0.0237144j 0.00289173-0.00773381j -0.0232673-0.0149571j -0.000376047-0.00355023j 0.0250649-0.000501032j -0.00153374+0.0141507j -0.00815953+0.0256706j 0.0206035-0.0242975j -0.0151203-0.0078851j 0.0352229-0.0342089j 0.0208325-0.018071j 
0.0135572+0.03863j 0.100169-0.00167643j -0.0190282+0.101438j 0.0975275-0.144638j 0.162838-0.235847j -0.0732092-0.0707049j -0.360747-0.283536j 0.0702595+0.0245249j 0.215218-0.24298j 0.0281979+0.0450911j 0.0107617+0.0862982j 0.039985-0.0230031j -0.013263+0.0377601j -0.0290068+0.0941172j 0.0648736-0.0299297j 0.00352564+0.0201717j 0.0443007-0.0796647j 0.0728652-0.00422858j -0.0474411-0.0273991j 0.0586364-0.100986j 0.0126557-0.00460574j 0.0066149+0.00662482j 0.0129539+0.00662142j 0.0850364-0.0275215j 
0.0672966+0.0114841j -0.0455213-0.0191245j 0.0311361-0.0502732j -0.0851016+0.210951j 0.236244-0.0438032j 0.304644+0.253065j 0.119274-0.314981j 0.217302-0.126805j 0.1274+0.138082j -0.0373421-0.0623695j -0.0155723-0.0391567j -0.0630426+0.0308579j 0.052116-0.106883j -0.0206477-0.0344303j -0.0291656+0.00435739j -0.0278749-0.00652387j -0.0262748+0.00809499j -0.0110569+0.0171883j 0.00444451-0.0297326j -0.0139078-0.0533819j 0.00640507-0.00892565j -0.0334366+0.00387882j 0.0362248+0.00188029j -0.0321076+0.0177703j 
-0.0110928+0.0418527j -0.0820844+0.0411754j -0.0253964-0.0675392j -0.126451+0.0819358j -0.150581-0.248548j 0.210772+0.141777j -0.283436+0.243987j 0.105866-0.243291j -0.22218-0.175331j 0.0346578-0.0366066j 0.110015-0.00484223j -0.0213362+0.019776j -0.00939675-0.104644j 0.0791603+0.0114755j -0.024799-0.0365055j -0.00918632-0.0079081j 0.0269791+0.0766483j 0.0211487-0.0388889j -0.010093+0.0503897j 0.0336912+0.0745736j 0.0116109-0.00233819j 0.0236536+0.00445144j 0.0191604-0.0334405j 0.0129043-0.0166099j 
0.0260588-0.0425426j 0.0094911+0.0605829j -0.0606482+0.0228791j -0.229265-0.164031j 0.0879176+0.0453683j -0.287092+0.394848j 0.0441425+0.0481956j 0.263797+0.218437j -0.0870122-0.0646378j 0.166232+0.033499j 0.0443484+0.047377j -0.00208219-0.0691854j -0.0724985-0.0755714j -0.0320992-0.0089287j 0.0313647-0.0395336j -0.0127388-0.0359676j 0.0215886+0.0424254j 0.0206249-0.00626205j 0.0106491+0.0123009j -0.00488174+0.0136928j -0.0206733-0.00633185j 0.0263232-0.0119282j -0.0258974+0.0109377j 0.0171122-0.0249017j 
0.011119+0.0101258j 0.0195054-0.000275263j 0.00820845-0.0125187j -0.0510758-0.00250494j -0.0328703-0.0297685j -0.0468731+0.00741531j -0.123191-0.014971j 0.0179265+0.0242685j 0.0630094-0.160955j -0.0614277+0.027074j -0.0880696+0.00670127j -0.0787179+0.0860041j 0.02568-0.0293004j -0.110627-0.0284243j -0.0676255+0.120979j 0.0133053-0.0459243j -0.0150497+0.0898085j -0.127827+0.229799j 0.0381054-0.0196989j -0.181543+0.313435j -0.00193118+0.0162012j 0.164612+0.184184j 0.0230769+0.0306364j 0.0172438+0.0674722j 
-0.0423553-0.00027142j -0.00257536-0.00520387j -0.00820645+0.0278539j -0.000927098-0.017116j 0.0617695-0.021921j -0.0982435+0.0107627j -0.0586959-0.0170641j 0.00945237+0.098817j -0.0124396-0.0736021j -0.0479072+0.0355021j -0.0156356-0.0195078j -0.0521402+0.116059j -0.0674182-0.094295j 0.206402-0.095216j -0.0875258+0.18041j -0.00358079-0.041566j -0.0758205+0.337442j 0.09155-0.132512j 0.200663+0.240116j 0.240406-0.0537612j 0.0418619+0.0175313j -0.0691693+0.0919786j -0.0365473+0.000370063j 0.164932+0.0825931j 
0.0148201+0.00195931j 0.0164127-0.0383128j -0.0362002+0.00206411j 0.0797349+9.40707e-05j 0.0749938+0.0204212j 0.0130525-0.00701409j -0.0137863-0.0261466j 0.0112933-0.0216555j -0.0457379-0.0275153j 0.0752749-0.0554906j 0.128635-0.08183j 0.0540196-0.100061j -0.0526724+0.0857899j 0.118522-0.105138j -0.0259062-0.128555j 0.0133002+0.0407834j 0.104149-0.111343j -0.274851-0.149096j 0.106717-0.00188778j 0.46587+0.342154j 0.0284911+0.0305796j -0.196986+0.295881j 0.0679376+0.166209j 0.311433+0.227875j 
0.0323011+0.00200879j -0.0181329-0.000706159j -0.00484449+0.025101j -0.0144802-0.025578j 0.041429-0.0635949j -0.000479227-0.010225j -0.0353099-0.0119213j -0.0155449+0.00650103j -0.0138551+0.015924j -0.0538129+0.0533262j -0.0540642+0.0621678j 0.00953266+0.0887299j -0.0513724-0.0786908j 0.220127-0.0888084j 0.209875+0.0395711j -0.0484103-0.0936625j -0.3976-0.0707131j 0.143831-0.336514j 0.1454-0.0689835j 0.20837-0.270966j -0.118397-0.104306j -0.182747-0.187626j 0.129443+0.0529563j -0.062786-0.0291029j 
0.0277737-0.00549012j -2.74021e-05+0.00769632j 0.0239394+0.0239579j 0.101881-0.0528129j 0.0490909-0.0308466j -0.0693719-0.0283684j -0.00111873-0.0217884j 0.0149761+0.0689531j -0.0133605+0.0330699j 0.0396521-0.0117155j 0.237027-0.133743j -0.0356283+0.0458819j -0.0674464-0.256013j -0.0456333+0.0467796j -0.142986-0.207748j -0.143932-0.0494615j 0.441313+0.0365437j 0.128468+0.0180908j -0.16277+0.245881j 0.0655857-0.27955j 0.0408564+0.0851022j -0.0371872-0.0496273j -0.286384-0.168705j 0.0721897+0.0388531j 
