0.0107494-0.0180308j -0.0089237-0.00745457j 0.0107939+0.00112235j 0.00398997-0.0141729j -0.014783+0.00293082j 0.00141929+0.00479514j -0.000155098-0.00070504j 0.00151549+0.000312528j -0.00298427+0.00774283j -0.00334292+0.00112454j -0.00656895-0.000174055j -0.00455086-0.00410276j 0.00187557+0.00735051j -0.00356692+0.000608988j 0.00267861+0.00335461j 0.00293174-0.0041542j -0.00687208-0.00376014j -0.0094342+0.00302593j -0.00273356+0.000889249j 0.00138376+0.00142126j -0.00211411+0.00297948j 0.000220113-0.00173207j -0.00143805+0.00109649j -0.00637611-0.00365812j -0.00509997+0.00701227j 0.00192827+0.000476994j -0.00926694+0.014975j -0.0102903+0.0113498j 0.00603614-0.00309696j -0.006563+0.0211315j 0.0277901+0.0165776j 0.00140332-0.00515967j 0.00484281+0.00680484j -0.00184812-0.00198639j -0.000992848+0.0016058j -0.00237603+0.00232826j 0.00742523-0.00264551j 0.00103146-0.00166344j -0.00718041-0.00254232j -0.00159063-0.000280473j 0.000452999+0.00395834j 0.00643348-0.00220009j -0.00173172-0.00613222j 0.000722498+0.0002861j -0.00647745-0.00237439j 0.00269391-0.0162152j -0.0121312-0.00900912j 0.01524+0.0126094j 0.00657646-0.0224001j 0.0285444-0.000362238j -0.0022404+0.029901j 0.0199647+0.00217826j 
0.00370497+0.00540524j 0.00724313-0.004482j -0.0158434+0.00533942j 0.0129945+0.0162059j 0.00409131-0.00551609j 0.00685106+0.00136263j 0.00859163-0.00657501j 0.00807059-0.00102283j 0.0023461+0.00397102j -0.00863251-0.00216153j -0.00304983+0.00405549j -0.00163542+0.00309623j -7.71081e-05+0.00673509j 0.00369201+0.00221734j 0.00474304-0.000344417j 0.00292105+0.000153441j 0.00215737+0.0043334j 0.00146874-0.0164811j -0.00233434-0.00172827j -0.000344759-0.00457302j 0.00450791-0.00135828j -0.00458149+6.43569e-06j -0.00360582-0.00807645j -0.0119122-0.00666746j -0.0014234+0.00563569j -0.00201863+0.011235j -0.000278632+0.00435107j 0.0109878+0.00829233j 0.0010662+0.013523j -0.0184624+0.000690158j -0.0136505+0.0180887j 0.00871282+0.00371986j -0.00827317+0.00376296j 0.00318423-0.00185298j -0.00186279+0.00152303j -5.78222e-05-0.000137906j -0.00224668+0.00446553j 0.000775445+0.00355871j 0.00527564-0.00567692j 0.00113501-0.000425715j 0.0089437-0.0107936j 0.00963538-0.00982992j 0.00418456+0.00201793j 0.00151668+0.00011681j -0.000247006-0.00588155j -0.00376188+0.011633j -0.00146389-0.00841586j -0.00200886+0.0124177j 0.0340596+0.00476129j 0.00835288+0.0295525j -0.0321112+0.000325551j -0.00451944+0.0242095j 
0.0210843+0.00099861j -0.00870235+4.4529e-05j 0.0304098-0.00537366j -0.0318272+0.00111141j -0.0154822-0.00486725j -0.00745356-0.000645097j 0.00668084+0.00186482j 0.000330703-0.00253768j -0.00347797-0.00301517j 0.00200012+1.26267e-05j 0.00303869+0.000782956j 0.00168572-0.00198909j 0.00434508+0.00795125j -0.00386166-0.00329637j 0.000580339+0.00363294j -0.00218596-0.000817783j 0.00150405+0.00166605j 0.002047-0.00544482j -0.00018513+0.00376334j -0.00137702+0.000158264j -0.00013294+0.000260702j -0.00303074-0.008567j 0.00164894+0.00130044j 0.00265477+0.00341717j -0.00168286-0.000447561j -0.000838802+0.00855239j 0.0054136+0.00234572j 0.00337433-0.00887123j -0.000485565-0.00249673j 0.000794165-0.000588691j -0.0122355-0.00376227j 0.00242239+0.00193692j -0.00149317-0.00108059j 0.000943743-0.000443627j 6.9928e-05+0.00105915j -0.00233952+0.00115953j -0.00208299+0.00330317j -0.00395015+0.000927115j 0.00455533+0.000523068j -0.00363502+0.000357506j 0.002402-0.00602243j 0.00280322-0.00208133j -0.000235635+0.000506226j 0.00114232-0.000253622j 0.00221526+0.00187684j 0.00019944+0.00932618j 0.00249625+0.00140296j -0.00366287-0.00142139j 0.00342565+0.00707914j -0.00896135+0.0076616j -0.00830932-0.0122815j -0.00991065+0.00676336j 
-0.00291848-0.00504022j 0.00782667-0.011199j 0.000363802-0.0162772j 0.0084299-0.0159457j 0.01448-0.00181194j -0.00511684+0.00290779j -0.0142826+0.00242962j -0.00109774-0.0140947j -0.000542557+0.0162687j 0.00407596+0.0106437j 0.00187778-0.00592212j 0.00146085-0.00321512j -0.00362604+0.00912748j -0.00744584-0.00324845j -0.000934039+0.022642j 0.00284477-0.0130609j 0.00160153-0.0068803j -0.0154535+0.00164805j -0.00483507-0.0112663j -0.00743949-0.0192477j -0.00526083+0.0200368j 0.00733163+0.0138557j 0.00132803+0.00138778j 0.00280185-0.0218367j -0.0144638+0.0111784j -0.00849383+0.0173285j 0.00327225+0.0215206j 5.34416e-05-0.0131149j 0.0149963-0.00514597j -0.00769263+0.0056214j 0.000502808-0.00799997j 0.00185986+0.000414915j -0.000988374+0.00259687j 0.00110415-0.00346933j -0.000713218+0.00285101j -0.00112006+0.000272341j 0.00132314+0.00315613j 7.4566e-06+0.00283216j -0.00548504+0.00127464j -0.000835503-0.000219627j 0.00123687-0.000615105j 0.00890805-0.00187175j 0.00246419+0.000170582j -0.000517549-0.000728504j -0.00607313+0.00406963j 0.00949157+0.00786298j 0.00200585-0.00255475j -0.00396435-0.00185856j -0.00182985-0.00178891j -0.00918073+0.00080755j -0.0076012-0.013957j -0.00981606+0.00319888j 
0.00367402+0.00769772j 0.00166536+0.00181554j 0.00104017+0.00431824j 0.00769387+0.00626994j -0.00409628+0.00240722j 0.0140304-0.00771051j -0.0034158+0.00198633j -0.0121541+0.00569822j -0.00744504+0.00548029j 0.00952479+0.00366157j 0.00119384-0.00235089j -0.016644-0.00203551j 0.00299881+0.00438956j 0.00707088-0.000624079j -0.010838+0.00833026j 0.0091518-0.00281735j -0.0118029+0.000874473j 0.000547287+0.00213506j -0.00223054-0.00171951j 0.00377239-0.0109813j -0.00767856+0.00438522j 0.00134485+0.00618009j -0.00447039-0.000390148j 0.00258797-0.000864425j -0.000273398+0.00456818j 0.01909+0.0137246j 0.00442254+0.013253j 0.0160747+0.00369466j 0.0102419+0.00934564j 0.00567792-0.000703355j -0.0118178+0.00121017j -0.000348236-0.00232211j 0.000406023+0.00349091j 0.00156266-0.00206091j -0.000545244-0.00499138j -0.00706372+0.000684656j 0.0112851+0.00301987j -0.0148411+0.00578194j 0.00420629+0.00208323j -0.0224657-0.00130524j 0.00236817+0.0104338j 0.00218953+0.00346799j -0.00705117-0.00540616j 0.000838952-0.00719778j 0.00157638+0.00305503j 0.000635189-0.00539259j 0.00730734+0.000373989j 0.0040137+0.00879616j 0.00377232+0.00341378j -0.0024757-0.00140807j 0.00430069-0.000222522j -0.0013125-0.00291809j 
0.000608393+0.00131329j 0.000867476+0.00147116j 0.0068077+0.00109815j -0.00384613+0.00605928j -0.00303116+0.00488412j 0.021492-0.0106422j -0.00142802-0.00149088j -0.00283989+0.00611808j -0.0123213+0.00457077j 0.00181038+0.00531568j 0.00398502-0.0012027j -0.00188027-0.00129183j -0.00170004+0.00316311j 0.00811591-0.000414276j 0.00299957+0.00601364j -0.00256024-0.00598284j 0.0139696+0.00235254j 0.00162122+0.00132514j -0.00682985-0.00684739j -0.000877852-0.00685228j 0.0237706+0.00420749j -0.00241087+0.000974674j 0.0156007+0.00732925j 0.00276172+0.00170248j -0.00296096-0.00103754j 0.00797711+0.00464993j -0.00703553+0.00179217j 0.00205191+0.00563j 0.0119481+0.0108686j -0.00162682-0.00216595j 0.00991886+0.00535831j -0.00297257+0.00471564j 0.000690488+0.000730443j 0.000278876-0.000731754j -0.000233401+0.000256807j 0.00811972-0.000515787j -0.010415+0.000280425j 0.0201757-0.00114671j -0.00909345+0.000156685j 0.0230683+0.00236578j -0.00610831-0.00287525j -0.00801129-0.00259777j 0.00555245+0.00284437j -0.0100034+0.00131681j -0.000721803-0.00439288j 0.00649857+0.00388731j 0.00573162-0.00564537j -0.00223704+0.00295558j 0.00755504-0.00230248j 0.00395844-0.00202149j 0.00611327+0.004533j 0.0055073-0.00619449j 
0.00235533-0.000312922j 0.0058316-0.000524432j -0.00865997+5.66673e-05j -0.00425669-0.00744915j 0.00336198-0.000852093j 0.00344455-0.00287534j 0.0112801-0.000729362j 0.00508339-0.0067015j 0.000368955-0.00232622j -0.00608542+0.00291331j 0.00115749-0.00261068j -0.00912679-0.00066281j -0.00455347-0.000912836j -0.00525786+0.000718093j -0.00800683-0.000335523j 0.0028945+0.00150339j 0.00662858-0.00738422j 0.0135073-0.00224595j -0.00704039+0.000799846j -0.0117059-0.00262756j 0.0186107-0.00363314j -0.0144374-0.00142287j 0.0113473-0.00171434j -0.00877061-0.00319346j 0.00511412+0.000127865j -0.0091608-0.00142885j -0.00203444+0.00507425j -0.00265267-0.00381352j 0.00827043+0.000153997j -0.00369876+0.0029693j 0.0160015+0.00333844j -0.00076119-0.00134327j 0.00317228+0.00173117j 0.000917448-0.000637849j 0.00152542+0.000341405j -0.00830048+0.00180052j 0.0143057-0.00195002j -0.0208062+0.000799098j 0.00258003+0.00228886j -0.0340683-0.00187059j -0.00321617+0.00100937j 0.00309297+0.00541727j -0.0107101+0.00117278j 0.0095575+0.00627534j -0.00324536-0.00103277j 0.0045525+0.00745002j -0.000591133+0.00317527j 0.00722783-0.00282216j -0.00786538-0.00620719j 0.00215882-0.00475532j 0.0106408-0.00322082j 0.00141517-0.00402372j 
-0.000918585+0.00199623j -0.00171806+0.00257377j 0.000586663+0.0022158j 0.0018628+0.00688381j -0.000947939+0.00203092j -0.00342828+0.00222196j 0.00193317-0.00236016j 0.00159109+0.00105522j -0.00726262+0.00051007j -0.00716498+0.000256395j 0.0065543-0.000772239j -0.00489037+0.00593134j -0.00286117-0.00223993j -0.0238857+0.00336138j -0.0247219+0.00234418j 0.00160501+0.00127911j -0.00634967+0.00121673j 0.00569697+0.000383865j -0.0230862-0.00148808j -0.0256156-0.00159814j -0.0153433+0.000201207j -0.00995958-0.00422766j 0.00207325+0.0070103j -0.00524374-0.00225611j 0.00726685+0.00158423j 0.00933707-0.000433422j 0.0072314+0.00186122j 0.000668072+0.000338701j -0.00428345-0.00331515j 0.00397131+0.000310686j -0.00130327+0.000112378j -0.00396353+0.000160857j -0.00445843+0.00111789j -0.000600805+0.000469225j -0.00318348-0.00178244j 0.00768706-0.000672735j -0.0126599-0.000561976j 0.0159417-0.00191816j -0.00154658-0.00080773j 0.0184941+0.00208571j 0.000778829+0.0043628j -0.00385614-0.0036224j 0.0046914+1.18184e-05j -0.00373407+0.000619117j 0.00157064+0.00139683j -0.00118197+0.000433595j -0.00172732-0.00146626j -0.00208731+0.000799132j 0.000454761+0.000191163j -5.13748e-05+0.000673101j -0.0010086+0.0024276j 0.000642502+0.000344785j 
-0.011222-0.0111509j 0.00138252-0.00818894j -4.80203e-05-0.00791834j -0.00482211-0.0165848j 0.0041325-0.00767757j 0.0101956+0.00129053j -0.0105242+0.006246j -0.00102413+0.00972865j -0.00870511-0.00347871j -0.00616472-0.0139905j 0.0039318+0.00109466j 0.0012427-0.00366427j -0.00398743-0.0127828j -0.00151944+0.00884786j -0.00224165-0.0287408j 0.000182691+0.011448j 0.00514053-0.00115894j -0.0188558-0.0022495j -0.0144615+0.01447j -0.00425946+0.0141822j 0.00403224-0.0172414j 0.00689725-0.0134535j 0.00979215-0.000991309j 0.000622369+0.0188011j -0.00690337-0.0126916j 0.00836555-0.00147821j 0.00903333-0.020846j -0.0036026-0.00172261j 0.000604862+0.00401249j -0.00333051-0.00500761j -0.00676456-0.00472867j 0.0088896+0.00133119j -0.000599362-0.00141222j -0.0017294+0.00192991j -0.00224829-0.00160836j -0.00550571+3.19391e-05j 0.0100951-0.000684794j -0.00997727+0.000583623j 0.000218552-0.00194376j -0.015917-0.00253443j 0.00408316-0.00661313j 0.00821859-0.00546729j -0.00341398-0.00191333j 0.00512154-0.00245289j 0.00259134-0.000617382j 0.00293783-0.000422815j -0.00207025-0.00355964j -0.000621588+0.000362715j 0.00607823+0.00426204j 0.00148691+0.00574566j -0.0130606-0.000358143j -0.00125044+0.00591822j 
-0.00195369+0.00345722j -0.0111592+0.00254265j -0.0067739+0.00367394j 0.00908426+3.31757e-05j -0.00961819+0.00499909j -0.00148124+0.00268144j -0.00832048+0.00235695j 0.00401279-0.00130344j -0.0190381+0.00878726j 0.0101373-0.00161523j 0.00405106-0.00288067j 0.0242402-0.00135957j -0.0118555+0.00630301j -0.00712524-0.00176017j 0.0100994+0.0081851j -0.0193537-0.00213415j 0.00681127-0.00234825j 0.018382+0.00555182j -0.00947969-0.00906786j 0.00163897+0.00117766j -0.00171499-0.00172394j 0.000115719+0.0048666j 0.00816755+0.00292152j 0.00698047+0.00099631j 0.0018394+0.004457j 0.00385551+0.0021615j -0.0122817+0.00176549j 0.00458189+0.00223452j 0.00212411-0.000876852j 0.00784344+0.00639883j -0.012615-0.00685372j 0.00170489+0.00293142j -0.0018999-0.00175396j 0.00169213+0.000909373j 0.000523581+0.00145473j -0.00415654+0.000795477j 0.00289134-0.00319702j -0.012205-0.00150947j 0.00118017+0.0021959j -0.0117545-0.00166789j -0.000168601-0.00634074j -0.00372585-0.00450344j -0.00387902+0.00133566j 0.00224118+0.00218024j 0.000290873+7.33202e-05j -0.00464771+0.00396437j -0.000298187+0.000574628j 0.00381111-0.00288418j -0.00459541+0.000385198j -0.00257295+0.000284689j 0.00239825-0.00189616j -0.00215457+0.00259462j 
0.00552206-0.0172793j -0.000577379-0.0106556j -0.0121748-0.0169889j 0.000393754-0.0262544j -0.00868905+7.57511e-05j 0.00283862+0.00898408j 0.00151621+0.00635517j -0.00148713-0.00245683j -0.00559925+0.00207336j 0.00918339-0.0125944j -0.00618109+0.000226086j -0.0148935+0.00225399j -0.00681166-0.00449005j 0.00251005+0.0024771j 2.44353e-05-0.00800384j 0.00864592-0.000203804j -0.0157014-0.0019511j 0.0135473+0.000763342j 0.00104329+0.00621252j 0.0121329+0.00315511j 0.00139295-0.00624325j -0.00177695-0.00238117j 0.000214396-0.00413624j -0.00469485+0.00878271j 0.000260851-0.0021176j 0.000745323+0.000420629j 0.00660177-0.00802591j 0.00674755-0.00691769j 0.0139349+0.003481j 0.0104995+0.0033186j 0.00363363-0.00461431j -0.00742655-0.000958091j 0.00260683+4.81821e-05j -0.00110194+0.000122992j 0.000515332+0.00122124j 0.00674226-0.00173182j -0.0123029+0.00242052j 0.0127412-0.00094433j -0.0036834+0.00187952j 0.0216769+0.000840349j -0.000339962-0.00409603j -0.00101596+0.000726113j 0.00661206+0.00195261j -0.00277987-0.00267594j -0.000998674+0.00191726j -0.000877812+0.00205422j 0.00272916+0.00549552j 0.00628499-0.00354062j -0.00197177-0.000119883j -0.00315929+0.00169404j -0.00292996-0.00974639j -0.00703647+0.00773794j 
