-0.182706+0.117895j 0.0642528-0.162975j 0.0152275+0.0319711j -0.00069326-0.0106051j -0.00755644+0.0563592j 0.0252504-0.00865944j -0.00499437-0.00554796j 0.00579132+0.022364j 0.000122686+0.00781761j 0.00824948+0.00046682j 0.0119203-0.0278601j 0.00792644-0.00819888j -0.0200546-0.00225311j 0.0183647-0.00689881j -0.00651042-0.00792601j -0.00254559+0.00124355j 0.0058125+0.00500824j -0.00135849-0.00349632j -0.00121859+0.00199025j -0.000691287+0.000856829j 0.00404483+0.0179685j 0.00232221+0.0022649j 0.000446587-0.00528692j 0.000322154+2.29317e-05j -0.00427103-0.00468496j 0.00044914-0.000993414j -0.00120691+0.0123291j -0.00467345+0.0141667j -0.0023246+0.00326585j 0.00797002-0.0102131j -0.000483567+0.00134896j -0.00195749-0.00922754j 0.0154717-0.00829739j -0.0113057-0.000165994j -0.00288451+0.000770886j -0.000734483-0.00114865j -0.00655517+0.00300836j -0.00974952-0.00452279j 0.00514569-0.00290143j -0.00219461-0.000630596j 
0.226413+0.444988j -0.102629-0.0349923j -0.00121987+0.00512474j -0.0161217+0.00545381j 0.014062+0.000126914j -0.00497044-0.00305438j 0.003139-0.0039054j -0.0140487+0.00900614j -0.00203996-0.00566412j -0.0103218-0.000652034j 0.0186135+0.00745208j -0.00477776+0.0146499j 0.00398386-0.0134996j 0.0103+0.0117691j -0.00251279-0.00892163j -0.00266669-0.00133535j -0.00163159+0.00743201j 0.0030374-0.00836123j -0.0024449+0.000929983j -0.000689993+0.000306187j -0.012394+0.0121984j 0.00101477-0.00803626j -0.000462469+0.00681534j 0.00115293+0.00124978j 0.000244458-0.00287066j -0.0028535+0.0045843j 0.00909249-0.0185838j -0.0120249-0.00173556j 0.000381984-0.00546456j 0.0181009-0.00634234j -0.000233517-0.000992217j 0.0037677-0.00153009j 0.00717582+0.00366896j -0.0112102+0.001428j -0.00137486-0.00427248j -0.00113715+0.00178831j -0.00307925-0.00466563j -0.00430951-0.00308537j 0.00402912-0.000251946j -0.00114826-0.00166137j 
0.00708223-0.00307054j 0.0271623+0.0336453j -0.0376052+0.0012727j -0.0532459-0.030886j -0.00471247+0.000906129j -0.00183916-0.0135046j 0.000137817-0.00733204j -0.0196555+0.014232j 0.00923812-0.00863961j 0.0164196-0.0243396j 0.00526699-0.00441685j -0.0213643-0.00285981j -0.0159173+0.0249807j 0.00342068-0.00994597j -0.00749785+0.00756573j -0.00379028+0.00117227j 0.002616+0.00532899j -0.0015332-0.00551775j -0.0019331+0.00153756j -0.000749828+0.00038474j -0.00214438+0.0103112j 0.00869487+0.00325375j 0.000959843+0.00379879j -0.0046243-0.00281703j -0.00615693-0.0043295j -0.00263006-0.00491394j 0.00768253+0.0297256j 0.00374956+0.00962923j -0.00276937+0.00592091j 0.0199992-0.0117066j -0.00502552-0.00309974j -0.00576547-0.00552774j 0.0237323-0.0168662j -0.0230485-0.00702491j 0.00238588+0.00953886j -0.00630097-0.00563004j 0.000607269+0.00666114j -0.0124446-0.0055742j 0.0055189+0.0047816j -0.000928642-0.00155443j 
0.59623-0.0823697j 0.0312372-0.0168418j 0.0129709+0.0204834j 0.0155605+0.00933495j -0.00329809+0.0296863j 0.0125283-0.015064j 0.00146628+0.00213268j -0.000115769-0.00446714j 0.00506496+0.00366078j 0.0114575-0.000954245j -0.00472017-0.00355171j -0.00257964-0.00968845j -0.0094954+0.00533473j -0.000521577-0.00318655j -0.000759683+3.93471e-05j -8.17876e-05-0.00176398j -0.00455684+0.00148437j 0.00766167-0.00556292j -0.00193766-0.00021144j -0.000443682-0.000199985j -0.00816067-0.00553266j 0.00708619-0.000143199j -0.0147027+0.0118159j -0.000196402+0.000835698j -0.000732438-0.00145699j -0.00578201-0.000553752j 0.0233854+0.000464097j 0.00312844-0.00849588j 0.00974997-0.00486778j 0.0097638+0.0139351j 0.000120882-0.000596909j -0.000607153-0.000736133j -0.00349808+0.0089583j -0.0115919-0.00951079j 0.0061039-0.00338226j -0.00389937-0.00107705j 0.00207731-0.00171308j -0.00367174-0.00437825j 0.00431788+0.00179244j -0.000584277-0.000991378j 
0.0318953+0.0219722j -0.0268332+0.0228875j -0.00208326-0.0144379j 0.0401664-0.0308659j -0.0337901+0.00910455j 0.0384547-0.00721496j -0.00658204-0.00432311j 0.0095944+0.0201613j -0.00507382-0.0117064j -0.019643-0.0206889j -0.00350286-0.00788521j -0.00317064+0.0168978j 0.0231055+0.0190789j -0.00642398-0.00630962j 0.00805487+0.00897538j 0.0018077+0.00580812j 0.0050768-0.00585324j -0.016765+0.00996665j 0.00267503+0.00147062j -0.000130524+0.000863274j 0.00230037-0.0141238j 0.00496228+0.0099956j 0.0374444+0.0147677j -0.00189238+0.00327789j -0.00365793+0.00579366j 0.00126572-0.00715764j -0.00558419+0.028225j 0.00158934-0.0169908j -0.0122382-0.00608879j 5.52533e-05+0.00439718j -0.00532183+0.00394307j -0.00374941+0.00435439j 0.00788902-0.00150279j 0.000622289+0.0058462j 0.00236137-0.00602295j -0.00246618+0.00218469j 0.00337038-0.00243555j 0.000703396+0.00274734j 0.00179793-0.00324321j 0.00011432+0.00124297j 
0.101928-0.541028j -0.0497298-0.0591794j -0.00646566+0.00106881j -0.0148205-0.00380672j 0.00684527+0.00214644j -0.00305131-0.00209507j 0.000465481-0.00481059j -0.00926938+0.0156155j -0.0050721-0.00600192j -0.0113808+0.000221079j 0.0201359-0.00149302j 0.00213728+0.0143778j 0.000173976-0.013849j 0.0131456+0.00537741j -0.0040225-0.0059928j -0.00154148+0.00159681j 0.000998953-0.00091993j 0.0051526+0.00229874j -0.0020342+0.000591189j 6.3738e-05-0.000334043j 0.00566253-0.00203877j 0.0013184+0.00613885j -0.0183521-0.00338344j -0.000115676+0.000145684j -0.00180966-0.00264516j -0.00139979-0.00519368j 0.0069071+0.021905j 0.00925677+0.0029555j 0.00925779+0.00529437j -0.00605114+0.00633627j -0.00106889-0.000154108j -0.00133037-0.00366805j -0.00680958-0.00424842j -0.00152143-0.0107423j 0.00549786+0.00468308j -0.00191616-0.00398515j 0.000966333+0.0018105j -0.000832652-0.00497436j 0.00204613+0.00372781j -0.000395177-0.00138374j 
0.256531+0.0928935j 0.0567109-0.00258497j -0.0171531-0.0416764j -0.0191519-0.01712j -0.00577725-0.0332435j -0.00217319+0.0178705j -0.00870688-0.00640967j 0.0188701+0.0132425j -0.0118329+0.00292556j -0.00512149+0.0130273j -0.00255654-0.0176753j 0.0186551-0.00235975j -0.00614989+0.00104004j -9.31661e-05-0.0124224j -0.000492779+0.00781596j 0.00381236+0.0042636j 0.000916959-0.00561543j -0.00515815+0.00348731j 0.00366558+0.00167302j -8.67474e-05+0.000262819j -0.000713286-0.0125286j 0.00534727+0.00487416j 0.0195694+0.0143933j -0.000238533-0.00116081j -0.00190477+0.00547249j -0.00120168-0.0024641j 0.00535292+0.00695585j -0.000134722-0.0113375j -0.00658428-0.00753865j 0.00218828+0.0070888j -0.000450102+0.00177575j -0.00347539+0.00451246j 0.00242421+0.00588346j -0.00100754+0.003307j 0.000548066-0.00460093j -0.00105088+0.00186481j 0.00214584-0.000456836j -0.00027456+0.00228993j 0.000129973-0.00220067j 8.93963e-05+0.00134992j 
0.0626458-0.0252758j 0.191458-0.224795j 0.0334642+0.0230813j -0.0272431-0.0317415j 0.00735693+0.0167635j 0.0183355+0.0714112j -0.0110793-0.00950401j 0.0147862+0.0140971j 0.00823473+0.0181316j 0.000706413-0.0194103j -0.00330352-0.00839546j -0.0065815-0.0263089j 0.0136496+0.00126751j 0.00245307+0.0236638j 0.0176337-0.0316746j -0.00330563-0.000854387j 0.00735975+0.00613665j -0.00379735-0.000389503j -0.00157572-0.00236741j -0.000633171+0.00163776j 0.0071099+0.00938967j 0.00121197+0.00678353j -0.00266294-0.00485914j 0.00230367+0.00682758j -0.00279774-0.000220235j 0.00230032-0.000555489j 0.0025257+0.00248085j -0.00779325-2.90758e-05j 0.00542593-0.00184553j -0.013094+0.0146715j 0.0053489+0.00913328j -0.00180822-0.00744367j -0.00213548+0.0128501j 0.00409934+0.00413476j -0.00091257-0.0206156j 0.00389858+0.00712962j -0.0109958-0.00572881j -0.00588352-0.00366706j 0.00877813-0.0146564j -0.00412391+0.000484529j 
-0.034509-0.0822281j -0.376341-0.245959j 0.018755-0.0111811j -0.0148001+0.0133945j 0.0343655-0.0181095j 0.0438148-0.0259172j -0.00301597-0.0098442j 0.00594676+0.00829074j -0.0016427+0.00243475j -0.0057673+0.00886769j -0.00723468+0.00435426j -0.00652433-0.00622309j -0.00682404+0.00961152j -0.00838094+0.00151558j -0.000923202+0.00314694j -1.26281e-05-0.00410638j -0.0040617+0.0086128j -0.00415313-0.00786747j 0.000511803-0.00862919j -0.0015325+0.00128987j -0.00740267+0.00531894j -0.0108981-0.00614643j 0.00576916-0.00483214j -0.00280682+0.0101904j -0.000227172-0.00388201j 0.00318407-0.000768718j -0.00725295+0.00426349j -0.00500632-0.0151761j -0.00234939+0.00713317j -0.00367927-0.00368807j -0.00642576-0.000430303j 0.0113918+0.00348332j -0.00734937-0.0050911j 0.00574001-0.00924151j 0.0145181-0.00219581j -0.00119313+0.0012287j -0.000944139-0.0176639j 0.00259705-0.011773j 0.0114367+0.00768801j -0.00200502-0.00713037j 
-0.0148359+0.000553419j -0.0112089-0.162324j 0.0810819-0.0412452j -0.04181+0.00427912j -0.0569404+0.0362966j -0.0171822+0.0157739j -0.00503332+0.0207568j 0.0227338-0.0119033j 0.000952591+0.0202932j 0.0277317+0.00170419j 0.0278162-0.0116624j -0.0105857+0.019924j 0.0127138+0.0107415j 0.01545+0.0138999j 0.0102441+0.0131687j 0.00637361-0.000259322j -0.000810873-0.0107028j 0.00264405+0.0101498j 0.00155883+0.00859722j 0.00519178-0.00232894j 0.00272471-0.000653045j -0.00789849+0.00453883j -0.000875713+0.0033673j 0.00933255-0.00427571j 0.00342118+0.00116429j -0.00634339-0.00141815j -0.00237276+0.00247676j -0.00596426-0.00272623j -0.00193456-0.00919397j 0.0105252-0.014085j -0.011708+0.0010105j 0.00646423-0.00138536j -0.0131746+0.00114093j -0.0070368+0.00149235j -0.000920335+0.00686249j -0.00430379-0.00402205j 0.00455969-0.00449275j 0.00865437-0.00170421j -0.0029403+0.0105938j 0.00409524-0.00167527j 
-0.0531051-0.00987874j 0.0569415+0.173706j 0.0121032+0.0252207j -0.00524225-0.0236605j -0.00857734-0.000798457j -0.0012097+0.0238788j -0.00546967-0.0121954j 0.0113173+0.0125189j 0.0354372+0.00274483j 0.00125848+0.0126581j -0.0121945+0.00167473j 0.0122576+0.00630747j 0.00885224+0.0162699j 0.0137313+0.025456j -0.0173769-0.00390964j 0.000490561+0.00304631j -0.000735533-0.00614277j -1.91053e-05-0.0134648j 0.00373972-0.00799208j -0.0165857-0.0058941j 0.00853565-0.0135852j -0.0107433-0.00499709j 0.00114236+0.00322397j 0.00132451-0.0108237j -0.0175836-0.00831118j 0.0146148+0.0163697j 0.00845252-0.00332704j -0.00902082+0.00259419j -0.00967139+0.00666673j -0.00641794+0.0133452j 0.0127565-5.34412e-05j 0.00509438+0.0243936j 0.00875569-0.0141589j -0.000651992-0.00680429j -0.00210238+0.0094374j 0.00684197+0.0143119j -0.0155455+0.0022274j -0.0162859-0.00229304j 0.000727674+0.00843177j -0.00302174-0.00727693j 
