-0.114291+0.236726j -0.0195806-0.131824j -0.0304214+0.231327j -0.024103+0.0018997j 0.0066464+0.0209241j -0.0266186-0.0230539j -0.0065558+0.00366594j -0.00805861-0.0627419j 0.0308212+0.017409j -0.00370942+0.000744305j 0.0136347+0.00803686j -0.00836137-0.00114145j -0.000622394+0.00437662j -0.00168724-0.00279344j 0.0114045+0.0172425j 0.0146469+0.0153792j -0.00250962+0.000680192j 0.00514468+0.00242818j -1.40168e-05+0.0134022j 0.00162464-0.00122671j -0.0117295+0.0262571j 0.00556905-0.0095704j 0.0176202+0.0212293j -0.00501911+0.00647498j 
0.411722+0.163755j -0.0344601-0.0150182j 0.13794+0.00538083j 0.00234271-0.00879694j 0.000857818+0.0148393j 0.00374522-0.00663359j -0.0135023+0.00629131j -0.0104986+0.00987106j 0.00957048-0.00522111j -0.0012122-0.00403818j 0.00100123+0.0165404j 0.0050802-0.00166963j -0.00278237+0.00509926j 0.00425172-0.0113839j -0.006505+0.0145629j -0.0167704-0.00214555j -0.00382691-0.000207025j 0.00011414-0.0105876j -0.0182865+0.00159717j 0.00344308+0.00146417j -0.0117503-0.021418j 0.000856892-0.000433881j 0.00701104+0.0159112j -0.0035944+0.00442908j 
0.0315953+0.187293j -0.132013+0.0240755j -0.0387262+0.00573427j 0.00159206+0.0257727j 0.0353941-0.0286592j -0.0161384-0.0128388j 0.0129388+0.0176182j 0.0291311+0.00725863j 0.00656696+0.00946157j 0.0064773+0.000302509j -0.00419059-0.0171826j -0.00163348+0.000675168j 0.00908499-0.00504197j -0.00200898+0.0124275j 0.00706511-0.00358052j -0.0109624+0.00635547j 0.0114518+0.00440095j -0.0148673+0.00129544j -0.0166164+0.00285202j 0.000317945-0.00261108j 0.00560852-0.0140335j 0.00720759+0.00254881j -0.00921794+0.00481744j -0.00226147-0.00150526j 
-0.0435242-0.277249j -0.0164465-0.0611279j -0.00210333+0.0412642j -0.00573334-0.00572033j -0.0039652+0.00946782j -0.0302937-0.0100115j 0.0154767+0.0141489j -0.0108098-0.0167373j -0.00179275-0.00338604j 0.00112646+0.000524499j -0.0047038+0.00622716j -0.0012854+0.0084482j -0.0105015-0.00119553j 0.00830046-0.00925197j 0.00607449-0.0150602j 0.00525038-0.00956409j -0.0117564-0.0134433j 0.00337222-0.00295791j 0.00847681-0.0167601j 0.00127573+0.00927821j -0.00441863+0.00398675j -0.00470052+0.00278932j 0.00568835+0.00991734j -0.000544912+0.00411432j 
-0.10456+0.164635j 0.0101263+0.0177447j 0.00888342-0.00283078j 0.00458477-0.00460183j -0.014606+0.00301032j -0.0297241-0.0110826j 0.0142063+0.0346097j -0.0114583+0.0407251j -0.02281+0.016671j -0.00131698+0.00171086j 0.0028374-0.000740393j -0.00341707+0.00813912j -0.0163254-0.00790807j -0.00401585-0.00638919j 0.0288699-0.00773586j -0.0134075-0.0114804j -0.0271944-0.0319111j -0.0177209-0.0145078j 0.0132451-0.0124913j 0.00377274+0.0188774j -0.0255213-0.00846081j -0.011434+0.00188602j 0.0144101+0.00871268j 0.00468923+0.00253521j 
0.313269-0.026538j 0.0257362+0.0617559j -0.0402644+0.0508137j -0.00481818-0.0109268j 0.000149566+0.0132828j -0.000519448-0.00776888j -0.00111712+0.0135725j 0.00571677-0.0147519j 0.00167348-0.00572786j -0.00305392+0.00473306j 0.016133-0.00705275j 0.000779168-0.00651123j -0.000909488+0.00198888j -0.0198679+0.00241803j -0.000809861+0.0198778j -0.00344372-0.0198102j -0.0180812-0.0031382j 0.00143928-0.0233468j -0.000223644-0.0154727j 0.00752031+0.00579879j 0.0189203+0.00921025j -0.00106734+0.00585094j -0.0112629-0.00565813j -0.00200719-0.00183034j 
-0.0560713-0.263878j -0.00218147-0.00319944j -0.0386195-0.00833433j 0.00694291+0.0162319j -0.000790842-0.0354727j -0.00659919-0.00885764j 0.00901944+0.00614254j -0.00122206+0.00137865j -0.00715202-0.00443642j 0.00087417-0.00464728j -0.00883354+0.00360461j -0.000467892+0.00322287j -0.00398758+0.00299581j 0.00561371+0.00106338j -0.00596775-0.0047669j 0.0121543-0.00502616j -0.00473711+0.00622343j 0.0117104+0.000983324j 0.0119525-0.0037273j 0.00117757-0.00233031j 0.00528802+0.0037262j -0.00286053+0.00112753j -0.00464815-0.00845335j 0.00128979-0.00265774j 
0.0776042-0.0263941j -0.00237482-0.00792959j -0.010881-0.00635619j -0.0120885-0.00460489j 0.0191915+0.0311878j -0.0214903+0.0344021j 0.0350242-0.0229283j 0.0170496+0.00183505j 0.00225823+0.00325554j 0.000685194+0.00765481j 0.0168857-0.0128367j 0.0135735+0.00114101j 0.0158277-0.0178654j -0.0206752-0.010935j -0.0107772-0.0281166j -0.0153188+0.00403778j 0.0296672-0.0324008j -0.0178773+0.011822j -0.0176454-0.0138773j -0.0145085+0.0119684j 0.00130374+0.00697722j 0.00322008+0.00863627j -6.6725e-05-0.00334608j 0.00154688-0.000984168j 
-0.00639824+0.187801j 0.0047634-0.0140331j -0.0345711-0.0567292j 0.00620523-0.0104731j -0.0218475+0.0128599j -0.0200445+0.0119453j 0.00621193-0.0200107j -0.0215502-0.035288j -0.0130194-0.0211382j 0.00104926+0.00345988j -0.00748516-0.00751225j -0.00628445-5.545e-05j -0.00667894+0.002051j 0.00864211+0.0129671j 0.0182047+0.00471804j -0.0101323-0.0043978j -0.00976556+0.00811707j -0.0130813-0.00565855j -0.00300378+0.000313875j 0.00328033-0.00135659j 0.00612427-0.0155092j 0.000102345-0.00309067j -0.00257162+0.00930085j 0.000626209+0.0036519j 
0.361871-0.330574j -0.00164146-0.111046j -0.00548123+0.0742139j -0.00905844+0.00841036j -0.00081566-0.00408823j -0.0187138-0.0139695j -0.00202651+0.00316605j -0.0121161-0.0132327j 0.0144839+0.0142295j 0.000530315-0.0046419j -0.00585301+0.0144556j 0.00262242+0.00664259j -0.00507676+0.00408233j 0.0103619-0.00985989j -0.0133707-0.00579424j 0.00444079-0.0103044j -0.00187709-4.77393e-05j 0.0106638-0.00594976j -0.0132128-0.0180469j 0.00183235+0.00284377j 0.00700121-0.00244153j 0.00591794+0.00341882j 0.00111248+0.0221j -0.00562753+0.00605558j 
-0.0141771-0.0418847j 0.0322955-0.129568j -0.113322+0.215015j -0.0268465+0.00722897j -0.0130623-0.00179209j -0.0196906-0.0014892j -0.0287828-0.0162689j -0.0148202-0.00215228j 0.029342+0.0745787j -0.00468502+0.0028852j 0.012608-0.00530191j -0.0108566-0.00150496j 0.00159217-0.00170651j 0.00178116+0.012051j 0.0101041-0.000843809j 0.0115154+0.00686091j 0.00472793-0.00166481j -0.000255392+0.00751574j -0.0152351-0.0159226j -0.000842261+0.00361137j 0.0136934+0.0238679j 0.0129149+0.001712j 0.00410906+0.0358132j -0.0101698+0.00902894j 
