-0.00412308+0.00455586j 0.0036451+0.00777013j -0.000468575-0.00769837j 0.00451192-0.000218346j 7.49872e-05+0.00405634j -0.00276354-0.00585886j -0.00434875+0.00129514j -0.000192029+0.00657767j -0.000746637-0.000219671j -0.000441959+0.00173991j 0.00113289-0.00439239j 0.00492079+0.00502563j 0.000478432-0.00613124j 0.0021654-0.00231092j -0.000862527-0.0033296j 0.00142698+0.00227073j -0.00059876-0.00311178j 0.00161003+0.000475024j -0.00170791-0.00383377j 0.00234594-0.00203077j -0.0003601-1.32479e-05j -0.000455804+0.000780797j -0.000451858-0.00651465j 0.00222004+0.00190449j -0.00112042-0.00211217j -0.00256876-0.00114568j 0.000700352-0.00109465j 0.000712734-0.00277583j -0.000282437+5.81833e-05j -0.00022843+0.00550027j -0.000218674-0.00314501j -0.000564073-0.00194851j -0.000154545-0.00116138j -0.000233827-0.00146178j 0.00124965-0.000273192j 0.000164231-0.00222068j 0.00257433+9.25718e-05j 0.000897082-0.00372699j -0.00060306-0.000917688j -0.00117937+0.00150702j -0.0011858+0.0009962j 0.000786888-0.00119415j 0.00115493+0.000863286j -0.000335269-0.000999967j 0.000602618-0.00246993j 0.00320486-0.00165429j 0.00107752+0.00207172j 0.00111644+0.000410446j 0.0010088-0.000769005j -0.000854302-0.0030066j -0.000204548-0.000355275j -0.00167717-0.00134122j -0.000372336-0.00396404j -0.00068881-0.00242245j -0.00247971-0.00311491j 0.000244071-0.000126187j -0.00117138+0.00231635j -0.000614084-0.00384033j -0.000777144-0.0018479j -0.000978123-0.0027025j 0.00067165+0.00204306j 0.00119577+0.0046627j 0.00159943-0.0027609j -0.00369706-0.00221711j -0.000668894+2.46913e-05j -0.000847729+0.00697052j -0.00454311-5.11952e-05j 0.00459694-0.00421823j -0.00119971+0.00644118j -0.000907051-0.00557231j -0.00870557+0.000110899j 0.00554277+0.0172989j -0.00671234-0.0146874j -0.0201277-0.0320026j 0.0113359-0.0681521j -0.0353032+0.010981j 0.0107875-0.32902j 
0.00365476+0.0077977j 0.00415743-0.00463647j -0.00435331-0.000150283j -0.000726021-0.00839542j 0.00269402-0.000108172j -0.00277926+0.00305093j 0.00196274+0.00885827j 0.00367193+0.000542909j 0.000134741+0.00162859j 0.000927272+0.000575158j -0.00287446-0.00379083j 0.00153782-0.0078397j -0.00312883-0.000959785j -0.00178274-0.00396245j -0.00129167+0.00135874j 0.000726924-0.00216197j -0.00190809+6.76215e-05j -0.0005918-0.00314499j -0.00178437+0.00221662j -0.00134404-0.00501929j -4.70457e-05+0.000265554j 0.000215894+0.000294667j -0.00342237-0.000850535j 0.000720083-0.00305569j -0.00111373+0.00133327j 4.35137e-05+0.0041784j -0.000543199-0.00149503j -0.00130423-0.00154983j -7.16889e-05+0.00085853j 0.00307422+0.00133215j -0.00130402+1.57298e-05j -0.000740913+0.000933394j -0.000836774-0.000116742j -0.000752045+0.000340994j -0.000210168-0.00269136j -0.00111635-0.00107632j -0.000402322-0.00456002j -0.00232242-0.00281442j -0.000436042+0.000627229j 0.00148395+0.00236357j 0.0011774+0.00234656j -0.000829048-0.00149222j 0.000398698-0.0024543j -0.000606147+0.000354686j -0.00113234-0.00139641j -0.00100795-0.00614434j 0.00114247-0.00163272j 0.000270271-0.000847187j -0.00051676-0.00251906j -0.00133038+0.00149052j -3.98801e-05+0.000705586j -0.000237254+0.0020782j -0.00188252+0.000224753j -0.00078808+9.01507e-05j -0.0013452+0.0049314j -2.27549e-06-0.000759148j 0.00131253+0.00291497j -0.00143576-0.000454127j 7.21815e-05+0.00218884j -0.000493+0.00166777j 0.00112476+0.000517546j 0.00302718-7.68901e-05j -0.00206471-0.00483028j 0.000113632+0.00452118j -0.000180666+0.000222197j 0.00532802-0.000954844j -0.00228717+0.00657664j -0.000348313-0.00783981j 0.00336976-0.00427869j -0.000918162+0.00105053j 0.00457432+0.0138006j 0.0114518+0.00583106j 0.00463674+0.0142017j 0.0100036-0.0678506j 0.0211436+0.0312242j -0.0104702+0.328141j -0.0349537+0.011495j 
0.00229952+0.00627965j 0.00341129-0.00244512j -3.8885e-05+0.00260384j -0.00148328-0.000440395j -0.00165881+0.00103072j -0.00293404-0.00214271j 0.00221453+0.00490574j -0.000355159-0.00769234j 0.00484426-0.000609607j -0.000817655+0.00273251j -0.00161297-0.00802291j 0.000102517-0.000247819j 7.99216e-05+0.00793296j 0.000284027+0.00270782j 0.0020931+0.00671724j -0.000282349-0.00206648j 6.3924e-05-0.00145476j -0.00373279-0.00376233j -0.0030336+0.000531222j 0.00189061-0.00330005j 0.00211268-0.00378754j 0.00119292-0.00650314j -0.000803565-0.000672326j -0.0012304+0.0064682j -0.000973205+0.000622799j -0.000109838-0.000749585j -0.00137263+0.00279062j 0.000223857+0.00498799j 0.00145768+0.00183718j -0.000530344-0.00262647j -0.000837059+0.00396646j 0.000867484+0.0025657j -0.00196856-0.00317572j -0.0028196-0.000731408j 0.00113827-7.76646e-05j 0.000603675-0.000569309j -0.00350081+0.00216637j -0.000230198-0.00393332j -0.000589048-0.00225527j 0.000899696+0.00159354j 0.00254637+0.00282545j -0.00136018+0.00204208j 0.00108985+0.00116192j 0.000800108-0.00261401j 0.00211978+0.00714145j 0.00131273+0.00791019j 0.00118425-0.000966535j 0.000108116+0.00392031j -0.000733743-0.00161986j 0.00222908+0.00380136j -0.00135946-0.00512909j 0.00303048+0.000771648j 0.00236377+0.00467395j 0.00492575+0.00223211j -0.000905368+0.00382209j 0.0017664-0.0014193j -0.00131314-0.00141283j 0.00607531-0.00304297j -0.00216169+0.0074613j 0.000657358+0.00859809j -0.00293206+0.000497468j -0.00371427+0.00638902j -0.00488109+0.000955877j 0.00657303+0.000363863j -0.00167569+0.00250838j 0.0101257+0.0176431j -0.00146114-0.00491027j 0.00189564+0.0255309j 0.00175652-0.0229385j 0.0180861+0.0503907j -0.00915627+0.0510677j -0.00202998-0.0111679j 0.0167397-0.0849654j -0.0278574+0.019311j -0.0164476+0.311299j 0.00645659+0.0111652j -0.00669648+0.0129252j 
0.00331609-0.00338131j -0.00292787-0.00635443j 0.00169995-0.000592408j 0.00151131+0.00368504j 0.00253759+0.00612178j -0.00013391+0.00670034j 0.00154272-0.00309688j -0.00348253+0.00400112j -0.00335387-0.00884034j 0.00320695+0.00208323j -0.00381213+0.00463754j -0.000554332-0.00355307j 0.00225823-0.00255804j 0.000281668-0.00228967j 0.00199965-0.00239378j -0.000218415-0.000559877j -0.00116798-0.00106622j 0.000221432+0.00488999j 0.00282161+0.00539339j -0.00229316-0.000467456j -0.00196294-0.00268549j -0.00257036-0.000598052j 0.000818402+0.00288926j 0.00276557+0.000390236j 0.00194566+0.00197388j 0.000532797+0.00187684j 0.00171601+0.0039632j 0.00100402-0.000328673j 0.000149825-0.00406356j 0.000579737+0.0022604j 0.00105301+0.0033523j -0.000598765-0.000485878j -3.67164e-05+0.00237216j -0.000389024+0.00402907j -0.000159658+0.00124349j -0.000148397+0.000558345j 0.00194434+0.00546145j -0.00058905+7.23085e-05j 8.55557e-05+0.00283366j -0.000709628+0.000984178j -0.000180355-0.00163394j 0.000937087-1.14926e-05j 0.000102853+0.00199052j -0.0014711-0.0014692j 0.00195792-0.00202792j 0.00098536-0.000931431j -0.00199001-0.000637238j -0.000385844-0.00269852j -0.000496919+0.00286046j -0.000138874-0.00575676j -0.00355987+0.00175729j 0.00121177-0.00303779j 0.000132399-0.00445529j 0.00171243-0.00392769j 0.000754011-0.00319664j -0.000555414-0.00126842j -0.000314301-0.000440159j -0.00373914-0.000267614j -0.000948185+0.0105634j -0.00106992+0.00183829j 0.00124903-0.00182529j -0.00284574+0.00503573j 0.00596419+0.011163j 0.00154472+0.000839794j 0.00214747+0.00938024j 0.00156137+0.000694173j 0.0113205+0.00228575j 0.00390794+0.00503077j 0.00695474+0.0401829j -0.00964661+0.0818607j -0.0171674-0.0370826j -0.00351862+0.0122479j 0.0244493+0.0196698j -0.00961565+0.289001j 0.0187728-0.0303071j 0.00633234-0.012817j 0.00639686+0.0104183j 
-0.00119577-0.00178643j -0.000790556+0.00149095j -0.00279306+0.0028497j -0.0031621-0.00607815j -0.00156398-0.00995179j 0.00415772-0.00296846j -0.00125775-0.00242848j 0.00204874-0.00327603j 0.00163459+0.00505859j -0.00172575-0.00169995j 0.00330524-0.000911164j -9.02071e-05+0.00399675j -0.000777995+0.00186694j 0.000458762+0.003979j -0.000911863-0.0014038j -0.00332515+0.0012113j 0.00295571+0.0062859j -0.00137791+0.00327144j -0.00265801-0.00152236j -0.000766584-0.00618646j -0.000116743+0.000340056j 0.000774445+6.76695e-05j -0.0019254-0.00344912j -0.00124168+0.000989156j -0.0020203-0.0020822j -0.000159932-0.00410603j 0.000322357-0.00627009j 0.00161533+0.000578096j -0.00147425+0.0054996j -0.0028936-0.00715934j 0.00137533-0.00306079j 0.00286779+0.00159828j -0.000509855-0.00153423j 0.00162586+0.00135725j 0.000252489-0.00595857j 0.000213625-0.00262321j -0.00114141-0.00138213j -0.00195729+0.000151542j -0.00116258-0.00507992j 0.00346339-0.0019592j 0.0010484-0.00182457j 0.000184788+0.00378475j 0.00200995-0.00461841j 0.000831994-6.07349e-06j 1.98365e-05-0.00187338j 0.00357798+0.0017455j 0.0031406-0.00231697j 0.000165358+0.00647242j 0.00325962-0.00514536j 0.00199081+0.00524496j 0.00315879-0.0041521j -0.000169605-0.00763308j 0.00359074+0.00321506j -0.000776455-0.0121811j 0.00226288+0.00170151j 8.76287e-05-0.00423147j -0.000461168+0.00261907j 0.00589074-0.000890249j -0.000298484+0.00539257j 0.00470089+0.0104637j -0.00855401-0.00698365j 0.00363049+0.019276j -0.00790452-0.0109477j -0.00415124-0.0377292j 0.00785666-0.0147699j 0.00503015-0.00485542j -0.00377861+0.0428579j 0.00383923+0.0408705j -0.00410697+0.0413061j -0.019564-0.0285394j -0.00339903-0.00537162j -0.0207572-0.00986587j 0.0135175-0.283827j -0.00352831-0.024729j -0.00958195+0.00520709j 6.02425e-05-0.00366039j 0.00209199-0.000721886j 
0.00240223+0.00390337j 0.00182231-0.00309575j -0.00285352-0.00213835j 0.000495288-0.00573806j 0.00331522-0.00177891j 0.00299228+0.00708106j 0.00147516-0.00333299j 0.000410544+0.00301689j -9.62258e-05+0.00322904j -0.000564454+0.00490359j -0.001569+0.0018502j 0.000713354-0.00254506j 0.000839769-0.00115453j -0.00334717-0.00350327j -0.00251283-0.00037796j -0.00204094-0.00344423j -0.00162402+0.00938813j -0.00359787-0.00200788j 0.00071834-0.00371152j -0.00024191-0.00379625j -0.00134097-0.000892725j -0.00246482-0.00171744j 0.000174632+0.0032413j -0.000950676-0.00400727j -0.000953753+0.00190534j 0.00340359+0.00477767j -0.000113488-0.006017j 0.00210811+0.00342723j -0.00408308-0.00126725j 0.00147904-0.00520129j 7.80204e-05+0.000755707j -0.00153809+0.000582844j 0.00198873-0.0037463j 0.0018652+0.00361506j -0.000582149+0.00211022j 0.00199478+0.00542226j -0.00034753-8.31821e-05j 0.00269084+0.00842955j -0.000198877-0.00261117j 0.0025823+0.0037511j 0.000121863+0.00193213j 0.0012738+0.00336098j -0.00268926+0.00303629j -0.000107089+0.00294691j -0.00308763+0.00096447j -0.0018081+0.00815323j 0.000403845-0.000190228j -0.000774173-0.00996733j 0.00434907+0.00540961j 0.00107665-0.00126707j 0.00144181-0.00550703j 0.00381361+0.00596789j 0.000483981+0.00228876j 0.00253075-0.00035628j 0.00325215-0.00456949j -0.00118297-0.000848121j 0.0026063-0.00444749j -0.00115878-0.00281725j -0.00953736-0.0249739j 0.00495204+0.00935363j -0.000162293-0.0210265j 0.00505582-0.00129939j 0.00632298+0.031196j 0.00101918+0.0196004j 0.00592434+0.00837734j -0.013624+3.41802e-06j -0.000556364+0.0428426j -0.002901+0.0420704j 0.0121818+0.00610347j -0.00524456+0.0342838j 0.0209992+0.00316454j 0.0100172-0.272439j 0.0103505-0.00824841j 0.0017184+0.00384869j -0.000567359-0.0025721j 0.00441362+0.00373954j -0.00316227+0.00801576j 
0.00304988-0.00353832j -0.00305559-0.00606899j 0.00145044+0.00309855j -0.000926366+0.00243692j -0.000684855-0.00115139j 0.00154914-0.00261877j -0.00197421-0.00293054j -0.00055342+0.000424687j 0.000240444-0.00571196j 0.00487912+0.00425331j -1.50073e-05+0.0054001j -0.000793278-0.00169912j 0.000419034-0.00739403j -0.000732064+0.00392012j 0.00265652+0.00435277j 0.00049556+0.00170525j 0.00317255+0.000871293j 0.00251605+0.00908387j -0.00115942+7.50284e-05j -0.00240166+0.000485535j -0.00139696+0.00272315j -0.00106785+0.00852114j 0.00151639+0.00013209j 0.000782888-0.000761509j 0.00218308+0.00371725j 0.000258168-0.0045167j -0.0014718+0.00167554j -0.000962782-0.0072754j 0.000995944+0.00463366j -0.00124391+0.00185359j 0.000567288-0.000926491j -0.00143809-0.000713795j -0.000784723+0.000222144j 0.00112501-0.00506466j -0.000220512+0.0036396j 0.000626176-0.00437948j 0.00129408-0.00185575j 0.00231582-0.00189531j -0.00111912+0.00161664j -0.00129735-0.00580078j -0.00019737-0.00116424j 0.00295861-0.00398241j -0.00190537+0.0064556j 0.000681607+0.00242957j -0.00172355+0.000775228j 0.00174028-0.00159384j -0.00140716-0.000274014j -0.00372917-0.00533875j -0.000111628+0.00155869j -0.00243574-0.00659008j 0.00118888-0.0118261j -0.00115665-0.00562718j -0.00124864-0.00117984j -0.00253131-0.00113486j 0.00215195-0.000503464j -0.000969768+0.00418772j -0.00208723-0.00456488j -0.0085006-0.0102827j -0.0038489-0.0129752j -0.000401402-0.0242119j -0.0114516-0.0261835j -0.00222753-0.0175065j -0.0012161-0.00207063j -0.00662525-0.0196912j -0.0087929+0.0561682j -0.00949333-0.0369852j -0.00873067-0.0281703j -0.0148159-0.0118575j 0.000159021+0.0219917j 0.0117253+0.0212101j 0.0123444-0.262359j -0.0134145+0.00738492j -0.00080968-0.00795539j 0.00461462+0.0101192j 0.00453563-0.0133935j 0.00320223-0.00814298j 0.00451231+0.00383696j 
-0.00169159-0.00454864j -0.00243172+0.00163093j -0.0024223-0.0032921j 0.000830475-0.00342857j -5.83878e-05-0.00356635j 0.00299103+0.000654935j -0.000411361-0.0045382j -0.00187197-0.0020237j -0.000499291-0.00381101j 0.000446386-0.00197218j 0.00314241-0.00422261j 0.00242916+0.00892738j -0.00208209-0.0023184j 0.0044763+0.00562765j 0.0020684-0.0102537j -0.00541096-0.00391674j 0.000108248+0.00413029j -0.00137449+0.00404709j -0.00182261+0.00553107j -0.00115514-0.0118184j -0.000314218-0.00152039j 0.00165699+0.00091145j -0.00342178-0.0100544j 0.00164302+0.00443241j -0.000656526-0.00511371j -0.00286502-0.00453627j 0.00502216-0.000819217j 0.00107863+0.00174811j -0.000903857-0.000591399j -0.00181616-0.00325879j 0.00234217-0.00592255j 0.00176118+0.00172976j 0.00067001+0.00191972j -0.000626909-4.12705e-05j 0.00069994-0.00849274j -0.00189927-0.00431398j -0.00120337+0.00241679j -0.00409194-0.00772221j -0.0011725-0.00333196j 0.00204881+0.00116255j -0.00201341-0.00631768j 0.000431003+0.000300336j 0.00267441+0.00249056j -5.99646e-05-0.00420762j 0.000296143-0.00309396j 0.00104415-0.00385852j 0.00308042-0.00192946j 0.00239464+0.00484713j 0.00259737-0.00115831j -3.86005e-05+0.0106934j 0.00124922+0.000975366j -0.00441538-0.00235465j 0.00348368+0.0091096j -0.00570311-0.0153525j 0.00511174+0.00996133j 0.00167881-0.0114744j 0.000438527+0.0252705j 0.00180488-0.00455261j -6.00589e-05-0.0210496j 0.000792288-0.038048j 0.00634194+0.00519218j 0.00424501-0.0192964j -0.00733923-0.00320288j -0.00108536+0.0135901j -0.0137465-0.084935j -0.00469058-0.0422726j 0.0100684-0.0179536j 0.0123183-0.0538919j 0.0147201+0.049979j 0.00455243-0.225509j -0.00310112-0.000737469j -0.00602521+0.00103112j -0.00353657-0.0229146j 0.00749383-0.00928549j -0.00229565-0.0123268j -0.00269664-0.00260798j 0.00201019-0.00499335j 
0.000929768-0.00170797j -0.00130844-0.00191967j 0.00384305+0.000535791j 0.00141864+0.00787515j -0.000422993+0.00412331j 0.000535682+0.00179716j 0.000331859-0.0057444j -0.00291405-0.00113729j 0.00218781-0.000388739j 0.000393571+0.00775187j 7.6292e-05-0.00267422j 0.00329301+0.00505066j 0.001104-0.00669033j -0.000266449-0.000809661j 0.00209293-0.00237298j -0.000159841-0.00598299j -0.00361986+0.000299159j 0.000425671-0.00115284j 0.0020866+0.00154063j 0.000810852+0.00256137j -0.00214272+0.00157586j -0.00210282+0.00391952j 0.000937055+0.00338047j 0.00104796+0.000167609j 0.000590074-0.00128237j -0.00053786+0.00160805j -0.000887411-0.000931474j -0.00025966-0.00200017j -0.00033469-0.00503393j 0.00130291+0.0069538j 0.00206678-0.000350103j -0.00492181-0.00868481j 0.0020319-0.00171704j 0.00109943-0.00737808j -0.00108724+0.0024952j 0.00063472+0.00523468j 0.000658494+0.000567153j 0.0024801+0.00617138j -0.00300713-0.000282363j -0.00126957+0.00445493j -0.00241058-0.00137119j 0.00110938-0.00335611j -0.000985182+0.00494396j 0.00264558-0.00857723j -0.00102881-0.0139827j -0.00269819-0.0114869j -0.000214715-0.00472068j 0.000101537-0.0158285j 0.00173358+0.000115855j -0.0047041-0.0140042j -0.00753582-0.0179263j -0.00388144+0.00116186j 3.50229e-06+0.0028272j -0.00446182-0.000811788j -0.00244104-0.0166898j -0.00280205+0.00999216j 0.00182924+0.0157223j -0.00247132+0.0342271j -0.00695685+0.00800583j -0.00750241-0.0443607j -0.00136908-0.038649j -0.0054752+0.0187991j -0.00566864+0.0137473j 0.011636+0.0241817j -0.000654397+0.0544035j -0.00664342+0.0395427j -0.00357893-0.0773994j 0.0160233-0.0224831j -0.00597862+0.220349j 0.00458936+0.00551125j 0.000516559-0.00466814j 0.00107809-0.00427566j 0.00267018+0.0113117j -0.000311821+0.0118663j 0.00542977-0.00443332j -0.000173776-0.00486634j 0.00307439-0.00118223j 
-0.000626529+0.000623128j 0.000597638+0.00110705j -0.00201789+0.000762752j -0.00138793-0.00414348j 0.000697544-0.0029606j 0.000639249+0.00554883j 0.00376734+0.00377005j 0.00198764-0.00454367j 0.000115252+0.00960771j -0.00417259-0.0078979j 0.00363082+0.000643338j -0.00224986+0.00207572j -0.00127109+0.00426279j -0.000261025+0.00242202j -0.000423833+0.000858753j -9.40806e-05-0.00737564j -0.003492-0.000939842j -0.00197933-0.0117536j -4.70783e-05+0.0003862j 0.0016742+0.00600226j 0.00144618-0.000249543j 0.000686544-0.00283566j 0.000987535+0.00192118j -0.00370175-0.00354231j 0.000414187-0.000495502j 0.00154712+0.00193489j -0.000365478+0.00084554j -0.000146153+0.00655632j 2.50411e-05+0.000600777j 0.000661957-0.00402037j -0.000531304+0.00423135j -0.000205973+0.000570821j 0.000586069-0.00388376j 0.00139134-0.000695752j 0.00190599+0.00295558j -0.00160708+0.00851401j -0.00354515-0.00327632j 0.00337374+0.0021489j 0.000401602-0.00310339j 0.000983521+0.00325685j -0.000989305-0.00439532j -0.0010086-0.00777059j 0.000838654+0.00844165j 0.00314419+0.00366843j 0.00264062+0.0118979j -0.00168555+0.00204682j 0.00159146+0.0021759j 0.000373726+0.00472157j 0.00340031+0.00970472j 0.00351748+0.00153252j -0.00340952-0.0252293j 0.00421106+0.00618819j 0.00151188+0.0111878j 0.000114334-0.00493425j -0.00223294-0.0398991j 0.00447909-0.0215809j -0.00880534-0.0189963j -0.00181837-0.0262321j -0.00440929+0.0140633j -0.00371863+0.023702j -0.00893587-0.0467432j 0.00653874+0.0162838j 0.00148771+0.0240825j 0.0106324-0.0319004j -0.00974989-0.0344479j -0.0113733+0.0317387j -0.00289823+0.0516424j -0.00867321+0.218855j -0.00563347+0.0166791j -0.00516336-0.00611463j 0.00175311+0.0166318j 0.00232255-0.00942079j 0.00417461-0.0046923j -0.00314566-0.00681664j -0.00534676+0.00786523j 0.00176892+0.000397251j -0.000641557+0.00303677j 
0.00172725-0.00264544j -0.00219966-0.00369192j 0.000891865+0.00570448j -0.00289898+0.000577281j -0.00117347-0.00182855j 0.000288664-0.00131047j -0.0002775+0.00062429j 0.000179462-0.00107654j -0.00221762+0.00165566j -0.00178774-0.00795465j 0.00203042+0.00337663j -0.00184184+0.00333368j 0.000969938+0.00435763j -0.000203399+0.000176878j 0.00140943+0.00304207j 0.00193854-0.00291149j 0.0012962-0.00753442j 0.00229055+0.00493038j -0.00046789-0.00140767j 0.00163248+0.00911453j -0.00182106-0.00557513j 0.000998933+8.68126e-05j -0.000890861-0.00120181j -0.00201362+0.00442741j 0.00301151-0.0102876j -0.000649887-0.00651498j -0.000279383-0.00134852j -0.00170284-0.000504835j 0.00290321-0.00298583j -0.00138266+0.00172208j 0.000411355+0.0102454j 0.000478873-0.00299297j 0.00212991+0.00248048j 0.000321169-0.00352992j 0.00249764+0.00268315j 0.00256278-0.000516972j -0.00186973+0.00237287j -0.00426578-0.00814126j 0.000461036-0.011348j -0.00375862+0.00620171j -0.003114+0.00763184j -0.000336003-0.00169701j 0.00326657+0.00560622j 0.00536475+0.00453524j 0.00549453+0.000354314j 0.00314858+0.0132971j 0.00113378+0.0121535j -0.00455943-0.00654691j -0.00269885+0.00128389j -0.0046168-0.0121097j 0.0067266+0.0259459j -0.000131015-0.0159898j -0.0015971+0.0169017j -0.00186538-0.0170009j -0.00499414+0.0162862j -0.00236976+0.0234243j 0.0015505-0.00102517j 0.0112651+0.0340416j -0.00153382+0.0265557j -0.000542332-0.00549509j -1.35435e-05+0.0268098j 0.00284051+0.0404007j -0.00786517+0.0316218j -0.000204778-0.021841j 0.00790802+0.00434441j -0.00533066-0.0953095j 0.0167185-0.210243j -0.00132026+0.0684585j -0.0104055-0.0195475j 0.00379433-0.000811585j -0.00509863-0.00658479j -0.00235588+0.01721j -0.00226543+0.000888333j 0.000112215-0.000641093j -0.000651503+0.000410405j 0.0023568-0.00431541j 0.00226225+0.00314039j 
