2.09773e-05+0.00388338j -0.00779218+0.0101221j 0.00668358-0.0383555j 0.00759232+0.00325284j -0.00319875+0.0201442j -0.00267273+0.00224117j -0.00352334+0.00768492j -0.000689439+0.00492742j 0.0116935-0.00968159j -0.00403984-0.00313436j -0.0101113+0.00148948j 0.00830714-0.00105058j -0.0172202+0.00278809j 0.00393473+0.0075586j -0.00116567+0.00349276j 0.000633978+0.00649717j 0.00384799+0.00345599j 0.00609333+0.00478555j 0.00515895+0.00159237j 0.000409676+0.00881443j 0.000760871+0.00614445j 0.00493084+0.00256647j 0.0211818+0.0178626j 0.000636853+0.00470244j 0.0181234-0.00628354j -0.00161664+0.0103854j -0.00843397-0.0131633j -0.000343375+0.00307938j 0.000942203-0.00208051j 0.00212153+0.00406463j 0.00787881+0.00133914j 0.00182643+0.00250821j -0.00218521+0.00083461j 0.00826409+0.00044593j -0.00400359-0.00267921j 0.00343182-0.00596777j 0.00510968-0.00561795j 0.00220459-0.00755019j -0.00380853+0.00104987j -0.00320495+0.000292422j -0.00174997-0.00141796j -0.0015171-0.0023708j -0.00163968+0.00523833j 0.00127182+0.000212612j 2.47937e-05-0.00441962j 0.00259676-0.0100995j 0.00794708+0.00014221j 0.00652982-0.00201691j 0.000512125+0.00454889j -0.00139392+0.00136821j 0.000363172-0.00183919j -0.00332769-0.00183646j -0.00304366-0.000127901j 0.00206529-0.0123931j 0.00160624+0.00228477j 0.000457049+0.00196777j -0.00346816+0.00418868j 0.00711961+0.00894374j 0.00563376-0.00495206j -0.00448781-0.000212982j 0.00521509+0.00184092j -0.00544576+0.0101015j 0.0092355-0.00300429j 0.00144825+0.0102521j -0.00681107+0.00698676j 0.00465262+0.00775834j -0.00143038-0.0113457j 0.0020332-0.0085236j 0.00307179-0.00176661j 0.00354314-0.00408861j 0.0036433+0.000333347j 0.00175177-0.000395294j 0.00454034+0.00764362j -0.00174415-0.00403071j -0.00213345-0.00463475j -0.00224635+0.000305397j 0.00299765+0.00396875j 0.00315195+0.00026101j 0.00247603-0.00186537j 0.00379224+0.00310571j 0.00013211-0.00201098j 0.00352078+0.00294053j 0.00644747+0.000666612j 0.00250863-0.00221952j 0.00236182-0.00051153j 0.00479283-0.00604612j -0.00146467+0.000625411j -0.00221158-0.00846421j -0.000690355-0.0114799j -0.00614547-0.00494925j -0.00296771+0.0104145j -0.00729763-0.00491987j 
-0.00549819+0.00189656j -0.00309655+0.00498423j 0.00411439+0.01554j -0.0025636-0.000155797j 0.0114522-0.0142053j 0.00755022-0.0110463j -0.0151885+0.00336353j 0.00752876-0.00618964j 0.0126362-0.00657015j 0.00749716-0.00587482j 0.010774+0.000348444j 0.0146518-0.00607004j 0.00695339+0.00336546j -0.00158096-0.00050163j 0.0129218-0.00817024j -0.00370649-0.00964494j 0.0171376+0.00441174j -0.0133955+0.00588355j -0.00179075+0.00300869j -0.00868461+0.00571333j 0.0110916+0.00532174j 0.0084125-0.0043984j 0.0130246+0.0107636j -0.00208717-0.00556558j 0.015073+0.0157081j -0.00524186+0.003962j 0.0140044-0.0156169j 0.00323456+0.011635j -0.002914+0.00336264j 0.00365208+0.00161145j -0.00123669-0.0161704j -0.000701991+0.00307514j -0.00151443-0.00067619j 0.00410072+0.0050373j -0.000778949-0.000738385j 0.000485753-0.0118833j -0.00336741+0.00228428j 0.00337874-0.00584869j -0.000678974+0.00137596j -0.00453646-0.00698557j -0.00270636-0.0131262j -0.00472629+0.000279354j -0.00901859-0.0126013j 0.000428414+0.0112672j -0.000482897-0.00368162j 0.00436498+0.00748936j 0.000811456+0.00391405j 0.00232375+0.0078227j 0.00109415-0.00199346j -0.00182935-0.00133252j -0.0019788+0.00240336j -0.00664379+0.00874516j -0.004613-0.00272586j 0.000995903-0.00518624j -0.00389441-0.00535337j -0.00252615+0.00417462j 2.39759e-05-0.00440555j 0.00645071-0.000806887j 0.0117701+0.00466943j 0.00252385+0.0110031j 0.000933218+0.0014595j 0.00232587+0.00584326j 0.00160171+0.0115933j 0.00235353+0.00151407j 0.00854067+0.0079496j -0.00154943-0.00464968j 0.00429837-0.0086417j -0.000951318+0.000921861j 0.000968466+0.00893302j -0.00251196+0.0049442j -0.000807535+0.0034083j -0.000834057+0.00112565j -0.00169901+0.00447938j 0.00076537-0.00163674j -0.000740187-0.00184368j -0.000225589+0.000859778j 0.000857313-0.00107567j -0.00393754-0.00202794j -0.000975358-0.00105533j -0.00620787+0.00287821j -0.00209675+0.00717679j 0.00201229+0.000561672j 0.00436463+0.00217867j -0.00122732+0.0017769j -0.00148011+0.00486896j -0.00494903+0.00491543j -0.00369356+0.000933263j 0.00053957-0.00976249j 0.00709563+0.00264506j -0.00064573-0.0139874j -0.00667913-0.00219182j 0.00168175-0.0110192j 
-0.00136811-0.00475499j -0.00190898+0.00504011j 0.00378997+0.0136121j -0.000379957-0.00249877j 0.00574723-0.00810507j -0.0119565+0.00567336j 0.00613614+0.000846834j 0.0119186-0.00544172j 0.0177965-0.00574335j -0.0111574+0.00721448j 0.00580176-0.00570135j -0.00519782+0.00483388j -0.0148098+0.00511419j 0.0192886+0.00100984j -0.00289396-0.00314404j 0.00693187+0.00147612j 0.00879417+0.0012296j 0.0005025-0.000555444j -0.00787072+7.15521e-05j 0.0135108-0.00183823j 0.0122622+0.00142152j -0.0307854-0.00806547j 0.0021287+0.00326421j 0.0112687+0.0124368j -0.00387825+0.00656863j -0.00718674-0.0030927j -0.00426269-0.0050077j 0.00223985+0.0119136j -0.00309581-0.0110838j 0.00921838+0.00173567j 0.00232721+0.00523176j 0.00282612+0.00420599j -0.00209189-0.0158667j 0.000407182+0.00031013j 0.000261797+0.00339286j 0.00292559-0.00282559j 0.00171959-0.000692402j 0.00477783+0.00808672j -0.000805388+0.00110874j -0.000529502+0.0100654j -0.000488348+0.00937734j -0.00134143+0.00632309j -0.00115845+0.00995445j -0.000370777-0.00773394j -0.00133605+0.000714462j -0.00278126-0.00872349j 0.00476567+0.0100379j 0.00336784-0.00194204j 0.000688106-0.00432009j 0.00109388+0.0029872j 0.00142258+0.00224631j -0.00329891-0.00251397j 0.000478396+0.00559653j 0.00095143-0.0111501j 0.00106078-0.00444571j 0.00257431-0.0146198j 0.00327724+0.0120094j -0.00221932+0.00726518j -0.002343-0.00560971j -0.00114896+0.0146033j -0.00396208-0.00538712j -0.000130319-0.00462238j 0.00710072-0.0105221j 0.000212392+0.00850136j -0.000686254+0.00589348j 0.000471942-0.00213475j 0.000226634-0.00705339j -0.00277522+0.00180834j 0.00154894+0.00113598j -0.00141052+0.00152334j -0.00377483+0.00575783j -0.000824919+0.000695907j 0.000489659+0.00371145j -0.00118621+0.000521535j 0.00107305-0.00101431j -0.000516913+0.000258362j -0.00192062+0.00120981j 0.00177354+0.000461897j 0.000949108-0.00368351j 0.00227219-0.00133621j -0.00118457-0.00259471j 0.000337848-0.00125201j 0.00316022-0.00439435j -0.000920897+0.000791453j -0.000496833-0.00297324j -0.00102857-0.000892761j -0.00144678+0.00934919j 0.00107099-0.00289649j 8.29518e-05+0.000338191j 0.000424869-0.00237123j -0.000390503+0.00319444j -0.000595313-0.00257066j 
-0.00192609-0.00511998j -0.00127226+0.00284444j 0.00324233+0.0224692j 0.00202334-0.00436683j -0.000922132-0.00540236j 0.00928302-0.00560282j -0.000667569-0.00180975j -0.00633541+0.00550757j 0.00345844+0.00106244j -0.0169846+0.00424272j -0.00487289-0.000303288j 0.0158808-0.00405182j 0.00199733+0.00390332j -0.0136899-0.000261338j 0.00990415-0.00100449j 0.0202464-0.00191626j 0.00609611-0.000997765j 0.0277232+0.00241926j 0.0184901+0.00136587j 0.0118917+0.00158255j -0.0171345+0.00438761j 0.00456376+0.00371525j 0.00662512+0.00389676j 0.00312461-0.00668649j -0.0113055-0.00656078j 0.00573762-0.000867824j -0.0039619-0.00391409j 0.00470006+0.00742075j -0.000771728+0.0032021j -0.000971824-0.00307807j 0.00484819+0.0140418j -0.00251723-0.00371362j 0.00182283+0.00421111j -0.000532158-0.00160275j -0.00292605-0.00183448j 0.00516754+0.00824885j -0.00273238-0.00343622j -0.000728766-0.00698218j -0.00105124-0.00300728j 0.000998233-0.00644203j -0.00110243-0.00582591j -0.000879052-0.0133901j 0.00106129+0.00695437j -0.000844793-0.00900819j -0.000289095-0.0144753j 0.00163625-0.0121405j 0.00160891-0.00320729j -3.09363e-05-0.0108326j -3.08657e-05+0.00860226j 0.00012409+0.0047782j 0.000112418-0.00434651j -0.00073628+0.00539558j 0.00198343-0.00319203j -0.00252754-0.000567865j 0.00175723+0.00131299j -0.00052626+0.0108427j -0.00509996+0.00297419j 1.74504e-05+0.00368928j -0.00109206+0.00198224j -0.000366507-0.0118722j -0.00147416+0.00531496j -0.00195254+0.00542652j 0.00140144-0.00555395j -0.00229569+0.00901432j 0.000180092+0.00191854j -0.000316177+0.00726371j -0.00124446-1.8252e-05j -0.000722966-0.00386441j -0.000216586-0.00220035j 0.00136671-0.0034821j -0.000572333-0.000699078j 0.00286921-0.00514699j -0.00255265+0.00262525j 0.000384625-0.00279385j 0.00059905-0.00299841j -0.00320957-0.000158744j 0.00140115+0.00241298j -0.00136361-0.00171438j -0.00453796+0.000849889j 0.000137254+0.00245698j -0.00103304-0.000237111j -0.00413651+0.00349676j 0.000232468-0.000903414j 0.0012743-0.00303189j -0.000308006-0.000299769j -0.00419574+0.00412779j 8.36359e-05-0.00200375j 0.00122232-0.00285343j 0.00271068-0.00462863j 0.00136019-0.00305897j -0.000957501+0.000122048j 0.00157297-0.00304553j 
0.000238045+0.000887673j 0.000375177+0.000740396j 0.00189148-0.00883235j -0.000243716-0.00285366j 0.00399165+0.00089681j -0.0156997+0.00945902j 0.00657406-0.000174322j 0.0136784-0.00829586j -0.00415173+0.00378423j -0.0125668+0.0011178j -0.00321618+0.00236096j 0.0156798+0.00129914j 0.00873565+0.00329801j -0.0201338+0.00389022j 0.0185385-0.00164902j -0.00299349+0.000781954j -0.0186047-9.23638e-05j -0.00301555+0.000962624j 0.0219856+0.00143689j -0.0132691+0.000614637j 0.0113057-0.000926161j -0.0214518-0.00742679j -0.00782525-0.00177381j 0.00564163+0.0120932j 0.00923518+0.00799209j -0.00936269-0.00348178j -0.000448028+0.00164908j -0.000365547+0.00359476j 0.00159128-9.89889e-05j -0.000580617-0.0168589j -0.00163394+0.000711945j 0.00103552+0.0161113j 0.00758054+0.0117349j 0.000877358-0.00205376j -0.00232354-0.0158843j 0.000868692-0.00342818j 0.0026245+0.000128857j -0.00572468-0.0105704j 0.00180712-0.00235757j 0.000941258+0.012601j -0.00106167+0.00193049j -0.00279199-0.0010867j -0.000837505-0.0111273j 0.00103296+0.00314339j -0.00106198-0.0122845j -0.000192305-0.00789904j 0.00107697+0.00445045j -0.000246868-0.00535936j 0.00319182+0.00213384j 9.94021e-05+0.00508825j 0.00101029-0.00527596j -0.00186803-0.000522297j -0.00179086+0.00706426j 0.0010875-0.000818946j 0.000961687-0.00381081j -0.00224057+0.0172335j 0.00224171+0.00325947j -0.000195642-0.00533691j -0.00197303+0.01264j 0.00208518-0.00378501j -0.00236198+7.63012e-05j 0.00218506-0.0134498j 0.00144294-0.00504746j 0.00237489-0.00488568j 0.00139725-0.00771111j 0.00119064-0.00427572j 0.00107584-0.00113733j -0.000869901+0.00729768j -0.00094343+0.00375853j -0.00282892+0.00390492j 0.00280502+0.000799731j 0.00162115-0.00272574j 0.000679517+0.00483759j 0.00103764-0.00089492j 0.000528509+0.00132533j -0.00177548+0.000452684j -0.000950155-0.00117364j 0.0033376+0.0011242j -0.00142677-0.000115062j -0.00156257+0.000579595j 0.00236063-0.00345554j -0.00105184+0.00395657j 0.00271542-0.00285595j 6.84646e-05+0.00105542j 0.000329007-0.00272828j 0.00141658+4.88066e-05j -0.00077441+0.00600077j -0.000174759-0.00069595j -0.000995073+0.00256295j -0.00042753+0.000243457j 0.000331971+0.000315935j -0.000685045+0.000677942j 
0.000456346+0.0106144j 0.00522576-0.00327239j 0.00291663-0.0225943j -0.00541667-3.67917e-06j 0.00383944+0.00156441j 0.00849165+0.0012248j -0.00481738-0.00366388j 0.00264405+0.00200856j -0.0173136+0.00841234j -0.0187607-0.00430795j 0.0278476+0.000793749j 0.00802338+0.00129143j -0.0111391-0.00681445j 0.00954687-0.00412151j -0.0149737+0.00126883j 0.0165705-0.00387163j 0.0166039+0.0018872j -0.00111692-0.00637203j 0.0138063+0.00122612j -0.00200652+0.000694153j 0.00636575-0.00928136j 0.00161155-0.00323475j -0.015275-0.00875614j -0.00765035-0.00775729j 0.0133595+0.00534401j -0.00314795-0.00261395j -0.00181736-0.00702203j 0.00624461+0.0160881j 0.00470091+0.00601768j 0.000954547-0.00569373j 0.00726849+0.00295156j -0.00265975-0.00164685j -0.00742078-0.00734507j -0.00115885+0.000203689j -0.000493732+0.00240188j -0.00343957+0.000882224j -0.00487646+0.0101327j -0.00202252+0.00183722j 0.0019482-0.0128048j -0.000957225-0.013174j -0.000228214-0.0110536j 0.000403823-0.00654424j 0.00102035+0.00973668j 0.000845011-0.0160253j 0.000512061-0.00429829j 0.0022827+0.000127206j -0.00691101+0.0086713j -0.0018911-0.000720191j 0.00136358-0.00550165j -0.00280563+0.00659844j 0.00214573+0.00104196j 0.00285521-0.00109104j -0.000901241+0.00540287j 0.00238686-0.00721382j -0.00269256+0.0015063j 0.00111188-0.00380864j 0.00217399+0.0010932j 0.00225367-0.00709001j 0.00197935+0.0116019j 0.000580311+0.00587616j -0.00101995+0.00984453j -0.000258637+0.00497095j -0.00337066-0.00860896j -0.00143042+0.00999659j 2.27647e-05-0.000345271j -0.00021182-0.00496985j 0.00394871+0.000149303j 0.00079395+0.00241228j 0.00250165+0.00218568j -2.73484e-05+0.00123526j -0.00103168-0.00164272j 0.00217083-0.00154267j 0.00249932+0.000218761j 0.000724722+0.00330727j 0.00056373+0.0033403j -0.00211854-0.000360588j -0.00222417-0.00408082j -0.000772873+0.000193243j -0.00115849-0.00167447j 0.00198019-0.00148977j -0.00226693+0.00247954j -0.00106177+0.0043951j 4.06388e-05+0.00269681j 0.000154707+0.000985625j -0.000634474+0.0043255j 0.00130904+0.00438589j -0.000486761-0.00201794j -0.000994078+0.00319585j -0.000393003+0.00564138j -0.000988368+0.0017897j -0.000337098-0.00296931j -0.000167638+0.00256869j 
0.00128865+0.0122991j -0.00358979-0.0102418j 0.00548552+0.00397782j -0.00231866+0.0116984j 0.000610203+0.00157711j -0.0033024-0.000604932j 0.000560318+0.00534343j -0.0015229-0.00825589j -0.0096457+9.22881e-05j 0.0049704-0.00415911j -0.0070258+0.011824j -0.00267058+0.000331146j -0.00178369+0.00999578j 0.00317617+0.0075193j -0.0164247-0.0018291j -0.0107664-0.0136334j 0.000875441+0.00604302j 0.0142255+0.00838491j 0.00549195+0.00750831j 0.00497075+0.0151688j -0.00386946+0.0116752j -0.00565609-0.00386343j -0.0228378+0.00117134j -0.000775457+0.00135101j -0.0142285+0.0101153j -0.017886+0.00063535j 0.0148506-0.00454536j -0.00639209-0.00521265j -0.00206851-0.0029596j -0.00774897-0.00533253j 0.00411851+0.000132251j -0.00488398-0.00647431j -0.00381822+0.00260525j -0.000283879+0.00950812j 0.00248706-0.00269468j 0.0026166+0.00471232j -0.00629554+0.00894803j 0.00298572+0.00406095j -0.00148416-0.00297349j -0.00219941-0.000475031j -0.000830689+0.00639369j -0.00333485-0.00352682j -0.00183642+0.000506402j -0.00603643+0.000789877j 0.000753436-0.00491507j 0.000478464+0.00128877j -0.0022361+0.00324822j -0.000127162+0.00453608j 0.00346003-0.00544905j -0.00196409-0.00277622j -0.00229867+0.0040545j -0.0034152+0.00730187j -0.00662037+0.0010497j -0.00164074+0.00572254j -0.00346659+0.00441413j -0.00269135-0.0104064j 0.00198314+0.00121112j 0.00374998-0.00613123j 0.0116213+0.00604441j 0.00186615-0.0063281j 0.000441187+0.00351847j 0.0086318-0.00548776j 0.00144027+0.00409725j -0.00223649+0.0127254j 0.0119273+0.00569391j -0.00671121-0.00279961j 0.0107845-0.00567185j 0.00511811-0.00352474j 0.00526186-0.00333032j 0.00308271-0.00137473j -0.00148374+0.000684651j -0.00106609+0.000320957j -0.00448892+0.00366302j 0.00321601-0.000179096j -6.45095e-05-0.000285229j -0.000913329-0.000242354j 0.00077835-0.0024744j -0.00443378-0.00205825j 0.0019141-0.00181621j -0.00272333-0.00157248j 0.00352212+0.000402744j 0.000596804-0.00222475j 0.0128055-0.00744258j 0.00251917-0.000229459j 0.0074566-0.00152708j -0.00302618+0.00291784j -0.0103553+0.00167376j -0.00223249-0.000580861j 0.0170753-0.0084549j -0.00997759-0.0042014j -0.0163366+0.00523263j -0.00322512-0.00740893j 
-0.00874242-0.00639943j 0.00178532-0.0040414j -0.00481034-0.0169845j 0.000860079+0.00239196j -0.00261503+0.0199835j -0.000496186+3.80236e-05j -0.00195916-0.00844153j 0.00159475-0.00818927j 0.011262+0.0070321j 0.00591782-0.00767179j -0.0105532+0.000425659j 0.00371158-0.00530107j -0.00541882-0.00140581j -0.00295428-0.00425157j -0.00218382-9.27655e-05j 0.0176925-0.0110422j 0.00133569-0.00663603j -0.00343628+0.00578395j -0.00349376-0.00313865j 0.00971859-0.0106695j 0.000694122-0.00695705j -0.0140636+0.00040216j 0.00715472-0.00794996j 0.00178459-0.000498086j -0.0189379-0.0011294j 0.00610984-0.0123704j 0.00129605+0.00225996j -0.00496641+0.00445457j -0.00489144-0.00269755j 0.000535563+0.000840503j 0.00121755+0.00126445j -0.00291049-0.000204785j 0.00431347-0.00578151j -0.00816586+0.00474694j -0.00168455+0.0113871j -0.00691026+0.00610777j -0.00707999+0.00384921j -0.00146785-0.0074049j 0.000980768+0.00459391j 0.000570087+0.00135832j -0.0033104+0.00196963j 0.000836363-0.0102946j -0.00114593-0.0162778j -0.00175141-0.000193484j 0.000712457-0.00827182j -0.00122145+0.00503392j -0.000883723-0.00560574j -0.00095066-0.00179626j 0.00104176-0.00152192j 0.0024655-0.0053838j -0.00296909+0.00314902j 0.00154202+0.020072j 0.0048426-0.000260941j -0.000465849+0.0105829j -0.00215728-0.0064354j -0.00138153-0.0046512j 0.00247595+0.00053355j -0.00135506-0.00905766j -0.000616684+0.000393125j 0.00496997-0.00220617j 0.00244232-0.00258801j 0.002838-0.0113314j -0.0105254+0.00531278j -0.0076393+0.00222953j 0.0120307+0.00916639j -0.00986314+0.00136834j 0.00592669+0.00688863j -0.00143697+0.00664895j -0.00751206-0.00496305j -0.0052526-0.000871474j -0.00558137+0.000744251j 0.00162337+0.00105141j -0.00990188+0.00176347j 6.73868e-05-0.00212795j 0.003238-0.00184015j -0.00113095+0.000713009j -0.00278113-0.00124814j -0.00530639-0.00410601j -0.00559908-0.00187891j -0.00382432+0.00336747j -0.000655827+0.000233732j -0.00350657-0.00558171j 0.000280941-0.00935162j -0.00112627-0.0020973j -0.00141925-0.00235802j -0.00877604+0.0143639j -1.2697e-05+0.00150403j 0.000699441+0.00344565j 0.0058908+0.00278015j 0.00855012-0.0062026j -0.000412113-0.0204684j 0.015698-0.00734182j 
-0.000488956-0.00355368j -0.00128541-0.00676644j 0.00208778-0.00590951j 0.000787251+0.0118235j -0.000464785-0.00598771j 0.000653726+0.0199648j -0.00452576-0.00675078j -0.00318025+0.0108462j 0.00649393+0.00421387j 0.00746025-0.00480176j -0.0021714+0.011291j 0.00199389+0.00316682j 0.00619234+0.0188296j -0.000787843+0.000780227j -0.00246665-0.0270942j 0.00247095+0.0042281j 0.00690782-0.0164765j 0.000801605+0.00700759j 0.00150811-0.00681249j 0.00407972+0.00128749j -0.00223144-0.00821671j 0.0113861-0.0196945j -0.000298181+0.000408063j -0.0101843+0.0102343j -0.00649279+0.0183556j 0.00230699+0.0065658j 0.00629651+0.00178897j -2.13405e-05-0.00140625j 0.00588001-0.00131444j 0.00699361-0.00278607j -0.00213189+0.00379386j 0.0047029-0.00197336j 0.00346638-0.00664243j -0.00129164-0.00305632j 0.00525104-0.00107105j 0.00443486+0.00305234j 0.00120068-0.00174359j -0.000781166-0.00183372j -9.92477e-05-0.00714472j 1.28657e-05+0.000743687j -0.00045339+0.000393636j -0.00346052-0.00426558j -0.00183531+0.00811889j -0.000529694+0.000956024j -0.00102288+0.000859401j -0.000439422-0.000988376j -0.000989071+0.00124217j -0.00207163+0.0134576j 0.00165687-0.000400456j -0.00394278-0.000731981j 0.0019955+0.00204608j -0.00384171-0.00933789j 0.000506576+0.00164739j 0.00837251-0.0067543j 0.00139022+0.00200509j 0.00291464+0.00268537j 0.00893227+0.00173828j -0.00333432+0.00581761j -0.00414231-0.000223343j 0.0109253-0.00528319j -0.00701277-0.00277919j 0.000492042+0.00190112j 0.000231872-0.00782689j 0.00674676+0.00100968j -0.00553059+0.00550802j -0.00350769-3.28731e-05j -0.00337625-0.000459159j -0.002573-0.0036213j 0.00384144+0.00380478j 0.0014093+0.000844635j -0.000451398+0.000732392j 5.62235e-05-0.00319028j -0.0020118+0.00111288j 0.000462294+0.00198028j 0.0023814-0.00270837j -0.00356011-0.00102387j 2.63274e-05+0.00321031j 0.00188059-0.000967973j -0.00102812-0.00102734j -6.53118e-05+0.000376142j 0.000903725+0.00102286j -0.000785708+0.0023991j -0.00302366+0.00379179j 0.000574189+0.000368756j -0.000606315-0.00376902j -0.00251822+0.00015686j 0.00428941+0.000815749j 0.00324268-0.0059261j 0.00489545+0.0023951j 0.00339079-0.00148302j 0.000471636+0.00340465j 0.00192798-0.000513544j 
-0.00498348+0.00467845j 0.00331112+0.00384374j 0.00344966+0.0129229j 0.000422681+0.00498748j -0.00656194-0.00126341j 0.00171275+8.98265e-05j -0.00289572-0.00327246j -0.0033285-3.34763e-05j -0.00446995+0.00662456j -0.00030433-0.013929j 0.00481907+0.0040676j 8.66385e-05-0.00402435j 2.78796e-05-0.0168697j -0.00261092+0.0092742j -0.00242809-0.0071606j -0.000734889+0.0156509j -0.00203285+0.00940795j -0.00896933+0.0117247j 0.000770298-0.0022681j -0.000336281+0.00278029j 0.00562563-0.00355995j 0.00183082-0.00061661j 0.000437705+0.0004521j -0.00870913+0.00390206j 0.00574365+0.00190363j 0.00329845-0.0025295j -0.00206696-0.00222289j -0.00170963+0.000415517j -0.00898049+0.00802379j -0.00207829+0.00718754j -0.00188643+0.00260937j -0.0112103+0.0109959j 0.00128111-0.0119935j -0.00420832-0.00759143j -0.00722934-0.00564094j -0.0128245+0.00261256j -0.000548881-0.0024638j -0.00130047-0.00534161j -0.0025087-0.00922834j -0.00583878+0.00815755j -0.00593969+0.00338211j 0.00331791-0.0107175j 0.0089129+0.0133258j 0.00893734-0.00276127j -0.00389085+0.0085213j -0.00521586-0.000606647j 0.0024293-0.0129563j 0.00176308+0.0197959j 0.00608441+0.00721827j -0.000636525-0.00458225j -0.00394896-0.011209j 0.00493557-0.00944078j -0.00269585+0.00287213j 0.00464303-0.0215583j -0.00166029+0.0095884j -0.00723088-0.00623162j 0.00282897+0.0116357j -0.00340805-0.00219548j 0.00227043+0.00747908j 0.00306984-0.00327314j 0.00826611+0.00482099j -0.00750261-0.000239539j -0.0024449+0.00268678j -0.00675729+0.00656505j 0.00588488+0.0051778j -0.000953469-0.00579242j 0.0103576-0.00125944j 0.00967989+0.0050919j -0.00894642-0.0131659j -0.00119506-0.00547995j -0.0018593-0.00231754j 0.00317713+0.00306177j 0.00134281+0.00782609j -0.00303277-0.00195407j -7.12414e-05-0.000415477j -0.00431309+0.000885896j -0.00155759-0.00174185j -0.00292375+0.00283025j 0.000476092-0.00715152j -0.000287296+0.0033845j -0.00179445-0.00263983j -0.00144664+0.0020171j 0.00371109-0.00763473j -0.00019727-0.001079j 0.00538725-0.000290322j 0.00806233+0.00116773j 0.00389931-0.00598578j -0.00171152+0.00307025j -0.00148983-0.00757787j -0.00357966-0.00110125j 0.0016024-0.0163013j -0.000310519+0.00240804j 
-0.000945749+0.00351741j 0.00133089+0.00225734j -0.0089399-0.00100139j 0.000575176+0.00361202j 0.00555678+0.00226006j 0.00318553+0.00416674j -0.00154338-0.00118923j -0.000591802+0.00269436j -0.000972482+0.00361334j 0.00149437-0.00306325j 0.00545597+0.00536844j 0.00356568+0.00129538j 0.000209076-0.00512799j -0.0011844+0.00882448j 0.00189847-0.00983493j 0.000515638+0.0103596j 0.00136717+0.00721975j -0.000521287+0.00832472j 0.00399457+0.00186387j 0.00052279+0.00843428j -0.00151098-0.00342757j 0.00302859-0.00559703j -0.00027494+0.00102499j -0.00395305+0.00619004j 0.000229751+0.00111461j -4.72256e-05+0.000683856j 0.00108394-0.00800364j 0.000161668+0.00578112j -0.00249182+0.00110187j 0.000239907+0.00243539j -0.00012608+0.0109642j -0.00356269-0.00181325j 0.00289668+0.00394573j -0.002223-0.00534031j -0.00262201+0.00952629j -0.00352077+0.0120803j -0.000926739+0.00310051j 0.00152987+0.0142018j 0.00351877+0.0200807j -0.00625566-0.013766j -0.00256016-0.00878665j 0.00183552+0.0426386j 0.000905113-0.00831616j 0.00225107-0.00946026j 0.000315414+0.00120189j -0.00445846+0.000633354j 0.000737042+0.0168626j 4.56052e-05-0.0394016j 0.00100399+0.0126017j -0.00899711+0.0242373j -0.00438244-0.00855917j 0.000519608+0.00600375j 0.00352696-0.0248769j -0.00312099+0.0149823j 0.00334174-0.00360036j -0.000713796-0.00246849j 0.000637121-0.00798843j -0.00594863+0.0108938j 0.00191393+0.000406417j 0.00027904+0.00616766j -0.000245673-0.0017724j -0.00242657-0.00465326j -0.00138113+0.00751011j 0.00114544-0.00554629j 0.00502251-0.00401158j 0.00157721-0.00544905j 0.0033366-3.07307e-05j 0.00272115+0.00336493j -0.00413133-0.00287307j -0.00383772+0.00291633j -0.00172069+0.00233553j -0.000168224+0.00259697j 0.00175879-0.00127159j 0.00370658-0.00372317j -0.001444+0.00139879j 0.00937069+0.00144438j -0.000168494-0.00258754j -0.00282211+0.000139023j 0.0018821+0.000293588j -0.00151513+0.00262838j -0.00146021-0.00185869j -0.00161768-0.00260334j 0.000213013-0.00168649j -0.00349617+0.0022676j 0.00148776+0.000682543j 0.000886058-0.00159274j 0.00165845-0.00167371j 0.00090441+0.0010178j -5.48025e-05-0.000634869j -0.000837133-0.000832642j 0.000274574-0.00582065j -0.000379824+0.00103428j 
