-0.0894107+0.104335j 0.0379578-0.013077j 0.0013294+0.0262086j -0.107085+0.0183463j 0.000388504+0.0446618j 0.0165031+0.0250692j -0.0815832+0.00337441j -0.0454225+0.0200177j 0.0134234+0.0270799j 0.0022386+0.0313975j 0.0517229-0.0258151j 0.0225044+0.0461198j -0.0541911+0.000217621j -0.0142939+0.00883189j -0.0194842-0.0137326j -0.01508-0.00436877j 0.0178833-0.00919656j 0.00156478+0.0195399j 0.0021702-0.0207058j -0.0311849-0.0116581j -0.0268419+0.0273277j 0.0216025+0.0199307j -0.0222385+0.0435078j 0.0199499+0.0214394j -0.00175093+0.000316959j -0.0323251-0.0139685j -0.0210328-0.013415j -0.0035869+0.0315763j 0.053867-0.0209949j 0.022611-0.0006889j -0.0341684-0.0225476j 0.00836768-0.0113467j -0.0134742-0.0108702j 0.0331157-0.0182272j -0.00928324+0.0318714j 0.0234066-0.010265j -0.0187263-0.0366763j 0.0305871-0.0229933j 0.010578-0.0133956j -0.018902+0.0284303j 0.0156547-0.0216118j 0.0119835+0.0153748j 0.0017829+0.0346985j 0.0157051-0.0169569j -0.0134022-0.0107017j -0.0768192+0.0490446j -0.0265829-0.000929502j -0.00535322-0.0231065j -0.0302798+0.0785336j -0.0794379-0.0348742j -0.126871-0.0931776j -0.0862201+0.0357749j 0.183939-0.395232j 0.254147+0.130826j -0.0203748-0.0726663j -0.224126-0.184726j 
0.0392344-0.0116965j 0.055396-0.106991j 0.0567781-0.0270947j -0.0394776+0.0312065j 0.0818676+0.00151933j 0.0444597-0.0337171j -0.0613967+0.0283957j 0.0598311+0.0278214j 0.046353+0.0289482j 0.0493467+0.00117383j 0.0208147-0.0132078j 0.0985636-0.0196281j 0.00278008+0.0341897j 0.0499857+0.0230812j 0.0105248+0.0101225j -0.0183125+0.0041119j -0.0456866-0.0124622j 0.0510216+0.0189325j -0.039654+0.00960079j -0.0252551+0.029685j 0.0185268+0.0146115j 0.0218027+0.00381639j 0.0768417+0.0196875j 0.0164-0.00209181j 0.0109974+0.01486j 0.00395529+0.0278449j -0.0185356+0.0120518j 0.0260032-0.0002618j -0.0415266-0.0546164j 0.00488436-0.0107659j -0.00969891+0.0317547j -0.0228062-0.0231452j 0.00831296+0.0264316j -0.00518-0.0528341j 0.0441649+0.0188001j 0.00210265-0.0147754j -0.0268533+0.0328751j 0.00585865-0.047284j 0.0217987+0.0200281j 0.0222819+0.000323889j 0.00486011+0.0128481j -0.0131374-0.00696842j 0.0173503+0.00581154j -0.0120907+0.00141663j -0.0305142+0.071973j 0.00881884-6.24621e-06j 0.0153503+0.045219j -0.0996703-0.0136868j -0.054638-0.00967596j 0.0703092-0.00822391j -0.0571526-0.0625428j -0.0557119-0.214095j 0.318467+0.113761j -0.262969+0.345177j 0.25703+0.180224j 0.00503202-0.0714246j 
0.0210314+0.06594j -0.0686934-0.126922j -0.0764143-0.052502j -0.0475754+0.00763941j -0.00661171+0.01241j -0.0103016-0.0202554j -0.0772627+0.0402597j -0.0161919-0.0618519j -0.00083896-0.0042493j 0.0593503+0.0105488j 0.0793475-0.043793j 0.0206409-0.00681657j 0.0303081-0.00976237j 0.0539187-0.011953j -0.0099403-0.0323322j -0.0529235+0.0161406j -0.023166+0.0545631j 0.0631175-0.0214277j -0.0317814-0.0255739j -0.0306275-0.0223252j -0.0382066-0.00126274j -0.0243004-0.011874j 0.0397956+0.0207245j -0.0154945+0.00612519j 0.050742+0.0103352j -0.0157419+0.00457451j 0.0339575-0.0210754j -0.00274135+0.0575197j -0.0772659-0.0233781j -0.00654694+0.000309355j -0.000710022-0.0270113j -0.0181278+0.037313j 0.00328242-0.0313776j -0.0223125-0.0205519j 0.00155624-0.0562612j 0.00161969-0.0171816j 0.00130782+0.0446349j 0.0507055-0.0151918j 0.0883987+0.0474787j -0.107947-0.0799917j 0.0544087-0.00309381j -0.0524181+0.0168708j -0.032168-0.0037199j -0.0242882-0.0556136j 0.02968-0.013106j 0.0418536-0.0272752j 0.0267934-0.0590835j -0.0912619-0.0781357j -0.152563+0.355497j -0.156256+0.0527531j 0.185573+0.036444j -0.252006-0.230461j 0.164441-0.0363553j -0.137447-0.258983j 0.180423-0.110322j 0.0805615+0.052379j 
0.0399016+0.134789j -0.0412252+0.0547597j -0.0689865-0.00623997j -0.0456038+0.0277595j 0.0433978+0.00115629j -0.0784458+0.0562935j -0.0914796+0.0311634j 0.0547329+0.00911945j 0.0707814-0.0549342j 0.0789051+0.0187582j 0.0790394-0.00152719j -0.00492003+0.0109974j 0.070697+0.0436684j 0.0311801+0.0174247j -0.00169999-0.00544139j -0.0580191-0.00655411j -0.0660967-0.0290108j 0.0913941+0.0206891j 0.0216114-0.0280034j 0.00321376-0.0364445j 0.0042496-0.0119196j -0.00823472-0.0530247j 0.00208382+0.0302223j 0.0106133-0.0253449j 0.0241336+0.0122209j -0.0138522-0.00956464j 0.041052+0.0344573j -0.0454619-0.00898827j -0.0870911-0.0499346j -0.0092031-0.0145474j 0.0120222-0.0185214j -0.0594158-0.00664123j 0.0473211-0.013172j -0.028841+0.000296942j 0.0334644-0.0297198j 0.0145857-0.0210505j 0.0281598-0.0278141j -0.0261453+0.026666j 0.0454711+0.0222739j -0.0189606-0.0278471j -0.00107188+5.44999e-05j -0.0226525-0.0439248j -0.00553725-0.00772628j -0.0240045-0.0839572j 0.0170289-0.0648677j -0.0523832-0.0582498j 0.0474677+0.0796731j -0.155683+0.189996j 0.161691+0.0552932j -0.0544904+0.220278j -0.0727459-0.221654j -0.405283+0.203923j 0.0374317+0.146134j -0.124082+0.0314719j 0.112146+0.026177j -0.0907805+0.112468j 
-0.0315508+0.0271368j 0.00305011-0.0573376j 0.0636959+0.0579394j 0.0483752-0.000488161j -0.0975465+0.0762791j 0.0805338-0.0725902j 0.0857996+0.0282306j -0.0687944+0.0336559j -0.0650947+0.0546781j -0.0739932+0.00753971j -0.0492198-0.019835j -0.0100091-0.0266746j -0.0641085+0.0365371j -0.0208885-0.00285113j -0.00180133+0.0062315j 0.0133431+0.0158115j 0.047889-0.0322112j -0.0537557+0.0112714j -0.00344339+0.0221578j 0.0478047+0.0123464j 0.00595305-0.00788185j 0.0280408+0.0357281j 0.0147662-0.0250269j -0.0267347+0.0227278j -0.0030376+0.0354467j -0.0266234-0.00025905j 0.0205225+0.0263164j -0.0129717-0.00474658j 0.090027-0.0749229j -0.018266-0.0075548j 0.051466+0.0122575j 0.0417691+0.00938353j -0.0281735+0.0230907j -0.0498896+0.00971446j 0.00881732+0.0427323j -0.0406023-0.0255986j -0.0448848-0.0820716j -0.0203532+0.0919034j -0.0758685+0.0491537j 0.110622-0.139253j 0.00442019+0.0643528j 0.0445443+0.0551872j 0.0101804-0.0599341j 0.0928406-0.0552396j 0.0427229+0.157651j 0.0180704+0.0596096j -0.0288443+0.1341j 0.0431627-0.140845j -0.201517+0.0925289j 0.0558207+0.106018j 0.232583-0.0999674j 0.0351877+0.155205j -0.240542+0.0972672j 0.196134+0.183774j 0.00221707+0.051791j -0.0723446-0.0421511j 
0.0044201+0.00433342j 0.0439485+0.0748465j 0.0334346+0.0277469j 0.0517338-0.104514j -0.0857349+0.125249j 0.0296743+0.0304328j -0.00489746+0.024166j 0.00175389+0.0468016j -0.032342+0.0480691j 0.0564275+0.00431986j -0.00403468-0.00123824j 0.0013388+0.00736822j 0.0172743+0.0469883j 0.0398298+0.0379922j -0.00411011-0.0296405j -0.0639565+0.00541845j 0.0269691-0.0713255j -0.00228862+0.0455589j -0.0497207+0.0157741j 0.0449648-0.00382632j -0.00362871-0.028357j -0.0195534-0.0135443j 0.0194102+0.0167529j -0.0551345+0.0217995j 0.00872529+0.0568046j -0.0114043+0.0358232j 0.0161677+0.0279526j 0.0345224-0.0153616j 0.0128186-0.0460274j -0.0189149-0.0295362j 0.0142938+0.0330846j 0.0159153-0.00911522j -0.0552814-0.015488j -0.00895325+0.0479051j 0.0478842-0.00325228j 0.0379901+0.0263492j -0.0268132-0.00198724j 0.00155711-0.055153j 0.0244834+0.0184679j -0.0399522+0.0123371j 0.0189427+0.044704j -0.0429975-0.00100292j 0.00799999-0.0348388j -0.00311783-0.129483j 0.0159707-0.191847j 0.0753773-0.0899437j -0.0923751+0.0156429j -0.128589+0.0411643j 0.0757002+0.0198799j 0.216566-0.0749187j -0.0673904+0.128624j 0.0897217-0.107052j -0.0110736-0.118781j -0.00573109-0.077227j -0.077513+0.0561072j -0.160696-0.0234669j 
-0.0886016-0.0969063j 0.0248656-0.0393806j 0.104201-0.0204896j 0.0383169-0.0794335j -0.0200793+0.0321227j -0.0201561+0.0333138j 0.0269378+0.000511956j 0.0698362+0.0151504j -0.0817827+0.0475668j -0.0171037+0.00975908j -0.00111708+0.000724916j -0.060486-0.024962j 0.0155757+0.00598307j -0.0401694+0.0216105j 0.0678209-0.0359686j 0.0266314+0.00290303j 0.0259548+0.00360804j -0.0773594-0.00176876j -0.0215608-0.00862808j -0.00785965+0.0162743j -0.0267762-0.0212045j 0.0145554+0.0337616j -0.0866655-0.0257435j -0.0482208-0.00989218j -0.0559705+0.00929771j -0.0128579+0.0249861j -0.0177307-0.0117771j -0.026937+0.0113442j 0.0399259+0.0235417j 0.0313932+0.00010059j -0.0666971+0.000516126j 0.00714567-0.0101177j 0.00211145-0.0453318j 0.0428448-0.00305627j 0.00520389+0.0577305j 0.0346824+0.0385802j -0.0341094-0.0626363j 0.0396509-0.0122594j -0.0532911+0.000209879j -0.0118759+0.023619j -0.11291-0.0142481j -0.0165675-0.057718j 0.0202787+0.0780089j -0.0292544+0.100015j -0.0988599+0.147063j -0.0357382-0.0411521j -0.171556+0.0713874j 0.192999-0.0482746j -0.159114-0.00798409j -0.027727+0.164574j 0.0367163-0.00788699j -0.0378197+0.0254276j -0.138765+0.0292895j 0.0893029-0.0359909j -0.244978+0.0277254j 0.00383728-0.128883j 
0.0498501+0.0737213j -0.0703269-0.0468836j 0.0190422-0.0609976j -0.0083369-0.0673943j -0.00863813+0.0659294j -0.0089934+0.0311288j 0.0305981+0.0332704j 0.0021587-0.0288498j -0.00319053+0.0141311j -0.017351+0.0317179j -0.0273567-0.0435363j 0.00377162-0.0118739j -0.0114097+0.00964008j -0.0436303-0.0654511j 0.0429294-0.04639j -0.0166722+0.00475815j -0.00739807-0.0546351j 0.00312005+0.0163469j 0.0635431+0.00567364j 0.054691-0.016911j 0.0399254+0.000101353j 0.0106753+0.0680773j 0.0213125-0.0275353j -0.00681051-0.00715193j -0.035116-0.015859j -0.0578607-0.0554536j 0.0315712+0.0344185j -0.0747161-0.0180176j 0.00880965-0.0516125j -0.00905164-0.0456574j -0.00171206-0.00519252j 0.00471462-0.00722745j 0.0376334-0.039762j -0.040467-0.0197077j -0.055141+0.0287831j -0.0517567+0.00854406j 0.00697466-0.064963j 0.0171697-0.0329726j -0.0234251+0.02778j 0.0241982-0.0996936j -0.0245366-0.0234767j 0.0270489+0.147986j -0.0323544+0.129808j 0.0767358-0.161099j 0.165595-0.102823j 0.157235-0.0466225j -0.0577937-0.0740471j -0.139493-0.0758812j 0.0544201-0.00384443j 0.072866-0.0349373j -0.00969335-0.0821926j 0.116202+0.0143045j -0.0672643+0.0688609j 0.014537+0.0225877j -0.0823774-0.0661344j 0.0361465-0.110539j 
-0.0465973-0.00195596j -0.025089-0.0216907j 0.0929596+0.0888307j 0.0679715-0.0289314j -0.0831305+0.0196934j 0.0210077-0.0537193j 0.0945886-0.0642773j -0.0187232-0.04072j -0.0674796+0.0161337j -0.0998732+0.0843966j 0.0410109-0.0548121j -0.0724013+0.114612j -0.0337561-0.0082673j -0.0423658+0.0643446j -0.0388782+0.0320865j 0.0590839+0.00340744j 0.035891+0.044001j -0.0362009+0.00474143j -0.0331867+0.00631454j -0.0373301+0.0600368j 0.00296009+0.0776378j 0.0451863+0.0385198j -0.0376418+0.0828338j 0.012083+0.0462609j 0.0189126+0.0342812j -0.0140019-0.0108742j 0.0157209+0.00035881j 0.00734949-0.0619918j 0.0633269-0.0260046j 0.0485429+0.0093759j -0.0247633+0.0578351j -0.0173087-0.0248552j 0.00326289+0.0685656j -0.00739467-0.11621j -0.00291789+0.174223j 0.0247948-0.115972j -0.0122247-0.0974336j -0.114877+0.0833532j -0.0863536+0.0886129j 0.0566981-0.023973j 0.0405582-0.033537j 0.0121281-0.0816165j 0.0460013-0.0845245j 0.0579646+0.101394j 0.0593155-0.00113673j 0.204157+0.0522089j 0.0233169-0.0460797j -0.0214693+0.0993942j 0.024914-0.0252253j 0.0739528+0.0487459j 0.00626369-0.0303848j 0.0775303-0.0493391j -0.0768433-0.192106j -0.0416676-0.0168713j 0.0924883-0.117542j 0.0717804+0.0527035j 
0.0428222+0.0011443j -0.00347628+0.00480734j -0.0493977-0.0417927j 0.000737023-0.00564147j -0.00217763-0.00526001j -0.0196564-0.0840821j -0.0738508-0.00968138j -0.00952247-0.0412708j 0.08846-0.081021j 0.0894179-0.0269518j 0.00831934+0.0714903j 0.0442521+0.0325436j 0.0163317-0.011889j 0.0179519+0.00440078j -0.0425843+0.0251971j -0.0979554+0.0325732j -0.06405+0.00759967j 0.0673174-0.015194j -0.0219054-0.00556223j 0.0911167-0.044568j 0.0264583-0.0170348j 0.0220989-0.0052893j 0.048883-0.0455964j -0.000929859-0.00410947j 0.0517622+0.00755573j -0.0309538+0.0103029j 0.0696576+0.0117035j 0.0139438-0.00123889j -0.00427505+0.000592032j -0.0239201+0.0476303j 0.0752129+0.0101924j 0.0151543+0.0664229j 0.0441338-0.0870036j -0.0214078+0.0997014j -0.0079192+0.0545039j -0.0758083+0.0676941j -0.134226+0.0327667j 0.0539479+0.102849j 0.0540445-0.0628187j -0.148048+0.014594j 0.0438761-0.275856j -0.23963+0.0781622j -0.0920935+0.0898534j 0.014431+0.0556476j -0.0221484-0.0601181j -0.0511527-0.0229722j -0.00204593+0.154832j -0.0377684+0.0291505j -0.106945+0.0118277j -0.0241269-0.0368969j -0.0216462-0.0394106j -0.0279983+0.0563527j 0.0170634-0.12753j -0.177473+0.0172222j 0.114245+0.194055j -0.218983+0.131798j 
-0.024047-0.0449066j 0.0362612+0.00844434j 0.0212841-0.100964j -0.00573977-0.131914j -0.0560458+0.0701169j 0.0735068+0.0662254j 0.0217176-0.0671797j -0.042198+0.0317467j 0.0488626+0.0129292j -0.015901+0.0456545j -0.0413953-0.0194624j 0.0375926+0.0584628j -0.030885+0.028632j -0.0266744-0.00375206j -0.0396524-0.0136746j -0.0299848-0.0220733j -0.0173272-0.0695095j 0.00619841+0.0766649j 0.0573516+0.0116922j 0.025465-0.00414783j 0.0312649-0.0190428j -0.00229672+0.0327071j 0.00743334+0.0253538j 0.0419783-0.026662j 0.0349106+0.0349271j -0.0626785+0.016075j 0.0452201+0.00328257j 0.0391852-0.00046961j 0.0617331-0.0532769j 0.0358076-0.0388891j -0.052522-0.0163084j -0.0526464-0.0728295j 0.00490952+0.0120895j -0.026813+0.0548027j -0.0138713+0.0427055j 0.0373068+0.082727j -0.115968+0.0592064j -0.0510442-0.0158176j -0.0398268+0.118785j -0.028393-0.0186897j 0.179655+0.0283915j 0.129845-0.175687j -0.199077-0.126829j -0.0390609+0.0478706j -0.213636+0.0656985j 0.0339967+0.13581j -0.0678092-0.0389389j 0.00437939+0.145398j -0.100138+0.0292114j 0.045833+0.0615377j 0.0819254-0.0980067j 0.114247+0.0929333j -0.0022536+0.106334j 0.147297-0.0372705j 0.129508-0.190617j 0.152664+0.256894j 
