-0.0152754-0j 0.206564-0j -0.00341569-0j -0.000360045-0j -0.00432054-0j 0.0456799-0j -0.000881927-0j -0.000161017-0j 0.00680956-0j -2.4003e-05-0j -1.6002e-06-0j -0.0145146-0j 0.128393-0j -0.00313551-0j 0.0234412-0j -0.00404793-0j 0.0547387-0j -0.000905145-0j -9.54106e-05-0j -0.000809586-0j 0.00855953-0j -0.000134931-0j -2.46349e-05-0j 0.000902254-0j -2.8446e-06-0j -1.60275e-07-0j 
0.00483051-0j 0.00072009-0j -0.0317337-0j -0.0102628-0j -0.019257-0j 0.133351-0j -0.00814054-0j 0.0888165-0j -0.00212588-0j 0.0132414-0j -4.53235e-05-0j 0.00458992-0j 0.000905145-0j -0.0291307-0j -0.0098755-0j -0.018042-0j -0.00268954-0j 0.118525-0j 0.0383315-0j -0.0074728-0j 0.0517476-0j -0.00188954-0j 0.0206156-0j -0.000377687-0j 0.00196816-0j -5.30461e-06-0j 
-0.00072009-0j -0.000107345-0j -0.000161017-0j -1.69727e-05-0j 0.00901935-0j 0.00212588-0j -0.0531115-0j -0.00969679-0j 0.119288-0j 0.0843192-0j 0.0296057-0j -0.000684225-0j -0.000134931-0j -0.00014781-0j -2.46349e-05-0j 0.00845026-0j 0.00125969-0j 0.00188954-0j 0.000199175-0j -0.048755-0j -0.0114917-0j 0.106026-0j 0.0193577-0j 0.0706588-0j 0.0258681-0j 0.00524229-0j 
0.0135772-0j 0.00202397-0j -0.183757-0j 0.000320017-0j 0.0038402-0j 0.000905145-0j -0.0474459-0j 0.000143116-0j 0.000134931-0j 2.13345e-05-0j 1.4223e-06-0j 0.000730077-0j -0.00871427-0j 0.000157715-0j 2.62858e-05-0j 0.000203609-0j 3.03522e-05-0j -0.00275569-0j 4.7991e-06-0j 4.07218e-05-0j 9.59821e-06-0j -0.000410795-0j 1.23912e-06-0j 1.01174e-06-0j 1.43082e-07-0j 8.06174e-09-0j 
-0.00247884-0j -0.000369524-0j 0.0331234-0j -0.312944-0j -0.000701122-0j 0.0098755-0j -0.000143116-0j -0.0450807-0j -2.46349e-05-0j 0.000232768-0j -2.59675e-07-0j -0.000133293-0j -2.62858e-05-0j 0.00172073-0j -0.00827987-0j -3.71737e-05-0j -5.54153e-06-0j 0.000496732-0j -0.00469303-0j -7.43474e-06-0j 0.00010472-0j -1.23912e-06-0j -0.000390317-0j -1.84718e-07-0j 1.56108e-06-0j -1.47187e-09-0j 
-0.00404793-0j 0.0547387-0j -0.000905145-0j -9.54106e-05-0j 0.0161372-0j -0.170615-0j 0.00682171-0j 0.00124547-0j -0.0799102-0j 0.000377687-0j 3.79808e-05-0j -0.000217667-0j 0.00192543-0j -4.70214e-05-0j 0.000351534-0j 0.000855601-0j -0.01157-0j 0.000191318-0j 2.01667e-05-0j 0.000354381-0j -0.00374678-0j 8.96071e-05-0j 1.63599e-05-0j -0.00080342-0j 3.17691e-06-0j 2.51559e-07-0j 
0.000905145-0j 0.000134931-0j -0.00594628-0j -0.00192305-0j -0.0074728-0j 0.0517476-0j 0.0207107-0j -0.225962-0j 0.0114917-0j -0.109245-0j 0.000631047-0j 4.86718e-05-0j 9.59821e-06-0j -0.000308904-0j -0.00010472-0j -0.00039621-0j -5.90635e-05-0j 0.00260287-0j 0.000841779-0j 0.0010759-0j -0.00745039-0j 0.000578025-0j -0.00630648-0j 0.000176339-0j -0.00123502-0j 5.03008e-06-0j 
-9.54106e-05-0j -1.4223e-05-0j -2.13345e-05-0j -2.24885e-06-0j 0.00160239-0j 0.000377687-0j -0.0144014-0j -0.00262933-0j 0.0706588-0j -0.139717-0j -0.170699-0j -5.13046e-06-0j -1.01174e-06-0j -1.10831e-06-0j -1.84718e-07-0j 8.49593e-05-0j 1.2665e-05-0j 1.89975e-05-0j 2.00251e-06-0j -0.000748142-0j -0.000176339-0j 0.0035541-0j 0.000648887-0j -0.00662577-0j -0.00546098-0j -0.00231001-0j 
-0.00881302-0j -0.00131377-0j -0.00197065-0j -0.000207725-0j 0.190426-0j -0.000587535-0j -0.00050882-0j -9.28974e-05-0j -8.75845e-05-0j -1.38483e-05-0j -9.23222e-07-0j 0.00742629-0j 0.00146448-0j -0.122555-0j 0.000267377-0j 0.00207109-0j 0.00030874-0j 0.00046311-0j 4.88161e-05-0j -0.0316436-0j 9.76322e-05-0j 6.90364e-05-0j 1.26043e-05-0j 1.02913e-05-0j 1.45542e-06-0j 8.20034e-08-0j 
0.00207725-0j -0.0280899-0j -0.0136463-0j -0.00441327-0j 0.000587535-0j 0.1825-0j 0.00011993-0j -0.00130849-0j -0.000926007-0j -9.58967e-05-0j 2.17606e-07-0j -0.00175039-0j 0.0154836-0j 0.0111092-0j -0.168932-0j -0.000488161-0j 0.00660122-0j 0.00320694-0j 0.00103714-0j -9.76322e-05-0j -0.0303265-0j -1.6272e-05-0j 0.000177534-0j 0.000108808-0j 1.00784e-05-0j -1.93284e-08-0j 
0.0025441-0j 0.000379252-0j -0.0344325-0j 5.9965e-05-0j -0.0101422-0j -0.00239053-0j 0.259504-0j -0.000782769-0j -0.00111964-0j -0.000237374-0j -2.38707e-05-0j -0.00214378-0j 0.0255884-0j -0.00046311-0j -7.71851e-05-0j 0.00842675-0j 0.00125619-0j -0.11405-0j 0.00019862-0j 0.00349027-0j 0.000822665-0j -0.0534171-0j 0.000161128-0j 0.000176404-0j 3.12891e-05-0j 2.47759e-06-0j 
