0.00708592-0.0250947j 0.0065764+0.0472556j -0.0536098-0.00449621j 0.0125305+0.00639879j 0.00384627+0.0115689j 0.0124868-0.0170479j -0.00965216-0.0410551j 0.0184373-0.0214392j 0.0445299+0.0132181j -0.0244981+0.0508755j 0.00563538+0.0101252j 0.00163504-0.0100621j 0.0154599-0.0188521j 0.00122642-0.00142581j -0.0332426-0.0118967j -0.000964871+0.0277619j -0.0264321+0.010934j -0.0313216+0.0135014j 0.0264426+0.00131469j -0.0293342+0.0351771j -0.0555863-0.000555194j 0.0345763-0.0105371j 0.0193348-0.000763496j 0.0251465-0.0067592j 0.00335915+0.0146576j 0.0385275-0.0274205j 0.0303187+0.0169798j 0.0111313+0.00974544j 0.0658385-0.0253658j 0.0232005-0.0124035j 0.00690328-0.0104421j -0.0101755-0.044863j -0.0359701-0.026646j -0.00101395-0.0437584j 0.0182587+0.0072786j -0.0205304-0.00536639j 0.0194475+0.0053124j -0.008036-0.036999j 0.0211289+0.027082j -0.00752191-0.0193141j 0.016549+0.0246048j -0.00906796-0.00251111j 0.027764+0.0192386j -0.0201543+0.0022606j -0.00134955-0.0358422j -0.0149436-0.0156772j 0.0104739+0.0175989j -0.00527821-0.0161716j -0.0176134-0.0393639j -0.000285162-0.0249004j 0.0126697-0.0424067j -0.00905625+0.0150301j 0.0139417-0.0107538j -0.0220945+0.0776665j 0.00415903+0.0303838j 0.02922+0.0130017j 0.0244072-0.0100752j 0.0337136-0.0087023j 0.00455338+0.0207555j 0.0119663+0.0144682j -0.00207837-0.0134963j 0.00527512-0.00199703j 0.00512898-0.00442243j 0.00408241+0.0076879j 0.0021848-0.0014446j 0.00386711-0.00418843j 0.00424507-0.0080849j 0.00516263+0.00560423j -0.00130449+0.00128741j 
-0.476976+0.0354075j 0.0442973+0.0194577j -0.0714588-0.0080096j 0.0385626+0.0315632j 0.0138499+0.0885185j 0.0657613-0.00666564j 0.123859+0.000851774j -0.038512+0.122068j -0.0991106+0.0330436j -0.0983816-0.0658703j 0.0325725+0.0332771j -0.0169494-0.0172464j 0.0146873+0.00159955j 0.0230549+0.0188839j -0.00936995-0.0101387j -0.0169972+0.0351565j 0.0130003-0.0174449j -0.0116086+0.0518935j -0.00831446+0.0222329j 0.00864676-0.0395991j 0.0109229-0.0292783j 0.0279097+0.0196791j -0.00569101+0.00494386j 0.0163448-0.0149107j -0.0019107-0.0545314j 0.0130964+0.0285998j 0.0367573-0.00755143j 0.00427692-0.00832457j 0.00444876-0.00114653j 0.0348513+0.0168193j 0.000819904+0.0118407j 0.0238632+0.0300873j 0.0997238-0.0283111j 0.0944625+0.0107338j 0.0199816+0.0600404j 0.00802532-0.0595524j 0.054287+0.0152569j 0.0160264+0.00164024j 0.0190967+0.0132245j 0.0366863-0.00253595j -0.014028+0.00606844j 0.00610756-0.0017173j -0.0228277+0.0275139j 0.0319291-0.0220719j 0.00513531-0.0031919j -0.0159253-0.026562j 0.0225809+0.0266256j -0.024583-0.0178457j -0.00271129-0.00681372j 0.00597605-0.0115047j 0.00720391+0.00994613j -0.0250058-0.0153395j 0.0279771+0.0305514j -0.0234627-0.00871806j -0.0371133+0.0229301j -0.0282443+0.00143509j -0.0529252+0.0782083j 0.0441811+0.106502j -0.0486781+0.0136393j -0.0400226+0.0293646j 0.00967925-0.0317442j -0.00838203-0.000994791j 0.0146525-0.00861125j -0.0124023+0.00938531j 0.000406651-0.0113841j 0.00865525-0.0199916j 0.0207445+0.0340686j -0.0182878+0.0196336j -0.00208939-0.00832437j 
-0.10221-0.0053886j -0.0403531-0.0151713j 0.0349324+0.028709j -0.0628913-0.0708471j -0.0448319-0.0125474j 0.0348002-0.0869587j -0.0760416-0.124744j -0.171701+0.0488541j 0.0189805+0.103503j 0.10576+0.0332556j -0.0676539-0.0260598j -0.00814447+0.0226883j -0.0277434-0.022823j -0.0762112-0.0079246j 0.041517+0.0553039j -0.0275385+0.00931478j 0.0722384+0.0121346j 0.00769693+0.0209285j 3.34107e-05-0.0212648j 0.00791797+0.059106j 0.0156211+0.0688056j -0.036671-0.119823j -0.0276265-0.0488239j 0.020911-0.0343864j 0.035048+0.00857274j -0.0125151-0.0793183j 0.0680909-0.0629203j 0.00687757-0.0213419j -0.00255754-0.0573899j 0.0240912-0.0904418j 0.100814-0.0070684j -0.0305617-0.0353679j -0.0344193-0.037894j -0.0208006-0.0986607j 0.0136714-0.0292775j 0.0096824-0.0441727j 0.00875874-0.039243j 0.0148809+0.00912154j 0.0046867-0.0298862j 0.0141573-0.00800446j -0.0131322-0.00983704j 0.0407428-0.000719168j 0.00466707-0.0214953j 0.0407694-0.00581887j -0.0467762+0.00512943j 0.0424784+0.00532159j 0.0396985-0.0136101j -0.0172731-0.00950093j -0.0292765+0.0134012j 0.0241868+0.00211632j 0.0148147+0.00220886j 0.0242142+0.0145592j 0.0175719+0.00736301j 0.0204329+0.0321494j -0.0111432+0.0184017j -0.0126477-0.0140111j -0.00446915+0.0371931j 0.0267345+0.0128912j -0.0055378+0.0219588j -0.00460928+0.016245j 0.00230997-0.0156479j -0.000372445+0.00879497j 0.000520492-0.0173892j -6.92893e-05+0.00591686j -0.00422947+0.00627095j -0.00122454-0.0152248j 0.00534935-0.000561014j -0.00143954+0.00735322j -0.00136144-0.000236611j 
0.633074+0.00500289j -0.162502+0.0595721j -0.0104412-0.0712684j 0.0971183-0.0335093j 0.0218684+0.0960237j 0.15493-0.0337151j 0.0946979-0.0228515j -0.0693691+0.104878j -0.0893493-0.00728578j 0.0698066-0.0882373j -0.0118878+0.0315946j 0.0310332+0.0117223j 0.010313-0.0148035j -0.00252487-0.0286975j -0.0306899+0.0289855j -0.00712674+0.0105189j 0.0305923-0.0183624j -0.0110224+0.00860711j 0.0118213+0.0233304j -0.0213059+0.0555269j -0.0451784+0.00705026j -0.0182089-0.0424078j -0.0108491-0.00546334j 0.0311267-0.0349024j 0.0067253-0.0429862j 0.011363+0.00246566j 0.0102178-0.0335529j 0.0109107+0.0223593j -0.0809083-0.030036j 0.0119435-0.00599436j 0.00572782+0.0178652j 0.0296353+0.0165389j -0.0267669-0.0423644j 0.000206281-0.0194156j -0.00373479-0.00234752j -0.0177713+0.0141974j -0.0219201+0.0461451j -0.0085619+0.00559708j 0.00727799+0.0239903j 0.00938582+0.0164324j -0.0115927+0.00702053j 0.024048-0.0179263j -0.0152846+0.0517401j -0.00282894-0.0515699j -0.0607068+0.00249962j 0.00843962-0.0467884j -0.0259719+0.00440468j 0.0225212-0.00954452j -0.0240485-0.0149851j 0.00891306-0.0141107j 0.00986966+0.0007202j 0.00957534-0.0403273j 0.0179545+0.00861607j -0.0300091-0.0543229j -0.0378002-0.00367017j 0.0165969+0.0229097j 0.0176902+0.00566289j -0.033548+0.0282416j 0.0115183-0.00132444j -0.0030652+0.00980864j 0.00872393+0.0184863j -0.00352453-0.0084793j -0.00735016+0.0239421j -0.0055074-0.000387058j -0.000116308-0.00342294j -0.00351864+0.020218j -0.00914044-0.009414j 0.00219088+0.00173324j 0.000142159-0.000134566j 
0.227552-0.00637331j -0.061886-0.0290384j 0.0954408+0.0296287j -0.0379823+0.00668576j 0.03492-0.0388759j -0.0448222+0.0652237j -0.0863837-0.0663085j 0.0130689-0.0194736j 0.101379+0.0145674j -0.0643238+0.0676722j -0.0271119-0.0216079j 0.0205247-0.0257073j 0.023622+0.0372029j -0.00703568-0.051403j -0.00253498-0.0607288j 0.0151189-0.0309307j -0.0291611-0.0218873j 0.00350971-0.0167482j -0.00297607+0.0112651j -0.0639948-0.0500094j 0.00688792-0.0719382j -0.0160638+0.105012j -0.0143536+0.100429j 0.00172771+0.112804j -0.0425495+0.0149637j 0.0321432+0.0425212j -0.0662357-0.00736998j -0.0202756-0.035273j 0.00915543+0.0962655j -0.00234872+0.0464827j -0.0123091+0.0651738j 0.0282803+0.000727503j -0.023457-0.000221265j 0.00844138+0.0296842j 0.00166368+0.0354071j 0.00322131+0.0211939j 0.0217715+0.00288179j -0.0116062-0.0108084j -0.00507314+0.00424201j -0.0162737-0.0161308j 0.0164222-0.0221872j -0.0375851+0.0323668j 0.00435673-0.0652512j -0.0116299+0.0103733j 0.0565682-0.00608615j -0.00677767-0.0944911j -0.00218026-0.0191511j -0.00853748+0.0307441j 0.0293033+1.17705e-05j -0.0088077-0.0206956j -0.029732+0.00612718j -0.0144526+0.0572051j -0.0294917+0.000702406j 0.0444047+0.0164532j 0.0429147-0.00512925j -0.00800383-0.0219813j -0.00522045-0.0343864j 0.00649354-0.0169147j 0.00371813-0.0113571j 0.00870029-0.0150844j -0.00692992-0.00254108j 0.00263586+0.00353678j 0.00429513-0.00738581j 0.00783397-9.71828e-05j -0.000467555-0.00322314j 0.000807136-0.00861615j 0.00334199+0.00516157j 0.00283649-0.00533009j -0.000295511-0.000189212j 
0.0916693-0.0120609j 0.0480754-0.041377j -0.118678-0.0506651j -0.029947+0.0605368j 0.174196+0.00210479j -0.0598868+0.13366j 0.0677856+0.138441j 0.0434202-0.0367251j 0.0217075-0.0928982j -0.0410772-0.0129934j 0.0924502+0.0250037j -0.0397635+0.0664845j -0.0158268-0.00265935j 0.100298+0.0163953j 0.00193253+0.0453115j 0.0476866-0.00748201j 0.0361763+0.0688109j 0.0256051+0.0529342j -0.0202632-0.0446263j 0.0554942+0.0663867j -0.0411731+0.0791202j 0.000352765-0.0771106j -0.00295523-0.0193402j 0.0529168-0.119595j 0.0111804+0.00483815j -0.0251706-0.0420527j 0.00466662+0.00577661j 0.0860704+0.0278801j 0.0242117-0.114096j -0.00374326+0.00506873j -0.0354962-0.0259455j -0.0341029+0.00193439j 0.0254125-0.0230596j -9.24919e-05+0.000187615j -0.0108492-0.0382813j 0.0115601-0.0274125j -0.0313269-0.0236257j 0.00519739+0.00550587j 0.0130812-0.0296867j 0.00291117+0.018083j -0.0101504-0.00131158j 0.0156673-0.0191338j -0.00849817+0.00675263j -0.0279455+0.0176697j -0.0352777+0.0123534j -0.0658221+0.0424955j 0.00942638-0.0206805j -0.00559479-0.00614405j -0.0350912+0.0244351j -0.00790846+0.00738707j 0.0241542-0.0174701j 0.0143889-0.0124809j 0.0163642-0.00554523j -0.0252918+0.0114585j -0.0209792+0.00200849j 0.0180124+0.00434899j -0.00628425+0.0172066j -0.0048798-0.0137402j -0.00817576+0.00981708j -0.00387595+0.00452299j 0.000687596-0.00352479j 0.000994765+0.00302387j 4.27128e-05-0.00709987j -0.00277348+0.000433734j -0.000139992+0.00628782j 0.00277108-0.00146575j -0.00322438-0.00195198j -0.00557956+0.00297631j 0.00236879+0.000916431j 
0.0892044+0.0156036j 0.121505-0.085458j -0.0295264+0.0160608j -0.00879007-0.0241326j 0.0673473+0.00568919j -0.0958393+0.0560417j 0.0324147-0.0192221j 0.142575+0.0572976j -0.0411209-0.00120315j -0.361939+0.144167j 0.0830588-0.0437428j 0.0211747+0.0674298j 0.016665+0.025177j 0.00737262-0.0127499j -0.025628+0.0242941j 0.0385254-0.00326853j -0.0554674-0.000616491j 0.0500819+0.00985493j 0.0409376-0.0204229j -0.0177453-0.00117072j -0.0244271+0.0399388j 0.0189903-0.0346441j 0.0258272+0.0109193j -0.0163171-0.00495562j -0.0421641+0.0242369j 0.00236622-0.0882317j 0.0281207-0.0508854j 0.001627-0.0635337j 0.0298959-0.0535336j 0.0950193-0.0732142j -0.0359626-0.0540574j -0.00190471-0.0179554j -0.0500483-0.12799j 0.0879825-0.112504j 0.0561075-0.0476471j -0.0233532-0.0726755j -0.00206737-0.0679156j 0.0121899-0.0222264j -0.00745235-0.0318523j -0.0222882-0.0506059j 0.00424338+0.00726862j 0.0139497-0.0151916j 0.00475638-0.00883065j -0.00459532-0.041368j -0.0120562+0.0189578j -0.00603349-0.0243314j 0.00997995-0.0270768j 0.00257111+0.017023j -0.00959884+0.016287j 0.00648421-0.0272994j 0.0252312+0.00630516j 0.0179794+0.0561838j 0.00728931-0.025188j -0.00161053+0.0448512j -0.0193059+0.0711347j 0.0275763-0.011029j 0.0617467+0.113678j 0.0909068-0.00853781j 0.011492+0.0580605j 0.0319834+0.0602556j -0.0252483-0.0393744j -0.00209653+0.0147735j -0.0134547-0.0446161j 0.0150162+0.0210788j -0.0202725-0.00223492j -0.0247245-0.0364922j 0.0376908+0.000967026j 0.0169105+0.0244509j -0.00572814-0.000817038j 
-0.0744631-0.0210006j 0.00819172+0.0308698j 0.000187482-0.0546863j 0.0393624+0.0262022j 0.0563222+0.0920993j 0.0140695+0.0125876j 0.0353912+0.0399714j 0.167508+0.0499951j -0.038136+0.0352426j -0.109175+0.0750023j -0.00170946+0.0115223j 0.0167231-0.0410798j 0.0393696+0.00012301j 0.0136307+0.0158797j -0.0105279-0.00406906j -0.032753-0.0168749j -0.0299026-0.0105324j 0.0269667-0.0962026j -0.0499909-0.00498537j -0.0810799+0.0117024j 0.0390093-0.0371295j -0.0623083+0.0298766j 0.0111161-0.0459376j -0.00566593+0.0509625j -0.0628657+0.0317925j 0.0295979-0.01678j -0.148113+0.0165396j 0.0284014-0.0377883j -0.0265047-0.00784927j 0.016836-0.0609403j 0.059993-0.034352j 0.050987+0.0900662j -0.101048+0.168503j -0.0402047+0.0767812j 0.00454575-0.0599376j -0.0248315+0.0236085j 0.00673121-0.00990829j 0.00414522-0.0265841j 0.000974724+0.00821546j 0.000603246+0.00672427j 0.00802376+0.0313145j -0.0340646-0.0203067j 0.00431083+0.0569833j -0.0180083-0.0363394j 0.0199738-0.0138361j -0.00534612+0.0381698j -0.00422465-0.0519316j 0.0214839+0.0303774j 0.0178942-0.0133871j -0.00382431+0.0170015j -0.0194591-0.0023677j -0.00263371-0.0685487j -2.4309e-05-0.0302614j -0.0395776-0.0343048j 0.0562595-0.0414105j 0.0182252+0.0699158j 0.0175968-0.0151804j 0.0265607-0.100649j 0.0218093-0.0135718j 0.0331831-0.0143746j -0.0373745-0.0121014j 0.0100138-0.00613233j -0.0207899-0.00322977j 0.0137712-0.00949746j 0.0071822-0.00197878j -0.030489-0.00645399j 0.0104204+0.00468351j 0.0138319-0.00513227j -0.00172511+0.000867121j 
-0.00400029-0.0244409j -0.0218389-0.00504647j 0.0326629-0.044161j 0.0232545+0.0621283j -0.0712058-0.0251698j -0.0411216+0.117859j 0.0281219+0.130608j -0.114605+0.0128107j 0.0274285-0.118368j -0.0197479+0.000159977j 0.00726787-0.0417009j 0.0337857-0.020346j 0.0292778-0.0215075j 0.00751807-0.017119j -0.0151159-0.0143367j 0.0162868-0.0134484j -0.0689578+0.0521471j -0.0238868+0.00290278j 0.0538575-0.0194181j 0.0195458+0.0755448j 0.0164796-0.0739209j 0.0210896+0.0225114j -0.0240703+0.036641j -0.0925642+0.0545379j 0.0195664+0.0215846j -0.0429073+0.0789935j 0.081918-0.0402516j -0.0170801+0.0376791j 0.00512707+0.0282523j -0.00980678-0.00709358j -0.124164+0.104157j -0.03649+0.0268886j -0.0196576+0.058601j 0.0198034-0.0196313j 0.0236757+0.0190173j -0.0306078-0.00899272j 0.0233934+0.0130413j -0.0135416-0.0145634j 0.0165563-0.00698488j -0.00961478+0.0152407j 0.0292723-0.0108515j -0.0111284-0.0272147j 0.00311541-0.0803638j 0.0373774-0.00440839j -0.0290894+0.0726391j 0.00735369-0.0577563j 0.0192965-0.0487799j -0.024611+0.0289211j -0.0312773+0.0583073j 0.0201671-0.0394726j -0.0282161-0.00860551j 0.0481143-0.00709901j 0.0208836+0.017587j 0.0811438-0.00462333j 0.0221517+0.0387895j 0.0173422-0.0576777j -0.0375076+0.0114254j 0.0333618+0.0101444j 0.0126761+0.00426682j -0.00603913-0.0162857j 0.0232966+0.011656j -0.00833075-0.0109548j 0.0147302+0.00697185j 0.00808507-0.00924077j -0.00342734-0.006341j 0.0148044+0.00891488j -0.0055586-0.00883086j 0.000182827-0.00784444j -0.00316652+0.00139084j 
-0.0317158-0.0169984j -0.0349648-0.0408334j 0.0645349+0.0605848j -0.0452035+0.0341415j -0.0479149-0.0421557j 0.0416106-0.012453j -0.123227-0.0242094j -0.00979621+0.0488316j -0.000367874+0.0278619j 0.106401+0.0528066j -0.0501413-0.00126655j 0.00685539+0.0249425j -0.014323+0.0321178j 0.0108821-0.0101598j 0.0177782-0.0581031j -0.0275738+0.00738534j -0.0102637+0.00501185j -0.0269718+0.0109014j -0.029098-0.00482973j -0.00613764+0.0389902j 0.00926353-0.049045j -0.0318082-0.050537j -0.0168473+0.0159146j 0.0217987+0.0756086j -0.0495246+0.00405893j 0.0489895-0.0572928j -0.102574-0.0760241j 0.0673407-0.044475j 0.0167084-0.0511919j -0.0209122-0.0265946j 0.0559484+0.0226598j 0.0148736+0.146152j 0.0231486+0.0373663j -0.0109601+0.0619243j -0.0147331+0.0400957j 0.0173406-0.03381j 0.00102663+0.0117504j 0.0181756+0.0174583j -0.0116227+0.0252319j 0.0054812+0.0125432j -0.0430943-0.012119j -0.00450061+0.0200554j -0.00328045-0.015424j -0.0433174+0.00125548j 0.0603243-0.0624996j -0.0686795-0.0249465j -0.0085281-0.00182871j -0.00129264+0.0116771j 0.0733896-0.0581667j -0.0234404+0.0115693j -0.00253564+0.023423j -0.0378509+0.00307501j -0.0103591+0.054406j -0.128289-0.034069j -0.0137836-0.0156466j -0.0241765+0.0331336j 0.0471175+0.00741852j 0.0220507+0.0256548j -0.0076821+0.00618395j 0.00519867-0.0035411j 0.0211436+0.00403279j -0.00443793+0.00201776j 0.0156269+0.00850008j -0.0071506-0.00697001j -0.00917549-0.00142205j 0.0166082+0.021526j -0.0165764+0.00720077j 0.000974423+0.00477671j 0.00147576-0.00159749j 
0.0181207-0.0088535j 0.0209572-0.0479442j -0.0481336+0.105373j 0.0241705+0.095802j 0.124664-0.133297j -0.0271231-0.0340407j 0.0233507+0.0783449j 0.017116+0.103092j 0.0517888+0.0254687j 0.0467053-0.0863794j -0.0010682-0.0747655j -0.0535143+0.0813566j -0.0150272+0.010657j -0.0318684+0.0518331j 0.0159294-0.00289286j -0.0288496+0.0472803j 0.00454604+0.0095953j -0.101924-0.00329849j 0.115-0.0944015j 0.0186837+0.132883j -0.056564-0.0209913j -0.186893+0.0164749j -0.109806+0.00462985j 0.176112+0.00847653j 0.0315658+0.05102j 0.00688829-0.0934132j 0.0553048-0.0291068j 0.0137445+0.0859137j 0.017471+0.0763606j 0.0578976-0.0134105j 0.166122-0.0540966j -0.0025537-0.0237428j 0.131021-0.0712767j 0.00171593-0.0133506j 0.00739526-0.0472485j 0.0489859+0.00250169j 0.063561-0.00872948j -0.000570338-0.0210087j -0.0159192-0.0137889j 0.000108953+0.00881527j -0.0484248+0.0604475j 0.0306917-0.0891951j 0.0286035+0.00640097j 0.0120367-0.0151352j 0.0468503+0.105718j -0.000233459+0.0182339j 0.0520091-0.0573036j -0.114137+0.0414769j 0.047306+0.058857j -0.0205577-0.00644611j 0.00740196-0.0357849j -0.012029-0.0788304j -0.0395436-0.0131003j 0.0131024+0.00817979j 0.00843057+0.0675968j -0.0852747+0.0300634j 0.033736-0.0632246j 0.079012-0.0518195j -0.0336601+0.0108592j 0.0191194-0.00329201j -0.0166683-0.00426077j -0.000371611+0.00525423j -0.00912192+0.00899251j -0.000743378+0.0051252j 0.000367148+0.001823j -0.00932886+0.00126455j 0.0262226-0.00692912j 0.0119578-0.00802898j -0.00662523+0.00230016j 
