0.0595101-0.101123j 0.122301-0.167472j -0.281181+0.200141j -0.191829+0.116658j -0.204765-0.155611j -0.392415-0.302946j 0.290203-0.0623472j 0.0250439+0.160477j 0.291412-0.131373j 0.548419-0.328782j -0.016539-0.492786j 0.546087-0.00956719j 0.0265569+0.937898j 0.777952+1.71258j 2.26783-0.73419j 0.187404+0.082027j -0.190901-0.148294j -0.437054-0.0874867j -0.272859-0.120675j 0.30366+0.444712j -0.406077-0.620397j -0.115663+0.0572041j 0.521784-0.186497j -0.0292715-0.358477j 0.384964-0.299888j 0.374397-0.522465j -0.0475724+0.312651j 0.00638191+0.400033j 0.220984+0.591954j 0.116303+0.18356j -0.00311126-0.519562j -0.183028-0.143707j 0.596614+0.152909j 0.40884-1.06207j -1.14931-0.94235j -3.06407+1.5795j -1.44543-2.3719j -0.0286929+0.13692j -0.0761047+0.0255901j -0.22734-0.124088j 0.266175-0.0302005j -0.0364215-0.0240921j -0.0057507-0.0373862j -0.244471+0.367716j 0.00526021+0.0276247j 0.182576+0.328455j -0.145214-0.135328j -0.0250323+0.252499j -0.377188+0.329828j -0.143012-0.0245237j 0.0630088+0.495934j -0.462523-0.348447j -0.3434+0.14313j -0.381561+0.191987j -0.469876-0.106366j -0.0296176-0.160323j -0.111565+0.246992j -0.137468+0.288597j -0.698331-0.0135072j 0.491239-0.238402j 0.194307+0.133276j 0.587301-0.659829j 0.231895+0.150385j -0.428218+0.639953j -0.0530876+0.0223234j -0.0123207+0.684973j -0.0313635+0.562529j 0.0191866+0.250698j -0.0233726-0.453136j 0.557906+0.523918j 0.211283+0.227681j -0.188295-0.0572602j -0.755585-0.255503j -0.149702-0.182675j 0.278847+0.289946j 0.692555-0.0724885j -0.00390192+0.451987j 0.13919-0.0495333j -0.739042+0.259449j 0.211167-0.0640788j -0.222268+0.157762j -0.0237905-0.206518j -0.488323+0.314993j 0.314593-0.300039j -0.207669-0.11981j 0.0559734+0.629576j 0.2801-0.88151j -0.448203-0.468751j 1.72853+0.359662j 0.281905+0.589801j -1.23361+1.6121j 1.16947+0.973497j -0.323179-3.49424j -0.0183099-1.15356j -4.11428+0.194679j 
0.0762992+0.251447j 0.0242389+0.306151j 0.0194264-0.120141j -0.0240233-0.0998841j -0.267454+0.0675177j -0.362357+0.124826j 0.0674877-0.436311j 0.347142-0.0030017j -0.00483625-0.506833j -0.427848-0.862314j -0.150163-0.344784j -1.0978-0.132441j 0.509636+0.352854j -0.598467+0.293068j 0.991982+1.66889j -0.338245+0.22353j 0.435546-0.272622j 0.495532-0.312674j 0.265563-0.248346j -0.00447746+0.00475308j 0.23292-0.102356j 0.00114033+0.225184j -0.117647-0.573439j -0.110326-0.697601j 0.0556758-0.331551j 0.0260593-0.724053j 0.403239+0.193938j 0.436383+0.331831j 0.674948-0.83768j 1.08784+0.679087j -1.18806+0.467416j -0.244779+0.217385j 0.12983+0.254435j 0.389876+2.33688j -1.32367-0.109422j -0.667395-0.284787j 3.93218-0.378172j 0.044835-0.261979j -0.0105859-0.150276j 0.303427-0.0602089j -0.0971361+0.203984j 0.238031+0.287263j -0.201869-0.0301926j 0.0839761-0.219708j -0.0864294+0.217265j -0.0926872-0.0543301j -0.061611-0.102249j 0.0439229-0.509612j 0.0345122-0.514822j 0.174815+0.202196j -0.40397-0.298494j -0.0365354+0.382472j 0.113878+0.28598j 0.340071+0.497266j 0.200023-0.183525j -0.178757-0.0166054j 0.213236-0.0967911j -0.217591-0.00535881j 0.00723003-0.642054j -0.452453-0.223555j 0.0527522-0.321939j 0.511715+0.216671j 0.0903998-0.246959j 0.666402+0.0319831j -0.0661661+0.0242697j 0.565338-0.36722j 0.189647+0.430897j 0.10954+0.0217008j -0.520095-0.0645232j 0.781064+0.162915j 0.0355411+0.927132j 0.116768+0.358359j -0.644328+0.602282j 0.157974-0.107511j 0.41725-0.155664j 1.13499+0.341086j 1.02131-0.0791377j -0.232213-0.452303j -0.236953+0.490068j 0.622585-0.354094j 0.452305-0.0354466j -0.0442235-1.24513j -0.10977+0.334801j -0.637882+0.786925j -0.368796+0.454765j -0.644499+0.050203j -1.14023-0.669765j 0.956272+1.0623j 1.50851-0.760866j 0.32326-0.0643351j 0.572477+1.8024j -0.0848671+1.81948j 1.10913+0.798833j 1.11472-0.218545j -0.236974-2.753j 
0.2921-0.0156196j 0.250028+0.117193j 0.192584+0.160518j 0.0744036-0.127405j -0.379661+0.228655j -0.163885+0.258689j 0.260344-0.393528j -0.525087-0.507474j 0.252746-0.0288956j 0.296064-0.279887j 0.608271-1.11468j -0.32389+1.49481j 1.72035+0.66102j -0.820192-1.42783j 1.09652-0.310588j 0.225433+0.340157j -0.237445-0.505516j -0.0289357-0.0600378j 0.0084807-0.374419j 0.789431-0.152046j -0.0717387+0.0812016j -0.0223817+0.234889j -0.0108794-0.468599j 0.0640615+0.204828j 0.193401-0.121376j 0.00697405-0.00662131j -0.265612+0.449516j -0.0904656+0.692379j -1.18045+1.6284j 0.374461-0.199131j -0.753041-0.480715j -0.446564-0.638202j 1.93919+0.473734j 1.44917+0.441329j 0.794693+2.20776j 1.0653-0.958822j -0.447583+0.122777j -0.0661643-0.0964434j -0.0549665-0.0303159j -0.227698+0.196643j -0.0769359-0.18414j 0.08565+0.0161814j -0.0524623+0.0917046j 0.597396+0.401204j 0.281855-0.326768j 0.534674-0.262474j -0.0991087+0.435678j 0.254601-0.219443j -0.317634+0.0362718j 0.159659+0.286012j -0.0947107+0.264236j 0.0248048+0.838379j 0.579396+0.359394j 0.445479+0.63469j -0.17002+0.0441782j 0.59459+0.0377572j 0.186559+0.211536j -0.205875+0.188001j -0.0472881-0.0280884j 0.0375281-0.0965594j -0.486813+0.311765j 0.0538187+0.0392116j 0.206594+0.393112j -0.125042-0.146013j 0.031962-0.230699j -0.449357+0.241025j -0.0304916-0.173981j -0.244883-0.0019314j 0.527181-0.770662j -0.321528+0.24113j -0.68208-0.353922j 0.313072+0.0946541j -0.426816-1.15956j -0.622395-0.681341j 0.257087+1.01902j -0.637043+1.01193j -0.11818-0.424194j 0.218781+0.18163j -1.77082-0.131405j -0.174034+1.25501j -0.371641+0.0548966j 1.82141+1.04051j -0.337086-0.680684j 1.04782+1.05675j 0.0703922-0.90229j 1.04085-0.840259j 0.870597-0.164439j 2.08422-1.7095j 0.876308-0.858541j -0.772956+1.37759j 2.45347+1.73569j -0.265025+1.61423j -0.180328+2.13573j -1.46494-1.08543j -0.516602+1.66876j 
0.0438732+0.310848j 0.127325-0.0525356j -0.457138-0.2182j 0.0746592+0.412787j 0.538543-0.0832025j 0.268702+0.232097j -0.198004+0.812919j 0.749991-0.968324j -0.136934+0.0222628j 0.040023+1.19086j -0.568948-0.32388j -0.601514+0.230524j -0.184498-0.441251j 0.139612-0.359075j 0.778291-0.464073j -0.411985+0.351913j -0.0250569-0.263816j -0.279063-0.849959j -0.192114+0.247825j -0.46655+0.128557j -0.313065+0.217345j 0.19135-0.277192j -0.653611+0.578181j -1.35635+0.116923j -0.094923-0.37006j -0.680345+0.580894j -0.638973-0.204397j -1.25054-0.32632j -0.119809-0.459302j 1.63292+0.642537j 1.9312-0.415864j -1.00906-0.0154323j -0.204061-2.21788j -0.753239+1.17803j 0.159722-1.44987j 2.07835+0.125096j 0.0166641-2.43172j -0.258265-0.347853j -0.31646+0.06447j 0.00674304-0.299935j 0.262271+0.0882234j 0.687046-0.248273j -0.0119507+0.565389j -0.752962-0.213528j 0.382655+0.49057j -0.355645+0.301538j -0.175854+0.00556436j -0.755794+0.0515354j 0.154219-0.0859957j 0.188219-0.0786727j -0.0757764-0.0469464j 0.615916+0.472162j 0.520837+0.361171j 0.852954-0.115147j 0.280206+0.516012j -0.0519404-0.163849j 0.15352+0.132203j 0.305023+0.13058j 0.417769+0.744603j -0.912631+0.313842j 0.237874-0.186908j -0.959047-0.254741j -0.334235+0.401691j 0.580564-0.641438j 0.475173-0.433968j -0.470633-0.442234j 0.812199+0.288569j -0.147331-0.689416j -0.29318-1.09894j 1.11838-0.109409j -0.611545-0.831631j -0.253552+1.25235j -1.82568-0.816914j 0.869896+0.38153j 0.457627+0.263487j -1.75275-0.105053j 1.18926+0.766244j 1.13091-0.540012j 0.0625545-1.07081j 0.381075-0.743657j -1.34669+1.41584j -0.60037-0.394507j -1.07488+0.424701j 0.442017-0.814458j -1.39013-1.53932j 0.862599+2.46612j 0.0951728+0.820096j 0.0442841-0.636224j -1.18367+0.345577j -0.723844+0.202165j 0.0682963-0.021679j -0.490285-1.02047j -0.589648+0.0836105j 1.05523-0.834687j -1.09938-0.480153j 
0.230637+0.098595j 0.00698262-0.0121141j 0.0549559+0.473927j -0.103276+0.382692j -0.220171-0.27585j -1.12993-0.134121j 0.518566+0.0642775j 0.717476-0.708336j 0.28911+0.0391669j 0.063593-0.304105j 0.146103+0.601466j 0.792196+0.227276j -0.0388868-1.3337j -0.939729+0.205397j 1.0313+1.07557j 0.0894805+0.421747j -0.0795261-0.24338j -0.00762573+0.0637599j -0.481937-0.181823j 0.346672+0.101286j -0.561682-0.414039j -0.337629-0.354458j 1.25824+0.136206j -0.671605-0.286835j 0.278714-0.541585j 0.355875-1.66191j -0.175604+0.190254j 0.601363+0.191127j -1.30305-1.11486j 0.17206+0.548147j 0.423757+0.0741064j 0.702828-0.111184j -0.602525+0.0251143j -1.37217-2.56525j 1.58037+0.437492j 0.607406-3.19367j 0.30843-0.745491j -0.033738-0.0857792j -0.0688148-0.00640227j 0.0435278+0.141966j -0.0699021+0.0468453j 0.149212+0.419416j -0.277729-0.127427j 0.567226-0.259325j -0.244145+0.0203632j 0.0631012-0.24574j 0.0308903-0.274462j 0.0875427-0.147151j -0.184442-0.54951j -0.197565-0.168399j -0.412324-0.0633145j -0.218537-0.0303328j 0.0906536-0.0110568j -1.11193-0.00780545j -0.240699+0.11301j -0.407894-0.0461504j -0.262041+0.667125j 0.368806-0.0888765j -0.572281-0.283269j 0.929439-0.386805j 0.435421-0.37727j 0.585548-0.60202j 0.489477+0.15369j -0.764545+1.20697j 0.0100111+0.238373j 0.366163+1.31598j -0.0667236+0.057154j 0.313595+0.286385j -0.107984-0.0466049j -0.310096-0.045741j 0.348745+0.405078j 0.157725+1.79948j -0.169008+0.254903j -0.510298+0.373388j -0.0827249-0.580191j 0.446458-0.801981j 2.07417+0.549535j -0.0978393+0.340588j 0.535921+1.07753j -1.78384-0.0745864j -0.044587+0.113723j -0.841224+2.07448j 0.684345-0.00218862j 0.0115035-0.789983j 0.289233+0.0816422j 0.966319+0.206436j 0.996345+0.0648297j -0.765248-0.282638j -0.979158-0.723015j 0.608575+0.971456j 2.17566-1.61024j 0.187184-0.457062j 0.847742+0.68031j -0.132488-0.740821j -0.483476-0.625239j 
0.264074-0.343761j 0.141885+0.267929j 0.381432-0.067999j 0.801113-0.101434j 0.405797-0.516106j -0.129154+0.148322j -0.272568+0.277892j -0.171878-0.743153j -0.501122-0.60896j 0.610853-1.24615j -1.45448-0.383582j -1.08297-1.1803j 0.838892-0.594152j -0.402598+1.39755j -0.982129-0.0467924j 0.73235-0.0572843j -0.303573-0.2724j 0.436315+0.184087j 0.504529+0.331166j -0.441735+0.247048j -0.184444+0.484192j -0.338324-0.398713j 0.376054+0.544097j 0.377758+1.13703j 0.0484527-0.405172j 1.00345-1.09388j 0.51982-0.549276j 0.0413779-0.456736j 0.0286467+0.787865j 1.74767+0.748674j -1.40232-0.551392j -0.955539-0.571483j 1.27654-2.27547j 0.554781-0.41832j 0.128454+0.199748j 0.163555-0.642394j -1.17963+0.859617j 0.319978+0.454516j 0.333296-0.0563829j -0.0923554+0.891299j -0.51832-0.307542j 0.397083-0.0985235j -0.0806651+0.182134j 0.465281-0.386764j 0.372046-0.230091j -0.0342358-0.117092j -0.279498+0.043353j 0.51027+0.609804j 0.317006-0.61382j -0.6549-0.163211j -0.240906-0.3387j -0.401564-0.270339j -0.370644-0.541296j -0.729193-0.476575j -0.15204+0.0919737j -0.396115+0.511545j -0.219471-0.177942j 0.186265-0.0228253j -0.454744-0.588007j 0.833315+0.566224j -0.400754-0.631106j 0.875973-0.0918185j 0.0482543-0.0379039j -1.61228-0.330232j -0.230545+0.234567j -1.0627+0.183684j -1.4353+0.575823j -0.181097+0.340988j 0.28717+0.509344j -0.310398+1.11248j -0.0750381+0.968855j 0.520047-0.285835j 1.08293+0.278883j 1.39989+1.08949j -1.20014+1.12854j 1.02355+0.86173j 0.297724-0.656975j 1.14189+0.628374j 1.07378-2.0408j 1.62784-0.197917j -0.783416-0.000459528j -0.323222-1.38742j 0.343872+2.56564j 0.0904843+0.930784j 0.670727-1.30739j 1.79927+0.196227j -0.679488+0.0693471j 1.04077+0.101992j -1.0568-1.24054j 0.105026-1.66727j 0.847649-0.363778j 0.508013-1.03596j -0.71439-0.200821j -0.0298445-0.120609j 0.147904+0.437194j 
-0.000899604-0.155554j 0.0580767+0.263411j 0.276235+0.106496j -0.29834-0.0339118j -0.31208-0.169237j -0.360972-0.247991j -0.122936+0.449179j -0.591391-0.464619j 1.67833+0.545981j -0.759159+0.4386j -0.269174-1.24564j -0.651633-0.604627j -0.154157-1.44029j 1.24033-0.361808j 0.353549+0.728512j 0.198721-0.188838j 0.185056-0.21336j 0.358577+0.115239j -0.424421-0.335037j 0.328243+0.458542j -0.289141-0.439466j -0.279412-0.00436716j 0.425104-0.0384421j 0.542307+0.810328j 0.779854+0.866372j -0.66994+0.0821299j -1.6237-0.109926j -0.21676-0.840752j -0.401754+1.25589j 0.0530662+1.23049j -0.158785+1.34144j 0.506162+2.46605j 0.0798849+0.215989j -0.661889+0.168123j 0.308565+1.77755j -1.06608+0.483517j 0.121645+0.604201j 0.3351+0.074785j 0.129176-0.210413j -0.0948556-0.020332j 0.00825155-0.0529691j 0.0897093+0.660667j -0.427177-0.0780415j -0.257286+0.064787j 0.28909-0.364328j -0.115726-0.000113053j 0.0683968+0.121727j -0.213462+0.6987j -0.885775+0.315193j -0.305651+0.0685943j -0.00824793+0.677413j 0.0148691-0.534258j -0.239403+0.453665j 0.113515-0.142138j 0.503495-0.214688j 0.41699+0.271468j -0.0962671-0.0189255j -0.145296-0.424365j 0.424523+0.542362j -0.309971+0.990311j -0.442615+0.183014j -0.807758-0.0240388j -0.670271+0.0854314j -0.0872716-0.563361j 0.66292-0.460291j 0.21128-0.00723011j -0.991852-0.443009j -0.103926-0.844097j 0.026989-0.474507j -0.806669+1.5872j 0.702304+0.488142j 0.596287-0.289324j -1.30195-1.60751j 0.712704-0.647845j 0.454603-2.18606j 0.712511-0.37639j 0.158438-0.907313j -1.4584-1.61586j 1.12932-0.0698257j 0.0998332-0.166409j 1.14576+0.422763j 0.751533-0.528468j -1.17637+0.312262j 0.165197-0.0625412j -0.528664+2.14305j 0.41178+0.163386j -1.58026+1.98507j 0.0572654-0.0530637j -0.283212-0.995067j -1.33667-1.769j -0.159274+0.0529463j 0.411672+0.437577j -0.0993728-0.293108j -0.431237+0.298818j 0.121214+0.27724j 
0.273519+0.163372j -0.0559973-0.404507j 0.0319729-0.607872j 0.391862+0.443838j 0.925919+0.651383j 1.23163-0.239998j 0.0294309-0.663209j -0.163302-0.926427j 0.385378+0.00987775j -0.0818344-0.692154j 0.439022+1.6294j -0.701783+0.503267j 0.354703+0.410488j -0.257363-0.119663j 0.821426-1.29351j 0.151922+0.529666j -0.63887+0.281504j -0.181491-0.274158j 0.0184146+0.755517j -0.871133-1.34263j 1.08934+0.365735j 0.283133-0.0264658j -0.239394+0.428702j -0.480559+1.09024j 0.804189-0.295637j -0.0779175+0.420102j 0.285353+0.346671j 1.49527-0.605149j -0.54287-0.116341j 0.849214+0.428154j -0.282119+0.47065j 1.62801+1.9787j -1.58506+0.0542597j -0.875216+0.00699816j -0.45374+1.90025j -0.744474+0.315422j -0.0853765-0.818221j -0.659475+0.125522j -0.105989+0.493259j -0.0260531+0.398667j -0.265623-0.0773534j 0.428906-0.808014j 0.325178+0.396036j 1.15649-0.968275j -0.462068+0.00514741j -0.0640406-0.491136j -0.0368008+0.0191279j 0.607968-0.827806j 0.51033-0.388106j 0.117481-0.353019j -0.310219-0.41002j -0.895549+0.684278j 0.162508-1.17736j -0.949576+0.300155j -1.03811-0.165987j -1.18854-0.0326239j 0.155148-0.323552j -0.879195+0.12233j 0.66695-0.717142j 2.43664-0.543078j 0.691109-1.17249j 0.560791+1.51259j -0.547569+0.727633j -1.51916-0.0431306j 0.138866+0.917544j -1.51261-1.41898j -1.32274+1.1368j 0.466883-0.0188909j 1.49003-0.138528j -0.194784+0.164054j -0.557614-1.33559j 0.16058-0.35346j 1.54308-0.0195197j 0.226477-0.00822557j 0.779347-0.763967j -2.13806-0.343039j -0.523693-0.954151j -0.510613-1.46321j 1.44456+1.24546j -0.474316-1.02914j 0.892297+0.260198j -1.59122-1.57603j 2.49448+0.781826j -1.5112+0.0872209j -1.03195-0.273025j -0.504426-2.1649j 0.0125094-1.15218j -0.970298+1.79406j 0.970485-1.03481j -0.523654+1.05313j 1.07274+1.00326j 1.7242+0.597932j 0.168973-0.984132j 0.486022+0.634775j 0.260698-0.296584j 
0.0539287-0.268237j 0.193936+0.430597j 0.10485+0.0159411j 0.248626-0.173807j 0.049907+0.356468j -1.1901+0.261801j -0.542248+0.866718j 0.261787-0.316407j 0.179032-0.33194j 1.18294-1.20171j 0.460741+1.49696j 0.562698+0.838219j -0.489264-0.357715j 0.250506-0.514194j -0.421066+0.0452519j 0.287017-0.336668j 0.154591-0.436158j 0.315295-0.056811j 0.558861-0.0273771j -0.00287707-0.0941844j -1.07937-0.206513j 0.749043+0.174362j -0.771877-0.026867j -0.243618-0.287528j 0.47593-1.70355j 0.979888-1.83356j -0.219344-0.680195j -2.71744+0.58104j -0.186702+1.25376j -0.756278-0.562806j -0.313907+0.31378j 0.426496+2.55401j -0.364169+0.279932j 0.265957+1.67728j -0.444848-0.845758j 0.382773+0.334567j -0.448767+0.0486094j 0.637539+0.13963j 0.248054-0.351053j 0.270013+0.396133j -0.207774-0.0616795j 0.148774+0.18428j -0.0963666+0.164784j -0.558617+0.403967j 0.505514+0.455833j 0.0333533+0.135734j -0.232055+0.208023j -0.798898-0.188046j 0.172304+0.35282j 0.508891+0.244583j 0.347574+0.222504j 1.15479+0.276981j 0.0902082+0.588946j 2.23325-0.938831j -0.577391+0.102299j -0.257426-0.389775j -0.292764-0.674683j 0.0154097+1.35998j -0.647678+0.753241j -1.30947-0.365855j 0.355842-0.28993j -0.0805628-1.64828j 1.23673+0.570808j 0.656996-0.827768j -0.869663+0.351592j -0.94574+0.324526j 0.261259+1.03907j -0.0074377+1.21315j 0.991655-0.00477144j 1.93525+0.896115j 0.641278+0.386142j 0.592563-0.607651j -1.05405-1.9809j -0.226889+1.0701j 0.234497-1.67874j 1.47543-0.191565j 0.363393-0.607538j 0.197091+0.0828158j 0.911264+0.327806j -0.316542+0.380641j -0.351531+1.35897j 2.58238+1.33349j 0.84231-1.12826j -1.06508+0.816411j -0.934205-1.0549j 1.16628-1.27347j 0.256751-0.500626j 0.675513+1.09354j -0.0949898+1.39611j 0.275517+0.0500153j -1.265-0.338157j -1.18414-0.414186j -0.442096+0.178641j -0.00668952-0.774359j -0.671666+0.136711j 
-0.0433048+0.0321148j -0.309518-0.163531j -0.500039-0.271859j 0.305847-0.256576j 0.187066-0.25233j 0.117414+0.581801j 0.25247-0.57623j 0.653857+0.436477j -0.881493+0.119907j 0.467396+0.482155j -0.773738-0.383189j -0.117454+0.0456251j 0.551628+0.627135j -0.858288+0.770231j -0.36429-0.286189j -0.0646057+0.0511826j 0.140222+0.401202j -0.143234-0.347961j 0.371452-0.414122j -0.597664-0.156269j -0.27351+0.284988j -0.178992+0.252348j 0.502581-1.21379j -1.13937-0.418929j -2.42414-0.381804j 1.95755+0.998652j 0.0340774+1.01864j 0.0670734-0.202302j 0.0847342+0.537198j 0.0876088+0.543463j 0.898848+0.515351j -0.143514+4.14236j 1.82802+1.43931j -0.435132-0.857389j 0.545881-0.230615j 0.314991-0.496549j -0.0855539-0.0642553j -0.221963+0.141111j 0.0113389+0.126168j 0.387206-0.251058j 0.104832+0.295895j -0.28666+0.158612j 0.00470125-0.162706j -0.165944-0.348201j 0.656239+0.528178j -0.410446-0.228371j -0.466077+0.249179j -0.668794+0.00363084j -0.253875-0.0474768j 0.106456+0.0865214j -0.221727+0.208086j -0.12365-0.0240489j 0.0826118+0.344625j -0.0856854+0.72283j 0.613798+1.71841j -0.194897-0.990002j 0.90505+0.667202j 1.51186+0.524385j 0.586942-1.0659j -1.39122-1.15713j 0.381492+0.0592743j 0.896956+0.716728j 1.68927+0.355597j 0.965035-0.249693j 0.526856-0.974595j 0.444246+0.821576j -0.370976-0.212966j -0.566061-0.856182j -0.518655-0.388789j -0.0884262+0.654229j 0.342114-0.694457j 0.140758-0.413593j -1.285-0.0849665j 0.40133+0.3466j 0.129545+0.297772j -0.436087-0.265328j -0.338443-0.0790908j 1.40828-0.322212j -0.303896-0.378532j -0.347364-0.502158j -1.39236+1.10204j 0.627181+0.423166j -0.00607302-1.96493j 0.462808+0.0979796j -1.59101-1.3713j -0.880233+0.711755j -0.918834-0.95827j 0.47317-0.786172j 0.37171-0.562018j 1.2423-0.525571j 0.371903-0.297122j -0.261053-0.124163j 0.129475+0.334852j -0.00548628-0.161285j -0.0114641+0.00605917j 
-0.152339+0.0580515j 0.415193+0.395976j 0.583435-1.04201j -0.161456-1.38597j 0.0255228-0.00739738j -0.0215796+0.231634j 0.446482+0.376494j 1.0221-0.0271955j 0.374722-0.0740161j 0.520928+0.293078j -0.0715689+0.0615499j 1.1334+0.245115j 0.834567+0.264892j 1.95213-1.11484j -0.211975+0.116095j -0.404002-0.292052j 0.38962-0.452038j 0.66244-0.353158j 0.880145-0.912867j -0.0724975-0.901986j 1.22612+1.18125j -0.299608-0.498207j -0.211303+0.0225939j 1.31722-0.409279j -0.0798346-0.372466j 0.90775-0.454765j -0.418148+0.387454j 0.409417+0.232287j -1.20821-0.586002j 1.9038+0.374034j 0.467805-0.21295j 0.202129-0.186731j 0.334139-0.400895j -0.922908-2.16885j -2.26475-0.198225j 0.423565+1.26613j 0.420413+0.491128j 0.117116-0.0546783j 0.0598279-0.133433j -0.146399-0.0130347j 0.0256642-0.244993j -0.635111-0.245867j 0.219112-0.241548j 0.079584-0.192981j 0.438534+0.262468j 0.0422011-0.484209j -0.17082+0.492416j -0.499382-0.31041j 0.29491-0.537809j 0.385719-0.0360534j -0.258217-0.507581j 1.19552+0.864599j 1.55021-0.224237j 0.164214+0.271728j 0.0337695-0.195419j 2.27817+1.27943j -0.136732+0.842046j -0.166223-0.0180787j -0.222084-0.343265j -0.750261-0.0796546j -1.98706+1.21591j 0.0203753+0.461214j 0.0455788+0.109067j 0.653349-0.666416j 0.294606+0.096275j -0.231758-0.231677j -0.512457+0.667482j 0.153334-0.219895j -0.177834-0.918396j 0.609106+1.13792j 0.620025+1.32515j 0.494452+1.73189j -1.81027-0.71895j 0.0734865-0.0543847j 0.426233-0.478766j 1.6239-0.262528j 2.08319+0.35237j -0.211736-0.354691j -0.181175+0.376554j -0.411173+0.153425j -0.772608-0.0129927j 0.176018+0.608022j -0.570009-0.489155j 0.464553-1.72422j 0.223767-0.211625j -0.200178+0.940251j 0.432029-1.11018j -1.56156-0.60736j 1.12884+0.512771j 1.04838+0.68319j 0.0230662+0.722233j -0.188743-0.0522029j -0.697213-0.00655395j 0.493175+0.138148j 0.136718-0.184589j 
