0.378539-0j -0.104108-0j -0.00991147-0j 0.00746383-0j 0.0517109-0j 0.0276018-0j 0.00398398-0j -0.00572239-0j -0.000825956-0j 
-0.589283-0j 0.0275833-0j -0.0297552-0j 0.00712149-0j 0.0493391-0j 0.0412147-0j 0.00594884-0j 0.0179102-0j 0.00258511-0j 
-0.00751915-0j 0.0364425-0j 0.109741-0j 0.00438546-0j 0.0303834-0j 0.00160006-0j 0.000230948-0j -0.0217104-0j -0.00313363-0j 
0.408071-0j 0.0438343-0j -0.0434209-0j -0.00229861-0j -0.0159252-0j 0.0297552-0j 0.00429479-0j 0.0486033-0j 0.00701528-0j 
0.421072-0j 0.0434209-0j -0.0412214-0j 0.00258511-0j 0.0179102-0j -0.02945-0j -0.00425074-0j -0.0481047-0j -0.00694332-0j 
0.0105246-0j -0.0510089-0j 0.052634-0j -0.00613837-0j -0.0425278-0j 0.00076742-0j 0.000110768-0j 0.0303883-0j 0.00438617-0j 
-0.456531-0j -0.0470773-0j -0.0465945-0j -0.0028028-0j -0.0194184-0j -0.0332887-0j -0.00480481-0j -0.0269013-0j -0.00388287-0j 
