-0.00185072-0.00334222j -0.0243653+0.0104068j -0.00331545-0.0104187j 0.0341631+0.0075011j 0.00471378-0.0064787j -0.0885984+0.00259464j 0.0629289+0.00981848j 0.0147216+0.0110048j -0.0345947+0.017175j -0.145262+0.0108049j -0.0140176-0.00400624j 0.0160778+0.0193421j -0.0361374-0.0080983j 0.0211794-0.00488204j 0.00940988-0.00377198j -0.00408462-0.0285384j 0.0116677-0.00910936j 0.00145492+0.00302101j -0.0130987-0.0127333j 0.00202006+0.020198j 0.00242526+0.00434039j 0.00924158-0.016201j 0.0140956+0.00643199j 0.00139563+0.0143631j 0.0220063-0.0233064j 0.0296205-0.000744703j -0.00164367-0.0214541j -0.0241704-0.019437j -0.0544345+0.00869059j -0.00673857+0.00909378j 0.00366108-0.00303767j -0.0107171+0.00546775j 0.00463922-0.00514171j 0.0062719-0.00530565j 0.0124438+0.00838911j -0.00497927-0.00823395j -0.00417742+0.00214452j 0.00280232-0.0102053j -0.00269969-0.00418886j -0.0113703-0.00126389j 3.44001e-05-0.0195699j -0.00672315-0.0058747j 0.00215331-0.0360373j 0.0348078-0.00359305j 0.00708266-0.00710048j -0.0161373+0.00635914j 0.0311718+0.0176834j 0.00918329-0.00866339j -0.00208753+0.00738935j -0.0126031-0.001841j -0.00964866+0.00549507j 8.33069e-05+0.00127256j 0.00123735+0.00811802j -0.00460947+0.00327182j 0.0014136+0.00102638j 0.00395627-0.000775104j 0.000681955+0.0025149j -0.00423111+0.00461194j 0.00543216-0.00263032j 0.0121497-0.000192349j -0.0147819-0.00369049j 0.000860567-0.000600257j 0.0055213+0.00437642j 0.00620003+0.00876783j 0.00498534-2.82696e-05j -0.00220199-0.00754503j 0.00971108-0.00134803j 0.00148927-0.014281j -0.00917922+0.00335188j 0.000437952-0.0150111j -0.0066369-0.00454414j 0.00295513+0.00346299j -0.00583911-0.00717986j 8.89993e-05-0.0056419j 0.000189871-0.0106164j -0.00111943+0.0166458j 0.00428539-0.00170867j 0.00992347+0.00322747j -0.00115121-0.00242141j -0.00565987-0.00242788j -0.00224374-0.00232389j 0.00208312+0.000697837j 0.00136391-0.00212165j 0.00192623+0.000288199j 0.00425461+0.00221735j 0.00389188+0.00195956j 0.000918549+0.0011864j 0.00429817+0.000583345j -0.000740661-0.00604345j 0.000393077+0.00420812j -0.002855+0.00174514j -0.0148297+0.00324268j -0.00329346-0.00798084j 0.00429418+0.00215807j 0.00350271-0.00312467j 
-0.0349602+0.0223354j 0.00181777+0.00252828j 0.00156556-0.00624576j -0.0182997+0.0149851j -0.0445288+0.0191977j -0.0171193+0.0290379j 0.00295915+0.00318613j -0.00152566+0.000869363j 0.0375476+0.0129497j -0.0351649+0.0471147j 0.0112305+0.00851266j 0.00401816-0.0243043j -0.0109637+0.00745315j 0.00178128+0.0166163j -0.00504095-0.0412689j 0.00227787+0.00950349j -0.00634923-0.00820899j 0.0128032-0.0168924j 0.00908221+0.010732j -0.0173941-0.020239j 0.00348433+0.0196233j -0.0210166+0.0159101j -0.0026563+0.00435319j -0.00249668-0.038103j -0.0267754-0.0458442j -0.0141777+0.00684384j -0.0953595+0.0446106j -0.0274082+0.0338002j 0.000122775-0.00678449j -0.0282034-0.0138284j 0.00172457-0.00233695j -0.0117601+0.000133064j -0.00721686+0.00978515j 0.00464096-0.00863963j 0.0251714-0.000529247j 0.00301152-0.0122641j -0.00210599-0.00471949j 0.00343485-0.000414912j 0.00486249+0.00397288j -0.00328362+0.000947576j 0.00566604-0.000107835j 0.000480317-0.0018183j -0.00362247-0.000240112j -0.00354321-0.0120331j -0.00665159-0.0134221j -0.00849467-0.00300784j 0.000120615+0.014336j 0.0188578+0.00106204j -0.017233-0.012294j 0.00293833+0.00147059j 0.00879323+0.000691462j 0.00543854-0.00262565j -0.00284932-0.00872814j -0.00208838-0.00895284j 0.0107434-0.00473965j -0.00477562-0.00704992j 0.00560338-0.00584318j 0.000882694-0.00630909j 0.0109019-0.00180359j -0.00516092-0.00637757j 0.00481873-0.00337466j 0.00311241-0.00435019j 0.0131279-0.012672j -0.000558525+0.00486044j -0.0131051-0.00464226j 0.00772526+0.00455158j -0.0038346+0.00641825j -0.0015131+0.00910755j -0.00593495+0.000469532j 0.000871351-8.25795e-05j -0.00738472+0.00239389j 0.0175876+0.00541403j -0.0133109+0.00109921j 0.0132508-0.00454042j -0.0123981-0.0304837j -0.0189381+0.00721864j 0.00246083+0.00929584j -0.00809798+0.0143117j -0.000525733-0.00220416j 0.000670485-0.00336944j 0.00152623-9.11581e-05j -0.00265875+0.000535127j 0.000137988-0.000677197j -0.00116728+0.00311043j -0.00190972-0.000855378j -0.0069584+0.00164448j 0.0010811+0.00409019j -9.06307e-06-0.00120407j 0.00660582-0.00328929j -0.00472879+0.00262306j 0.00172705-0.00709417j 0.00100054-0.0116915j 0.00832641-0.000506113j -0.00379562+0.00206122j 0.00196329+0.0028823j 
0.0183056-0.0100583j 0.00339594+0.00448668j 0.00395963-0.0327937j -0.003042-0.0204906j 0.0154322+0.00322999j 0.0340805+0.00113418j -0.0245354+0.029034j 0.000579221+0.046821j 0.000620075+0.0205334j 0.0517225+0.00138721j -0.00238812+0.0033098j -0.00197833+0.00557944j 0.015161-0.000207022j 0.0103399+0.00684111j 0.001688+0.00908268j -0.0132922-0.00334024j -0.0104691-0.0204134j -0.0148965+0.0185952j 0.0161609+0.0145305j 0.00327012+0.043505j 0.00953439+0.0487761j 0.00540666-0.0148243j 0.0142632+0.041198j -0.00431262-0.0119831j 0.0212766-0.0302629j 0.0583057-0.00818515j -0.0221275+0.00607474j 0.0436871-0.00469868j 0.00733689+2.74562e-05j 0.0121452+0.0038892j -0.00247988-0.000501763j 0.0107953+0.00179692j 0.0049398+0.00169474j -0.00920342+0.00428675j -0.0122453+0.0029423j 0.00167734+0.00538399j 0.000428701+0.00288014j -0.000127184+0.00168654j -0.0026496-0.0024547j 0.00559361+0.00118633j -0.00333115+0.00284157j 0.000511089-0.00133003j -0.000793029+0.0100912j -0.0102777+0.00570742j -0.000336836+0.00469261j 0.0127302-0.00056191j -0.0139415-0.0116913j -0.0133458-0.000371865j 0.00178897-0.00321772j 0.00385282+0.000439196j -6.41711e-05-0.000826965j -0.00158816+0.001111j 0.000749282+0.00157012j 0.00158033+0.00082375j -0.00622702+0.00256249j -0.00198271-0.00732925j 0.00155446-0.00402441j 0.00174719-0.0104358j 0.00309004-0.00104573j 0.00126322+0.00238474j 0.00980058+0.00408476j -0.0164602-0.00170478j -0.00703374+0.00926411j 0.000924526+0.00287878j 0.0147963-0.00271768j 0.000728777-0.00538298j 0.00748513-0.00517774j -0.0005267-0.00539635j -0.0141033+0.00672808j 0.00651633-0.00989975j -0.0246466-0.00926879j 0.00993715+0.0133975j -0.0107415+0.00833774j 0.00136329-0.0219987j 0.00285822-0.00695337j 0.00546574+0.00520273j -0.00101604-0.00305301j -0.000348644-0.00497206j 0.000744408+0.00133019j 0.00124659+0.0023489j -0.0017122+0.000340159j 0.00120374+0.000872705j 0.000147088+0.000386134j 0.000522042-0.00404176j 0.000462842+0.00149107j 0.000798263-0.002315j 0.00270841+0.000819954j 0.00194147-0.002728j 0.00188717+0.000507358j 0.000173217+0.000254298j 0.000690279+0.00236565j 0.00196451+0.00349469j -0.000706373+0.001061j 3.36159e-05-0.000992528j -0.000908974-0.000529476j 
0.0346632+0.00931876j -0.0116229+0.0141543j -0.00640913-0.00440632j 0.0302+0.0256815j 0.0284068+0.0174695j 0.0171604+0.02016j 0.00114491+0.0158841j 0.00499651+0.00592401j -0.015766+0.0222522j 0.0310187+0.0466676j -0.0116084-0.00543955j -0.00723607-0.00732196j 0.000662599+0.012084j -0.00242047-0.0108165j 0.0278519+0.0296237j 0.0157162+0.0191437j 0.0159378+0.0152433j 0.0037638+0.00030846j -0.00246974+0.00440417j -0.0312958+0.00796225j -0.00515708-0.0313726j 0.0459043+2.03591e-05j 0.0266165-0.0120913j -0.00102527+0.0298215j -0.0394503+0.0526065j -0.0137016-0.00857176j -0.00768463-0.0277571j 0.00504823-0.0121581j -0.0168162-0.00699524j 0.00453156-0.00573171j 0.00215795+0.000804406j 0.00338513-0.00649406j 0.00391505+7.18262e-05j -0.00610062+0.0115073j -0.0179365-0.00364294j -0.000255421+0.0181226j 0.00276807+0.0144241j -0.00183036+0.00357498j -0.00230875-0.00228988j 0.00800375-0.00401504j -0.00309596-0.00552324j -0.000166408+0.00267079j -0.00162552+0.00380261j -0.0032734+0.00290437j 0.00595527+0.0098624j 0.00877321+0.00621421j -0.00426887-0.010037j -0.00348778+0.00352525j 0.00351003+0.00370542j 0.00365016+0.000294072j -0.0025627+0.000331111j -0.00085069+0.00489036j 0.00143807+0.00952519j -0.00216071-0.00821194j -0.0106581+0.00803817j -0.00172662+0.0102927j 0.0095112+0.00141646j -0.00156211+0.00552798j -0.0161261+0.00235938j 0.00980258-0.00974518j -0.00597093-0.00575103j 0.00635453+0.0028684j 0.0137105-0.0095102j 0.010607+0.0202654j -0.000613787+0.00498217j 0.0129586+0.00639392j 0.0106816-0.0137693j 0.0126419+0.00710952j -0.0175162-0.000667905j -0.0133591-0.0056937j 0.0071898-0.00614721j 0.0124397+0.0174062j -0.00814374+0.0190288j 0.00208872+0.013185j 0.00149754-0.00989425j -0.00221561+0.00535703j -0.00082649+0.000915242j -0.0014624+0.0013882j 0.000343021-0.000443723j 0.00228923+0.000291063j -0.000229928+0.00168591j 0.00112897+0.00119069j -0.00141883+0.00111004j -0.000830138-0.00120622j -0.000620887-0.000430178j 0.00275634+0.000321256j -0.00218316-0.00391367j -0.00268194+0.00295503j -0.00340365+0.00434254j 0.00169978+0.000718683j 7.23552e-05+0.00169093j -0.00105203+0.00202604j -0.000311946-0.00138014j 0.000301428+0.000102208j 0.000336716-0.00102147j 
0.0260193-0.0180791j -0.00830377+0.0295439j -0.00262041+0.00537739j 0.000289539+0.035235j 0.0315258-0.0166815j 0.0230692-0.0149745j -0.0171836+0.0295888j 0.00781451-0.0206391j 0.00136513+0.0185573j 0.0505613-0.00031147j -0.00750601+0.0148553j 0.000667173+0.0166136j 0.00292458-0.0255416j 0.00165086+0.00496339j -0.0283209-0.0500362j 0.00782393-0.0435592j 0.042148-0.0139741j 0.0144198-0.0216084j -0.0388792-0.0280525j 0.0239072-0.0162615j 0.0119852-0.00523795j -0.000633692-0.000334039j 0.0117691-0.0165308j -0.000869818-0.011766j 0.0199618-0.0541801j -0.0055633+0.0137659j 0.00534288+0.00595827j 0.00786801+0.00373635j -0.00202238+0.00526917j 0.0117396+0.0107197j -0.00105694-0.00451955j 0.00988219+0.00897695j 0.00705545+0.0107628j -0.00905707+0.00571341j -0.01229+0.00830597j 0.000253573+0.00722643j -0.00089721-0.000304184j -0.00081339-0.00167261j -0.00469751-0.00621021j 0.00251059+0.00370255j -0.00337061+0.000883859j -0.00718827-0.0156848j -0.00227437+0.0165317j 0.00314977+0.00882018j -0.000512366+0.00340502j 0.00192544-0.00500506j -0.00686746-0.0109634j -0.00850335-3.35605e-05j 0.00356168-0.0070451j -0.00115716-0.000199758j -0.00229568-0.000424984j -0.00150004+0.00767901j 0.00153486+0.00639472j 0.000596962+0.0176772j -0.0152548-0.00210348j 0.0043681-0.0162182j -0.0111553-0.00057676j -0.001343+0.0150854j 0.0142177+0.00283369j 0.0112108-0.00689094j -0.0011859-0.00129622j 0.0193915+0.00172633j 0.0119427-0.012386j 0.000181619+0.0168695j 0.00538802-0.000222142j 0.0151378+0.0133887j 0.00215017-0.00939091j 0.0105408+0.00948989j 0.0155373-0.000229743j 0.00405448-0.00733241j -0.011715-0.00181173j 0.00755124-0.00600827j -0.0101982-0.0102617j 0.00465897-0.00530682j 0.00485432-0.00640282j 0.000585134+0.00585225j -0.00026986+0.000267319j 0.000226665-0.00296395j 0.00151828+0.00106599j -0.00405173+0.00256828j 0.00325608-0.00540294j -0.00271926-0.00489216j -0.000539452+0.00163127j -0.00240543+0.000306342j 0.000405759-0.00135243j 0.00196171-0.000135526j 0.00165136+0.00207232j 0.00205944-0.00285507j 0.00216862-0.00103908j -0.000323284+0.00107242j 0.00134802+0.00252666j 0.000179388+0.00370228j -0.000850485-0.000583236j 0.000588394-0.000608697j -0.000379981-0.00112817j 
-0.0303813-0.00996321j 0.0177037-0.00614809j 0.00331348-0.0248241j -0.0280203-0.0280241j -0.0239409-0.00212444j -0.00656763-0.000890809j -0.00171981+0.0267099j -0.00840971+0.0415438j 0.013514+0.0138073j -0.0169682-0.0102664j 0.00750185+0.00723818j -0.00054888-4.0111e-05j 0.000880808-0.0073695j -0.0505531-0.00342082j -0.0293647-0.0166119j -0.00272281-0.0048006j 0.0164046+0.0130479j -0.00137366-0.0239012j -0.00108205-0.0173474j 0.00873702-0.0441955j 0.00635892-0.0469626j 0.0298161+0.0175164j 0.0240594-0.0423704j 0.0291034+0.00365351j -0.00100301+0.0205854j -0.0147375+0.00774118j 0.00802975-0.000153375j -0.00627071+0.00404876j 0.0158824-0.00224515j -0.00463531+0.00196454j -0.000445308-0.000388266j -0.00939664-6.19469e-05j -0.00742221-0.00341294j 0.0143442-0.00455363j 0.0245848-0.00155623j -0.00161277-0.00891628j -0.00290325-0.0083694j 0.00678863+0.00149268j 0.00350455+0.0072836j -0.0030187-0.000779561j 0.00280979+0.00114922j 0.00473667+0.00157307j 0.00199951-0.000977513j -0.00412946-0.00376431j -0.00209495-0.00322743j -0.00667746-0.00275457j 0.00422583+0.00562724j 0.00503682+0.00210049j -2.91757e-05-0.000394069j -0.00320428-0.0022986j 0.00433063-0.0010265j 0.00402914-0.00202933j 0.00326576-0.00556861j 0.00286765+0.0161632j 0.00528395+0.000663805j 0.00210297+0.0154684j -0.019716+0.00219992j 0.0137835-0.0146574j -0.00902349-0.00544614j -0.00619608-0.00489559j 0.00105643+0.00087586j -0.0140468-0.00488933j 0.0214389+0.000186302j -0.00154186+0.00785217j 0.00769058+0.00276529j 0.00353445+0.00637431j 0.00468409-0.0155229j 0.0146963+7.27705e-05j 0.00139559+0.00233076j -0.00304048-0.0105128j -0.00199019-0.00851626j -0.00264235-0.00660503j 0.00386194-0.00324807j -8.01643e-05+0.00114263j 0.00064944+0.000241188j -0.000611444-0.00135991j 0.000566227+0.00115147j -0.000375029-0.000634292j 0.000320361+0.000385823j -0.00148331-0.000836882j 0.00244706-0.00089563j -0.00188315-0.002348j -0.000231188+4.45148e-05j -0.00060327+0.00378733j -4.29704e-05-0.00178517j -0.000791393+0.000730895j -0.00182046-0.00114519j -0.000873093+0.00121302j -0.0015337+0.000436552j 0.00035429+0.000104268j -0.000404988-0.00139714j 0.00057707-0.00161594j 0.000667623+0.00105117j -0.000356362-0.000176427j -0.000115074+0.000507977j 
-0.00407906-0.0249191j 0.00590931+0.0053023j 0.00514833+0.0108701j 0.0195509+0.0141917j 0.0207722-0.0129618j -0.0276717-0.0148697j 0.0287687+0.0279184j 0.00381353-0.00785506j -0.0222088+0.0133885j -0.0287226-0.0223875j -0.024387+0.0173553j -0.0173386-0.0175931j 0.050437+0.0103076j 0.0224252+0.00295727j -0.025382+0.0256308j -0.00342889+0.0456923j 0.00736676+0.00230271j -0.00850021+0.00172751j -0.000859553+0.0340378j 0.0233402-0.000818746j -0.00917961+0.00518568j 0.00145086+0.0224946j -0.00428239+0.00717129j 0.0116918-0.0296026j -0.00338968+0.0388438j 0.00701243-0.0104603j -0.00401049+0.0298344j -0.00471624+0.0150325j 0.00120648-0.00884469j -0.010868-0.0137101j -0.00215704-0.000975659j 0.0035412-0.015192j -0.000925392+0.00548887j -0.00190847-0.006717j -0.0194953-0.0100262j -0.00588986+0.00695241j 0.00658557+0.00167204j -0.00557732+0.0154517j 0.00214011+0.000932226j -0.00339873+0.00089219j 0.00109188-0.00571174j 0.00264805+0.00969696j 0.000625499-0.00326062j -0.00223143-0.0110822j -0.00414374-0.00973421j -0.0114074-0.00293269j 0.00452071+0.0107297j 0.00926196+0.00474755j -0.00354972+0.00719845j -0.0114759-0.0104934j 0.0126591-0.00398853j 0.000626444+0.0207986j 0.00636597+0.0117211j 0.00481094-0.00281632j -0.0251623+0.00406899j 0.00643532-0.00688746j 0.0091963-0.0031845j 0.00676668-0.0130983j 0.00655847+0.00104993j -0.000934826-0.00459716j 0.0106587+0.00123267j -0.00378453-0.00351175j 0.0175142-0.00300762j -0.00182528+0.00765089j -0.00481328-0.00633053j 0.00514274+0.011715j -0.00540368-0.000168792j -0.00211473+0.00672444j -0.00422389+0.000158406j 0.0106482+0.00448953j 0.000545417-0.00547362j -0.00271749+0.00377222j 0.00562162+0.000966227j -0.00100507-0.00895875j -0.00347058+0.0047153j -0.00164932-0.00371692j -0.00131805+0.00241257j -3.2663e-05-0.000815344j -0.000661308+0.000901393j 0.00358036-0.0023471j -0.000286666+0.00434475j 0.0012222+0.00469502j 0.000343547-0.000588703j 0.0016885+0.00291771j -0.00161266-0.000348908j -0.00239274+0.000898608j -0.000813339+0.00041192j -0.00295078+0.000106528j -0.000554275-0.000152274j -0.000817173-0.00208338j 0.000747093-0.00367208j 0.00411076-0.00375535j -1.33488e-05+0.00112824j -0.00109855+8.79585e-05j -0.00102009+0.00160022j 
0.0505372+0.0101043j -0.0413528-0.00728744j -0.0238206+0.00177073j 0.0677219-0.0260573j 0.0712674+0.0127401j -0.00822424+0.00356458j 0.0358474-0.0138343j 0.0146088+0.00840258j -0.0471569-0.011711j 0.0170799-0.00202237j -0.0322121+0.00214787j -0.0287288-0.00577862j -0.0205949-0.00129581j -0.0362175+0.00984601j -0.00771987-0.0277711j 0.00103368-0.00153554j 0.00195628+0.000226521j 0.00737141-0.00995944j 0.0233641-0.00626035j -0.00167438-0.0261532j 0.00575444+0.000182242j -0.00227555+0.00801222j -0.00317122-0.00913169j 0.00193511-0.0139554j -0.00363899-0.0219225j 0.00439861+0.0102595j 0.00189807+0.0188932j -0.00406072+0.0129545j -0.00794167+0.00310106j -0.00330909-0.00634325j -0.000542372-0.00133118j 0.00880068+0.000970288j 0.011158+0.0206969j -0.00858521+0.015613j -0.0318385-0.0026937j -0.00272509+0.0342148j 0.00538194+0.0026622j -0.0143419+0.000963525j -0.00502689-0.0236257j -0.000386821+0.00529707j -0.00310918-0.00425378j -0.00688393-0.00142785j -0.00463829+0.00238722j 0.00569879-0.00223698j 0.000268548-0.00553529j 0.000874257-0.00464221j -0.00406074-0.000387138j 0.000788234-0.000362308j -0.00127595-0.00119268j 0.00112248-0.000640073j 0.0026757+6.17949e-06j -0.00715124-0.0144143j -0.00518257-0.0181731j 0.00175411+0.0076202j 0.0200343+0.00124008j -0.000173863+0.00793625j -0.00810178-0.00307734j 0.00365777-0.0123648j -0.0039896-0.00635407j -0.0076148+0.00332468j 0.00234971+0.00235575j -0.00607724-0.0027509j -0.00948787+0.00185373j -0.00173181-0.00878873j 0.00248508-0.00201564j -0.00347499+0.00108226j -0.00522313-0.00467524j -0.000777542+0.0028093j 0.0122515-0.00319841j 0.00619563+0.00152805j 0.00363139+0.00322047j 0.00489297-0.00189923j 1.14113e-06-0.000890588j 0.00213758+0.000313707j -0.00377712+0.00150761j -0.00139664-0.00236065j -0.00283849+0.000868693j -0.0010884+0.00302381j -0.00101987-0.000210303j -0.000613122+0.000856912j 0.00230201-0.00182045j -0.00126109-0.00167568j -0.00129898+0.0015477j -0.00148376+0.00115061j -0.00185682-0.00115393j -0.000805167+0.00176263j -0.000268932+0.0018168j -0.00222331-0.00187801j 0.00136107-0.0010412j -0.00128185-0.00259557j 0.00175896-3.44418e-05j 0.00318257-0.00032607j -0.000735391-0.000576138j -0.000599322+0.000417245j -0.000660892+0.000679724j 
-0.0191744-0.00601562j -0.0101733+0.00552876j -0.01121+0.00203082j 0.00925408-0.00764235j -0.014451-0.00509887j -0.026119+0.00119519j -0.00333479-0.00542562j 0.00626364-0.00135073j 0.108676+0.0026009j 0.0381963+0.00449054j -0.012896+0.00528461j 0.0485041+0.00783109j 0.0403971+0.0058369j -0.0400374-0.00843982j -0.000543483+0.00836811j -0.0468588-0.0033851j 0.00821285-0.00248939j -0.0130369+0.00396484j 0.0342497-0.0018909j 0.0364611+0.00850222j 0.00615809-0.003557j 0.00497924-0.0099828j -0.0434286-0.000198383j -0.0398099+0.0135494j -0.0658339+0.0102875j -0.0387756-0.00519079j -0.185049-0.0106806j -0.137811-0.00175628j 0.162671+0.00309429j 0.00502142+0.0031777j -0.0104577-0.000415057j 0.0100307-0.000436735j -0.0157428-0.00332191j -0.0224379+0.00524578j -0.00571138-0.00340565j -0.000212563+0.00296488j 0.00283699+0.00617724j -0.000882847-0.00523559j 0.00340522-0.000661531j 0.022412-0.00337698j 0.00577693+0.00116013j -7.19441e-05-0.000726459j -0.0106842-0.000677039j -0.0106381+0.000837461j -0.0325312+0.0020637j 2.57086e-05-0.000454161j -0.0290907-0.00192717j 0.0769858-0.0035702j -0.024144-0.000514192j 0.0212944+0.00262685j 0.0259283-6.77885e-05j 0.0254389-0.00491735j -0.0210509+0.0035525j 0.00625512-0.00547237j -0.00845287-0.00425329j 0.00490098+0.00310614j -0.000436089-0.00711913j 0.0113178-0.00651768j 0.00225634-0.00358974j -0.00529638-0.00899364j 0.00706066+0.00448252j 0.00426619+0.00316025j -0.0018871-0.0113429j -0.0263168+7.50683e-05j -0.0206148+0.00227847j -0.00297135-0.0038473j 0.0131732+0.00967629j 0.000338785+0.00792376j 0.00258533-0.000742165j -0.0211115-0.0158851j -0.0342302+0.00610107j -0.0213936+0.0106539j 0.0362791+0.000496802j 0.0201134+0.00337911j -0.0155199-0.0177803j -0.0129233-0.0282471j 0.0170562+0.0185478j -0.0216926+0.00318679j 0.00245524+0.00196442j 0.00465252-0.00129303j 0.000311458+0.00216678j -0.00703034+0.00013542j -0.00306159+0.0053062j -0.012393-0.00419202j -0.00884778-0.00316477j -0.0173604-0.0032049j -0.00237929-0.00172888j 0.00850924+0.00720345j 0.00400515+0.00896859j -0.00456545+0.0108834j -0.00438369-0.0123089j 0.00601683-0.0328419j 0.0321203+0.0181076j -0.0144028+0.000557799j 0.00558005+0.00938022j 
-0.0149534+0.0020037j 0.0218868+0.00091527j 0.00432697-0.000172979j -0.00217601+0.00640251j -0.00359193+0.0056667j 0.0416547+0.00210553j 0.00263503+0.0117016j -0.0112817+0.00317935j -0.016173-0.0112256j 0.0771501-0.00681889j 0.0489515-0.0180763j 0.0285873+0.00310204j 0.103038-0.0311968j -0.0507573+0.0102742j -0.0465885+0.00576624j -0.0114849-0.00130609j -0.0535238-0.00365327j 0.0155603-0.00546721j 0.0417958-0.0247055j -0.0176322+0.00346854j -0.02038+0.00180421j -0.0313887-0.00433758j -0.0267907+0.0123046j -0.0364205+0.0197094j 0.00401393+0.0022925j -0.109341+0.0173505j -0.0275941+0.0152084j 0.156936-0.00798582j 0.103569-0.0150652j 0.0335137+0.0141978j -0.0325506+0.0189277j 0.00978483+0.00103828j -0.0032695-0.0010441j 0.0116079+0.00118763j -0.0155721+0.00301339j 0.00673438+0.000251054j 0.0239297-0.000180638j -0.0411746+0.000110296j 0.0232047-0.00118392j -0.0222515-0.00051577j 0.0134634-0.00543506j 0.00744032-0.000580173j 0.00832481-0.00472599j -0.031458+0.00154838j -0.0575531-0.00674796j -0.0382072+0.00698667j -0.0301144+0.0100376j 0.00394452+0.0023371j 0.0807007-0.00336384j 0.0412545+0.00221138j -0.00661343-0.00399002j 0.0237345+0.00510788j 0.00217054-0.00568447j 0.01538-0.00244963j -0.0156057-0.0047602j 0.000347097+0.00226211j -0.00931764-0.00138653j -0.00481237+0.00154838j 0.0028228+0.00277864j -0.025821-0.00308308j 0.0341999+0.0125983j 0.011943+0.00581032j -0.000642231+0.00977791j -0.012842-0.00392251j -0.0062199+0.0122276j 0.0066093+0.000840298j 0.00499089-0.00144242j 0.00900389+0.00215921j -0.00203006+0.00390427j -0.0140136+0.0151624j -0.00243524-0.00764102j 0.00482061-0.014163j -0.00873266+0.0136399j 0.000256659-0.00559981j 0.0120598-0.00479713j 0.0280162-0.00856646j -0.00632381-0.0126921j -0.0224786-0.00339783j -0.00248341+0.0105127j 0.00944363+0.0126385j 0.0053738+0.00163707j -0.00481002-0.00927745j 0.000902431-0.000986369j 0.00352437-0.00852022j -0.0078726-0.000496588j -0.0180702-0.0136572j 0.00354263-0.00532379j 0.00305333-0.00218357j -0.00427793+0.00638871j 0.00511172-0.0100789j -0.00132632-0.000374046j 0.0460509+0.00498493j 0.00465877+0.0332387j -0.00875439-0.0130058j -0.0158194+0.00834137j 
-0.0154757+0.00141486j 0.00259664+0.000232435j -0.0250771-0.00326672j 0.0448128+0.00018343j 0.0050037+0.00205984j -0.0574133+0.00598879j 0.0149688+0.00584189j 0.0220327-0.00575763j 0.109212-0.00391896j 0.0661641+0.00304848j -0.00663555-0.00122823j 0.0147724-0.00354721j -0.0182738+0.00278895j -0.00258206-0.000877617j 0.00639551+0.00422768j -0.024436+0.00589907j -0.0346311+0.00196169j -0.0056893-0.0010374j -0.0398249+0.0035316j 0.00767559-0.000239924j -0.00282811-0.00231406j -0.0399558+0.000356158j 0.0335058+0.00190721j 0.0562587-0.00476663j 0.0171312+0.0045431j 0.00637375+0.00114193j 0.0498639+0.00127497j 0.0192772+0.00217007j -0.0094025-0.000132974j 0.0134789-0.00342395j 0.00796801+0.00100662j 0.00667486-0.00424895j -0.0086409-0.000999758j 0.00186925-0.001327j 0.000696849-0.00402121j -0.00393624-0.000822265j 0.00715286+0.000729699j -0.00197477+0.000144579j 0.0031549-0.00227193j 0.00719726-0.00159145j -0.00287617+4.2298e-05j 0.000851418-0.00392584j -0.000861556-0.00263535j 0.00180331-0.00179724j 0.0093509-0.00136129j -0.0116874+0.0038462j 0.00281876+0.00215976j -0.00196838-0.00446875j 0.000770237-0.00181685j 0.00033081-0.000764519j -0.0029594+0.000992004j -0.00627141+0.00392891j 0.00575753+0.0019145j -0.00401536-0.000879129j 0.00406971+0.0020729j -0.000727111-0.00161693j -0.0012623+0.00514272j -0.00869356+0.00675406j -0.000225769-0.000375677j -0.00789683+0.00724062j 0.00298503-0.00313161j -0.00445064-0.0114568j 0.00251593+0.0157437j 0.013945-0.00245884j 0.0125895+0.00833603j 0.0137062+0.00455416j -0.0238424+0.00152245j -0.00554697+0.0131143j -0.00308508+0.0288439j -0.00316121-0.0116851j 0.00228173+0.0104193j -0.0156468-0.00574968j -0.0163496+0.00408077j 0.0160131+0.00574863j 0.00681177+0.0111475j -0.0049193-0.00153502j -0.00663397-0.00717718j -0.000893862-0.00702315j 0.00429601-0.000667253j -0.00463161-0.00311621j -0.00367161+0.00130197j 0.00100778+0.00321011j -0.0185831+0.028912j -0.0168215-0.00246906j -0.0237585-0.0166266j 0.016073+0.00611727j 0.00375125+0.00179868j 0.00201052+0.0022327j 0.00271113+0.000667831j 0.000344099-0.000329608j 0.000616378-0.00167538j -0.000757661+0.0026219j -0.00405512-0.00253909j 0.00217814+0.00016036j -0.000965551-0.00136755j 
