0.103441-0j 0.0154201-0j 0.0231301-0j 0.00243813-0j 0.0292575-0j 0.00689606-0j 0.00597217-0j 0.00109036-0j 0.001028-0j 0.000162542-0j 1.08361e-05-0j 0.098289-0j 0.0193828-0j 0.0212328-0j 0.00353881-0j 0.0274115-0j 0.00408626-0j 0.00612939-0j 0.000646095-0j 0.0054823-0j 0.00129219-0j 0.000913716-0j 0.000166821-0j 0.000136209-0j 1.92628e-05-0j 1.08534e-06-0j 
0.0274115-0j 0.00408626-0j 0.00612939-0j 0.000646095-0j -0.109277-0j -0.0257568-0j -0.0461947-0j -0.00843396-0j -0.0120636-0j -0.0025576-0j -0.000257195-0j 0.00147398-0j 0.000290673-0j 0.000318416-0j 5.30694e-05-0j -0.0057939-0j -0.000863703-0j -0.00129555-0j -0.000136563-0j -0.00239977-0j -0.000565632-0j -0.000606794-0j -0.000110785-0j -0.000121288-0j -2.15132e-05-0j -1.70349e-06-0j 
-0.0140666-0j -0.00209692-0j 0.0924093-0j 0.0298855-0j -0.00397863-0j 0.0275511-0j -0.000812134-0j 0.0088607-0j -0.000139795-0j 0.000649386-0j -1.47357e-06-0j 0.0118532-0j 0.00233748-0j -0.0752282-0j -0.0255028-0j 0.00330569-0j 0.000492784-0j -0.0217165-0j -0.0070232-0j 0.000661139-0j -0.00457824-0j 0.00011019-0j -0.00120221-0j 1.64261e-05-0j -6.82484e-05-0j 1.30886e-07-0j 
0.00363197-0j 0.000541422-0j 0.000812134-0j 8.56064e-05-0j -0.0299853-0j -0.0070676-0j 0.0831035-0j 0.0151726-0j 0.0461113-0j 0.0149205-0j 0.00253213-0j -0.00306048-0j -0.000603534-0j -0.000661139-0j -0.00011019-0j 0.0249137-0j 0.00371391-0j 0.00557086-0j 0.000587221-0j -0.0676526-0j -0.0159459-0j -0.0363461-0j -0.00663586-0j -0.0110882-0j -0.00264328-0j -0.000316291-0j 
0.00680562-0j -0.0920298-0j 0.00152178-0j 0.00016041-0j 0.00192492-0j -0.0203516-0j 0.000392922-0j 7.17375e-05-0j -0.00303384-0j 1.0694e-05-0j 7.12933e-07-0j -0.0118354-0j 0.104694-0j -0.00255675-0j 0.0191144-0j -0.00330075-0j 0.0446348-0j -0.00073807-0j -7.77994e-05-0j -0.00066015-0j 0.00697958-0j -0.000110025-0j -2.00877e-05-0j 0.000735712-0j -2.31953e-06-0j -1.30691e-07-0j 
-0.00215212-0j -0.00032082-0j 0.0141382-0j 0.00457235-0j 0.00857953-0j -0.0594114-0j 0.00362683-0j -0.0395702-0j 0.000947138-0j -0.00589942-0j 2.01929e-05-0j 0.0037427-0j 0.00073807-0j -0.0237537-0j -0.00805264-0j -0.0147117-0j -0.00219309-0j 0.0966476-0j 0.0312562-0j -0.00609345-0j 0.0421958-0j -0.00154076-0j 0.0168103-0j -0.000307972-0j 0.00160487-0j -4.32547e-06-0j 
0.00032082-0j 4.7825e-05-0j 7.17375e-05-0j 7.5618e-06-0j -0.00401837-0j -0.000947138-0j 0.0236626-0j 0.00432018-0j -0.0531462-0j -0.0375665-0j -0.0131902-0j -0.000557928-0j -0.000110025-0j -0.000120526-0j -2.00877e-05-0j 0.00689048-0j 0.00102717-0j 0.00154076-0j 0.00016241-0j -0.0397556-0j -0.00937049-0j 0.0864556-0j 0.0157846-0j 0.0576163-0j 0.0210933-0j 0.00427465-0j 
-0.0030245-0j -0.000450866-0j 0.0409344-0j -7.12882e-05-0j -0.000855458-0j -0.000201633-0j 0.0105692-0j -3.1881e-05-0j -3.00577e-05-0j -4.75254e-06-0j -3.16836e-07-0j 0.00797105-0j -0.0951432-0j 0.00172194-0j 0.00028699-0j 0.00222302-0j 0.000331388-0j -0.0300869-0j 5.23971e-05-0j 0.000444604-0j 0.000104794-0j -0.00448509-0j 1.35289e-05-0j 1.10463e-05-0j 1.56218e-06-0j 8.80188e-08-0j 
0.000552196-0j 8.23165e-05-0j -0.00737869-0j 0.0697125-0j 0.000156185-0j -0.0021999-0j 3.1881e-05-0j 0.0100423-0j 5.48777e-06-0j -5.18522e-05-0j 5.78461e-08-0j -0.00145531-0j -0.00028699-0j 0.0187871-0j -0.0904004-0j -0.000405866-0j -6.05029e-05-0j 0.00542337-0j -0.0512389-0j -8.11732e-05-0j 0.00114335-0j -1.35289e-05-0j -0.00426151-0j -2.01676e-06-0j 1.7044e-05-0j -1.607e-08-0j 
0.000901732-0j -0.0121938-0j 0.000201633-0j 2.1254e-05-0j -0.00359479-0j 0.0380067-0j -0.00151963-0j -0.000277445-0j 0.0178011-0j -8.4135e-05-0j -8.46073e-06-0j -0.00237651-0j 0.0210221-0j -0.000513384-0j 0.00383808-0j 0.00934153-0j -0.126322-0j 0.00208883-0j 0.000220182-0j 0.00386917-0j -0.0409076-0j 0.000978338-0j 0.000178619-0j -0.00877181-0j 3.46858e-05-0j 2.74655e-06-0j 
-0.000201633-0j -3.00577e-05-0j 0.00132462-0j 0.000428385-0j 0.00166467-0j -0.0115275-0j -0.00461359-0j 0.0503362-0j -0.00255993-0j 0.0243359-0j -0.000140574-0j 0.000531403-0j 0.000104794-0j -0.00337264-0j -0.00114335-0j -0.00432586-0j -0.000644861-0j 0.0284184-0j 0.00919062-0j 0.0117468-0j -0.081344-0j 0.00631093-0j -0.0688547-0j 0.00192528-0j -0.0134841-0j 5.49189e-05-0j 
2.1254e-05-0j 3.16836e-06-0j 4.75254e-06-0j 5.00962e-07-0j -0.000356955-0j -8.4135e-05-0j 0.00320812-0j 0.00058572-0j -0.0157402-0j 0.0311239-0j 0.0380256-0j -5.60148e-05-0j -1.10463e-05-0j -1.21006e-05-0j -2.01676e-06-0j 0.000927593-0j 0.000138277-0j 0.000207416-0j 2.18636e-05-0j -0.00816828-0j -0.00192528-0j 0.038804-0j 0.00708461-0j -0.0723407-0j -0.0596235-0j -0.0252209-0j 
0.0136199-0j 0.00203033-0j -0.0894749-0j -0.0289365-0j 0.00385229-0j -0.0266763-0j 0.000786345-0j -0.00857934-0j 0.000135356-0j -0.000628765-0j 1.42677e-06-0j 0.0129415-0j 0.00255211-0j -0.0821357-0j -0.0278445-0j 0.00360922-0j 0.000538031-0j -0.0237105-0j -0.00766807-0j 0.000721845-0j -0.00499862-0j 0.000120307-0j -0.0013126-0j 1.79344e-05-0j -7.4515e-05-0j 1.42905e-07-0j 
-0.00351664-0j -0.00052423-0j -0.000786345-0j -8.2888e-05-0j 0.0290331-0j 0.00684317-0j -0.0804646-0j -0.0146908-0j -0.0446471-0j -0.0144468-0j -0.00245173-0j -0.00334149-0j -0.000658951-0j -0.000721845-0j -0.000120307-0j 0.0272012-0j 0.00405492-0j 0.00608238-0j 0.000641139-0j -0.0738645-0j -0.01741-0j -0.0396834-0j -0.00724517-0j -0.0121063-0j -0.00288599-0j -0.000345333-0j 
-0.0114134-0j 0.154339-0j -0.00255211-0j -0.000269016-0j -0.00322819-0j 0.0341307-0j -0.000658951-0j -0.000120307-0j 0.00508791-0j -1.79344e-05-0j -1.19562e-06-0j -0.000613724-0j 0.00542886-0j -0.00013258-0j 0.000991171-0j -0.000171159-0j 0.00231453-0j -3.82724e-05-0j -4.03427e-06-0j -3.42319e-05-0j 0.000361924-0j -5.70531e-06-0j -1.04164e-06-0j 3.81502e-05-0j -1.20279e-07-0j -6.77693e-09-0j 
0.00360922-0j 0.000538031-0j -0.0237105-0j -0.00766807-0j -0.0143883-0j 0.0996359-0j -0.00608238-0j 0.0663612-0j -0.0015884-0j 0.00989363-0j -3.38645e-05-0j 0.000194077-0j 3.82724e-05-0j -0.00123174-0j -0.000417567-0j -0.000762872-0j -0.000113722-0j 0.00501163-0j 0.00162078-0j -0.000315974-0j 0.00218805-0j -7.98956e-05-0j 0.000871693-0j -1.59698e-05-0j 8.32201e-05-0j -2.24296e-07-0j 
-0.000538031-0j -8.0205e-05-0j -0.000120307-0j -1.26815e-05-0j 0.006739-0j 0.0015884-0j -0.0396834-0j -0.00724517-0j 0.0891289-0j 0.0630009-0j 0.0221206-0j -2.89312e-05-0j -5.70531e-06-0j -6.24986e-06-0j -1.04164e-06-0j 0.000357304-0j 5.32637e-05-0j 7.98956e-05-0j 8.42173e-06-0j -0.00206152-0j -0.000485904-0j 0.00448313-0j 0.000818505-0j 0.00298768-0j 0.00109379-0j 0.000221661-0j 
0.00717323-0j 0.00106932-0j -0.0970844-0j 0.000169075-0j 0.0020289-0j 0.000478216-0j -0.0250671-0j 7.56125e-05-0j 7.12882e-05-0j 1.12716e-05-0j 7.51443e-07-0j -0.00604452-0j 0.072148-0j -0.00130577-0j -0.000217628-0j -0.00168574-0j -0.000251295-0j 0.0228152-0j -3.97332e-05-0j -0.000337147-0j -7.94663e-05-0j 0.00340109-0j -1.02591e-05-0j -8.37649e-06-0j -1.18461e-06-0j -6.67454e-08-0j 
-0.00130965-0j -0.000195231-0j 0.0175001-0j -0.165338-0j -0.000370424-0j 0.00521752-0j -7.56125e-05-0j -0.0238175-0j -1.30154e-05-0j 0.000122978-0j -1.37194e-07-0j 0.00110357-0j 0.000217628-0j -0.0142464-0j 0.0685514-0j 0.000307772-0j 4.58799e-05-0j -0.00411259-0j 0.0388549-0j 6.15544e-05-0j -0.00086701-0j 1.02591e-05-0j 0.00323155-0j 1.52933e-06-0j -1.29246e-05-0j 1.2186e-08-0j 
-0.00213864-0j 0.0289201-0j -0.000478216-0j -5.04083e-05-0j 0.00852579-0j -0.0901409-0j 0.00360411-0j 0.000658018-0j -0.042219-0j 0.000199544-0j 2.00664e-05-0j 0.00180213-0j -0.0159412-0j 0.000389304-0j -0.00291045-0j -0.00708377-0j 0.0957911-0j -0.00158398-0j -0.000166966-0j -0.00293402-0j 0.0310206-0j -0.000741883-0j -0.000135449-0j 0.00665175-0j -2.63026e-05-0j -2.08273e-06-0j 
0.000478216-0j 7.12882e-05-0j -0.0031416-0j -0.00101601-0j -0.00394811-0j 0.0273398-0j 0.0109421-0j -0.119383-0j 0.0060714-0j -0.0577176-0j 0.000333402-0j -0.000402968-0j -7.94663e-05-0j 0.0025575-0j 0.00086701-0j 0.00328034-0j 0.000489004-0j -0.0215499-0j -0.00696933-0j -0.0089077-0j 0.0616839-0j -0.00478563-0j 0.0522132-0j -0.00145996-0j 0.0102251-0j -4.16455e-05-0j 
-5.04083e-05-0j -7.51443e-06-0j -1.12716e-05-0j -1.18814e-06-0j 0.000846592-0j 0.000199544-0j -0.00760872-0j -0.00138916-0j 0.0373312-0j -0.0738167-0j -0.0901857-0j 4.24765e-05-0j 8.37649e-06-0j 9.17598e-06-0j 1.52933e-06-0j -0.000703402-0j -0.000104857-0j -0.000157286-0j -1.65794e-05-0j 0.00619408-0j 0.00145996-0j -0.0294254-0j -0.00537232-0j 0.0548566-0j 0.045213-0j 0.0191252-0j 
-0.00491118-0j -0.000732115-0j 0.0664692-0j -0.000115758-0j -0.00138909-0j -0.000327412-0j 0.0171623-0j -5.17684e-05-0j -4.88077e-05-0j -7.71717e-06-0j -5.14478e-07-0j -0.00466657-0j 0.0557006-0j -0.00100809-0j -0.000168016-0j -0.00130144-0j -0.000194008-0j 0.0176141-0j -3.06753e-05-0j -0.000260289-0j -6.13507e-05-0j 0.00262575-0j -7.92034e-06-0j -6.46693e-06-0j -9.14562e-07-0j -5.15297e-08-0j 
