-0.113946+0.611593j -0.831482-0.00873477j -0.101723-0.613329j 0.233621-0.066672j 0.174223+0.287023j 0.0750978+0.000329276j -0.1779+0.284004j -0.231605-0.0694277j 0.0204201+0.0721733j -0.0574659+0.0161233j -0.165425+0.0846153j -0.0915626-0.111156j 0.0877815+0.128139j 0.0796504+0.0101898j 0.0456938+0.120705j 0.0504549-0.120021j 0.0796347-0.00722255j 0.0936293-0.127732j -0.0916503+0.104552j -0.162112-0.0883931j -0.0585025-0.0177375j 0.0210081-0.0716239j 
-0.370941+0.0586734j 0.118781-0.00111563j -0.37166-0.0594368j -0.313149-0.410815j 0.248377-0.107403j 0.42741+0.000350605j -0.247882-0.110349j 0.317485-0.410087j 0.153473-0.299579j 0.257467+0.0878021j -0.025988+0.0459843j 0.03658-0.0223051j 0.182867+0.146703j 0.00456443+0.161941j -0.12027-0.0685026j -0.12132+0.0665558j 0.0039217-0.161279j 0.181185-0.145913j 0.036476+0.0199849j -0.0264645-0.0465095j 0.257227-0.0838938j 0.150323+0.299538j 
0.0964103-0.0620069j -0.0484103-0.115933j -0.0633439-0.0462609j -0.0154855+0.17742j 0.202281+0.076968j -0.038653-0.31119j -0.149358-0.0396987j 0.157212+0.233145j 0.0691998-0.0435665j 0.0357417-0.0843612j -0.144849+0.0785406j 0.0528559+0.20067j -0.0393916-0.0369716j -0.273193+0.414985j 0.160537-0.171115j -0.254261-0.183069j -0.0621927-0.0842798j -0.0474091+0.0539314j -0.166471+0.00937174j 0.132157-0.109266j -0.24977-0.00888061j 0.2924-0.126802j 
-0.0502334-0.114286j -0.216811+0.00175407j -0.0461334+0.114647j 0.083082-0.114024j -0.171091+0.00262475j 0.2182+0.00196188j 0.172297+0.00198897j -0.0845957-0.114464j -0.120772+0.0377329j -0.0470859+0.0201161j 0.204892+0.206352j -0.0144004+0.0586958j 0.278661-0.342357j -0.100735+0.324628j 0.110213+0.185092j 0.113763-0.178753j -0.100728-0.330112j 0.275517+0.345638j -0.00309182-0.0533376j 0.206694-0.203819j -0.0429344-0.0210692j -0.121387-0.0375821j 
-0.0466927-0.057156j -0.0175432-0.00305814j -0.0662586+0.0316853j -0.0626465+0.206803j 0.019019+0.050818j 0.369012+0.0822288j -0.0399046+0.0381338j -0.0297119+0.214025j 0.0779534-0.0122579j 0.159645-0.112594j -0.0448692+0.279312j -0.0339562-0.288092j -0.20908-0.251652j 0.140313+0.0887155j 0.161183-0.164595j 0.0760515+0.217564j 0.163488-0.0230003j -0.294043+0.132778j -0.161258+0.247751j 0.0771652-0.273623j 0.0951214+0.17039j 0.0638643+0.04449j 
0.0651182-0.0487283j 0.044896-0.116279j -0.0967561-0.0604553j 0.158549-0.232431j -0.150448+0.043225j 0.0385563-0.310811j 0.204858-0.0788174j -0.0177549-0.176447j -0.290476-0.128545j 0.250796-0.00665436j -0.129014-0.109261j 0.165743+0.00867487j 0.0520571+0.0479341j 0.0625264-0.0792061j 0.254326-0.182466j -0.158898-0.175714j 0.273383+0.414425j 0.0441525-0.037532j -0.0533843+0.200286j 0.147513+0.0764361j -0.03544-0.0825167j -0.0687359-0.0446663j 
-0.00179247-0.0212451j -0.032672-0.0676411j -0.0939997+0.0615522j 0.0222298+0.0403244j 0.144466+0.0219914j -0.0644976-0.0649024j -0.0480242-0.122821j 0.0371264-0.011157j 0.0410716+0.010637j 0.0805149-0.0765789j -0.0282429-0.0190547j -0.0903708+0.148754j -0.0302484-0.0420616j -0.105052+0.0879036j 0.0918321-0.0151521j 0.148228+0.0501745j 0.0910968+0.0313348j 0.0736195-0.196474j 0.0823393-0.0848952j 0.0493294-0.0710957j 0.134615+0.0388647j 0.022251-0.197877j 
-0.0267822+0.011084j 0.113201+0.0641766j 0.00769937-0.142338j 0.0613063-0.0470872j -0.0439507+0.042709j 0.0833088-0.120485j 0.0276613-0.164551j -0.0645963+0.0578614j 0.0222389-0.115803j -0.0520866-0.142829j 0.0466671+0.058492j 0.0453415+0.00513034j -0.108023+0.085869j -0.00803404+0.0505887j 0.165049-0.0342571j 0.0882685+0.056262j 0.0794547-0.1256j 0.00886954-0.122608j -0.0613097-0.111396j -0.0187513+0.0212214j 0.0731895-0.199909j -0.178357-0.0926517j 
-0.0962462-0.00692383j 0.00673348+0.000489138j -0.0947558+0.0885869j 0.0591987-0.0779962j -0.0392058-0.0351317j 0.0138896-0.0759821j -0.0787426-0.099006j -0.0536514+0.0443024j -0.00919939-0.0256618j -0.0467854+0.054399j 0.0138+0.132633j 0.0669658-0.0887844j 0.0425484-0.054096j -0.0957561-0.0388511j -0.112455+0.0411084j -0.0251624-0.031367j -0.0397647+0.158837j 0.00702231+0.100095j 0.0397874-0.0129251j -0.0849243-0.0636222j -0.0170475-0.0334113j -0.0199059+0.0986391j 
0.0749628+0.0111688j -0.0664581-0.000611019j 0.0751454-0.0104301j 0.0427202-0.0168417j 0.0164922-0.0486294j 0.00474651-0.00125879j -0.0177444-0.0485984j -0.0423305-0.0155473j -0.113728-0.134891j -0.0864344+0.116582j -0.00481628+0.0953287j 0.0197471-0.0336888j -0.0256437+0.00786687j -0.0189589-0.00439731j 0.0239385+0.014512j 0.0244593-0.0139151j -0.0179634+0.00743369j -0.02688-0.00629706j 0.0193861+0.0326192j -0.00538607-0.0941517j -0.0879297-0.115879j -0.112986+0.137176j 
-0.0179041+0.104978j 0.137096-0.00132957j -0.019495-0.104908j -0.0466771-0.0289497j 0.11735+0.0167128j -0.157535+2.59185e-05j -0.119074+0.0155529j 0.0475967-0.0277668j 0.118409+0.102388j 0.102896-0.0736089j -0.0435365+0.0420662j 0.0413187+0.0556217j 0.0485686-0.0941833j -0.0246055-0.0861016j -0.0837306+0.077793j -0.084442-0.0770079j -0.0236919+0.0861939j 0.0484774+0.0958599j 0.0413184-0.0567727j -0.0456292-0.0406717j 0.103797+0.0718666j 0.117161-0.103422j 
