-0.00278612-0.0443777j -0.03137+0.0688562j 0.0662068+0.035716j -0.0299268-0.0192528j -0.00561371+0.00509426j -0.0142249-0.0113442j 0.0205029+0.0704326j 0.0161243+0.0540363j 0.0180203+0.0168639j 0.00393364-0.0265002j 0.0171345-0.00933573j 0.0177208+0.038476j -0.0227793-0.00446183j 0.00837777+0.0228425j -0.0210878-0.0161905j 0.0140028-0.0328834j -0.0585441+0.00580965j 0.0223837-0.0379307j -0.0138286+0.0239618j -0.0108154-0.0302931j 0.0329166+0.00886342j 0.0300126-0.000253104j 0.00510566+0.0111309j 0.0020143+0.00760314j -0.0139449+0.0434911j 0.000305047+0.0268592j -0.028725+0.0386537j -0.0239971-0.0301267j -0.00807712+0.00950456j 0.0271688-0.00923804j -0.0226956+0.000492842j -0.00231477-0.0171294j -0.00742006-0.0102351j 0.0136088+0.00674594j 0.0152596+0.0209864j 0.0237182+0.0237251j -0.00764801-0.012359j -0.0102224+0.0288851j -0.0103491-0.075615j 0.00292792-0.0179406j 0.00404952-0.00991687j -0.00260293-0.00719525j -0.00538286+0.0567934j 0.0118046-0.0115408j -0.0130268-0.00299047j 0.0181378-0.021718j 0.00926722+0.0037437j 0.0331545+0.013254j 0.0495972+0.032955j 0.0398045+0.00868613j -0.0100759-0.00484601j 0.0336906+0.000186742j -0.000927117+0.0859838j -0.022674+0.0358365j 0.0146623-0.099735j -0.000599931+0.05244j 0.00812021+0.0277365j 0.00921177-0.0260455j -0.0333841-0.0012731j -0.0101654+0.0145404j 0.00334944+0.0232491j 0.00662345+0.01046j 0.0210315-0.0979995j -0.0292027+0.000243987j -0.0622402-0.0607973j 0.0326327+0.00791675j 0.00133316-0.0714292j 0.00724431-0.0384432j -0.0857375-0.0747577j -0.0213638-0.00206076j 0.0204023-0.0917423j 0.0436025+0.00830398j -0.0343094+0.0859052j 0.0407081+0.0129048j -0.029902+0.0266929j 0.0736854-0.0435256j 0.00207514+0.0189103j 0.0806711-0.0814777j 0.124401+0.00359872j -0.0205711+0.0663525j -0.00353069+0.0682694j 0.0622163-0.0825289j -0.0418527+0.0438932j -0.0738744+0.0226284j 0.0384851+0.0875092j -0.0167279-0.0215426j -0.026698-0.0320669j 0.174656-0.041183j 0.0182986-0.115891j -0.120059+0.0401333j 0.122083-0.260285j -0.223897+0.159279j 
-0.0279328+0.0580243j -0.00248507+0.042912j -0.024655-0.0228678j -0.0603366-0.0426406j -0.0367117-0.036235j 0.00980937+0.00992831j -0.000542803+0.0640707j -0.0010374-0.0623937j -0.00359849+0.00480168j 0.0178282-0.0205268j -0.025103+0.0142269j 0.0279847-0.0293861j -0.0219276-0.0133119j 0.0203824-0.0229461j -0.00280163+0.0717593j -0.0253581-0.0112353j 0.012496+0.0279261j -0.0105623-0.0159069j 0.00138667+0.03685j 0.00862142-0.00754947j 0.0153045-0.0728905j -0.00865493-0.0277725j -0.00170437-0.0155484j 0.0147138-0.00748841j 0.0263863-0.000778324j -0.0362823-0.0287256j -0.00700114+0.0184248j -0.0295211+0.00831404j -0.0131733+0.0119618j 0.00523748+0.00948655j -0.00512044+0.0630647j -0.00460832-0.00218086j -0.0183228+0.0116013j -0.00132954+0.00295292j -0.00473245+0.0153005j 0.0364687-0.0425004j -0.046285+0.049797j 0.0200019+0.0208614j -0.0122088-0.0180594j -0.0365945+0.0588529j 0.0163156-0.0266088j -0.00266608-0.0424249j 0.0181641-0.0017318j -0.0313476-0.0312252j 0.00261986+0.0345282j 0.000628706-0.0359509j 0.0221475-0.007271j 0.0213248-0.0417699j -0.000785174-0.0271214j 0.0460303-0.0731023j -0.0241555+0.0209169j 0.00241981-0.0265385j 0.0323134-0.0389422j 0.0465647-0.0263347j -0.0332206+0.0166591j 0.0631568-0.00148597j 0.000886781-0.000432641j 0.0131507-0.0289208j 0.00366492+0.0460301j 0.0289628+0.0182531j 0.00562933+0.0143106j 0.0345903-0.00384467j -0.0944958-0.0345337j -0.00347699+0.0189395j -0.0127069+0.055225j -0.0143681-0.0336655j -0.00977444-0.0323652j -0.0650838+0.0611692j -0.0836555+0.0392604j -0.0123194+0.00422406j -0.0977148+0.0344795j 0.0255654-0.0250876j 0.0319199+0.131801j 0.0131271-0.0641058j 0.0111661-0.0360569j -0.0140711-0.0399124j 0.0241289-0.00968108j -0.0595324-0.0767748j 0.0149622-0.101889j -0.0253947-0.0457689j 0.075087-0.0357034j -0.0705799-0.0336623j 0.0535436+0.0403981j -0.0221535+0.00521521j -0.11583+0.00682251j 0.00665323-0.0862764j -0.141143+0.0789296j -0.00819636+0.0867891j 0.14415-0.0261457j 0.0542352-0.107248j 0.23998-0.152721j 0.107239-0.233533j 
-0.0152574+0.0750213j 0.00947747+0.0152591j -0.0303685+0.0210161j -0.00761251-0.0157452j -0.0360776+0.00998915j 0.0566723+0.0173045j 0.0242239-0.00533915j 0.0375935+0.054882j -0.00705816-0.00747306j -0.033282-0.0444143j 0.0478601+0.021118j 0.0488904-0.0310344j 0.0110124+0.0421009j -0.029872+0.032212j 0.0431639+0.0383028j -0.0890138+0.000928604j -0.0298244-0.00996547j 0.00132443-0.0193422j 0.0176175+0.0395317j 0.0471904-0.0527269j 0.0394977+0.0329043j -0.0559491+0.0145509j -0.0279685-0.0245796j 0.0347973+0.0208273j -0.0312473-0.0178738j 0.0255903-0.0176223j 0.0384415+0.0052858j -0.0636683-0.0182277j 0.0131365-0.10286j 0.0355273-0.00934191j 0.0202677+0.0418235j 0.029555+0.0100957j -0.0339008-0.0703082j -0.0883708+0.0187517j -0.0379523-0.0251737j 0.00461685+0.0105991j 0.0855896+0.0188669j 0.00356218-0.0387747j 0.0062391+0.062637j 0.00405837+0.0367677j 0.0886417+0.0885808j 0.0352378-0.0193738j 0.0374215+0.0289324j -0.0378384+0.0626829j -0.0386355+0.00110694j 0.0472102-0.00511863j 0.00533496-0.0390098j 0.00691494+0.0392861j 0.0241232-0.0761651j -0.0397048-0.120697j 0.00919998-0.0177099j -0.0573295+0.0361541j 0.00894477-0.0637757j 0.0262308+0.0125776j -0.0683204+0.117742j -0.0448362+0.051194j 0.000618267-0.0661986j -0.033421-0.0181248j -0.0535443+0.00676742j -0.0377347-0.00624792j -0.0107685+0.0245557j -0.00895978+0.128286j 0.00243441+0.00132091j -0.00844878-0.0278235j -0.0217411+0.0395731j -0.0754221-0.0584067j 0.0730958-0.086763j -0.00423083+0.0608592j -0.0120877+0.00263908j -0.0287115+0.0374738j -0.0455457+0.0489354j -0.0313938-0.0457997j 0.00197493-0.0479638j 0.00627188+0.0596046j -0.0503804+0.0187556j -0.176693+0.0268147j -0.0352925-0.160637j 0.0975904+0.0317097j -0.0234208+0.0620181j -0.0404289+0.0304005j -0.0158664-0.0759107j -0.00911985-0.068008j -0.170932-0.0677538j -0.0326599+0.00261843j -0.024054-0.0581863j 0.049836-0.203171j 0.182871-0.0277169j -0.0553999-0.0499787j 0.123317+0.0797557j -0.0404081+0.119827j -0.030648-0.00995625j 0.04231-0.0465828j 
0.012144+0.0139152j -0.0157989-0.0822123j 0.0196377-0.0363846j 0.0135464-0.00844148j 0.0574502-0.0255057j 0.105015-0.0257047j 0.0344781+0.0385356j 0.006354+0.0528143j -0.0278611-0.00633514j 0.00505524+0.0194425j 0.0602778+0.0167528j 0.021599-0.0266634j 0.0959721+0.0229763j -0.0015994+0.00499491j 0.0260386-0.0240019j -0.00758508+0.104687j 0.00407871-0.0237865j 0.0222726-0.0375261j -0.0118941-0.00796794j -0.0643433+0.0128625j 0.0101165+0.011928j 0.0202562+0.0319976j -0.0245554-0.0107486j 0.0212692+0.00469406j -0.0149039+0.0665524j 0.00536756-0.0160839j -0.00625503-0.00778265j 0.0276709+0.130543j -0.0561164+0.0751011j 0.0457741+0.0381955j -0.0143559-0.0572167j -0.0174195+0.0378684j -0.0413565-0.0158651j -0.0276135+0.0301672j 0.0105811+0.00601734j -0.0479178-0.00443822j 0.0243999-0.0252893j -0.0183039+0.0156124j 0.0394184+0.0864515j -0.0188406+0.00477507j 0.0533758+0.0291656j -0.0559129-0.100612j -0.02069-0.0250421j 0.0268147+0.0281646j 0.0208728+0.0583099j 0.0130201-0.00517315j -0.00802277+0.0441287j 0.00154397-0.0310135j -0.00666561-0.0639113j 0.0020142+0.000672679j -0.0422013+0.0112577j 0.133353-0.00998195j -0.0188116-0.0894843j -0.0758826-0.0174412j 0.0126617+0.0264447j 0.0474696-0.0238997j 0.0177002-0.0591206j 0.061552+0.0877418j 0.0260733+0.00385906j -0.035404+0.00698677j 0.0555154-0.0011033j 0.0406779+0.0514449j -0.0833031-0.0264268j 0.0337379-0.00887226j 0.0358583-0.0535347j 0.000316669+0.104149j -0.0541492+0.0163854j 0.00993821-0.0346988j 0.0399031+0.00234186j -0.0314176-0.00955223j 0.00892366-0.00017411j 0.00124397+0.0229674j 0.0146318-0.0971142j 0.0286415+0.0451878j 0.00810439+0.0702781j 0.0199654+0.15516j -0.0890588+0.15187j 0.0599772-0.013517j 0.107232+0.0260574j 0.0398882-0.036172j -0.0477793+0.0433711j -0.0457843-0.0953232j 0.0482711-0.0307673j 0.0383182-0.0622509j 0.155756-0.0573081j 0.264496+0.0220948j -0.0169413+0.244949j 0.120266-0.0155459j -0.0496581-0.104595j 0.131903+0.00253364j -0.0205206+0.0489125j -0.0331684+0.0277978j 
-0.0134873-0.00325768j -0.0148296+0.0286765j 0.024171+0.00759279j -0.0486321-0.00341968j -0.0117489-0.0158914j 0.0246413+0.0234977j 0.0112501+0.0677076j -0.0441764+0.0296434j 0.0354081+0.0184547j 0.0324855+0.0449455j -0.0257174+0.0338465j -0.0165272+0.0176346j 0.0192186-0.00370527j 0.035016+0.0215703j -2.09856e-05-0.00864919j 0.0546863+0.0568368j -0.0585639+0.0274814j -0.0294277-0.0445647j 0.0308141+0.112688j -0.0399668-0.024282j -0.0468593-0.183527j 0.10889+0.0232762j 0.0584059+0.064612j -0.111791-0.0102169j 0.0607079+0.167437j -0.029275-0.0103953j -0.0431233-0.0545361j -0.0611675+0.0121089j -0.0496916+0.0393357j -0.0123714+0.0735844j -0.00172663-0.0213823j -0.0436934-0.116191j 0.0776948+0.0194111j -0.0696581+0.0334567j 0.15175+0.0691931j -0.0292855+0.0445331j -0.0987268+0.0424063j -0.0253369-0.0546584j -0.0379438-0.0860028j -0.0172359-0.0153767j -0.00480332-0.102549j -0.0662591-0.00355855j 0.00785362+0.0773539j 0.0673063-0.130728j 0.0435778-0.0398127j -0.0711248+0.0238778j -0.0925509+0.0759587j 0.06561-0.219694j -0.0440816+0.0789474j 0.109429+0.170717j 0.0343186-0.109997j 0.0972175-0.0339192j 0.0181726+0.0504134j -0.0302142+0.0607783j 0.143465-0.0638986j 0.0801928+0.0356524j 0.0387987+0.0363381j -0.0464919+0.135101j -0.0209973-0.016747j -0.117248-0.039918j 0.0205348-0.0582286j -0.0192752-0.0860845j 0.0636089-0.0404719j -0.036064-0.0300602j -0.0734436-0.0265557j -0.00712241+0.0120277j 0.0183525-0.0415438j 0.0835592-0.0964714j -0.0245797+0.0397192j 0.0980327-0.0697811j 0.0411577-0.112725j 0.0724553-0.0318911j 0.0158338+0.0551063j 0.00396924-0.0627973j -0.0746432-0.0661797j -0.0995478+0.0200558j 0.0520264-0.0969465j -0.0183834+0.070888j 0.0876183-0.0478084j -0.0387062+0.0605678j -0.0353428-0.0570199j -0.0314335+0.037808j 0.0312607-0.0791609j -0.005395-0.0138523j 0.0356821+0.0434917j -0.0376369+0.028077j 0.00799685-0.00374947j 0.0124794+0.0582772j 0.0189179-0.00896138j -0.0118707+0.0253056j 0.0119045-0.0290324j 0.00309174+0.0163836j 
0.000436728+0.0219751j 0.00928885+0.0258142j -0.0143169+0.0062486j -0.0287821-0.0266922j -0.026718+0.0162524j -0.0101101+0.0120147j -0.0519719-0.0361052j 0.0157152-0.125434j 0.0449312-0.012898j 0.022708+0.0600084j -0.0532287-0.0253734j -0.0262185+0.045585j -0.104261-0.0263396j 0.00607527-0.0843972j 0.0884889+0.0316442j 0.0196226-0.0585482j 0.00397505-0.0565673j -0.0666949+0.00177804j -0.00925781+0.123253j -0.00682377-0.102734j 0.00605016+0.0895885j 0.0200666+1.30233e-06j 0.201584-0.115816j 0.012749+0.00653932j 0.0781757-0.141486j -0.124666+0.0703207j 0.105582-0.00621205j 0.0407404-0.0490575j 0.0330416-0.0855503j 0.00728329+0.00741053j -0.0313878+0.141847j 0.0543697+0.00133003j 0.0602215+0.0657461j 0.0421897+0.162392j -0.0688673+0.0254025j 0.0825666+0.00290084j 0.0236984+0.0630323j -0.0400621-0.0211842j -0.159576-0.252j 0.0173354+0.0603183j 0.0604867-0.0106613j 0.0693106+0.0739402j 0.0657602-0.0519285j -0.165293-0.143815j -0.0413038-0.0430317j 0.118164-0.0300572j 0.0955873-0.0407787j -0.0503993+0.0513897j 0.102054-0.0407813j 0.13032+0.00593195j -0.0482536-0.030309j -0.0661849+0.0435743j -0.0894868-0.0260138j 0.192765+0.0114198j -0.017831+0.0183624j 0.0274934-0.0462322j -0.142776+0.0484036j -0.148905+0.0423424j -0.131213+0.00418983j 0.0210171-0.0445944j 0.0179347+0.0164011j 0.0298763+0.0375841j -0.0405289+0.00837028j 0.0858026+0.00364735j 0.0925382-0.00888803j 0.00650208+0.0303256j 0.0104103+0.00694206j -0.0239668-0.0316333j -0.0785902-0.00945783j -0.0415893+0.0256106j 0.050618-0.0776566j 0.00774647-0.0242807j 0.0923189-0.0212111j 0.0888769-0.169972j 0.0304146+0.0375412j 0.0328914+0.0532971j -0.00544992+0.0875812j -0.0344352+0.0133333j -0.0226636+0.0587225j -0.0442346-0.0174108j 0.0239048+0.0573158j -0.0616983+0.019871j 0.0450419-0.016759j -0.0163477-0.080693j -0.0317596+0.0265033j 0.0274259+0.0178344j -0.00976109+0.00393247j 0.0430981+0.0116586j 0.0253821-0.0207672j 0.0256775-0.012667j 0.0130954-0.0156122j 0.00751304-0.0117836j 
-0.0176564+0.0199065j 0.00151185+0.00764498j -0.0052424-0.0307765j -0.0439814+0.00335998j 0.0125473-0.0424743j 0.0256674-0.0220793j -0.00696768+0.0470925j -0.0390165-0.00622531j 0.0648593-0.0333954j -0.000830755+0.01547j -0.00217264-0.0572563j 0.0446523-0.103317j 0.00147235-0.0544171j 0.0362303-0.00778432j -0.0279482+0.0845282j 0.0379514+0.167384j 0.043722+0.0738931j -0.0191487+0.0963281j -0.0166546-0.0621464j -0.0426953-0.00924261j 0.00360697-0.123135j -0.0231532+0.00714835j -0.0643014-0.011139j -0.0167704-0.0572451j -0.00121354+0.0311618j 0.0598938-0.0467253j -0.0825925+0.167213j 0.0421925+0.0601768j -0.0332094+0.0386185j 0.0433164+0.0287281j 0.00364785+0.157378j -0.0334528+0.168757j -0.0340629+0.0030269j -0.0308455-0.111064j 0.0563172+0.0638861j 0.0723076+0.0555195j 0.0093522-0.00838349j 0.0311852+0.046574j 0.0493874+0.132046j -0.018787+0.0104421j -0.0317727-0.0114372j -0.0989092-0.0714734j 0.104316+0.100492j 0.0173948-0.0801188j 0.0457092+0.00498406j -0.0232365-0.104782j -0.0569063+0.00243858j 0.029804+0.0707964j -0.0185282+0.0146622j 0.0214196+0.00977102j -0.115705+0.0556359j 0.160546-0.0528j 0.0798235-0.107833j 0.0940992-0.130618j -0.011805+0.0376346j -0.0271699+0.0476214j 0.0119489+0.025329j 0.0217072-0.00100976j -0.0799025+0.0107639j 0.0223647+0.0101549j 0.0136718-0.0244607j -0.0335345-0.0765445j -0.0230886+0.0856978j 0.0074876-0.00549164j 0.0279345-0.0295502j 0.0259598-0.0698207j 0.113031-0.0931277j 0.0676314+0.0079243j 0.0514671-0.00531536j -0.0268058-0.000607908j -0.0455173-0.00299987j 0.0722465-0.0555198j 0.00222453-0.0260436j 0.114517-0.107982j 0.00125952+0.0101457j 0.0176248-0.0473259j 0.0143306-0.024261j -0.110901-0.0146285j -0.0632178+0.0390282j -0.0346177-0.107006j -0.06598+0.0489758j -0.0185723-0.102282j 0.0991335+0.047368j 0.0870159-0.097061j -0.0935176+0.073834j -0.0190032-0.0101839j 0.00291725-0.11801j -0.0132659+0.0494446j 0.029851+0.00702059j 0.0266289-0.035934j 0.0298191-0.0247755j 0.0382313-0.0372321j 
0.0218208+0.0589227j 0.0091985-0.041222j -0.0550783-0.00555812j 0.0346408-0.035352j -0.0615798-0.0315357j -0.0217358+0.0309741j -0.0241734-0.0630236j 0.0241096-0.0304477j 0.000484739+0.0680977j 0.0541204+0.0248113j -0.0027446+0.00469324j -0.0069791-0.0136162j 0.0313378+0.0248997j 0.0196141+0.04612j 0.0177511+0.0455251j 0.0463694-0.0903857j 0.0659071+0.090318j -0.0400504+0.0510339j -0.00469153-0.0342115j -0.0268174-0.00300009j -0.100881-0.139429j 0.0376077-0.0503293j -0.00931717+0.0613316j -0.035528-0.0263267j -0.0137202+0.0240938j -0.0237892-0.039285j 0.0536105-0.0442083j -0.0618393-0.0960095j 0.0154532+0.0169558j 0.0372296-0.0107685j 0.0729017-0.0118807j -0.0369097-0.0146888j 0.0630595-0.0154956j -0.0220147-0.093085j 0.0574352-0.00517721j -0.0703859-0.0595064j -0.131733-0.0184725j 0.0116985+0.0374561j -0.0428818+0.0147835j 0.0156932+0.0668565j -0.035252-0.017898j 0.0262587+0.0550782j -0.0206668+0.0843925j 0.0107407-0.0254911j 0.016591-0.016202j -0.0294284-0.00897202j -0.0505389-0.00725417j 0.0293328-0.055475j -0.0736373+0.038009j 0.057609+0.145147j -0.0214592-0.016691j 0.0300924-0.0368278j 0.00478142+0.00920203j 0.0352677-0.0269506j 0.0699984+0.0361508j 0.0323082+0.0452994j 0.0956019+0.108435j -0.00447646-0.00985216j -0.0415778+0.04815j 0.103728+0.0595978j 0.00988275+0.0815111j 0.0156639-0.0661675j -0.076464-0.0300832j -0.0389607-0.0356227j 0.117366+0.117602j 0.0170262-0.0203671j -0.00650745-0.056961j 0.017256-0.0516819j 0.0481966+0.00534434j -0.0760838-0.0464547j 0.062527-0.0244022j 0.0298351-0.0403134j -0.0298047+0.00304577j 0.00557217-0.0302628j 0.148639+0.0253252j -0.0215787+0.0587026j -0.106029+0.118865j 0.0106884+0.00278087j -0.0495271+0.0763864j -0.0045428+0.124568j 0.0487561-0.060721j 0.041639-0.120169j -0.09228-0.0429479j -0.00807897+0.0628359j -0.0163158-0.0341992j 0.12938-0.133004j 0.0755378+0.125082j 0.00703438-0.0821919j 0.0104266+0.0273055j 0.0167396+0.00490213j -0.0372526+0.0314912j -0.00902958-0.0307411j 
0.00237491-0.0220698j 0.014839-0.0106958j -0.00281214+0.000440454j -0.000280428+0.0164073j 0.0280284-0.00480825j 0.00340481+0.0412733j -0.0329501-0.0477993j -0.0113611-0.0311319j -0.0404979+0.108391j 0.0736283+0.0698459j -0.0458997+0.0372076j -0.150407+0.0732286j -0.0448935+0.0476344j 0.001734-0.00327036j -0.0462511-0.0346616j 0.0660539+0.0862011j 0.0609462+0.0598987j -0.0775087+0.0583813j -0.0699745+0.0353105j -0.148677+0.0164103j -0.204612+0.0312929j 0.084998-0.081948j 0.00768932-0.0351868j -0.0492196-0.00577281j 0.0297477-0.0277826j -0.136948+0.00482231j 0.106414-0.0591404j -0.0236901+0.0595712j 0.0197223+0.0577172j -0.0108904+0.0569433j 0.0834639+0.0430969j 0.0407209-0.0779315j -0.046106+0.0366512j 0.0286581+0.016861j 0.119295-0.045399j -0.0386338+0.00805002j -0.136244-0.0755561j 0.0958368-0.00439568j -0.0657027-0.0100768j 0.0732235+0.00203901j -0.0107104-0.014701j 0.019072-0.00128731j -0.0256237-0.0441315j 0.00939709+0.00794894j 0.0151379-0.0213692j -0.0375066+0.0105805j -0.0171423+0.0332915j 0.0440693-0.111489j -0.0643532+0.00256985j -0.0262922+0.0648676j -0.066238-0.080214j 0.0700931+0.0327471j 0.010635-0.0645814j 0.179913-0.0194224j -0.125617-0.0207156j -0.00187368-0.0657497j -0.00320433+0.052403j 0.0395878-0.070775j 0.0680986-0.00691676j 0.0435637-0.0687214j 0.0416729-0.00458015j -0.114622+0.028137j 0.0611271-0.0212637j -0.013675-0.0262658j 0.0963332-0.0520743j -0.0799395-0.0394261j -0.0402021+0.0894566j 0.0284001+0.00918914j 0.073271+0.0404401j -0.0881381-0.0240976j -0.0634137+0.0630117j -0.108049+0.0363664j -0.0278672+0.0637978j 0.0480565+0.0372208j -0.0723043+0.0608973j -0.0475759-0.127273j 0.0139345+0.0247874j 0.00636099-0.0596414j -0.14527+0.103912j 0.0629346-0.109671j 0.0166107-0.00608918j 0.0415468-0.0199776j -0.0220522+0.0133661j -0.0057123-0.0163542j 0.0254177-0.0342971j 0.00328606+0.0210951j -0.0243196-0.0121549j -0.0470166+0.0224889j -0.000542906+0.0412412j 0.0265008+0.01536j -0.00856417+0.0321655j 0.0339162-0.0178971j 
-0.0024192-0.0200063j 0.00213579-6.22825e-05j 0.0188058+0.0325913j 0.0421747-0.00177081j -0.0622389+0.0310281j 0.0350251-0.0168362j -0.024465+0.0123859j 0.0714059+0.0407981j 0.0573632-0.0596148j 0.0303529-0.0121063j -0.0450979+0.0296703j 0.084711-0.0757659j 0.0291159+0.06001j 0.0218072+0.0605417j -0.104989+0.0197704j -0.0561814+0.0808998j 0.0222355-0.0619537j -0.000220608-0.058456j -0.0334166-0.00460467j 0.0128655+0.0734659j 0.0135831-0.0582132j -0.12208+0.0894226j 0.0185041+0.0679245j -0.00688505-0.0406674j 0.0800194+0.0185817j -0.0665586-0.0975146j -0.116765+0.00142909j -0.0463876-0.00482007j 0.0623905-0.0262438j -0.00508673+0.109219j -0.0785594+0.0224899j 0.00975508-0.0854817j 0.0150381-0.0173894j -0.0439868+0.0162989j 0.0315642-0.0785966j -0.110199-0.04649j 0.0487461-0.0389327j -0.028438-0.0273388j 0.00197613+0.0548218j -0.126302-0.123711j -0.0392378+0.0163814j 0.0268759-0.0799583j -0.0380041+0.0296642j -0.0693848+0.0233494j 0.0502772+0.0404794j 0.0191014-0.0243498j 0.00734717+0.0350976j 0.0262039+0.0317845j 0.0888826-0.00182103j 0.0880492+0.0019441j -0.0347359+0.0992971j 0.0765541-0.0404371j 0.0228641-0.031324j 0.0259485+0.039373j 0.11685+0.0442317j 0.0359657-0.0660642j -0.104327+0.0105316j -0.046999-0.0999987j 0.0648224+0.0477438j -0.133735+0.0422962j -0.0202927+0.033497j 0.0676401+0.115179j -0.0967601-0.0483301j -0.029417+0.0585592j 0.0183785-0.0536178j 0.0057149+0.0580844j -0.0465726-0.113184j -0.0049858-0.0295983j -0.134767-0.0381008j -0.0215852-0.0243666j 0.0825179+0.0842676j -0.161413+0.0122602j -0.0257886+0.0806483j 0.0597309-0.0689507j -0.0758633+0.0622963j -0.0773535-0.0549665j 0.0414153+0.0237335j 0.0910152-0.0275956j -0.00896287+0.0446741j -0.0201813+0.0920465j 0.196205+0.0147733j -0.0278767+0.125257j -0.0545314-0.0929906j -0.130794-0.034669j 0.0210982-0.0623869j -0.0212844+0.000917216j -0.0104093+0.0877928j 0.00203331-0.0066463j 0.050716-0.00045716j -0.0472678+0.0211924j 0.0395901-0.0133237j -0.0366122+0.0131482j 
0.013505+0.00340714j 0.0129197+0.0133708j 0.0236191-0.00129079j -0.00277604-0.0491433j 0.00961613+0.00504318j 0.0142801-0.00726868j 0.0395067-0.00830279j 0.0331215-0.00174139j -0.0860109+0.06742j -0.0320903+0.0230746j 0.00749201-0.0195912j 0.0254477-0.0443062j 0.0819968-0.00795554j -0.0498982-0.0294302j 0.019902-0.00465549j -0.000961728-0.0692961j 0.114148-0.158534j 0.0952371+0.0622353j -0.0711907-0.0816759j -0.0276443+0.0344295j 0.0721774+0.105159j -0.0950117+0.140706j 0.109889-0.223238j 0.130555+0.00702416j 0.159684+0.120121j -0.029614-0.0284781j -0.0586336+0.0882962j -0.052063+0.204753j 0.0740961+0.186133j 0.00666654+0.0317093j 0.0435194+0.0430971j -0.08656-0.19152j -0.0218262-0.0229235j 0.118599-0.00592589j 0.019718+0.0516268j 0.0390698+0.0312931j -0.073226-0.00422999j -0.0799246+0.0412648j 0.0212055+0.0285341j 0.0403955+0.0655768j 0.0576582+0.0286814j -0.015219+0.00419328j 0.00701499-0.0829107j -0.00772307-0.0204147j 0.116628-0.0337905j 0.0305581-0.0500702j 0.0379554+0.118626j 0.021533-0.0276657j -0.00667313-0.0425561j -0.00605601-0.0660198j 0.0877731-0.0133408j 0.149724-0.0239925j 0.0489243-0.0422265j -0.0173012-0.00404266j 0.00184269-0.0127364j 0.113382-0.00307966j 0.0581862-0.0126125j -0.0202401+0.00365295j 0.0331702+0.024393j -0.0875936-0.0905252j 0.0132698+0.124451j -0.14134-0.032838j -0.103228+0.0917229j 0.0125368-0.00351551j -0.0525621-0.0915472j 0.00569541-0.0147984j 0.124247-0.0277276j 0.0233245+0.0622193j -0.0142724+0.0860054j 0.0572935-0.0355979j 0.00770134-0.102173j 0.0154588+0.141163j -0.0374453-0.0914563j -0.025056+0.037702j -0.0290948+0.0189101j 0.000684551-0.0359145j 0.0158154+0.0448265j 0.0454105-0.0056144j -0.041189+0.00945925j -0.0439348-0.0249459j 0.0347274+0.0176392j -0.0603981+0.00413184j 0.0972207-0.0447238j -0.000934253-0.077889j 0.0339596+0.0702347j 0.074874-0.00575408j 0.0060657-0.00979716j -0.0400797-0.00779206j 0.0125402-0.014749j 0.00451041-0.0182432j 0.0197362-0.00514355j 0.00765586-0.0126174j 
