-0.263534-0.124008j -0.301462+0.192741j -0.161529-0.319714j 0.0321433+0.00835062j 0.44696+0.0783198j 0.11746+0.149749j -0.0845941+0.604999j 0.204204+0.0822944j 0.400324-0.0494235j -0.0704786-0.0707612j 0.0345499+0.203029j -4.89042e-05-0.137467j -0.22199+0.168203j -0.153554+0.0981941j 0.0123153+0.0598587j 0.0630838+0.0308471j -0.017718-0.0607877j -0.214599-0.0381819j 0.0390362+0.0805452j -0.00194383-0.00420718j 0.260491+0.0503148j -0.0324968-0.151616j -0.143187-0.258451j -0.156403+0.194188j 
-0.261456+0.125017j 0.166593-0.320467j 0.30226+0.198439j -0.399729-0.0539067j 0.199504-0.0759758j 0.0756411+0.604674j -0.122898+0.141481j 0.444774-0.073947j -0.037769+0.00968119j 0.156633+0.197412j 0.145842-0.259458j 0.0346251-0.152405j 0.262559-0.0495185j 0.00345003-0.00405595j -0.0407491+0.0808309j 0.214097-0.0362102j -0.0202594+0.0604745j -0.0622997+0.030566j -0.00862987+0.0613646j 0.151967+0.0978073j -0.22421-0.168888j 0.00279699-0.137184j -0.0331827+0.203388j 0.0718348-0.0724142j 
-0.0255221+0.0295696j -0.191696+0.0343236j -0.0338551+0.190562j -0.0708152+0.0766079j -0.02981+0.303213j -0.0195224+0.0459537j 0.0225705-0.076983j 0.00112805-0.12946j 0.163093-0.278386j 0.0135061+0.00823398j 0.0155952-0.0399442j -0.0311265+0.0529023j 0.0806142-0.0954999j 0.153507-0.114688j 0.335336-0.246682j 0.0112659-0.0218678j -0.0090516+0.11467j 0.0631481+0.124634j 0.100592+0.0866954j -0.0396934-0.248523j -0.0533138-0.321752j 0.245738-0.0921252j -0.122539-0.342619j -0.301905-0.206742j 
-9.54376e-05+0.0461858j 0.0730208+0.0496377j 0.0711262-0.0512803j -0.0296281-0.372478j -0.0793409-0.164193j 0.00406764-0.120653j 0.00445952+0.12266j 0.081166-0.159132j -0.0317115+0.375106j 0.0735208-0.039885j -0.175795+0.18283j 0.188106-0.100957j -0.0148313-0.255161j 0.063547-0.0345567j 0.222795-0.0665302j 0.0209504-0.0486784j -0.000268471+0.33877j 0.0213209+0.0510217j 0.226366+0.0721228j 0.0590932+0.0379503j 0.0179641-0.252326j 0.186134+0.105399j -0.171588-0.177991j 0.0751669+0.0442897j 
-0.0251042-0.0297585j 0.0343639+0.192757j 0.191841+0.0326604j -0.160824-0.282091j -0.000153351+0.128781j -0.0244303-0.0803898j 0.0195391+0.0484034j -0.0296267-0.305144j 0.0706749+0.0800497j 0.305132-0.202509j 0.126778-0.338599j -0.242812-0.0979291j -0.0556791+0.319417j 0.037943-0.247929j -0.098466+0.091076j -0.0639009+0.120148j -0.00791469-0.109748j -0.0132013-0.0254196j -0.336564-0.251485j -0.144248-0.109684j 0.0785809+0.0907234j 0.0349899+0.0556382j -0.0167778-0.0425594j -0.0134767+0.00895398j 
0.0092279+0.0734046j 0.063051-0.0981183j -0.116358-0.0644404j 0.0165434-0.0430221j -0.0123978-0.115659j 0.00186018-0.00729638j -0.106293-0.0231493j -0.0094242-0.0231198j 0.0852266-0.0164152j -0.0111081+0.0195212j -0.0227922-0.0529245j 0.0312146+0.0340044j -0.0769644-0.0181914j -0.101499-0.0193503j -0.144015-0.0422668j -0.0104644-0.0076711j -0.0104878-0.0310337j -0.0935557+0.196363j 0.0187374-0.0266594j -0.129618+0.0755421j -0.0825933-0.0508596j -0.0891698-0.0694658j 0.0914909-0.191035j 0.215639-0.0602304j 
-0.115766-0.0172738j 0.0713457+0.0940365j 0.0573258-0.0889091j -0.0175413-0.0740514j -0.0449134-0.0183667j 0.0664333+0.0110135j -0.0876638+0.057832j -0.0767943+0.0336333j -0.0157918-0.0445709j 0.0657408+0.0398754j -0.122687+0.0323792j 0.0724358-0.0195427j -0.0337309+0.128948j -0.0125417+0.120523j -0.0133399+0.103192j 0.0164289+0.0150692j -0.0660762-0.0186617j -0.0954607+0.013206j 0.101457+0.0306246j -0.250198-0.0996507j -0.181336+0.0408977j -0.0111006+0.0403612j -0.142871-0.0434009j 0.122919-0.194886j 
-0.0208942+0.102035j 0.0336394+0.0206229j -0.01364-0.0324534j -0.0020063+0.0779978j -0.061008+0.0299271j -0.0828252+0.0166913j -0.00541339+0.120978j 0.0199977-0.0135916j -0.0837868-0.0326917j -0.0564307-0.0363313j 0.102447-0.00657654j -0.0491696-0.0292794j 0.0733471-0.0949873j 0.0211005-0.0636449j 0.0465843+0.121414j -0.0075687-0.0184102j 0.250438-0.0684985j -0.0522983-0.161777j 0.0243149+0.0685717j -0.0563331-0.0960403j 0.0211015-0.139424j -0.0358262+0.128279j 0.0634221+0.0636514j -0.162776+0.124372j 
0.0750294-0.0910494j -0.0136905+0.0547032j 0.0614299-0.00538352j -0.0227491+0.0292149j -0.0811042-0.0298744j -0.00585151-0.0856524j -0.123432+0.072344j 0.0507216-0.00534779j -0.0374631-0.0835944j 0.0418652-0.114066j 0.0545199+0.135634j -0.0149505-0.0885264j 0.0212147-0.0121832j 0.0249987+0.0535029j 0.112992+0.0506639j -0.046322-0.00214548j -0.27999-0.0961515j -0.115613-0.0872696j 0.0734878-0.0014346j -0.235212-0.0365574j -0.114419-0.0475218j 0.0358107+0.0300777j -0.0379326+0.181988j -0.0777494-0.0797778j 
-0.00746006+0.047856j 0.00100317+0.0766759j 0.100464-0.0209894j 0.0898435+0.0273846j -0.0930685-0.0651635j -0.10175+0.142169j -0.0172583+0.120404j -0.0346312-0.080349j 0.0098743-0.0116354j 0.0454885-0.000220139j -0.0670181-0.0205458j 0.100429+0.0431353j -0.0228957+0.160287j 0.000396686-0.0299065j 0.0200751-0.109507j -0.0237053-0.00952767j -0.167107+0.120728j 0.0362924-0.0270532j 0.0361503+0.0343095j 0.13504-0.0871095j 0.0413441+0.0991352j 0.0624856-0.140563j -0.0370283+0.0596753j 0.105751-0.0196219j 
-0.0115212-0.0506722j -0.0978041-0.0211671j -0.00130615+0.0746357j -0.0119463-0.0091778j -0.0367373+0.0819521j 0.0136079+0.118111j 0.103505+0.14387j -0.0899759+0.0662887j -0.0901012+0.0274966j -0.108548-0.0156351j 0.0360668+0.0539363j -0.0612912-0.139889j 0.0448582-0.100602j -0.146086-0.0860567j -0.0297951+0.0388475j -0.0412077-0.0263487j -0.151932-0.122566j 0.02024-0.0123983j -0.0163897-0.108945j 4.6993e-06-0.0306332j -0.0248798-0.162267j -0.101575+0.049292j 0.0681185-0.025475j -0.0447342+0.00503913j 
