-0.0282448-0.00619555j 0.169153-0.0657333j -0.0140279-0.016944j 0.051768-0.0181838j -0.139233-0.212074j 0.00706641+0.0105711j 0.00937685-0.000148138j -0.0251242+0.00518553j -0.0157045-0.00339158j 0.0212268-0.0390923j 0.00564865+0.0563236j -0.0249394+0.0942546j -0.279338-0.0582729j -0.188649+0.0618979j 0.0222087-0.337632j -0.00322635+0.00693284j -0.00256661+0.00661829j -0.0157751-0.00408555j 0.00883968+0.00147307j -0.00863269+0.00692109j -0.00968388+0.0131075j 0.00977703+0.00596504j -0.00361508-0.0236028j -0.00604169+0.00805275j 0.0140495-0.0294917j -0.00539174-0.0386534j 0.019887-0.0029085j 0.00315768-0.0345719j 0.0506168+0.0148329j -0.0165606+0.0447662j 0.291999+0.298286j 0.213118+0.0262896j -0.0363363-0.0162242j 0.384387-0.331899j -0.134462+0.303469j 0.282897+0.258107j 
0.107032-0.0778562j -0.0498504-0.0559007j 0.0135774-0.0460648j 0.140654+0.176497j -0.0109+0.186158j -0.0182406+0.0138676j 0.0331516+0.0368466j -0.0445969-0.0738657j -0.0576362+0.0110174j 0.0734914+0.0173473j -0.157799+0.0328081j -0.23921+0.0886546j 0.0986556-0.289753j 0.194528+0.0695215j 0.120788+0.280898j -0.00220874+0.00757241j 0.0160493-0.0180969j -0.00361393-0.0121824j 0.00165151-0.0376133j -0.0651382-0.045129j -0.00699551-0.0187781j 0.0546452+0.0321478j 0.0237829-0.0491718j -0.079832+0.0668471j -0.0089572+0.0426488j -0.0162724-0.11982j -0.00602151+0.0156048j -0.279719-0.184472j -0.0735142+0.042267j -0.187313+0.0987203j 0.0147566+0.220414j 0.277138-0.0988516j -0.0371794+0.366458j 0.239192-0.0422225j 0.159206+0.105203j 0.0148939+0.049989j 
-0.0760501+0.19587j -0.0230723-0.000453872j -0.0563977+0.0160775j -0.0803442+0.144941j 0.210573+0.0935259j 0.0435983-0.0100369j 0.0324701-0.00638618j -0.0419667+0.0742221j 0.0826475-0.0696149j 0.193308-0.158804j 0.0351263+0.226244j -0.252727+0.0631135j -0.162236-0.177314j 0.0722171+0.243295j -0.0689876-0.00811433j -0.0115504+0.0138274j -0.0151533+0.0452787j -0.0502251+0.00483883j 0.0685694+0.0245876j -0.0169858+0.0120889j -0.0181936+0.0408994j -0.028545+0.0771945j -0.0196942-0.150146j -0.0116648+0.0177053j -0.316576-0.106472j -0.0624751-0.0419167j 0.197616-0.137758j 0.126979+0.230118j 0.12492-0.328421j -0.0257549-0.176464j 0.0529981-0.0361798j -0.314239+0.0149335j -0.021042-0.100386j -0.00671604+0.0190169j -0.0297761-0.0804052j -0.0306154+0.0100303j 
0.0937032-0.0148791j 0.0912054+0.0111478j -0.225598-0.142964j 0.00449088+0.120269j -0.22993+0.144106j 0.101738-0.00624581j 0.0880228-0.000682838j -0.130638+0.125025j 0.0313191+0.217193j -0.154245+0.0582564j -0.158299-0.0503143j -0.0308713+0.220769j -0.129809-0.13353j 0.0886323-0.000529233j 0.104501+0.0101431j -0.00849552+0.0159273j -0.0328532+0.0416268j -0.0529794-0.0111703j 0.0202307+0.0908527j 0.0601577+0.0430934j -0.0417388+0.0631561j -0.325321-0.0459326j -0.161657-0.0788711j 0.102384-0.0575744j 0.112834-0.0329321j -0.00407832+0.505785j 0.107547+0.0405581j 0.0958912+0.0517744j -0.189478+0.0813052j 0.310128-0.0326926j -0.0423444-0.0533803j -0.049623+0.0428221j 0.0191291-0.083306j -0.0429043+0.00746938j -0.031026-0.0358869j -0.00610157-0.0121843j 
-0.023977-0.000248821j -0.077842-0.198307j 0.212156-0.0878839j 0.0810736+0.145766j -0.0526748-0.0147216j -0.0735392+0.0166239j 0.0666819-0.244513j -0.164674+0.169516j 0.248103+0.0667257j 0.0520308-0.224808j 0.188451+0.160099j -0.0963194-0.0755064j -0.0440511-0.0800336j 0.0337793+0.010522j 0.0435734+0.011732j -0.0309457-0.00754488j -0.0331949+0.086582j -0.0126405-0.0161987j -0.0172612+0.105965j 0.316782+0.0199607j 0.0573263+0.0422792j 0.0383808-0.150079j 0.123601+0.340067j 0.13047-0.233624j 0.189803+0.134938j 0.0629213-0.0480609j -0.316559+0.103259j -0.0137963-0.0133826j -0.0174848+0.135224j 0.0236981+0.0857419j -0.0151258-0.0375774j 0.0135298+0.0127234j 0.0669853-0.0242326j -0.0454182-0.0057346j -0.0158296-0.0431455j -0.0106534-0.0106448j 
-0.0449296+0.0603759j 0.107376+0.0754953j -0.0160629-0.183411j -0.143317+0.181708j 0.00946544+0.0490431j 0.121539-0.268409j 0.18956-0.0793543j 0.084032+0.297052j 0.254202+0.0993366j -0.150149-0.0350741j 0.0775431-0.0126537j 0.0526558+0.0153323j -0.0515775+0.0708541j 0.0330162-0.0347577j -0.0166519-0.0162589j 0.0257455-0.0624801j 0.151319-0.108925j 0.255297+0.0551142j -0.0387233-0.362288j -0.275061-0.0924094j 0.023267-0.233372j 0.173378+0.0921126j -0.0889491-0.0431921j -0.276019+0.179125j -0.00250145-0.0135561j 0.0168578-0.108237j -0.0105846-0.0388587j -0.0747082-0.0613463j 0.0248396+0.0487353j -0.0442692+0.0334966j -0.00754054+0.0114197j 0.0581537-0.0431252j 0.00400326+0.0305037j -0.00891797+0.0137058j 0.0144278+0.0150321j -0.00320658-0.0088284j 
0.170783+0.0655171j -0.0317758+0.00400646j -0.142264+0.217012j -0.047692-0.0234376j -0.015483+0.0166278j 0.0167717+0.345255j -0.192423-0.0615933j -0.284706+0.04716j 0.0148433+0.0952141j 0.0110207-0.0511078j 0.0170729+0.0390362j 0.011013-0.00353884j -0.0259964-0.00907981j 0.00829216+0.00212336j 0.00753099-0.0109112j 0.282369-0.255439j -0.147398-0.301322j 0.37418+0.329896j -0.0363302+0.0316293j -0.206754+0.0361425j 0.28993-0.291121j 0.0117112+0.0378185j 0.050991-0.0200299j 0.0149795+0.0254331j 0.0191418+0.00245675j 0.00340409-0.0304209j 0.017192+0.0292079j -0.00129158-0.00251964j -0.00407863+0.021282j -0.00626935+0.00422077j -0.00917463-0.0146404j 0.00485798+0.00928662j 0.00916115-0.00323483j -0.0161974+0.00357818j -0.00347637-0.0073697j -0.00336235-0.00670531j 
0.00886662+0.0352044j -0.0318448-0.157661j -0.00377356+0.00261283j -0.00272941-0.00275667j -0.0368937+0.0105191j -0.00249585+0.00546787j 0.0170879+0.00878423j -0.0169197+0.00192137j 0.0197335-0.013998j 0.0100435-0.00809046j -0.00685038-0.00325192j -0.0193611+0.0352425j -0.0863179+0.0735749j -0.147345+0.0160601j 0.0109217+0.129271j -0.00927495+0.00245912j -0.0171736-0.0117376j -0.0134752+0.00300256j 0.00682923-0.015371j -0.0105806+0.0161995j 0.00539543+0.00717041j 0.00113841-0.0243485j 0.00982514+0.00212267j -0.00238276-0.00914743j -0.0209241-0.0561186j 0.00753241-0.00238141j -0.00256865-0.01413j -0.0802842-0.0681732j -0.0257589-0.0247404j -0.00857447+0.0409601j -0.0478828+0.273658j -0.0263844+0.101358j -0.0140009-0.0966175j 0.0396609-0.0776468j -0.0510309-0.178594j 0.153108-0.299507j 
0.0345904+0.0877235j 0.0637215-0.00821174j 0.00649979-2.87769e-05j -0.0307048+0.0127248j -0.014984-0.0140263j 0.0131436+0.00457709j 0.0112789-0.0292116j 0.0115264+0.0232612j -0.0406643-0.0331933j -0.0180383+0.00282134j 0.0450137-0.0115752j 0.150141-0.0136648j -0.0547455-0.115564j -0.120456+0.0413225j -0.0512509+0.10402j 0.0157795+0.0136243j -0.0179939+0.0203752j 0.00629116+0.0181574j -0.0381621-0.0276709j 0.046955+0.0184531j 0.00838663-0.00245389j -0.0535985+0.00700782j -0.0317796-0.0297193j -0.0321735-0.0223658j -0.0429468+0.0346944j -0.0203875-0.029998j -0.00607588-0.00558609j -0.0263184+0.282985j 0.0148915+0.109666j -0.00791793+0.0275276j 0.0638824+0.149674j 0.0264479+0.141673j 0.0127658+0.0770776j -0.047289+0.0830055j -0.158219+0.20164j -0.00227866-0.319719j 
-0.150961-0.0950247j 0.0301032-0.00573204j 0.00205987-0.0076444j 7.43517e-05-0.0270385j -0.013463+0.00148456j -0.0158339-0.0141138j -0.0588976+0.00846368j 0.0421673+0.00267217j -0.039681+0.0475008j -0.0952714-0.0172235j 0.0341834+0.121072j 0.114124+0.053917j 0.0292884-0.00729358j -0.168717+0.116447j 0.0324637+0.11305j 0.00643118-0.0203293j 0.0596986+0.00268664j 0.0376842-0.0244434j -0.0098111+0.047072j 0.0419429-0.0626819j -0.00478329-0.00521759j 0.0168505+0.114343j 0.00638643+0.00128734j 0.0307773+0.0390243j -0.00386873+0.251078j -0.00519001+0.028737j 0.02848+0.062671j 0.0358643+0.194234j 0.00534888-0.00776851j 0.0031621-0.0315318j -0.0642903-0.0224083j 0.0517818-0.163999j 0.0884478-0.00952903j -0.0496296+0.196336j -0.0383223+0.297184j 0.0491997+0.0155398j 
0.00281353+0.0927739j -0.027906+0.00800447j 0.0284229-0.0248392j -0.0174762+0.00158766j 0.0213317+3.89049e-05j -0.0114105-0.0327632j -0.0942283-0.0112986j 0.0588301-0.00260596j -0.0154797+0.107398j 0.107165-0.0508405j 0.0406525-0.0577172j 0.0363125+0.0597518j -0.0119787-0.146945j -0.0474358-0.143024j -0.159855+0.00225268j 0.0215598-0.0304519j 0.0695469+0.0224178j 0.0406438+0.000623178j 0.00512731+0.00537452j 0.0125717+0.0300906j -0.0305087+0.0275784j -0.0293312+0.154073j -0.00810815+0.117176j 0.0267378+0.0353089j 0.00718426-0.19905j -0.0279442+0.0355018j -0.00720863+0.0334191j 0.11213+0.0835742j 0.0981-0.0337694j -0.0725056+0.226288j 0.0792611-0.0276864j 0.0169929+0.184264j 0.021554+0.0788455j 0.0329421+0.0174947j 0.0563235+0.0828045j -0.109684-0.0908633j 
