-0.133461-0.112329j -0.203178+0.202804j 0.0378515-0.0648371j 0.0891476+0.261754j 0.187922-0.0644776j 0.329948-0.0962302j 0.00882752-0.00508895j -0.000982953-0.00334969j -0.0234988+0.005021j 0.188572-0.100504j 0.0639815-0.251419j -0.227614-0.292776j 0.421612+0.258298j -0.399132+0.0826266j 0.0283522-0.377199j -0.00419358-0.00978707j 0.0228902-0.0384345j -0.0695046+0.0322527j -0.0886399-0.00332079j 0.111727+0.0425658j 0.0135083+0.0397841j -0.150435+0.0134147j -0.126824+0.00562735j -0.0231201+0.070303j -0.0466015+0.0338543j 0.0797399+0.043819j -0.057451-0.0759836j 0.0478631+0.198544j -0.0975279-0.181188j 0.0177428+0.0399318j 0.0446336+0.0921792j 0.0319003+0.0228089j 0.042153-0.132951j -0.0578065+0.0744169j 0.0609715-0.000316369j -0.113011+0.138819j -0.144102+0.211198j -0.12976-0.0771456j 0.274853-0.0241633j 0.0820677+0.188554j 
-0.205245+0.00145488j 0.130234-0.00295485j 0.249377+0.236284j -0.292164-0.00499065j -0.245227-0.0528521j -0.256368+0.237716j 0.0388639+0.0113161j -0.0718511-0.194492j -0.134602+0.297183j 0.496808+0.00350616j -0.0888358+0.00620633j -0.202533-0.142823j 0.124678+0.293994j -0.0445032+0.198621j 0.0384076-0.00285452j -0.00961173+0.0635765j -0.160503+0.125823j 0.216078-0.00272957j 0.237794+0.14632j -0.078492-0.0791598j 0.00334489+0.0939168j -0.0194847+0.12138j -0.0246114-0.0367303j -0.0406379-0.234814j -0.0846919-0.112421j 0.105376+0.000168225j 0.00146477-0.00430193j 0.0571503-0.00359602j 0.00379292+0.174962j 0.0742438-9.79875e-05j -0.086129+0.107698j 0.0792582-0.224195j 0.0265155-0.0353565j 0.0229577+0.122052j -0.00550554+0.0942208j -0.0711954+0.0753896j 0.235409-0.150413j -0.210923-0.000791944j -0.163492-0.125562j -0.0122905-0.0669208j 
0.130226-0.11266j 0.204992+0.204044j 0.333765+0.100859j -0.0953952+0.262553j -0.146292-0.139715j 0.0350686+0.0693384j -0.0245115-0.376427j 0.40265+0.0397334j 0.421385-0.249927j -0.176942-0.104317j -0.0634069-0.252776j 0.346461+0.116424j -0.0181615+0.00332062j -0.000233685+0.0013093j -0.00862809-0.00577485j -0.0817494+0.191242j -0.280425-0.0273021j -0.126938+0.076894j 0.146258+0.215566j 0.116487+0.133494j 0.0623989+0.00385884j -0.0587017-0.0722036j 0.0396776+0.131957j 0.0326325-0.0201446j -0.0480301+0.0898207j -0.0770389+0.0420011j -0.0749334+0.0564451j -0.047428+0.199474j -0.094305+0.185311j -0.0162234+0.0396597j 0.0452949+0.0364342j -0.010691-0.0792477j -0.12635-0.00715191j -0.149867-0.00932721j 0.0124103-0.0372735j -0.111096+0.048318j 0.0903289-0.00627582j -0.0740297-0.0313522j -0.0254532-0.0406704j 0.00417224-0.0107275j 
0.110992-0.0805218j -0.0213511-0.0364513j -0.0249071+0.0299548j -0.034094-0.113023j -0.149423-0.0255752j 0.171299+0.0392087j -0.0200296+0.0121017j 0.0140572+0.0617439j -0.0196505-0.0522882j -0.0669859-0.0214174j -0.216723-0.00769987j -0.147184+0.140423j -0.0331206+0.00415564j -0.164774+0.0125646j 0.272647+0.168889j 0.00766299-0.000923352j 0.00258379-0.0112366j -0.0169457+0.0151757j -0.00600627-0.000992098j 0.0299217-0.00608002j 0.0234517-0.00971531j -0.0393366-0.0196263j -0.036998-0.0177053j 0.0301266+0.0100903j -0.00621175+0.0084206j 0.17307+0.263216j -0.16442-0.277172j 0.0547547+0.0827205j -0.0190675-0.00728607j 0.00450429+0.00200226j 0.065298+0.0192242j 0.0820776+0.0131865j 0.07978-0.0748516j 0.0173618-0.0391104j -0.191543+0.122772j -0.235204+0.0154488j -0.224109+0.0998455j 0.123468+0.236776j -0.341693+0.0404407j 0.270387-0.297537j 
-0.0429764+0.173092j 0.0118372-0.00524703j 0.022707+0.162519j 0.166002-0.046617j -0.0772368+0.0409537j 0.0784067+0.0976928j 0.0835268+0.0771991j 0.232099-0.0146251j -0.203199-0.0109282j -0.106378-0.00888295j -0.0500115+0.0392811j -0.0378957+0.185963j 0.147315+0.0640114j 0.0755545+0.110702j 0.354891+0.0398427j -0.010947-0.0148479j -0.0159591-0.0236129j -0.0414538-0.00319905j -0.124743-0.0413649j 0.0509965+0.0814097j 0.0138394+0.0226086j -0.113631-0.17097j -0.140326-0.17854j -0.101914-0.00959048j 0.10005+0.00428309j -0.0220005-0.221348j 0.0990678+0.0976971j -0.040985-0.0144111j 0.11611-0.0330666j -0.0838762-0.0192377j -0.162943+0.0505148j -0.295864-0.0076482j -0.0421739+0.10189j 0.021739+0.0548016j 0.0724068-0.147354j -0.0273537+0.175987j 0.306316-0.0503028j 0.021336-0.154866j 0.15043-0.138206j 0.0068954-0.066651j 
-0.0147945-0.000115403j 0.0388386-0.000184505j -0.127061-0.104556j -0.263447-0.000603125j -0.163112-0.0364642j 0.126423-0.105127j 0.0464402-0.0726578j 0.206493-0.00459637j -0.17831+0.0216984j -0.0445293+0.00019273j 0.137518+0.000169124j -0.079725-0.0552154j 0.17673+0.0215458j 0.205509-0.0156491j 0.0485998+0.0733927j -0.0245412+0.0222104j 0.013109+0.00658583j -0.0374979-0.0445822j -0.0645352-0.0509929j 0.158717+0.161706j 0.155301+0.219872j 0.14517+0.190351j 0.0893296+0.150602j -0.207172+0.0611337j -0.103074+0.0575319j 0.00909261+0.000932427j 0.00133336-0.0138095j -0.00925256+0.000729148j 0.00196972+0.0318688j 0.389251+0.000379543j -0.102882-0.0593468j 0.191658+0.0961008j -0.0889437+0.146789j -0.146315+0.189099j -0.159943+0.221703j 0.153607-0.167307j -0.0625305+0.0509679j 0.0388389-0.0435661j 0.0136263-0.00607708j -0.0223555-0.0227869j 
-0.0441255-0.172626j 0.011358+0.00487239j -0.077081+0.0983448j 0.169832+0.0444822j -0.0500573-0.0695728j -0.0212421+0.16297j 0.351115-0.0358743j 0.0709154-0.115629j -0.150292+0.0635042j -0.108266+0.00987625j -0.0450009-0.0395376j 0.16246-0.0908567j 0.206646-0.00923658j 0.234919-0.00724953j 0.0880536-0.0767609j -0.00355813+0.0623928j 0.153629+0.142616j -0.0201618-0.16047j 0.306552+0.0535845j -0.0271601-0.173187j -0.0749968-0.151496j -0.0193451+0.0531803j 0.0387365+0.0999742j 0.292516+0.0391905j -0.163498-0.0498218j -0.0293106+0.221424j -0.123284+0.0752112j -0.0416185+0.0151252j -0.11498-0.032273j -0.0828256+0.0186131j 0.0971541-0.00225192j 0.0994325+0.00619613j 0.140736-0.175295j 0.111314-0.170654j -0.00920554+0.0170643j 0.0487617-0.0814982j -0.118131+0.0396245j 0.0431326-0.00773376j -0.010589+0.0223085j -0.0115095+0.0152062j 
0.110556+0.0784058j -0.0214954+0.0357681j -0.175241+0.0391736j -0.032694+0.112903j -0.147361-0.041153j 0.0241557+0.0322242j 0.278938-0.166351j -0.166515+0.00306797j 0.0303389+0.00753927j -0.0669384+0.0209615j -0.217408+0.00747743j 0.086892-0.187892j 0.0241793-0.052691j 0.0121861-0.0631502j -0.0197838-0.0127059j 0.268198+0.302885j -0.336156-0.043166j -0.123713+0.235271j -0.218316-0.0994062j -0.236339-0.00960459j 0.191676+0.121507j -0.0196713-0.0354617j -0.0726815-0.0708703j -0.0767824+0.00153694j 0.0602509-0.0196109j 0.175101-0.257722j 0.229542-0.225341j 0.0540184-0.0836552j 0.0175933-0.00865992j 0.00464854-0.00195631j -0.00331003-0.0100866j -0.0271597+0.00600887j 0.0408332-0.0221893j 0.0420625-0.0230088j -0.0249837-0.00681495j 0.0318095+0.00120985j -0.00891318+0.00137192j 0.0181461+0.0162403j 0.0018323+0.0120542j 0.00786377+0.000738994j 
0.0385472+0.0633793j -0.0911115+0.0026103j -0.0201254-0.0256258j 0.0634423+0.0378149j 0.0579317-0.0710677j -0.0624702+0.116905j 0.00816272-0.0045469j -0.0109759-0.0210154j 0.0204435+0.0118215j 0.0178188-0.0124395j 0.0777311+0.00142083j 0.0412501-0.0735454j 0.00279654-0.0858329j -0.0321003+0.0533279j 0.00750084+0.0677884j -0.00819596+0.00152843j -0.0041774+0.0254841j -0.0166883-0.0196055j -0.0274156-0.00986885j 0.0307281+0.00221801j 0.00261468+0.00390551j -0.0329656+0.0123178j -0.0383556+0.0114912j 0.0186395-0.00436132j 0.0165479-0.0137904j 0.0293207-0.128964j -0.058569+0.132055j 0.0242523-0.0618258j -0.0342627+0.0381239j 0.0172747-0.00851634j -0.0285658-0.00928454j -0.0373022-0.0217323j 0.145028+0.0756493j -0.133377-0.050868j 0.0715976+0.0461462j 0.0250373+0.0749993j -0.0796658+0.00629168j 0.0707969-0.139784j -0.204542-0.0628983j 0.0773718+0.201952j 
0.0787956+0.0354311j -0.0212359+0.0803505j 0.0446234+0.0497042j 0.0605265-0.0898285j 0.00579582-0.00864478j 0.088791+0.0216319j 0.0329632+0.0190252j 0.0888761-0.00135585j -0.0612209+0.000167067j 0.0162859-0.0819023j -0.057212+0.0305373j -0.0144144+0.0162695j -0.0135534+0.0122523j -0.0114927-0.111942j -0.00766422-0.0316495j -0.0109465-0.0177645j -0.0600299+0.00959274j 0.0455302-0.0560161j 0.0170329-0.0885376j -0.00624419+0.0920764j -0.00290153+0.0107939j -0.00377119-0.110358j 0.0134724-0.1234j 0.0149808+0.026063j 0.035641+0.00724667j 0.0355625+0.0321382j -0.0792344-0.0706817j 0.101297+0.0593052j -0.15672-0.0274399j 0.0108374+0.0198576j -0.0385951-0.0627283j 0.0334791-0.0714676j -0.0707476-0.0238537j 0.0702567+0.0985938j 0.000283019-0.156457j 0.0259673-0.0726424j -0.1221-0.0717264j 0.0228345+0.0467104j 0.0771419-0.201924j -0.228498-0.173068j 
-0.0908704+0.0392708j 0.0409296+0.100766j -0.038575-0.018196j 0.0222633-0.0130014j -0.045452-0.0696645j 0.0666476+0.0227018j -0.0178572-0.00315391j -0.0215124+0.00588191j 0.0186655+0.0168611j 0.024462+0.0486058j 0.011063+0.0405171j 0.0640504+0.0231372j 0.101701+0.022946j -0.0766651-0.0304589j -0.0363371+0.0788968j 0.00247482-0.00094382j 0.0043401-0.00567396j -0.00248235+0.00827325j -2.21581e-05+0.021496j -0.00420722-0.0136384j 0.00628562+0.0171731j -0.0117977+0.013308j -0.0143015+0.0210391j 0.0112652-0.018869j -0.0331828-0.00400827j 0.1099-0.00925994j -0.0920638+0.00383714j -0.012942-0.0279676j 0.0781273+0.0507244j 0.000187141-0.0457931j 0.055437+0.142596j 0.00764027+0.150225j 0.0770061-0.0934519j -0.150768+0.128174j 0.139202-0.134745j 0.057088-0.126848j 0.0790595-0.0326727j 0.103499+0.0553593j -0.0206488-0.00753785j 0.022779+0.0768129j 
