-0.403316-0.530936j -0.321308+0.13753j -0.551498-0.00139855j 0.319027+0.143436j -0.410396+0.528283j -0.144883+0.23122j -0.174679-0.104165j 0.152329+0.163306j -0.120531-0.00145512j 0.152778-0.161495j 0.175502-0.101021j 0.142326+0.231829j 0.0611707+0.0456902j 0.0340681-0.0291052j -0.0847913+0.167612j -0.115623-0.0316947j 0.0713855+0.0598769j 0.0764825+0.00782839j -0.010445+0.0755694j 0.0599188+0.0572056j -0.093507-0.0397309j 0.0685937-0.0453808j -0.0317984-0.0894032j -0.0325791+0.0889369j -0.0680862-0.047132j 0.0953997-0.0399948j 0.0609107-0.0564036j 0.00995618+0.0741744j -0.0746243+0.00357629j -0.0761327+0.0576287j 0.113525-0.0294806j -0.0820851-0.168788j 0.0340487+0.029076j 0.0604057-0.0459394j 
-0.0436893-0.162513j 0.202305+0.0323808j -0.0922498-0.327515j -0.136412-0.00846239j 0.209981+0.180545j 0.139492-0.11577j -0.0658614-0.210578j 0.391232-0.477844j 0.223848+0.295541j 0.047093-0.0749849j 0.202275+0.100439j -0.403124+0.158449j -0.0479402-0.043959j 0.0688408-0.0824255j 0.0271382+0.0544279j 0.317491+0.0443075j 0.243852+0.0057974j 0.0935183+0.260243j 0.157804-0.179698j -0.0393822-0.0320834j -0.110214+0.0589696j 0.0677466-0.0917014j 0.0246454-0.00457915j -0.0145166-0.00733727j 0.0305552+0.115881j -0.0232125+0.0591426j 0.113161-0.189678j 0.0360504+0.0322494j 0.000134274-0.043259j -0.0864883+0.0686581j -0.0541833+0.00470787j -0.0273284-0.0551915j -0.210368+0.0341195j 0.00779753+0.303021j 
-0.209246+0.181906j -0.138422+0.0117071j 0.0918866-0.324123j 0.205796-0.0339323j 0.0394993-0.163871j -0.400078-0.158054j 0.203465-0.0960889j -0.0526584-0.0679296j -0.229206+0.289474j -0.391369-0.481396j -0.0696239+0.211489j 0.143673+0.113836j -0.00968099+0.303756j 0.212015+0.0388306j 0.0287961-0.0543211j -0.0596165-0.00292309j -0.0902111-0.0695367j -0.00160245+0.0401708j 0.0335718-0.03484j -0.112936-0.189253j -0.0204112-0.0590925j 0.0287727-0.116847j 0.0145031-0.0066337j -0.0264132-0.00420008j 0.0660135+0.0912205j -0.107317-0.0595574j 0.0386012-0.0308707j 0.157871+0.175084j 0.0950055-0.261873j 0.236484-0.00433234j 0.32144-0.0421511j -0.0298131+0.0543153j -0.0643487-0.0831363j 0.0462606-0.0474508j 
-0.0343957-0.0158841j 0.102333-0.00454004j -0.046845-0.0573361j -0.0574308-0.109643j 0.0147993-0.00350326j 0.054136-0.0381663j 0.058513-0.166509j 0.143447-0.106247j -0.220585-0.0328477j -0.0881587+0.256612j -0.137542+0.0247271j 0.0371317+0.208426j 0.0239729+0.016177j -0.0766681+0.0172133j -0.0362833-0.0226376j -0.135976+0.00980355j 0.0232812-0.0431073j -0.14753-0.0224778j -0.117279-0.0761502j -0.0143432+0.024505j 0.118446+0.16534j 0.0362052-0.0364112j -0.0434639-0.0331124j -0.420921+0.136391j -0.0670621-0.00173953j 0.123348+0.0175485j -0.211733+0.0142211j 0.164561+0.207069j -0.0585114-0.130453j -0.0303886+0.108189j -0.169082+0.0688806j -0.0842376-0.00811239j -0.143104-0.0450714j -0.231278-0.0255216j 
0.0207957-0.0234191j -0.0871578+0.0996101j 0.128599-0.0123911j 0.181387-0.00361714j -0.0323841+0.0193334j -0.0290387-0.0860805j -0.058262-0.0562586j 0.0507944-0.10926j -0.140849+0.0566074j 0.0556718+0.168561j -0.0356655+0.10931j 0.13841+0.0484055j 0.0442556-0.0249881j -0.0471097+0.0277624j 0.0595131+0.0368125j 0.010727-0.0305835j -0.194398+0.000971527j 0.0932521+0.127172j -0.0368159-0.149685j 0.141172+0.106392j -0.258779-0.113532j -0.0243284+0.060656j -0.440284+0.122312j 0.217091-0.130846j 0.364473+0.184573j -0.031225-0.229648j 0.00231708-0.073304j -0.107558+0.0143055j -0.134851+0.118628j -0.0533607-0.0274329j 0.17141+0.105077j 0.291457+0.0508693j 0.0954185-0.00649386j -0.061051+0.0110329j 
0.0533372-0.12375j 0.0869292-0.0087755j -0.0259548+0.147892j 0.109042+0.139837j 0.0558235-0.104715j 0.0795599+0.15906j 0.109701-0.111141j -0.0465756-0.0112584j 0.0275729+0.0256117j -0.0116426-0.012885j -0.043279-0.148829j -0.141639+0.0876303j -0.0262804+0.0828716j -0.04808-0.0445436j 0.0820303-0.1999j -0.109309-0.0513146j 0.0743462-0.00301853j 0.136943-0.183024j 0.0322791-0.129481j 0.0878846-0.0909964j 0.141666-0.180379j 0.19422-0.284257j -0.0889962+0.0799578j -0.0113256+0.0544238j 0.217005+0.181764j 0.136171-0.0371146j 0.301544+0.133212j 0.0859352+0.0297394j 0.124705+0.243199j -0.0220497-0.203688j -0.144522-0.158232j 0.0922252-0.124168j -0.109392-0.000347207j -0.03099-0.13305j 
-0.0585181-0.101983j 0.111934-0.143823j 0.0233298+0.146823j 0.0804483+0.00677952j -0.055218-0.122588j -0.140709-0.084809j -0.0414648+0.149567j 0.0100096-0.0158282j -0.0257598+0.0235003j 0.048314-0.0155326j 0.110875+0.108542j 0.0768396-0.160728j 0.0302639-0.133401j 0.10719+0.00209057j -0.0957966-0.125921j -0.138433+0.151008j -0.0250674+0.20835j 0.119733-0.244745j 0.0792124-0.019246j -0.308885+0.13757j 0.136309+0.0408785j 0.219574-0.181503j 0.0118563+0.0445737j 0.092181+0.0883173j 0.18754+0.277563j 0.134174+0.185832j -0.0946121-0.0946649j 0.0342844+0.132764j 0.13794+0.176858j 0.0771429+0.00308064j -0.108089+0.051647j -0.0881079-0.199005j 0.0468545-0.0427712j 0.026601+0.083739j 
-0.028814-0.0212379j -0.178844-0.004312j 0.128264+0.0148163j 0.0910205+0.101704j 0.0205092+0.0193971j -0.137804+0.0510749j 0.0350992+0.108198j 0.0533505-0.170068j -0.1403-0.054382j 0.0524514+0.108303j 0.059193-0.0585255j 0.0269076-0.0867397j -0.0611125-0.0128482j 0.0954422+0.00816012j 0.291414-0.0534608j -0.174609+0.106212j 0.0534271-0.0258305j 0.137582+0.112404j 0.10698+0.0100489j -0.00207482+0.071193j 0.0304526-0.23288j -0.359984+0.17882j 0.222052+0.127812j -0.433082-0.12502j 0.0292645+0.066712j 0.2714-0.111724j 0.145293-0.10521j 0.0407041-0.148078j -0.0871694+0.133669j 0.194422-0.000872396j -0.00882409-0.0318591j 0.0572524-0.040361j -0.0471164-0.0285153j 0.0437702+0.0250561j 
-0.0131563-0.00681804j -0.0545628+0.10914j 0.0474775-0.0545931j 0.103305+0.00289229j 0.0328921-0.0172056j 0.0368836-0.210983j -0.137336-0.0184769j 0.0917421+0.256181j 0.220095-0.0382905j -0.142478-0.104404j 0.0613546+0.167949j 0.0542231+0.0347985j 0.231291-0.024043j 0.143681-0.0465776j 0.0851941-0.0066481j -0.168239-0.0621029j -0.0334262-0.105292j -0.0529644+0.124689j 0.163814-0.209905j 0.207722+0.0163429j 0.117541-0.0179686j -0.0629278-0.00112825j 0.424969+0.136387j 0.0494101-0.0344586j 0.0410752+0.0412719j 0.119812-0.164944j 0.0142666+0.0227332j -0.120656+0.0785178j -0.144824+0.0235326j 0.0256865+0.0434243j -0.137384-0.00775845j 0.0353638-0.0255472j 0.0757011+0.0179471j -0.0233873+0.0168788j 
0.00316191-0.0031462j -0.00411578+0.0258834j 0.024155-0.00839756j 0.000935236+0.030123j 0.0755767+0.00850955j -0.0106824+0.00856236j 0.0314611+0.0460492j 0.0305453+0.0902674j 0.102318+0.0728948j 0.0171892-0.0907484j 0.0254124+0.166318j -0.0252911-0.0694835j -0.000798893-0.0297982j 0.0508247-0.0174704j 0.01053+0.0136608j 0.104451-0.0390805j 0.0317504+0.00216264j 0.141107-0.0474104j -0.0240654+0.0737601j 0.00849723-0.0626594j 0.0829724-0.121469j -0.0735456+0.0133241j 0.0347685+0.0562311j 0.174787+0.0540288j 0.010389-0.0155407j -0.0682593-0.0357202j 0.129075+0.117318j 0.20255+0.0250259j -0.0706074+0.0159865j -0.0558712+0.115298j -0.0890921+0.119091j 0.0659831-0.0767935j -0.156513+0.0599898j 0.0776822-0.153084j 
0.0112761+0.0132202j 0.00779606+0.0194746j 0.00776505-0.0758661j 0.0240144+0.0608577j 0.0839892-0.0974469j -0.0506958-0.0109402j -0.0563922+0.0307007j 0.090569-0.00811066j 0.128369-0.0189528j -0.0705602+0.032195j 0.133009-0.0776688j -0.0958651+0.0250604j 0.0461651-0.0281637j -0.0194406+0.13315j -0.0239925+0.0387863j -0.0223161+0.105993j -0.0902317-0.023143j -0.00132328+0.0321024j -0.0112837-0.0507627j -0.000301689+0.0184216j 0.00442794-0.0580203j -0.112232+0.0382484j -0.120177+0.0242872j 0.0135528+0.0420427j 0.00585093+0.0296722j 0.138084-0.00360465j 0.00268211-0.17079j -0.13336-0.0621757j 0.126206-0.148503j -0.0120553-0.0468299j -0.0427869-0.0802607j 0.0494193-0.0131391j 0.142602-0.213699j 0.147633+0.0786862j 
