0.01672-0.0121744j 0.0121461+0.0148623j 0.1631-0.04804j -0.010014+0.0044923j 0.0127356+0.0291754j 0.0252546+0.0132676j 0.0688603+0.0276086j -0.120512-0.193966j 0.0100832+0.00297982j 0.00910746+0.015021j 0.00057981-0.0143689j -0.00128793+0.00717633j 0.0231465+0.00882353j -0.025025-0.000778259j 0.0067192+0.0141079j 0.0181478+0.00909473j -0.0560225+0.0255669j -0.0485687+0.0821501j -0.0798097+0.100563j 0.336882+0.0773336j -0.00921489+0.133202j -0.0511791+0.3315j 
0.0286791+0.000507599j -0.135737+0.0591523j -0.0678558-0.0569054j -0.0127918-0.019074j -0.0501902+0.0303126j -0.00599334+0.0279109j 0.105882+0.172082j 0.00151915+0.193014j 0.00829165+0.0155385j -0.0261106-0.00437782j 0.0218115-0.00519249j 0.0211479+0.0102651j -0.00668509+0.0643256j -0.0358964-0.0378531j -0.0061722+0.0640982j 0.0653693-0.00887827j -0.0365866-0.0725604j -0.207051-0.0326362j -0.226003+0.0418067j -0.219196+0.19073j 0.0629047+0.235563j -0.0855355-0.283986j 
0.00960866-0.0354415j -0.000944928-0.115254j -0.0594963+0.00914018j 0.00879954+0.0321098j 0.0738843+0.0487219j 0.0909761+0.104081j -0.0600158+0.214092j 0.14348+0.140336j 0.0143119-0.0103512j 0.046525+0.027554j -0.0269135-0.0252235j 9.47827e-06+0.0409132j 0.0715696+0.00794971j -0.0677743+0.0311152j 0.0179262-0.0376748j -0.096207+0.0280969j -0.220424+0.0951152j -0.0557478+0.25132j -0.232993-0.00600115j 0.0785975+0.0546852j 0.0956915+0.30764j 0.0640226+0.0131158j 
-0.124894+0.111163j 0.0796401-0.00817478j -0.0921329+0.00187016j 0.0163994-0.0551253j -0.117268-0.126723j 0.0817788+0.106456j -0.00596351-0.0613089j 0.244349-0.125118j -0.0296429+0.0187586j -0.0446855-0.0395919j 0.0323298+0.0491918j 0.0416654-0.0394091j -0.0177602-0.0124115j 0.103162-0.0438446j -0.174764+0.08995j 0.00475946+0.254842j -0.183271+0.0108789j 0.129798+0.097368j 0.0113843-0.187123j -0.00579007-0.118263j -0.121301-0.0175288j 0.121309+0.054795j 
-0.0169709-0.0344076j -0.0668686+0.153918j 0.0180895-0.129168j -0.00496302+0.000815537j 0.00991083-0.00155036j 0.311435+0.027628j -0.241773-0.107665j 0.0761096-0.0485671j 0.0135932-0.0040741j -0.0122817+0.00431595j 0.00348473-0.0188725j 0.00934399+0.0183719j 0.0246259+0.0603795j -0.0168103+0.0704108j -0.081359-0.0120874j 0.0336818-0.0249175j 0.210496-0.149273j -0.153744-0.179498j 0.0186907+0.162153j 0.00868329-0.018514j 0.0427936+0.026957j 0.0180796-0.0123817j 
0.00409176+0.192451j -0.000548793+0.0604307j 0.00410675-0.19212j 0.0325198-0.0267817j 0.0206067+0.172555j 0.000154941+0.137888j -0.0194149+0.177741j -0.0328625-0.0225802j -0.0425462+0.0277339j 0.0522099-0.00168544j 0.00126926+0.0535242j 0.0654273-0.058199j 0.150336-0.129879j 0.0177047+0.189118j 0.171598-0.10838j -0.171667-0.11051j -0.0236156+0.189558j 0.143682+0.133482j -0.0752309-0.0613274j 0.000811992+0.0576976j 0.0541+0.0109032j -0.0434084-0.0265488j 
0.0190159+0.130888j 0.0665216+0.150106j -0.0159135+0.0386112j -0.0803082-0.0463005j 0.241644-0.105994j -0.316072+0.0264522j -0.00542122-0.00322635j 0.000953084+0.0014108j 0.0199044+0.0118972j 0.0446197-0.0332515j -0.0106901-0.0171694j -0.0120315+0.1571j -0.15671+0.180552j -0.20698-0.148792j -0.030709-0.0239573j 0.0819082-0.0135133j 0.0196934+0.071316j 0.0257471-0.0612334j -0.00724818+0.0202378j -0.00456905-0.0187718j -0.0125994-0.00771732j 0.0124909+0.00330034j 
-0.0940066+0.000574556j -0.0741283-0.00503221j -0.127303-0.11113j -0.239958-0.126631j -0.00355281-0.0650174j -0.0815031+0.106239j 0.122095-0.128093j -0.0124448-0.059003j 0.118307-0.0522675j -0.126017+0.0183299j 0.00991203-0.112846j -0.0144153-0.187465j 0.125682-0.0959053j 0.183193+0.00656852j -0.0126522+0.255099j 0.176111+0.0993469j -0.108142-0.0461559j -0.0161061+0.0106827j -0.0402031-0.0457482j -0.035791+0.0473198j -0.0483381+0.0387116j -0.0281592-0.0199814j 
-0.058856-0.0113439j -0.00159718-0.119523j 0.00776062+0.0306149j -0.146159+0.132103j 0.0596142+0.215938j -0.0921995+0.106953j -0.0723122+0.0516816j -0.0123413+0.032971j 0.0691078-0.0256344j 0.0900602-0.297891j -0.0891849+0.0494088j 0.228176-0.00702277j -0.037442-0.256982j 0.224398+0.102476j 0.104536+0.0315101j -0.0215564-0.0419272j 0.0620606+0.0357829j 0.074689+0.000188802j -0.0032239+0.039015j 0.0287212-0.0222942j 0.0487432-0.0269889j 0.0123251+0.0114646j 
-0.0615505+0.0612059j 0.137093+0.056734j 0.0322404+0.0021288j 0.00363266+0.188984j -0.108643+0.181554j 0.0044483+0.0306789j 0.046239+0.0352011j 0.0145588-0.0185435j -0.0877218+0.266915j 0.0678055-0.24759j 0.198546+0.198738j 0.243859+0.0483462j -0.206802+0.0209582j 0.0457223-0.0672203j -0.061208-0.0127134j 0.000836393+0.064025j 0.0402557-0.0347526j -0.00115116-0.0642003j -0.0187432+0.0118245j -0.0221559-0.00836891j -0.0250098+0.000462691j 0.00960125-0.0158772j 
-0.166128-0.0472373j 0.0188148-0.0117752j -0.0164246-0.0124178j -0.122891+0.202354j 0.0639561-0.0197357j 0.0248096-0.0116747j 0.0157321-0.0299832j -0.00963739-0.00524479j 0.0488516+0.341188j 0.014447+0.118925j 0.346614-0.0679641j -0.0665306-0.101203j 0.0351232+0.0810299j -0.0522403-0.0301523j 0.0129458-0.00763859j 0.0109219-0.00989478j -0.0231201-0.0025395j -0.0255626+0.00434794j -0.00211328-0.00638352j -0.000435709+0.0144849j -0.0102097+0.0161796j -0.00971528+0.00225296j 
-0.0105727-0.0199906j -0.0113318-0.0245689j -0.0163408-0.147164j 0.00104045+0.000924512j 0.00769225-0.00345255j 0.00392517-0.00260199j 0.00532892-0.000942441j -0.0325129+0.00918696j 0.00275251+0.00562472j -0.0108648+0.00940459j -0.00552889-0.00558525j 0.012268+0.0186783j 0.0120381+0.00353128j 0.00700428-0.000450775j 0.0223949+0.00648498j -0.0241757+0.0045004j -0.0366234+0.00958363j -0.026772-0.00996709j -0.0667136+0.0375248j 0.128055-0.0841004j -0.0606287-0.0478719j -0.0234026-0.102234j 
-0.00975924-0.0296673j 0.0273262+0.122813j -0.0616828+0.0274224j -0.0034628+0.00213928j 0.00361062+0.00383039j 0.00598805-0.00117815j 0.0308169-0.00934887j 0.0178101+0.0137074j -0.00702949+0.00428892j -0.0133629-0.0144356j 0.00516662-0.00613373j -0.0290277+0.0118809j -0.00777737+0.0190284j 0.010413+0.0144365j -0.00731202+0.0345103j -0.015671-0.0355511j 0.00270328-0.0103869j -0.0417064+0.0385626j -0.135674+0.014614j -0.130855-0.0480793j 0.0574898-0.0813007j -0.0247262+0.109602j 
-0.00998915-0.0104062j -0.107768-0.0430716j -0.0115743+0.0532325j 0.00556644-0.00305862j 0.0111861-0.00944123j 0.0135192-0.00373033j 0.0087805+0.0244333j 0.0210328+0.000836287j 0.0111235+0.00351371j -0.00156561+0.0248998j -0.0107364+0.000179121j 0.0382312+0.0179842j 0.0192518+0.0105295j 0.00804539-0.00155392j 0.0465305-0.00334138j -0.048051+0.0310198j -0.11291-2.9842e-05j -0.0586658-0.124131j -0.148114-0.0358356j -0.0862359+0.0267276j 0.148607-0.124416j 0.0316737+0.117621j 
0.0855215+0.0907805j -0.0388489-0.0958406j -0.044924+0.0162955j -0.00591935-0.00256138j -0.0197977+0.0180564j -0.00506704+0.0216527j -0.00621181+0.00816527j 0.0222364-0.0101684j -0.0121947-0.0117558j 0.0310547-0.0253036j 0.00954483-0.00135358j -0.00834391-0.0349627j 0.0383052+0.0142118j 0.00774877-0.0409413j -0.0535804+0.0165127j -0.0397208-0.0891152j -0.108908-0.0311271j 0.0380502-0.0197799j -0.118041+0.0967213j 0.033364+0.0510581j -0.03656-0.118488j 0.0777803-0.0136395j 
-0.00991596-0.0771371j -0.0654316-0.0170713j -0.0157414-0.0074436j 0.00287431+0.00128483j 0.0138573-0.00178953j -0.0309879+0.0334569j 0.015004+0.00446387j -0.0079171-0.0156629j 0.00458482+0.00446721j -0.00128197+0.0147242j -0.0109973-0.00412893j 0.023013+0.0018373j 0.00571272-0.0159713j -0.067365-0.0132752j 0.099781+0.00191332j -0.0212849+0.0515729j 0.0545261-0.134932j 0.0197129+0.104749j -0.155512+0.0478941j -0.0561827-0.224229j -0.0227818-0.0286124j -0.138579+0.0189825j 
0.153125+0.0230745j 0.0482301+0.0680694j -0.0158163-0.0235884j 0.00128547-0.008065j 0.0193644+0.016145j 0.0164397-0.0051728j -0.00309725-0.00596789j -0.0136624+0.0390549j -0.011136-0.0123945j 0.0452943+0.00652682j -0.00241611-0.018028j 0.060373-0.0117662j 0.081128+0.0350766j 0.00302292-0.104974j 0.0983933+0.0302324j -0.0923409+0.0424435j -0.00824848-0.0759015j 0.0123414-0.0712186j -0.108395-0.0662741j 0.061911-0.0275701j 0.0870964-0.0547641j -0.0045544-0.00985085j 
-0.0239499-0.00140304j 0.0290569-0.0111995j -0.133724+0.0647455j 0.0122524-6.02507e-05j -0.00533806+0.0341188j -0.0183442-0.0107318j 0.00202399+0.00430804j -0.0164662-0.0111965j -0.00310873-0.0126509j 0.00386217-0.00128168j 0.0165374-0.00370192j -0.0300864+0.0259023j -0.0750127+0.0643709j -0.0123249+0.191554j 0.16073-0.0453082j 0.00382942+0.155106j -0.141502-0.0440401j 0.00757736-0.122625j -0.0148927+0.00409101j 0.00656828-0.00537879j 0.0460827-0.0210842j -8.95206e-05+0.00877387j 
0.0420405-0.0681358j -0.0010553-0.0584444j 0.0451581+0.0655417j 0.0215543-0.0314069j 0.0127473-0.0104871j 0.000242255-0.00220384j -0.0124217-0.00894946j -0.0214301-0.0312366j -0.0137719-0.0395356j 0.0760997+0.0132506j 0.0226427-0.00597087j 0.0220372-0.100294j -0.0969008-0.0214194j -0.0886129+0.0274203j -0.000303733+0.0451279j 0.00111986+0.0467704j 0.0924196+0.0294185j -0.0975437+0.0201979j -0.0160282-0.102231j -0.0262335-0.0079077j 0.075724-0.0096641j -0.0157631+0.040475j 
0.134013+0.0639718j 0.027216+0.00934229j 0.0260958-0.000553264j -0.0164263+0.010784j 0.00274637-0.00365256j -0.0188781+0.0114911j -0.00577488-0.0336047j 0.0115564-0.000482255j -0.00190891+0.00815792j -0.0455034-0.0189122j 0.00810549+0.00143617j -0.011169-0.000603579j -0.00991034-0.125994j -0.142851+0.0418127j 0.00266524-0.154711j 0.160193+0.0433088j -0.00888783-0.190949j 0.0739672+0.0661598j -0.0323139-0.0267898j 0.0153056+0.000929101j -0.0037423-0.000571144j 0.00104478-0.0124624j 
-0.0164396+0.024393j -0.0506781+0.068626j 0.152275-0.0226534j 0.0130223+0.0396107j 0.00269633-0.00550638j -0.0167854-0.00522355j -0.019459+0.0155293j -0.00181214-0.00736867j -0.00236018+0.0111193j 0.0848855+0.0528711j -0.063692-0.0239043j 0.105784-0.0669895j 0.018167+0.0696826j 0.00784795-0.0778272j 0.0947003+0.0407395j -0.0985341+0.0334888j -0.00490091-0.106464j 0.0787824-0.0383628j -0.0636346-0.0119313j 0.00276938-0.019997j 0.0469131-0.00728844j -0.0118927+0.0119623j 
-0.0145737+0.00666197j 0.0647546-0.0168126j -0.00864541+0.0775676j 0.00705774-0.015756j -0.0141573+0.00364765j 0.0304099+0.0333126j -0.0142541-0.00198686j -0.00331597+0.00117176j -0.139992-0.0179455j -0.0199948+0.0248666j 0.0547637-0.226021j 0.153383+0.0450155j 0.0235159-0.0996715j -0.0543673-0.137838j 0.0208999+0.0575683j -0.102885-5.64864e-05j 0.0690882-0.0110532j 0.00345276+0.0161162j -0.024995+0.00202989j 0.0112815-0.00408588j -0.00122525-0.0156096j 0.00461803-0.00458436j 
-0.0452904-0.0164008j 0.0369516-0.0922205j 0.085098-0.091365j -0.0208026-0.010488j 0.00594073+0.00608869j 0.005216+0.0211581j 0.0192395+0.018003j 0.00614972-0.00152964j 0.0746903+0.0173029j -0.0436222+0.116329j -0.0355221+0.0450122j 0.114535+0.103069j 0.0434872+0.0184076j 0.106364-0.0331958j 0.0393371-0.0898441j 0.0516487+0.0159033j -0.00850942-0.0403709j 0.039735-0.01575j 0.00918125-0.0323366j -0.00964171-0.00412594j 0.0294269+0.025949j -0.0132137+0.0108044j 
-0.00980641-0.0548935j 0.10918-0.0452546j -0.00617042+0.0073714j -0.0208777-0.00132357j -0.00911688+0.0231481j -0.0131942-0.00391034j -0.0106706-0.00897794j -0.00562999-0.00343006j 0.0350649-0.114533j 0.146688+0.128627j 0.0798041+0.0281794j 0.149861-0.037126j -0.0523142+0.12683j 0.11448-0.0019878j 0.0505619+0.029522j -0.0469791-0.00195909j -0.0096059-0.00418171j 0.0191262-0.0114798j -0.0400427+0.0161247j 0.0104352+0.00166084j 0.000607965-0.0242551j 0.0112103-0.00282644j 
-0.0622919-0.0217257j -0.0247354+0.120954j -0.0110433+0.0325284j -0.0163477+0.0121755j -0.0308946-0.00944031j -0.00645497-0.0011503j -0.00495284+0.00357895j 0.00325203+0.00240163j -0.0250928-0.109341j 0.0575496+0.0863359j 0.122459-0.0540663j 0.142618+0.0168027j -0.0396764-0.0365048j 0.00140098-0.00891985j 0.0186746-0.0343765j 0.00431647+0.0334132j -0.0107214+0.0156269j -0.00540737-0.0169556j 0.0281635+0.0147539j -0.00417951-0.00684009j -0.0144894+0.0133619j -0.00674075-0.00445776j 
0.0146574-0.146954j -0.0126594+0.0307732j 0.0101664-0.0192063j -0.0326468-0.00912818j 0.00308768+0.00193634j 0.00337206+0.00298763j 0.00774586+0.00401465j 0.0014036-0.000828924j 0.0232738-0.106732j 0.0634341-0.0452754j 0.131363+0.0849182j -0.059101-0.0351696j 0.0214298-0.0148681j -0.03565-0.00883278j -0.0252301-0.00741968j 0.0244128-0.00446213j 0.00741508+0.00180207j -0.0123348+0.00192218j 0.014461-0.0188289j -0.00596714+0.00461837j 0.01035+0.00974427j -0.00307231+0.00533078j 
