-0.0062696+0.00236849j -0.00997733-0.0043094j 0.00749923+0.00102813j 0.00332944+0.000303367j -0.000301532+0.00874253j -0.00122854+0.00461168j -0.00155362-0.00662328j -0.00401068+0.000481102j 0.00079615-0.00341927j 0.00398627+0.00417011j 0.000550817+0.00525702j -0.00018003-0.00446604j 0.00153342+0.00331198j 0.000430829+0.00276342j 4.11908e-06-0.00343195j -0.00143621+0.00020178j -7.49377e-06+0.00150348j 0.00316949-0.0017357j 0.0024561+0.00412187j -0.00233963+0.000178071j -0.00199917+0.00603707j 0.00138781+0.00465024j 0.000606363-0.00773919j 0.0074629+0.00797615j -0.0103225-0.00295083j -0.00561397+0.0169738j 0.00964883-0.00798499j -0.00947617-0.00985298j -0.000242212-0.00835068j 0.00271867+0.00670277j -0.000397026-0.00410281j 0.000402108+0.00708672j 0.00284846-0.0146282j -0.00201592+0.00523405j 0.000125366+0.00578224j 0.00302534+0.00694704j 0.00784352+0.00259551j 0.00062693+0.00181331j -0.00603069-0.00930636j -0.00249659+0.00919529j 0.00308393+0.00253646j 0.00561357-0.00228223j -0.00153278-0.0111337j 0.0106125-0.00514297j -0.0139104+0.00601134j 0.00684973-0.00270908j -0.00699368+0.00517055j -0.00142555-0.00226409j -0.00149877+0.000171433j -0.00821505-0.000560853j 0.00886984-0.0107571j -0.00614563-0.00174477j -0.00389712+0.00697238j 0.00331298-0.00797558j -0.0019344+0.0030143j 0.00461808-0.00254543j 0.00409159+0.0127523j -0.00834702+0.00756477j -0.00487251-0.00379897j 0.0111797-0.00276419j 0.0144013-0.00604974j -0.000316023+0.00547387j 0.00229603-0.00174628j -0.00901342-0.00171593j 0.00346863-0.0133962j -0.00100619+0.00082856j -0.00466214+0.00130268j -0.00395018-0.001132j -0.00031859+0.00471864j -0.00212408-0.00715417j 0.00436362-0.00417692j 0.00336777-0.00584376j -0.00159849-0.00155546j -0.00344302-0.000382324j 0.00609662-0.00529833j -0.00233589+0.000962353j -0.00126579-0.00679081j 0.00230441-0.000548926j 0.00611737+0.00176362j 0.00491921+0.00849375j 0.0043984-0.00340946j 0.00109164+0.00634681j 0.00164946-0.00400762j 0.00340549+0.00415923j 0.00738443-0.00120351j -0.00239206-0.00467682j 0.00217475-0.00224035j -0.00636325+0.00156027j -0.0174877+0.0107059j -0.0671468-0.0354275j -0.0482881+0.047197j 0.0255471+0.0179961j 0.00635807-0.0116325j -0.010089-0.0587043j -0.100369+0.0323865j 
-0.010349-0.00615072j 0.00577581-0.00256873j 0.0011437+0.00101054j -0.00575829-0.00144667j 6.58129e-05-0.00111112j 0.00217129-0.00521327j 0.00248782-0.00124247j 0.000815285-0.00101413j -0.000213759+0.00594317j 0.000353291-0.00198009j -0.000354716-0.00295573j -0.00406789+0.000494303j -0.000185919-0.00468494j 0.0021336-0.00362881j -0.00198715+0.000838034j 0.000697358+0.00540163j 0.00153355+0.00329644j 0.00259136-0.0059753j 0.00341347-0.00106144j -0.000511516-0.00668543j 0.000383138+0.00488249j 0.00708619+0.00172211j -0.00438541+0.00158069j 0.00836229-0.0147447j 0.0009575+0.0117909j 0.0121647+0.00854056j -0.00400974-0.00579578j -0.0033828+0.0176595j -0.00391506-0.0117133j 0.00213462+0.0039665j 0.00327955+0.00457327j 0.00220219+0.000953479j -0.00348113-0.0052505j 0.00338964+0.000548838j 0.00893049+0.00112629j 0.00475926-0.00765818j 0.000503065-0.0139297j 0.00594509-0.000937664j -0.00767174+0.00642768j 0.00616599+0.000249747j -0.000997583+0.00110034j -0.00337459-0.0022811j -0.0116799-0.00209531j -0.0049842-1.24294e-05j -0.00478049+0.00744133j -6.17756e-05+0.000693888j -0.000645677+0.0108794j 0.00181758+0.000386992j 0.000706435+0.00493029j -0.00314805+0.0065174j -0.00936639-0.00278128j -0.00159783+0.00713184j 0.0117902-0.00328393j -0.00612807+0.000638097j 0.00278158-0.00330896j -0.00554731+0.00341913j 0.00613791+0.00672848j 0.00660958+0.00213311j -0.00442159+0.00302146j -0.00730858+0.00110693j 0.000136207-0.00963093j 0.00430642-0.0012584j -0.00750726-0.00387675j -0.00856908+0.0068655j 0.00301485+0.00216626j 0.00468417-0.00165538j 0.0011871+0.0034638j 4.03002e-05+0.00114162j 0.00233105-0.003121j -0.00575655+0.00392208j -0.0010648-0.0015672j 0.000959871+0.000102426j -0.000653851+0.00261304j 0.0134596-0.00373277j 0.000147335+0.00724568j -0.00208967-0.00171248j -0.0115739+0.00595083j -0.0057964-0.00944132j -0.000751716-0.00454782j 0.00304916+0.00296141j -0.00330233-0.00514964j 0.00472959-0.000740728j -0.00201692+0.00261876j 0.0047108-0.00113192j -0.00784678+0.000391752j -0.00649429+0.00591936j 0.0138855+0.00186768j 0.00816037-0.0088277j 0.00747717+0.0035405j -0.0450934+0.0467635j 0.0715212+0.0405722j 0.027123-0.0240408j -0.0185921-0.00723525j 0.10283-0.0325992j -0.00881375-0.0609j 
0.00952508+0.00617987j -0.00198031+0.00609693j -0.00256978-0.0029943j -0.00838897-0.00410949j -0.0039619+0.00544594j 0.000699258+0.0101453j -0.00332766-0.00521613j 4.90323e-06-0.00493582j -0.0147588+0.00668237j -0.00374374+0.00749175j -0.000397783+0.00271344j -0.00727483+0.00448012j 0.0023068+0.00361458j 0.00255402-0.00335881j 0.00309184-0.000818477j -0.00506618+0.00319232j -0.00921836+0.0106361j 0.00700806+0.000785807j -0.0021035+0.00438838j 0.00101132-0.0096501j 0.000940687+0.0132647j -0.00366451+0.00381928j 0.00474903+0.00289324j 0.0132968+0.0104644j -0.010326-0.008813j -0.0123362+0.000682917j 0.00619948+0.000862912j 0.00470473-0.00668698j -0.00366814+0.0105702j -0.00344732-0.0093474j 0.00513383+0.00535535j -0.00305022+0.00258689j 0.00049782+0.0106855j -0.00331493-6.75774e-05j -0.000711137+0.00116354j -0.00854132-0.00280531j -0.0077344+0.00129836j -0.00839446+0.00202801j -0.00158393-0.00262517j -0.00432297+0.00258444j 0.00380389+0.00268019j -0.00511459+0.00125783j 0.00122503-0.00976672j -0.00869034-0.00294651j 0.00431037-0.00798584j -0.00485751+0.00118946j -0.00174882-0.012862j 0.0014276+0.00546407j -0.00457188+0.000304698j 0.00465279-0.00221j -0.00326344+0.00713345j 0.00760694-0.00880288j 0.00401038+0.00724672j -0.00543012+0.00998308j 0.00576115-0.00838646j -0.00964989+0.00930287j -0.00184317-0.00568526j -0.00228539+0.00715931j 0.00485671+0.00904806j -0.000738222-0.00591187j 0.0104828+0.00432347j -0.000493689+0.00557119j 0.00299308+0.00418023j -0.0104123-0.00394327j -0.0106507+0.00732238j 0.00111912-0.00271449j -0.00631751+0.000855995j -0.0141977+0.00272125j 0.00125469+0.000686039j -0.0103807-0.00339793j 0.00161996-0.00112797j 0.00765194-0.00520644j -0.00364422-0.0134555j 0.00531431+0.000587487j -0.00856436-0.00185742j 0.0166117-0.00361797j 0.00185421+0.0011058j 0.00810031-0.00241498j 0.00979513+0.0100756j -0.000826577+0.00789105j -0.0297389+0.00362528j -0.0324868-0.0256491j 0.0282605+0.0383413j -0.0096968+0.00516843j -0.00879518+0.0234621j 0.0343364-0.0237052j -0.0195674+0.0113506j -0.0102889+0.00182148j -0.0233719-0.00051574j 0.0124029+0.0246491j -0.0234527+0.00103206j 0.0427719+0.0293223j -0.0882548+0.0646585j 0.0398085-0.0244816j 0.0412736+0.0177441j 
0.000412427-0.00493409j 0.0067396+0.00550471j 0.00736278+0.000795554j 0.00204136+0.000678554j -0.00317463-0.00719639j -0.00498139+0.00171662j 0.00939703+0.00324618j -0.00367081+0.00226278j -0.00114049-0.0113403j -0.00720393+0.00290977j -0.00419262+0.000649426j 0.000758207+7.56174e-05j -0.00308572-0.00195155j -0.00167147-0.00203189j 0.00274676+0.0100836j -0.00280716-0.0143536j -0.00528139-0.00649115j 0.0009555-0.000968007j -0.00320873-0.00320398j 0.0037903+0.00475057j -0.0100374+0.000972267j -0.00523266-0.00491932j 0.00197798+0.00947575j -0.00905349+0.0120139j 0.00248182-0.0109725j 0.000932475-0.0136733j -0.000922209+0.0147842j 0.00638673+0.0020472j -0.00666399-0.0119985j 0.00129171+0.00191001j 0.00482527+0.0117333j -0.00330182-0.0038733j -0.00310123-0.0050397j -0.0011118-0.00259029j 0.00300818+0.00160637j 0.00026762-0.0041351j -0.00556354-0.000440063j 0.00378919-0.0037125j -0.00402276+0.00625938j 0.00167628+0.00845476j 0.00542616+0.00812912j 0.000867951-0.00448802j 0.0082534-0.0101131j 0.00416012+0.00832112j -0.00666658+0.00857145j 0.00547079-0.00196936j 0.00608658+0.0089074j -0.00232472+0.00236452j -0.00552751-0.00282171j 0.00282741-0.0044094j 0.0025351-0.00397752j 0.0053654+0.00797494j -0.00756443-0.00400944j -0.00313077+0.00348136j 0.00188389+0.000909152j -0.00475793-0.000505385j -0.00691256+0.00782104j -0.00200005-0.00274683j -0.0123213+0.00512905j -0.00579897+0.000397436j 0.00181708+0.016292j -0.00382036+0.00191557j -0.00152945+0.00579567j -0.00405698+0.000120739j 0.00636752-0.0097854j 0.0145312-0.00414312j -0.0028662-0.000991654j -0.00220233-0.0108405j 0.0038143+0.00311173j 0.0120636-0.00382805j 0.0105205+0.000786425j 0.00119546-0.00154996j 0.0178084-0.00286509j -0.00813759+0.00851372j 0.00296521-0.00932624j 0.0017116+0.00695943j 0.00657506-0.00650674j -0.000771292+0.0143941j -0.00721608+0.0100838j -0.00162727-0.00399783j -0.00870799-0.0134306j 0.0189399-0.0354256j -0.0433918+0.0238453j -0.0117994-0.0106154j -0.0272049-0.00182339j 0.0511922+0.0328434j -0.0325197-0.00864084j -0.00609946-0.00248919j -0.0208618-0.0228569j 0.0350319-0.0121913j 0.00347345+0.0259171j 0.0569668-0.0625218j 0.0540763+0.0250418j 0.0399533+0.0224225j -0.040437+0.0277613j 
-0.00351024-0.00269827j 0.00434523-0.00300108j -0.000956128+0.00887785j 0.00297249+0.00430209j -0.00323947-0.00309058j -0.0176133-0.0109051j 0.00637245+0.011432j -0.00537844+0.0119145j -0.00455318-0.003847j -0.00380402-0.00277992j -0.000183633-0.00638658j -0.00389261-0.000790287j -0.00579943-0.00362649j 0.0013926+0.00586616j -0.00173224+0.000124395j 0.00319856-0.000199216j -0.00385002-0.00401645j -0.000206118+0.0239866j -0.00700605-0.0012104j 0.00308303+0.00636973j -0.0193864-0.0169389j 0.00426205+0.00478068j -0.00183196-0.0111916j -0.00231701-0.0138781j 0.0010284-0.0141768j -0.00131819-0.0122978j 0.000472601+0.00561807j -0.006133+0.00314659j 0.00105692-0.00301042j -0.006097-0.00168692j 0.0039187+0.00625334j -0.00256695-0.00975648j 0.00352921-0.00468762j -0.00258225-0.00137927j 0.00311211+0.00492513j 0.00507093-0.0077827j -0.00792572-0.0125938j 0.00192832+0.00496777j 0.00304226+0.0023199j 0.00816087+0.00869341j -0.00216298-0.00552094j -0.0112211+0.00948505j 0.0109208+0.0058082j -0.00617036-0.0121657j 0.0025044-0.00507068j 0.00159141+0.00142153j 0.00507218-0.0140114j -0.0019528+0.00267369j 0.00973304-0.00306539j 0.00321353-0.00619818j -0.00317768-0.00789643j -0.00257351+0.0125026j 0.00869609+0.00844699j -0.00448944+0.00703288j 0.00990033+0.00900023j -0.00364679-0.00773025j -0.00360376-0.0148355j 0.00536012-0.0139332j 0.00510141+0.000177013j -0.00645333-0.00131416j -0.0047139+0.0111494j 0.00170916+0.00115597j -0.00408702-0.00613647j 0.00651255+0.000992318j -0.000697103-0.0169006j -0.00117414+0.00720385j 0.00291045+0.0060873j 0.0126585-0.00797342j -0.00470662+0.00283519j 0.0134274+0.00440136j -0.0110447-6.75866e-05j -0.0278271+0.00687385j -0.0234269-0.00619648j -0.0220987+0.0113103j -0.00553742+0.0140592j 0.0143734-0.0226495j -0.0153175-0.00398409j 0.00931599-0.0318519j 0.0143064+0.00765087j 0.00406465+0.0263019j 0.026012-0.0320599j 0.0068339+0.0249174j -0.0209343+0.0162097j 0.0121341+0.0129532j 0.00465282-0.00333402j 0.00243859-0.0162831j 0.0494967-0.0293269j -0.0391739+0.00314972j -0.0803224+0.0259655j -0.0246587-0.0010298j -0.000413853-0.0317215j 0.0276777-0.0107104j -0.0428854+0.0150439j 0.00323758-0.027031j 0.0181163-0.0117155j 
-0.00170447+0.00121908j 0.00267144-0.0010654j 0.000720769+0.00832988j -0.0079653-0.00317164j 0.00335557-0.0017993j -0.00448799-0.0149165j 0.00433097-0.00301898j -0.00666277+0.000110635j 0.00126594-0.00633967j 0.00539871-0.000618841j -0.00154315-0.00223469j 0.00930512+0.000429448j -0.00558698-0.00462425j -0.0073598+4.77485e-05j 0.005783+0.000117735j 0.00134768+0.0115035j 0.00246546-0.00377558j -0.0154997-0.00604204j -0.00736328-0.0123942j -0.0136406-0.0199289j -0.000577775-0.00201374j -0.00504634+0.0138435j 0.00698715-0.0113057j -0.00952015-0.00882911j 0.0108196-0.00248634j 0.00313642+0.00438797j -0.001792-0.00171441j 0.00155465-0.00559151j 0.00352418+0.0052178j 0.00161428-0.00815625j -0.00265817+0.00130563j 0.00171961+0.00258023j 0.00144452-0.00625118j 0.00208693-0.00101129j 0.00860986-0.00428737j 0.0113832-0.00301278j -0.00241024+0.00471972j 0.0061319+0.00837119j 0.00313664+0.0178069j 0.00216835+0.00143679j -0.00271634+0.00326756j -0.0137616-0.00629628j -0.00775826-0.00686311j 0.00285565+0.00310862j -0.00684728-0.0134345j 0.000276502-0.00689553j 0.00193118+0.00379521j 0.00372051+0.00375488j -0.000241511+0.00191792j -0.00258837-0.00288113j -0.00150881-0.00363976j -0.00761948+0.00969644j -0.0019946+0.00357146j -0.00509345+0.00919385j -0.00565867+0.00509187j 0.00473137-0.00481848j -0.00288613-0.0044198j 0.0249662-0.0175305j 0.00246757-0.0095653j -0.0128103+0.00850342j 0.00312778-0.00920098j -0.000816437-0.00825317j 0.0183876-0.00430351j 0.00061078-0.0123622j 0.0102959-0.000247171j -0.0106654+0.0149865j -0.00626089-0.00334463j -0.00709685+0.00277132j -0.0111818-0.00594731j -0.00714172-0.0111756j -0.00737496+0.00487137j -0.0024044-0.00305982j -0.0159826-0.0398682j 0.0112383-0.00783604j -0.022414+0.00811661j 0.0390611+0.0226756j 0.0119957-0.017596j 0.0232923+0.015143j 0.0400421+0.00696293j -0.0165686+0.0202507j -0.00362998+0.0428397j -0.00653404-0.0197888j 0.02398-0.00164917j -0.00936609-0.00662892j -0.00380644+0.000303461j 0.0064246+0.0286395j -0.0230735-0.0444549j -0.0612073+0.0213463j 0.042746-0.000499706j -0.0139307+0.0407015j -0.0281815+0.00440256j -0.00230238+0.0160985j 0.0521139-0.00121408j 0.0130811-0.0162505j -0.00403518+0.0182489j 
0.000576453+0.00613711j -0.0110232-0.00290407j -0.0119435-0.00457393j 0.00284834+0.00399465j 0.0151984-0.00499557j -0.0175306-0.00918097j -0.0010215+0.00920837j -0.00125567+0.0121546j 0.00352781-4.49368e-05j -0.00786709-0.00198211j 0.00525621-0.00234723j -0.0142787+0.00205576j -0.00212718-0.00971696j 0.0050438-0.00469298j -0.0051924+0.0156505j 0.00163535-0.0151137j -0.00198217-0.0156411j -0.0155309-0.0214188j 0.0119777-0.0101604j -0.00527903+0.00784354j -0.00256912-0.0107953j 0.00829241+0.0073416j -0.00645168+0.00162976j 0.0139297-0.0103015j -0.00892358-0.0141756j 0.0026856+0.00790429j 0.0060023-0.0119884j 0.000381124-0.0129483j -0.00856938-0.0128064j 0.00719871+0.00340515j -0.00166507-0.00636585j 0.00685931+0.00154346j -0.000627926+0.00830058j -0.0050352-0.00727544j -0.00787175+0.0114052j -0.00215075+0.0140706j 0.000215773-0.00982176j 0.00363705+0.000496621j 0.00150544-0.0180805j 0.015475+0.0119166j 0.00462672-0.00440021j -0.000839615-0.00312573j -0.00131402+0.022842j -0.00278166+0.00634822j -0.00935792+0.00101783j 0.0101159+0.00810929j 0.0015525-0.00979873j -0.011407-0.00941714j 0.0202124-0.00923048j -0.00510389-0.0239415j 0.0126159-0.00660018j -0.00649416+0.0113136j -0.0169888-0.00261429j -0.00762714+0.00826903j -0.00488218-0.011158j 0.010453+0.0178051j 0.0130654+0.0235451j -0.0122261+0.0143577j -0.00920598+0.0104902j 0.00159487-0.00502104j -0.0191509+0.000831615j -0.00949049-0.00194822j 0.00373795+0.0103072j -0.00534857+0.0013972j 0.0223985+0.01152j 0.00670708+0.000813427j -0.00441478-0.00125116j 0.00619417+0.00313162j 0.00176743+0.000704766j -0.000276888-0.00113878j 0.01732-0.00334778j 0.00901094+0.012099j -0.00045389-0.0156967j 0.00695748+0.00544699j -0.00550276+0.000387572j 0.0123342-0.00490683j 0.0279919-0.0235244j 0.00557704+0.0306569j -0.0143616+0.00302423j -0.0343754-0.00682909j -0.0135965-0.0202572j 0.0197229-0.00285302j -0.0145506-0.0133894j 0.00337515+0.0160024j 0.0233247-0.0173664j -0.0222587-0.0202391j -0.0520169+0.0372927j 0.00484514+0.0308989j -0.040524+0.0354564j 0.0205718-0.00249065j -0.0111619+0.0189148j 0.00373761-0.0125161j -0.065964+0.0169619j 0.00604004-0.000893301j -0.00204695+0.0135087j 
-0.0120248-0.00617863j -0.00328899-0.00510518j 0.0150667+7.97789e-05j 0.00544129+0.0178184j -0.00366178-0.00330429j -0.00896721+0.00614396j 0.00509067+0.00741618j -0.00740487+0.00329563j -0.00340817-0.00209139j -0.00690965+0.0061088j -0.00230199+0.00342586j -0.00692143+0.010319j -0.00216992-0.00848632j -0.00377408-0.00687526j 0.00776324+0.0103014j -0.0138777-0.011911j -0.00377585-0.00141927j -0.00740455-0.00302813j 0.00574142-0.0137173j -0.000492606+0.0019001j -0.00377636+0.00294408j 0.0033055-0.0182147j -2.60176e-06+0.0023717j 0.00316441-0.0235924j 0.00580389-0.014476j 0.00951065+0.00941929j 0.00440496-0.000580956j 5.17703e-05-0.00306433j -0.0147546-0.00713504j 0.00584151+0.00424128j -0.00116238+0.0206333j -0.000609259-0.00189262j -0.0107751+0.0151717j 0.00141254-0.00467019j 0.00164996+0.00651756j -0.00086641-0.00498234j 0.00734158-0.00499147j 0.0133706-0.00483542j -0.0068711-0.00300457j -0.00702675+0.00116002j -0.00704558-0.010738j -0.00988229-0.018464j 0.0054808-0.0132187j -0.00890774-0.00520785j -0.0181002+0.0134765j 0.00858136-0.0105112j -0.00897099+0.00899969j 0.0010919+0.00488278j -0.00703517-0.00252366j 0.000532571-0.0075859j 0.00140992-0.0077001j 0.00871413+0.0212867j -0.00728212-0.0100897j 0.0116953-0.00727845j 0.00441738-0.00965317j -0.0203197+0.00581502j 0.00432035-0.0182143j 0.00652595-0.0124378j 0.00430594+0.0041665j -0.0268344+0.00144393j 0.0170332+0.0207542j 0.0131873-0.00133749j -0.00632709+0.00156079j 0.010073+0.00602286j 0.00579468+0.00147922j 0.016306+0.0148412j 0.0140069+3.34084e-05j 0.00916466-0.0109358j 0.0125103-0.00104529j 0.0111666+0.0154763j -0.0136042+0.00910178j -0.00723827-0.00906051j 0.00899869+0.0372024j -0.0149518+0.00420008j -0.000533091+0.00707644j -0.0170545+0.00602132j -0.0373168-0.0204557j 0.0250804+0.0132761j -0.0237805+0.0301924j -0.0192981+0.0155976j -0.0241692-0.00424386j -0.00928272+0.0453955j -0.0319849-0.0251035j 0.0208997+0.0102185j 0.0361318-0.0116289j -0.00264392-0.0191709j -0.00880805-0.0090149j -0.0394742+0.0271537j 0.0124491-0.0324567j -0.0258236+0.0334406j -0.00539511+0.0147572j -0.073541-0.014521j -0.00498027+0.0212141j 0.014293-0.00231509j 0.0043519-0.00164212j 
0.000806989-0.00370168j 0.00676042+0.00173123j -0.0155615-0.00499248j 0.00862363-0.0153489j 0.0209796+0.00797785j -0.0457207+0.00777936j 0.0291621+0.00250304j -0.00448354+0.0296842j 0.0123182+0.0106908j -0.0114148+0.00322093j 0.00346192-0.00185377j -0.00185293-0.00791044j -0.00701386-0.00731891j 0.00126942-0.0045496j -0.00406221+0.0207504j 0.00580227-0.0100818j 0.00430018-0.0184016j -0.00890196+0.00188237j -0.0027163-0.0165914j -0.00138156+0.00279966j -0.0178531+0.017063j -0.00494172+0.0211624j -0.00414413-0.0198364j -0.00596323-0.0183058j 0.0169369-0.00857619j 8.20005e-06-0.0236832j -0.00283752+0.00799867j 0.00664195-0.0153408j 0.0086153-0.000437699j -0.00146434-0.00586816j -0.00335019-0.011386j -0.0039443-0.00200863j 0.00514892-0.00345477j 3.10463e-05-0.00206724j -0.00188014+0.0167331j 0.0111871+0.00224526j -0.00303218-0.00603594j -9.60858e-05-0.00117936j 0.0198734+0.0163121j 0.010538+0.000776506j 0.000815598+0.00797046j -0.0070018+0.00886749j -0.00140036+0.0434438j -0.0201045+0.0109342j 0.0109137+0.0104135j 0.0150774-0.00338926j -0.00435484-0.00425358j -0.00778264-0.0324676j 0.0228199+0.000351151j -0.000954495-0.022313j -0.000205002-0.0218069j -0.0110153+0.0190922j -0.00672323-0.0127866j 0.0075671-0.0012386j 0.00622107+0.00575146j -0.00239879+0.00640799j -0.0011047-0.00585247j -0.0131171+0.00224195j -0.0143694+0.00099212j -0.0231741+0.000199083j 0.00246399+0.016632j 0.00552209-0.013154j 0.0100499+0.0101169j 0.00851914+0.00861655j -0.00429854-0.0249634j -0.000910513+0.0111026j 0.00847572-0.00931028j -0.00303777-0.00274659j 0.00692976+0.00152957j 0.00552881+0.0146142j 0.00511012-0.00116374j -0.0120627-0.00246431j -0.0157219-0.02673j 0.0106656-0.0122406j -0.0118056+0.00378625j 0.00439529-0.00472331j 0.00653648-0.00113156j -0.0131682+0.00874415j 0.0159339-0.00282062j 0.0069852+0.00750355j -0.0161293-0.021958j -0.000221312-0.0157811j 0.00985511-0.00438406j 0.00265993-0.00411944j -0.00588267-0.0108286j -0.00399604+0.0334707j -0.00882055-0.0125231j 0.0147462-0.0165957j -0.00126557-0.0304287j 0.00682741+0.000178358j 0.00825421-0.050573j -0.00700085-0.00137386j 0.0486345-0.00202954j -0.00918159+0.00817639j 0.0501723-0.00250142j 
0.000382238+0.0116847j -0.0120582-0.000730614j 0.00981084+0.00399155j 0.00561567+0.00654355j 2.52316e-05+0.00610149j -0.023113-0.013514j 0.00617951+0.0099891j -0.000984175+0.00790688j -0.0132499+0.0156128j -0.00821787-0.00736284j -0.00097299-0.00590805j -0.0011149+0.0076354j 0.00288767-0.0213992j 0.00314856-0.0126849j -0.00168504+0.00930833j -0.000882958+0.00552274j -0.00636343+0.0165241j 0.00426534-0.0321415j 0.00628726+0.00728285j -0.00621259-0.0095203j 0.00645763-0.00827912j 0.00171782+0.0165344j -0.00138501-0.0226182j 0.0147693-0.00861556j -0.0153042-0.00155844j -0.0102755-0.00228048j 0.00777946-0.00900866j -0.0107058+0.0066403j -0.0116002+0.0119919j 0.0020057+0.00116658j 0.00262617+0.00873521j -0.000264771-0.0010273j 0.000966551-0.0162523j -0.00213097+0.00524058j -0.00242741+0.00871655j 0.00816429+0.000115572j -0.00424918-0.00874569j -0.0121051+0.01967j 0.00121016-0.00721652j -0.00237983-0.00441483j -0.00729062-0.00537895j -0.01438-0.00331112j -0.00440993-0.0167351j -0.00338825-0.0061674j -0.0179779+0.00645411j 0.00320262-0.0175464j -0.0145715+0.00510127j -0.00163574-0.025503j 0.00607203+0.0146784j 0.00325483-0.00788592j 0.0132805-0.0195055j 0.013524+0.0156461j -0.00870289+0.0120392j 0.0281391+0.0287589j 0.0141112-0.00627298j -0.0391708+0.0183297j 0.00239161-0.0384997j 0.00113881+0.0054421j -0.0320161-0.00939624j -0.0163498+0.00809816j 0.00103091-0.00211823j -0.00661495-0.0111135j 0.0172328+0.000313763j -0.0124058-0.00502196j 0.00963171-0.0150572j 0.00116601+0.00698842j 0.0156624+0.0156655j -0.00602481+0.0107455j -0.021963-0.0128128j 0.022039+0.00783526j -0.0259488+0.0117344j -0.0142611-0.00791717j -0.0118356-0.0108635j -0.0088662+0.00276036j -0.0049235-0.0112428j 0.0121588-0.00626451j 0.0313286-0.00018002j -0.00334042-0.0155019j -0.00969355+0.000927497j 0.0231057-0.0394267j 0.0155667+0.0105671j -0.0190722+0.0116993j -0.00269692+0.00422242j 0.00197089-0.00253037j 0.000431589-0.0107266j -0.0100259-0.0105925j 0.00359627+0.0104716j 0.0225387-0.0239571j 0.0210894+0.0286903j 0.000647834+0.0256557j 0.0178366+0.0541033j -0.00561285+0.00845429j -0.00895864-0.0240992j 0.0399121+0.00380951j -0.0504617-0.00639806j 
0.0158429+0.00465058j -0.000172351+0.00833372j 0.00650536-0.00262477j 0.0140355+0.00779253j -0.00317077-0.00487391j -0.0130106-0.000112537j 0.00350868-0.0106772j 4.9527e-05+0.0173583j -0.0146479+0.00643671j -0.00757851+0.0118544j -0.00382403-0.00282096j -0.000182831+0.00305228j -0.00552892-0.010736j 0.00253834+0.00501041j -0.000310492-0.00725122j -0.00632361-0.00148305j -0.0160743+0.0103574j -0.00324035-0.0132284j -0.0172888+0.0116873j 0.0147255-0.0067023j -0.0217387+0.0231797j -0.0187232+0.0044705j -0.000919869-0.00989726j -0.00043452+0.00445412j -0.00480972-0.00946578j -0.0145676-0.00552929j -0.000518592+0.0129567j -0.00697533-0.0177865j 0.00384126+0.00106397j 0.00189689+0.00930961j -0.00435998-0.00119128j -0.00613216+0.00334406j -0.00834904-0.0184073j -0.00388119+0.00135892j -0.0108329-0.00128857j -0.00166665-0.00385558j 0.00842751+0.0022282j -0.0105909-0.00536816j 0.00516013-0.0238808j 0.00493259+0.0167535j -0.00592295+0.0131857j 0.00759529+0.00763063j 0.0101787+0.00368999j 0.0286676+0.00359734j 0.00620501-0.0240876j 0.0231379+0.00473535j 0.00672879+0.0037666j -0.0081072-0.00867492j 0.0129866-0.000693329j -0.0034979-0.0101124j 0.00979463-0.00641303j -0.00470061+0.00194976j 0.00310886+0.0120364j -0.00761016+0.0201245j -0.00761561+0.0076694j 0.00352845-0.0135154j 0.0112415+0.0309457j 0.00613616-0.00694943j 0.00679+0.0020284j -0.00798232+0.00110689j -0.00627923+0.0332758j 0.00274303+0.00729151j 0.000165967+0.0076988j -0.00446734-0.018011j -0.000683602-0.0101043j -0.00654403-0.0122779j -0.00422647+0.0120684j -0.00212443-0.0150117j -0.00367687+0.00285289j 0.0157285-0.0086071j -0.0131463+0.00673904j -0.0221591-6.64028e-05j -0.00910825-0.018653j -0.0251257+0.0186416j 0.00364204+0.0284485j 0.0100677+0.0158679j -0.00888301-0.0074963j -0.00771518+0.00400735j 0.0155012+0.00615053j -0.0032988+0.0243716j -0.00959086-0.0264145j -0.00162465-0.0169579j 0.0123515+0.0372607j 0.00369965+0.0245769j -0.00982911+0.0146372j -0.00676577-0.0167936j -0.0145072+0.00249567j -0.0103883-0.00567463j -0.0136073-0.00526987j -0.00685795-0.0931374j -0.00338373+0.0467322j 0.0323103+0.0470583j -0.000479535+0.00567924j -0.0852062-0.00660378j -0.0648663+0.0080361j 
