-0.238782-0.105812j 0.118347-0.268372j 0.0436388-0.00380974j 0.0958875-0.0528732j -0.157019+0.00873605j -0.150646+0.0492553j -0.0227039+0.395711j 0.184711+0.035026j -0.410076+0.0171842j -0.220397+0.0794927j 0.136676+0.501293j 0.327793-0.0633093j 
-0.00905801+0.0798642j -0.0228051-0.023j -0.005208+0.0323541j 0.0279086+0.0150979j 0.00891979+0.00868725j -0.0369314+0.0845104j 0.0779053+0.0699949j -0.0143006+0.0419668j -0.12486-0.00845143j -0.0235748+0.0325018j -0.0559555+0.0717923j 0.0414871+0.0623476j 
-0.0320386+0.00221934j 0.00493617-0.00733523j -0.00869904-0.0360199j -0.0401146-0.00258173j -0.00455156+0.0473934j 0.063543+0.0585837j 0.0498974-0.0375312j -0.0336701+0.0467386j -0.0282637+0.00299509j 0.0280112+0.025923j -0.0566624-0.0188902j -0.0138981+0.0608051j 
-0.00319439-0.00113183j 0.028976-0.0219391j -0.00183327-0.0286494j 0.0117087+0.0082804j -0.0354231+0.0217709j -0.00648818-0.00468091j -0.0108174+0.00595397j 0.0141787-0.0054467j 0.034242-0.02288j -0.0500184-0.0568654j 0.0345971+0.0366393j 0.03072-0.0637388j 
0.0187396+0.0252519j 0.0200308+0.00685915j -0.0315944+0.014487j 0.00990199+0.0104292j -0.0228969+0.0123636j 0.0177279-0.0020163j 0.00685933-0.0313129j -0.0664508+0.0177743j 0.00163224-0.0247047j 0.0213233+0.0213584j 0.00966964-0.00900307j -0.00188477-0.00998532j 
-0.0266769-0.00492686j 0.00332798+0.017799j -0.00471576+0.065663j -0.0191428-0.0209949j -0.00290586-0.0184033j 0.00887584-0.00348237j -0.0214869-0.00546862j -0.0367201-0.000739852j 0.00798174-0.00226383j 0.0343392+0.00557774j 0.00903548-0.0127712j 0.00528647-0.01547j 
-0.00319853-0.0178849j -0.0163644+0.000173578j -0.00134049-0.051901j 0.0146972+0.00846166j 0.013056-0.0139632j -0.041035+0.00167601j -0.0226654+0.016902j -0.024835+0.0229428j -0.0267751+0.0072675j 0.0417264+0.0250627j 0.0141781+0.00317183j 0.0265489-0.001452j 
-0.0135122+0.00651031j -0.029199+0.0231381j 0.01838+0.00339535j -0.0274222-0.00512058j 0.0413283-0.00827314j 0.0198021+0.0362408j 0.000938169-0.0155763j -0.00216492-0.0149496j 0.0117323-0.0165954j -0.0361626-0.00680232j -0.0187314+0.0016846j -6.49585e-05-0.00830935j 
-0.0152054-0.0045938j -0.00170949+0.00392478j 0.00521095-0.0106427j 0.000153355-4.19178e-05j 0.0137897-0.010849j -0.00174983+0.0192602j -0.0421642+0.0178153j -0.0115666+0.0407708j -0.0197428-0.026204j -0.0231938-0.014128j 0.0367087+0.026587j 0.0214876-0.07512j 
