-0.0238912+0.0574946j 0.0194727-0.0306813j 0.0362131+0.00585193j -0.032576-0.0412205j 0.0104477-0.0269221j 0.0181345-0.0257893j 0.0304149-0.0298167j -0.0414614-0.0351754j -0.0306888-0.0300755j 0.0240702+0.00686951j 0.0159679-0.000715069j 0.0286082-0.0354739j -0.0606597-0.0604594j 0.0213121+3.95527e-05j 0.0419268+0.00101566j 0.0141818+0.0258038j 0.014221-0.0120541j -0.0164934+0.0337103j -0.00641061+0.03962j 0.0030023-0.0182386j -0.0137474-0.0272453j 0.002887-0.0587076j -0.02425-0.0109825j 0.00440544+0.0143673j -0.0324516-0.0084823j 0.00842248-0.0230181j -0.0134038-0.012106j -0.0159521-0.0258834j 0.028367-0.0681016j 0.068508-0.0251964j -0.0212481+0.0844694j -0.0144675-0.0583818j 0.0317845+0.0341875j -0.0141977+0.0176375j -0.0128839+0.0283237j 0.0285102+0.0499538j -0.0168664-0.0465956j 0.0137446-0.0145588j 0.00967085-0.0154652j -0.00721652+0.0256978j 0.0939468-0.0174379j 0.0253991+0.00365943j 0.0190268-0.0758089j 0.0554052+0.0587663j -0.0496351+0.13029j 0.00685378-0.0271676j -0.0554478+0.0085225j 0.0331757+0.0431604j -0.0381059+0.002842j 0.0447536+0.0455616j -0.00721184+0.0304575j -0.0395165-0.015112j -0.0608909+0.0280464j 0.00598685+0.00914625j 0.0384875-0.00250462j -0.0289749+0.117889j 0.0119865+0.0850087j -0.0849658+0.0427511j -0.0418434+0.0284174j -0.099909+0.0632667j 0.0242562-0.000815267j 0.121517+0.0246837j -0.0117009+0.0157225j 0.0101248+0.00633892j -0.0208778+0.00788579j 0.02118-0.0247003j -0.017225-0.023434j 0.0299281-0.0084711j 0.111954-0.245579j -0.221833+0.139817j 
0.0245154-0.0256809j 0.0198305-0.0555867j 0.0268727+0.0470832j 0.0603033+0.0186008j -0.00979495-0.00293027j 0.0102301-0.0112057j 0.00461668-0.0131355j 0.010178+0.0471665j -0.010217+0.0566677j 0.0169052+0.0380697j -0.00128027+0.0520647j -0.0175565-0.0276793j 0.000207714-0.00617872j 0.0324566-0.0333981j 0.00752807-0.0256486j -0.00152242-0.00469197j -0.018707-0.0235191j 0.036506+0.0126979j 0.0202146+0.00828762j 0.00164993+0.00761279j 0.012452+0.0412254j 0.00317183-0.0338749j -0.00728394-0.00680344j 0.0169636-0.013823j -0.0140965+0.0141879j -0.0106222+0.04441j 0.0279533+0.014843j -0.0357362+0.0496073j 0.000693332-0.0276052j -0.0314618-0.00632397j 0.0879226-0.0114683j -0.0173244+0.00912688j 0.0405877-0.0702179j -0.0611417-0.0113391j -0.0289274-0.00792881j 0.0618537-0.0750287j 0.0148737-0.0093907j -0.05211-0.100142j -0.00563756+0.0505293j -0.0292198+0.0922823j 0.00739078-0.0247287j 0.0409992-0.00585333j -0.0382475+0.023255j 0.0443523-0.0625361j 0.00744133+0.0747394j -0.00992084+0.0193596j -0.0222529-0.000763977j 0.0869159-0.01898j -0.0347096+0.029754j 0.0292317-0.00266181j 0.00982167-0.0541104j 0.00581786+0.0386269j 0.035898+0.120269j -0.0652414-0.013793j 0.0587546-0.0411594j 0.0330635+0.0614445j -0.0300005-0.0121264j 0.123376+0.00467874j 0.0786241+0.00821711j 0.0663292-0.0799771j 0.0165728-0.0887524j 0.11221-0.0690477j -0.0306712-0.014097j 0.025065+0.0203197j 0.00729164-0.0232618j -0.0392086+0.00597795j 0.034655+0.011315j 0.0366259-0.0302221j 0.219103-0.130929j 0.105969-0.230625j 
0.0149357+0.0700254j 0.00800511+0.00165792j 0.0308845-0.052028j 0.00207628+0.0281763j 0.0178725-0.0129789j -0.0467731+0.0129601j -0.00342683+0.025679j -0.0274187+0.0567203j 0.0378845+0.027586j -0.0150934-0.0168785j 0.0314767-0.0428296j -0.0154886-0.0621133j 0.0693722-0.0163403j -0.0381689+0.026734j 0.0381172+0.0408584j 0.0163965+0.0589585j -0.0199486-0.023729j -0.0111938-0.0305853j 0.0373937-0.0375006j -0.0130737+0.048445j -0.0014356+0.0611612j -0.00170814-0.0741984j 0.0131391-0.0382924j 0.0133804+0.00345885j 0.00815607-0.0681899j 0.0644506+0.0193057j 0.0455629+0.0565966j -0.0180354+0.00800535j 0.0571489-0.0121405j -0.0482356-0.0877335j -0.00521366+0.0874128j 0.00447128-0.0109336j 0.0451185-0.0434627j 0.000718226-0.0399901j -0.0883851+0.0258787j 0.071602+0.0282247j 0.0663391+0.00897361j -0.0437066+0.0675956j 0.100319+0.14322j 0.0376309-0.0228977j 0.0672715-0.0271258j -0.0253597-0.00140079j 0.0396212+0.028371j -0.0716287-0.00146621j 0.0775561+0.131175j 0.0195963-0.0249447j 0.0308804-0.0133192j -0.0351489+0.0193648j 0.00243498+0.0979468j -0.0532208+0.0480052j 0.0982731-0.0649223j -0.0134768+0.0304616j 0.0343068+0.045713j -0.0381812-0.0228198j 0.0528256-0.135992j -0.0489784-0.013843j -0.0170616-0.0134185j -0.0628518-0.0147439j 0.224159+0.030905j 0.0295284-0.107233j -0.111802+0.120978j 0.117833+0.122687j -0.107129+0.0566603j 0.0340585+0.06483j -0.0386144-0.0525017j -0.0573782+0.0442039j -0.0822826+0.0840357j -0.0359271-0.0710172j -0.0217122+0.0121375j 0.00594486-0.00085994j 
-0.00899067+0.011091j 0.00681005+0.0690656j -0.00195379-0.0255183j -0.0101717+0.0219128j -0.015866-0.0266194j 0.0520276-0.0361333j 0.033875-0.0594459j -0.058686-0.00568869j 0.0139406-0.0116852j -0.0294767+0.048072j 0.0173196+0.0229097j 0.0515256-0.0203914j -0.0780179-0.00128725j -0.0487271-0.0201231j 0.0290045+0.0506087j -0.0556953+0.0347174j -0.0208279-0.0446158j 0.0245739-0.0207485j -0.0194142-0.00268947j 0.0263194-0.0280119j -0.000949085-0.0191318j 0.0420228+0.103063j 0.00658413+0.00067348j 0.0164594+0.0477413j -0.0020547+9.31536e-05j -0.0271768-0.0427193j -0.0332454+0.0513509j 0.073388-0.0985194j -0.0445492+0.0776439j 0.0645162+0.0468741j -0.0354043-0.0199497j 0.084708-0.0848839j 0.0450341+0.0378677j 0.0366883+0.0392743j -0.0112189-0.0245278j 0.00613818+0.0916327j -0.172896-0.0224737j -0.0364635+0.124049j 0.00494173+0.00188983j 0.016442-0.0191654j 0.0302306-0.0161346j -0.0118089-0.0719319j -0.0186692-0.0168211j -0.0497127+0.00360854j -0.066207-0.0132234j 0.00240664-0.0580514j -0.0382509-0.00219815j 0.0152492+0.143611j -0.0207758-0.0503127j 0.0269036+0.0475206j -0.0124816+0.0410761j -0.00715761-0.191273j 0.0685934-0.00556795j 0.114586+0.0579766j -0.0146313+0.132836j 0.138993-0.032677j 0.080727+0.0653089j -0.0312115-0.00646382j 0.0972632-0.00669697j -0.0243034-0.0201104j 0.174478+0.0504075j 0.0142408-0.129917j 0.0083927-0.0192697j -0.0387515-0.0155948j 0.0197879+0.0183349j 0.0994644-0.0621483j -0.0808521-0.141906j 0.124536-0.125569j -0.0147451+0.0441378j -0.00165864+0.00886252j 
0.010063-0.00231881j 0.0179698-0.0157804j 0.0152209-0.0177276j -0.00751976-0.0269648j -0.0436844+0.0143414j 0.0273339-0.026151j 0.0281653+0.0166267j -0.015977-0.110578j -0.0121055-0.0976258j -0.0094665-0.017585j 0.0377623+0.0512763j 0.0426677-0.0342648j 0.0285311+0.0131839j 0.0928732+0.0184597j 0.0182907-0.0228231j -0.0148448-0.11073j -0.100907-0.0818059j 0.0113179+0.0664551j -0.0182625+0.0163934j -0.0261574-0.0113031j 0.027887-0.0252427j 0.00600339-0.0134591j 0.0272601-0.00905725j -0.0641982-0.0581141j 0.0713272+0.0310811j -0.0391177+0.0242235j 0.150941-0.153647j 0.0916934+0.0592036j -0.0714682+0.152196j 0.12673+0.0731523j 0.00243278+0.0162774j -0.129855-0.101079j -0.0918327-0.0640602j 0.050454-0.0111871j -0.0348444-0.00810552j 0.00506139-0.0603214j 0.0771696-0.0991427j -0.00695008-0.022109j 0.10462-0.0659944j -0.0815629+0.100102j 0.027631-0.0128573j 0.0213554-0.00131121j -0.0365425-0.0766059j 0.000850636+0.0230076j 0.0936934+0.0698085j 0.0988387-0.122807j -0.054608-0.0682912j -0.113157+0.0742883j 0.0251912-0.0377942j -0.0324197+0.0182643j -0.164666-0.0685741j -0.0188678-0.015464j 0.119025+0.0451189j -0.113513-0.07557j -0.0603164+0.0376797j 0.0456051-0.0594766j 0.0594059-0.0318335j 0.00393588-0.0297017j -0.09736-0.0408535j 0.113017-0.0434943j -0.0645234+0.146686j -0.0156672-0.026628j 0.0811611+0.036355j -0.0221936+0.0559693j 0.110345-0.0297937j 0.060586-0.000960057j 0.043624+0.0146625j 0.0278113+0.0588373j 0.0114203+0.00404632j 0.0304415+0.0116723j 
-0.000226393-0.0685627j -0.0160715+0.00646066j -0.0816455+0.0291399j 0.0516429+0.0308777j 0.000227499-0.0462422j -0.0322816-0.0193077j -0.011032+0.0235292j 0.00338291+0.0469348j 0.0340919+0.0606073j 0.0216478-0.0443785j -0.0843644+0.00915013j -0.0743337-0.00289716j 0.0145285+0.10072j 0.0475265-0.00556846j -0.0841576-0.0401008j 0.0108732-0.0820416j 0.0156316+0.0505716j -0.0289984-0.0645628j -0.021244-0.0858463j -0.00600831+0.00488522j 0.0762964+0.0314873j -0.0170764+0.058093j 0.0686276+0.0198267j 0.0754411+0.00106461j -0.02265+0.0474905j 0.0449244-0.0207527j -0.0622277-0.0183042j -0.0528982-0.0682275j -0.0427706+0.0494447j -0.06201+0.0986301j -0.0497396-0.145013j 0.0470638+0.171693j 0.0436927+0.0247185j 0.0394002-0.0116631j 0.0978372-0.0591195j 0.0119292-0.0703126j -0.00118499+0.041262j 0.0646804+0.146736j -0.0976942+0.0319996j 0.0624537-0.0299761j -0.101+0.0730828j 0.0718594+0.000470024j -0.0307016+0.0293364j -0.0177712-0.00149696j 0.0806833-0.149569j -0.0494073+0.0732995j -0.0386903-0.0176427j 0.0275036-0.0586494j 0.031783-0.0706968j -0.00993117-0.0878049j -0.0425577-0.0249592j -0.0168012+0.0926476j -0.139932-0.117315j 0.0831077+0.104149j -0.118512+0.00485002j -0.017317-0.0335552j -0.0612122-0.0737337j 0.0144428+0.0543285j -0.0358422-0.00269918j 0.0160835-0.0157433j 0.0212678-0.128534j -0.102619+0.0110381j 0.0633325-0.0423694j 0.0131062-0.028728j 0.0364941+0.0193318j -0.0243416+0.0370184j 0.0447048+0.0592918j -0.00270058+0.0938731j -0.0757001+0.0927778j 0.0640483-0.0303467j 
-0.0400812-0.0343681j -0.00804708+0.0293837j -0.0512784-0.0208199j -0.00838679+0.0170186j 0.0166438-0.023244j -0.0106993-0.00442464j -0.03303-0.0385738j 0.0968564+0.0534772j -0.0150882-0.0107452j 0.0194502-0.128488j -0.043281-0.0885537j -0.00333645-0.11208j 0.0685513-0.0300452j -0.0644563+0.019055j -0.0655895-0.0460023j 0.0685448-0.0559886j 0.0704234+0.10073j -0.127923-0.0231836j 0.0998217+0.157807j 0.0378375+0.0247386j 0.088031-0.0377506j -0.0562087-0.0870277j 0.0325+0.0424132j 0.0179333-0.00389182j 0.00731825+0.0675618j 0.152082+0.116414j -0.00119362+0.0812799j 0.11715+0.057409j 0.040475-0.063373j 0.0128475+0.0104814j -0.00137833-0.0301708j 0.110289-0.05882j -0.0615469+0.131419j 0.00152561+0.0522043j -0.0991963-0.0309366j -0.0633636+0.0420774j -0.13052-0.0741051j 0.031302-0.0604743j -0.0878028-0.232599j -0.0317831-0.0144998j -0.0183366+0.0172312j 0.023554+0.0207754j -0.0148723-0.0205297j -0.0555577-0.0172482j 0.00131211+0.0117558j 0.0106855+0.0258207j -0.010363-0.0231182j -0.170487-0.0885543j 0.119248-0.0449981j -0.0857257+0.0771374j -0.0308437-0.0357559j -0.0237843+0.0324912j -0.0112152+0.0177465j 0.00759354-0.0210032j 0.0020261+0.0408104j -0.0707395+0.102771j 0.0793599-0.0991238j -0.00535898+0.101183j -0.16135+0.0954144j 0.00461956+0.0357886j 0.0312583-0.0776951j -0.0395726-0.1197j 0.119821+0.082555j -0.07864-0.0242439j -0.0222227-0.105107j -0.0203351-0.0216278j 0.00565466+0.0171132j -0.00650486+0.00508336j -0.0319088+0.0580821j -0.0602447+0.0376471j 
-0.0118642-0.0365323j -0.0477466+0.0053593j 0.00204114+0.0988769j 0.0293883+0.00392009j -0.0642234+0.132965j 0.0145598+0.0826368j -0.0428956+0.105491j 0.0528168-0.0407806j 0.0287819-0.00257997j -0.0036572+0.0337937j -0.00941654+0.0741144j -0.048754+0.131562j 0.00213291-0.0191499j -0.0588624+0.000385781j -0.0449158-0.0287099j -0.0455028+0.0792635j -0.0172555-0.0790498j 0.168047+0.115692j 0.00126306+0.0390628j 0.0420525-0.0947045j -0.0353491-0.132485j 0.0523272+0.0798519j -0.11264+0.0909797j -0.0333996-0.0459726j 0.0188461+0.112359j -0.144276+0.019874j 0.0092716+0.0352094j -0.016601+0.0665198j 0.00650645+0.0335282j -0.125004+0.0417833j 0.0963043+0.0258254j -0.0633884+0.0250747j -0.135715+0.0339017j -0.0483288+0.00605627j 0.0843747+0.0528527j -0.0773234+0.0528113j 0.0227916+0.0896064j -0.0424523-0.152896j 0.0390862-0.0408317j -0.0798008-0.0986057j -0.068525+0.0389684j -0.0261707-0.0148579j 0.0239889+0.0143603j 0.0215266-0.026341j -0.115306-0.0715652j -0.019018+0.0679773j 0.142984-0.003959j 0.0216279-0.0710298j 0.00763588-0.0224093j 0.0771719-0.00730697j 0.0322604+0.068868j 0.12639-0.0933568j 0.12005+0.0218971j -0.101737-0.0956711j 0.0446847-0.0261048j -0.0110036-0.0425396j 0.0584154+0.000920394j 0.115318-0.0553821j -0.104908-0.14688j 0.090302+0.100462j 0.0656094-0.0340474j -0.128665-0.0353639j 0.0705056-0.0474682j -0.0288336+0.0242808j 0.0162021+0.0621978j 0.0388519-0.0315413j 0.0261926+0.00803696j -0.0404291-0.0222405j -0.0158747+0.0545023j 0.0760169-0.0795265j 
0.00362126+0.00233515j -0.0163552-0.0143576j 0.00927026+0.0487438j -0.0146273-0.0410756j 0.138007+0.0431099j 0.0402982+0.0467227j -0.0201517+0.0736314j -0.00287492-0.115752j -0.122668+0.119911j -0.0293745+0.0526004j -0.0351691-0.0420132j 0.133742+0.10074j 0.00793184+0.0157559j 0.0621528-0.0548355j 0.0421558-0.0389688j 0.0406445-0.0218064j -0.0864733+0.126856j -0.0390999-0.0740477j -0.169639-0.0105824j -0.0200716-0.00675087j -0.0088696-0.00587337j -0.0269136+0.023804j -0.0245032+0.0248486j 0.00359449+0.0060186j 0.0408032+0.0832904j -0.149738-0.101504j -0.187056-0.093113j -0.076768-0.0702055j 0.042928-0.0689077j 0.111708-0.0981206j -0.00137171+0.0265732j -0.0137028+0.0141893j -0.0598637-0.111437j -0.0141361+0.0529949j 0.0549605+0.134123j -0.140096-0.154867j 0.0305258-0.0501641j 0.0384512-0.0773958j -0.0166717-0.0893208j -0.0367371+0.0683905j 0.0147759-0.0545698j 0.0567932-0.0621447j 0.0284766-0.0069069j 0.056041+0.00778775j -0.0220295-0.102145j 0.0481104+0.0343707j 0.00418283+0.0482634j 0.127755-0.0182528j -0.059432-0.0956286j 0.0485501-0.0834735j 0.0298523+0.0580729j 0.035174-0.00495038j 0.0120332-0.0290887j 0.0273611+0.0409986j 0.049417-0.0154984j -0.0731837-0.0884557j -0.0122468+0.0932856j 0.056748-0.00761384j -0.0288455+0.0480142j -0.0130429+0.0455968j -0.0617307+0.0426923j -0.00385654-0.0318621j 0.00934881-0.0687143j 0.0768738+0.0238316j -0.020716+0.111725j -0.015594+0.0123729j 0.0295795-0.0173076j -0.00174369+0.0290342j -0.00588569-0.00808011j -0.0296341+0.0271816j 
-0.00978913+0.0229979j -0.0236117-0.0211516j 0.0237088+0.0483543j 0.0189175-0.0713968j 0.000147951-0.105812j 0.0276281-0.08464j 0.114025-0.087933j -0.0160133+0.0563543j -0.0229365-0.120095j 0.129288-0.0477803j 0.00333567+0.00870327j -0.029393-0.0888715j -0.0943293-0.0113854j 0.118257-0.0731403j 0.132625+0.035021j 0.071232-0.104118j 0.0573215-0.123264j -0.0815837-0.018283j 0.0705454+0.00266859j 0.069455-0.0732807j -0.0311037+0.080964j 0.0886019-0.112514j 0.0951489-0.0989161j -0.00346899+0.068254j -0.0209074+0.0857353j 0.0407429-0.0265712j 0.0801907-0.144457j -0.014585+0.0143818j -0.0325614+0.0333043j 0.0886035+0.0163409j -0.0522088-0.0402545j -0.183953-0.0194079j 0.0281117+0.00108489j 0.136653-0.0447866j -0.00455259+0.0887129j 0.00166915-0.0612479j -0.0147548+0.0290705j 0.0729115+0.0831052j 0.0194322-0.0582367j -0.0567718+0.0808673j -0.0223325+0.0877699j 0.102177+0.0243193j -0.017851+0.00888096j 0.0781579-0.0382872j -0.0881889+0.0380772j -0.0460563+0.0635113j -0.0694945+0.0251899j -0.05239-0.0783869j -0.114637-0.0226722j -0.08272-0.0677813j -0.0555233+0.0448914j -0.229172+0.0744051j -0.0411777+0.0233457j -0.00546568-0.0179261j -0.0314683+0.171029j 0.0305012-0.0511422j 0.077969+0.101077j 0.0455133-0.134393j -0.0493581+0.0272504j 0.0147414+0.0199282j 0.00248177-0.0362106j 0.0176813-0.0211016j 0.111871-0.0794803j -0.0167619-0.130778j 0.0850815+0.121414j -0.0201269-0.00658567j 0.0150711+0.00758379j -0.030942-0.0240903j 0.0397995-0.041011j -0.0269001+0.00507133j 
0.0357277+0.00127027j 0.0181989+0.0154993j 0.0494152+0.00653099j -0.0610212-0.113393j 0.00745981+0.00103707j -0.0715522-0.118037j -0.00997703-0.124131j 0.0505115+0.0900018j 0.054613-0.00752538j -0.041105-0.0368307j -0.0303992-0.000742957j 0.0212196-0.0443772j 0.025032+0.125763j 0.0446398-0.0894344j 0.0758819-0.0875419j 0.0511923-0.202176j 0.116365-0.00227867j 0.0122931-0.0406309j -0.0125879-0.0154212j 0.0699421+0.0480466j 0.0587344-0.161907j 0.0409687-0.00752055j -0.184542-0.0296272j -0.0333764+0.0323227j 0.0459269-0.0969711j -0.179707-0.0149419j 0.158114+0.0646505j 0.0666209-0.0236823j 0.0600016-0.138669j -0.0570867-0.00468727j -0.122521+0.0963139j -0.078939+0.0411316j -0.092401+0.121313j 0.167166-0.13321j -0.107415+0.037594j -0.0270681-0.101146j 0.00932751-0.0161338j 0.032583-0.0851501j -0.0386818+0.0829311j -0.00321993-0.0743592j -0.0548494-0.0239996j -0.0981237+0.0731638j -0.0654695-0.0178966j 0.0983425-0.0984583j -0.0309749+0.00181908j -0.0962585+0.0989997j -0.0155878-0.0291744j -0.0486554-0.0436079j 0.0341305+0.00685871j -0.0201454+0.0154713j -0.222458-0.071347j 0.0396768-0.00352257j 0.0246+0.054986j -0.024852+0.00627286j -0.0471486-0.00982865j -0.00284519+0.0181882j -0.0387378-0.0308184j 0.068054+0.0112626j -0.000452173-0.0139288j 0.00111844+0.0168309j -0.0476764+0.0987827j -0.0874948+0.0635271j -0.0399037+0.0246958j -0.0361798-0.0260921j -0.0580325-0.0334698j 0.052446-0.0669273j -0.0258128-0.0360214j 0.0147715+0.0260911j 0.0102506-0.00984473j 0.0158382-0.000792524j 
