-0.0590514-0.033827j 0.001093-0.0443571j 0.0493537+0.0695653j -0.0825056+0.0708953j -0.0407651-0.0300697j -0.020868-0.0296234j -0.0317136+0.0354317j 0.0885704-0.027474j -0.0101266-0.0130781j -0.0134803-0.00924445j 0.0320076+0.0820393j -0.0153792-0.0497959j 0.0383832-0.0344172j -0.0433412-0.0146316j -0.0189622+0.0262053j 
-0.043474+0.0518443j -0.0210721-0.0365155j -0.044977-0.0231749j 0.0255028-0.0267751j 0.0234588-0.00812242j 0.0542187+0.0320373j 0.0506069-0.00571126j -0.02587+0.0490846j -0.0142941+0.0438332j 0.0436097-0.060667j -0.026436-0.0258559j -0.000648082+0.0389333j 0.0199066+0.0348987j 0.0879683+0.0464314j 0.0355746-0.0595336j 
0.0132949-0.0146462j 0.0213181+0.0321875j 0.029537-0.0227444j 0.00297603+0.0366746j -0.01345-0.0264812j 0.061283+0.0171996j 0.0621952+0.00647775j 0.0270098+0.0330627j -0.0260139+0.0471352j 0.0354588-0.0932475j -0.00441012+0.0244696j -0.0166188+0.0232415j 0.0578761+0.0141639j 0.0779845+0.0472385j 0.0344132-0.0560668j 
0.00937241+0.000503569j -0.00741712-0.0237323j -0.0156755-0.0217063j -0.0236499+0.0183252j -0.0484596-0.0239815j -0.00299927+0.0216641j 0.0120275-0.00836082j -0.00578779-0.00425681j 0.00205542-0.0436498j 0.00344035-0.0142997j 0.0195765+0.0503969j -0.0188993-0.0197069j 0.0501253-0.0272853j -0.0540297-0.0146194j -0.0277884+0.0269651j 
0.0301694-0.0189403j -0.0398113-0.0259617j -0.0181011-0.0235793j -0.00260523-0.0131428j -0.00839336-0.00992851j 0.00619188-0.0118227j -0.00336532-0.0264559j -0.0148082+0.00453324j -0.00209899-0.000804991j -0.00506869-0.018879j 0.00666027-0.00822231j 0.00274605-0.0151783j 0.030149-0.00341321j 0.0208014+0.0409384j 0.0410798-0.0273107j 
0.0039434-0.0114404j 0.00490157-0.00699443j -0.0227126+0.0124462j -0.00799157+0.0180738j -0.048123+0.0107285j -0.0262853+0.000550833j 0.0609911+0.0455833j 0.0401917+0.0061556j -0.00897725+0.0490734j 0.018989+0.00147476j -0.0267545+0.00186783j 0.00884238+0.0496014j -0.0615604+0.0275711j 0.000134093-0.0407202j -0.0110551+0.0249037j 
-0.00185668+0.0356184j 0.0441911+0.01841j -0.0270783+0.021132j -0.00398165+0.000970804j -0.0250497-0.00281668j 0.00387167-0.00336895j -0.0178611-0.0192736j -0.0142645+0.00192816j -0.00637975-0.0305551j -0.015974-0.0048698j 0.0221928+0.0104627j -0.00478756-0.0229179j 0.0317266-0.0244564j -0.0214797+0.0157255j 0.0125937+0.0104707j 
-0.0105892-0.00464384j -0.0111487-3.17877e-05j 0.00896123-0.0168287j 0.0071963-0.00371096j 0.0301941-0.0030477j 0.046979+0.000205444j 0.00458571-0.00412245j 0.0198114+0.0101114j -0.00913137-0.00559336j 0.00398848-0.00539283j 0.0108084+0.0139712j 0.0120673+0.0320541j -0.0278479-0.00591382j -0.0458894-0.0191672j -0.0389824+0.0695599j 
